bike_store_6,residence_rent_own,scooter_typical_charge_1,diary_platform,reduced_bike_1,increased_veh_5,bike_store_2,r_num_vehicles,increased_bike_997,increased_bike_1,packages,reduced_veh_2,ev_purchase_barriers_1,increased_veh_8,increased_bike_2,increased_veh_6,ev_purchase_barriers_3,participation_group,reduced_veh_3,scooter_typical_charge_6,bike_store_9,ev_typical_charge_7,scooter_typical_charge_5,num_vehicles,bike_store_3,ev_typical_charge_4,ev_typical_charge_2,hh_weight,reduced_veh_997
995,995,995,rmove,995,995,995,0,995,995,995,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,1788.640199,995
1,1,995,rmove,995,995,0,0,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,0,1,995,995,682.6641497,995
995,2,995,rmove,995,995,995,0,995,995,3,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,285.9584728,995
995,1,995,rmove,995,995,995,2,995,995,995,995,0,995,995,995,0,9,995,995,995,995,995,2,995,995,995,66.30142049,995
995,1,1,browser,995,995,995,2,995,995,2,995,0,995,995,995,0,1,995,0,995,995,0,2,995,995,995,2960.121803,995
0,2,995,rmove,995,995,0,0,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,498.3557404,995
0,2,995,rmove,995,995,0,0,995,995,2,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,268.4498114,995
0,2,995,rmove,995,0,0,1,995,995,1,995,995,0,995,0,995,9,995,995,0,995,995,1,0,995,995,195.2166555,995
995,2,995,rmove,995,995,995,1,995,995,1,995,0,995,995,995,0,3,995,995,995,995,995,1,995,995,995,1348.155791,995
995,999,995,rmove,995,995,995,0,995,995,3,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,203.7784959,995
0,2,995,rmove,995,995,0,0,995,995,6,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,366.2126388,995
0,2,995,rmove,995,995,0,0,0,1,2,995,995,995,0,995,995,9,995,995,0,995,995,0,0,995,995,208.313522,995
995,2,995,rmove,995,995,995,1,995,995,997,995,995,995,995,995,995,3,995,995,995,995,995,1,995,995,995,1526.360469,995
995,997,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,238.4790967,995
995,2,995,browser,995,995,995,0,995,995,4,995,995,995,995,995,995,1,995,995,995,995,995,0,995,995,995,399.2008352,995
995,2,995,rmove,995,995,995,1,995,995,1,995,1,995,995,995,0,9,995,995,995,995,995,1,995,995,995,198.8888196,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,198.9290618,995
995,4,995,rmove,995,995,995,1,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,581.3349888,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,263.5712725,995
0,2,995,rmove,995,995,0,1,995,995,2,995,995,995,995,995,995,9,995,995,0,995,995,1,0,995,995,2377.41612,995
995,999,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,752.3627047,995
0,2,995,rmove,0,995,0,0,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,190.2622511,995
995,2,995,rmove,995,995,995,0,995,995,2,995,995,995,995,995,995,3,995,995,995,995,995,0,995,995,995,177.232424,995
995,2,995,rmove,995,995,995,0,995,995,1,995,995,995,995,995,995,9,995,995,995,995,995,0,995,995,995,375.2230737,995
995,999,995,rmove,995,995,995,1,995,995,997,0,995,995,995,995,995,9,0,995,995,995,995,1,995,995,995,939.1858029,0
995,2,995,rmove,995,995,995,1,995,995,2,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,88.60200931,995
0,2,995,rmove,995,995,0,0,0,1,2,995,995,995,0,995,995,9,995,995,0,995,995,0,0,995,995,199.5951087,995
0,2,995,rmove,995,0,0,1,995,995,2,995,995,0,995,1,995,9,995,995,0,995,995,1,0,995,995,784.6068668,995
0,1,995,rmove,995,995,0,2,995,995,2,995,0,995,995,995,0,3,995,995,0,995,995,2,0,995,995,66.29484255,995
995,1,995,rmove,995,995,995,1,995,995,3,995,1,995,995,995,0,9,995,995,995,995,995,1,995,995,995,1541.632033,995
0,1,1,browser,995,995,0,1,995,995,6,995,0,995,995,995,0,1,995,0,0,995,0,1,0,995,995,4528.208738,995
995,2,995,rmove,995,0,995,1,995,995,1,995,1,0,995,0,1,3,995,995,995,995,995,1,995,995,995,483.5445383,995
0,1,995,rmove,995,995,1,0,995,995,1,995,995,995,995,995,995,9,995,995,0,995,995,0,0,995,995,764.0001129,995
995,1,995,rmove,995,995,995,1,995,995,995,995,995,995,995,995,995,9,995,995,995,995,995,1,995,995,995,198.9088465,995
995,2,995,call,995,995,995,0,995,995,2,995,995,995,995,995,995,5,995,995,995,995,995,0,995,995,995,1326.422369,995
