property_id,property_name,nyc_building_identification_number_bin,office_worker_density_number_per_1_000_sq_ft,postcode,largest_property_use_type_gross_floor_area_ft,retail_store_gross_floor_area_ft,weather_normalized_site_natural_gas_intensity_therms_ft,food_sales_gross_floor_area_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_10_or_more_stories,borough,hospital_general_medical_surgical_gross_floor_area_ft,financial_office_weekly_operating_hours,estimated_data_flag_municipally_supplied_potable_water_mixed_indoor_outdoor_use,alert_energy_meter_has_less_than_12_full_calendar_months_of_data,energy_star_certification_last_approval_date,estimated_values_water,annual_maximum_demand_mm_yyyy,movie_theater_gross_floor_area_ft,_2nd_largest_property_use_gross_floor_area_ft,percent_of_total_electricity_generated_from_onsite_renewable_systems,census_tract,energy_star_certification_year_s_certified_score,avoided_emissions_onsite_and_offsite_green_power_metric_tons_co2e,office_number_of_computers,indirect_ghg_emissions_intensity_kgco2e_ft,target_energy_star_score,number_of_buildings,largest_property_use_type,property_gfa_calculated_buildings_and_parking_ft,fuel_oil_2_use_kbtu,hospital_general_medical_surgical_number_of_workers_on_main_shift_density_number_per_1_000_sq_ft,city,medical_office_number_of_workers_on_main_shift,estimated_data_flag_fuel_oil_no_4,hospital_general_medical_surgical_number_of_workers_on_main_shift,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kbtu,weather_normalized_site_electricity_intensity_kwh_ft,indirect_ghg_emissions_metric_tons_co2e,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,urgent_care_clinic_other_outpatient_gross_floor_area_ft,refrigerated_warehouse_gross_floor_area_ft,net_emissions_metric_tons_co2e,direct_ghg_emissions_intensity_kgco2e_ft,automobile_dealership_gross_floor_area_ft,national_median_source_eui_kbtu_ft,alert_energy_meter_has_overlaps,medical_office_percent_that_can_be_heated
1634133,M140-0100125,1004091,Not Available,10002,99481.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,2201.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,99481.0,2760552.1,Not Available,New York,Not Available,Not Available,Not Available,1172090.2,3.5,93.1,Not Available,Not Available,Not Available,Not Available,Not Available,302.8,2.1,Not Available,95.2,Ok,Not Available
1261456,SL Green - 245 Park Avenue,1036205,0.85668,10167,1573122.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,10/20/2017,No,Not Available,Not Available,14081,Not Available,92.0,"2010 (82), 2011 (84), 2012 (91), 2014 (83), 2015 (77), 2016 (79), 2017 (78)",0.0,7231,7,82,1,Office,1592125.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,84517628.4,15.6,11174.6,Not Available,Not Available,Not Available,Not Available,Not Available,11196.4,0,Not Available,189.0,Ok,Not Available
1634492,K209-0300212,3196224,Not Available,11235,82800.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,370.0,Not Available,0.0,Not Available,0.8,75,1,K-12 School,82800.0,276138,Not Available,Brooklyn,Not Available,Not Available,Not Available,849042.1,3.0,67.5,Not Available,Not Available,Not Available,Not Available,Not Available,297.2,2.8,Not Available,127.0,Ok,Not Available
1472861,1633 Broadway - Paramount Plaza,1024812,0.76258,10019,2679616.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,02/01/2021,No,Not Available,Not Available,145192,Not Available,131.0,"2009 (78), 2016 (76), 2017 (80), 2018 (81), 2020 (75)",0.0,9598,4.9,75,1,Office,2919620.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,95934726.3,9.9,13819.1,Not Available,Not Available,Not Available,Not Available,Not Available,13850.5,0,Not Available,195.0,Ok,Not Available
1796894,"Resnick Seaport, LLC",1001162,0.75268,10038,988890.0,0,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,03/16/2021,No,Not Available,Not Available,19490,Not Available,1502.0,2020 (77),0.0,3550,4,75,1,Office,1008380.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,40216629.8,11.9,3937.4,Not Available,Not Available,Not Available,Not Available,Not Available,3937.7,0,Not Available,193.5,Ok,Not Available
1836368,Q266-0401479,4529900,Not Available,11426,81600.0,Not Available,0.6,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,1567.0,Not Available,0.0,Not Available,5,75,1,K-12 School,81600.0,441600,Not Available,Queens,Not Available,Not Available,Not Available,5100257.6,18.6,405.3,Not Available,Not Available,Not Available,Not Available,Not Available,660.0,3.1,Not Available,134.4,Ok,Not Available
1634602,M045-0100061,1054786,Not Available,10035,210000.0,Not Available,0.5,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),08/2020,Not Available,0,Not Available,194.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,210000.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,2395224.0,3.3,190.3,Not Available,Not Available,Not Available,Not Available,Not Available,625.6,2.1,Not Available,165.8,Ok,Not Available
1633533,X879-0201209,2042451,Not Available,10460,69080.0,Not Available,0.3,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,220.0,Not Available,0.0,Not Available,3.1,75,1,K-12 School,69080.0,Not Available,Not Available,Bronx,Not Available,Not Available,Not Available,2657265.6,11.2,211.2,Not Available,Not Available,Not Available,Not Available,Not Available,314.3,1.5,Not Available,143.3,Ok,Not Available
1422300,41 Madison Ave LP,1016749,0.44647,10010,518623.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,5192,Not Available,56.0,Not Available,0.0,1029,6.5,Not Available,1,Office,527815.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,16500913.1,9.2,3443.6,Not Available,Not Available,Not Available,Not Available,Not Available,3455.3,0,Not Available,165.4,Ok,Not Available
1634564,Q230-0401421,4028931,Not Available,11372,100880.0,Not Available,0.3,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,289.0,Not Available,0.0,Not Available,2.1,75,1,K-12 School,100880.0,276000,Not Available,Queens,Not Available,Not Available,Not Available,2705033.6,7.9,215,Not Available,Not Available,Not Available,Not Available,Not Available,356.9,1.4,Not Available,137.8,Ok,Not Available
1463326,Eleven Penn Plaza,1015175,1.12206,10001,1117964.0,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Ok,07/23/2018,No,Not Available,Not Available,5792,Not Available,,"2008 (81), 2011 (82), 2015 (80), 2016 (79), 2017 (79), 2018 (81)",0.0,2952,4.8,Not Available,1,Office,1130528.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,43625593.2,11.3,5412.5,Not Available,Not Available,Not Available,Not Available,Not Available,5412.5,0,Not Available,184.5,Ok,Not Available
1634568,Q058-0401459,4607309,Not Available,11378,121000.0,Not Available,0.3,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,49302.0,Not Available,0.0,Not Available,2.8,75,1,K-12 School,121000.0,276000,Not Available,Queens,Not Available,Not Available,Not Available,4296390.4,10.4,341.4,Not Available,Not Available,Not Available,Not Available,Not Available,528.0,1.5,Not Available,165.8,Ok,Not Available
1633606,K458-0300338,3051641,Not Available,11216,213600.0,Not Available,0.4,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),12/2020,Not Available,Not Available,Not Available,249.0,Not Available,0.0,Not Available,1.4,75,1,K-12 School,213600.0,482999.9,Not Available,Brooklyn,Not Available,Not Available,Not Available,3818710.4,5.2,303.4,Not Available,Not Available,Not Available,Not Available,Not Available,777.0,2.2,Not Available,138.5,Ok,Not Available
1633130,K181-0300184,3327776,Not Available,11203,153600.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,856.0,Not Available,0.0,Not Available,2,75,1,K-12 School,153600.0,0,Not Available,Brooklyn,Not Available,Not Available,Not Available,3824169.6,7.3,303.9,Not Available,Not Available,Not Available,Not Available,Not Available,684.7,2.5,Not Available,116.3,Ok,Not Available
8604,114,1022667,Not Available,10036,577534.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,90,Not Available,Ok,05/02/2018,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,125.0,"2001 (75), 2002 (76), 2003 (75), 2005 (77), 2006 (85), 2008 (86), 2010 (83), 2015 (86), 2016 (91), 2018 (87)",0.0,Not Available,4.1,75,1,Financial Office,577534.0,Not Available,Not Available,Manhattan,Not Available,Not Available,Not Available,20874609.2,10.6,2360.1,Not Available,Not Available,Not Available,Not Available,Not Available,2407.5,0.1,Not Available,178.3,Ok,Not Available
1836402,X088-0200128,2094533,Not Available,10456,27660.0,Not Available,0,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),01/2020,Not Available,Not Available,Not Available,17902.0,Not Available,0.0,Not Available,1.1,75,1,K-12 School,27660.0,Not Available,Not Available,Bronx,Not Available,No,Not Available,381325.1,4.1,30.3,Not Available,Not Available,Not Available,Not Available,Not Available,134.9,3.8,Not Available,80.9,Ok,Not Available
1483343,29WFC-Sheraton New York Hotel & Towers,1023159,Not Available,10019,1145806.0,Not Available,0.6,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,48224,Not Available,131.0,Not Available,0.0,Not Available,2.6,Not Available,1,Hotel,1194030.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,37865693.6,9.7,3008.9,Not Available,Not Available,Not Available,Not Available,Not Available,6115.8,2.7,Not Available,187.8,Ok,Not Available
1634439,K039-0300061,3021932,Not Available,11215,31200.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,153.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,31200.0,48300,Not Available,Brooklyn,Not Available,Not Available,Not Available,526812.8,4.9,41.9,Not Available,Not Available,Not Available,Not Available,Not Available,110.4,2.2,Not Available,134.0,Ok,Not Available
1634592,M019-0100040,1006478,Not Available,10003,84125.0,Not Available,0.1,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,40.0,Not Available,0.0,Not Available,0.8,75,1,K-12 School,84125.0,Not Available,Not Available,New York,Not Available,No,Not Available,844128.8,2.9,67.1,Not Available,Not Available,Not Available,Not Available,Not Available,268.6,2.4,Not Available,103.1,Ok,Not Available
1634731,Q011-0400011,4552510,Not Available,11377,192480.0,Not Available,0.3,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,08/2020,Not Available,Not Available,Not Available,251.0,Not Available,0.0,Not Available,1.8,75,1,K-12 School,192480.0,0,Not Available,Queens,Not Available,No,Not Available,4475179.2,6.8,355.6,Not Available,Not Available,Not Available,Not Available,Not Available,621.9,1.4,Not Available,119.8,Ok,Not Available
1634339,R025-0500095,5086781,Not Available,10309,21660.0,Not Available,0.2,Not Available,Not Available,STATEN IS,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),06/2020,Not Available,Not Available,Not Available,226.0,Not Available,0.0,Not Available,1.1,75,1,K-12 School,21660.0,96600,Not Available,Staten Island,Not Available,Not Available,Not Available,286608.0,3.9,22.8,Not Available,Not Available,Not Available,Not Available,Not Available,54.3,1.5,Not Available,147.2,Ok,Not Available
1261461,300 Madison Avenue,1085972,1.48527,10017,1123417.0,7000,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,03/15/2021,No,Not Available,Not Available,12000,Not Available,82.0,"2010 (76), 2012 (75), 2013 (80), 2015 (82), 2016 (82), 2017 (81), 2018 (79), 2020 (75)",0.0,3772.89,6.1,69,1,Office,1142417.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,69784783.0,17.9,6979.5,Not Available,Not Available,Not Available,Not Available,Not Available,7005.1,0,Not Available,257.8,Ok,Not Available
1633360,K192-0300194,3128909,Not Available,11204,91200.0,Not Available,0.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,Not Available,Not Available,476.0,Not Available,0.0,Not Available,1.1,75,1,K-12 School,91200.0,1863690.2,Not Available,Brooklyn,Not Available,Not Available,Not Available,1292192.6,4.2,102.7,Not Available,Not Available,Not Available,Not Available,Not Available,350.1,2.7,Not Available,135.5,Ok,Not Available
1633076,X087-0200127,2069061,Not Available,10466,58260.0,Not Available,0.5,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,428.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,58260.0,276000,Not Available,Bronx,Not Available,Not Available,Not Available,949900.8,4.9,75.5,Not Available,Not Available,Not Available,Not Available,Not Available,233.5,2.7,Not Available,123.6,Ok,Not Available
1633933,X056-0200091,2018457,Not Available,10467,96000.0,Not Available,0.5,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),01/2020,Not Available,Not Available,Not Available,42902.0,Not Available,0.0,Not Available,3,75,1,K-12 School,96000.0,0,Not Available,Bronx,Not Available,Not Available,Not Available,3660393.6,11.2,290.9,Not Available,Not Available,Not Available,Not Available,Not Available,515.3,2.3,Not Available,137.2,Ok,Not Available
1836714,M918-0101535,1064704,Not Available,10034,69818.0,Not Available,0.2,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,02/2020,Not Available,Not Available,Not Available,299.0,Not Available,0.0,Not Available,1.4,75,1,K-12 School,69818.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,1258345.6,5.3,100,Not Available,Not Available,Not Available,Not Available,Not Available,167.8,1,Not Available,127.8,Ok,Not Available
1633072,X058-0200093,2009540,Not Available,10457,74480.0,Not Available,0,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),02/2020,Not Available,Not Available,Not Available,395.0,Not Available,0.0,Not Available,1,75,1,K-12 School,74480.0,3581237.8,Not Available,Bronx,Not Available,Not Available,Not Available,971191.7,3.8,77.2,Not Available,Not Available,Not Available,Not Available,Not Available,352.0,3.7,Not Available,111.9,Ok,Not Available
1634383,M460-0100181,1017828,Not Available,10003,450200.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,06/2020,Not Available,Not Available,Not Available,50.0,Not Available,0.0,Not Available,4,75,1,K-12 School,450200.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,4536595.2,3.0,1816.9,Not Available,Not Available,Not Available,Not Available,Not Available,1820.1,0,Not Available,128.2,Ok,Not Available
1426421,The State - Whitehall Company,1000021,0.54954,10004,849807.0,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,38567,Not Available,9.0,Not Available,0.0,2620,5.7,Not Available,1,Office,898374.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,34978220.4,11.9,4892.9,Not Available,Not Available,Not Available,Not Available,Not Available,4892.9,0,Not Available,181.2,Ok,Not Available
1634181,K049-0300069,3070825,Not Available,11206,186000.0,Not Available,0.5,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,505.0,Not Available,0.0,Not Available,0.8,75,1,K-12 School,186000.0,0,Not Available,Brooklyn,Not Available,Not Available,Not Available,1970771.2,3.1,156.6,Not Available,Not Available,Not Available,Not Available,Not Available,568.0,2.2,Not Available,120.5,Ok,Not Available
1771506,NYU Langone Orthopedic Hospital,1020429,Not Available,10009,338424.0,Not Available,0,Not Available,Not Available,MANHATTAN,338424,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,Not Available,Not Available,48.0,Not Available,0.0,Not Available,18.5,Not Available,1,Hospital (General Medical & Surgical),338424.0,Not Available,2.65939,New York,Not Available,Not Available,900,36166722.3,30.8,6261.5,Not Available,Not Available,Not Available,Not Available,Not Available,6310.8,0.1,Not Available,445.7,Ok,Not Available
1632816,Raymour and Flanigan Elmhurst,4064655,Not Available,11373,52862.0,52862,0.2,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,Not Available,Not Available,475.0,Not Available,0.0,Not Available,0.9,70,1,Retail Store,52862.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,605541.3,3.4,48.1,Not Available,Not Available,Not Available,Not Available,Not Available,83.9,0.7,Not Available,142.9,Ok,Not Available
1633553,K874-0300120,3029060,Not Available,11238,25715.0,Not Available,0.6,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,163.0,Not Available,0.0,Not Available,2.5,75,1,K-12 School,25715.0,0,Not Available,Brooklyn,Not Available,Not Available,Not Available,811783.0,9.0,64.5,Not Available,Not Available,Not Available,Not Available,Not Available,142.1,3,Not Available,117.3,Ok,Not Available
1457889,330 Madison Avenue,1035348,1.25976,10017,800598.0,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,No,Ok,03/10/2021,No,Not Available,Not Available,4738,Not Available,94.0,"2008 (75), 2013 (87), 2015 (84), 2016 (82), 2017 (82), 2018 (80), 2020 (75)",0.0,4120,4.3,85,1,Office,810475.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,34268899.7,12.4,3500.6,Not Available,Not Available,Not Available,Not Available,Not Available,3500.6,0,Not Available,216.0,Ok,Not Available
1836542,M097-0100092,1004062,Not Available,10002,85300.0,Not Available,0.4,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,06/2020,Not Available,Not Available,Not Available,1002.0,Not Available,0.0,Not Available,0.8,75,1,K-12 School,85300.0,124200,Not Available,New York,Not Available,Not Available,Not Available,894217.0,3.1,71.1,Not Available,Not Available,Not Available,Not Available,Not Available,239.6,2,Not Available,127.6,Ok,Not Available
1633620,K376-0301609,3075072,Not Available,11237,90100.0,Not Available,0.3,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),06/2020,Not Available,Not Available,Not Available,431.0,Not Available,0.0,Not Available,2.3,75,1,K-12 School,90100.0,0,Not Available,Brooklyn,Not Available,Not Available,Not Available,2580836.8,8.4,205.1,Not Available,Not Available,Not Available,Not Available,Not Available,311.4,1.2,Not Available,121.3,Ok,Not Available
1633728,X092-0200133,2012620,Not Available,10457,104500.0,Not Available,0.5,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,371.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,104500.0,483000.2,Not Available,Bronx,Not Available,Not Available,Not Available,1230162.5,3.5,97.8,Not Available,Not Available,Not Available,Not Available,Not Available,393.1,2.8,Not Available,125.6,Ok,Not Available
1633148,K257-0300261,3071571,Not Available,11206,106800.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,07/2020,Not Available,Not Available,Not Available,491.0,Not Available,0.0,Not Available,1.1,75,1,K-12 School,106800.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1534035.2,4.1,121.9,Not Available,Not Available,Not Available,Not Available,Not Available,344.4,2.1,Not Available,127.2,Ok,Not Available
1295925,10769-Fresh Meadows,4153294,Not Available,11365,143975.0,143975,0,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,12/15/2010,No,Not Available,Not Available,Not Available,Not Available,1347.0,2010 (75),0.0,Not Available,Not Available,75,1,Retail Store,143975.0,Not Available,Not Available,Fresh Meadows,Not Available,Not Available,Not Available,3248121.6,6.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,0,Not Available,147.6,Ok,Not Available
1633468,M057-0100068,1083184,Not Available,10029,109300.0,Not Available,0.4,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,08/2020,Not Available,Not Available,Not Available,182.0,Not Available,0.0,Not Available,1.8,75,1,K-12 School,109300.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,2411601.6,6.5,191.6,Not Available,Not Available,Not Available,Not Available,Not Available,383.4,1.8,Not Available,128.9,Ok,Not Available
1633860,R045-0500068,5007417,Not Available,10310,87680.0,Not Available,0.6,Not Available,Not Available,STATEN IS,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),09/2020,Not Available,Not Available,Not Available,121.0,Not Available,0.0,Not Available,1,75,1,K-12 School,87680.0,253368,Not Available,Staten Island,Not Available,Not Available,Not Available,1132784.0,3.8,90,Not Available,Not Available,Not Available,Not Available,Not Available,368.0,3.2,Not Available,122.4,Ok,Not Available
1836548,M844-0100199,1022052,Not Available,10010,68480.0,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),01/2020,Not Available,Not Available,Not Available,62.0,Not Available,0.0,Not Available,4,75,1,K-12 School,68480.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,1410780.1,6.0,274,Not Available,Not Available,Not Available,Not Available,Not Available,274.0,0,Not Available,178.7,Ok,Not Available
1633587,K287-0300286,3000203,Not Available,11201,106800.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),10/2020,Not Available,Not Available,Not Available,23.0,Not Available,0.0,Not Available,0.9,75,1,K-12 School,106800.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1266397.9,3.5,100.6,Not Available,Not Available,Not Available,Not Available,Not Available,389.3,2.7,Not Available,109.7,Ok,Not Available
1634647,X015-0200274,2096013,Not Available,10453,162125.0,Not Available,0.5,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),01/2020,Not Available,Not Available,Not Available,255.0,Not Available,0.0,Not Available,3.3,75,1,K-12 School,162125.0,0,Not Available,Bronx,Not Available,Not Available,Not Available,6684790.4,12.1,531.2,Not Available,Not Available,Not Available,Not Available,Not Available,865.8,2.1,Not Available,135.1,Ok,Not Available
1836530,R030-0500053,5113069,Not Available,10314,96100.0,Not Available,0.4,Not Available,Not Available,,Not Available,Not Available,Not Available,Ok,Not Available,No,09/2020,Not Available,Not Available,Not Available,,Not Available,0.0,Not Available,1.2,75,1,K-12 School,96100.0,901002,Not Available,Staten Island,Not Available,Not Available,Not Available,1419937.9,4.3,112.8,Not Available,Not Available,Not Available,Not Available,Not Available,378.0,2.8,Not Available,124.7,Ok,Not Available
1634618,M136-0100122,1059460,Not Available,10030,135725.0,Not Available,0.6,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),11/2020,Not Available,Not Available,Not Available,22102.0,Not Available,0.0,Not Available,0.6,75,1,K-12 School,135725.0,0,Not Available,New York,Not Available,Not Available,Not Available,1074097.6,2.3,85.4,Not Available,Not Available,Not Available,Not Available,Not Available,463.4,2.8,Not Available,125.6,Ok,Not Available
1634745,"Q191-P.S. 191, Queens (0400169)",4180083,Not Available,11001,87600.0,Not Available,0,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,08/18/2018,No,10/2020,Not Available,Not Available,Not Available,157903.0,"2014 (91), 2016 (93), 2018 (94)",0.0,Not Available,1,75,1,K-12 School,87600.0,Not Available,Not Available,Queens,Not Available,No,Not Available,1114359.2,3.7,88.6,Not Available,Not Available,Not Available,Not Available,Not Available,367.2,3.2,Not Available,157.1,Ok,Not Available
1329076,599 Lexington,1036467,2.1107,10022,1049413.0,Not Available,0,Not Available,Not Available,,Not Available,Not Available,Not Available,Ok,08/09/2018,No,Not Available,Not Available,4785,Not Available,,"2014 (75), 2015 (77), 2016 (78), 2017 (78), 2018 (75)",0.0,2804,4.5,75,1,Office,1059041.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,55457078.5,15.3,4750.9,Not Available,Not Available,Not Available,Not Available,Not Available,4776.5,0,Not Available,206.1,Ok,Not Available
1634527,Q153-0400140,4060987; 2000 Addition-4521128,Not Available,11378,138004.0,Not Available,0.5,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,01/2020,Not Available,Not Available,Not Available,599.0,Not Available,0.0,Not Available,1.3,75,1,K-12 School,138004.0,0,Not Available,Queens,Not Available,Not Available,Not Available,2208246.4,4.7,175.5,Not Available,Not Available,Not Available,Not Available,Not Available,506.4,2.4,Not Available,107.2,Ok,Not Available
1819837,Center for Automotive Education and Training,4564828;4854710,Not Available,11357,92705.0,Not Available,0.3,Not Available,Not Available,QUEENS,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,Not Available,Not Available,945.0,Not Available,0.0,Not Available,2.7,Not Available,1,Vocational School,92705.0,Not Available,Not Available,Whitestone,Not Available,Not Available,Not Available,3139574.0,9.9,249.5,Not Available,Not Available,Not Available,Not Available,Not Available,380.5,1.4,Not Available,110.4,Ok,Not Available
1633161,K290-0300334,3087821,Not Available,11207,75600.0,Not Available,0,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,Unable to Check (not enough data),08/2020,Not Available,Not Available,Not Available,1198.0,Not Available,0.0,Not Available,1.6,75,1,K-12 School,75600.0,Not Available,Not Available,Brooklyn,Not Available,No,Not Available,1484902.4,5.8,118,Not Available,Not Available,Not Available,Not Available,Not Available,327.6,2.8,Not Available,111.1,Ok,Not Available
1296055,10781-Ceasar's Bay,3345609,Not Available,11214,133882.0,133882,0.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,Not Available,Ok,Not Available,No,Not Available,Not Available,Not Available,Not Available,294.0,Not Available,0.0,Not Available,3.6,75,1,Retail Store,133882.0,Not Available,Not Available,Brooklyn,Not Available,Not Available,Not Available,6014796.4,13.2,478,Not Available,Not Available,Not Available,Not Available,Not Available,621.3,1.1,Not Available,146.0,Ok,Not Available
1633496,M833-0101333,1001037,Not Available,10006,115125.0,Not Available,0,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Ok,Not Available,No,03/2020,Not Available,Not Available,Not Available,13.0,Not Available,0.0,Not Available,7.8,75,1,K-12 School,115125.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,3886950.4,9.9,896.6,Not Available,Not Available,Not Available,Not Available,Not Available,898.1,0,Not Available,119.1,Ok,Not Available
1600063,590 Madison Avenue,1035778,1.15982,10022,494457.0,46637,Not Available,Not Available,Not Available,MANHATTAN,Not Available,70,Not Available,Ok,Not Available,Unable to Check (not enough data),Not Available,Not Available,481483,Not Available,11202.0,Not Available,0.0,2322,1.7,75,1,Office,1053577.0,Not Available,Not Available,New York,Not Available,Not Available,Not Available,48244008.1,13.7,1773.5,Not Available,Not Available,Not Available,Not Available,Not Available,1773.5,0,Not Available,195.5,Ok,Not Available
