location_name,tier_3_support_leader_name,community_district,grades_text,principal_title,latitude,fax_number,principal_name,location_category_description
P.S. 282 Park Slope,,306,"PK,0K,01,02,03,04,05,06,08,SE",Principal,40.676649,718-622-3471,Amy Rodriguez,K-8
Brooklyn Bridge Academy,,318,"09,10,11,12,SE",Principal,40.634451,718-968-1678,Max Jean Paul,High school
The Academy of Talented Scholars,Mauriciere de Govia,311,"0K,01,02,03,04,05,SE",Principal,40.606994,718-621-2735,JOSEPHIN SPORTELLA-GIUST,Elementary
Harlem Children's Zone Promise Academy II Charter,,111,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Executive Director,40.807019,212-281-0804,Achil Petit/Anne Williams-Isom,K-12 all grades
I.S. 271 John M. Coleman,,316,"08,SE",Principal,40.6827,718-495-7831,Rosemarie Sinclair,Junior High-Intermediate-Middle
KAPPA IV,,110,"06,07,08,SE",PRINCIPAL,40.817228,212-690-8056,Juan Vives,Junior High-Intermediate-Middle
J.H.S. 143 Eleanor Roosevelt,"CHU, YUET",112,"06,07,08,SE",Principal,40.849311,212-781-5539,Lakisha Mcdaniel Luke,Junior High-Intermediate-Middle
P.S. 114 Ryder Elementary,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.642684,718-649-5216,Latina Tention,Elementary
World Academy for Total Community Health High Scho,,305,"09,10,11,12,SE",Principal,40.666868,718-922-0709,Claudette Christie,High school
P.S. 132 The Conselyea School,,301,"PK,0K,01,02,03,04,05,SE",Principal,40.714772,718-599-7417,BETH LUBECK,Elementary
The Greenpoint Community Middle School At The John,,301,,,40.719818,,,Junior High-Intermediate-Middle
P.S. 020 Anna Silver,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",Principal,40.721305,212-254-3526,SARAH PINTO VIAGRAN,Elementary
P.S. 175 Henry H Garnet,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.814388,212-286-6319,Kavita Pereira,Elementary
P.S./I.S. 30 Mary White Ovington,Mauriciere de Govia,310,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.633598,718-491-8445,Carol Heeraman,K-8
Williamsburg Charter High School,,301,"09,10,11,12",Principal,40.703703,347-464-7604,Tanishia Williams,High school
The Opportunity Charter School,,110,"06,07,08,09,10,11,12,SE",Executive Director,40.801573,212-665-7436,Sade McCaw/Leonard Goldberg,Secondary School
Democracy Prep Endurance Charter School,,110,"06,07,08,09,10,11,12",Principal,40.810499,,Emmanuel George/Katherine Perez,Secondary School
P.S. 277 Gerritsen Beach,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",Principal,40.595798,718-368-0920,Theresa Vlantis,Elementary
Brooklyn Arts and Science Elementary School,Mauriciere de Govia,308,"PK,0K,01,02,03,04,05,SE",Principal,40.6771,,Sandra Beauvoir Soto,Elementary
P.S./I.S. 217 Roosevelt Island,"CHU, YUET",108,"PK,0K,01,02,03,04,05,06,07,08",Principal,40.753598,212-980-1192,MANDANA BECKMAN,K-8
P.S. 131 Brooklyn,,312,"PK,0K,01,02,03,04,05,SE",Principal,40.640728,718-431-1970,STAMATINA HATZIMICHALIS,Elementary
Frederick Douglass Academy VII High School,,316,"09,10,11,12,SE",I.A. Principal,40.665568,718-922-2761,Tamika Matheson,High school
P.S. 204 Vince Lombardi,Mauriciere de Govia,311,"PK,0K,01,02,03,04,05,SE",Principal,40.613535,718-232-9265,Nancy Tomasuolo,Elementary
Coalition School for Social Change,,111,"09,10,11,12,SE",PRINCIPAL,40.799265,212-831-5951,Geralda Valcin,High school
Bushwick Hs,,304,,Principal,40.697,718-381-1905,Ana Santiago,High school
JHS 088 Wadleigh,,110,,,40.8022,212-749-6463,,Junior High-Intermediate-Middle
P.S. 200- The James McCune Smith School,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.823988,212-491-6925,RENEE BELTON,Elementary
Brooklyn School for Music & Theatre,,309,"08,09,10,11,12,SE",Principal,40.669805,718-230-6262,PAMELA RANDAZZO,High school
Manhattan Early College School for Advertising,,101,"09,10,11,12,SE",Principal,40.711441,212-225-0882,Sarah Kaplan,High school
Urban Assembly Institute of Math and Science for Y,,302,"06,07,08,09,10,11,12,SE",Principal,40.694629,718-260-2301,Kiri Soares,Secondary School
Ross Global Academy Charter School,,103,8,PRINCIPAL,40.729152,212-889-1760,Richard Burke,K-8
M S 390 Maggie L. Walker,,308,8,I.A. Principal,40.6727,718-467-4522,Tyone Washington,Junior High-Intermediate-Middle
P.S. 110 Florence Nightingale,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",Principal,40.7162,212-475-5835,KAREN FEUER,Elementary
East New York Family Academy,,305,"06,07,08,09,10,11,12,SE",Principal,40.673766,718-498-5246,Anthony Yard,Secondary School
M.S. 324 - Patria Mirabal,"CHU, YUET",112,"06,07,08,SE",Principal,40.839139,212-923-4626,CARLOS GUZMAN,Junior High-Intermediate-Middle
Columbia Secondary School,"CHU, YUET",109,"06,07,08,09,10,11,12,SE",Principal,40.810793,212-666-3805,Miriam Nightengale,Secondary School
PS 314 Luis Munoz Marin,,307,SE,Principal,40.6422,718-492-9431,MR. DAVID WEINER,Elementary
Believe Southside Charter High School,,301,9,PRINCIPAL,40.719818,347-390-1276,Shannon Browne,High school
P.S. 132 Juan Pablo Duarte,"CHU, YUET",112,"0K,01,02,03,04,05,SE",I.A. Principal,40.850561,212-568-8163,Wendy Poveda,Elementary
