device_id,job_filing_number,type_of_machine_break,hoist_direction,counter_weight_buffer_stroke,outdoor_escalator,counter_weight_safety_type,number_of_openings_side,escalator_energy_saving,hoist_rope_material,car_inside_width_inches,cwtgovernor_ropes_qty,machine_jack_type,hoist_rope_size,glass_or_transparent,escalator_step_width_feet,main_supply_power_type,hoist_rope_ultimate_strength,cargovernor_ropes_size,car_counterweight_ropes_1,counter_weight_buffer_2,glass_car,counter_weight_buffer_type,travel_to_floor,interlocks_type,cargovernor_ropes_qty,fire_emergency_phase,sized_for_stretcher,device_in_conjunction_with,hoist_manufacturer,car_opening,escalator_travel_to_floor
3P2835,B00167364-I1,Drum,Horizontal,,,,0.0,,Steel,9.0,1.0,,1/2,,,AC,,3/8,,,No,,6,N,1.0,Yes,No,No,GA;,Door,
2P3550,X00809587-I1,Emergency Brake,Horizontal,0.0,,,0.0,,Steel,2.0,,,1/2,,,AC,14500,1/2,,YES,No,Oil,21,MO,1.0,Yes,No,No,GAL,Door,
1P19799,M00210757-I1,Drum,Vertical,,,,0.0,,Steel,1.0,1.0,,5/8,,,AC,"18,500",1/2,,,No,,PH,N,1.0,Yes,No,No,GAL,Door,
1P22973,M00828003-I1,,,,,,,,,,,,1/2'',,,,,3/8'',,,,,13,,,,,,,,
3P0991854,B00361178-I1,Disc,Horizontal,0.0,,,2.0,,Steel,0.0,,,10mm,,,AC,"12,900#",3/8'',,Yes,No,Oil,5,MO,1.0,Yes,Yes,No,G.A.L.,Door,
1P24429,M00186657-I1,Drum,Horizontal,0.0,,,0.0,,Steel,7.0,,,1/2,,,AC,14500,7/16,,,No,Spring,12,MO,1.0,Yes,No,No,GAL,Door,
1P10341,M00211602-P3,Disc,Horizontal,0.0,,,0.0,,Steel,0.0,,,1/2,,,AC,"14,500",3/8,,,No,Spring,6,N,1.0,Yes,No,No,GAL,Door,
1P48641,M00300879-I1,,Horizontal,,,,0.0,,,2.0,,Single Jack,,,,AC,,,,YES,Yes,Spring,4,EXISTING,,Yes,No,No,GAL,Door,
3P7872,B00933533-I1,,Horizontal,0.0,,,0.0,,Steel,2.0,,,5/8,,,AC,29000,3/8,,,No,Oil,"11,PH",na,1.0,Yes,No,No,na,Door,
1P494,M00330293-I1,Drum,Horizontal,0.0,,,0.0,,,9.0,,,,,,AC,,,,,No,Oil,PH,MO,,Yes,No,No,G.A.L.,Door,
1P32044,M00287955-I1,Drum,Horizontal,0.0,,,0.0,,Steel,0.0,,,1/2,,,AC,,3/8,,,No,Oil,16,mocp,1.0,Yes,No,No,gal,Door,
1P20190,M00735000-I1,,,,,,,,Steel,,1.0,,5/8,,,,,1/2,,,,,5,,1.0,,,,,,
1P1000467,M01050759-I1,Disc,Horizontal,0.0,,,0.0,,Steel,0.0,,,3/8,,,AC,8200,3/8,,,No,Spring,2-4,MOH,1.0,Yes,No,No,GAL,Door,
1P49134,M00235446-I1,Emergency Brake,Horizontal,,,,0.0,,Steel,7.0,,,,,,AC,,,,,No,,5,existng,,Yes,Yes,No,existing,Door,
4P11206,Q00229012-I1,Drum,Horizontal,,,,0.0,,Steel,7.0,1.0,,1/2'',,,AC,,3/8,,,No,,14,tke,1.0,Yes,No,No,tke,Door,
3P6137,B01014177-I1,,Horizontal,1.0,,,0.0,,Steel,0.0,,,1/2,,,AC,14500,3/8,,YES,No,Oil,23,MO,1.0,Yes,No,No,GAL,Door,
3P3964,B00411628-I1,,,,,,,,Steel,,1.0,,1/2,,,,,3/8,,,,,,,1.0,,,,,,
4P11408,Q01214940-I1,,,,,,,,Steel,,1.0,,5/8,,,,,3/8,,,,,PH,,1.0,,,,,,
2P4,X00387824-I1,,,,,,,,,,1.0,,1/2,,,,,,,,,,8,,1.0,,,,,,
2P2876,X00685256-I1,,Horizontal,0.0,,,0.0,,Steel,8.0,,,1/2,,,AC,14500,1/2,,,No,Spring,13,MO,1.0,Yes,No,No,GAL,Door,
1P25942,M00521903-P2,Drum,Horizontal,5.0,,Flexible Guide,0.0,,Steel,7.0,1.0,,11/16,,,AC,"27,000",1/2,Steel,yes,No,Oil,45,6940,1.0,Yes,No,No,Otis,Door,
1P24343,M01016039-I1,Drum,Horizontal,4.0,,Gradual WC,0.0,,Steel,10.0,1.0,,11/16,,,AC,"30,000",10MM,Steel,,No,Oil,37,OTIS,1.0,Yes,Yes,No,OTIS,Door,
1P2933,M00183222-I1,Drum,Horizontal,1.0,,,0.0,,,3.0,,,,,,AC,,,,EXISTING,No,Oil,11,MO,,Yes,No,No,G.A.L.,Door,
1P24291,M00170844-I1,Drum,Horizontal,0.0,,,0.0,,Steel,8.0,,,1/2,,,AC,14500,1/2,,,No,Oil,PH,MO,1.0,Yes,No,No,GAL,Door,
1P37322,M00213029-I1,Disc,Horizontal,,,,0.0,,,8.0,,,,,,AC,,,,,No,,6,mo,,Yes,No,No,gal,Door,
1P31666,M00339725-I1,,Horizontal,8.0,,,0.0,,Steel,4.0,,,5/8,,,DC,23000,1/2,,,No,Oil,34-44,mo,1.0,Yes,No,No,gal,Door,
1P25405,M00311160-I1,,,,,,,,Steel,,1.0,,1/2,,,,,3/8,,,,,12,,1.0,,,,,,
4P11141,Q00244345-I1,,Horizontal,,,,0.0,,,9.0,,Single Jack,,,,AC,,,,,No,,1ST,tke,,Yes,No,No,tke,Door,
1P43008,M00278202-I1,Drum,Horizontal,0.0,,,0.0,,Steel,7.0,,,5/8,,,AC,21000,3/8,,,No,Spring,7,,1.0,No,No,No,,Door,
1P46370,M00026276-P1,Disc,Horizontal,8.0,,,0.0,,Steel,5.0,,,10MM,,,AC,15220,3/8,,,No,Oil,6,66401,1.0,Yes,No,No,THYSSENKRUPP,Door,
1P45424,M00174303-I1,Drum,Horizontal,0.0,,,0.0,,Steel,8.0,,,5/8,,,AC,,3/8,,,No,Oil,11,66401,1.0,Yes,No,No,TKE,Door,
4P6035,Q00208692-P1,,Horizontal,0.0,,,0.0,,,4.0,,Single Jack,,,,AC,,,,,No,Spring,2,MO,,Yes,No,No,GAL,Door,
3P280,B00103167-I1,Disc,Horizontal,4.0,,,0.0,,Steel,9.0,,,1/2,,,AC,,3/8,,yes,No,Spring,6,MO,,Yes,No,No,G.A.L.,Door,
1P32442,M00565900-I1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
1P11985,M00171891-I1!,Disc,Horizontal,1.0,,,0.0,,Steel,1.0,1.0,,5/8,,,AC,,3/8,,,No,Oil,PH2,MOH,1.0,Yes,No,No,GAL,Door,
3P14888,B00205361-I1,,Horizontal,,,,0.0,,,8.0,,Single Jack,,,,AC,,,,,No,,2,mce,,Yes,Yes,No,mce,Door,
2P0994968,X00658089-P2,Disc,Horizontal,0.0,,,0.0,,Belt,9.0,,,"85,000",,,AC,69.9KN,66.99MM,Belt,,No,Oil,8,BL-E073,1.0,Yes,Yes,No,SEMATIC,Door,
4P14507,Q00651497-I1,,Horizontal,,,,0.0,,Steel,6.0,,Dual Jack,10mm,,,AC,14836,3/8,,,No,,"3,4",existing,1.0,Yes,Yes,No,existing,Door,
2P10654,X00114374-I1,Drum,Vertical,0.0,,,0.0,,Steel,8.0,1.0,,1/2,,,AC,,3/8,,ob-n-120,No,,8,mo,1.0,Yes,Yes,No,gal,Door,
5V0987248,S00083243-I1,Drum,Horizontal,,,,0.0,,,,,,,,,AC,,,,,,,,,,,,,,,
1P41878,M00073148-I1,Drum,Horizontal,3.0,,,0.0,,Steel,3.0,,,5/8,,,AC,23000,3/8,,,No,Oil,PH4,MO,1.0,Yes,No,No,GAL,Door,
4W10289,Q01119640-I1,,Horizontal,,,,0.0,,Steel,6.0,,,3/8,No,,AC,,,,,,,002,,,,,No,,Door,
1P371,M00080062-P1,Disc,Horizontal,0.0,,,0.0,,Steel,6.0,,,5/8,,,AC,23000,1/2,,,No,Oil,PH,MO,1.0,Yes,No,No,GAL,Door,
3P5919,B00290186-I1,Drum,Horizontal,0.0,,,0.0,,Steel,11.0,,,1/2,,,AC,"14,500",3/8,,,No,Spring,6,MO,1.0,Yes,No,No,GAL,Door,
2P1813,X00187687-I1,,Horizontal,,,Instantaneous,0.0,,,0.0,1.0,,1/2,,,AC,,3/8,,,No,,6,,1.0,Yes,No,No,,Door,
1o41421,M00259351-I1,,Horizontal,,,,0.0,,,7.0,,Single Jack,,,,AC,,,,,No,,R,,,Yes,No,No,,Door,
1P29178,M00126964-I1,Drum,Horizontal,,,,0.0,,,6.0,,,,,,AC,,,,,No,,33,MOCP,,Yes,No,No,GAL,Door,
4P10554,Q00298517-I1,Drum,Horizontal,0.0,,,0.0,,Steel,10.0,,,5/8,,,AC,23000,3/8,,,No,Oil,3M,MO,1.0,Yes,No,No,GAL,Door,
1P0991640,M00354817-I1,,Horizontal,,,,0.0,,Steel,3.0,,Dual Jack,12mm,,,AC,"21,900#",3/8'',,No,No,,3,MO,1.0,Yes,No,No,GAL,Door,
1E20622,M00609975-I1,,,,No,,,No,,,,,,,1.0,,,,,,,,,,,,,No,,,69.0
3P645,B00436076-I1,,,,,,,,Steel,,1.0,,5/8,,,,,1/2,,,,,6,,1.0,,,,,,
1P17009,M00108655-I1,Drum,Horizontal,1.0,,Flexible Guide,0.0,,Steel,2.0,,,5/8'',,,AC,"23,000",1/2'',,,No,Oil,11,MOCP,1.0,Yes,Yes,No,GAL,Door,
5P0997182,S08026288-P1,Emergency Brake,Horizontal,0.0,,,0.0,,Steel,8.0,,,8mm,,,AC,9736,9Mm,,,No,Oil,C2,MOVFR,1.0,Yes,Yes,No,GAL,Door,
1P26514,M00046398-I1,Disc,Horizontal,0.0,,,0.0,,Steel,8.0,,,1/2,,,AC,14500,3/8,,,No,Oil,21,MO,1.0,Yes,No,No,GAL,Door,
1P0994535,M00630411-I1,Disc,Horizontal,1.0,,,0.0,,Steel,8.0,,,5/8 in,,,AC,23000 lbs.,3/8 in,,Yes,No,Oil,30,MO,1.0,Yes,No,No,GAL,Door,
4P10669,Q00167296-I1,,Horizontal,,,,0.0,,,10.0,,Dual Jack,,,,AC,,,,,No,,2,6940,,Yes,Yes,No,OTIS,Door,
1P15372,M00500935-I1,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,
4P0989131,Q00092553-I1,Emergency Brake,Horizontal,,,,0.0,,,8.0,,Single Jack,,,,AC,,,,,No,,1,6940,,Yes,No,No,Otis,Door,
1P0989462,M0014 7584-I1,Disc,Vertical,0.0,,,0.0,,Steel,8.0,,,3/8'',,,AC,8200,3/8'',,,No,Oil,"16,R",MO,1.0,Yes,Yes,No,GAL,Door,
1P19843,M00945492-I1,Disc,Horizontal,0.0,,,0.0,,Steel,4.0,,,1/2,,,AC,14500,3/8,,,No,Spring,3,N,1.0,Yes,No,No,GAL,Gate,
2P4938,X00338428-I1,Disc,Horizontal,,,,0.0,,Steel,3.0,1.0,,1/2,,,AC,,3/8,,,No,,6,mo,1.0,Yes,No,No,gal,Door,
1P25942,M00521903-I1,Drum,Horizontal,5.0,,Flexible Guide,0.0,,Steel,7.0,1.0,,11/16,,,AC,"27,000",1/2,Steel,yes,No,Oil,45,6940,1.0,Yes,No,No,Otis,Door,
3P0987134,B00060572-P2,Disc,Horizontal,0.0,,,0.0,,Steel,8.0,,,5/8,,,AC,23000,3/8,,YES,No,Spring,R,MOH,1.0,Yes,Yes,No,GAL,Door,
2P4039,X00346418-I1,,Horizontal,,,,0.0,,,0.0,,Single Jack,,,,AC,,,,,No,,2,66401,,Yes,No,No,THYSSENKRUPP,Door,
1P47939,M00318072-I1,,Horizontal,,,,0.0,,Steel,0.0,,Single Jack,,,,AC,,,,,No,Oil,4,mo,1.0,Yes,No,No,gal,Door,
2P10249,X00164326-I1,,Horizontal,,,,0.0,,,8.0,,Single Jack,,,,AC,,,,,No,,4,GAL,,Yes,Yes,No,GAL,Door,
1P27744,M00883944-I1,Drum,Horizontal,1.0,,,0.0,,Steel,8.0,,,1/2,,,AC,14500,1/2,,,No,Oil,34,Mocp,1.0,Yes,No,No,GAL,Door,
1P31024,M00029566-P1,Drum,Horizontal,1.0,,,0.0,,Steel,10.0,,,1/2,,,AC,14500,3/8,,Yes,No,Oil,35. R,MOHB,1.0,Yes,No,No,GAL,Door,
1P2,M00315470-I1,Disc,Horizontal,,,,0.0,,,0.0,,,,,,AC,,,,,No,,6,M,,Yes,No,No,GAL,Door,
1P30928,M00575776-P1,Drum,Horizontal,1.0,,,0.0,,Steel,10.0,,,1/2,,,AC,14500,1/2,,,No,Oil,37,MOH,1.0,Yes,No,No,GAL,Door,
1P26568,M00254733-I1,,Horizontal,1.0,,,0.0,,Steel,3.0,,,1/2,,,AC,14500,3/8,,,No,Oil,12,MO,1.0,Yes,No,No,GAL,Door,
3W0993640,B00525755-I1,,Horizontal,,,,0.0,,Steel,0.0,,,#50 CHAIN,No,,AC,7171 LBS,,,,,,1,PRO-LOCK,,,,No,SAVARIA,,
1P37192,M00282436-I1,Drum,Horizontal,,,,0.0,,,8.0,,,,,,AC,,,,,No,,25,G,,Yes,No,No,DOVER,Door,
1P35609,M00174384-I1,Emergency Brake,Horizontal,,,,0.0,,,8.0,,Single Jack,,,,AC,,,,,No,,6,MO,,Yes,Yes,No,G.A.L.,Door,
1E20510,M00308186-I1,,,,No,,,No,,,,,,,2.0,,,,,,,,,,,,,No,,,
1P718,M00724655-I1,Drum,Horizontal,2.0,,,0.0,,Steel,5.0,,,1/2,,,DC,"14,500",3/8,Steel,Yes,No,Oil,21,MOCPH,1.0,Yes,No,No,GAL,Door,
4P11238,Q00242136-I1,,Horizontal,,,,0.0,,Steel,8.0,,Single Jack,7/16,,,AC,"11,000",3/8,,,No,,R,MO,1.0,Yes,No,No,GAL,Door,
1P27261,M00193197-I1,Disc,Horizontal,,,,0.0,,,6.0,,,,,,AC,,,,,No,,11,MO,,Yes,Yes,No,GAL,Door,
4P0997354,Q00808920-I1,Emergency Brake,Horizontal,0.0,,,0.0,,Steel,5.0,,,8mm,,,AC,8200,6.0mm,,,No,Other,7,AMD,1.0,Yes,Yes,No,Wittur,Door,
1P30331,M08021622-I1,Drum,Horizontal,1.0,,,0.0,,Steel,8.0,0.0,,1/2'',,,AC,"14,500#",3/8'',,YES,No,Oil,PH,MO,1.0,Yes,No,No,G.A.L,Door,
3P0986700,B00045792-I1,Emergency Brake,Horizontal,,,,0.0,,,6.0,,Dual Jack,,,,AC,,,,,No,,2,MO,,Yes,Yes,No,GAL,Door,
3P0992387,B00418113-P2,Disc,Horizontal,0.0,,,0.0,,Belt,5.0,,,30MM,,,AC,9673,1/4,,Yes,No,Other,8,6940,1.0,Yes,Yes,No,Otis,Door,
4P0992999,Q00468398-I1,Drum,Horizontal,0.0,,,0.0,,Steel,8.0,0.0,,10MM,,,AC,"12,900#",3/8'',,YES,No,Spring,11,MO,1.0,Yes,Yes,No,G.A.L.,Door,
2P5519,X00342328-I1,,Horizontal,,,,0.0,,,9.0,,Single Jack,,,,AC,,,,,No,,2,MO,,Yes,No,No,GAL,Door,
3P6686,B00856177-I1,Disc,Horizontal,1.0,,,0.0,,Steel,8.0,,,5/8,,,AC,23000,3/8,,,No,Oil,23,mo,1.0,Yes,Yes,No,gal,Door,
2P0997374,X08046973-P1,Disc,Horizontal,0.0,,,0.0,,Steel,10.0,,,5/8,,,AC,23000,3/8,,Yes,No,Oil,11,MOH,1.0,Yes,Yes,No,GAL,Door,
