permitid,fullapplicationno,axle2weight,totalnoofaxle,axle3loadrating,loadindescription,axle4space,loadoutheight,vehicletype,loadoutdescription,overalllength,leasecompanyname,vehicletypeother,steeringnooftires
3413,Val-201539-252,29500.0,3.0,8800.0,,,,Other Single,,30.03,,CONCRETE MIXER,2.0
4479,con-2015113-1228,23000.0,3.0,24020.0,,,,Other Single,,34.0,,UTILITY,2.0
3336,PET-2015216-175,29500.0,3.0,9370.0,,,,Other Single,,33.0,,TANK TRUCK,2.0
3289,S.-2015123-128,16000.0,4.0,,,4.06,,,,53.0,,,
3827,Jac-2015616-666,28800.0,3.0,6900.0,,,,Dump Truck,,23.05,,,2.0
3531,Val-2015328-370,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
2720,con-2014919-990,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
3672,Val-201555-511,29000.0,3.0,8800.0,,,,Other Single,,31.03,,,2.0
3895,CRA1-201577-734,26400.0,3.0,,,,,,,35.07,,,
4584,Sup-2015125-1333,10380.0,5.0,,,4.07,,,,39.04,,,
4000,Val-2015810-839,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
2755,con-2014924-1025,23000.0,3.0,5750.0,,,,Other Single,,28.06,,utility,2.0
3254,US-2015120-93,38499.0,2.0,,,,,,,43.08,,,
3879,Vin-201572-718,29500.0,3.0,9230.0,,,,Dump Truck,,25.04,,,2.0
3124,Sup-20141217-1394,10380.0,5.0,,,4.07,,,,39.04,,,
2721,con-2014919-991,23000.0,3.0,5750.0,,,,Other Single,,34.0,,066UTILITY,2.0
2462,ISL-201472-732,,,,,,,Tractor Trailer,,,,,
3415,Val-201539-254,29500.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
3976,NYC1-201586-815,,,,Bulk Raw Milk,,11.06,,Empty,,,,
2555,Cor1-2014813-825,23000.0,3.0,5750.0,,,,Cement Truck,,29.01,,,2.0
2803,Mid-2014106-1073,26000.0,3.0,26000.0,,,,Dump Truck,,35.0,,,2.0
2614,SJ-201498-884,23165.0,3.0,8800.0,,,,Other Single,,29.08,,,2.0
3288,S.-2015123-127,17000.0,4.0,,,4.06,,,,53.0,,,
3452,Wor-2015317-291,,,,Bulk Raw Milk,,12.03,,Empty,,,,
2601,Wor-201492-871,,,,Bulk Raw Milk,,11.06,,Empty,,,,
6659,Bay-20171129-767,25000.0,3.0,,,,,,,23.03,,,
2810,Cas-2014107-1080,29500.0,3.0,8000.0,,,,Other Single,,33.07,,,2.0
3660,A.-201554-499,,,,,,,Tractor Trailer,,,,,
3416,Val-201539-255,29500.0,3.0,8800.0,,,,Other Single,,30.03,,CONCRETE MIXER,2.0
4118,Cas-2014107-1077,29500.0,3.0,8000.0,,,,Other Single,,32.07,,,2.0
3798,CAS1-2015611-637,28640.0,3.0,28640.0,,,,Cement Truck,,33.06,,,2.0
2475,Wor-201477-745,,,,Bulk Raw Milk,,11.06,,Empty,,,,
