oldpermitno,loadinlength,industrytypename,applicationtypeother,state,axle2nooftires,loadinweight,permitservicecompany,applicationtypename,axle3space,wheelbase,axle3weight,model,permitfromdate,loadoutweight,axle5space,permittype,loadinheight,serialno
wj1o-2013322-252,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,22700.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
qjun-201342-339,,Other,,,4.0,,consolidated edison co. inc.,Other,4.07,19.0,22700.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Ultimate Signs & Designs Corp.,,4.03,22.03,19428.0,SP100,2015-03-23T00:00:00.000,,,,,682502
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,33380.0,,,12.03,
EVWI-2014111-1057,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
V278-2014212-140,,Construction,,,,,C. Broman Leasing Inc.,Renewal,,,,,2015-02-24T00:00:00.000,,,"Type 4, 6 axles",,
EVWI-2014111-1060,,Other,,,4.0,,consolidated edison co. inc.,Renewal,5.0,18.0,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
K87M-2014516-654,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Renewal,4.08,21.11,28640.0,,2015-07-17T00:00:00.000,,,"Type 2, 3 to 4 axles",,
JQ1A2013810692,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Correction,4.08,21.11,28640.0,,2014-11-07T00:00:00.000,,,"Type 2, 3 to 4 axles",,
EVWI-2014111-1059,,Other,,,4.0,,consolidated edison co. inc.,Renewal,5.0,18.0,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Galasso Trucking & Rigging Inc.,,4.11,13.1,25000.0,AC40 City,2015-05-05T00:00:00.000,,,,,70972
EVWI-2014111-1017,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,22700.0,,2015-11-21T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,55.04,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,34000.0,,,12.0,
,,Special Hauling,,NY,,,Bay Crane Service Inc,,,12.05,,TR450,2015-04-10T00:00:00.000,,,,,540405
,,Special Hauling,,NY,,,"Superior Crane Rental, Inc,",,16.06,25.02,23000.0,T-550,2016-01-01T00:00:00.000,,,,,15593
JI2V-20131116-1067,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,65.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-06-23T00:00:00.000,32140.0,,,12.0,
IDGP2013824705,,Other,,,,,"A. Russo Wrecking, Inc",Transfer,,,,,2015-05-30T00:00:00.000,,,"Type 4, 6 axles",,
GV6Q-2014130-66,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-01-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Other,4.08,21.11,28640.0,,2015-09-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,57.09,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,32060.0,,,11.06,
,65.0,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-13T00:00:00.000,31180.0,,,11.06,
U7VM-2014430-516,,Construction,,,,,RANCO SAND & STONE CORP.,Renewal,,,,,2015-10-28T00:00:00.000,,,"Type 4, 6 axles",,
,,Special Hauling,,NY,,,Bay Crane Service Inc,,,5.01,,TR280XL,2015-04-10T00:00:00.000,,,,,555207
,,Special Hauling,,NY,,,Lifting Solutions,,12.02,26.1,20000.0,PALFINGER PK200002L,2017-02-06T00:00:00.000,,4.06,,,100163228
vsr5-2013329-309,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
WIS5-20131118-1116,,Construction,,,,,"Yonkers Contracting Co., Inc.",Renewal,,,,,2014-08-20T00:00:00.000,,,"Type 4, 6 axles",,
X5TA-201478-798,,Other,,,4.0,,PETROLEUM HEAT & POWER Co Inc,Renewal,,17.07,,,2016-01-28T00:00:00.000,,,"Type 1, 2 axles",,
j5h6-2014211-123,,Other,,,4.0,,TS Contracting and Equipment Inc.,Renewal,4.06,17.07,29500.0,,2015-01-26T00:00:00.000,,,"Type 2, 3 to 4 axles",,
RT56-20131120-1135,,Construction,,,,,brer-four transportation corp.,Renewal,,,,,2014-11-01T00:00:00.000,,,"Type 4, 6 axles",,
,,Special Hauling,,NY,,,Bay Crane Service Inc,,5.05,13.1,26500.0,AC55,2017-01-20T00:00:00.000,,,,,15018
,,Special Hauling,,NY,,,ORIENTAL LUMBER INC,,5.01,28.02,23000.0,CORMACH WALLBOARD,2015-03-24T00:00:00.000,,,,,1FVMG3DV8EHFR2543
,,Special Hauling,,NY,,,SSP Group Inc.,,9.11,24.11,18000.0,T800TT,2015-03-23T00:00:00.000,,4.06,,,11700160
,,Special Hauling,,NY,,,Galasso Trucking Inc.,,4.06,25.07,14600.0,M38124,2015-04-16T00:00:00.000,,,,,198939
U7VM2014430-515,,Construction,,,4.0,,H & S Landscaping Inc.,Renewal,4.08,23.08,29500.0,,2015-09-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
VUX8-2014426-463,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.02,29500.0,,2015-05-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,DEFOE CORP,,,12.06,,RT530E,2015-03-23T00:00:00.000,,,,,220914
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,33380.0,,,12.03,
EVWI-2014111-1037,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,22700.0,,2015-11-21T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Other,4.05,19.09,29000.0,,2015-09-30T00:00:00.000,,,"Type 2, 3 to 4 axles",,
BWIH-2014512-568,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29500.0,,2015-04-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
I5ZY-2015102-859,,Cement,,,4.0,,Maspeth Avenue Operating Corp.,Renewal,0.02,13.0,29500.0,,2016-09-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
J1NZ-20131021-846,,Construction,,,4.0,,ARCO EQUIPMENT CORP,Renewal,4.07,23.09,29500.0,,2014-10-08T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,CRANES EXPRESS INC.,,6.09,17.07,23300.0,LTM 1070,2014-08-02T00:00:00.000,,,,,W094846009EL05107
,58.06,Bulk Transportation,,,,98875.0,Worcester Creameries,,,,,,2014-09-17T00:00:00.000,33380.0,,,12.03,
EVWI-2014111-1070,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2016-03-01T00:00:00.000,32200.0,,,11.06,
EVWI-2014111-1103,,Other,,,4.0,,consolidated edison co. inc.,Renewal,4.08,17.11,23000.0,,2015-11-22T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Cranes Inc.,,,13.05,,RTC 8040 II,2015-03-24T00:00:00.000,,,,,F7J14804
qjun-201342-360,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,22700.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
QPW6-201539-98,,Construction,,,,,Almar Supplies Inc,Renewal,,,,,2015-09-30T00:00:00.000,,,"Type 4, 6 axles",,
,,Special Hauling,,NY,,,L&M CRANE AND RIGGING,,4.09,28.06,15435.0,18142,2015-04-15T00:00:00.000,,,,,NEW YORK
ZLJP-2014410-425,,Other,,,4.0,,Ambassador Fuel  & Oil Burner Corp,Renewal,4.07,22.06,22000.0,,2015-07-11T00:00:00.000,,,"Type 2, 3 to 4 axles",,
KLY4-201449-414,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-04-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Bay Crane Service Inc,,,12.05,,TR450,2016-01-26T00:00:00.000,,,,,540405
0608-201443-369,,Construction,,,,,brer-four transportation corp.,Renewal,,,,,2015-03-04T00:00:00.000,,,"Type 4, 6 axles",,
IDGP-2013824-711,,Construction,,,,,Barnum Isle Leasing Corp.,Renewal,,,,,2014-08-02T00:00:00.000,,,"Type 4, 6 axles",,
,57.09,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32060.0,,,11.06,
DE7L-2014108-936,,Other,,,4.0,,Valente Equipment Leasing Corp.,Renewal,4.06,21.03,29000.0,,2015-09-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,58.07,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,32060.0,,,11.06,
JQ1A2013810681,,Cement,,,4.0,,CASA REDIMIX CONCRETE CORP.,Correction,4.05,19.09,29000.0,,2014-09-25T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,57.09,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2014-12-06T00:00:00.000,32060.0,,,11.06,
,57.09,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,32060.0,,,11.06,
o6o8-201443-366,,Other,,,,,East Quogue leasing Inc,Renewal,,,,,2015-03-06T00:00:00.000,,,"Type 4, 6 axles",,
,55.04,Bulk Transportation,,,,99000.0,Worcester Creameries,,,,,,2015-03-23T00:00:00.000,34000.0,,,12.0,
