brooklyn_condominiums_comparable_properties_condo_section,comparable_rental_1_building_classification,brooklyn_condominiums_comparable_properties_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_1_neighborhood,comparable_rental_2_net_operating_income,comparable_rental_2_neighborhood,brooklyn_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_3_estimated_gross_income,comparable_rental_3_address,comparable_rental_3_expense_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_1_estimated_expense,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_2_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_1_distance_from_condo_in_miles,comparable_rental_3_full_market_value,comparable_rental_2_gross_sqft
0562-R1,C1-WALK-UP,3-00357-7501,121000.0,COBBLE HILL,38024.0,COBBLE HILL-WEST,65.69,, , , ,19.39,10014, ,90319,0.35,112608.0,906000,0.55, ,6240.0
0807-R1,D9-ELEVATOR,3-02267-7501,3478000.0,WILLIAMSBURG-EAST,485955.0,WILLIAMSBURG-EAST,69.82,, , , ,118.91,49484, ,341440,0.34,578158.0,2249000,0.05, ,29250.0
0627-R1,C1-WALK-UP,3-01603-7501,834000.0,BEDFORD STUYVESANT,127630.0,BEDFORD STUYVESANT,52.97,3-01612-0004,"94,431",65 MALCOLM X BOULEVARD,7.19,56.66,8440,0.19,66196,0.15,228519.0,531000,0.26,"338,000",14720.0
1076-R1,D1-ELEVATOR,3-02240-7513,2013000.0,WILLIAMSBURG-EAST,299168.0,WILLIAMSBURG-SOUTH,83.51,3-02368-0029,"449,621",94 HAVEMEYER STREET,9.67,59.51,52650,0.91,545418,0.62,578208.0,4167000,0.52,"1,783,000",33825.0
0985-R1,D9-ELEVATOR,3-01734-7503,862000.0,WILLIAMSBURG-SOUTH,170200.0,WILLIAMSBURG-SOUTH,66.27,3-02183-0058,"408,672",189 ROSS STREET,7.92,37.48,23000,0.78,229306,0.97,476100.0,934000,0.97,"1,243,000",23000.0
1355-R1,D9-ELEVATOR,3-02262-7503,934000.0,WILLIAMSBURG-CENTRAL,201966.0,WILLIAMSBURG-SOUTH,72.75,3-02412-0025,"377,503",373 SOUTH 2 STREET,8.91,40.61,25800,0.81,204336,0.77,431272.0,1243000,0.53,"795,000",23000.0
0576-R1,D9-ELEVATOR,3-06300-7501,3218000.0,CROWN HEIGHTS,449004.0,BENSONHURST,92.98,, , , ,62.58,54516, ,890581,0.21,1004184.0,2849000,5.33, ,51419.0
1434-R1,D6-ELEVATOR,3-02134-7502,26305000.0,BROOKLYN HEIGHTS,3635565.0,DOWNTOWN-FULTON MALL,128.07,, , , ,108.36,182000, ,2312949,1.68,6397996.0,41924000,1.55, ,242752.0
0180-R1,C1-WALK-UP,3-05608-7501,671000.0,BOROUGH PARK,134160.0,BOROUGH PARK,30.85,, , , ,31.41,30400, ,213300,0.16,247270.0,1188000,0.14, ,21360.0
0804-R1,D9-ELEVATOR,3-08720-7502,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,101.13,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,2.68,204184,6.59,1281173.0,1631000,5.08,"3,218,000",54516.0
2004-R1,D9-ELEVATOR,3-00693-7501,3242000.0,SUNSET PARK,154987.0,SUNSET PARK,72.32,, , , ,153.12,20816, ,88123,0.64,337498.0,2365000,0.83, ,21173.0
0004-R1,C1-WALK-UP,3-05364-7501,1025000.0,BOROUGH PARK,141644.0,BOROUGH PARK,61.55,, , , ,58.54,15000, ,125294,1.22,290463.0,1000000,0.79, ,17508.0
2138-R1,D9-ELEVATOR,3-02326-7501,766000.0,WILLIAMSBURG-SOUTH,108064.0,WILLIAMSBURG-SOUTH,92.81,3-02409-0015,"324,333",276 SOUTH 1 STREET,15.30,48.37,15836,0.52,231687,0.52,339614.0,766000,0.52,"711,000",15836.0
2538-R1,D9-ELEVATOR,3-02383-7503,1859000.0,WILLIAMSBURG-SOUTH,255757.0,WILLIAMSBURG-SOUTH,99.7,3-02421-0018,"579,194",286 SOUTH 2 STREET,10.04,87.9,21150,0.16,237870,0.09,520058.0,1650000,0.09,"2,292,000",21150.0
0293-R1,D9-ELEVATOR,3-06251-7501,3242000.0,FLATBUSH-CENTRAL,154987.0,SUNSET PARK,43.16,, , , ,153.12,56844, ,346061,3.53,337498.0,1683000,2.91, ,21173.0
1896-R1,D1-ELEVATOR,3-00193-7502,1529000.0,DOWNTOWN-FULTON MALL,214018.0,BROOKLYN HEIGHTS,83.61,3-02108-0021,"525,261",25 LAFAYETTE AVENUE,8.35,72.67,39770,0.69,261107,0.3,409047.0,4497000,0.31,"2,142,000",21040.0
1491-R1,D9-ELEVATOR,3-00470-7502,4497000.0,BROOKLYN HEIGHTS,614045.0,DOWNTOWN-FULTON MALL,76.65,3-02108-0021,"525,261",25 LAFAYETTE AVENUE,8.35,113.08,21040,1.24,195029,1.0,875152.0,1529000,1.02,"2,142,000",39770.0
0083-R1,C1-WALK-UP,3-00966-7501,2567000.0,PARK SLOPE,351969.0,PARK SLOPE,86.39,, , , ,107.86,27024, ,249059,0.15,557449.0,2068000,0.15, ,23800.0
2528-R1,D9-ELEVATOR,3-03049-7501,1287000.0,WILLIAMSBURG-SOUTH,270025.0,WILLIAMSBURG-SOUTH,104.88,3-02437-0003,"503,375",350 KEAP STREET,11.07,54.62,23481,0.26,391101,0.19,581958.0,1628000,0.19,"1,059,000",23562.0
0232-R4,D9-ELEVATOR,3-01957-7501,2142000.0,FORT GREENE,298688.0,FORT GREENE,67.3,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,78.91,19350,0.25,260769,0.5,525261.0,2340000,0.2,"3,001,000",27144.0
1411-R1,D3-ELEVATOR,3-02173-7504,1907000.0,BEDFORD STUYVESANT,264977.0,BEDFORD STUYVESANT,73.37,3-02264-0059,"741,300",567 FLUSHING AVENUE,14.76,73.35,13000,0.73,75688,0.96,473722.0,918000,0.96,"2,175,000",26000.0
0547-R1,D9-ELEVATOR,3-01924-7501,2142000.0,FORT GREENE,298688.0,FORT GREENE,91.35,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,78.91,71470,0.58,931596,0.97,525261.0,7926000,0.62,"3,001,000",27144.0
0371-R1,C1-WALK-UP,3-01096-7501,1355000.0,PARK SLOPE,80486.0,PARK SLOPE,84.1,3-01096-0035,"257,514",558 11 STREET,9.74,235.24,6096,0.00,39630,0.0,120461.0,1168000,0.0,"863,000",5760.0
0532-R1,C1-WALK-UP,3-07414-7501,554000.0,SHEEPSHEAD BAY,98515.0,SHEEPSHEAD BAY,58.23,, , , ,61.56,10384, ,90652,0.07,165746.0,707000,0.85, ,9000.0
1149-R1,C1-WALK-UP,3-06651-7501,2145000.0,GRAVESEND,477360.0,GRAVESEND,84.95,, , , ,76.61,12600, ,91446,0.23,632400.0,753000,0.43, ,28000.0
2404-R1,D9-ELEVATOR,3-02363-7501,904000.0,WILLIAMSBURG-SOUTH,127891.0,WILLIAMSBURG-SOUTH,86.51,3-02409-0015,"324,333",276 SOUTH 1 STREET,15.30,67.4,23400,0.54,237872,0.46,260030.0,1646000,0.46,"711,000",13412.0
0525-R1,C1-WALK-UP,3-01521-7501,1037000.0,BUSHWICK,178307.0,OCEAN HILL,51.31,3-01514-0008,"87,990",334 CHAUNCEY STREET,7.60,35.42,13250,0.29,88665,0.18,442008.0,755000,0.35,"231,000",29280.0
1580-R1,D8-ELEVATOR,3-00036-7503,4497000.0,DOWNTOWN-FULTON FERRY,614045.0,DOWNTOWN-FULTON MALL,104.76,3-00269-0016,"1,669,215",61 SCHERMERHORN STREET,8.82,113.08,28358,0.83,164180,1.06,875152.0,2636000,0.41,"9,226,000",39770.0
2104-R1,D9-ELEVATOR,3-02713-7501,795000.0,WILLIAMSBURG-SOUTH,200194.0,WILLIAMSBURG-SOUTH,82.4,3-02413-0031,"395,336",385 SOUTH 2 STREET,9.76,39.95,15836,0.79,231550,0.78,377503.0,766000,0.77,"856,000",19900.0
1239-R1,D9-ELEVATOR,3-01913-7508,3001000.0,FORT GREENE,417651.0,FORT GREENE,83.73,3-01771-0016,"196,015",96 HART STREET,5.01,68.13,71470,0.53,931596,0.77,827639.0,7926000,0.83,"723,000",44046.0
1203-R1,C1-WALK-UP,3-02263-7504,681000.0,WILLIAMSBURG-CENTRAL,144690.0,WILLIAMSBURG-CENTRAL,59.03,, , , ,32.43,5500, ,47795,0.63,307650.0,267000,0.47, ,21000.0
1944-R1,D9-ELEVATOR,3-02866-7501,795000.0,WILLIAMSBURG-SOUTH,200194.0,WILLIAMSBURG-SOUTH,82.4,3-02412-0027,"607,117",367 SOUTH 2 STREET,13.49,39.95,20295,0.78,198149,0.78,377503.0,856000,0.75,"1,276,000",19900.0
1026-R1,D9-ELEVATOR,3-05617-7502,1048000.0,CROWN HEIGHTS,143519.0,CROWN HEIGHTS,67.09,3-05079-0021,"256,395",148 ST PAUL'S PLACE,8.62,96.61,14600,1.68,135050,3.36,250372.0,926000,2.82,"804,000",10848.0
0908-R1,D9-ELEVATOR,3-02131-7502,1202000.0,WILLIAMSBURG-SOUTH,166243.0,WILLIAMSBURG-SOUTH,77.12,, , , ,95.17,12630, ,169113,0.33,338037.0,1221000,0.33, ,12630.0
1015-R1,D9-ELEVATOR,3-00258-7501,4497000.0,BROOKLYN HEIGHTS,614045.0,DOWNTOWN-FULTON MALL,113.08,3-02108-0021,"525,261",25 LAFAYETTE AVENUE,8.35,113.08,9875,1.19,112744,0.8,875152.0,1470000,0.23,"2,142,000",39770.0
0245-R1,C1-WALK-UP,3-01173-7501,503000.0,PROSPECT HEIGHTS,81387.0,PROSPECT HEIGHTS,101.17,, , , ,59.2,14996, ,152070,0.19,188916.0,1516000,0.0, ,8496.0
1463-R1,D1-ELEVATOR,3-06600-7501,3218000.0,CONEY ISLAND,449004.0,BENSONHURST,76.97,, , , ,62.58,37797, ,337149,0.55,1004184.0,2428000,2.16, ,51419.0
1801-R1,D9-ELEVATOR,3-02752-7502,1098000.0,WILLIAMSBURG-SOUTH,237661.0,WILLIAMSBURG-SOUTH,105.45,3-02425-0020,"581,958",402 SOUTH 2 STREET,13.24,51.8,28800,0.45,388575,0.45,521344.0,1276000,0.4,"1,287,000",21197.0
1337-R1,D9-ELEVATOR,3-02264-7520,934000.0,WILLIAMSBURG-SOUTH,201966.0,WILLIAMSBURG-SOUTH,89.69,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,40.61,24126,0.68,320801,0.68,431272.0,1050000,0.68,"1,059,000",23000.0
0933-R1,D9-ELEVATOR,3-02132-7502,1650000.0,WILLIAMSBURG-SOUTH,230182.0,WILLIAMSBURG-SOUTH,79.66,3-02421-0018,"579,194",286 SOUTH 2 STREET,10.04,78.01,14166,0.33,158579,0.32,468052.0,1069000,0.28,"2,292,000",21150.0
2365-R1,D9-ELEVATOR,3-06532-7501,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,101.11,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,1.48,204184,3.8,1281173.0,1631000,2.08,"3,218,000",54516.0
1180-R1,C1-WALK-UP,3-08038-7502,1004000.0,CANARSIE,146202.0,FLATLANDS,73.65,, , , ,93.4,18000, ,91077,1.85,257706.0,755000,1.25, ,10750.0
1000-R1,D8-ELEVATOR,3-00036-7501,13272000.0,DOWNTOWN-FULTON FERRY,1772060.0,DOWNTOWN-FULTON FERRY,100.75,, , , ,120.79,28358, ,164180,0.52,3305618.0,2636000,0.41, ,109875.0
1699-R1,D9-ELEVATOR,3-02251-7502,795000.0,WILLIAMSBURG-SOUTH,200194.0,WILLIAMSBURG-SOUTH,87.6,3-02412-0030,"413,524",359 SOUTH 2 STREET,10.41,39.95,23000,0.58,229306,0.58,377503.0,934000,0.55,"871,000",19900.0
1880-R1,C1-WALK-UP,3-02782-7501,1770000.0,WILLIAMSBURG-EAST,242568.0,WILLIAMSBURG-EAST,84.47,, , , ,102.67,22500, ,191207,0.27,402332.0,2098000,0.65, ,17240.0
1033-R1,D9-ELEVATOR,3-02137-7502,1650000.0,WILLIAMSBURG-SOUTH,230182.0,WILLIAMSBURG-SOUTH,81.01,3-02421-0018,"579,194",286 SOUTH 2 STREET,10.04,78.01,14166,0.43,158579,0.42,468052.0,1069000,0.37,"2,292,000",21150.0
1620-R1,D9-ELEVATOR,3-06747-7501,1631000.0,BENSONHURST,225645.0,FLATBUSH-CENTRAL,101.4,3-01251-0001,"1,281,173",243 KINGSTON AVENUE,16.34,101.43,51419,3.84,555180,2.33,429829.0,3218000,1.93,"2,849,000",16080.0
0013-R1,D9-ELEVATOR,3-06940-7501,804000.0,KENSINGTON,117865.0,FLATBUSH-CENTRAL,42.29,, , , ,50.0,75000, ,347809,4.68,256395.0,1980000,4.28, ,16080.0
0358-R1,D9-ELEVATOR,3-07242-7501,1980000.0,FLATBUSH-CENTRAL,446289.0,KENSINGTON,31.56,, , , ,26.4,56844, ,346061,4.41,794098.0,1683000,3.99, ,75000.0
0977-R1,D9-ELEVATOR,3-01715-7504,856000.0,WILLIAMSBURG-SOUTH,197187.0,WILLIAMSBURG-SOUTH,72.5,3-02424-0016,"431,272",370 SOUTH 2 STREET,9.97,42.18,24126,0.82,320801,0.85,395336.0,1050000,0.82,"934,000",20295.0
1160-R1,C1-WALK-UP,3-07435-7501,554000.0,SHEEPSHEAD BAY,98515.0,SHEEPSHEAD BAY,92.17,, , , ,61.56,10248, ,93366,0.16,165746.0,584000,0.45, ,9000.0
1194-R1,D9-ELEVATOR,3-01734-7509,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,87.93,3-02424-0006,"499,299",354 SOUTH 2 STREET,13.30,45.13,21197,0.97,283683,0.97,503375.0,1098000,0.97,"1,050,000",23467.0
0012-R1,D1-ELEVATOR,3-05634-7501,804000.0,BOROUGH PARK,117865.0,FLATBUSH-CENTRAL,56.63,3-05079-0019,"429,829",142 ST PAUL'S PLACE,12.70,50.0,34700,1.87,238298,1.87,256395.0,1637000,1.67,"1,631,000",16080.0
0591-R1,C7-WALK-UP,3-01509-7502,231000.0,OCEAN HILL,38775.0,OCEAN HILL,36.0,3-01683-0011,"359,513",442 DECATUR STREET,6.01,35.68,29280,0.32,263701,0.0,87990.0,1037000,0.21,"1,170,000",6474.0
2427-R1,D9-ELEVATOR,3-00964-7502,2702000.0,GOWANUS,377704.0,PARK SLOPE,82.62,3-01079-0040,"603,351",70 PROSPECT PARK WEST,7.15,76.52,72552,0.60,645639,0.47,704826.0,4995000,0.52,"2,471,000",35310.0
1497-R1,D1-ELEVATOR,3-06654-7501,4575000.0,GRAVESEND,727759.0,GRAVESEND,76.97,3-06264-0029,"1,004,184",2160 78 STREET,10.80,60.53,39690,0.78,381367,1.27,1427023.0,1892000,0.54,"3,218,000",75586.0
2539-R1,D1-ELEVATOR,3-02342-7501,6902000.0,WILLIAMSBURG-NORTH,912800.0,WILLIAMSBURG-NORTH,83.49,, , , ,197.2,21380, ,206745,0.64,1383200.0,1783000,0.34, ,35000.0
1799-R1,C1-WALK-UP,3-08668-7503,585000.0,BRIGHTON BEACH,109518.0,BRIGHTON BEACH,61.83,, , , ,48.11,18100, ,157418,0.16,206656.0,690000,0.36, ,12160.0
1753-R1,D9-ELEVATOR,3-02324-7501,1859000.0,WILLIAMSBURG-SOUTH,255757.0,WILLIAMSBURG-SOUTH,110.83,3-02409-0015,"324,333",276 SOUTH 1 STREET,15.30,87.9,14166,0.74,158579,0.67,520058.0,1069000,0.61,"711,000",21150.0
0795-R1,C1-WALK-UP,3-02129-7501,1649000.0,WILLIAMSBURG-SOUTH,228735.0,WILLIAMSBURG-SOUTH,65.43,, , , ,64.67,29340, ,243548,0.22,457470.0,1812000,0.26, ,25500.0
2205-R1,C1-WALK-UP,3-05604-7506,681000.0,BOROUGH PARK,121232.0,BOROUGH PARK,55.66,3-05694-0032,"290,463",5718 FT HAMILTON PARKWAY,8.50,38.26,15000,0.82,125294,0.45,293144.0,1000000,0.32,"1,025,000",17800.0
1998-R1,D9-ELEVATOR,3-02276-7501,1050000.0,WILLIAMSBURG-SOUTH,178498.0,WILLIAMSBURG-SOUTH,89.72,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,43.52,20295,0.80,198149,0.8,499299.0,856000,0.75,"1,059,000",24126.0
1704-R1,D1-ELEVATOR,3-02251-7504,1932000.0,WILLIAMSBURG-EAST,282706.0,WILLIAMSBURG-CENTRAL,91.08,3-02757-0028,"1,043,222",609 METROPOLITAN AVENUE,10.45,68.61,52650,0.78,545418,0.35,446867.0,4167000,0.19,"3,210,000",28158.0
1860-R1,D9-ELEVATOR,3-05645-7501,755000.0,SUNSET PARK,110119.0,FLATBUSH-CENTRAL,34.74,3-04868-0024,"162,266",274 LINDEN BOULEVARD,6.47,59.45,21173,2.91,182511,2.31,195857.0,3242000,1.5,"374,000",12700.0
0893-R1,D9-ELEVATOR,3-02237-7511,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,68.42,3-02413-0031,"395,336",385 SOUTH 2 STREET,9.76,45.13,24126,0.47,320801,0.47,503375.0,1050000,0.47,"856,000",23467.0
1098-R1,D9-ELEVATOR,3-02406-7501,766000.0,WILLIAMSBURG-SOUTH,107927.0,WILLIAMSBURG-SOUTH,70.31,3-02183-0058,"408,672",189 ROSS STREET,7.92,48.37,13412,0.47,132139,0.26,339614.0,904000,0.18,"1,243,000",15836.0
1691-R1,D1-ELEVATOR,3-00319-7503,,CARROLL GARDENS,, ,104.05,, , , ,,24150, ,188329,,,2655000,0.63, ,
1794-R1,D1-ELEVATOR,3-00895-7502,2761000.0,PARK SLOPE,383760.0,FORT GREENE,80.2,, , , ,72.66,20562, ,231229,2.67,684249.0,1623000,0.79, ,38000.0
1370-R1,D9-ELEVATOR,3-00028-7501,1470000.0,BROOKLYN HEIGHTS,196915.0,BROOKLYN HEIGHTS,95.09,3-00171-0049,"875,152",337 STATE STREET,6.57,148.86,21040,1.07,195029,0.84,309659.0,1529000,0.84,"4,497,000",9875.0
0393-R2,C1-WALK-UP,3-02138-7501,725000.0,WILLIAMSBURG-SOUTH,114362.0,WILLIAMSBURG-SOUTH,43.24,3-02139-0014,"606,783",190 SOUTH 8 STREET,10.81,33.16,29340,0.08,243548,0.08,268524.0,1812000,0.06,"2,382,000",21865.0
1278-R1,D1-ELEVATOR,3-02049-7501,1529000.0,DOWNTOWN-FULTON MALL,214018.0,BROOKLYN HEIGHTS,99.93,3-00263-0044,"309,659",18 SIDNEY PLACE,11.42,72.67,39770,0.66,261107,0.54,409047.0,4497000,0.43,"1,470,000",21040.0
1439-R1,D9-ELEVATOR,3-02129-7508,1650000.0,WILLIAMSBURG-SOUTH,230182.0,WILLIAMSBURG-SOUTH,87.96,3-02421-0018,"579,194",286 SOUTH 2 STREET,10.04,78.01,23400,0.56,237872,0.52,468052.0,1646000,0.52,"2,292,000",21150.0
0804-R2,D9-ELEVATOR,3-08720-7502,2849000.0,FLATBUSH-CENTRAL,390592.0,CROWN HEIGHTS,101.12,3-06264-0029,"1,004,184",2160 78 STREET,10.80,52.26,16080,2.68,204184,6.59,1281173.0,1631000,5.08,"3,218,000",54516.0
2089-R1,D1-ELEVATOR,3-02744-7501,3046000.0,WILLIAMSBURG-EAST,419552.0,WILLIAMSBURG-EAST,89.44,3-03032-0001,"711,248",390 LORIMER STREET,4.24,121.43,29250,0.57,92203,0.44,632400.0,3478000,0.7,"2,610,000",25085.0
0833-R1,D1-ELEVATOR,3-08720-7503,7050000.0,BRIGHTON BEACH,1143600.0,BRIGHTON BEACH,77.76,3-08723-0410,"2,656,604",1511 CORBIN PLACE,9.59,58.75,100300,0.21,721835,0.15,2198400.0,4393000,0.38,"11,664,000",120000.0
1850-R1,D9-ELEVATOR,3-02129-7507,,WILLIAMSBURG-SOUTH,, ,99.16,, , , ,,21744, ,322483,,,1059000,0.56, ,
1585-R1,C1-WALK-UP,3-05672-7501,629000.0,BOROUGH PARK,98212.0,BOROUGH PARK,89.12,, , , ,44.56,8100, ,78520,0.59,286914.0,529000,0.89, ,14116.0
1099-R1,D9-ELEVATOR,3-02260-7501,3001000.0,WILLIAMSBURG-CENTRAL,417651.0,FORT GREENE,68.73,3-02424-0016,"431,272",370 SOUTH 2 STREET,9.97,68.13,25800,0.86,204336,0.85,827639.0,1243000,0.56,"934,000",44046.0
0137-R1,D9-ELEVATOR,3-01102-7503,7926000.0,FORT GREENE,1102334.0,FORT GREENE,138.89,3-00193-0050,"1,354,357",129 BOERUM PLACE,9.63,110.9,19350,1.73,260769,1.71,2033930.0,2340000,1.74,"7,072,000",71470.0
2035-R1,C1-WALK-UP,3-02857-7504,762000.0,WILLIAMSBURG-EAST,106466.0,WILLIAMSBURG-EAST,98.33,3-02785-0037,"286,544",47 MAUJER STREET,4.24,76.2,5616,0.69,58178,0.75,197187.0,503000,0.11,"1,675,000",10000.0
1069-R1,C1-WALK-UP,3-00416-7501,637000.0,CARROLL GARDENS,88978.0,CARROLL GARDENS,93.18,3-00396-0053,"439,765",311 BALTIC STREET,10.72,62.16,14050,0.31,128332,0.2,204225.0,1202000,0.2,"1,821,000",10248.0
2278-R1,D9-ELEVATOR,3-01715-7508,1050000.0,WILLIAMSBURG-SOUTH,178498.0,WILLIAMSBURG-SOUTH,80.61,3-02413-0031,"395,336",385 SOUTH 2 STREET,9.76,43.52,23467,0.85,275528,0.82,499299.0,1059000,0.82,"856,000",24126.0
1336-R1,D9-ELEVATOR,3-02264-7521,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,89.73,3-02424-0016,"431,272",370 SOUTH 2 STREET,9.97,45.13,24126,0.68,320801,0.68,503375.0,1050000,0.68,"934,000",23467.0
2420-R1,D1-ELEVATOR,3-07344-7501,1033000.0,SHEEPSHEAD BAY,154719.0,SHEEPSHEAD BAY,58.07,, , , ,35.62,54678, ,528430,0.2,371445.0,3256000,0.77, ,29000.0
1389-R1,C7-WALK-UP,3-02446-7501,1397000.0,WILLIAMSBURG-SOUTH,191818.0,WILLIAMSBURG-SOUTH,85.35,3-02139-0014,"606,783",190 SOUTH 8 STREET,10.81,85.18,14763,0.12,132651,0.14,390043.0,1261000,0.09,"2,382,000",16400.0
1167-R1,D9-ELEVATOR,3-01926-7501,2142000.0,FORT GREENE,298688.0,FORT GREENE,78.93,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,78.91,71470,0.68,931596,1.08,525261.0,7926000,0.71,"3,001,000",27144.0
2150-R1,D1-ELEVATOR,3-00245-7501,7406000.0,DOWNTOWN-FULTON MALL,1019919.0,BROOKLYN HEIGHTS,125.64,3-00253-0007,"770,233",99 JORALEMON STREET,7.96,94.83,242752,0.28,2762431,0.34,1961181.0,26305000,0.61,"3,829,000",78096.0
0658-R1,D6-ELEVATOR,3-00027-7501,13272000.0,BROOKLYN HEIGHTS,1772060.0,DOWNTOWN-FULTON FERRY,104.25,3-00220-0016,"744,258",35 ORANGE STREET,8.33,120.79,108780,0.35,985722,0.45,3305618.0,10766000,0.33,"2,405,000",109875.0
0670-R1,D9-ELEVATOR,3-05054-7502,804000.0,FLATBUSH-CENTRAL,117865.0,FLATBUSH-CENTRAL,52.75,3-04868-0019,"172,536",264 LINDEN BOULEVARD,6.47,50.0,12700,0.68,85738,0.32,256395.0,755000,0.1,"398,000",16080.0
1341-R1,D9-ELEVATOR,3-01734-7505,1059000.0,WILLIAMSBURG-SOUTH,227847.0,WILLIAMSBURG-SOUTH,87.91,3-02424-0006,"499,299",354 SOUTH 2 STREET,13.30,45.13,21197,0.97,283683,0.97,503375.0,1098000,0.97,"1,050,000",23467.0
1182-R1,D9-ELEVATOR,3-02240-7511,934000.0,WILLIAMSBURG-SOUTH,201966.0,WILLIAMSBURG-SOUTH,82.1,3-02412-0027,"607,117",367 SOUTH 2 STREET,13.49,40.61,24126,0.63,320801,0.59,431272.0,1050000,0.59,"1,276,000",23000.0
0120-R1,C1-WALK-UP,3-07964-7501,1266000.0,FLATLANDS,198406.0,CANARSIE,71.34,, , , ,34.7,10750, ,111504,0.45,434889.0,1004000,1.86, ,36480.0
0226-R1,D9-ELEVATOR,3-02101-7501,7926000.0,FORT GREENE,1102334.0,FORT GREENE,69.27,3-00171-0049,"875,152",337 STATE STREET,6.57,110.9,27144,0.62,226573,0.33,2033930.0,2142000,0.25,"4,497,000",71470.0
1205-R1,C1-WALK-UP,3-02703-7501,2853000.0,GREENPOINT,392976.0,GREENPOINT,74.46,, , , ,104.47,19500, ,219180,1.21,689279.0,2188000,1.11, ,27309.0
2267-R1,D9-ELEVATOR,3-01715-7507,1050000.0,WILLIAMSBURG-SOUTH,178498.0,WILLIAMSBURG-SOUTH,80.62,3-02413-0031,"395,336",385 SOUTH 2 STREET,9.76,43.52,23467,0.85,275528,0.82,499299.0,1059000,0.82,"856,000",24126.0
2746-R1,D1-ELEVATOR,3-02299-7501,2252000.0,WILLIAMSBURG-SOUTH,340817.0,WILLIAMSBURG-CENTRAL,48.47,, , , ,43.48,19422, ,149355,1.05,709087.0,1102000,0.6, ,51796.0
2355-R1,D9-ELEVATOR,3-02235-7510,1098000.0,WILLIAMSBURG-SOUTH,237661.0,WILLIAMSBURG-SOUTH,94.3,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,51.8,24126,0.65,320801,0.65,521344.0,1050000,0.65,"1,059,000",21197.0
1233-R1,D9-ELEVATOR,3-01899-7503,1098000.0,WILLIAMSBURG-SOUTH,237661.0,WILLIAMSBURG-SOUTH,89.69,3-02104-0008,"827,639",299 ADELPHI STREET,9.31,51.8,20430,0.82,226216,1.0,521344.0,1059000,0.95,"3,001,000",21197.0
1505-R1,C4-WALK-UP,3-03063-7501,277000.0,WILLIAMSBURG-EAST,38361.0,WILLIAMSBURG-EAST,57.37,3-03045-0011,"303,201",206 SCHOLES STREET,9.80,73.87,10000,0.10,90721,0.1,66300.0,762000,0.05,"1,031,000",3750.0
0431-R1,C1-WALK-UP,3-01509-7501,1037000.0,BUSHWICK,178307.0,OCEAN HILL,43.79,3-01514-0008,"87,990",334 CHAUNCEY STREET,7.60,35.42,11200,0.15,79045,0.2,442008.0,637000,0.38,"231,000",29280.0
1295-R1,D9-ELEVATOR,3-02875-7501,934000.0,WILLIAMSBURG-SOUTH,203057.0,WILLIAMSBURG-SOUTH,86.52,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,48.89,28800,0.78,388575,0.73,431273.0,1276000,0.73,"1,059,000",19104.0
0446-R1,C1-WALK-UP,3-01498-7501,231000.0,BUSHWICK,38775.0,OCEAN HILL,36.36,3-01500-0034,"136,950",640 MAC DONOUGH STREET,6.91,35.68,17800,0.29,125908,0.25,87990.0,790000,0.29,"357,000",6474.0
0092-R1,D9-ELEVATOR,3-02147-7502,1650000.0,WILLIAMSBURG-SOUTH,230182.0,WILLIAMSBURG-SOUTH,79.67,3-02407-0015,"357,936",204 SOUTH 1 STREET,11.19,78.01,26532,0.38,266381,0.4,468052.0,2292000,0.39,"1,069,000",21150.0
0392-R1,C1-WALK-UP,3-00464-7501,1119000.0,CARROLL GARDENS,154019.0,CARROLL GARDENS,92.8,3-00435-0001,"236,219",361 COURT STREET,12.73,111.9,10140,0.26,53280,0.21,247413.0,1132000,0.13,"687,000",10000.0
1476-R1,D1-ELEVATOR,3-07325-7502,8344000.0,MADISON,1157178.0,MADISON,76.69,3-07404-0020,"1,553,576",2770 OCEAN AVENUE,8.08,63.77,46200,0.47,362463,0.33,2319510.0,2489000,0.22,"5,246,000",130842.0
