address_1,national_median_energy_star_score,medical_office_number_of_mri_machines,annual_maximum_demand_kw,estimated_data_flag_natural_gas,number_of_active_energy_meters_not_used_to_compute_metrics,financial_office_gross_floor_area_ft,source_eui_kbtu_ft,estimated_data_flag_fuel_oil_no_1,supermarket_grocery_number_of_walk_in_refrigeration_freezer_units,egrid_output_emissions_rate_kgco2e_mbtu,electricity_use_grid_purchase_kwh,alert_data_center_issue_with_estimates_it_configuration_or_it_meter,parking_completely_enclosed_parking_garage_size_ft,council_district,third_party_certification_date_achieved,estimated_data_flag_fuel_oil_no_2,hotel_gym_fitness_center_floor_area_ft,office_number_of_workers_on_main_shift,default_values,courthouse_gross_floor_area_ft,retail_store_number_of_open_or_closed_refrigeration_freezer_units,financial_office_number_of_computers,green_power_onsite_kwh,year_ending,percent_of_recs_retained,total_ghg_emissions_intensity_kgco2e_ft,parking_open_parking_lot_size_ft,distribution_center_gross_floor_area_ft,data_center_it_source_energy_kbtu,water_use_all_water_sources_kgal,property_gfa_calculated_parking_ft,pre_school_daycare_gross_floor_area_ft,wholesale_club_supercenter_exterior_entrance_to_the_public,national_median_site_eui_kbtu_ft,senior_living_community_living_unit_density_number_per_1_000_sq_ft,direct_ghg_emissions_metric_tons_co2e,restaurant_worker_density_number_per_1_000_sq_ft,last_modified_date_non_electric_non_gas_energy_meters,college_university_gross_floor_area_ft,laboratory_gross_floor_area_ft,multifamily_housing_percent_that_can_be_cooled,alert_property_has_no_uses,data_center_ups_output_meter_kwh,avoided_emissions_offsite_green_power_metric_tons_co2e,office_percent_that_can_be_cooled
4108 Victory Boulevard,50,Not Available,70,No,0,Not Available,79.2,Not Available,Not Available,79.5,179120,Ok,Not Available,50.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.9,Not Available,Not Available,Not Available,25.6,Not Available,Not Available,Not Available,64.8,Not Available,48.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
142-10 Linden Boulevard,50,Not Available,292,No,0,Not Available,100.4,Not Available,Not Available,79.5,557999.9,Ok,Not Available,28.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.3,Not Available,Not Available,Not Available,413.1,Not Available,Not Available,Not Available,110.5,Not Available,468.4,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
86-02 127th Street,50,Not Available,116.8,No,0,Not Available,83.6,Not Available,Not Available,79.5,246880,Ok,Not Available,29.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,222.2,Not Available,Not Available,Not Available,81.6,Not Available,175.4,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
64-20 175th Street,50,Not Available,170,No,0,Not Available,62.7,Not Available,Not Available,79.5,495840,Ok,Not Available,24.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.2,Not Available,Not Available,Not Available,69.6,Not Available,Not Available,Not Available,82.9,Not Available,348.1,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
25-05 37th Avenue,50,Not Available,136,No,0,Not Available,91.5,Not Available,Not Available,79.5,342400,Ok,Not Available,26.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.7,Not Available,Not Available,Not Available,732.2,Not Available,Not Available,Not Available,77.5,Not Available,201.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
241 Emerson Place,50,Not Available,115.2,No,0,Not Available,77.6,Not Available,Not Available,79.5,237120,Ok,Not Available,35.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,83.9,Not Available,330.9,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
148-15 230th Street,50,Not Available,280,No,0,Not Available,91.1,Not Available,Not Available,79.5,385600,Ok,Not Available,31.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.7,Not Available,Not Available,Not Available,260.8,Not Available,Not Available,Not Available,63.8,Not Available,305.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
475 Nostrand Avenue,50,Not Available,123.2,No,0,Not Available,89,Not Available,Not Available,79.5,272639.9,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,484.4,Not Available,Not Available,Not Available,98.4,Not Available,261,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
139 FLATBUSH AVE,50,Not Available,Not Available,No,0,Not Available,146.2,Not Available,Not Available,79.5,2774073.7,Ok,0,35.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,59,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.4,0,Not Available,Not Available,2780,69184,Not Available,Not Available,87.0,Not Available,99.3,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
57-40 Marathon Parkway,50,Not Available,134.4,No,0,Not Available,63.9,Not Available,Not Available,79.5,230080,Ok,Not Available,23.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,83.5,Not Available,279,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
330 59th Street,50,Not Available,464.6,No,0,Not Available,92,Not Available,Not Available,79.5,1121999.8,Ok,Not Available,38.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,632.1,Not Available,Not Available,Not Available,80.3,Not Available,278.4,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
13505 20TH AVE,50,Not Available,Not Available,No,0,Not Available,178.4,Not Available,Not Available,79.5,2187401.7,Ok,0,19.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,39,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.7,198170,Not Available,Not Available,330,198170,Not Available,Not Available,97.4,Not Available,205.5,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
858 Jamaica Avenue,50,Not Available,622.8,No,0,Not Available,116.5,Not Available,Not Available,79.5,999199.9,Ok,Not Available,37.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,340.3,Not Available,Not Available,Not Available,65.4,Not Available,195.9,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
200 Park Ave,50,Not Available,Not Available,No,0,1213929,186.8,Not Available,Not Available,79.5,35415479.7,Ok,69235,4.0,Not Available,Not Available,Not Available,930.44,No,Not Available,Not Available,6732,Not Available,2020-12-31T00:00:00.000,Not Available,7.3,0,Not Available,Not Available,40042.3,69235,Not Available,Not Available,103.6,Not Available,160.4,0.89437,02/03/2021 05:24 PM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,100
512 West 212st Street,50,Not Available,176,No,0,Not Available,90.9,Not Available,Not Available,222.9,450600,Ok,Not Available,10.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.7,Not Available,Not Available,Not Available,386.7,Not Available,Not Available,Not Available,61.7,Not Available,312.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
30-48 Linden Place,50,Not Available,256,No,0,Not Available,109.9,Not Available,Not Available,79.5,1152799.8,Ok,Not Available,20.0,Not Available,Not Available,Not Available,200,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86.1,Not Available,64,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,100
1717 Fulton Avenue,50,Not Available,146,No,0,Not Available,133.6,Not Available,Not Available,79.5,375600,Ok,Not Available,15.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60.9,Not Available,91.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
421 East 106th Street,50,Not Available,227.2,No,0,Not Available,57.1,Not Available,Not Available,79.5,336160,Ok,Not Available,8.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,94.4,Not Available,153.3,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
5105 Fort Hamilton Parkway,50,Not Available,440,No,0,Not Available,159.4,Not Available,Not Available,79.5,1263199.8,Ok,Not Available,44.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.8,Not Available,Not Available,Not Available,207.6,Not Available,Not Available,Not Available,76.5,Not Available,347.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1600 Avenue L,50,Not Available,856.8,No,0,Not Available,71.6,Not Available,Not Available,79.5,1835199.9,Ok,Not Available,44.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,1167.7,Not Available,Not Available,Not Available,86.5,Not Available,1086.8,Not Available,03/23/2021 04:31 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
85-28 Britton Avenue,50,Not Available,340,No,0,Not Available,88.4,Not Available,Not Available,79.5,937999.9,Ok,Not Available,25.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76.7,Not Available,275.9,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
251 MacDougal Street,50,Not Available,142.4,No,0,Not Available,96.9,Not Available,Not Available,79.5,479039.9,Ok,Not Available,37.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.8,Not Available,Not Available,Not Available,201.8,Not Available,Not Available,Not Available,73.3,Not Available,212.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
610 East 12th Street,50,Not Available,148,No,0,Not Available,96.9,Not Available,Not Available,79.5,378400,Ok,Not Available,2.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4,Not Available,Not Available,Not Available,499.7,Not Available,Not Available,Not Available,100.4,Not Available,261.4,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
520 Madison Avenue,50,Not Available,Not Available,No,0,973524,166.7,Not Available,Not Available,79.5,15484400.3,Ok,Not Available,4.0,Not Available,Not Available,Not Available,0,No,Not Available,0,15352,Not Available,2020-12-31T00:00:00.000,Not Available,5.4,Not Available,Not Available,Not Available,17340.7,Not Available,Not Available,Not Available,134.7,Not Available,138.1,1.72062,02/17/2021 04:19 AM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,100
330 Smith Street,50,Not Available,179.2,No,0,Not Available,34,Not Available,Not Available,79.5,299519.9,Ok,Not Available,39.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74.1,Not Available,109.8,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
250 East 156th Street,50,Not Available,2063.5,No,0,Not Available,104.9,Not Available,Not Available,79.5,3506399.4,Ok,Not Available,17.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.3,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
218-12 Hartland Avenue,50,Not Available,86.4,No,0,Not Available,80.6,Not Available,Not Available,79.5,200000,Ok,Not Available,23.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,372.6,Not Available,Not Available,Not Available,76.1,Not Available,188.3,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
3050 Webster Avenue,50,Not Available,460,No,0,Not Available,105.5,Not Available,Not Available,79.5,1305200,Ok,Not Available,11.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,1064.5,Not Available,Not Available,Not Available,73.9,Not Available,259.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1177 Avenue of the Americas,50,Not Available,Not Available,Not Available,0,Not Available,138.2,Not Available,Not Available,79.5,12247098.9,Ok,Not Available,4.0,Not Available,Not Available,Not Available,1035.34,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.5,Not Available,Not Available,Not Available,8297.9,Not Available,Not Available,Not Available,81.8,Not Available,0,Not Available,05/12/2021 11:17 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
45 East 81st Street,50,Not Available,144.3,No,0,Not Available,73.4,Not Available,Not Available,79.5,336400,Ok,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,906,2020-12-31T00:00:00.000,100,3.1,Not Available,Not Available,Not Available,261.1,Not Available,Not Available,Not Available,76.9,Not Available,4.6,Not Available,04/12/2021 03:03 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
499 West 133rd Street,50,Not Available,164,No,0,Not Available,59.7,Not Available,Not Available,79.5,445600,Ok,Not Available,9.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.7,Not Available,Not Available,Not Available,2800.9,Not Available,Not Available,Not Available,74.8,Not Available,186.5,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
221 Broadway,50,Not Available,212,No,0,Not Available,77,Not Available,Not Available,79.5,453279.9,Ok,Not Available,49.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.9,Not Available,188,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
120 West 231st Street,50,Not Available,228,No,0,Not Available,85.7,Not Available,Not Available,79.5,802199.9,Ok,Not Available,14.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.1,Not Available,Not Available,Not Available,1791.6,Not Available,Not Available,Not Available,82.5,Not Available,441.3,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2246 Jerome Avenue,50,Not Available,108.8,No,0,Not Available,86.1,Not Available,Not Available,79.5,204160,Ok,Not Available,14.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,938.3,Not Available,Not Available,Not Available,81.8,Not Available,77,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
147-27 15th Drive,50,Not Available,256,No,0,Not Available,86.1,Not Available,Not Available,79.5,554399.9,Ok,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68.4,Not Available,390.4,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
242 West 144th Street,50,Not Available,124,No,0,Not Available,120,Not Available,Not Available,79.5,379599.9,Ok,Not Available,9.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,98.8,Not Available,363.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
355 Park Place,50,Not Available,33.6,No,0,Not Available,103.3,Not Available,Not Available,79.5,74480,Ok,Not Available,35.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,111.2,Not Available,78.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
7000 21st Avenue,50,Not Available,171.2,No,0,Not Available,90.6,Not Available,Not Available,79.5,345600,Ok,Not Available,47.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,934.1,Not Available,Not Available,Not Available,93.2,Not Available,145.9,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
9517 Kings Highway,50,Not Available,93.6,No,0,Not Available,129.7,Not Available,Not Available,79.5,207680,Ok,Not Available,41.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.9,Not Available,Not Available,Not Available,110.7,Not Available,Not Available,Not Available,75.2,Not Available,73.5,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
203-02 109th Avenue,50,Not Available,136,No,0,Not Available,76.2,Not Available,Not Available,79.5,415200,Ok,Not Available,27.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,22.4,Not Available,Not Available,Not Available,76.6,Not Available,247.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
4360 Broadway,50,Not Available,554.4,No,0,Not Available,109,Not Available,Not Available,79.5,1067999.9,Ok,Not Available,10.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73.5,Not Available,117.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
93-06 63rd Drive,50,Not Available,110.4,No,0,Not Available,80.7,Not Available,Not Available,79.5,348319.9,Ok,Not Available,29.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,88.8,Not Available,170.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
3530 Kings College Place,50,Not Available,116.8,No,0,Not Available,91.9,Not Available,Not Available,79.5,315040,Ok,Not Available,11.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,1039.6,Not Available,Not Available,Not Available,102.2,Not Available,260.2,Not Available,03/23/2021 09:39 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
100 Lindenwood Road,50,Not Available,120,No,0,Not Available,77.3,Not Available,Not Available,79.5,222400,Ok,Not Available,51.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,522.1,Not Available,Not Available,Not Available,84.1,Not Available,174.4,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
715 East 225th Street,50,Not Available,134.4,No,0,Not Available,74.7,Not Available,Not Available,79.5,263200,Ok,Not Available,12.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80.8,Not Available,310.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
89-30 114th Street,50,Not Available,356,No,0,Not Available,97.9,Not Available,Not Available,79.5,833999.9,Ok,Not Available,28.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,107.8,Not Available,1279.4,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
515 Knickerbocker Avenue,50,Not Available,73.6,No,0,Not Available,69.1,Not Available,Not Available,79.5,216800,Ok,Not Available,37.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,86.8,Not Available,154.4,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
425 West 123rd Street,50,Not Available,240,No,0,Not Available,111.4,Not Available,Not Available,79.5,677999.9,Ok,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,6.4,Not Available,Not Available,Not Available,1252.1,Not Available,Not Available,Not Available,122.7,Not Available,853.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
162-02 Hillside Avenue,50,Not Available,119.2,No,0,Not Available,83.6,Not Available,Not Available,79.5,288960,Ok,Not Available,24.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.3,Not Available,Not Available,Not Available,919.3,Not Available,Not Available,Not Available,68.2,Not Available,105.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
205-01 33rd Avenue,50,Not Available,131.2,No,0,Not Available,87.9,Not Available,Not Available,79.5,282399.9,Ok,Not Available,19.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.8,Not Available,Not Available,Not Available,249.7,Not Available,Not Available,Not Available,78.5,Not Available,284.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
12-18 Ellwood Street,50,Not Available,324,No,0,Not Available,71.8,Not Available,Not Available,79.5,483199.9,Ok,Not Available,10.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.1,Not Available,Not Available,Not Available,309.9,Not Available,Not Available,Not Available,42.8,Not Available,10.2,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
86-15 37th Avenue,50,Not Available,188,No,0,Not Available,94,Not Available,Not Available,79.5,387999.9,Ok,Not Available,25.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.4,Not Available,Not Available,Not Available,193.4,Not Available,Not Available,Not Available,113.8,Not Available,79.8,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1599 East 22nd Street,50,Not Available,132,No,0,Not Available,88.2,Not Available,Not Available,79.5,414400,Ok,Not Available,48.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,67.6,Not Available,385.6,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
3352 Olinville Avenue,50,Not Available,108,No,0,Not Available,120.8,Not Available,Not Available,79.5,434399.9,Ok,Not Available,12.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5,Not Available,Not Available,Not Available,512.3,Not Available,Not Available,Not Available,74.4,Not Available,311,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
242 Cooper Street,50,Not Available,296,No,0,Not Available,70,Not Available,Not Available,79.5,587199.9,Ok,Not Available,37.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.7,Not Available,239.1,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
122 Henry Street,50,Not Available,164,No,0,Not Available,57.7,Not Available,Not Available,79.5,358400,Ok,Not Available,1.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.3,Not Available,Not Available,Not Available,1612.4,Not Available,Not Available,Not Available,72.8,Not Available,2,Not Available,04/12/2021 03:03 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2789 Pitkin Avenue,50,Not Available,38.4,No,0,Not Available,67.2,Not Available,Not Available,79.5,55360,Ok,Not Available,42.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76.4,Not Available,16.8,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
251 Weller Avenue,50,Not Available,232,No,0,Not Available,116.9,Not Available,Not Available,79.5,582399.9,Ok,Not Available,,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.6,Not Available,Not Available,Not Available,759.2,Not Available,Not Available,Not Available,72.4,Not Available,266.3,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
