block,owner_s__phone__,special_dist_name,professional_cert,efiling_filed,sign_height_roof,job_status_descrp,community___board,fully_permitted,non_profit,zoning_distr_2,zoning_distr_3,zoning_distr_1,approved
1952,6469528924,125   ,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,109,,,,,C4-4D       ,
6314,9175798851,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,311,2017-08-07T00:00:00.000,,,,M1-1        ,2017-08-07T00:00:00.000
235,6317773600,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,102,2017-08-29T00:00:00.000,,,,M1-5B       ,2017-08-29T00:00:00.000
16166,5163265353,,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,414,,,M1-1        ,,C8-1        ,
3014,7183268800,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,405,2017-09-29T00:00:00.000,,R4A         ,,R5D         ,2017-09-29T00:00:00.000
2998,2122134444,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,203,2017-09-25T00:00:00.000,,M1-1        ,,C4-2        ,2017-09-25T00:00:00.000
784,2128896405,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-10-11T00:00:00.000,,,,C6-4M       ,2017-10-11T00:00:00.000
6992,7188623625,,Y,Y,0,PLAN EXAM - APPROVED                    ,313,,,,,M3-1        ,2017-10-11T00:00:00.000
2333,6463660515,MX-8  ,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,301,,,,,M1-2/R6A    ,
12700,5164727880,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,412,2017-10-10T00:00:00.000,,,,M1-1        ,2017-10-10T00:00:00.000
497,2126998904,,Y,Y,0,PLAN EXAM - DISAPPROVED                 ,102,,,,,M1-5B       ,
1275,2407441150,MID   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,105,2017-08-30T00:00:00.000,,C5-2.5      ,,C5-3        ,2017-08-30T00:00:00.000
3880,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,209,,,,,R5          ,
181,2123168631,TMU   ,,Y,0,APPLICATION PROCESSED - ENTIRE          ,101,,,,,C6-2A       ,
2374,9177964944,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,201,2017-08-24T00:00:00.000,,,,C4-4        ,2017-08-24T00:00:00.000
