property_id,property_name,address_1,percent_of_recs_retained,weather_normalized_site,propane_use_kbtu,electricity_use_grid_purchase,last_modified_date_water,municipally_supplied_potable_1,hospital_general_medical,retail_store_walk_in,weather_normalized_site_energy,national_median_source_eui,fuel_oil_4_use_kbtu,year_built,movie_theater_gross_floor,alert_property_has_no_uses,data_center_it_energy,hotel_worker_density_number,restaurant_worker_density,hospital_general_medical_2,difference_from_national,hospital_general_medical_3,metered_areas_energy,water_use_all_water_sources,weather_normalized_site_1,self_storage_facility_gross,council_district,nyc_building_identification,manufacturing_industrial,avoided_emissions_onsite,green_power_offsite_kwh,data_center_pue,weather_normalized_source_1,financial_office_gross_floor,restaurant_weekly_operating,other_computer_density_number,data_center_ups_output_meter,senior_care_community_living,parent_property_id,estimated_data_flag_fuel_2,hospital_general_medical_7,mailing_center_post_office,hospital_general_medical_11,property_gfa_calculated_2,multifamily_housing_number_2,data_center_it_equipment
1633285,X079-0200117,125 East 181st Street,Not Available,9.7,Not Available,6074724.6,Not Available,Not Available,Not Available,Not Available,13169829.3,113.2,Not Available,1925,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,17.6,Not Available,Whole Building,Not Available,0.1,Not Available,14.0,2013849,Not Available,Not Available,0,Not Available,24163012.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634315,Q202-0400201,138-30 Lafayette Street,Not Available,3.5,Not Available,2141371.2,Not Available,Not Available,Not Available,Not Available,6972394.2,120.8,5523180,1963,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-46.4,Not Available,Whole Building,Not Available,0,Not Available,32.0,4245993,Not Available,Not Available,0,Not Available,10878463.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634265,K906-0301604 (closed),116 Nassau Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104.4,Not Available,1913,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,33.0,3000183,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634635,X016-0200052,4550 Carpenter Avenue,Not Available,7.8,Not Available,1311272.5,Not Available,Not Available,Not Available,Not Available,2477488.4,125.8,Not Available,1900,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-22.4,Not Available,Whole Building,Not Available,0,Not Available,11.0,2070894,Not Available,Not Available,0,Not Available,4877967.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634075,R001-0500028,58 Summit Street,Not Available,4.8,Not Available,1172090.2,Not Available,Not Available,Not Available,Not Available,4875223.5,266.2,Not Available,1935,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-63.4,Not Available,Whole Building,Not Available,0.4,Not Available,51.0,5107854,Not Available,Not Available,0,Not Available,7132165,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634309,Q223-0400190,125-20 Sutphin Boulevard,Not Available,7.2,Not Available,3035315.1,Not Available,Not Available,Not Available,Not Available,7198827.2,109.3,4143231.9,1981,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-4.7,Not Available,Whole Building,Not Available,0,Not Available,28.0,4440628,Not Available,Not Available,0,Not Available,12656830.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633526,X425-0200217,800 East Gun Hill Road,100,4.6,Not Available,6152518,Not Available,Not Available,Not Available,Not Available,42769768.5,124.6,36074993.6,1929,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,11.3,Not Available,Whole Building,Not Available,0,Not Available,12.0,2057045,Not Available,66.8,0,Not Available,54205805.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633374,K277-0300278,2529 Gerritsen Avenue,Not Available,4.3,Not Available,926085,Not Available,Not Available,Not Available,Not Available,5177588.1,111.0,4352552,1967,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,1.5,Not Available,Whole Building,Not Available,0,Not Available,46.0,3242369,Not Available,Not Available,0,Not Available,6888388.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1582233,1 United Nations Plaza,1 United Nations Plaza,Not Available,17.4,Not Available,35772084.3,03/26/2019 01:36 PM EDT,22928.9,Not Available,Not Available,Not Available,217.5,Not Available,1975,Not Available,Ok,Not Available,0.32,Not Available,Not Available,6.1,Not Available,Whole Building,22928.9,Not Available,Not Available,4.0,1038758,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633557,K137-0300144,121 Saratoga Avenue,Not Available,5.1,Not Available,951538.6,Not Available,Not Available,Not Available,Not Available,3453323.4,121.9,Not Available,1900,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-22.4,Not Available,Whole Building,Not Available,0.4,Not Available,41.0,3040878,Not Available,Not Available,0,Not Available,5281798.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634024,K345-0300317,111 Berriman Street,Not Available,3.9,Not Available,1441228.7,Not Available,Not Available,Not Available,Not Available,8083038.5,98.2,6456704,1966,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,3.6,Not Available,Whole Building,Not Available,0,Not Available,37.0,3088734,Not Available,Not Available,0,Not Available,10760220.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1513225,Park Avenue Tower,65 East 55th Street,Not Available,16.2,Not Available,34443676.4,01/31/2019 08:15 AM EST,7620.6,Not Available,Not Available,47583652.2,207.8,Not Available,1986,Not Available,Ok,Not Available,Not Available,5.26316,Not Available,-12.9,Not Available,Whole Building,7620.6,Not Available,9004,4.0,1035771,Not Available,Not Available,0,Not Available,112099215.4,287098,133,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633681,X102-0200144,1827 Archer Street,Not Available,7.9,Not Available,4386467.4,Not Available,Not Available,Not Available,Not Available,12525125,140.2,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-9.2,Not Available,Whole Building,Not Available,0.5,Not Available,18.0,2028640,Not Available,Not Available,0,Not Available,20808379.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633782,Q089-0400080,85-28 Britton Avenue,Not Available,6.3,Not Available,3446120,Not Available,Not Available,Not Available,Not Available,11385752.8,111.0,Not Available,1930,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,0.2,Not Available,Whole Building,Not Available,0.4,Not Available,25.0,4037370,Not Available,Not Available,0,Not Available,17910363.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634496,K860-0300259,9517 Kings Highway,Not Available,10.7,Not Available,961638.1,Not Available,Not Available,Not Available,Not Available,3063976.1,121.9,Not Available,1961,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,51.9,Not Available,Whole Building,Not Available,0.7,Not Available,41.0,3101218,Not Available,Not Available,0,Not Available,4891903.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634584,X138-0200182,2060 Lafayette Avenue,Not Available,5.7,Not Available,1743668.5,Not Available,Not Available,Not Available,Not Available,7546213.6,132.3,5553402.1,1957,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-9.4,Not Available,Whole Building,Not Available,0,Not Available,18.0,2022289,Not Available,Not Available,0,Not Available,10690708.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634696,K253-0300256,601 Ocean View Avenue,Not Available,6.7,Not Available,1912903.7,Not Available,Not Available,Not Available,Not Available,6846919.4,96.9,Not Available,1937,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,30.3,Not Available,Whole Building,Not Available,0.6,Not Available,48.0,3244470,Not Available,Not Available,0,Not Available,10536846.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634331,R032-0500055,32 Elverton Avenue,Not Available,4.1,Not Available,1553688.3,Not Available,Not Available,Not Available,Not Available,5260772.5,99.0,3343984.3,1968,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-25.8,Not Available,Whole Building,Not Available,0,Not Available,51.0,5070651,Not Available,Not Available,0,Not Available,8109006.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633780,Q087-0400078,67-54 80th Street,Not Available,8.4,Not Available,2780097.5,Not Available,Not Available,Not Available,Not Available,7666265.8,116.9,Not Available,1904,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,13,Not Available,Whole Building,Not Available,0.4,Not Available,30.0,4091737,Not Available,Not Available,0,Not Available,12885951.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633524,X090-0200131,1116 Sheridan Avenue,Not Available,5.5,Not Available,2325619.2,Not Available,Not Available,Not Available,Not Available,8918245.8,108.4,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-3.9,Not Available,Whole Building,Not Available,0.1,Not Available,16.0,2002745,Not Available,Not Available,0,Not Available,13204576.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634735,Q054-0400048,86-02 127th Street,Not Available,4.7,Not Available,1126233,Not Available,Not Available,Not Available,Not Available,4858125.5,112.1,Not Available,1922,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-11.5,Not Available,Whole Building,Not Available,0.4,Not Available,29.0,4193916,Not Available,Not Available,0,Not Available,7043530.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634673,K147-0300150,325 Bushwick Avenue,Not Available,2.5,Not Available,1450782.4,Not Available,Not Available,Not Available,Not Available,7605386.2,92.9,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-34.5,Not Available,Whole Building,Not Available,0.3,Not Available,34.0,3071418,Not Available,Not Available,0,Not Available,10502472.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1557451,60 Broad Street,60 Broad Street,Not Available,12.2,Not Available,44525235.8,03/24/2019 03:23 PM EDT,Not Available,Not Available,Not Available,88528354.8,188.7,Not Available,1962,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-11.4,Not Available,Whole Building,17237.3,Not Available,Not Available,1.0,1000817,Not Available,Not Available,0,Not Available,177608220.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633814,K298-0300295,85 Watkins Street,Not Available,4.4,Not Available,1470435.5,Not Available,Not Available,Not Available,Not Available,5946005.9,89.9,4075283.2,1930,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-0.2,Not Available,Whole Building,Not Available,0,Not Available,37.0,3080768,Not Available,Not Available,0,Not Available,8656337.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633840,Q193-0400170,152-20 11th Avenue,Not Available,3.4,Not Available,943677.3,Not Available,Not Available,Not Available,Not Available,5074803.7,103.9,3935503,1951,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-19.7,Not Available,Whole Building,Not Available,0,Not Available,19.0,4103056,Not Available,Not Available,0,Not Available,6818750.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634355,M751-0100046,113 East 4th Street,Not Available,5.2,Not Available,911413.4,Not Available,Not Available,Not Available,Not Available,3565054.9,144.2,Not Available,1920,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-25.1,Not Available,Whole Building,Not Available,0.5,Not Available,2.0,1006208,Not Available,Not Available,0,Not Available,5268970.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634215,Q091-0400083,68-10 Central Avenue,Not Available,6.6,Not Available,2796475.2,Not Available,Not Available,Not Available,Not Available,8002681.4,113.4,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-8.1,Not Available,Whole Building,Not Available,0,Not Available,30.0,4089566,Not Available,Not Available,0,Not Available,13097458.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633074,X078-0200116,1400 Needham Avenue,Not Available,3.4,Not Available,1256980.8,Not Available,Not Available,Not Available,Not Available,7600802.1,95.4,5772679.2,1920,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-6.6,Not Available,Whole Building,Not Available,0,Not Available,12.0,2060191,Not Available,Not Available,0,Not Available,9941317.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633399,K066-0301758,845 East 96th Street,Not Available,12.5,Not Available,5607280.5,Not Available,Not Available,Not Available,Not Available,10429820.1,124.5,Not Available,2002,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,32.4,Not Available,Whole Building,Not Available,0.3,Not Available,42.0,3325418,Not Available,Not Available,0,Not Available,20413192.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633992,K218-0300222,370 Fountain Avenue,Not Available,5.6,Not Available,3442025.7,Not Available,Not Available,Not Available,Not Available,14993777.3,107.5,Not Available,1964,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,12.3,Not Available,Whole Building,Not Available,0.6,Not Available,42.0,3095977,Not Available,Not Available,0,Not Available,21724915.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633046,M189-0100158,2580 Amsterdam Avenue,Not Available,6.6,Not Available,3042139.4,Not Available,Not Available,Not Available,Not Available,20484446.2,107.1,Not Available,1922,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,84.2,Not Available,Whole Building,Not Available,1,Not Available,10.0,1076750,Not Available,Not Available,0,Not Available,26664918.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634369,M121-0100111,232 East 103rd Street,Not Available,6.5,Not Available,1945658.9,Not Available,Not Available,Not Available,Not Available,7004028.5,130.2,Not Available,1923,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-3.7,Not Available,Whole Building,Not Available,0.5,Not Available,8.0,1052384,Not Available,Not Available,0,Not Available,10619981.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634361,M046-0100062,2987 Frederick Douglass Blvd,Not Available,3.9,Not Available,1511106.6,Not Available,Not Available,Not Available,Not Available,2111301.2,82.3,Not Available,1966,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-47.8,Not Available,Whole Building,Not Available,0.1,Not Available,9.0,1082090,Not Available,Not Available,0,Not Available,4861302.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634407,X064-0200100,1425 Walton Avenue,Not Available,5.3,Not Available,1753631.5,Not Available,Not Available,Not Available,Not Available,7577696.6,111.8,5381122.1,1922,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-1.8,Not Available,Whole Building,Not Available,0,Not Available,16.0,2008098,Not Available,Not Available,0,Not Available,10802947.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1329973,55 Fifth Avenue,55 Fifth Avenue,Not Available,12.9,Not Available,13048894.9,Not Available,Not Available,Not Available,Not Available,31534977.6,211.4,Not Available,1920,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-7.3,Not Available,Whole Building,Not Available,0.2,Not Available,2.0,1009373,Not Available,Not Available,0,Not Available,57717117.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634572,Q735-0401500,30-20 Thomson Avenue,Not Available,9.2,Not Available,7744967.1,Not Available,Not Available,Not Available,Not Available,8557389.7,136.2,Not Available,1914,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-31.8,Not Available,Whole Building,Not Available,0,Not Available,26.0,4003517,Not Available,Not Available,0,Not Available,22327119.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633771,K128 & K721 Tandem-0300136,2075 84th Street,Not Available,5,Not Available,2250555.2,Not Available,Not Available,Not Available,Not Available,9084957.4,97.0,Not Available,1909,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,3.5,Not Available,Whole Building,Not Available,0.4,Not Available,47.0,3165232,Not Available,Not Available,0,Not Available,13436161,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1460459,909 Third Avenue,909 Third Avenue,Not Available,12.9,Not Available,34847165.9,03/29/2019 08:16 PM EDT,17321.8,Not Available,Not Available,61663156.8,231.6,Not Available,1968,Not Available,Ok,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,Not Available,-28.4,Not Available,Whole Building,17321.8,Not Available,Not Available,4.0,1038570,Not Available,Not Available,0,Not Available,129913814.7,Not Available,Not Available,Not Available,1196419,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0
1634303,Q195-0400171,253-50 149th Avenue,Not Available,6.1,Not Available,2306512,Not Available,Not Available,Not Available,Not Available,5648592.7,112.1,Not Available,1965,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-19.3,Not Available,Whole Building,Not Available,0.3,Not Available,31.0,4290116,Not Available,Not Available,0,Not Available,9967418.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634425,X174-0200240,456 White Plains Road,Not Available,4.2,Not Available,2893376,Not Available,Not Available,Not Available,Not Available,10364456.8,133.6,7556084.1,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-41.8,Not Available,Whole Building,Not Available,0,Not Available,18.0,2020580,Not Available,Not Available,0,Not Available,15649266.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1547842,QUEENS PLACE (1344),8801 QUEENS BLVD,Not Available,13.5,Not Available,10441740,06/18/2019 01:14 PM EDT,2115,Not Available,0.03081,10785857.7,201.7,Not Available,2001,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-35.4,Not Available,Whole Building,2115,0,Not Available,25.0,4437281,Not Available,Not Available,0,Not Available,29598195.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633545,K055-0300074,2021 Bergen Street,Not Available,5.2,Not Available,3477510.3,Not Available,Not Available,Not Available,Not Available,11101652.4,136.9,Not Available,1965,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-34.9,Not Available,Whole Building,Not Available,0.3,Not Available,41.0,3038939,Not Available,Not Available,0,Not Available,17650395.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634071,Q781-0401548,120-27 141st Street,Not Available,10.8,Not Available,1019096.1,Not Available,Not Available,Not Available,Not Available,1983119.1,111.2,Not Available,1929,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,27,Not Available,Whole Building,Not Available,0.3,Not Available,28.0,4261207,Not Available,Not Available,0,Not Available,3865693.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633239,M104-0100098,330 East 21st Street,Not Available,4.1,Not Available,2059483.2,Not Available,Not Available,Not Available,Not Available,6082495.7,127.1,Not Available,1954,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-43.3,Not Available,Whole Building,Not Available,0,Not Available,2.0,1081671,Not Available,Not Available,0,Not Available,10600729,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633713,M175-0100151,175 West 134th Street,Not Available,4.9,Not Available,1703270.4,Not Available,Not Available,Not Available,Not Available,10742463.2,142.0,8601677.3,1957,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-7,Not Available,Whole Building,Not Available,0,Not Available,9.0,1058248,Not Available,Not Available,0,Not Available,13900171.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633877,X134-0200177,1330 Bristow Street,Not Available,4.3,Not Available,1631618.3,Not Available,Not Available,Not Available,Not Available,8206937.7,96.1,5440982,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,4.9,Not Available,Whole Building,Not Available,0.1,Not Available,17.0,2010273,Not Available,Not Available,0,Not Available,11253956.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633978,Q073-0400064,70-02 54th Avenue,Not Available,3.7,Not Available,2564459.2,Not Available,Not Available,Not Available,Not Available,11775940.4,93.0,8399206.2,1926,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-13.9,Not Available,Whole Building,Not Available,0,Not Available,30.0,4058611,Not Available,Not Available,0,Not Available,16571334.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633199,Q456-0400228,105-25 Horrace Harding Expressway,Not Available,8.7,Not Available,3503441.6,Not Available,Not Available,Not Available,Not Available,5563803.9,127.9,Not Available,1963,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-21.1,Not Available,Whole Building,Not Available,0.2,Not Available,,4048306,Not Available,Not Available,0,Not Available,11973016.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,11368,Not Available,Not Available
1634415,X086-0200126,2756 Reservoir Avenue,Not Available,4.4,Not Available,2132500,Not Available,Not Available,Not Available,Not Available,5294044,132.8,Not Available,1927,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-51.3,Not Available,Whole Building,Not Available,0.2,Not Available,11.0,2100971,Not Available,Not Available,0,Not Available,9262259.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634643,X160-0200202,4140 Hutchinson River Park East,Not Available,4.2,Not Available,2126358.4,Not Available,Not Available,Not Available,Not Available,13559187,121.0,Not Available,1971,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,7,Not Available,Whole Building,Not Available,0,Not Available,12.0,2072352,Not Available,Not Available,0,Not Available,19695817.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633651,Q051-0401239,87-45 117th Street,Not Available,9,Not Available,1030423.9,Not Available,Not Available,Not Available,Not Available,2306078.4,121.4,Not Available,1901,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,4.3,Not Available,Whole Building,Not Available,0.3,Not Available,29.0,4449704,Not Available,Not Available,0,Not Available,4214136.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633415,Q169-0400153,18-25 212th Street,Not Available,4.6,Not Available,1447974.3,Not Available,Not Available,Not Available,Not Available,6737472.2,102.3,4854426.7,1956,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-1.6,Not Available,Whole Building,Not Available,0,Not Available,19.0,4131147,Not Available,Not Available,0,Not Available,9410465,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633090,K048-0300068,6015 18th Avenue,Not Available,6.7,Not Available,1635030.4,Not Available,Not Available,Not Available,Not Available,6530472.5,118.9,Not Available,1914,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,11.6,Not Available,Whole Building,Not Available,0.6,Not Available,44.0,3132140,Not Available,Not Available,0,Not Available,9687939.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633929,X048-0200085,1290 Spofford Avenue,Not Available,3.8,Not Available,1318806.2,Not Available,Not Available,Not Available,Not Available,6937843.5,90.9,Not Available,1915,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,1.2,Not Available,Whole Building,Not Available,0,Not Available,17.0,2006680,Not Available,Not Available,0,Not Available,9374821,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634079,R041-0500064,216 Clawson Street,Not Available,4.8,Not Available,1270219.3,Not Available,Not Available,Not Available,Not Available,5679379.1,103.0,4174724,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-0.4,Not Available,Whole Building,Not Available,0,Not Available,50.0,5052791,Not Available,Not Available,0,Not Available,8019242.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
