dbn,p_q4d_5,p_q5a,p_q2d_5,p_q1_7,p_q4c_3,p_q3c_4,p_q8e_2,p_q8b_4,p_q2i_5,p_q12ad,n_t,p_q4b_2,p_q4e_2,p_q11e_3,p_q11c_2,p_q11c,p_q11a,p_q2f_1,p_q9_10,p_q3d_2,p_q2e_4,p_q6_3,p_q7c_5,p_q8c_3,p_q8c_4,p_q8f,p_q2c_4,p_q3d_4,p_q1_9,p_q7b_1,p_q7d_4,p_q4b,p_q11e_2,p_q5,p_q12ab_1,p_q12aa_4,p_q5i,p_q2b_4,p_q8f_3,p_q4b_3,p_q3b_3,p_q2h_5,p_q11c_3,p_q10j,eng_tot_10,p_q2d,p_q2c_2,saf_t_10,p_q12aa_5,p_q11b_2,nr_s,p_q4c_4,p_q12ac,p_q12aa_2,p_q5f,p_q8f_4,p_q4b_1,p_q2f_4,principal,p_q4d_1,p_q3a_3,p_q2c,p_q4c,p_q11b_3,p_q3a_2,p_q11a_4,p_q9_1,p_q7a_4,p_q11e_4,p_q2d_2,studentsurvey,p_q2h_4,p_q11b_4,p_q8d_2,p_q7a,p_q7c_3,p_q2f,com_s_10,p_q11c_4,p_q7b_5,rr_s,p_q3a_4,p_q8a_4,p_q2b_5,p_q5c,p_q9_6,p_q12aa_1,p_q11a_2,p_q1_5,p_q9_4,p_q4d_4,saf_s_10,p_q3a,p_q3c_5,p_q7a_1,p_q8a_5,p_q4a_3,p_q11f_3,p_q12bd,p_q10e,p_q7d_3,p_q4a
08X062,2.0,49.0,1.0,19.0,3.0,4.0,3.0,1.0,2.0,,54.0,43.0,,3.0,40.0,8.4,8.9,60.0,1.0,29.0,1.0,10.0,2.0,0.0,1.0,9.8,0.0,5.0,0.0,58.0,0.0,8.7,40.0,7.6,32.0,2.0,17.0,0.0,0.0,2.0,10.0,1.0,4.0,51.0,7.8,8.7,41.0,7.3,9.0,38.0,,1.0,,50.0,38.0,1.0,54.0,0.0,Lisa Manfredonia,57.0,11.0,8.4,8.7,4.0,30.0,0.0,7.0,0.0,0.0,36.0,No,1.0,1.0,6.0,8.7,3.0,8.6,,0.0,1.0,,4.0,4.0,0.0,19.0,8.0,32.0,28.0,16.0,13.0,1.0,,8.2,2.0,52.0,22.0,2.0,3.0,,5.0,1.0,8.7
01M184,9.0,57.0,0.0,8.0,4.0,7.0,1.0,1.0,5.0,,33.0,54.0,,5.0,58.0,7.7,8.4,48.0,1.0,34.0,0.0,9.0,2.0,1.0,2.0,9.9,0.0,11.0,10.0,40.0,1.0,8.2,56.0,8.6,16.0,3.0,16.0,1.0,0.0,3.0,17.0,2.0,4.0,40.0,7.7,8.4,52.0,8.3,20.0,55.0,164.0,0.0,,48.0,28.0,1.0,39.0,0.0,Ling Ling Chou,41.0,20.0,7.9,8.3,3.0,37.0,0.0,8.0,0.0,1.0,44.0,Yes,0.0,1.0,12.0,8.5,3.0,8.2,5.7,2.0,1.0,100.0,9.0,1.0,0.0,63.0,4.0,18.0,42.0,11.0,9.0,0.0,7.6,7.3,1.0,46.0,18.0,2.0,2.0,,20.0,3.0,8.5
18K566,6.0,5.0,2.0,0.0,19.0,14.0,11.0,0.0,4.0,,8.0,57.0,42.0,13.0,54.0,7.3,6.7,35.0,3.0,33.0,2.0,14.0,7.0,2.0,0.0,6.0,2.0,14.0,0.0,23.0,4.0,6.8,64.0,6.2,10.0,4.0,47.0,2.0,5.0,18.0,24.0,0.0,14.0,29.0,6.1,7.7,67.0,6.1,20.0,67.0,212.0,6.0,,45.0,12.0,16.0,20.0,4.0,TERRI LYNN GREY,26.0,21.0,6.8,6.6,20.0,23.0,4.0,0.0,0.0,0.0,59.0,Yes,4.0,0.0,21.0,7.1,9.0,7.3,5.9,0.0,2.0,67.0,21.0,11.0,0.0,5.0,6.0,8.0,67.0,0.0,0.0,7.0,5.9,5.7,9.0,18.0,35.0,14.0,15.0,,14.0,10.0,7.6
08X302,0.0,74.0,0.0,0.0,2.0,3.0,7.0,3.0,1.0,,48.0,58.0,,1.0,56.0,8.0,8.2,43.0,1.0,47.0,0.0,3.0,1.0,1.0,1.0,9.6,0.0,2.0,30.0,43.0,0.0,8.4,57.0,9.2,14.0,2.0,31.0,0.0,1.0,2.0,7.0,0.0,2.0,34.0,7.8,8.1,59.0,7.3,48.0,55.0,769.0,0.0,,30.0,76.0,1.0,40.0,1.0,Angel Rodriguez,39.0,8.0,7.9,8.4,3.0,46.0,0.0,3.0,1.0,0.0,54.0,Yes,0.0,1.0,31.0,8.4,2.0,8.0,6.6,0.0,0.0,84.0,3.0,4.0,0.0,7.0,7.0,17.0,53.0,0.0,3.0,0.0,7.0,8.0,4.0,40.0,13.0,2.0,2.0,,6.0,1.0,8.4
19K174,3.0,48.0,1.0,5.0,6.0,5.0,3.0,6.0,6.0,,35.0,46.0,,5.0,47.0,7.7,8.4,60.0,0.0,28.0,1.0,17.0,5.0,0.0,2.0,9.2,1.0,9.0,8.0,43.0,1.0,8.2,44.0,7.8,19.0,3.0,15.0,2.0,2.0,7.0,11.0,2.0,11.0,41.0,7.4,8.4,46.0,7.1,11.0,47.0,139.0,2.0,,46.0,40.0,3.0,45.0,1.0,Ingrid Mason,43.0,8.0,8.0,8.3,13.0,38.0,1.0,6.0,1.0,3.0,40.0,Yes,3.0,2.0,10.0,8.0,11.0,8.5,6.2,0.0,2.0,94.0,7.0,10.0,0.0,15.0,7.0,29.0,37.0,12.0,7.0,3.0,6.3,7.4,2.0,40.0,17.0,4.0,8.0,,6.0,1.0,8.5
04M381,3.0,34.0,0.0,0.0,1.0,8.0,1.0,3.0,3.0,,16.0,27.0,,4.0,42.0,8.3,8.6,65.0,0.0,26.0,0.0,8.0,0.0,3.0,1.0,9.6,0.0,4.0,41.0,55.0,0.0,9.1,38.0,7.8,33.0,6.0,25.0,0.0,0.0,3.0,7.0,0.0,4.0,45.0,7.4,9.0,31.0,6.1,13.0,45.0,139.0,0.0,,32.0,45.0,0.0,70.0,0.0,Luis Genao,54.0,19.0,8.8,9.0,4.0,29.0,0.0,13.0,0.0,0.0,27.0,Yes,1.0,0.0,15.0,8.6,11.0,8.8,6.4,0.0,1.0,96.0,4.0,4.0,0.0,32.0,6.0,38.0,42.0,0.0,9.0,1.0,6.7,7.9,4.0,53.0,15.0,0.0,4.0,,4.0,7.0,8.9
10X141,3.0,32.0,2.0,0.0,13.0,9.0,12.0,3.0,4.0,,86.0,52.0,42.0,12.0,49.0,7.5,7.8,47.0,2.0,27.0,1.0,15.0,6.0,2.0,3.0,9.2,2.0,16.0,19.0,35.0,2.0,7.5,56.0,8.2,8.0,3.0,27.0,2.0,2.0,10.0,19.0,3.0,10.0,40.0,6.6,8.2,49.0,6.7,33.0,54.0,1268.0,3.0,,37.0,22.0,1.0,33.0,3.0,LORI O'MARA,34.0,14.0,7.4,7.4,11.0,38.0,2.0,5.0,3.0,2.0,46.0,Yes,6.0,5.0,29.0,8.0,7.0,7.9,5.6,3.0,1.0,93.0,5.0,11.0,1.0,19.0,5.0,11.0,49.0,0.0,6.0,5.0,5.9,7.5,5.0,41.0,17.0,8.0,10.0,,16.0,4.0,7.9
06M143,2.0,22.0,0.0,0.0,7.0,8.0,5.0,3.0,4.0,,59.0,54.0,,8.0,52.0,7.7,7.8,50.0,3.0,30.0,1.0,10.0,5.0,2.0,2.0,8.7,1.0,10.0,32.0,34.0,1.0,8.0,55.0,6.5,20.0,1.0,13.0,1.0,3.0,5.0,15.0,1.0,7.0,47.0,7.4,8.4,54.0,7.7,15.0,54.0,735.0,1.0,,49.0,9.0,3.0,37.0,1.0,Ourania Pappas,42.0,17.0,7.7,8.1,11.0,31.0,1.0,5.0,2.0,1.0,41.0,Yes,2.0,2.0,14.0,7.9,8.0,8.2,5.9,1.0,3.0,99.0,7.0,9.0,0.0,18.0,8.0,24.0,52.0,0.0,9.0,2.0,6.7,7.0,10.0,37.0,23.0,5.0,8.0,,19.0,4.0,7.9
01M015,8.0,36.0,1.0,20.0,8.0,3.0,1.0,1.0,1.0,,27.0,46.0,,8.0,47.0,7.6,8.3,51.0,0.0,28.0,0.0,10.0,4.0,0.0,1.0,9.8,0.0,8.0,0.0,54.0,3.0,8.3,42.0,7.4,24.0,0.0,17.0,0.0,0.0,5.0,16.0,1.0,7.0,43.0,7.9,8.5,50.0,7.9,25.0,47.0,,1.0,,37.0,38.0,1.0,46.0,0.0,Thomas Staebell,46.0,14.0,7.9,8.2,11.0,39.0,2.0,6.0,1.0,0.0,44.0,No,1.0,2.0,12.0,8.6,7.0,8.3,,4.0,1.0,,4.0,5.0,0.0,21.0,9.0,28.0,35.0,13.0,15.0,0.0,,7.8,5.0,53.0,21.0,6.0,5.0,,2.0,3.0,8.1
09X230,5.0,48.0,1.0,0.0,5.0,4.0,3.0,4.0,3.0,,35.0,42.0,,2.0,36.0,8.2,8.6,56.0,4.0,26.0,0.0,9.0,5.0,2.0,1.0,9.6,2.0,3.0,0.0,50.0,1.0,8.5,47.0,8.1,34.0,3.0,20.0,3.0,1.0,3.0,12.0,1.0,6.0,40.0,7.6,8.5,51.0,6.8,6.0,39.0,,1.0,,47.0,43.0,2.0,51.0,2.0,Rowena Penn-Jackson,53.0,10.0,7.7,8.6,5.0,23.0,2.0,7.0,3.0,1.0,39.0,No,2.0,3.0,10.0,8.2,6.0,8.4,,2.0,4.0,,3.0,7.0,0.0,30.0,6.0,37.0,35.0,18.0,10.0,2.0,,8.2,5.0,51.0,19.0,3.0,3.0,,5.0,2.0,8.5
02M520,6.0,19.0,2.0,0.0,9.0,18.0,10.0,1.0,8.0,,127.0,58.0,49.0,16.0,60.0,6.6,7.0,20.0,3.0,23.0,1.0,15.0,13.0,4.0,1.0,7.5,2.0,27.0,0.0,15.0,2.0,6.7,68.0,7.8,5.0,4.0,22.0,2.0,6.0,16.0,26.0,4.0,18.0,40.0,6.5,7.2,69.0,6.4,22.0,66.0,2439.0,1.0,,50.0,40.0,4.0,15.0,3.0,Barbara A. Esmilla,20.0,27.0,6.8,7.2,16.0,27.0,0.0,6.0,2.0,3.0,63.0,Yes,8.0,1.0,24.0,7.0,10.0,6.7,5.0,2.0,6.0,59.0,18.0,6.0,3.0,6.0,9.0,8.0,73.0,0.0,3.0,2.0,5.7,4.6,18.0,16.0,26.0,10.0,12.0,,16.0,7.0,7.1
09X088,7.0,50.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,,7.0,38.0,,2.0,38.0,8.2,8.2,55.0,0.0,17.0,2.0,13.0,13.0,0.0,4.0,9.7,2.0,9.0,0.0,53.0,5.0,8.4,49.0,7.9,31.0,5.0,15.0,2.0,0.0,0.0,15.0,0.0,2.0,69.0,8.0,8.3,41.0,8.9,19.0,51.0,,4.0,,38.0,27.0,2.0,53.0,2.0,Melinda Hyer,51.0,28.0,8.0,8.7,4.0,15.0,4.0,3.0,4.0,4.0,39.0,No,7.0,4.0,4.0,8.3,0.0,8.3,,4.0,2.0,,11.0,9.0,0.0,21.0,10.0,24.0,38.0,20.0,10.0,2.0,,7.0,4.0,45.0,17.0,2.0,0.0,,13.0,0.0,8.1
09X219,5.0,21.0,2.0,0.0,9.0,8.0,5.0,6.0,6.0,,29.0,52.0,,12.0,56.0,7.0,7.5,40.0,0.0,29.0,2.0,13.0,8.0,3.0,2.0,8.6,1.0,10.0,32.0,28.0,4.0,7.4,54.0,7.0,18.0,3.0,29.0,2.0,3.0,9.0,21.0,3.0,13.0,40.0,6.5,7.9,57.0,5.6,17.0,55.0,445.0,1.0,,47.0,28.0,4.0,29.0,2.0,Dominic Cipollone,33.0,20.0,7.5,7.7,12.0,30.0,3.0,6.0,3.0,3.0,49.0,Yes,5.0,5.0,19.0,7.4,9.0,7.7,5.6,3.0,5.0,96.0,8.0,13.0,2.0,9.0,15.0,21.0,51.0,0.0,10.0,2.0,5.9,6.1,16.0,29.0,24.0,6.0,11.0,,12.0,6.0,7.7
05M123,4.0,31.0,1.0,12.0,2.0,7.0,3.0,3.0,5.0,,46.0,46.0,,5.0,46.0,8.0,8.6,53.0,0.0,27.0,1.0,15.0,4.0,2.0,1.0,9.6,1.0,6.0,11.0,47.0,0.0,8.4,45.0,7.8,15.0,11.0,12.0,2.0,2.0,5.0,15.0,0.0,5.0,52.0,7.7,8.3,47.0,8.6,17.0,43.0,128.0,0.0,,41.0,33.0,0.0,47.0,1.0,Beverly Lewis,48.0,17.0,7.9,8.6,7.0,32.0,0.0,6.0,1.0,1.0,43.0,Yes,0.0,1.0,6.0,8.5,7.0,8.3,5.5,2.0,2.0,90.0,8.0,8.0,0.0,12.0,10.0,16.0,34.0,8.0,11.0,1.0,6.0,7.3,5.0,50.0,23.0,3.0,9.0,,7.0,3.0,8.6
12X061,1.0,33.0,1.0,17.0,4.0,4.0,2.0,3.0,4.0,,24.0,47.0,,6.0,49.0,7.8,8.3,47.0,1.0,27.0,1.0,13.0,4.0,2.0,0.0,9.8,1.0,6.0,1.0,49.0,1.0,8.4,52.0,7.1,26.0,3.0,15.0,1.0,1.0,5.0,14.0,2.0,6.0,60.0,8.1,8.3,49.0,8.3,11.0,51.0,,0.0,,50.0,38.0,1.0,47.0,1.0,Patricia Quigley,45.0,16.0,8.0,8.4,9.0,31.0,1.0,9.0,0.0,1.0,46.0,No,4.0,1.0,7.0,8.5,4.0,8.1,,2.0,1.0,,3.0,3.0,0.0,5.0,19.0,27.0,41.0,15.0,7.0,0.0,,7.6,5.0,46.0,22.0,6.0,3.0,,8.0,2.0,8.4
01M301,7.0,43.0,2.0,0.0,19.0,15.0,0.0,5.0,5.0,,21.0,42.0,,16.0,43.0,6.4,7.0,30.0,0.0,17.0,0.0,20.0,7.0,0.0,0.0,9.5,5.0,21.0,31.0,23.0,13.0,6.9,57.0,8.1,12.0,12.0,36.0,9.0,0.0,19.0,17.0,2.0,21.0,48.0,7.1,7.8,64.0,7.5,15.0,44.0,220.0,5.0,,27.0,25.0,2.0,30.0,7.0,George Morgan,22.0,40.0,6.8,6.7,28.0,21.0,2.0,0.0,7.0,5.0,60.0,Yes,7.0,5.0,15.0,6.9,14.0,7.1,6.0,7.0,11.0,89.0,10.0,20.0,0.0,5.0,18.0,15.0,64.0,2.0,0.0,5.0,6.1,5.8,22.0,19.0,9.0,5.0,5.0,,20.0,9.0,7.3
07X343,0.0,31.0,1.0,0.0,8.0,9.0,4.0,3.0,2.0,,19.0,44.0,,5.0,37.0,8.3,8.3,67.0,2.0,33.0,0.0,5.0,4.0,2.0,0.0,9.2,1.0,8.0,26.0,53.0,0.0,8.5,40.0,7.9,26.0,2.0,15.0,1.0,1.0,5.0,17.0,0.0,5.0,42.0,7.9,8.7,43.0,7.8,6.0,41.0,225.0,1.0,,61.0,57.0,3.0,50.0,1.0,Vincent Gassetto,52.0,21.0,8.3,8.2,6.0,32.0,1.0,6.0,0.0,1.0,35.0,Yes,5.0,1.0,21.0,8.4,1.0,8.7,6.7,1.0,0.0,99.0,7.0,8.0,0.0,33.0,8.0,26.0,42.0,0.0,6.0,2.0,7.5,7.0,8.0,44.0,19.0,4.0,2.0,,26.0,1.0,8.6
14K120,3.0,57.0,0.0,18.0,0.0,4.0,0.0,2.0,2.0,,34.0,39.0,,3.0,32.0,8.9,9.2,65.0,1.0,28.0,0.0,4.0,2.0,0.0,1.0,9.9,1.0,4.0,0.0,66.0,0.0,9.0,33.0,8.2,28.0,1.0,22.0,0.0,0.0,0.0,12.0,0.0,0.0,62.0,8.4,8.8,39.0,8.8,15.0,30.0,,0.0,,53.0,42.0,1.0,61.0,0.0,Liza Caraballo,60.0,16.0,8.4,9.0,3.0,29.0,0.0,2.0,0.0,0.0,34.0,No,2.0,1.0,4.0,9.1,2.0,8.7,,0.0,0.0,,5.0,3.0,1.0,6.0,6.0,27.0,21.0,14.0,9.0,0.0,,8.0,1.0,68.0,27.0,2.0,1.0,,11.0,1.0,8.9
19K302,5.0,28.0,0.0,0.0,7.0,11.0,10.0,5.0,2.0,,66.0,46.0,,12.0,50.0,7.2,7.8,43.0,0.0,22.0,2.0,10.0,8.0,3.0,3.0,7.1,3.0,17.0,29.0,24.0,4.0,7.6,51.0,7.3,17.0,4.0,20.0,6.0,5.0,10.0,17.0,1.0,13.0,52.0,7.0,8.0,55.0,6.5,13.0,47.0,995.0,4.0,,51.0,28.0,9.0,37.0,2.0,LISA LINDER,40.0,25.0,7.3,7.8,13.0,28.0,3.0,10.0,4.0,3.0,46.0,Yes,7.0,3.0,18.0,7.3,7.0,7.7,5.6,3.0,6.0,67.0,11.0,17.0,1.0,9.0,10.0,22.0,45.0,0.0,8.0,4.0,5.5,5.7,16.0,28.0,21.0,8.0,11.0,,7.0,6.0,7.7
01M137,1.0,72.0,0.0,21.0,3.0,1.0,1.0,1.0,3.0,,19.0,47.0,,3.0,38.0,8.2,8.4,63.0,0.0,47.0,0.0,7.0,3.0,1.0,1.0,9.9,0.0,5.0,0.0,49.0,1.0,8.4,42.0,9.1,25.0,0.0,29.0,0.0,1.0,3.0,8.0,0.0,6.0,61.0,8.0,8.9,35.0,7.2,20.0,36.0,,1.0,,44.0,56.0,0.0,49.0,1.0,Melissa Rodriguez,48.0,6.0,8.6,8.5,9.0,48.0,1.0,3.0,1.0,1.0,30.0,No,2.0,1.0,7.0,8.7,2.0,8.7,,1.0,1.0,,6.0,3.0,0.0,43.0,3.0,27.0,33.0,15.0,9.0,3.0,,7.7,2.0,52.0,20.0,3.0,5.0,,12.0,2.0,8.5
18K569,3.0,17.0,0.0,0.0,8.0,9.0,8.0,3.0,3.0,,16.0,33.0,33.0,6.0,43.0,8.2,8.0,67.0,0.0,35.0,3.0,8.0,0.0,0.0,0.0,7.5,0.0,6.0,0.0,44.0,3.0,8.8,44.0,7.0,6.0,3.0,53.0,6.0,0.0,0.0,9.0,0.0,6.0,42.0,7.6,9.1,33.0,6.9,16.0,46.0,221.0,0.0,,61.0,25.0,6.0,61.0,0.0,MATT BROWN,50.0,26.0,8.5,8.5,11.0,23.0,0.0,4.0,0.0,0.0,28.0,Yes,0.0,0.0,9.0,8.5,3.0,8.9,6.3,0.0,0.0,81.0,0.0,3.0,0.0,3.0,4.0,6.0,49.0,0.0,17.0,3.0,6.7,7.9,3.0,50.0,39.0,0.0,0.0,,44.0,3.0,8.8
04M102,4.0,73.0,0.0,9.0,4.0,2.0,1.0,3.0,4.0,,38.0,54.0,,3.0,54.0,7.7,8.1,45.0,1.0,35.0,0.0,9.0,1.0,2.0,1.0,9.9,1.0,5.0,0.0,42.0,0.0,8.4,59.0,8.5,17.0,1.0,15.0,2.0,1.0,3.0,11.0,1.0,4.0,50.0,8.0,8.2,54.0,7.9,17.0,51.0,,1.0,,57.0,30.0,0.0,42.0,0.0,Sandra Gittens,42.0,14.0,7.9,8.3,9.0,33.0,1.0,4.0,0.0,1.0,52.0,No,0.0,1.0,2.0,8.5,6.0,8.1,,2.0,1.0,,7.0,4.0,0.0,9.0,6.0,16.0,49.0,16.0,5.0,0.0,,7.7,1.0,44.0,20.0,1.0,4.0,,5.0,1.0,8.4
07X500,3.0,22.0,0.0,0.0,8.0,3.0,2.0,5.0,2.0,,27.0,47.0,33.0,3.0,46.0,8.0,8.0,41.0,0.0,24.0,0.0,8.0,5.0,0.0,3.0,9.1,2.0,13.0,19.0,35.0,2.0,8.1,56.0,7.3,16.0,4.0,30.0,2.0,5.0,10.0,21.0,0.0,5.0,54.0,6.9,8.4,54.0,6.9,20.0,48.0,543.0,0.0,,51.0,24.0,2.0,43.0,2.0,Nicholas Paarlberg,44.0,28.0,7.9,8.0,5.0,20.0,2.0,7.0,0.0,0.0,46.0,Yes,3.0,2.0,8.0,8.3,7.0,7.8,6.0,2.0,2.0,87.0,7.0,3.0,0.0,11.0,13.0,20.0,52.0,0.0,15.0,0.0,6.8,6.6,2.0,38.0,27.0,5.0,2.0,,8.0,2.0,8.5
01M315,3.0,91.0,1.0,12.0,4.0,0.0,0.0,1.0,3.0,,12.0,33.0,,1.0,32.0,8.6,8.8,65.0,6.0,27.0,0.0,5.0,6.0,1.0,1.0,10.0,1.0,5.0,0.0,39.0,0.0,8.4,35.0,9.4,6.0,8.0,45.0,0.0,0.0,3.0,21.0,1.0,4.0,54.0,8.1,9.3,37.0,7.9,44.0,37.0,,3.0,,24.0,43.0,0.0,57.0,1.0,Robin Williams,54.0,9.0,8.4,8.5,3.0,32.0,3.0,6.0,1.0,1.0,21.0,No,1.0,0.0,9.0,8.9,1.0,8.7,,0.0,1.0,,5.0,3.0,0.0,26.0,3.0,7.0,20.0,16.0,14.0,1.0,,8.4,1.0,66.0,15.0,3.0,5.0,,16.0,5.0,8.3
03M009,2.0,84.0,0.0,10.0,4.0,5.0,1.0,1.0,1.0,,36.0,35.0,,4.0,31.0,8.7,9.1,67.0,4.0,30.0,1.0,4.0,4.0,1.0,1.0,10.0,0.0,6.0,0.0,72.0,0.0,9.0,36.0,9.5,9.0,2.0,25.0,1.0,0.0,1.0,20.0,2.0,4.0,53.0,8.2,9.3,30.0,8.5,48.0,34.0,,0.0,,32.0,57.0,0.0,63.0,0.0,Diane Brady,61.0,8.0,8.8,8.7,3.0,29.0,1.0,1.0,0.0,0.0,18.0,No,1.0,1.0,12.0,9.3,3.0,8.9,,0.0,0.0,,1.0,1.0,1.0,27.0,4.0,10.0,21.0,21.0,4.0,1.0,,8.7,1.0,73.0,12.0,1.0,2.0,,19.0,1.0,9.1
11X087,3.0,52.0,2.0,18.0,6.0,3.0,1.0,3.0,4.0,,24.0,44.0,,5.0,53.0,7.9,8.6,50.0,1.0,33.0,0.0,12.0,3.0,0.0,1.0,9.9,1.0,7.0,0.0,48.0,0.0,8.6,48.0,8.3,17.0,4.0,14.0,1.0,1.0,3.0,16.0,1.0,5.0,51.0,7.4,8.5,49.0,6.7,14.0,52.0,,1.0,,49.0,56.0,0.0,52.0,1.0,Donna Anaman,51.0,15.0,8.2,8.6,6.0,26.0,0.0,4.0,1.0,0.0,39.0,No,2.0,0.0,8.0,8.6,6.0,8.2,,0.0,0.0,,4.0,4.0,1.0,12.0,7.0,23.0,34.0,17.0,6.0,0.0,,8.1,2.0,48.0,26.0,4.0,4.0,,12.0,2.0,8.6
09X404,1.0,53.0,1.0,0.0,3.0,4.0,6.0,0.0,2.0,,27.0,65.0,67.0,4.0,70.0,7.4,7.5,35.0,0.0,55.0,0.0,3.0,3.0,0.0,0.0,9.4,0.0,4.0,0.0,33.0,1.0,8.2,69.0,8.2,14.0,1.0,26.0,0.0,2.0,1.0,15.0,1.0,3.0,35.0,7.5,7.9,64.0,8.0,8.0,70.0,422.0,0.0,,74.0,33.0,1.0,32.0,0.0,Wade Fuller,31.0,13.0,7.8,8.0,3.0,64.0,0.0,8.0,0.0,0.0,61.0,Yes,0.0,0.0,7.0,8.2,3.0,7.8,6.0,0.0,3.0,73.0,4.0,2.0,0.0,25.0,6.0,14.0,67.0,0.0,4.0,0.0,6.9,7.2,6.0,33.0,12.0,1.0,4.0,,4.0,2.0,8.1
11X417,0.0,3.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,,42.0,21.0,18.0,3.0,39.0,8.4,8.9,69.0,1.0,8.0,0.0,2.0,1.0,1.0,2.0,9.6,0.0,1.0,0.0,54.0,1.0,9.3,35.0,5.1,11.0,4.0,12.0,0.0,1.0,2.0,3.0,0.0,3.0,22.0,8.3,8.9,35.0,8.2,5.0,39.0,227.0,0.0,,77.0,1.0,3.0,76.0,1.0,,74.0,3.0,8.7,9.2,3.0,9.0,0.0,1.0,0.0,0.0,30.0,Yes,0.0,0.0,3.0,8.6,3.0,8.9,6.3,1.0,0.0,86.0,0.0,3.0,0.0,12.0,4.0,13.0,29.0,0.0,57.0,0.0,7.9,9.6,1.0,52.0,2.0,2.0,3.0,,7.0,2.0,9.5
13K419,3.0,35.0,2.0,0.0,11.0,16.0,10.0,5.0,3.0,,46.0,38.0,34.0,16.0,41.0,7.0,7.2,39.0,1.0,16.0,4.0,19.0,12.0,5.0,1.0,7.3,3.0,18.0,0.0,32.0,6.0,7.0,46.0,7.9,18.0,6.0,32.0,7.0,9.0,16.0,14.0,0.0,17.0,29.0,6.8,7.8,45.0,7.2,16.0,43.0,777.0,4.0,,41.0,39.0,9.0,35.0,4.0,Judy Henry,39.0,17.0,7.1,7.4,18.0,16.0,3.0,8.0,6.0,4.0,44.0,Yes,8.0,4.0,14.0,7.3,13.0,7.3,5.9,5.0,7.0,92.0,15.0,10.0,3.0,46.0,7.0,18.0,50.0,0.0,7.0,3.0,6.2,5.5,11.0,34.0,23.0,11.0,13.0,,16.0,6.0,7.4
03M485,5.0,38.0,4.0,0.0,13.0,7.0,24.0,2.0,5.0,,46.0,50.0,47.0,12.0,57.0,7.0,7.4,36.0,3.0,14.0,1.0,7.0,13.0,1.0,1.0,9.8,2.0,31.0,0.0,33.0,2.0,7.6,62.0,8.4,7.0,9.0,27.0,3.0,0.0,11.0,21.0,6.0,13.0,44.0,6.7,8.2,55.0,7.9,40.0,59.0,2512.0,4.0,,29.0,11.0,0.0,34.0,2.0,Kim Bruno,33.0,28.0,7.1,7.0,14.0,17.0,1.0,2.0,0.0,2.0,42.0,Yes,6.0,2.0,14.0,8.6,5.0,7.4,5.6,3.0,2.0,79.0,24.0,1.0,2.0,18.0,11.0,6.0,62.0,0.0,5.0,2.0,7.2,5.2,3.0,50.0,34.0,5.0,8.0,,35.0,4.0,8.2
08X424,3.0,54.0,0.0,0.0,5.0,6.0,8.0,2.0,2.0,,39.0,49.0,,4.0,48.0,8.0,8.4,55.0,2.0,24.0,1.0,8.0,3.0,1.0,1.0,8.9,0.0,7.0,35.0,43.0,0.0,8.4,53.0,7.8,25.0,6.0,24.0,0.0,3.0,3.0,16.0,0.0,4.0,43.0,7.4,8.6,44.0,6.7,16.0,49.0,389.0,0.0,,40.0,48.0,2.0,45.0,0.0,John Hughes,45.0,16.0,8.3,8.3,5.0,28.0,0.0,8.0,1.0,0.0,40.0,Yes,2.0,1.0,13.0,8.3,5.0,8.4,5.7,1.0,1.0,96.0,5.0,7.0,1.0,19.0,12.0,30.0,43.0,0.0,6.0,1.0,6.2,7.2,11.0,43.0,21.0,4.0,7.0,,5.0,1.0,8.3
02M565,0.0,80.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0,,15.0,14.0,10.0,3.0,14.0,9.3,9.7,96.0,6.0,57.0,0.0,1.0,4.0,0.0,0.0,9.9,0.0,6.0,0.0,86.0,0.0,9.5,22.0,8.8,3.0,17.0,9.0,1.0,0.0,0.0,17.0,2.0,3.0,36.0,9.2,10.0,7.0,9.3,68.0,12.0,145.0,0.0,,9.0,40.0,0.0,84.0,1.0,Herb Mack,91.0,15.0,9.7,9.6,2.0,56.0,0.0,0.0,0.0,1.0,1.0,Yes,0.0,0.0,6.0,9.8,0.0,9.8,8.7,0.0,1.0,90.0,6.0,0.0,0.0,1.0,24.0,0.0,9.0,0.0,18.0,0.0,9.2,7.3,3.0,93.0,42.0,0.0,3.0,,7.0,0.0,9.7
18K068,7.0,25.0,1.0,0.0,7.0,7.0,4.0,5.0,6.0,,65.0,52.0,,11.0,50.0,7.3,7.8,42.0,2.0,31.0,2.0,14.0,15.0,3.0,1.0,7.5,1.0,11.0,28.0,25.0,1.0,7.7,47.0,7.1,13.0,5.0,19.0,3.0,8.0,8.0,17.0,0.0,12.0,42.0,6.7,8.1,52.0,6.5,21.0,46.0,958.0,3.0,,44.0,23.0,5.0,34.0,2.0,Alex Fralin,34.0,26.0,7.7,7.7,15.0,28.0,1.0,2.0,4.0,1.0,47.0,Yes,2.0,2.0,13.0,7.2,4.0,7.8,5.2,3.0,5.0,92.0,10.0,14.0,1.0,17.0,7.0,14.0,52.0,0.0,4.0,1.0,5.4,5.8,12.0,29.0,25.0,5.0,12.0,,17.0,4.0,8.0
