printedschoolname,selectioncriteria3_prog1,selectioncriteria7_prog3,selectioncriteria4_prog4,geseats_prog4,council_district,gefilled_prog3,lowestpriority_prog3,selectioncriteria10_prog1,selectioncriteria3_prog6,weekendprogram,admissionsmethod_prog5,selectioncriteria12_prog6,selectioncriteria9_prog6,priority2_prog5,selectioncriteria6_prog2,selectioncriteria8_prog5,selectioncriteria8_prog3,name_prog1,selectioncriteria7_prog2,selectioncriteria2_prog5,swdappsperseat_prog3,selectioncriteria9_prog5,name_prog2,swdappsperseat_prog5,priority5_prog5,selectioncriteria6_prog1,independentwebsite,selectioncriteria6_prog6,subway,priority5_prog6,selectioncriteria10_prog5,selectioncriteria5_prog3,lowestpriority_prog4,selectioncriteria5_prog4,swdapps_prog6,priority4_prog6,priority3_prog3,priority5_prog1,surveysafety,selectioncriteria5_prog6,name_prog4,revealed_prog1
The Urban Assembly Unison School,,.,,,35.0,,,.,.,Yes–Saturday program for test prep,,.,.,.,,.,.,Urban Assembly Unison School,.,.,,.,,,.,,uaunisonschool.org,.,S to Franklin Ave; G to Classon Ave; C to Clinton-Washington,.,.,,.,,.,.,.,,80.0,.,,.
P.S./I.S. 187 Hudson Cliffs,,.,,,10.0,,,.,.,Yes–Saturday program for certain students.,,.,.,.,.,.,.,Hudson Cliffs School (P.S./I.S. 187),.,.,,.,,.,.,,187hudsoncliffs.org,.,A to 190th St; 1 to 191st St,.,.,,,.,.,.,.,.,95.0,.,,.
Goldie Maple Academy,Attendance and Punctuality,.,,,31.0,,,.,.,Yes–Saturday program for academic support and enrichment.,,.,.,.,.,.,.,Goldie Maple Academy,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,,.,.,,,.,.,.,.,.,74.0,.,,.
Academy of Public Relations,Attendance and Punctuality,.,,,17.0,,,.,.,Yes–Saturday program for academic support and enrichment,,.,.,.,.,.,.,Spanish Bilingual Program,.,.,,.,The Academy of Public Relations,.,.,Writing Assignment,schools.nyc.gov/Find-a-School,.,"6 to East 149th St; 2, 5 to Prospect Ave; 2, 5 to Jackson Ave",.,.,,,.,.,.,.,.,84.0,.,,.
Police Officer Rocco Laurie Intermediate School (I.S. 72),,.,.,.,51.0,,.,.,.,No,.,.,.,.,.,.,.,Rocco Laurie (I.S. 72),.,.,,.,,.,.,,is72.org,.,,.,.,.,.,.,.,.,.,,81.0,.,,.
P.S. 175 City Island,,.,,,13.0,,,.,.,No,,.,.,.,,.,.,City Island School (P.S. 175),.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,,.,.,,.,,.,.,.,,91.0,.,,.
Quest to Learn,,.,.,.,3.0,,,.,.,No,.,.,.,.,.,.,.,Quest To Learn,.,.,,.,,.,.,,q2l.org,.,"A, C, E, L to 14th St-8th Ave; 2, 3, F, M to 14th St; 1 to 18th St",.,.,.,.,.,.,.,.,,74.0,.,.,.
In-Tech Academy (M.S. / High School 368),Entrance Assessment: ELA and Math,.,,,11.0,,,.,.,Yes,,.,.,.,,.,.,Honors Program (For Students Zoned to 10X368 Only),.,.,,.,Application Program (For Students Zoned to 10X141 Only),,.,,in-techacademy.org,.,1 to Marble Hill - 225th St,.,.,,.,,.,.,.,,85.0,.,,.
"Sojourner Truth School, 03M149",,.,.,.,9.0,,,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Sojourner Truth School (M149),.,.,,.,,.,.,,www.sojournertruthschool.org,.,"2, 3, 6, B, C to 116th St",.,.,.,.,.,.,.,.,,87.0,.,.,.
J.H.S. 217 Robert A. Van Wyck,,.,.,.,24.0,,.,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Robert A. Van Wyck (Middle School 217),.,.,,.,,.,.,,28q217.nycdoe.org,.,F to Sutphin Blvd; E to Briarwood - Van Wyck Blvd,.,.,.,.,.,.,.,.,,78.0,.,.,.
"New Explorations into Science, Technology and Math",Final 4th Grade Report Card,.,.,.,2.0,,,.,.,No,.,.,.,.,.,.,.,"New Explorations into Science, Technology and Math (NEST+M)",.,.,,.,,.,.,,nestmk12.net,.,"F, J, M, Z to Delancey St-Essex St",.,.,.,.,.,.,.,.,,89.0,.,.,.
Bronx Early College Academy for Teaching & Learning,,.,,,16.0,,,.,.,Yes–Saturday program,,.,.,.,,.,.,Bronx Early College Academy,.,.,,.,,,.,,schools.nyc.gov/Find-a-School,.,"B, D to 167th St; 4, D to 161st St-Yankee Stadium",.,.,,.,,.,.,.,Then to students and residents of the Bronx who sign in at an event,85.0,.,,.
M.S. 582 - The Upper Academy,,.,.,.,34.0,,.,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,,.,.,M.S. 582-The Magnet School for Multimedia Technology and Urban Planning,,.,,.,,.,.,,www.Magnet582.com,.,L to Montrose Ave,.,.,.,.,.,.,.,.,,93.0,.,.,.
P.S. / IS 178 Holliswood,,.,.,.,23.0,,,.,.,No,.,.,.,.,,.,.,P.S. /I.S. 178 Holliswood,,.,,.,,.,.,,holliswood178.org,.,,.,.,.,,.,.,.,.,,88.0,.,.,.
Antonia Pantoja Preparatory Academy: A College Board School,,.,.,.,18.0,,.,.,.,Yes,.,.,.,.,.,.,.,The Antonia Pantoja Preparatory Academy: A College Board School,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,,.,.,.,.,.,.,.,.,,77.0,.,.,.
Walter Francis White (P.S. 41),,.,.,.,42.0,,.,.,.,Yes,.,.,.,.,.,.,.,Walter Francis White (P.S./I.S. 41),.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,L to New Lots Ave; 3 to Rockaway Ave,.,.,.,.,.,.,.,.,,70.0,.,,.
Brownsville Collaborative Middle School,,.,.,.,37.0,,.,.,.,Yes,.,.,.,.,.,.,.,Brownsville Collaborative Middle School for Sports and Social Justice,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,L to Sutter Ave,.,.,.,.,.,.,.,.,,90.0,.,,.
P.S./I.S. 109,,.,.,.,45.0,,,.,.,Yes–Saturday program for academic support and enrichment.,.,.,.,.,.,.,.,Glenwood Academy for Science & Technology: Open to Continuing Students,.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,,.,.,.,.,.,.,.,.,,73.0,.,.,.
J.H.S. 202 Robert H. Goddard,,.,,,32.0,,,.,.,Yes–Saturday program for academic support and enrichment.,,.,.,.,.,.,.,Robert H. Goddard (M.S. 202),.,.,,.,,.,.,,www.ms202q.org,.,,.,.,,,.,.,.,.,.,86.0,.,,.
Academy for College Preparation and Career Exploration: A College Board School,,.,.,.,40.0,,.,.,.,No,.,.,.,.,,.,.,Academy for College Preparation and Career Exploration,,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,"2, 5, B, Q to Church Ave",.,.,.,.,.,.,.,.,,77.0,.,.,.
P.S. 206 Jose Celso Barbosa,,.,.,.,8.0,,.,.,.,Yes–Saturday program for certain students.,.,.,.,.,.,.,.,Jose Celso Barbosa Academy for Social Justice (P.S./M.S. 206),.,.,,.,,.,.,,schools.nyc.gov/Find-a-School,.,,.,.,.,.,.,.,.,.,Then to students and residents of District 4.,91.0,.,.,.
M.S. 246 Walt Whitman,Academic and Personal Behaviors:10%,.,.,.,40.0,,.,.,.,Yes,.,.,.,.,,.,.,Whitman STEAM Academy,,.,,.,Walt Whitman (I.S. 246),.,.,,schools.nyc.gov/Find-a-School,.,"2, 5 to Church Ave",.,.,.,.,.,.,.,.,,80.0,.,.,.
