unique_squirrel_id,tail_twitches,runs_from,running,kuks,:@computed_region_yeji_bk3q,foraging,specific_location,color_notes,hectare
16G-PM-1017-01,False,False,False,False,4,True,,,16G
22C-PM-1006-09,False,False,True,False,4,False,,,22C
9D-AM-1008-01,False,True,False,False,4,True,,,09D
28I-AM-1013-01,False,True,False,False,4,False,Jumped onto path & then back into brush,,28I
25A-AM-1013-02,False,False,False,False,4,False,BIG TREE,,25A
35G-AM-1007-01,False,False,False,False,4,False,,,35G
14E-AM-1008-23,False,False,False,False,4,True,,,14E
10F-PM-1019-12,False,True,True,False,4,True,,,10F
42E-PM-1012-06,False,True,True,False,4,True,,,42E
7G-AM-1010-04,False,False,True,False,4,True,,,07G
22G-AM-1018-02,False,True,True,True,4,False,,,22G
15F-AM-1007-08,False,False,False,False,4,True,,,15F
10G-PM-1017-01,False,False,False,False,4,False,,,10G
19F-PM-1017-01,False,False,False,False,4,False,,,19F
37H-AM-1018-01,False,False,False,False,4,True,Right behind fence of the conservatory,,37H
22F-AM-1007-02,False,False,False,False,4,False,,,22F
36I-PM-1007-07,False,False,False,False,4,True,,,36I
29B-PM-1010-05,False,False,False,False,4,True,,,29B
41A-PM-1007-03,True,False,True,False,4,False,,,41A
41E-AM-1007-06,False,False,False,False,4,True,tree,,41E
11H-AM-1010-03,True,False,False,False,4,True,,,11H
41A-PM-1007-06,False,True,True,False,4,False,,,41A
38C-PM-1014-06,False,False,False,False,4,True,,,38C
11B-PM-1014-05,False,False,False,False,4,True,,,11B
11G-PM-1013-01,False,True,False,False,4,True,In the Woods/Brush,,11G
11D-AM-1010-03,False,False,False,False,4,False,,,11D
5E-AM-1008-08,False,False,True,False,4,False,,,05E
37B-AM-1018-01,True,False,True,False,4,False,,,37B
2D-PM-1012-02,False,False,False,False,4,True,,,02D
23B-PM-1012-05,False,False,False,False,4,False,chain link fence,,23B
7E-AM-1006-02,False,False,False,False,4,False,under a tree,,07E
40A-PM-1014-06,False,False,True,False,4,False,,,40A
32B-AM-1017-03,True,True,False,False,4,True,,,32B
10G-AM-1006-02,False,True,True,False,4,True,,notch on tail,10G
7H-AM-1006-05,False,False,False,False,4,False,,,07H
7H-PM-1006-09,False,True,False,False,4,True,by tree,,07H
31A-AM-1010-04,True,False,False,False,4,True,,,31A
33D-AM-1017-07,False,False,False,False,4,True,,,33D
14I-PM-1018-05,True,False,False,False,4,False,,,14I
8D-AM-1007-08,False,False,False,False,4,False,,,08D
2I-PM-1006-02,False,False,True,False,4,True,,,02I
32E-AM-1007-05,False,False,False,False,4,False,,,32E
5C-PM-1010-09,False,False,True,False,4,False,,,05C
5E-PM-1012-02,False,False,False,False,4,True,,,05E
7H-AM-1006-15,False,False,False,False,4,True,,,07H
14D-AM-1014-12,False,False,False,False,4,True,,,14D
38C-AM-1019-07,True,True,True,False,4,True,,Gray & Cinnamon selected as Primary. Nothing selected as Highlights. Made executive adjustments.,38C
37H-PM-1006-02,False,True,True,True,4,True,tree,,37H
13D-PM-1018-08,False,False,False,False,4,True,,Gray & Cinnamon selected as Primary. White selected as Highlights. Made executive adjustments.,13D
