property_id,hospital_general_medical_1,council_district,_3rd_largest_property_use_1,last_modified_date_property_1,primary_property_type,report_year,last_modified_date_gas_meters,nta2020,multifamily_housing_percent,percent_of_electricity_that,estimated_data_flag_natural,adult_education_gross_floor,data_center_pdu_input_meter,multifamily_housing_number_1,office_worker_density_number,avoided_emissions_onsite,multifamily_housing_number_3,urgent_care_clinic_other,residence_hall_dormitory,museum_gross_floor_area_ft,financial_office_gross_floor,occupancy,avoided_emissions_offsite,pre_school_daycare_gross,electricity_use_grid_purchase_3,electricity_weather_normalized_1,hospital_general_medical_2,alert_water_meter_has_less,estimated_data_flag_fuel_1,data_center_cooling_equipment,number_of_active_energy_meters_1,largest_property_use_type,college_university_gross,office_number_of_computers,food_service_gross_floor,performing_arts_gross_floor,multifamily_housing_number_6,wholesale_club_supercenter_1,medical_office_percent_that_1,source_energy_use_kbtu,estimated_data_flag_1,multifamily_housing_number_4,annual_maximum_demand_kw,data_center_it_energy,parking_partially_enclosed,national_median_reference,alert_energy_meter_has_less,energy_star_certification,multifamily_housing_number,natural_gas_weather_normalized,distribution_center_gross,multifamily_housing_resident
2769630,Not Available,42.0,50000,2022-05-25T00:00:00.000,Non-Refrigerated Warehouse,2022,2023-04-07T00:00:00.000,BK0503,Not Available,0,No,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,10401427.4,7,Not Available,Ok,Not Available,Not Available,3,Non-Refrigerated Warehouse,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,37862727.6,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Non-Refrigerated Warehouse,Ok,Not Available,Not Available,85590.7,Not Available,Not Available
24774651,Not Available,34.0,Not Available,2023-02-01T00:00:00.000,Multifamily Housing,2022,2023-03-31T00:00:00.000,BK0102,100,0,No,Not Available,Not Available,1.90582,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,0,Not Available,852467.7,7.7,Not Available,Possible Issue,Not Available,Not Available,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,25,Not Available,Not Available,2647204.4,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,62,2628.4,Not Available,Not Available
10177418,Not Available,31.0,Not Available,2021-06-10T00:00:00.000,Mixed Use Property,2022,2023-04-14T00:00:00.000,QN1401,Not Available,0,No,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50,0,Not Available,1395451,11.6,Not Available,Ok,Not Available,Not Available,12,Office,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,4799096.9,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Other,Ok,Not Available,Not Available,8610,Not Available,Not Available
6248903,Not Available,14.0,Not Available,2018-03-11T00:00:00.000,Multifamily Housing,2022,2023-04-21T00:00:00.000,BX0701,100,0,No,Not Available,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,689065.7,Not Available,Not Available,Unable to Check (not enough data),Not Available,Not Available,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,14,Not Available,Not Available,4986117.8,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,60.2,Not Available,Not Available,Not Available
9793770,Not Available,13.0,Not Available,2022-03-28T00:00:00.000,Multifamily Housing,2022,2023-03-10T00:00:00.000,BX1003,100,0,No,Not Available,Not Available,1.39778,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75,0,Not Available,1642970.1,30.1,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,57,Not Available,Not Available,6126701.5,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,74,15059,Not Available,Not Available
9612796,Not Available,47.0,Not Available,2020-01-27T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK1001,70,0,No,Not Available,Not Available,1.33028,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,508759.9,3.3,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,15,Not Available,Not Available,4743682.6,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,58,32996.4,Not Available,No specific resident population
17984325,Not Available,45.0,Not Available,2022-03-29T00:00:00.000,Office,2022,2023-01-07T00:00:00.000,BK1401,Not Available,0,No,Not Available,Not Available,Not Available,0.65377,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2002076.3,52.4,Not Available,Unable to Check (not enough data),Not Available,Not Available,6,Office,Not Available,15,Not Available,Not Available,Not Available,Not Available,Not Available,6401713.6,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,7880.3,Not Available,Not Available
6789797,Not Available,3.0,Not Available,2019-04-09T00:00:00.000,Office,2022,2023-04-20T00:00:00.000,MN0501,Not Available,0,No,Not Available,Not Available,Not Available,2.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1043793.9,Not Available,Not Available,Ok,No,Not Available,4,Office,Not Available,20,Not Available,Not Available,Not Available,Not Available,Not Available,4903177.1,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Ok,Not Available,Not Available,Not Available,Not Available,Not Available
15367187,Not Available,27.0,Not Available,2021-06-11T00:00:00.000,Enclosed Mall,2022,2023-01-07T00:00:00.000,QN1201,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,3526503.3,28.8,Not Available,Ok,No,Not Available,4,Enclosed Mall,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14613564.1,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Enclosed Mall,Ok,Not Available,Not Available,25739.3,Not Available,Not Available
15333817,Not Available,7.0,Not Available,2022-05-17T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,MN0902,100,0,No,Not Available,Not Available,1.39322,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1064049.3,5.7,Not Available,Ok,Not Available,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,36,Not Available,Not Available,9513382.8,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,75,62229,Not Available,No specific resident population
3114887,Not Available,35.0,Not Available,2016-03-27T00:00:00.000,Multifamily Housing,2022,2023-01-07T00:00:00.000,BK0901,0,0,No,Not Available,Not Available,1.19996,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,693454.9,3.2,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,53,Not Available,Not Available,5896078.4,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,75,38833.3,Not Available,No specific resident population
17976101,Not Available,39.0,Not Available,2022-04-12T00:00:00.000,Supermarket/Grocery Store,2022,2023-03-15T00:00:00.000,BK0602,100,0,No,Not Available,Not Available,2.19315,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,75,0,Not Available,4314112.3,38.2,Not Available,Ok,Not Available,Not Available,8,Supermarket/Grocery Store,Not Available,Not Available,Not Available,Not Available,20,Not Available,Not Available,13632358.9,Not Available,0,Not Available,Not Available,Not Available,CBECS - Grocery Store/Food Market,Ok,Not Available,28,14789,Not Available,No specific resident population
16866399,Not Available,2.0,Not Available,2021-07-29T00:00:00.000,Office,2022,,MN0202,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.935,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80,Not Available,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,Not Available,0,Office,Not Available,33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available
21028411,Not Available,33.0,Not Available,2022-05-16T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK0103,100,0,No,Not Available,Not Available,1.00494,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2703726.8,8.3,Not Available,Unable to Check (not enough data),Not Available,Not Available,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,81,Not Available,Not Available,15025329.8,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,94,74572.6,Not Available,Not Available
2775158,Not Available,29.0,Not Available,2016-05-10T00:00:00.000,Multifamily Housing,2022,2023-01-07T00:00:00.000,QN0901,100,0,No,Not Available,Not Available,2.56783,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2153012.9,15,Not Available,Ok,Not Available,Not Available,12,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,60,Not Available,Not Available,15208376.1,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,360,89047.2,Not Available,Not Available
2771730,Not Available,35.0,Not Available,2020-03-09T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK0802,0,0,No,Not Available,Not Available,1.3473,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1542595.9,3.2,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,130,Not Available,Not Available,11331063.6,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,188,69245,Not Available,No specific resident population
2798614,Not Available,48.0,5000,2020-02-26T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK1303,100,0,No,Not Available,Not Available,1.44432,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,873625.5,2.3,Not Available,Ok,Not Available,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,24,Not Available,100,8449211.9,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,146,58394.1,Not Available,Not Available
18636375,Not Available,14.0,Not Available,2022-03-22T00:00:00.000,Multifamily Housing,2022,2023-03-05T00:00:00.000,BX0701,100,0,No,Not Available,Not Available,2.33427,1.41094,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,638644.5,16.5,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,8,Not Available,Not Available,50,Not Available,Not Available,4786689.3,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,75,28557,Not Available,Not Available
2719854,Not Available,9.0,Not Available,2020-07-15T00:00:00.000,Multifamily Housing,2022,2023-03-27T00:00:00.000,MN1001,100,0,No,Not Available,Not Available,1.59653,Not Available,Not Available,2,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,6755964.7,11,Not Available,Ok,Not Available,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,64,Not Available,Not Available,23715307.1,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,261,46957.4,Not Available,No specific resident population
2661774,Not Available,48.0,Not Available,2014-08-05T00:00:00.000,Multifamily Housing,2022,2023-01-07T00:00:00.000,BK1502,0,0,No,Not Available,Not Available,1.19048,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,854313.6,2.5,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,85,Not Available,Not Available,8981668.2,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,115,63840.6,Not Available,No specific resident population
22760261,Not Available,4.0,Not Available,2023-03-12T00:00:00.000,Hotel,2022,2023-03-10T00:00:00.000,MN0502,100,0,No,Not Available,Not Available,0.28934,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,17238625,52.4,Not Available,Unable to Check (not enough data),Not Available,Not Available,6,Hotel,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,65146383.8,Not Available,13,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Ok,Not Available,26,17167,Not Available,Not Available
17387094,Not Available,1.0,Not Available,2021-09-02T00:00:00.000,Office,2022,,MN0201,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.72117,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Unable to Check (not enough data),Not Available,Not Available,0,Office,Not Available,35,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,Unable to Check (not enough data),Not Available,Not Available,Not Available,Not Available,Not Available
2734770,Not Available,24.0,Not Available,2020-04-20T00:00:00.000,Multifamily Housing,2022,2023-04-08T00:00:00.000,QN0804,90,0,No,Not Available,Not Available,1.13665,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,803123.4,2.9,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,72,Not Available,Not Available,7034330.4,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,90,46437.7,Not Available,No specific resident population
19833666,Not Available,3.0,Not Available,2022-04-21T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,MN0203,100,0,No,Not Available,Not Available,2.69557,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,458364.7,12.9,Not Available,Ok,Not Available,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,54,Not Available,Not Available,4284110.9,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,94,29624.3,Not Available,Not Available
4400090,Not Available,4.0,Not Available,2022-03-30T00:00:00.000,Hotel,2022,,MN0502,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,2691822.3,9.3,Not Available,Ok,Not Available,Not Available,1,Hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7537102.7,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Ok,Not Available,Not Available,Not Available,Not Available,Not Available
24889836,Not Available,31.0,Not Available,2023-02-06T00:00:00.000,Multifamily Housing,2022,,QN1401,100,0,No,Not Available,Not Available,1.66566,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95,0,Not Available,400391.4,1.1,Not Available,Unable to Check (not enough data),No,Not Available,10,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,9188070.8,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,174,57760.9,Not Available,Not Available
2814620,Not Available,21.0,Not Available,2020-03-17T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,QN0301,90,0,No,Not Available,Not Available,0.97014,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1368983.1,3.1,Not Available,Possible Issue,No,Not Available,6,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,120,Not Available,Not Available,14485326.3,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,120,98195.9,Not Available,No specific resident population
2847695,Not Available,18.0,Not Available,2020-03-16T00:00:00.000,Multifamily Housing,2022,2023-03-17T00:00:00.000,BX0903,90,0,No,Not Available,Not Available,0.7863,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1134319.4,4,Not Available,Ok,Not Available,Not Available,3,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,63,Not Available,Not Available,3571524.4,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,63,3811.8,Not Available,No specific resident population
16815797,Not Available,19.0,Not Available,2021-07-27T00:00:00.000,Non-Refrigerated Warehouse,2022,2023-03-03T00:00:00.000,QN0701,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1424564.6,25.9,Not Available,Ok,Not Available,Not Available,3,Non-Refrigerated Warehouse,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12338800.9,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Non-Refrigerated Warehouse,Ok,Not Available,Not Available,79524,Not Available,Not Available
2734819,Not Available,5.0,5120,2020-03-18T00:00:00.000,Multifamily Housing,2022,2023-03-18T00:00:00.000,MN0803,90,0,No,Not Available,Not Available,0.90439,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2481656.8,3.2,Not Available,Ok,Not Available,Not Available,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,7643739.1,Not Available,199,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,199,6620,Not Available,No specific resident population
24766913,Not Available,5.0,Not Available,2023-01-31T00:00:00.000,Multifamily Housing,2022,2023-01-31T00:00:00.000,MN0803,80,0.00E+00,No,Not Available,Not Available,0.81069,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50,0,Not Available,336730.3,3.2,Not Available,Ok,Not Available,Not Available,2,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,9,Not Available,Not Available,2054164.9,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,25,10839.1,Not Available,Not Available
15319786,Not Available,14.0,Not Available,2022-05-18T00:00:00.000,Multifamily Housing,2022,2023-03-03T00:00:00.000,BX0501,100,0,No,Not Available,Not Available,1.39506,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,912754.4,3.2,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,53,Not Available,Not Available,6815982.2,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,113,41478.5,Not Available,No specific resident population
19906892,Not Available,3.0,Not Available,2022-03-17T00:00:00.000,Hotel,2022,2023-03-03T00:00:00.000,MN0401,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,16588891.5,150.4,Not Available,Ok,Not Available,Not Available,5,Hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63004349.3,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Ok,Not Available,Not Available,160410.8,Not Available,Not Available
20597067,Not Available,3.0,Not Available,2023-02-09T00:00:00.000,Performing Arts,2022,2023-03-03T00:00:00.000,MN0401,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75,0,Not Available,4321492.5,28.4,Not Available,Possible Issue,Not Available,Not Available,3,Performing Arts,Not Available,Not Available,Not Available,149436,Not Available,Not Available,Not Available,16694294.8,No,Not Available,Not Available,Not Available,Not Available,CBECS - Public Assembly,Ok,Not Available,Not Available,0,Not Available,Not Available
6286185,Not Available,11.0,Not Available,2018-04-05T00:00:00.000,Multifamily Housing,2022,2023-03-09T00:00:00.000,BX0803,100,0,No,Not Available,Not Available,1.53174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1325814.5,9.8,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,32,Not Available,Not Available,10891550.5,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,200,70452.5,Not Available,No specific resident population
2771723,Not Available,41.0,Not Available,2022-05-09T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK0901,0,0,No,Not Available,Not Available,1.26465,Not Available,Not Available,3,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1131470.4,4.3,Not Available,Ok,Not Available,Not Available,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,74,Not Available,Not Available,8059962,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,98,47887.2,Not Available,No specific resident population
26649084,Not Available,9.0,Not Available,2023-04-25T00:00:00.000,Multifamily Housing,2022,2023-04-27T00:00:00.000,MN1002,100,0,No,Not Available,Not Available,1.56028,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,1209369.8,4,Not Available,Unable to Check (not enough data),Not Available,Not Available,13,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,98,Not Available,Not Available,12023849.7,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,132,84392.5,Not Available,Not Available
2810547,Not Available,47.0,Not Available,2020-07-17T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK1001,90,0,No,Not Available,Not Available,1.11565,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,940841.9,3.1,Not Available,Possible Issue,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,77,Not Available,Not Available,7348437.8,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,95,47085.5,Not Available,No specific resident population
2952770,Not Available,43.0,Not Available,2021-04-15T00:00:00.000,Multifamily Housing,2022,2023-04-14T00:00:00.000,BK1103,90,0,No,Not Available,Not Available,1.31015,2.29901,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,719826.2,3,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,10.1,Not Available,Not Available,58,Not Available,Not Available,6166478.2,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,81,41364,Not Available,No specific resident population
6699425,Not Available,41.0,Not Available,2019-02-13T00:00:00.000,Multifamily Housing,2022,2023-04-03T00:00:00.000,BK1704,100,0,No,Not Available,Not Available,2.31665,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,611966.1,5,Not Available,Ok,Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,38,Not Available,Not Available,4681159.6,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,82,28798.1,Not Available,Not Available
22740722,Not Available,21.0,Not Available,2022-09-23T00:00:00.000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2022,2023-01-07T00:00:00.000,QN0707,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,607875.1,32,Not Available,Unable to Check (not enough data),Not Available,Not Available,4,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1877925.2,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Service,Ok,Not Available,Not Available,1769.8,Not Available,Not Available
2676097,Not Available,2.0,Not Available,2020-03-11T00:00:00.000,Multifamily Housing,2022,2023-03-17T00:00:00.000,MN0501,90,0,No,Not Available,Not Available,1.67328,Not Available,Not Available,12,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2444315.9,5.8,Not Available,Ok,No,Not Available,11,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,16521941.1,Not Available,112,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,192,11854,Not Available,No specific resident population
2800271,Not Available,13.0,Not Available,2020-03-17T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BX1101,90,0,No,Not Available,Not Available,1.50302,Not Available,Not Available,4,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,1029049,3.4,Not Available,Possible Issue,Not Available,Not Available,8,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,73,Not Available,Not Available,9513871.9,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,131,65058.6,Not Available,No specific resident population
2815239,Not Available,16.0,Not Available,2020-05-01T00:00:00.000,Multifamily Housing,2022,2023-04-11T00:00:00.000,BX0401,90,0,No,Not Available,Not Available,0.99547,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,894247.7,4.5,Not Available,Possible Issue,Not Available,Not Available,9,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,56,Not Available,Not Available,8762103.3,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,56,61061,Not Available,No specific resident population
21028408,Not Available,33.0,Not Available,2022-05-16T00:00:00.000,Multifamily Housing,2022,2023-04-07T00:00:00.000,BK0103,100,0,No,Not Available,Not Available,1.00494,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2680821.7,8.2,Not Available,Unable to Check (not enough data),Not Available,Not Available,2,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,81,Not Available,Not Available,13875706.2,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,94,62997.6,Not Available,Not Available
2734742,Not Available,24.0,5000,2020-04-12T00:00:00.000,Multifamily Housing,2022,2023-04-08T00:00:00.000,QN0801,90,0,No,Not Available,Not Available,1.36173,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,100,0,Not Available,2950646.8,3.3,Not Available,Ok,Not Available,Not Available,5,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,186,Not Available,100,23605671.1,Not Available,0,Not Available,Not Available,0,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,340,150514.3,Not Available,No specific resident population
17370074,Not Available,48.0,Not Available,2021-09-02T00:00:00.000,Multifamily Housing,2022,2023-01-07T00:00:00.000,BK1503,100,0,No,Not Available,Not Available,1.35685,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,211148.2,15.4,Not Available,Unable to Check (not enough data),Not Available,Not Available,4,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1163570,Not Available,0,Not Available,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Ok,Not Available,18,5546.8,Not Available,Not Available
17704745,Not Available,4.0,Not Available,2021-09-24T00:00:00.000,Hotel,2022,2023-03-03T00:00:00.000,MN0502,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,0,Not Available,1404676,50.8,Not Available,Ok,Not Available,Not Available,2,Hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3933092.9,Not Available,Not Available,Not Available,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Ok,Not Available,Not Available,0,Not Available,Not Available
