latitude,longitude,non_refrigerated_warehouse,distribution_center_gross,release_date,electricity_use_grid_purchase_2,retail_store_open_or_closed,convention_center_gross_floor,occupancy,office_percent_that_can_be_1,museum_gross_floor_area_ft,data_center_it_site_energy,third_party_certification,percent_of_electricity_that,office_percent_that_can_be,estimated_values_water,multifamily_housing_number,weather_normalized_source,national_median_reference,data_center_gross_floor_area,data_center_national_median,office_worker_density_number,hospital_general_medical_4,number_of_buildings,electricity_use_generated_1,largest_property_use_type_1,water_current_date,food_sales_gross_floor_area,estimated_data_flag_district,multifamily_housing_percent_1,repair_services_vehicle_shoe,property_gfa_self_reported,nta,financial_office_computer,retail_store_percent_that,natural_gas_use_kbtu,courthouse_gross_floor_area,parking_gross_floor_area,alert_energy_meter_has_less,leed_us_project_id,total_ghg_emissions_metric,multifamily_housing_government,hospital_general_medical_8,alert_data_center_issue_with,wholesale_club_supercenter,energy_star_certification_1,supermarket_grocery_open,property_gfa_calculated_1,alert_energy_meter_has,percent_of_total_electricity,last_modified_date_non,parent_property_name,enclosed_mall_gross_floor
40.510735,-74.231109,Not Available,Not Available,2019-05-01T15:32:48.000,5438728,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,175.5,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,116525.0,Not Available,Not Available,Not Available,Not Available,Not Available,116525,Charleston-Richmond Valley-Tottenville,Not Available,Not Available,4057300.3,Not Available,Not Available,Ok,Not Available,745.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,116525.0,Ok,Not Available,04/11/2019 11:58 AM EDT,Not Applicable: Standalone Property,Not Available
40.767305,-73.923246,Not Available,Not Available,2019-05-01T15:32:48.000,3668582.4,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,99.9,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,121894.0,Not Available,Not Available,Not Available,Not Available,Not Available,121894,Old Astoria,Not Available,Not Available,1365800.1,Not Available,Not Available,Ok,Not Available,421.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,121894.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.615252,-73.97635,Not Available,Not Available,2019-05-01T15:32:48.000,1842480,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,118.7,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,112800.0,Not Available,Not Available,Not Available,Not Available,Not Available,112800,Borough Park,Not Available,Not Available,6656500.2,Not Available,Not Available,Ok,Not Available,586.2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,112800.0,Ok,Not Available,04/11/2019 11:58 AM EDT,Not Applicable: Standalone Property,Not Available
40.899295,-73.8675,Not Available,Not Available,2019-05-01T15:32:48.000,1251248.6,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,146.9,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,43260.0,Not Available,Not Available,Not Available,Not Available,Not Available,43260,Woodlawn-Wakefield,Not Available,Not Available,2006600,Not Available,Not Available,Ok,Not Available,263.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,43260.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.827304,-73.91767,Not Available,Not Available,2019-05-01T15:32:48.000,846176,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,84.7,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,54175.0,Not Available,Not Available,Not Available,Not Available,Not Available,54175,East Concourse-Concourse Village,Not Available,Not Available,1804300,Not Available,Not Available,Ok,Not Available,188,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,54175.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.657914,-74.000652,Not Available,Not Available,2019-05-01T15:32:48.000,1072186.9,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,113.2,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,56400.0,Not Available,Not Available,Not Available,Not Available,Not Available,56400,Sunset Park West,Not Available,Not Available,2743700.4,Not Available,Not Available,Ok,Not Available,267.8,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,56400.0,Ok,Not Available,04/09/2019 04:47 PM EDT,Not Applicable: Standalone Property,Not Available
40.842084,-73.891116,Not Available,Not Available,2019-05-01T15:32:48.000,1225590.4,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,103.8,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,72080.0,Not Available,Not Available,Not Available,Not Available,Not Available,72080,East Tremont,Not Available,Not Available,3373199.9,Not Available,Not Available,Ok,Not Available,313.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,72080.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.734572,-73.795484,Not Available,Not Available,2019-05-01T15:32:48.000,1271577.3,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,94.2,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,101700.0,Not Available,Not Available,Not Available,Not Available,Not Available,101700,Pomonok-Flushing Heights-Hillcrest,Not Available,Not Available,107400,Not Available,Not Available,Ok,Not Available,553.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,101700.0,Ok,Not Available,04/09/2019 02:10 PM EDT,Not Applicable: Standalone Property,Not Available
40.756808,-73.976343,Not Available,Not Available,2019-04-30T19:13:14.000,9910181.3,Not Available,Not Available,100,100,Not Available,Not Available,Not Available,0,100,No,Not Available,125.4,CBECS - Office & Bank/Financial,Not Available,Not Available,2.97145,Not Available,1,Not Available,237258.0,01/31/2019,Not Available,No,Not Available,Not Available,237258,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,957.5,Not Available,Not Available,Ok,Not Available,08/08/2018,Not Available,237258.0,Ok,Not Available,03/07/2019 11:41 AM EST,Not Applicable: Standalone Property,Not Available
40.634085,-73.907925,Not Available,Not Available,2019-05-01T15:32:48.000,1304748.8,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,Not Available,Unable to Check (not enough data),Not Available,67.5,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Not Available,1,Not Available,105600.0,Not Available,Not Available,Not Available,Not Available,Not Available,105600,Canarsie,Not Available,Not Available,3372599.9,Not Available,Not Available,Ok,Not Available,289.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,105600.0,Ok,Not Available,04/11/2019 11:58 AM EDT,Not Applicable: Standalone Property,Not Available
