property_name,largest_property_use_type,borough,energy_star_certification,hospital_general_medical_5,district_steam_use_kbtu,alert_energy_meter_has_single,national_median_total_ghg,hospital_general_medical_10,city,data_center_cooling_equipment,source_eui_kbtu_ft,hospital_general_medical_12,irrigated_area_ft,green_power_onsite_kwh,indirect_ghg_emissions_metric,medical_office_percent_that,primary_property_type_self,data_center_ups_system,data_center_pdu_input_meter,water_score_multifamily_only,hospital_general_medical_6,kerosene_use_kbtu,estimated_data_flag_1,data_quality_checker_run,_3rd_largest_property_use_1,hotel_room_density_number,third_party_certification_1,electricity_use_grid_purchase_1,multifamily_housing_total_1,primary_property_type,office_number_of_workers,office_number_of_computers,municipally_supplied_potable_2,worship_facility_gross_floor,district_hot_water_use_kbtu,direct_ghg_emissions_metric,laboratory_gross_floor_area,residence_hall_dormitory,municipally_supplied_potable,other_number_of_workers_on,avoided_emissions_offsite,last_modified_date_electric,energy_star_certification_2,water_use_intensity_all_water,medical_office_weekly,hotel_gym_fitness_center,generation_date,hospital_general_medical_9,hospital_general_medical_1,energy_power_station_gross,energy_star_score,social_meeting_hall_gross,costar_property_id,data_center_pdu_output_meter,data_quality_checker_date,bank_branch_gross_floor_area
K106-0300116,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,568.7,Not Available,Brooklyn,Not Available,90.9,Not Available,Not Available,Not Available,116.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,403079.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,287.4,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:42.000,Not Available,Not Available,Not Available,79,Not Available,Not Available,Not Available,Not Available,Not Available
19 East 57th Street,Office,MANHATTAN,Not Available,Not Available,3848250.1,Possible Issue,708.5,Not Available,New York,Not Available,266.7,Not Available,Not Available,Not Available,930.1,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2334580,Not Available,Office,312,298,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,3,0,03/25/2019 05:15 PM EDT,No,20.24,Not Available,Not Available,2019-04-22T11:03:47.000,Not Available,Not Available,Not Available,29,Not Available,Not Available,Not Available,Not Available,Not Available
K370-0300110,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,294.6,Not Available,Brooklyn,Not Available,138.9,Not Available,Not Available,Not Available,138.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,480599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,142.2,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:26.000,Not Available,Not Available,Not Available,54,Not Available,Not Available,Not Available,Not Available,Not Available
Q450-0400220,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,1057.8,Not Available,Queens,Not Available,96.4,Not Available,Not Available,Not Available,218.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,755599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,506.6,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:07.000,Not Available,Not Available,Not Available,81,Not Available,Not Available,Not Available,Not Available,Not Available
Q212-0401422,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,422.3,Not Available,Queens,Not Available,151.1,Not Available,Not Available,Not Available,315.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1091199.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,211.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:07.000,Not Available,Not Available,Not Available,28,Not Available,Not Available,Not Available,Not Available,Not Available
X130-0200173,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,537.1,Not Available,Bronx,Not Available,104.5,Not Available,Not Available,Not Available,98.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,342400,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,392.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:36.000,Not Available,Not Available,Not Available,58,Not Available,Not Available,Not Available,Not Available,Not Available
X655-0200225,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,1103,Not Available,Bronx,Not Available,102.6,Not Available,Not Available,Not Available,305.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1055999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,511.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:19.000,Not Available,Not Available,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available
K032-0300055,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,757.9,Not Available,Brooklyn,Not Available,101,Not Available,Not Available,42576.8,95.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,331200,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,474,Not Available,Not Available,Not Available,Not Available,0,04/15/2019 02:43 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:40.000,Not Available,Not Available,Not Available,75,Not Available,Not Available,Not Available,Not Available,Not Available
X041-0200077,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,453.6,Not Available,Bronx,Not Available,90.7,Not Available,Not Available,Not Available,132,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,456799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,247.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:24.000,Not Available,Not Available,Not Available,66,Not Available,Not Available,Not Available,Not Available,Not Available
Q222-0401456,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,238.1,Not Available,Queens,Not Available,103,Not Available,Not Available,Not Available,124.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,429599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,91.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:17.000,Not Available,Not Available,Not Available,59,Not Available,Not Available,Not Available,Not Available,Not Available
Q041-0400038,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,337.5,Not Available,Queens,Not Available,104.9,Not Available,Not Available,Not Available,105.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,364680,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,212.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:27.000,Not Available,Not Available,Not Available,55,Not Available,Not Available,Not Available,Not Available,Not Available
Q595-0400219,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,261.4,Not Available,Queens,Not Available,94.4,Not Available,Not Available,Not Available,97.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,335919.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,117.3,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:33.000,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,Not Available
M832-0101328 (closed),K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,284.6,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2019-05-01T15:12:24.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
K650-0300351,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,1400,Not Available,Brooklyn,Not Available,93.2,Not Available,Not Available,Not Available,318.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1102400,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,715.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:06.000,Not Available,Not Available,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available
X075-0200113,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,577.7,Not Available,Bronx,Not Available,92.1,Not Available,Not Available,Not Available,145.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,504659.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,398.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:18.000,Not Available,Not Available,Not Available,55,Not Available,Not Available,Not Available,Not Available,Not Available
M098-0100093,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,330.1,Not Available,New York,Not Available,111.4,Not Available,Not Available,Not Available,0,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,518199.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,412.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:20.000,Not Available,Not Available,Not Available,28,Not Available,Not Available,Not Available,Not Available,Not Available
K376-0301609,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,437.8,Not Available,Brooklyn,Not Available,147.5,Not Available,Not Available,Not Available,276.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,957599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,231.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:26.000,Not Available,Not Available,Not Available,35,Not Available,Not Available,Not Available,Not Available,Not Available
Q802-0401039 (closed),K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,45.3,Not Available,Queens,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,2019-05-01T15:11:55.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
X843-0200267,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,380.4,Not Available,Bronx,Not Available,123.6,Not Available,Not Available,Not Available,144.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,500799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,223.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:31.000,Not Available,Not Available,Not Available,53,Not Available,Not Available,Not Available,Not Available,Not Available
10769-Fresh Meadows,Retail Store,QUEENS,2010,Not Available,877793,Ok,Not Available,Not Available,Fresh Meadows,Not Available,149,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1277030.8,Not Available,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,13.6,Not Available,Not Available,Not Available,Not Available,0,04/17/2019 02:25 PM EDT,No,4.3,Not Available,Not Available,2019-04-22T16:02:50.000,Not Available,Not Available,Not Available,55,Not Available,Not Available,Not Available,Not Available,Not Available
K335-0300315,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,593.4,Not Available,Brooklyn,Not Available,98.8,Not Available,Not Available,Not Available,141.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,490800,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,548.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:30.000,Not Available,Not Available,Not Available,34,Not Available,Not Available,Not Available,Not Available,Not Available
NE - COURT SQUARE I,Office,QUEENS,"2010, 2009, 2008",Not Available,Not Available,Ok,8649.1,Not Available,NEW YORK,Not Available,152,Not Available,Not Available,Not Available,6572.2,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,5644,Not Available,Not Available,22744162.1,Not Available,Office,4351,4912,Not Available,Not Available,Not Available,63,Not Available,Not Available,Not Available,Not Available,0,04/30/2019 08:54 AM EDT,No,13.31,Not Available,Not Available,2019-05-01T15:08:31.000,Not Available,Not Available,Not Available,69,Not Available,Not Available,Not Available,Not Available,Not Available
FDA Queens,Other,QUEENS,Not Available,Not Available,Not Available,Ok,913.2,Not Available,Jamaica,Not Available,481.8,Not Available,Not Available,Not Available,2742.7,Not Available,Other,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,5000,Not Available,Not Available,9491697.2,Not Available,Other,153,178,Not Available,Not Available,Not Available,2185.4,Not Available,Not Available,Not Available,137,0,04/24/2019 05:41 PM EDT,No,48.55,Not Available,Not Available,2019-04-25T13:58:22.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2019-04-25,Not Available
X077-0200115,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,853,Not Available,Bronx,Not Available,134,Not Available,Not Available,Not Available,310,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1072879.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,527.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:24.000,Not Available,Not Available,Not Available,51,Not Available,Not Available,Not Available,Not Available,Not Available
Q115-0400101,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,416.9,Not Available,Queens,Not Available,83.2,Not Available,Not Available,Not Available,148.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,515200,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,157.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:44.000,Not Available,Not Available,Not Available,77,Not Available,Not Available,Not Available,Not Available,Not Available
Q460-0400214,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,1807.6,Not Available,Queens,Not Available,112.7,Not Available,Not Available,Not Available,363.7,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1258559.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1420.8,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:29.000,Not Available,Not Available,Not Available,51,Not Available,Not Available,Not Available,Not Available,Not Available
M143-0100148,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,1264.1,Not Available,New York,Not Available,92.9,Not Available,Not Available,Not Available,220.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,761999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,714.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:10.000,Not Available,Not Available,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available
Q116-0400102,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,398.8,Not Available,Queens,Not Available,101.5,Not Available,Not Available,Not Available,117.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,407679.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,298.6,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:21.000,Not Available,Not Available,Not Available,45,Not Available,Not Available,Not Available,Not Available,Not Available
712 Fifth Avenue,Office,MANHATTAN,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2010, 2009",Not Available,10952332.9,Ok,3825,Not Available,New York,Not Available,167.5,Not Available,Not Available,Not Available,3241.7,Not Available,Office,Not Available,0,Not Available,Not Available,Not Available,Not Available,No,1205,Not Available,Not Available,8701631.2,Not Available,Office,1344,1478,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,02/19/2019 04:12 PM EST,No,18.16,Not Available,Not Available,2019-03-15T11:54:48.000,Not Available,Not Available,Not Available,63,Not Available,Not Available,0,Not Available,Not Available
Q722-0401256,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,654.7,Not Available,Queens,Not Available,127.5,Not Available,Not Available,Not Available,372.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1290399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,160,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:16.000,Not Available,Not Available,Not Available,69,Not Available,Not Available,Not Available,Not Available,Not Available
K136-0300143,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,1003.2,Not Available,Brooklyn,Not Available,102.1,Not Available,Not Available,Not Available,196,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,678239.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,599.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:44.000,Not Available,Not Available,Not Available,71,Not Available,Not Available,Not Available,Not Available,Not Available
Q266-0401479,K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,402.7,Not Available,Queens,Not Available,260.2,Not Available,Not Available,Not Available,476.6,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,1649199.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,291.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:09 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:05.000,Not Available,Not Available,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available
M111-0100102,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,428.9,Not Available,New York,Not Available,91.6,Not Available,Not Available,Not Available,146,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,505119.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,256.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:07.000,Not Available,Not Available,Not Available,56,Not Available,Not Available,Not Available,Not Available,Not Available
COLLEGE POINT (1150),Retail Store,QUEENS,2014,Not Available,Not Available,Ok,1003.1,Not Available,COLLEGE POINT,Not Available,204.9,Not Available,Not Available,Not Available,739.1,Not Available,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,2557688.6,Not Available,Retail Store,Not Available,Not Available,Not Available,Not Available,Not Available,214.3,Not Available,Not Available,Not Available,Not Available,0,05/17/2019 07:45 PM EDT,No,13.32,Not Available,Not Available,2019-06-03T15:30:29.000,Not Available,Not Available,Not Available,55,Not Available,Not Available,Not Available,2019-06-03,Not Available
X119-0200162,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,353.6,Not Available,Bronx,Not Available,113.3,Not Available,Not Available,Not Available,79.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,275000,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,368.9,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:42.000,Not Available,Not Available,Not Available,26,Not Available,Not Available,Not Available,Not Available,Not Available
K805-0300359,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,1013.6,Not Available,Brooklyn,Not Available,79.8,Not Available,Not Available,Not Available,278.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,964800,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,409.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:15.000,Not Available,Not Available,Not Available,82,Not Available,Not Available,Not Available,Not Available,Not Available
M124-0100195,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,691.4,Not Available,New York,Not Available,113.9,Not Available,Not Available,Not Available,226.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,782399.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,385.7,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:01.000,Not Available,Not Available,Not Available,61,Not Available,Not Available,Not Available,Not Available,Not Available
"Q134, Q835-0400120",K-12 School,QUEENS,Not Available,Not Available,Not Available,Ok,499.1,Not Available,Queens,Not Available,98.8,Not Available,Not Available,Not Available,140.4,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,485999.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,336.6,Not Available,Not Available,Not Available,Not Available,0,04/11/2019 11:54 AM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:24.000,Not Available,Not Available,Not Available,54,Not Available,Not Available,Not Available,Not Available,Not Available
X175-0200236,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,308.7,Not Available,Bronx,Not Available,109.2,Not Available,Not Available,Not Available,136.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,470959.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,148.4,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:37.000,Not Available,Not Available,Not Available,57,Not Available,Not Available,Not Available,Not Available,Not Available
X057-0200092,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,423.5,Not Available,Bronx,Not Available,141.1,Not Available,Not Available,Not Available,134.3,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,464639.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,427.2,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:05.000,Not Available,Not Available,Not Available,23,Not Available,Not Available,Not Available,Not Available,Not Available
K307-0300302,K-12 School,BROOKLYN,Not Available,Not Available,Not Available,Ok,760.9,Not Available,Brooklyn,Not Available,81.2,Not Available,Not Available,Not Available,113.2,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,391599.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,391,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:20.000,Not Available,Not Available,Not Available,83,Not Available,Not Available,Not Available,Not Available,Not Available
M155-0100137,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,712.2,Not Available,New York,Not Available,90.3,Not Available,Not Available,Not Available,113.8,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,393919.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,421.1,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:30.000,Not Available,Not Available,Not Available,75,Not Available,Not Available,Not Available,Not Available,Not Available
M057-0100068,K-12 School,MANHATTAN,Not Available,Not Available,Not Available,Ok,553.9,Not Available,New York,Not Available,110.3,Not Available,Not Available,Not Available,196.1,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,678799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,281.6,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 04:45 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:12:40.000,Not Available,Not Available,Not Available,64,Not Available,Not Available,Not Available,Not Available,Not Available
560 Lexco LP,Office,MANHATTAN,"2018, 2016, 2015",Not Available,5047053.9,Ok,2072.1,Not Available,New York,Not Available,145.5,Not Available,Not Available,Not Available,1599.3,Not Available,Office,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,1440,Not Available,Not Available,4374972.7,Not Available,Office,703,1021,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,04/04/2019 04:21 PM EDT,No,15.87,Not Available,Not Available,2019-05-01T08:18:56.000,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,2019-04-23,Not Available
X066-0200103,K-12 School,BRONX,Not Available,Not Available,Not Available,Ok,521.7,Not Available,Bronx,Not Available,88.6,Not Available,Not Available,Not Available,150.5,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,520799.9,Not Available,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,356.5,Not Available,Not Available,Not Available,Not Available,0,04/09/2019 02:08 PM EDT,No,Not Available,Not Available,Not Available,2019-05-01T15:11:18.000,Not Available,Not Available,Not Available,52,Not Available,Not Available,Not Available,Not Available,Not Available
