school_name,q117_in_planning_my_last_1,q69_the_principal_assistant_1,q75_the_performance_of_the_1,q154_how_many_adults_at_this,q106_in_planning_my_last,q100_in_planning_my_last_1,q10_i_am_able_to_empower_1,q4_how_many_teachers_at_this,q36_the_principal_school,q80_in_planning_my_last_1,q128_in_planning_my_last,q169_it_s_a_priority_at_this_1,q88_in_planning_my_last,q125_in_planning_my_last_1,q47_at_this_school_once_we,q46_at_this_school_the_1,q81_in_planning_my_last_1,q29_i_would_recommend_this_1,q8_i_am_able_to_ensure_1,q52_at_this_school_teachers_1,q49_at_this_school_teachers,q134_in_planning_my_last_1,q142_how_many_students_in_1,q46_at_this_school_the,q135_how_many_students_in_1,q8_i_am_able_to_ensure,q121_in_planning_my_last_1,q130_in_planning_my_last_1,q136_how_many_students_in_1,q57_overall_my_professional_1,q131_in_planning_my_last_1,q135_how_many_students_in,q111_in_planning_my_last,q108_in_planning_my_last,q30_i_feel_respected_by_the_1,q123_in_planning_my_last_1,q106_in_planning_my_last_1,q43_at_this_school_there_1,q115_in_planning_my_last,q70_the_principal_school_1,q48_at_this_school_it_is,q31_the_principal_school_1,q87_in_planning_my_last_1,q127_in_planning_my_last_1,q48_at_this_school_it_is_1,q34_at_this_school_it_s_ok,q43_at_this_school_there,q17_central_doe_employees,q165_my_students_are_safe_1,q100_in_planning_my_last,q125_in_planning_my_last,q7_i_am_able_to_modify,q165_my_students_are_safe,q90_in_planning_my_last,q61_the_principal_school_1,q117_in_planning_my_last,q38_the_principal_and,q101_in_planning_my_last,q1_how_many_teachers_at_this,q126_in_planning_my_last,q130_in_planning_my_last,q57_overall_my_professional,q145_how_many_students_in_1,q61_the_principal_school,q14_i_am_able_to_monitor,q103_in_planning_my_last_1,q45_at_this_school_students_1,q44_this_school_has_well_1,q85_in_planning_my_last_1,q129_in_planning_my_last,q169_it_s_a_priority_at_this,q38_the_principal_and_1,q173_adults_at_this_school,q15_i_am_able_to_distinguish,q112_in_planning_my_last_1,q86_in_planning_my_last,q131_in_planning_my_last,q79_in_planning_my_last,q114_in_planning_my_last,q91_in_planning_my_last,q60_overall_my_professional,q122_in_planning_my_last,q143_how_many_students_in,q101_in_planning_my_last_1,q72_how_much_influence_do_1,q147_how_many_students_in_1,q2_how_many_teachers_at_this_1,q40_i_feel_respected_by_1,q140_discipline_is_applied,q146_how_many_students_in,q150_how_many_adults_at_this,q110_in_planning_my_last_1,q171_adults_at_this_school_1,q33_i_trust_the_principal_1,q105_in_planning_my_last,q132_in_planning_my_last_1,total_teacher_response_rate,q56_at_this_school_school_1,q86_in_planning_my_last_1,q23_teachers_in_this_school,q34_at_this_school_it_s_ok_1,q63_the_principal_school_1,q21_i_usually_look_forward,q62_the_principal_school,q12_i_am_able_to_apply_my,q23_teachers_in_this_school_1,q154_how_many_adults_at_this_1,q114_in_planning_my_last_1,q14_i_am_able_to_monitor_1,q27_i_feel_respected_by_other_1,q40_i_feel_respected_by,q175_adults_at_this_school_1,q11_i_am_able_to_design_1,q78_in_planning_my_last_1,q110_in_planning_my_last,q167_my_students_are_safe_1,q45_at_this_school_students,q88_in_planning_my_last_1,q3_how_many_teachers_at_this,q11_i_am_able_to_design,q65_the_principal_assistant,q129_in_planning_my_last_1,q32_the_principal_school_1,q104_in_planning_my_last_1
Community Math & Science Prep,0.0,0.06,0.27,0.93,1.0,0.0,0.0,0.89,0.89,0.0,,0.0,,,0.82,0.06,,0.06,0.0,0.0,0.88,,0.0,0.94,0.35,1.0,0.17,,0.59,0.06,,0.65,0.83,1.0,0.06,0.0,0.0,0.06,1.0,0.17,0.82,0.11,,,0.18,0.89,0.94,,0.0,1.0,,1.0,0.0,,0.0,1.0,0.94,1.0,0.94,,,0.94,0.0,1.0,1.0,0.17,0.06,0.12,,,1.0,0.06,0.0,1.0,0.0,,,0.0,1.0,,0.94,1.0,0.82,0.0,0.06,0.24,0.5,0.0,1.0,0.56,1.0,0.0,0.0,0.06,0.8,,1.0,0.0,,0.83,0.11,0.06,0.94,1.0,1.0,0.17,0.07,0.0,0.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,0.94,,0.72,1.0,0.89,,0.0,0.17
P.S. 084 Jose De Diego,0.07,0.14,0.18,0.93,1.0,0.0,0.0,0.96,0.79,,0.94,0.05,1.0,0.06,0.71,0.06,0.0,0.09,0.0,0.05,0.92,0.06,0.2,0.94,0.22,1.0,0.0,0.06,0.4,0.09,0.03,0.78,1.0,1.0,0.16,0.07,0.0,0.0,1.0,0.17,0.88,0.16,0.0,0.03,0.12,0.72,1.0,,0.0,1.0,0.94,1.0,1.0,0.91,0.08,0.93,0.86,1.0,0.96,0.94,0.94,0.91,0.12,0.92,0.96,0.0,0.15,0.05,0.0,0.94,0.95,0.14,0.0,0.94,0.0,1.0,0.97,,0.86,1.0,0.92,1.0,0.68,0.0,0.15,0.28,0.15,0.08,0.89,0.7,0.86,0.0,0.0,0.13,1.0,0.03,0.94,0.03,0.0,0.91,0.28,0.08,0.94,0.91,0.96,0.09,0.07,0.14,0.04,0.04,0.92,0.0,0.0,,1.0,0.0,0.85,0.0,0.89,1.0,0.89,0.06,0.09,0.0
South Brooklyn Community High School,,0.2,0.5,0.93,,,0.08,0.93,0.87,0.0,1.0,0.0,,0.0,0.8,0.13,,0.0,0.07,0.0,0.87,0.0,0.13,0.87,0.47,0.93,,0.0,0.47,0.13,0.0,0.53,,,0.13,,,0.0,,0.07,0.87,0.13,,0.0,0.13,0.87,1.0,,0.0,,1.0,1.0,0.0,,0.07,,0.93,,1.0,1.0,1.0,0.87,0.27,0.93,1.0,,0.07,0.0,,1.0,0.0,0.07,1.0,1.0,,,1.0,0.0,,,0.93,,0.73,,0.0,0.27,0.07,0.0,1.0,0.73,0.93,,0.0,0.13,,0.0,0.94,0.0,,0.87,0.13,0.0,1.0,0.87,0.86,0.13,0.07,,0.0,0.13,1.0,0.0,0.0,0.0,,0.0,0.93,,0.93,1.0,0.93,0.0,0.07,
Multicultural High School,,0.0,0.09,0.87,,,0.0,0.88,0.93,0.0,1.0,0.0,,0.0,0.93,0.0,,0.0,0.06,0.0,0.93,0.0,0.27,1.0,0.33,0.94,,0.0,0.27,0.0,0.0,0.67,,,0.0,,,0.0,,0.07,0.93,0.0,,0.0,0.07,1.0,1.0,,0.0,,1.0,1.0,0.0,,0.0,,0.93,,0.94,1.0,1.0,1.0,0.27,1.0,0.87,,0.13,0.0,,1.0,0.0,0.07,1.0,1.0,,,1.0,0.0,,,1.0,,0.73,,0.07,0.33,0.06,0.07,0.86,0.57,0.93,,0.0,0.0,,0.0,0.65,0.0,,0.93,0.0,0.0,1.0,1.0,0.94,0.07,0.13,,0.13,0.0,0.93,0.0,0.0,0.0,,0.0,0.87,,0.94,1.0,1.0,0.0,0.07,
The Brooklyn Academy Of Global Finance,,0.0,0.14,0.91,,,0.0,0.85,0.91,0.0,1.0,0.0,,0.0,1.0,0.0,,0.09,0.0,0.0,0.82,0.0,0.27,1.0,0.45,1.0,,0.0,0.36,0.09,0.0,0.55,,,0.0,,,0.0,,0.09,0.91,0.0,,0.0,0.09,0.91,1.0,,0.0,,1.0,1.0,0.0,,0.0,,1.0,,0.92,1.0,1.0,0.91,0.27,1.0,1.0,,0.09,0.0,,1.0,0.0,0.0,1.0,0.92,,,1.0,0.0,,,1.0,,0.64,,0.09,0.36,0.31,0.0,0.8,0.6,0.91,,0.0,0.0,,0.0,1.0,0.0,,0.91,0.09,0.0,0.91,1.0,1.0,0.09,0.09,,0.0,0.09,1.0,0.0,0.0,0.0,,0.0,0.91,,0.69,1.0,1.0,0.0,0.0,
P.S. 527 - East Side School For Social Action,0.0,0.03,0.22,0.96,1.0,,0.03,0.93,1.0,0.0,1.0,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.03,0.03,1.0,0.0,0.04,1.0,0.11,0.97,0.0,0.0,0.19,0.28,0.0,0.89,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14,0.97,0.0,0.0,0.0,0.03,0.97,1.0,,0.0,,1.0,0.97,1.0,1.0,0.0,1.0,1.0,,0.93,1.0,1.0,0.72,0.22,1.0,0.97,0.0,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.97,0.0,1.0,1.0,0.0,1.0,1.0,0.79,1.0,0.67,,0.0,0.15,0.1,,0.86,0.81,1.0,0.0,0.0,0.0,1.0,0.0,0.83,0.0,0.0,1.0,0.03,0.0,0.97,1.0,0.97,0.0,0.04,0.0,0.03,0.0,,0.0,0.03,0.0,1.0,0.0,0.97,0.0,0.83,0.97,1.0,0.0,0.0,0.0
P.S. 154 Harriet Tubman,0.0,0.11,0.0,0.76,,0.0,0.0,0.85,0.75,,0.92,0.0,,0.08,0.79,0.15,,0.2,0.05,0.0,0.79,0.0,0.2,0.85,0.4,0.95,0.0,0.0,0.47,0.11,0.0,0.6,0.0,0.0,0.2,,,0.05,,0.39,0.84,0.15,0.0,0.15,0.16,0.68,0.95,,0.08,0.0,0.92,0.95,0.92,0.0,0.05,0.0,0.84,0.0,0.86,0.92,1.0,0.89,0.25,0.95,0.94,,0.25,0.1,,1.0,1.0,0.16,0.0,1.0,0.0,,1.0,,,,0.84,0.0,0.55,0.0,0.17,0.35,0.45,0.3,0.8,0.47,0.72,,0.0,0.2,,0.0,0.69,0.0,,0.6,0.32,0.0,0.85,0.84,1.0,0.4,0.24,,0.06,0.1,0.7,0.0,0.0,,,0.0,0.75,,0.6,1.0,0.72,0.0,0.25,
Honeydew Drop Playhouse,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0
Emolior Academy,0.12,0.07,0.29,0.97,0.88,0.0,0.0,0.97,0.93,0.0,0.88,0.0,0.88,0.0,0.86,0.03,0.0,0.07,0.0,0.0,0.97,0.0,0.07,0.97,0.41,1.0,0.0,0.0,0.38,0.17,0.0,0.59,0.88,0.88,0.07,0.0,0.12,0.03,1.0,0.17,0.93,0.07,0.12,0.0,0.07,0.93,0.97,,0.0,1.0,1.0,1.0,0.0,1.0,0.03,0.88,0.89,1.0,1.0,1.0,1.0,0.83,0.19,0.97,0.96,0.12,0.29,0.03,0.12,0.88,1.0,0.11,0.0,0.96,0.12,1.0,1.0,0.0,0.89,1.0,0.93,1.0,0.46,0.0,0.1,0.45,0.1,0.03,0.93,0.41,1.0,0.38,0.0,0.07,0.88,0.14,0.94,0.0,0.0,0.97,0.07,0.07,0.97,0.93,0.88,0.03,0.03,0.11,0.04,0.0,0.97,0.0,0.0,0.0,0.62,0.0,0.71,0.12,0.86,1.0,0.93,0.12,0.07,0.12
P.S. 194 Countee Cullen,,0.41,0.4,0.64,,,0.06,0.78,0.53,0.0,0.91,0.27,,0.18,0.41,0.35,,0.59,0.12,0.0,0.65,0.09,0.27,0.65,0.43,0.88,,0.09,0.64,0.35,0.09,0.57,,,0.41,,,0.24,,0.24,0.47,0.59,,0.09,0.53,0.47,0.76,,0.18,,0.82,0.88,0.82,,0.35,,0.53,,0.88,0.91,0.91,0.65,0.27,0.65,0.82,,0.59,0.41,,0.91,0.73,0.47,0.0,0.88,,,0.91,0.0,,,0.76,,0.47,,0.47,0.47,0.22,0.19,0.6,0.4,0.64,,0.0,0.53,,0.09,1.0,0.06,,0.18,0.53,0.29,0.65,0.53,0.88,0.82,0.36,,0.18,0.18,0.81,0.0,0.18,0.0,,0.0,0.41,,0.72,0.82,0.65,0.09,0.53,
The Metropolitan Soundview High School,,0.47,0.6,0.62,1.0,,0.11,0.67,0.65,0.0,1.0,0.0,,0.11,0.53,0.41,,0.47,0.11,0.18,0.82,0.0,0.38,0.59,0.56,0.89,,0.0,0.38,0.35,0.11,0.44,0.8,1.0,0.24,,0.0,0.24,,0.53,0.65,0.18,,0.0,0.35,0.53,0.76,,0.0,,0.89,0.94,0.0,,0.18,,0.65,,0.61,0.89,1.0,0.65,0.12,0.82,0.78,0.2,0.24,0.24,,1.0,0.0,0.35,1.0,0.94,0.0,,0.89,0.0,,,0.76,,0.62,,0.24,0.44,0.5,0.12,0.69,0.5,0.64,0.6,0.0,0.24,0.8,0.11,0.5,0.12,,0.47,0.47,0.18,0.71,0.71,0.72,0.53,0.38,,0.22,0.18,0.88,0.06,0.17,0.0,0.4,0.0,0.76,,0.41,0.83,0.71,0.0,0.41,0.2
P.S. 008 Robert Fulton,,0.37,0.5,1.0,,,0.05,1.0,0.65,,1.0,0.0,,0.0,0.7,0.25,,0.3,0.05,0.1,0.9,0.0,0.11,0.75,0.16,0.95,,0.0,0.16,0.37,0.13,0.84,,,0.35,,,0.0,,0.26,0.7,0.35,,0.0,0.3,0.5,1.0,,0.0,,1.0,0.95,1.0,,0.32,,0.9,,0.95,1.0,1.0,0.63,0.0,0.68,0.89,,0.0,0.05,,1.0,1.0,0.1,0.0,0.89,,,0.87,,,,0.74,,1.0,,0.26,0.0,0.1,0.15,0.76,0.94,0.94,,0.0,0.45,,0.06,0.5,0.0,,0.95,0.5,0.32,0.8,0.68,0.78,0.05,0.0,,0.11,0.0,0.85,0.0,0.11,,,0.0,1.0,,0.85,0.89,0.68,0.0,0.3,
Cultural Academy For The Arts And Sciences,,0.06,0.56,0.93,,,0.1,0.81,0.9,0.0,,0.0,,,0.83,0.05,,0.16,0.05,0.05,0.79,,0.56,0.95,0.69,0.95,,,0.69,0.25,,0.31,,,0.05,,,0.0,,0.11,0.95,0.05,,,0.05,0.95,1.0,,0.0,,,0.95,0.0,,0.0,,0.89,,0.95,,,0.75,0.44,1.0,0.85,,0.16,0.0,,,0.0,0.11,1.0,0.9,,,,0.0,,,0.87,,0.44,,0.0,0.62,0.33,0.11,0.81,0.25,0.8,,0.0,0.05,,,0.91,0.05,,0.9,0.05,0.0,0.85,0.88,0.86,0.1,0.07,,0.15,0.2,0.89,0.0,0.1,0.0,,0.0,0.84,,0.62,0.9,0.94,,0.11,
Public School 9 The Sarah Smith Garnet School,,0.24,0.19,0.83,,,0.02,0.92,0.69,0.17,0.93,0.0,,0.07,0.78,0.27,,0.18,0.02,0.02,0.87,0.07,0.14,0.73,0.26,0.98,,0.06,0.18,0.27,0.07,0.74,,,0.31,,,0.05,,0.26,0.73,0.24,,0.03,0.27,0.71,0.95,,0.04,,0.93,0.98,0.96,,0.26,,0.84,,0.89,0.93,0.94,0.73,0.16,0.74,1.0,,0.24,0.07,,0.93,1.0,0.16,0.0,0.98,,,0.93,1.0,,,0.76,,0.82,,0.31,0.26,0.25,0.18,0.78,0.72,0.84,,0.0,0.36,,0.07,0.8,0.0,,0.76,0.29,0.26,0.8,0.74,0.96,0.24,0.17,,0.0,0.07,0.82,0.0,0.0,0.17,,0.04,0.76,,0.75,1.0,0.86,0.07,0.24,
Okie Dokie Day Care,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0
P.S. 290 Manhattan New School,,0.43,0.3,1.0,,,0.0,1.0,0.52,,0.82,0.0,,0.0,0.55,0.45,,0.52,0.0,0.0,0.86,0.0,0.12,0.55,0.27,1.0,,0.0,0.23,0.29,0.0,0.73,,,0.45,,,0.0,,0.39,0.66,0.52,,0.0,0.34,0.45,1.0,,0.0,,1.0,1.0,1.0,,0.32,,0.76,,1.0,1.0,1.0,0.71,0.0,0.68,1.0,,0.1,0.03,,1.0,1.0,0.24,0.0,1.0,,,1.0,,,,0.71,,0.92,,0.39,0.04,0.1,0.32,0.96,0.83,1.0,,0.0,0.55,,0.0,0.77,0.1,,0.79,0.55,0.29,0.69,0.57,1.0,0.21,0.0,,0.0,0.03,0.68,0.0,0.0,,,0.0,0.9,,0.93,1.0,0.68,0.0,0.55,
High School For Teaching And The Professions,,0.06,0.09,0.93,,,0.06,0.94,0.88,0.0,,0.0,,,0.88,0.12,,0.12,0.06,0.0,0.81,,0.14,0.88,0.43,0.94,,,0.36,0.0,,0.57,,,0.06,,,0.06,,0.06,0.94,0.12,,,0.06,0.88,0.94,,0.0,,,1.0,0.0,,0.0,,1.0,,1.0,,,1.0,0.14,1.0,0.94,,0.19,0.06,,,0.0,0.0,1.0,1.0,,,,0.0,,,1.0,,0.71,,0.06,0.36,0.12,0.0,0.93,0.79,0.93,,0.0,0.12,,,0.52,0.0,,0.88,0.12,0.0,1.0,0.94,0.94,0.12,0.07,,0.06,0.06,1.0,0.0,0.0,0.0,,0.0,0.81,,0.75,1.0,1.0,,0.12,
Mott Haven Village Preparatory High School,0.4,0.35,0.45,0.85,1.0,,0.05,0.9,0.68,0.0,0.86,0.0,,0.14,0.45,0.47,,0.45,0.0,0.05,0.85,0.12,0.4,0.53,0.9,1.0,0.4,0.0,0.85,0.45,0.12,0.1,1.0,1.0,0.35,0.0,0.0,0.3,,0.45,0.5,0.55,,0.12,0.5,0.55,0.7,,0.0,,0.86,0.9,0.0,,0.4,0.6,0.6,,0.74,0.86,1.0,0.55,0.45,0.6,0.85,0.0,0.55,0.3,,0.88,0.0,0.4,1.0,0.79,0.0,,0.88,0.0,,,0.6,0.8,0.2,,0.3,0.75,0.35,0.0,0.68,0.32,0.85,0.0,0.0,0.45,1.0,0.12,0.83,0.0,,0.7,0.45,0.3,0.7,0.6,0.85,0.3,0.15,,0.15,0.0,1.0,0.17,0.2,0.0,1.0,0.0,0.45,,0.75,0.8,0.55,0.12,0.53,0.0
Ella Baker School,,0.35,0.12,0.76,,,0.0,0.96,0.91,,0.93,0.0,,0.07,0.57,0.13,,0.08,0.0,0.0,0.91,0.0,0.13,0.87,0.17,1.0,,0.07,0.35,0.18,0.07,0.83,,,0.09,,,0.04,,0.13,0.74,0.35,,0.07,0.26,0.91,0.96,,0.0,,0.93,1.0,1.0,,0.35,,0.58,,0.96,0.87,0.93,0.82,0.09,0.65,0.88,,0.22,0.3,,0.93,1.0,0.42,0.0,0.96,,,0.93,,,,0.86,,0.7,,0.0,0.13,0.04,0.09,0.74,0.84,0.9,,0.0,0.22,,0.07,0.86,0.0,,0.96,0.09,0.09,0.92,0.7,0.96,0.04,0.24,,0.12,0.04,0.91,0.0,0.04,,,0.0,0.78,,0.79,0.96,0.96,0.07,0.04,
J.H.S. 088 Peter Rouget,0.19,0.35,0.17,0.86,1.0,0.0,0.03,0.98,0.97,0.0,1.0,0.18,0.91,0.0,0.72,0.15,0.09,0.06,0.03,0.15,0.94,0.0,0.15,0.85,0.32,0.97,0.0,0.0,0.3,0.33,0.0,0.68,0.92,1.0,0.08,0.0,0.0,0.02,1.0,0.22,0.7,0.15,0.09,0.0,0.3,0.79,0.98,,0.0,1.0,1.0,1.0,0.0,0.82,0.15,0.81,0.77,1.0,0.97,1.0,1.0,0.67,0.03,0.85,0.93,0.0,0.27,0.12,0.09,1.0,0.82,0.23,0.0,0.95,0.0,0.91,1.0,0.0,0.94,0.91,0.77,1.0,0.85,0.0,0.02,0.12,0.19,0.19,0.79,0.81,0.95,0.08,0.0,0.15,1.0,0.0,0.59,0.02,0.09,0.9,0.21,0.1,0.89,0.81,0.9,0.1,0.14,0.06,0.07,0.06,0.81,0.0,0.05,0.0,0.92,0.0,0.73,0.09,0.86,0.95,0.83,0.0,0.02,0.0
P.S. 032 Belmont,0.0,0.08,0.08,0.93,1.0,0.0,0.0,0.92,0.98,0.0,1.0,0.02,1.0,0.0,0.88,0.04,0.0,0.04,0.0,0.02,0.94,0.0,0.09,0.96,0.25,1.0,0.0,0.0,0.33,0.04,0.0,0.75,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.12,0.9,0.02,0.0,0.02,0.1,0.92,1.0,,0.51,1.0,1.0,1.0,0.49,1.0,0.02,1.0,0.96,1.0,0.94,0.95,1.0,0.96,0.15,0.98,0.98,0.0,0.24,0.0,0.0,1.0,0.98,0.04,0.0,0.98,0.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.79,0.0,0.12,0.17,0.14,0.04,0.89,0.64,0.98,0.0,0.0,0.04,1.0,0.02,0.78,0.02,0.0,0.92,0.08,0.0,0.96,1.0,0.98,0.08,0.07,0.0,0.02,0.0,0.96,0.0,0.02,0.0,1.0,0.0,0.76,0.0,0.82,0.98,0.92,0.0,0.0,0.0
I.S. 181 Pablo Casals,0.13,0.03,0.11,0.89,1.0,0.0,0.05,0.93,0.98,0.0,0.91,0.0,1.0,0.09,0.95,0.02,0.0,0.03,0.03,0.03,0.97,0.07,0.14,0.98,0.25,0.97,0.07,0.07,0.29,0.02,0.08,0.75,1.0,1.0,0.02,0.07,0.0,0.0,0.93,0.05,0.98,0.0,0.0,0.09,0.02,0.97,1.0,,0.0,1.0,0.91,1.0,0.0,1.0,0.02,0.87,0.97,1.0,0.98,0.92,0.93,0.98,0.07,0.98,1.0,0.0,0.15,0.0,0.0,0.93,1.0,0.03,0.0,0.98,0.05,1.0,0.92,0.0,0.87,1.0,0.95,0.93,0.78,0.0,0.03,0.14,0.12,0.05,0.97,0.78,0.96,0.0,0.0,0.02,1.0,0.07,0.86,0.05,0.0,0.93,0.03,0.0,0.97,0.98,0.93,0.07,0.11,0.13,0.0,0.03,0.95,0.0,0.02,0.0,1.0,0.0,0.85,0.0,0.93,0.98,0.98,0.07,0.0,0.0
The Brooklyn Green School,,0.0,0.11,1.0,1.0,,0.08,1.0,1.0,0.0,,0.0,,,0.92,0.08,,0.0,0.0,0.08,0.92,,0.17,0.92,0.25,1.0,,,0.25,0.0,,0.75,1.0,1.0,0.0,,0.0,0.0,,0.0,0.92,0.0,,,0.08,0.92,1.0,,0.0,,,1.0,0.0,,0.0,,1.0,,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,,,0.0,,,1.0,,0.92,,0.0,0.0,0.0,0.0,1.0,0.83,1.0,0.0,0.0,0.0,1.0,,0.86,0.08,,1.0,0.08,0.0,0.92,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.08,0.0,1.0,0.0,1.0,,1.0,0.92,1.0,,0.0,0.0
P.S. 188 The Island School,0.0,0.04,0.05,0.95,,,0.0,0.92,0.92,0.0,1.0,0.0,,0.0,0.92,0.08,,0.04,0.0,0.0,1.0,0.0,0.18,0.92,0.17,1.0,0.0,0.0,0.22,0.04,0.0,0.83,,,0.04,0.0,,0.04,1.0,0.08,1.0,0.04,,0.0,0.0,0.96,0.96,,0.08,,1.0,1.0,0.92,,0.0,1.0,0.92,,0.92,1.0,1.0,0.96,0.17,1.0,1.0,,0.36,0.0,,1.0,1.0,0.08,0.0,1.0,,,1.0,0.0,1.0,,1.0,1.0,0.83,,0.12,0.09,0.24,0.12,0.82,0.77,0.95,,0.0,0.08,,0.0,0.64,0.0,,0.92,0.04,0.0,0.96,0.96,0.96,0.08,0.05,0.0,0.0,0.04,0.88,0.0,0.0,0.0,,0.08,0.64,,0.84,1.0,0.96,0.0,0.04,
P.S. 77 Lower Lab School,0.0,0.62,,1.0,,0.0,0.0,1.0,0.5,,,0.0,,,0.75,0.25,,0.5,0.0,0.0,0.88,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.38,,1.0,,,0.5,0.0,,0.0,0.0,0.5,0.75,0.62,,,0.25,0.5,1.0,,0.0,0.0,,1.0,1.0,,0.25,0.0,0.33,0.0,0.86,,1.0,0.62,0.0,0.75,1.0,,0.0,0.0,,,1.0,0.67,0.0,1.0,,,,,0.0,,0.75,0.0,1.0,0.0,0.12,0.0,0.25,0.14,1.0,1.0,1.0,,0.0,0.5,,,0.44,0.0,,0.88,0.5,0.38,0.88,0.62,1.0,0.12,0.0,0.0,0.0,0.12,0.86,0.0,0.0,,,0.0,1.0,,0.88,1.0,0.62,,0.5,
The Bilingual Bicultural School,,0.05,0.06,1.0,,,0.0,1.0,1.0,,1.0,0.0,,0.0,0.95,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,,0.0,0.2,0.05,0.0,0.75,,,0.0,,,0.0,,0.1,1.0,0.0,,0.0,0.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,,0.9,,1.0,1.0,1.0,0.95,0.0,1.0,1.0,,0.1,0.0,,1.0,1.0,0.1,0.0,1.0,,,1.0,,,,0.9,,0.95,,0.05,0.0,0.0,0.0,0.94,0.94,1.0,,0.0,0.0,,0.0,0.68,0.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.9,,0.95,1.0,1.0,0.0,0.0,
Cornerstone Academy For Social Action Middle School (Casa),,0.08,0.12,0.83,1.0,,0.06,0.94,0.86,0.0,,0.08,,,0.93,0.14,,0.07,0.06,0.0,1.0,,0.15,0.86,0.43,0.94,,,0.57,0.0,,0.57,1.0,1.0,0.07,,0.0,0.0,,0.14,0.93,0.0,,,0.07,0.79,1.0,,0.0,,,0.94,0.0,,0.07,,0.85,,0.94,,,1.0,0.21,0.93,0.88,0.0,0.36,0.0,,,0.92,0.15,0.0,0.93,0.0,,,0.0,,,0.93,,0.5,,0.0,0.5,0.18,0.21,0.79,0.36,0.92,0.0,0.0,0.14,1.0,,0.81,0.0,,0.93,0.21,0.0,0.93,1.0,0.94,0.07,0.17,,0.12,0.07,0.79,0.0,0.06,0.0,1.0,0.0,0.64,,0.76,0.94,0.93,,0.08,0.0
Imaginarium Child,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0
P.S. 093 Albert G. Oliver,,0.24,0.4,0.88,,,0.0,0.84,0.78,,1.0,0.0,,0.0,0.82,0.24,,0.22,0.0,0.06,1.0,0.0,0.29,0.76,0.47,1.0,,0.0,0.35,0.06,0.0,0.53,,,0.22,,,0.06,,0.25,0.82,0.22,,0.0,0.18,0.76,0.94,,0.0,,1.0,1.0,1.0,,0.18,,0.83,,0.89,1.0,1.0,0.94,0.19,0.82,1.0,,0.06,0.06,,1.0,1.0,0.17,0.0,1.0,,,1.0,,,,1.0,,0.65,,0.29,0.24,0.26,0.06,1.0,0.62,0.93,,0.0,0.22,,0.0,0.59,0.06,,0.72,0.24,0.24,0.78,0.88,1.0,0.28,0.12,,0.0,0.0,0.94,0.0,0.0,,,0.0,0.94,,0.68,1.0,0.76,0.0,0.17,
