facility_name,retail_number_of_open_or,last_modified_date,other_number_of_pcs,total_indoor_and_outdoor,release_date,retail_number_of_walk_in,medical_office_number_of,supermarkets_grocery_number_1,other_workers_on_main_shift,current_direct_ghg_emissions,parking_enclosed_floor_area,latitude,multifamily_home_total_number,difference_from_national,office_gross_floor_area_sq,county,parking_gross_floor_area,longitude,current_indirect_ghg_emissions,office_office_air_conditioned,bin,fuel_oil_2_use_kbtu,k_12_school_high_school_y,council_district,diesel_2_use_kbtu,total_floor_space_sq_ft,bank_financial_institution_1,retail_percent_cooled,bank_financial_institution,current_total_site_energy,community_board,electricity_use_kbtu,retail_pc_density,weather_normalized_site_eui,retail_open_closed_refrig,rating
DE 1470 - 333 E 43rd St,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:24.000,,,,,877.72,,40.749923,271.0,,1000.0,NEW YORK,,-73.970344,337.3,100.0,1038666.0,,,4.0,,149000.0,,,,14672984.0,106.0,3592593.86,,96.7,,0.0
RY- 230 West 78th Street,,2011-05-06T00:00:00.000,,,2011-07-28T10:53:32.000,,,,,66.82,,40.78287,106.0,,,NEW YORK,,-73.9798,255.95,,1088577.0,,,6.0,,87000.0,,,,3982288.0,107.0,2726188.0,,45.1,,0.0
DE3 7676-4 - Rego Park Gardens Bldg A,,2011-07-20T00:00:00.000,,,2011-07-28T10:52:47.000,,25.0,,,344.22,,40.734332,48.0,,,QUEENS,,-73.86589,133.83,,4047305.0,,,25.0,,75693.0,,,,7895690.2,404.0,1425480.55,,109.9,,0.0
E&M - 2734 Claflin Ave,,2011-05-19T00:00:00.000,,,2011-07-28T10:52:49.000,,,,,308.68,,40.869889,138.0,,,BRONX,,-73.900858,63.04,,2015268.0,,,14.0,,60000.0,,,,4867424.0,208.0,671481.6,,81.1,,0.0
Brodsky -160 W 71st Street,0.0,2011-04-06T00:00:00.000,,,2011-07-28T10:52:08.000,0.0,,,,1524.58,,40.777537,225.0,,11865.0,NEW YORK,,-73.981189,501.4,100.0,1029778.0,,,6.0,,248102.0,,100.0,,24586780.6,107.0,5340474.29,0.2,99.1,0.0,0.0
TKR - Evan 315 St. Johns Place,,2011-04-15T00:00:00.000,,,2011-07-28T10:54:10.000,,,,,199.03,,40.674315,93.0,,,KINGS,,-73.967385,66.92,,3029330.0,,,35.0,,63300.0,,,,4453862.5,308.0,712769.0,,73.9,,0.0
Royal Elizabrth Condo,,2011-07-28T00:00:00.000,,,2011-07-29T12:29:54.000,,,,,,,40.718046,,0.0,,NEW YORK,,-73.996035,,,1003115.0,,,1.0,,0.0,,,,,102.0,,,0.0,,0.0
Chestnut-2015 Bruckner Blvd,,2011-03-18T00:00:00.000,,,2011-07-28T10:52:14.000,,,,,858.91,6600.0,,214.0,,,BRONX,6600.0,,210.39,,,,,,,105907.0,,,,13083753.7,,2240922.35,,123.2,,0.0
Mt. Sinai - 1245 Park Ave,0.0,2011-07-27T00:00:00.000,,,2011-07-28T10:53:03.000,0.0,5.0,,,791.3,6200.0,40.786647,210.0,,,NEW YORK,6200.0,-73.952149,319.33,,1051695.0,,,5.0,,279731.0,,100.0,,17903543.7,111.0,3401210.16,0.2,66.9,0.0,0.0
DE 2650 - 350 west 53rd,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:38.000,,,,,76.45,,40.764769,66.0,,,NEW YORK,,-73.986181,110.42,,1090209.0,,,3.0,,52600.0,,,,2613082.5,104.0,1176111.56,,52.3,,0.0
austicorp,,2011-06-05T00:00:00.000,,2485.6,2011-06-10T10:18:12.000,,,,,,,40.710096,87.0,,,QUEENS,,-73.830493,,,4079715.0,,,29.0,,49629.0,,,,,409.0,,,,,0.0
Brodsky - 55-75 West End Ave,0.0,2011-04-01T00:00:00.000,,,2011-07-28T10:52:08.000,0.0,,,,2359.89,62150.0,40.774058,1058.0,,6807.0,NEW YORK,62150.0,-73.988681,2256.31,100.0,1087719.0,,,6.0,,920465.0,,100.0,,68390883.7,107.0,24032086.96,0.2,77.2,0.0,0.0
Gold - 755 Southern Blvd,,2011-05-12T00:00:00.000,,,2011-07-28T10:52:56.000,,,,,242.88,,40.815227,123.0,,,BRONX,,-73.897356,70.43,,2005737.0,,,8.0,,54636.0,,,,4051705.3,202.0,750177.95,,73.8,,0.0
SW - 655  e230th,,2011-03-31T00:00:00.000,,,2011-07-28T10:53:46.000,,,,,467.98,,40.891873,55.0,,,BRONX,,-73.860168,70.7,,2063233.0,,,12.0,,49980.0,,,,6660820.4,212.0,752985.47,,133.3,,0.0
Stellar 1301-13 St. Nicholas  Avenue,0.0,2011-04-07T00:00:00.000,,,2011-07-28T10:53:58.000,0.0,,,,494.16,,40.845538,109.0,,,NEW YORK,,-73.936507,113.11,,1063555.0,,,10.0,,75600.0,,100.0,,7921813.9,112.0,1204755.63,0.2,104.8,0.0,0.0
RY- 414 East 59th Street,,2011-04-11T00:00:00.000,,,2011-07-28T10:53:34.000,,,,,,,40.759373,173.0,,,NEW YORK,,-73.961409,1021.94,,1072003.0,,,5.0,,128200.0,,,,12239712.2,106.0,3722910.25,,97.8,,0.0
Ayson- 555 Ovington Ave,,2011-03-28T00:00:00.000,,,2011-07-28T10:52:06.000,,,,,289.65,,40.631892,116.0,,,KINGS,,-74.019848,100.58,,3145818.0,,,43.0,,77576.0,,,,6515920.1,310.0,1071313.63,,88.3,,0.0
Wallack Mang.- 45 East 85th Street,,2011-04-05T00:00:00.000,,,2011-07-28T10:54:29.000,,9.0,,,386.32,,40.779969,120.0,,,NEW YORK,,-73.958797,98.09,,1046832.0,,,4.0,,104000.0,,,,6295965.5,108.0,1044727.1,,60.2,,0.0
211 Bedford Park,,2011-07-27T00:00:00.000,,,2011-07-29T18:04:12.000,,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,
DE 2334 - 221-223 west 82nd,0.0,2011-05-04T00:00:00.000,,,2011-07-28T10:52:34.000,0.0,,,,756.12,,40.785532,186.0,,,NEW YORK,,-73.977904,271.65,,1076247.0,,,6.0,,193468.0,,100.0,,12438668.1,107.0,2893353.99,0.2,63.6,0.0,0.0
DE 1880 - 235 east 57th,0.0,2011-05-03T00:00:00.000,,,2011-07-28T10:52:30.000,0.0,1.0,,,,,40.759863,112.0,,,NEW YORK,,-73.966581,440.21,,1038598.0,,,4.0,,50000.0,,100.0,,5285167.2,106.0,1536377.37,0.2,110.7,0.0,0.0
Pinnacle - 117-125 west 141st,,2011-03-31T00:00:00.000,,,2011-07-28T10:53:06.000,,,,,406.95,,40.81818,131.0,,,NEW YORK,,-73.938726,66.96,,1060087.0,5531670.59,,9.0,,52290.0,,,,6244878.8,110.0,713208.16,,119.4,,0.0
32-75 Steinway St.,15.0,2011-05-13T00:00:00.000,,,2011-05-19T16:58:17.000,0.0,,,,151.11,,40.757233,,-82.6,21895.0,QUEENS,,-73.920402,,100.0,4530777.0,,,26.0,,47845.0,,100.0,,2054006.3,401.0,0.0,0.58,42.9,0.58,100.0
Solow - 521 east 72nd,,2011-05-18T00:00:00.000,,,2011-07-28T10:53:54.000,,,,,340.9,,,35.0,,,NEW YORK,,,147.66,,,,,,,109185.0,,,,7980676.4,,1572760.3,,77.6,,0.0
TKR - Evan 55 Poplar St,,2011-04-15T00:00:00.000,,,2011-07-28T10:54:10.000,,,,,200.19,,40.701028,65.0,,,KINGS,,-73.992636,227.94,,3255616.0,,,33.0,,53568.0,,,,6190754.1,302.0,2427776.68,,109.6,,0.0
Vantage- 139-06-12-18 34th Road,,2011-03-25T00:00:00.000,,,2011-07-28T10:54:17.000,,,,,585.32,,,169.0,,,QUEENS,,,99.34,,,,,,,59000.0,,,,8447104.6,,1058082.11,,142.5,,0.0
RY- 239-12 Oak Park Drive,,2011-05-06T00:00:00.000,,,2011-07-28T10:53:33.000,,,,,58.45,,40.746591,262.0,,,QUEENS,,-73.734711,250.37,,4518533.0,,,23.0,,182725.0,,,,3765407.8,411.0,2666746.56,,20.4,,0.0
DE2 2782 - 230 W 55 St,0.0,2011-05-18T00:00:00.000,,,2011-07-28T10:52:44.000,0.0,,,,1695.67,23843.0,40.764892,319.0,,6320.0,NEW YORK,23843.0,-73.982607,224.43,100.0,1078861.0,,,3.0,,177745.0,,100.0,,23796571.7,105.0,2390381.16,0.2,133.5,0.0,0.0
Pleasant Homes,,2011-03-15T00:00:00.000,,,2011-07-08T11:24:47.000,,,,,357.01,,40.816409,,,,NEW YORK,,-73.96143,24.24,,1059892.0,,,7.0,,64068.0,,,,4766088.0,109.0,258192.86,,74.4,,0.0
Chestnut- 9201 Kings Highway (Not Frozen),,2011-03-25T00:00:00.000,,,2011-07-28T10:52:12.000,,,,,311.93,,40.656399,88.0,,,KINGS,,-73.921359,87.92,,3101761.0,316491.72,,41.0,,61926.0,,,,6678549.6,317.0,936425.6,,112.4,,0.0
DE 1240 - 1040 fifth ave,,2011-03-29T00:00:00.000,,,2011-07-28T10:52:21.000,,10.0,,,,,40.780955,90.0,,,NEW YORK,,-73.960826,898.59,,1046827.0,,,4.0,,146235.0,,,,10671960.7,108.0,3751835.2,,74.8,,0.0
200 Clinton Street,1.0,2011-04-01T00:00:00.000,,,2011-04-15T09:09:02.000,1.0,13.0,,,,,40.690398,92.0,,1315.0,KINGS,,-73.994295,,100.0,3002734.0,,,33.0,,13113.0,,84.69,,,302.0,,1.04,,1.04,0.0
CW- 57-63 Wadsworth Terrace,,2011-03-28T00:00:00.000,,,2011-07-28T10:52:08.000,,,,,357.56,,40.856432,76.0,,,NEW YORK,,-73.931186,49.92,,1064096.0,,,10.0,,36150.0,,,,5391958.4,112.0,531688.55,,149.2,,0.0
Maggio Realty LLC,,2011-07-29T00:00:00.000,,,2011-07-30T10:49:41.000,,,,,,,40.863539,,,,NEW YORK,,-73.928435,,,1064243.0,,,10.0,,,,,,,112.0,,,,,
DE3 7676-2 - Rego Park Gardens Bldgs. F&G,,2011-07-19T00:00:00.000,,,2011-07-28T10:52:47.000,,34.0,,,560.21,,40.735013,96.0,,,QUEENS,,-73.866239,235.52,,4047258.0,,,25.0,,151162.0,,,,13038785.7,404.0,2508488.97,,90.6,,0.0
Vantage- 12 Pinehurst Ave,,2011-03-28T00:00:00.000,,,2011-07-28T10:54:17.000,,,,,435.25,,40.848461,130.0,,,NEW YORK,,-73.940303,71.38,,1064293.0,,,10.0,,53874.0,,,,6254863.0,112.0,760323.48,,116.1,,0.0
DE 2462 - 16 sutton,,2011-03-29T00:00:00.000,,,2011-07-28T10:52:35.000,,,,,,,40.757767,128.0,,,NEW YORK,,-73.960388,644.65,,1040544.0,,,5.0,,130000.0,,,,7715910.2,106.0,2375148.23,,61.1,,0.0
Stellar 9010 34th Avenue,,2011-05-05T00:00:00.000,,,2011-07-28T10:54:06.000,,,,,513.96,19402.0,40.754527,21.0,,,QUEENS,19402.0,-73.877392,193.23,,4035711.0,,,25.0,,69938.0,,,,9044376.1,403.0,2058119.5,,128.7,,0.0
E&M - 1711 Fulton St,,2011-05-19T00:00:00.000,,,2011-07-28T10:52:48.000,,,,,,,40.67934,861.0,,,KINGS,,-73.930435,1744.38,,3325183.0,,,36.0,,277200.0,,,,18579462.7,303.0,18579462.66,,67.9,,0.0
Vantage- 47-06 46th Street,,2011-03-28T00:00:00.000,,,2011-07-28T10:54:20.000,,,,,329.27,,40.741376,103.0,,,QUEENS,,-73.919064,70.34,,,,,26.0,,51695.0,,,,4905952.1,402.0,749196.61,,94.9,,0.0
Pinnacle - 150-22 72nd,,2011-03-29T00:00:00.000,,,2011-07-28T10:53:09.000,,,,,112.74,,40.726694,250.0,,,QUEENS,,-73.816473,145.26,,4451509.0,,,24.0,,116784.0,,,,3666371.1,408.0,1547206.62,,33.4,,0.0
SW - 542 e 79th,,2011-04-09T00:00:00.000,,,2011-07-28T10:53:45.000,,,,,339.51,,40.77036,73.0,,,NEW YORK,,-73.94803,105.33,,1046419.0,,,5.0,,54792.0,,,,7503718.4,108.0,1121918.43,,141.2,,0.0
Chestnut- 2324 Walton Ave,,2011-03-25T00:00:00.000,,,2011-07-28T10:52:12.000,,,,,401.95,,40.859175,73.0,,,BRONX,,-73.902288,72.12,,2014004.0,,,14.0,,68250.0,,,,5842413.8,205.0,768205.2,,85.1,,0.0
Caran Prop.130 West 19th Street,,2011-04-08T00:00:00.000,,,2011-07-28T10:52:09.000,,,,,86.13,,40.740874,106.0,,,NEW YORK,,-73.995634,198.03,,1087501.0,,,3.0,,118000.0,,,,3728236.8,104.0,2109236.76,,32.0,,0.0
Esquire - 3235 Emmons Ave,,2011-05-06T00:00:00.000,,,2011-07-28T10:52:50.000,,,,,500.45,,40.584286,250.0,,,KINGS,,-73.931564,209.38,,3247956.0,69345.25,,48.0,,161000.0,,,,11610502.6,315.0,2230083.2,,75.0,,0.0
Watson Boulevard,,2011-01-12T00:00:00.000,4.0,,2011-03-31T10:18:27.000,,,,6.0,504.51,,40.836588,,,1000.0,BRONX,,-73.919613,116.16,100.0,2003014.0,,,16.0,,67724.0,,,,7770800.5,204.0,1237210.77,,114.0,,0.0
Westbrook- 301 West 53rd Street,0.0,2011-05-04T00:00:00.000,,,2011-07-28T10:54:31.000,0.0,,,,1000.28,15000.0,40.764357,528.0,,,NEW YORK,15000.0,-73.985156,624.27,,1025400.0,13596800.55,,3.0,,342080.0,,100.0,,20245881.6,104.0,6649081.07,0.2,59.2,0.0,0.0
Stellar 884-90 2nd ave,0.0,2011-05-05T00:00:00.000,,,2011-07-28T10:54:06.000,0.0,,,,,,40.75309,316.0,,,NEW YORK,,-73.969812,1670.89,,1038905.0,,,4.0,,290020.0,,100.0,,20377900.2,106.0,4154425.22,0.2,72.9,0.0,0.0
10 WEST 47TH STREET ASSOC,,2010-12-23T00:00:00.000,,,2011-03-07T10:33:13.000,,,,,,,40.756932,,,,NEW YORK,,-73.979245,,,1034340.0,,,4.0,,,,,,,105.0,,,,,
Pinnacle - 1104 manor,0.0,2011-03-25T00:00:00.000,,,2011-07-28T10:53:05.000,0.0,,,,298.54,,40.82655,60.0,,,BRONX,,-73.875825,73.12,,2023964.0,,,18.0,,44500.0,,100.0,,4836934.0,209.0,778849.98,0.2,108.7,0.0,0.0
DE 1692 - 500 park ave,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:29.000,,,,,,,40.762977,108.0,,,NEW YORK,,-73.97037,571.08,,1036084.0,,,4.0,,103168.0,,,,6446325.6,105.0,4160042.48,,61.4,,0.0
Pinnacle - 635 riverside,,2011-03-23T00:00:00.000,,,2011-07-28T10:53:22.000,,,,,654.9,,40.824563,216.0,,,NEW YORK,,-73.954163,94.25,,1062325.0,,,7.0,,107701.0,,,,9905854.7,109.0,1003866.31,,92.0,,0.0
SW - 275 e201st,,2011-03-31T00:00:00.000,,,2011-07-28T10:53:42.000,,,,,464.07,,,65.0,,,BRONX,,,74.91,,,,,,,68040.0,,,,6656353.8,,797916.67,,97.8,,0.0
SW - 139-55 35th,,2011-03-30T00:00:00.000,,,2011-07-28T10:53:38.000,,,,,324.08,11580.0,40.765445,95.0,,250.0,QUEENS,11580.0,-73.827207,162.52,100.0,4112965.0,,,20.0,,63660.0,,,,5822156.8,407.0,1730965.71,,91.0,,0.0
TKR Enrique - 35 Crown St,,2011-07-19T00:00:00.000,,,2011-07-28T10:54:11.000,,,,,247.94,,40.667442,70.0,,,KINGS,,-73.960651,73.07,,3029716.0,3370179.15,,35.0,,51000.0,,,,4148403.5,309.0,778224.37,,81.3,,0.0
Pinnacle - 470 ocean,,2011-03-25T00:00:00.000,,,2011-07-28T10:53:21.000,,,,,558.23,11024.0,40.651446,161.0,,,KINGS,11024.0,-73.961288,182.97,,3116536.0,,,40.0,,121636.0,,,,12441808.5,314.0,1948789.11,,106.7,,0.0
DE 1802 - 70 east 10th,0.0,2011-05-03T00:00:00.000,,,2011-07-28T10:52:30.000,0.0,17.0,,,2330.84,56040.0,40.731413,612.0,,700.0,NEW YORK,56040.0,-73.990705,1028.22,100.0,1008954.0,,,2.0,,503960.0,,100.0,,40376107.4,102.0,10951595.46,0.2,78.8,0.0,0.0
Gold - 711 E 6th St,,2011-05-11T00:00:00.000,,,2011-07-28T10:52:56.000,,,,,146.06,,40.723369,75.0,,2299.0,NEW YORK,,-73.978931,148.73,100.0,1075828.0,,,2.0,,61273.0,,,,4329513.6,103.0,1584084.62,,75.7,,0.0
DE 2102 - 720 greenwich,,2011-05-04T00:00:00.000,,,2011-07-28T10:52:32.000,,,,,405.85,10507.0,40.734375,90.0,,,NEW YORK,10507.0,-74.007152,259.96,,1011843.0,693466.37,,3.0,,149324.0,,,,10132147.6,102.0,2768829.64,,70.7,,0.0
Vantage- 43-23 40th Street,,2011-03-28T00:00:00.000,,,2011-07-28T10:54:20.000,,,,,345.93,,40.74506,135.0,,,QUEENS,,-73.924,82.17,,4002479.0,,,26.0,,52000.0,,,,5242257.9,402.0,875187.25,,100.3,,0.0
DE 1588 - 25 sutton,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:26.000,,,,,,,40.758162,26.0,,,NEW YORK,,-73.960078,257.37,,1040744.0,,,5.0,,67500.0,,,,3171495.1,106.0,467460.29,,49.7,,0.0
DE 2636 - 11-02 49th Ave,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:38.000,,,,,150.65,7214.0,40.742851,201.0,,,QUEENS,7214.0,-73.951022,170.94,,4540102.0,,,26.0,,157747.0,,,,4652323.8,402.0,1820643.2,,31.4,,0.0
Park Ave. Court Condo,,2011-03-15T00:00:00.000,,,2011-07-08T11:24:47.000,,,,,,,40.780505,,,,NEW YORK,,-73.955901,1542384.81,,1047955.0,,,4.0,,439280.0,,,,19532876681.7,108.0,17686961.69,,44465.7,,0.0
DALAN - 678-98 Allerton Ave,0.0,2011-04-01T00:00:00.000,,,2011-07-28T10:52:19.000,0.0,,,,432.82,,40.865404,94.0,,,BRONX,,-73.868102,216.31,,2051304.0,,,15.0,,119013.0,,100.0,,7767789.6,211.0,2303903.69,0.2,65.3,0.0,0.0
Pinnacle - 1745 president,,2011-03-25T00:00:00.000,,,2011-07-28T10:53:10.000,,,,,281.73,,40.666917,70.0,,,KINGS,,-73.929273,65.18,,3037806.0,,,41.0,,60839.0,,,,5989940.9,309.0,694208.6,,104.3,,0.0
Gold - 230 E 123 St,0.0,2011-05-12T00:00:00.000,,,2011-07-28T10:52:53.000,0.0,,,,2236.96,16456.0,40.801798,160.0,,,NEW YORK,16456.0,-73.935371,955.41,,1054629.0,1671913.98,,8.0,,252183.0,,100.0,,51584111.8,111.0,10176097.83,0.2,190.7,0.0,0.0
Pinnacle - 671-681 west 193rd,,2011-03-23T00:00:00.000,,,2011-07-28T10:53:23.000,,,,,607.26,,40.858045,222.0,,,NEW YORK,,-73.931076,152.84,,1079927.0,,,10.0,,117568.0,,,,12734557.5,112.0,1627872.02,,113.1,,0.0
United - 1360 Ocean Pkwy,,2011-05-25T00:00:00.000,,,2011-07-28T10:54:15.000,,,,,767.62,12000.0,40.615623,210.0,,,KINGS,12000.0,-73.968858,282.22,,3172890.0,,,44.0,,163000.0,,,,17434752.1,312.0,3005903.76,,115.4,,0.0
JEMB - 75 broad,0.0,2011-04-13T00:00:00.000,,,2011-07-28T10:52:58.000,0.0,,,,,,40.704541,,167.5,562260.0,NEW YORK,,-74.011552,13994.87,100.0,1000849.0,,0.0,1.0,,671172.0,,100.0,,152086483.0,101.0,133063949.63,0.2,228.8,0.0,1.0
Mt. Sinai - 50 E 98th St,,2011-07-27T00:00:00.000,,,2011-07-28T10:53:04.000,,18.0,,,819.69,,40.788357,553.0,,,NEW YORK,,-73.952816,417.92,,1051470.0,,,4.0,,371250.0,,,,15593273.9,111.0,4451295.2,,41.9,,0.0
DE 2302 - 215 west 91st,0.0,2011-03-29T00:00:00.000,,,2011-07-28T10:52:33.000,0.0,,,,629.63,,40.791202,192.0,,,NEW YORK,,-73.973453,264.08,,1033584.0,,,6.0,,150033.0,,100.0,,10761154.2,107.0,2812738.33,0.2,70.5,0.0,0.0
Caran prop. 11 East 29th Street,0.0,2011-04-15T00:00:00.000,,,2011-07-28T10:52:10.000,0.0,,,,,,40.744947,240.0,,,NEW YORK,,-73.985976,754.18,,1087726.0,,,4.0,,263972.0,,100.0,,8530335.8,105.0,5403249.8,0.2,32.0,0.0,0.0
Vantage-600 West 161st Street,0.0,2011-03-23T00:00:00.000,,,2011-07-28T10:54:24.000,0.0,,,,754.18,,40.836665,199.0,,,NEW YORK,,-73.943331,81.76,,1063351.0,,,7.0,,109033.0,,100.0,,10391589.5,112.0,870824.62,0.2,95.0,0.0,0.0
107 W 86th,,2011-03-15T00:00:00.000,,,2011-07-08T11:24:44.000,,,,,556.12,,40.786626,,,,NEW YORK,,-73.972483,213.21,,1032199.0,,,6.0,,123217.0,,,,9346433.6,107.0,2270870.11,,75.9,,0.0
Pinnacle - 120 east19th,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:06.000,,,,,197.81,,40.64644,95.0,,,KINGS,,-73.961554,55.47,,3117592.0,,,40.0,,62500.0,,,,4308988.1,314.0,590810.69,,74.2,,0.0
Samson - 47-50 41st,0.0,2011-03-22T00:00:00.000,,,2011-07-28T10:53:51.000,0.0,3.0,,,389.8,,40.740825,73.0,,,QUEENS,,-73.923915,89.84,,4002645.0,,,26.0,,62495.0,,100.0,,5877740.2,402.0,956924.02,0.2,93.7,0.0,0.0
DE 1404 - 137-47 45th ave,,2011-04-11T00:00:00.000,,,2011-07-28T10:52:23.000,,,,,1155.23,,40.750968,73.0,,,QUEENS,,-73.822831,413.54,,4583520.0,15702954.48,,20.0,,220400.0,,,,20107560.3,407.0,4404605.83,,90.6,,0.0
DE 1132 - 1133 fifth ave,,2011-04-12T00:00:00.000,,,2011-07-28T10:52:20.000,,5.0,,,263.35,,40.786909,48.0,,,NEW YORK,,-73.956478,48.95,,1047390.0,,,4.0,,64234.0,,,,4101074.3,108.0,521333.79,,63.8,,0.0
Clipper - 123 Parkside,,2011-05-12T00:00:00.000,,,2011-07-28T10:52:16.000,,,,,,,40.653613,150.0,,,KINGS,,-73.965103,,,3328161.0,,,40.0,,166585.0,,,,,314.0,,,,,0.0
Clipper - 141 Livingston St,,2011-05-17T00:00:00.000,,,2011-07-28T10:52:18.000,,,,,637.75,,40.690647,,-30.8,193125.0,KINGS,,-73.988346,795.22,100.0,3000428.0,,,33.0,,193125.0,,,,17138798.5,302.0,8469948.8,,85.9,,79.0
Samson - 700 victory,,2011-04-04T00:00:00.000,,,2011-07-28T10:53:53.000,,,,,1400.39,38800.0,40.625527,328.0,,,RICHMOND,38800.0,-74.092492,458.34,,5015146.0,,,49.0,,194304.0,,,,22560285.2,501.0,4881789.22,,116.1,,0.0
Pinnacle - 3425 kingsbridge,,2011-03-25T00:00:00.000,,,2011-07-28T10:53:18.000,,,,,503.95,,40.882731,116.0,,,BRONX,,-73.903729,100.76,,2083716.0,,,11.0,,69595.0,,,,7435078.7,208.0,1073232.49,,106.6,,0.0
DE 2502 - 25 montgomery street,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:36.000,,,,,,,40.713434,210.0,,,NEW YORK,,-73.985077,887.52,,1083402.0,,,1.0,,136070.0,,,,10829628.4,103.0,2176901.46,,78.8,,0.0
RY-Linden Plaza,,2011-05-10T00:00:00.000,,,2011-07-28T10:53:37.000,,,,,6181.24,28721.0,,2801.0,,,KINGS,28721.0,,2950.52,,,,,,,1368029.0,,,,147614661.9,,31426148.95,,116.0,,0.0
SW - 3070 hull ave,,2011-03-31T00:00:00.000,,,2011-07-28T10:53:43.000,,,,,406.7,,40.871957,68.0,,,BRONX,,-73.878969,67.59,,2017916.0,,,11.0,,47940.0,,,,5854122.4,207.0,719887.97,,122.1,,0.0
Samson - 170 west 73rd,0.0,2011-03-22T00:00:00.000,,,2011-07-28T10:53:49.000,0.0,2.0,,,623.19,,40.778865,128.0,,,NEW YORK,,-73.980145,175.86,,1029960.0,,,6.0,,100170.0,,100.0,,9740253.7,107.0,1873119.76,0.2,97.2,0.0,0.0
DE 2502 - 75 montgomery street,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:36.000,,,,,,,40.711535,183.0,,,NEW YORK,,-73.984818,887.51,,1003212.0,,,1.0,,136070.0,,,,10829604.5,103.0,2176901.46,,78.8,,0.0
DE 2110 - 186 west 80th,,2011-04-26T00:00:00.000,,,2011-07-28T10:52:32.000,,,,,179.93,,40.783674,43.0,,8500.0,NEW YORK,,-73.977478,180.23,100.0,1082723.0,,,6.0,,67300.0,,,,5301774.0,107.0,1919593.4,,81.8,,0.0
RY- 250 East 30th Street,,2011-05-06T00:00:00.000,,,2011-07-28T10:53:33.000,,20.0,,,137.83,,40.742442,75.0,,,NEW YORK,,-73.978142,191.24,,1019928.0,,,2.0,,67038.0,,,,4627754.4,106.0,2036883.43,,72.8,,0.0
Pinnacle - 426 e22nd,,2011-03-28T00:00:00.000,,,2011-07-28T10:53:20.000,,,,,375.49,,40.641198,85.0,,,KINGS,,-73.95733,69.38,,3119515.0,,,40.0,,56000.0,,,,7797164.3,314.0,739009.48,,147.6,,0.0
Gold - 354 Broome St,0.0,2011-05-11T00:00:00.000,,,2011-07-28T10:52:54.000,0.0,,,,160.55,,40.71983,35.0,,6649.0,NEW YORK,,-73.995141,128.9,100.0,1007129.0,,,1.0,,72834.0,,100.0,,4390828.1,102.0,1372947.42,0.2,63.2,0.0,0.0
50 W. 23 Street,40.0,2011-07-01T00:00:00.000,,,2011-08-01T19:21:52.000,3.0,,,,413.7,,40.742222,,-28.4,183751.0,NEW YORK,,-73.991195,2291.26,100.0,1080667.0,2447609.94,0.0,3.0,,312019.0,,100.0,,31243641.5,105.0,24404328.35,1.32,98.4,0.62,75.0
DE 1628 - 1158 fifth ave,,2011-05-03T00:00:00.000,,,2011-07-28T10:52:27.000,,6.0,,,792.1,,40.788352,171.0,,,NEW YORK,,-73.954993,139.73,,1051458.0,,,4.0,,160350.0,,,,11487719.0,111.0,1488243.96,,71.5,,0.0
Vantage-43-09 47th Ave,,2011-03-23T00:00:00.000,,,2011-07-28T10:54:23.000,,2.0,,,645.84,,40.741463,235.0,,,QUEENS,,-73.921688,129.66,,4001971.0,,,26.0,,89835.0,,,,9534036.3,402.0,1380993.57,,106.1,,0.0
Milstein - 30 west 63rd,0.0,2011-03-22T00:00:00.000,,,2011-07-28T10:53:00.000,0.0,,,,2321.31,27856.0,40.77109,790.0,,11787.0,NEW YORK,27856.0,-73.981454,1440.14,100.0,1027463.0,,,6.0,18307.15,548751.0,,100.0,,58965565.0,107.0,15338954.62,0.2,111.7,0.0,0.0
Chestnut-2050 Valentine Ave,,2011-03-25T00:00:00.000,,,2011-07-28T10:52:14.000,,,,,452.98,,40.851776,121.0,,,BRONX,,-73.900224,94.26,,2013289.0,,,15.0,,72735.0,,,,6722440.5,205.0,1003964.05,,91.8,,0.0
Clipper - 1370 St. Nicholas Ave,0.0,2011-05-17T00:00:00.000,,,2011-07-28T10:52:17.000,0.0,,,,4732.5,14600.0,40.847771,840.0,,,NEW YORK,14600.0,-73.934853,1255.2,,1079909.0,,,10.0,,503310.0,,100.0,,73112309.7,112.0,13369184.57,0.2,143.5,0.0,0.0
United - 161 W 16 St,0.0,2011-05-25T00:00:00.000,,,2011-07-28T10:54:15.000,0.0,,,,808.36,,40.739384,186.0,,,NEW YORK,,-73.997514,467.6,,1014572.0,,,3.0,,183700.0,,100.0,,15185091.5,104.0,4980390.74,0.2,82.3,0.0,0.0
The Olmstead,,2011-03-01T00:00:00.000,,188.4,2011-03-09T16:23:08.000,,,,,,,40.79348,250.0,,,NEW YORK,,-73.965673,,,1074358.0,,,7.0,,100000.0,,,,2258471.0,107.0,2258471.04,,22.6,,0.0
