death_count,mn_hospitalized_count_7day_avg,si_death_count_7day_avg,qn_all_case_count_7day_avg,mn_case_count_7day_avg,si_case_count,case_count_7day_avg,death_count_7day_avg,qn_death_count,bk_probable_case_count_7day_avg,si_hospitalized_count_7day_avg,bx_death_count_7day_avg,si_death_count,si_probable_case_count,bk_hospitalized_count,bk_death_count_7day_avg,bk_case_count
5,17,2,912,654,102,2805,9,0,140,10,1,0,40,27,3,519
12,5,1,93,34,18,256,10,3,23,2,1,3,7,16,3,67
29,9,2,130,60,4,448,38,12,3,3,8,1,1,18,11,52
7,6,0,179,111,32,639,8,5,62,3,1,1,11,8,2,199
6,13,1,466,275,131,1441,7,1,127,9,1,2,24,25,3,321
4,17,1,608,345,94,1718,10,1,108,9,2,0,20,22,2,287
759,228,25,1672,579,323,5157,610,239,48,70,132,28,6,401,192,1144
105,117,6,5383,2590,535,16082,129,25,569,42,23,2,55,171,46,2236
10,26,1,1093,678,161,3082,10,2,182,9,1,0,38,21,4,572
45,28,4,995,369,227,2576,51,15,229,14,10,7,63,75,16,868
16,32,2,1132,608,118,3119,16,3,171,12,1,2,36,39,5,495
10,16,1,530,290,60,1422,10,2,90,5,2,1,24,33,4,297
10,13,2,545,266,200,1512,10,2,130,12,1,0,49,37,4,491
1,4,0,66,43,13,244,5,0,6,1,1,0,1,9,1,99
782,216,33,1726,562,562,5291,751,247,71,69,153,43,9,455,238,1305
18,15,2,581,307,238,1745,12,4,139,19,2,3,46,39,4,553
5,3,0,115,67,47,459,4,2,25,2,1,0,3,12,2,139
23,36,1,2124,3106,711,9136,16,5,420,13,3,1,94,76,5,4277
20,6,1,134,186,46,551,15,4,19,4,3,1,7,13,4,191
13,26,1,1038,656,263,2950,11,3,166,8,1,1,47,27,3,1123
14,32,1,1294,712,278,3572,13,3,212,13,2,4,74,67,3,1261
87,48,4,1143,460,135,3216,84,26,267,18,17,5,55,73,25,671
494,114,26,1075,330,134,3280,580,157,45,38,122,27,8,124,176,635
10,13,2,532,252,190,1431,11,4,122,12,2,2,45,29,4,493
14,9,1,379,211,97,1154,14,4,120,5,3,0,27,20,5,355
12,8,1,192,63,20,501,23,4,49,4,4,0,10,21,7,94
6,6,1,185,86,49,538,6,1,46,5,1,1,11,19,3,203
51,19,5,528,421,70,1941,75,13,57,12,14,3,7,33,24,298
18,5,1,104,54,18,327,18,8,4,1,3,2,0,16,5,110
3,2,0,62,45,24,256,4,1,9,2,1,1,1,9,0,89
71,61,5,1338,540,245,3859,83,21,288,18,16,3,55,106,26,1082
11,19,1,637,336,106,1627,11,5,111,9,3,0,52,32,2,524
20,21,3,714,333,378,2026,15,7,164,19,3,3,93,41,3,899
12,12,2,535,259,197,1462,11,6,127,11,1,2,52,40,4,467
5,4,0,131,92,54,417,3,3,49,1,1,1,17,9,1,171
18,6,1,91,56,16,308,18,4,5,2,4,1,0,14,5,95
11,14,2,541,280,161,1590,11,0,133,14,1,4,31,26,4,354
8,6,0,85,64,27,312,9,4,6,2,1,0,0,7,3,85
58,42,3,1022,416,227,2740,77,20,257,12,15,1,65,80,26,854
56,11,2,170,83,15,622,50,17,2,4,11,1,0,18,14,101
13,18,2,877,512,137,2441,13,4,133,6,2,2,19,22,3,425
16,33,2,1257,691,206,3461,14,5,212,13,3,0,66,47,3,1005
14,19,1,749,380,104,1978,15,4,129,8,3,1,28,39,4,373
34,33,5,1082,427,293,2901,36,7,233,19,5,9,72,83,11,768
15,4,1,123,214,36,607,10,4,31,2,2,3,6,7,3,332
4,10,0,568,576,157,1856,4,0,103,4,0,0,21,13,2,614
3,4,0,93,63,24,361,4,0,13,1,1,0,2,15,1,108
9,18,0,864,607,193,2647,12,3,177,9,2,0,20,42,4,619
4,5,1,202,100,52,609,7,2,53,4,1,0,15,18,3,117
