location_name,_05_expulsions,_02_removals,_10_expulsions,_01_superintendent,_11_superintendent,_0k_expulsions,_07_removals,_10_removals,_0k_removals,_0k_principal,_03_principal,_08_superintendent,_07_principal,_01_principal,_03_removals,_01_expulsions,_02_principal,_06_superintendent,_08_removals,_11_expulsions
Leaders of Tomorrow,R,R,R,R,R,R,R,R,R,R,R,R,32,R,R,R,R,R,12,R
J.H.S. 218 James P. Sinnott,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R
High School for Teaching and the Professions,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 118 William W. Niles,R,R,R,R,R,R,32,R,R,R,R,R,81,R,R,R,R,R,R,R
P.S. 172 Beacon School of Excellence,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School of Business for Young Women,",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 001 Alfred E. Smith,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Automotive High School Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 276 Louis Marshall,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 243K- The Weeksville School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 126 Jacob August Riis,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"P.S./M.S. 20 P.O.George J. Werdann, III",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 109 Sedgwick,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R
The Maxine Greene HS for Imaginative Inquiry,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 289 George V. Brower,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Erasmus Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
University Heights Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
W.E.B. Dubois Academic High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 136 Charles O. Dewey,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R
P.S. 9 Ryer Avenue Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 054 Samuel C. Barnes,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Arts and Science Elementary School,R,6,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R
Academy of Public Relations,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Park Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly School for Collaborative Health,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 046 Edward C. Blum,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 200 Benson School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Directions Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 130 The Parkside,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 3 Raul Julia Micro Society,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Mosaic Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Middle School of Marketing and Legal Studies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Union Square Academy for Health Sciences,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Baruch College Campus High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Latin,R,R,R,R,R,R,12,R,R,R,R,R,25,R,R,R,R,R,R,R
Renaissance School of the Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 121 Throop,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Design Middle School,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R
P.S. 081 Robert J. Christen,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. K394,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Stephen T. Mather Building Arts & Craftsmanship Hi,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 301 Paul L. Dunbar,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R
Frederick Douglass Academy VIII Middle School,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R
"James Baldwin School, The: A School for Expedition",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy of Arts and Letters,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 219 Kennedy-King,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 179,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 232,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R
M.S. 51 William Alexander,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R
P.S. 155 William Paca,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Leadership and Public Service High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 390,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R
Bronx Dance Academy School,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,10,R
P.S. 103 Hector Fontanez,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
P.S. 038 The Pacific,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 242 - The Young Diplomats Magnet Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 127 Mckinley Park,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 375 Jackie Robinson School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Rose Hill Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Lower Manhattan Arts Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pre-K Center at Bishop Ford School Site,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Community Math & Science Prep,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R
P.S. 154 Harriet Tubman,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R
World Academy for Total Community Health High Scho,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan Comprehensive Night and Day High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 360,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Gotham Collaborative High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 399 Stanley Eugene Clark,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 138 Brooklyn,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Harvey Milk High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. K266 - Park Place Community Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Comprehensive Model School Project M.S. 327,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R
Felisa Rincon de Gautier Institute for Law and Pub,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Learning through Play Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 065,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
John Ericsson Middle School 126,R,R,R,R,R,R,11,R,R,R,R,6,8,R,R,R,R,6,R,R
Academy for Health Careers,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 087 William Sherman,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Williamsburg Preparatory School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Side Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 321 William Penn,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 110 The Monitor,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
