property_name,alert_meter_has_overlaps,year_built,_3rd_largest_property_use,multifamily_housing_number_3,financial_office_gross_floor,multifamily_housing_government,hospital_general_medical_8,college_university_gross,medical_office_number_of_1,alert_meter_has_gaps,office_gross_floor_area_ft,avoided_emissions_onsite,metered_areas_energy,energy_power_station_gross,hospital_general_medical_11,address_2,national_median_source_eui,financial_office_number_of_1,municipally_supplied_potable,alert_data_center_does_not,movie_theater_gross_floor,energy_star_certification_1,percent_of_total_electricity,weather_normalized_site_1,weather_normalized_site_eui,office_percent_that_can_be_1,nta,college_university_number,outpatient_rehabilitation,convention_center_gross_floor,bank_branch_number_of,longitude,energy_star_score,wholesale_club_supercenter,fuel_oil_4_use_kbtu,metered_areas_water,weather_normalized_site_2,retail_store_gross_floor,property_gfa_epa_calculated_1,number_of_buildings,retail_store_open_or_closed,office_number_of_computers,adult_education_gross_floor,other_number_of_computers,hotel_gym_fitness_center,medical_office_number_of,district_hot_water_use_kbtu,_2nd_largest_property_use_1,multifamily_housing_number_6,national_median_total_ghg,site_energy_use_kbtu,weather_normalized_site_3,estimated_data_flag_1,automobile_dealership_gross,data_center_it_source_energy,outdoor_water_use_all_water,postcode,diesel_2_use_kbtu,avoided_emissions_offsite,council_district,multifamily_housing_number_2,worship_facility_gross_floor
1211 Boston Road - 32425,Ok,1910,Supermarket/Grocery Store,1.51199,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,860,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,113.6,100,Morrisania-Melrose,Not Available,Not Available,Not Available,Not Available,-73.901886,Not Available,Not Available,Not Available,Not Available,55682.9,Not Available,67698.0,1,Not Available,1.72,Not Available,Not Available,Not Available,Not Available,Not Available,860,60,325.3,7663039.4,622459.2,Not Available,Not Available,Not Available,Not Available,10456,Not Available,0,16.0,7,Not Available
Van Houten Realty Assoc. LLC,Ok,1934,Not Available,1.4,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,118.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,63.2,Not Available,Homecrest,Not Available,Not Available,Not Available,Not Available,-73.966563,90,Not Available,Not Available,Not Available,37971.1,Not Available,70000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,350.5,4325413.7,184431.3,Not Available,Not Available,Not Available,Not Available,11223,Not Available,0,47.0,Not Available,Not Available
250 Realty Assoc. Inc,Ok,1937,Not Available,0.74865,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,99.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,58.3,Not Available,Crown Heights South,Not Available,Not Available,Not Available,Not Available,-73.955938,81,Not Available,Not Available,Whole Building,35635.5,Not Available,72130.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18,303.1,4154549.2,187202.5,Not Available,Not Available,Not Available,Not Available,11225,Not Available,0,35.0,0,Not Available
The Dylan Hotel,Ok,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,148.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,108.3,Not Available,Murray Hill-Kips Bay,Not Available,Not Available,Not Available,Not Available,-73.979214,7,Not Available,Not Available,Whole Building,32806.4,Not Available,67140.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,314.8,7288185.5,1169470.5,Not Available,Not Available,Not Available,Not Available,10017,Not Available,0,4.0,Not Available,Not Available
First Hsg Bldg #7,Ok,1953,Not Available,2.12857,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,152.6,Not Available,5959.7,Ok,Not Available,Not Available,Not Available,Not Available,153.9,Not Available,,Not Available,Not Available,Not Available,Not Available,,51,Not Available,Not Available,Whole Building,Not Available,Not Available,70000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77,784.9,10495176.1,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,,8,Not Available
166 West 75th Street,Ok,1922,Not Available,2.41484,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,191.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,137.6,Not Available,Upper West Side,Not Available,Not Available,Not Available,Not Available,-73.979812,33,Not Available,Not Available,Whole Building,Not Available,6800,81339.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6800,60,757,11070577.7,848281,Not Available,Not Available,Not Available,Not Available,10023,Not Available,0,6.0,6,Not Available
CW Glorious Sun 505 Park Avenue,Ok,1947,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,219657,Not Available,Whole Building,Not Available,Not Available,Not Available,294.4,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0,64.8,100,Upper East Side-Carnegie Hill,Not Available,Not Available,Not Available,Not Available,-73.969641,86,Not Available,Not Available,Whole Building,3222.4,6764,226421.0,1,0.44352,740,Not Available,Not Available,Not Available,Not Available,Not Available,6764,Not Available,1942,14860697.6,3360341.6,Not Available,Not Available,Not Available,Not Available,10022,Not Available,0,4.0,Not Available,Not Available
Third Hsg Bldg #5,Ok,1953,Not Available,2.12857,Not Available,100% Yes,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,152.6,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,96.4,Not Available,,Not Available,Not Available,Not Available,Not Available,,96,Not Available,Not Available,Whole Building,Not Available,Not Available,70000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77,784.9,6579453.9,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,,8,Not Available
MGA Realty Corp,Ok,1928,Not Available,1.02258,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,121.5,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,72,Not Available,Homecrest,Not Available,Not Available,Not Available,Not Available,-73.959036,78,Not Available,Not Available,Not Available,45430.1,Not Available,75300.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,378.9,5302356.3,258285,Not Available,Not Available,Not Available,Not Available,11229,Not Available,0,48.0,4,Not Available
Rolex Realty Company Inc,Ok,1973,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,109514,Not Available,Whole Building,Not Available,Not Available,Not Available,148.1,Not Available,6429.5,Ok,Not Available,Not Available,Not Available,Not Available,86731,100,Midtown-Midtown South,Not Available,Not Available,Not Available,Not Available,-73.975548,Not Available,Not Available,Not Available,Whole Building,Not Available,13857,123371.0,1,0,309,Not Available,Not Available,Not Available,Not Available,Not Available,13857,Not Available,1006.9,11291158125,2800399.6,Not Available,Not Available,Not Available,Not Available,10022,Not Available,0,4.0,Not Available,Not Available
royal terrace assoc.,Ok,1963,Not Available,1.26389,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,130.9,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,161.1,Not Available,Mount Hope,Not Available,Not Available,Not Available,Not Available,-73.904265,4,Not Available,2555292.1,Whole Building,45673.4,Not Available,72000.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,519.4,11615691.9,307686.2,Not Available,Not Available,Not Available,Not Available,10457,Not Available,0,15.0,3,Not Available
"ELMHURST, NY-2814",Ok,2004,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,283.5,Not Available,Not Available,Ok,Not Available,08/14/2013,Not Available,0.1,62.1,Not Available,Elmhurst,Not Available,Not Available,Not Available,Not Available,-73.868744,81,Not Available,Not Available,Not Available,19392,204340,204340.0,1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1609.3,12848063.5,3150453.5,Not Available,Not Available,Not Available,Not Available,11373,Not Available,0,25.0,Not Available,Not Available
3520 Tryon Avenue,Ok,1962,Not Available,1.02607,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,132,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.8,97.5,Not Available,Norwood,Not Available,Not Available,Not Available,Not Available,-73.876617,46,Not Available,Not Available,Whole Building,45703.2,Not Available,55552.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2480,63,307.1,5431030.1,247988.8,Not Available,Not Available,Not Available,Not Available,10467,Not Available,0,11.0,6,Not Available
Elul Equities LLC,Ok,1926,Not Available,1.25498,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,111.7,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.6,68.7,Not Available,Prospect Lefferts Gardens-Wingate,Not Available,Not Available,Not Available,Not Available,-73.958071,76,Not Available,Not Available,Whole Building,29528.6,Not Available,50200.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,237.6,3431580.5,145055.3,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,0,Not Available
1720 University Ave - 38873,Ok,1925,Not Available,1.44628,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,134.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,109.4,Not Available,University Heights-Morris Heights,Not Available,Not Available,Not Available,Not Available,-73.917856,33,Not Available,Not Available,Whole Building,67828.4,Not Available,72600.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63,412.8,7985733.4,340465.1,Not Available,Not Available,Not Available,Not Available,10453,Not Available,0,14.0,0,Not Available
2114 Albermarle Road - 36378,Ok,1935,Not Available,1.12056,Not Available,No,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,124.1,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.5,55.3,Not Available,Flatbush,Not Available,Not Available,Not Available,Not Available,-73.958865,97,Not Available,Not Available,Whole Building,29983.5,Not Available,63361.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,47,332.5,3476548.1,147338.6,Not Available,Not Available,Not Available,Not Available,11226,Not Available,0,40.0,2,Not Available
Lourian Associates LP,Ok,1926,Not Available,2.0099,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,150.3,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,0.9,110.8,Not Available,Central Harlem North-Polo Grounds,Not Available,Not Available,Not Available,Not Available,-73.943349,30,Not Available,Not Available,Not Available,44300.4,Not Available,51744.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43,304.7,5755158.3,381257,Not Available,Not Available,Not Available,Not Available,10030,Not Available,0,9.0,5,Not Available
866 EP Condomin LLC,Ok,2002,Medical Office,1.15331,3961,No,Not Available,Not Available,15,Ok,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,127.9,15,Not Available,Ok,Not Available,Not Available,Not Available,0.3,56.9,Not Available,Crown Heights North,Not Available,Not Available,Not Available,Not Available,-73.939987,Not Available,Not Available,Not Available,Not Available,23439.1,Not Available,67289.0,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3961,57,297.3,3800813.7,435748.3,Not Available,Not Available,Not Available,Not Available,11213,Not Available,0,35.0,0,Not Available
