address_1,latitude,longitude,hospital_general_medical_2,electricity_use_grid_purchase_1,generation_date,weather_normalized_site,k_12_school_gross_floor_area,stadium_closed_gross_floor,manufacturing_industrial,primary_property_type_self,electricity_use_generated,occupancy,municipally_supplied_potable_3,nyc_borough_block_and_lot,date_property_last_modified,refrigerated_warehouse_gross,hospital_general_medical_8,outpatient_rehabilitation,financial_office_number_of,hospital_general_medical_4,hospital_general_medical_14,water_use_all_water_sources,fitness_center_health_club,nta,national_median_reference,district_steam_cost,pre_school_daycare_gross,bank_branch_gross_floor_area,community_board,office_percent_that_can_be,food_service_gross_floor,indoor_water_use_all_water,other_number_of_workers_on,convenience_store_with_gas,fuel_oil_2_use_kbtu,estimated_data_flag,retail_store_open_or_closed,national_median_site_eui,hospital_general_medical_12,personal_services_health,weather_normalized_source,roller_rink_gross_floor_area,indoor_arena_gross_floor,social_meeting_hall_gross,multifamily_housing_percent,hospital_general_medical_1,urgent_care_clinic_other,worship_facility_gross_floor
909 Third Avenue,40.758744,-73.968618,Not Available,41778029.3,2014-04-30T15:47:43.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1013280001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14625,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",883024.609,Not Available,Not Available,106.0,100,Not Available,14625,Not Available,Not Available,Not Available,No,Not Available,134.7,Not Available,Not Available,219.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2955 W 29th Street,40.573627,-73.995033,Not Available,8669250.5,2014-05-01T11:51:14.000,51340.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3070520014,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Seagate-Coney Island,,Not Available,Not Available,Not Available,313.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,216.7,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
316 W 84 Street,40.787832,-73.97947,Not Available,726030.3,2014-04-30T13:50:13.000,1239.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1012450080,04/15/2014 12:59 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,123.3,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
328 W 53 Street,40.764583,-73.985733,Not Available,810089,2014-05-01T11:51:15.000,2756,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1010430046,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton,,Not Available,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,3646953.3,No,Not Available,Not Available,Not Available,Not Available,220.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50 East 89th Street,40.782575,-73.956922,Not Available,7947537.5,2014-05-01T23:04:30.000,171399.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1015000045,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12772.1,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,12772.1,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,136.2,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
Eleven Penn Plaza,,,Not Available,57253155.3,2014-04-30T15:47:43.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1008070001,02/10/2014 01:19 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16612.9,Not Available,,"CBECS combination - 2, Bank_LG+Office",1080374.892,Not Available,Not Available,,100,Not Available,16612.9,7,Not Available,Not Available,No,0.18308,63,Not Available,Not Available,199.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1 United Nations Plaza,40.750441,-73.968676,Not Available,38146808.3,2014-04-08T12:37:25.000,17842,Not Available,Not Available,Not Available,Office,Not Available,100,0,1013377502,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29447.8,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,106.0,100,Not Available,29447.8,Not Available,Not Available,Not Available,No,Not Available,121.2,Not Available,Not Available,271.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
460 Park Avenue,40.761783,-73.970638,Not Available,Not Available,2014-04-30T11:30:22.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,90,Not Available,1-01293-0035,04/29/2014 05:42 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",468787.9564,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154 Nassau St,40.711593,-74.005955,Not Available,28819734.4,2014-04-30T16:43:00.000,5450.9,Not Available,Not Available,Not Available,College/University,Not Available,100,Not Available,1001020001,04/24/2014 01:57 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,47409.9,Not Available,Battery Park City-Lower Manhattan,"PBA PLUS - 27, College/university",0,Not Available,Not Available,101.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,139.4,Not Available,Not Available,243.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
411 East 53rd Street,40.755556,-73.964284,Not Available,6953144.2,2014-05-01T23:04:13.000,139743.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1013657501,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11510,Not Available,Turtle Bay-East Midtown,,Not Available,Not Available,Not Available,106.0,Not Available,Not Available,11510,Not Available,Not Available,897000,No,Not Available,Not Available,Not Available,Not Available,180.9,Not Available,Not Available,Not Available,11,Not Available,Not Available,Not Available
530 West End Avenue,40.78868,-73.977993,Not Available,Not Available,2014-05-01T23:05:01.000,7233.6,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1012337501,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,1440,Not Available
11 West 42nd street,40.75379,-73.981599,Not Available,14003680.5,2014-04-29T15:00:21.000,2022276,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01258-0021,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,16154969.4,No,0.51401,223.4,Not Available,Not Available,286.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
32 East 64th Street,40.766616,-73.96891,Not Available,4371635.2,2014-05-01T23:04:27.000,593.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1013780048,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,159.5,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available
2040 Forest Ave,40.626017,-74.156541,Not Available,6574347.4,2014-05-01T23:19:22.000,783,Not Available,Not Available,Not Available,Retail Store,Not Available,100,Not Available,5016960008,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Mariner's Harbor-Arlington-Port Ivory-Graniteville,"PBA PLUS - 42, Retail store",Not Available,Not Available,Not Available,501.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,74.7,Not Available,Not Available,125,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
555 West 42nd Street,40.76037,-73.997213,Not Available,Not Available,2014-04-30T14:19:56.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1010710001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13931.4,Not Available,Clinton,Not Available,Not Available,Not Available,Not Available,104.0,100,Not Available,13931.4,Not Available,Not Available,Not Available,No,0.04992,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.9,Not Available,Not Available,Not Available
26 CT STREET,,,Not Available,13014391.6,2014-04-29T11:41:13.000,20513.7,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,3002500001,03/27/2014 08:09 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3934.4,Not Available,,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,107.2,Not Available,Not Available,145.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
767 Fifth Avenue,40.76402,-73.973189,Not Available,144583943.6,2014-04-29T16:22:31.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1012940001,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,25,Not Available,Not Available,52106.2,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,52106.2,Not Available,Not Available,Not Available,No,0.10665,138.6,Not Available,Not Available,315.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
127 West 79th Street,40.782361,-73.976432,Not Available,Not Available,2014-05-01T23:04:34.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1012100019,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
100 West 93rd Street,40.790956,-73.968993,Not Available,6300111.3,2014-05-01T11:51:16.000,10471.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1012237503,02/06/2014 06:32 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17276.3,Not Available,Upper West Side,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,17276.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,223,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
1921-1965 Lafayette Ave,40.822091,-73.857732,Not Available,6349254.3,2014-05-01T11:51:16.000,271114.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,2036720001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Soundview-Castle Hill-Clason Point-Harding Park,,Not Available,Not Available,Not Available,209.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,120.5,Not Available,Not Available,Not Available,15,Not Available,Not Available,Not Available
112-02 15th Ave,40.783872,-73.854693,Not Available,12654244.8,2014-04-24T15:44:42.000,662122.5,Not Available,Not Available,Not Available,Non-Refrigerated Warehouse,Not Available,100,0,4-04065-0001,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92591,Not Available,College Point,"CBECS combination - 9, UnRfg Warehouse",Not Available,Not Available,Not Available,407.0,Not Available,Not Available,92591,Not Available,Not Available,Not Available,No,Not Available,83.7,Not Available,Not Available,682.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
151 E 85th St,40.778653,-73.955679,Not Available,25581640.6,2014-04-30T15:47:50.000,20499.9,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1015147502,04/16/2014 12:59 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,182,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
745 Fifth Ave.,40.763326,-73.973695,Not Available,34403025.4,2014-04-08T11:50:19.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01293-0069,12/12/2013 04:42 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6657,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
891 Park Avenue,40.775292,-73.960754,Not Available,526673.2,2014-05-01T23:05:22.000,139.2,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1014130004,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,1735767.1,No,Not Available,Not Available,Not Available,Not Available,126.6,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available
2711 Avenue X,40.593518,-73.943278,Not Available,1097299.2,2014-04-28T18:04:24.000,51245.3,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,3074050736,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3181,Not Available,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,,Not Available,Not Available,Not Available,315.0,Not Available,Not Available,3181,Not Available,Not Available,515085.1,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25,Not Available,Not Available,Not Available
1114 Avenue of the Americas,40.755352,-73.983732,Not Available,92323056.1,2014-04-25T11:35:47.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-01258-0009,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,74,Not Available,Not Available,20047.9,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",2195857.535,Not Available,Not Available,105.0,100,Not Available,16263.7,Not Available,Not Available,Not Available,No,Not Available,138.8,Not Available,Not Available,245,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
292 Madison Ave,40.75189,-73.979965,Not Available,7448747.4,2014-04-24T10:05:44.000,81057.6,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1012750059,03/19/2014 07:28 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7930.2,Not Available,Murray Hill-Kips Bay,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,137.1,Not Available,Not Available,185.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
47-40 21st Street,40.743852,-73.948791,Not Available,6647623.5,2014-04-22T13:43:30.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0.1912534,4000610011,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3155.5,Not Available,Hunters Point-Sunnyside-West Maspeth,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,402.0,100,Not Available,3155.5,Not Available,Not Available,Not Available,No,Not Available,98.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
185 West Broadway,40.718175,-74.007114,Not Available,16934073.3,2014-04-09T16:56:54.000,Not Available,265000,Not Available,Not Available,K-12 School,Not Available,100,0.2151721,1001760018,02/20/2014 12:16 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60.6,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 4, K12",349359.8409,Not Available,Not Available,101.0,25,Not Available,49.8,Not Available,Not Available,Not Available,No,Not Available,115.2,Not Available,Not Available,48844,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
215 East 23rd Street,40.738603,-73.982582,Not Available,Not Available,2014-05-01T16:19:04.000,Not Available,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,100,Not Available,1009040010,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gramercy,"PBA PLUS - 37, Dormitory/fraternity/sorority",Not Available,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
28-30 Second Ave,40.7246,-73.990569,Not Available,818133.8,2014-04-24T14:53:48.000,9588.7,Not Available,Not Available,Not Available,Self-Storage Facility,Not Available,100,0,1-00443-0005,04/17/2014 12:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,298.2,Not Available,East Village,"PBA - 5, Nonrefrigerated warehouse",Not Available,Not Available,Not Available,103.0,Not Available,Not Available,298.2,Not Available,Not Available,Not Available,No,Not Available,23.7,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
90 8 Ave,40.673073,-73.973247,Not Available,1043192,2014-04-30T13:50:22.000,38588,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3010650037,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Park Slope-Gowanus,,Not Available,Not Available,Not Available,306.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,Not Available,Not Available
120 West 72nd Street,40.777663,-73.979412,Not Available,1592351.7,2014-05-01T23:05:08.000,24797.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1011437505,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,,Not Available,Not Available,Not Available,107.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,136.6,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
220 East 73rd Street,40.770148,-73.959457,Not Available,Not Available,2014-05-01T23:04:45.000,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1014270034,04/14/2014 10:24 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
100 Avenue of Americas,40.723324,-74.004903,Not Available,26908355.9,2014-04-09T16:40:55.000,76977,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-00476-0007,04/09/2014 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4303.1,Not Available,SoHo-TriBeCa-Civic Center-Little Italy,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,102.0,100,Not Available,4303.1,Not Available,Not Available,Not Available,No,Not Available,101.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100 West 18th Street,40.740034,-73.99545,Not Available,4795989.1,2014-05-01T23:05:11.000,29158.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,1007937507,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,24,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,,Not Available,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,Not Available,Not Available,Not Available,164.7,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
270 Madison Avenue,40.751124,-73.980525,Not Available,15048134.7,2014-04-23T15:22:51.000,7175,Not Available,Not Available,Not Available,Office,Not Available,100,0,1008690016,04/23/2014 10:06 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6966.1,Not Available,Murray Hill-Kips Bay,"CBECS combination - 2, Bank_LG+Office",Not Available,Not Available,Not Available,105.0,100,Not Available,6966.1,Not Available,Not Available,Not Available,No,0,61.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1700 Broadway,40.763342,-73.982398,Not Available,34943725,2014-04-29T18:09:40.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1010250025,04/21/2014 04:52 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14830.6,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,14830.6,44,Not Available,Not Available,No,Not Available,138,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1120 Avenue of the Americas,40.755651,-73.983516,Not Available,27602336.2,2014-04-09T16:27:24.000,280.1,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-01259-0001,04/09/2014 07:25 AM EDT,Not Available,Not Available,Not Available,37,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",614863.2443,Not Available,Not Available,105.0,100,Not Available,Not Available,10,Not Available,Not Available,No,Not Available,123.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
371 Fort Washington Ave,40.847579,-73.939642,Not Available,964616.4,2014-04-30T13:50:17.000,2264.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,1021390523,02/06/2014 06:31 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1053.3,Not Available,Washington Heights South,,Not Available,Not Available,Not Available,112.0,Not Available,Not Available,1053.3,Not Available,Not Available,3132600,No,Not Available,Not Available,Not Available,Not Available,78.4,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available
1919 Williamsbridge Road,40.852799,-73.853325,Not Available,858431.9,2014-04-30T13:41:51.000,2695,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,0,2-02831-0036,04/29/2014 08:25 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6503,Not Available,Pelham Parkway,,Not Available,Not Available,Not Available,211.0,Not Available,Not Available,6503,Not Available,Not Available,3874902,No,Not Available,Not Available,Not Available,Not Available,133.8,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
2510 Ocean Parkway,40.5886,-73.965717,Not Available,1186424.1,2014-04-22T15:42:39.000,42762.5,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,3-07219-0015,04/06/2014 04:09 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Gravesend,,Not Available,Not Available,Not Available,313.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,115.2,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available
145 West 57th. Street,40.764966,-73.978708,Not Available,Not Available,2014-05-01T12:16:57.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1010107503,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
85-14 Broadway,40.739193,-73.877806,Not Available,1854498.8,2014-04-28T18:04:25.000,82113.4,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,100,Not Available,4015470016,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Elmhurst-Maspeth,,Not Available,Not Available,Not Available,404.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,184.3,Not Available,Not Available,Not Available,25,Not Available,Not Available,Not Available
274 MADISON AVENUE,40.751248,-73.980434,Not Available,3601929,2014-04-14T16:18:51.000,5556.9,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1-00869-0058,09/15/2013 04:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2748.3,Not Available,Murray Hill-Kips Bay,"CBECS combination - 2, Bank_LG+Office",101506.9894,Not Available,Not Available,105.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,107.8,Not Available,Not Available,156.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
525 East 68th Street,40.764149,-73.955251,2971874,89821548.3,2014-05-01T17:08:04.000,12797351.9,Not Available,Not Available,Not Available,Hospital (General Medical & Surgical),Not Available,100,Not Available,100-01480-00001,05/01/2014 07:23 AM EDT,Not Available,3,Not Available,Not Available,2050.6,100,Not Available,Not Available,Lenox Hill-Roosevelt Island,"PBA - 16, Inpatient health care",0,Not Available,Not Available,108.0,Not Available,Not Available,Not Available,Not Available,Not Available,19203859.3,No,Not Available,351.2,No,Not Available,363.5,Not Available,Not Available,Not Available,Not Available,2.55711,Not Available,Not Available
200  East  42nd  St.,40.750698,-73.974306,Not Available,16502793.1,2014-04-30T11:03:32.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,Not Available,1013150001,09/15/2013 04:28 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,"CBECS combination - 2, Bank_LG+Office",0,Not Available,Not Available,106.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.10125,69.6,Not Available,Not Available,190.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 Liberty Street,40.711425,-74.015442,Not Available,80162892.8,2014-04-25T11:35:47.000,4739.9,Not Available,Not Available,Not Available,Office,Not Available,100,0,1-00016-0120,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14273.5,Not Available,Battery Park City-Lower Manhattan,"CBECS combination - 2, Bank_LG+Office",875140.5079,Not Available,Not Available,101.0,100,Not Available,12430,Not Available,Not Available,Not Available,No,Not Available,175.3,Not Available,Not Available,229.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2 Penn Plaza,40.750017,-73.991345,Not Available,80813868.3,2014-04-30T15:47:41.000,Not Available,Not Available,Not Available,Not Available,Office,Not Available,100,0,1007819002,09/15/2013 04:29 PM EDT,Not Available,Not Available,Not Available,300,Not Available,Not Available,21078.7,Not Available,Midtown-Midtown South,"CBECS combination - 2, Bank_LG+Office",1055013.432,Not Available,Not Available,105.0,100,Not Available,21078.7,Not Available,Not Available,Not Available,No,0.54454,122,Not Available,Not Available,206.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
