manhattan_condominiums_comparable_properties_condo_section,longitude,manhattan_condominiums_comparable_properties_net_operating_income,bin,comparable_rental_1_address,comparable_rental_2_net_operating_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_2_neighborhood,comparable_rental_3_address,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,borough,manhattan_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_2_estimated_expense,latitude-manhattan_condominiums_comparable_properties_expense_per_sqft
1457-R1,-74.011195,4287004,1002832.0,450 WASHINGTON STREET,2856546.0, ,GREENWICH VILLAGE-WEST, ,12050000,65664000,1,198.95,10 DOWNING STREET, ,1411316.0,40.722275-11.46
0410-R1,-73.986171,10684185,1070696.0,240 CENTRAL PARK SOUTH,7882695.0, ,MIDTOWN WEST, ,14066581,64383000,1,127.56,870 8 AVENUE, ,3684094.0,40.777464-11.73
0402-R1,-73.990351,735000,1068277.0,19 EAST 21 STREET,2586568.0, ,FLATIRON, ,465136,2487000,1,182.92,12 EAST 22 STREET, ,962364.0,40.739433-9.41
0932-R1,-74.006522,369778,1079278.0,146 DUANE STREET,755746.0, ,SOHO, ,704550,3995000,1,107.54,30 GRAND STREET, ,322592.0,40.718941-10.0
1752-R1,-74.00515,907440,1087672.0,142 WEST 23 STREET,540606.0,51.13,CLINTON,54 SPRING STREET,2220338,13844000,1,284.38,530 WEST 47 STREET,"3,935,000",228698.0,40.748112-7.8
0479-R1,-73.99768,2999483,1068033.0,128 7 AVENUE,664895.0, ,CHELSEA, ,1838192,10834000,1,153.28,274 WEST 19 STREET, ,183901.0,40.741324-8.42
0689-R1,-74.003846,68455,1002211.0,104 BAYARD STREET,157332.0, ,CHINATOWN, ,235686,994000,1,118.49,127 MOTT STREET, ,93786.0,40.719218-10.71
1345-R1,-73.974727,4584015,1021903.0,347 EAST 33 STREET,2237513.0,31.57,MURRAY HILL,710 2 AVENUE,10212652,53350000,1,174.81,236 EAST 36 STREET,"21,445,000",948901.0,40.744305-9.98
0732-R1,-73.975161,1475394,1033580.0,302 WEST 92 STREET,1205988.0, ,UPPER WEST SIDE (79-96), ,2908985,15300000,1,127.52,2476 BROADWAY, ,656625.0,40.792025-11.61
0271-R1,-73.988599,452501,1006142.0,186 ORCHARD STREET,1131418.0,35.5,LOWER EAST SIDE,90 CLINTON STREET,432830,2259000,1,194.19,149 ESSEX STREET,"7,475,000",285857.0,40.725034-9.23
2066-R1,-73.994177,2196502,1088435.0,540 WEST 50 STREET,2025721.0, ,CLINTON, ,943677,5256000,1,225.29,863 9 AVENUE, ,932398.0,40.763244-11.18
1933-R2,-73.991968,6156000,1087481.0,831 9 AVENUE,5438902.0,25.95,MIDTOWN WEST,435 WEST 57 STREET,6865052,37977000,1,180.89,330 WEST 56 STREET,"24,353,000",2077441.0,40.766384-9.45
0329-R1,-74.007506,606107,1083562.0,223 2 AVENUE,2060114.0, ,KIPS BAY, ,2515280,13488000,1,223.21,320 EAST 22 STREET, ,421819.0,40.738135-8.93
1055-R1,-73.985122,8342322,1085729.0,230 WEST 55 STREET,5415998.0,44.07,CLINTON,1361 AVENUE OF THE AMERIC,10143987,54708000,1,226.87,419 WEST 52 STREET,"59,298,000",2281272.0,40.769476-11.69
0850-R1,-74.001086,2360000,1010899.0,92 PARK AVENUE SOUTH,2278354.0, ,FLATIRON, ,9248078,47986000,1,180.48,552 AVENUE OF THE AMERICA, ,809878.0,40.735209-13.39
0570-R1,-73.971822,13703959,1076168.0,604 2 AVENUE,21018003.0, ,KIPS BAY, ,16189751,83694000,1,202.87,606 1 AVENUE, ,8464113.0,40.745564-12.56
1108-R1,-74.005004,2593663,1001924.0,133 MULBERRY STREET,582828.0,41.84,TRIBECA,69 BAYARD STREET,1465401,9005000,1,194.06,36 LAIGHT STREET,"3,930,000",271026.0,40.718137-8.74
1153-R1,-73.979477,2103903,1023717.0,21 WEST 58 STREET,2113309.0,34.23,MIDTOWN WEST,105 WEST 55 STREET,2244643,10856000,1,175.87,841 7 AVENUE,"11,332,000",956457.0,40.76529-12.05
0705-R1,-73.988787,1847924,1006221.0,223 2 AVENUE,1011303.0, ,LOWER EAST SIDE, ,2515280,13488000,1,200.4,90 CLINTON STREET, ,355488.0,40.725929-10.4
1599-R1,-73.976298,1097219,1034808.0,21 WEST 58 STREET,1182001.0,37.67,MIDTOWN CBD,155 EAST 52 STREET,2244643,10856000,1,169.15,6 EAST 48 STREET,"14,039,000",513283.0,40.76224-12.86
0319-R1,-73.973924,10429482,1037178.0,604 2 AVENUE,13550371.0, ,KIPS BAY, ,16189751,83694000,1,223.71,330 EAST 39 STREET, ,5727874.0,40.748878-14.02
2197-R1,-73.988488,8349318,1087823.0,1200 LEXINGTON AVENUE,, , , ,739675,3897000,1,366.64, , ,,40.765758-11.8
0174-R1,-73.994033,754379,1007413.0,13 SPRING STREET,209364.0,33.49,LOWER EAST SIDE,101 CROSBY STREET,6442633,18450000,1,144.22,139 CHRYSTIE STREET,"7,284,000",136244.0,40.722665-11.53
1731-R1,-73.992137,1066274,1015483.0,9 EAST 16 STREET,801163.0, ,FLATIRON, ,1211840,6608000,1,215.67,31 WEST 17 STREET, ,249180.0,40.740166-10.27
1518-R1,-73.952006,5953018,1087189.0,1218 2 AVENUE,4479584.0,41.62,UPPER EAST SIDE (59-79),1081 3 AVENUE,9184500,54514000,1,243.71,400 EAST 66 STREET,"37,783,000",1489016.0,40.759166-10.75
0193-R1,-73.964861,1913144,1041379.0,993 LEXINGTON AVENUE,1977521.0,32.82,UPPER EAST SIDE (59-79),1033 LEXINGTON AVENUE,3048279,15183000,1,153.35,242 EAST 72 STREET,"10,916,000",999812.0,40.771531-12.2
0298-R1,-73.992015,867792,1009143.0,40 EAST 12 STREET,848671.0,30.2,GREENWICH VILLAGE-CENTRAL,85 4 AVENUE,940947,5493000,1,149.24,107 UNIVERSITY PLACE,"23,346,000",321896.0,40.733584-10.27
0572-R1,-74.004695,1599124,1076123.0,460 WEST 20 STREET,531864.0,42.2,CHELSEA,401 WEST 22 STREET,3221669,18806000,1,222.0,434 WEST 19 STREET,"12,961,000",282136.0,40.744709-12.78
0947-R1,-74.012177,273000,1001042.0,12 JOHN STREET,1454260.0,37.1,FINANCIAL,229 FRONT STREET,890618,4807000,1,88.99,9 MAIDEN LANE,"2,713,000",645225.0,40.70991-8.92
1740-R1,-73.982656,808286,1018245.0,137 EAST 29 STREET,454064.0,44.35,MURRAY HILL,151 LEXINGTON AVENUE,788000,3960000,1,179.72,155 EAST 30 STREET,"6,776,000",204936.0,40.743546-12.47
0393-R1,-73.996785,794364,,160 WEST 22 STREET,1226456.0, ,CHELSEA, ,1317459,6446000,1,184.65,151 WEST 16 STREET, ,483841.0,40.742516-10.46
0060-R1,-73.967891,1894716,1039641.0,891 1 AVENUE,1495610.0, ,MIDTOWN EAST, ,1539326,7366000,1,152.13,307 EAST 50 STREET, ,739775.0,40.754621-10.74
1822-R1,-74.012969,4870962,1087700.0,600 WASHINGTON STREET,13482072.0, ,TRIBECA, ,5925984,31972000,1,242.76,20 RIVER TERRACE, ,4569252.0,40.703037-13.94
0148-R1,-73.981326,8104034,1019731.0,471 3 AVENUE,3637405.0, ,GRAMERCY, ,12598191,69050000,1,186.71,88 LEXINGTON AVENUE, ,1584953.0,40.737327-9.83
0249-R1,-73.998069,1555130,1013894.0,128 7 AVENUE,664895.0, ,CHELSEA, ,1838192,10834000,1,209.7,274 WEST 19 STREET, ,183901.0,40.741901-8.42
2012-R1,-73.998953,1695678,1087678.0,444 WEST 35 STREET,1804251.0,27.06,FASHION,455 WEST 34 STREET,2416825,12620000,1,151.04,363 WEST 30 STREET,"12,246,000",626395.0,40.76023-8.87
1404-R1,-73.999441,1007235,1086553.0,112 SULLIVAN STREET,700871.0, ,SOHO, ,1149094,5941000,1,180.25,202 AVENUE OF THE AMERICA, ,194875.0,40.726149-11.0
1507-R1,-74.011327,5543000,1087170.0,211 NORTH END AVENUE,8684721.0,19.25,TRIBECA,80 VARICK STREET,13788111,75778000,1,210.66,450 WASHINGTON STREET,"9,087,000",3365279.0,40.715682-5.64
0230-R1,-73.966413,128310,1083882.0,1200 LEXINGTON AVENUE,728569.0,34.85,UPPER EAST SIDE (59-79),105 EAST 88 STREET,739675,3897000,1,187.67,334 EAST 79 STREET,"2,075,000",270162.0,40.763947-9.96
0644-R1,-74.001339,396547,1084932.0,136 WEST 4 STREET,207099.0, ,GREENWICH VILLAGE-WEST, ,667901,3496000,1,126.05,174 WEST HOUSTON STREET, ,99988.0,40.729248-11.5
0426-R1,-74.004734,737611,1066793.0,60 LEROY STREET,207099.0,36.03,GREENWICH VILLAGE-WEST,10 DOWNING STREET,703764,3474000,1,156.22,174 WEST HOUSTON STREET,"21,074,000",99988.0,40.729025-10.7
1103-R1,-74.009423,674181,1080179.0,36 LAIGHT STREET,1282259.0,41.2,SOHO,202 AVENUE OF THE AMERICA,853854,4345000,1,199.64,30 CHARLTON STREET,"5,293,000",361155.0,40.724164-10.0
1875-R1,-73.986572,8508228,1024736.0,1361 AVENUE OF THE AMERIC,9194966.0, ,MIDTOWN WEST, ,10738875,59298000,1,218.61,1752 BROADWAY, ,3311152.0,40.759228-13.22
1412-R1,-74.002352,606629,1086561.0,23 PECK SLIP,1244619.0,28.62,FINANCIAL,12 JOHN STREET,959447,2948000,1,174.37,156 FRONT STREET,"4,807,000",543771.0,40.707427-10.27
0616-R1,-73.978066,2871340,1033104.0,2333 BROADWAY,3543589.0,39.25,UPPER WEST SIDE (79-96),2326 BROADWAY,3590971,16272000,1,127.94,2290 BROADWAY,"20,822,000",1750347.0,40.787261-12.59
0475-R1,-73.964548,1157402,1071924.0,342 EAST 55 STREET,723445.0, ,MIDTOWN EAST, ,470673,1800000,1,161.15,319 EAST 53 STREET, ,178551.0,40.756097-10.95
1289-R1,,1222416,,2177 FRED DOUGLASS BOULEV,299194.0, ,HARLEM-CENTRAL, ,1535924,3795000,1,95.2,2010 LEXINGTON AVENUE, ,257364.0,nan-10.65
0530-R1,-74.002133,620304,1067542.0,54 SPRING STREET,1784389.0, ,EAST VILLAGE, ,714487,3935000,1,249.15,223 2 AVENUE, ,730891.0,40.7357-9.69
0286-R1,-73.986959,871185,1017964.0,239 PARK AVENUE SOUTH,368972.0,45.3,GRAMERCY,152 EAST 22 STREET,2043866,11047000,1,179.21,226 3 AVENUE,"5,923,000",174891.0,40.738104-13.65
0736-R1,-74.001281,385489,1008052.0,112 SULLIVAN STREET,885029.0, ,SOHO, ,1149094,5941000,1,133.87,100 SULLIVAN STREET, ,362260.0,40.726519-7.99
2146-R1,-73.999931,1054301,1087987.0,222 WEST 15 STREET,1226456.0, ,CHELSEA, ,1807570,10648000,1,243.67,151 WEST 16 STREET, ,483841.0,40.745894-10.62
0331-R1,-73.988437,852594,1026812.0,343 WEST 51 STREET,492241.0,28.43,MIDTOWN WEST,330 WEST 55 STREET,743211,4134000,1,192.91,325 WEST 51 STREET,"4,986,000",191384.0,40.766554-6.32
1042-R1,-74.010569,1508015,1001421.0,211 NORTH END AVENUE,394505.0,37.04,SOUTHBRIDGE,23 PECK SLIP,13788111,75778000,1,209.03,24 PECK SLIP,"2,948,000",186455.0,40.714582-13.07
1480-R1,-74.011022,20616379,1078988.0,100 MAIDEN LANE,3540930.0,49.57,FINANCIAL,211 NORTH END AVENUE,12265285,69551000,1,239.72,82 FULTON STREET,"75,778,000",1906410.0,40.706531-10.51
0886-R1,-73.99475,595206,1009616.0,71 WEST 12 STREET,359476.0,38.32,GREENWICH VILLAGE-CENTRAL,55 WEST 11 STREET,1088095,6455000,1,130.47,82 WEST 12 STREET,"12,194,000",259355.0,40.735569-12.57
2048-R1,-73.980075,8459173,1087660.0,424 WEST END AVENUE,10791718.0, ,UPPER WEST SIDE (79-96), ,13190917,74506000,1,288.85,2380 BROADWAY, ,3214726.0,40.781344-12.07
1219-R1,-73.982739,7919655,1027461.0,1752 BROADWAY,5438902.0,39.64,MIDTOWN WEST,1380 AVENUE OF THE AMERIC,12506118,69490000,1,216.22,330 WEST 56 STREET,"65,651,000",2077441.0,40.770824-11.04
0178-R1,-73.963774,2381768,1040014.0,141 EAST 56 STREET,1864733.0, ,MIDTOWN EAST, ,4105761,22571000,1,184.3,210 EAST 58 STREET, ,973907.0,40.758677-11.02
0449-R1,-73.989926,20047185,1083247.0,55 WEST 25 STREET,17840753.0,21.67,FASHION,53 WEST 14 STREET,19115775,112405000,1,262.4,315 WEST 33 STREET,"28,695,000",8792277.0,40.734704-9.77
1617-R1,-73.982867,1711599,1017178.0,20 PARK AVENUE,1331744.0,41.34,MURRAY HILL,150 EAST 39 STREET,3485232,17335000,1,178.56,9 EAST 32 STREET,"20,022,000",495256.0,40.749417-16.09
0278-R1,-73.961781,2274875,1040561.0,315 EAST 46 STREET,2828384.0, ,MIDTOWN EAST, ,3330894,3250000,1,190.6,410 EAST 58 STREET, ,1457015.0,40.758698-10.57
0576-R1,-74.009454,715148,1076091.0,142 WEST 23 STREET,525569.0, ,LITTLE ITALY, ,2220338,13844000,1,245.51,54 SPRING STREET, ,188918.0,40.736051-9.08
2061-R1,-74.002324,249901,1010870.0,26 PERRY STREET,229259.0,38.12,GREENWICH VILLAGE-WEST,152 7 AVENUE SOUTH,368233,1869000,1,189.09,44 PERRY STREET,"1,518,000",84156.0,40.735673-11.56
1959-R1,-73.987617,391377,1006748.0,56 ST MARK'S PLACE,305593.0, ,LOWER EAST SIDE, ,645820,3223000,1,187.79,186 ORCHARD STREET, ,127237.0,40.72869-10.39
0804-R1,-74.008117,537100,1001599.0,217 WEST BROADWAY,468660.0, ,SOUTHBRIDGE, ,903594,11295000,1,170.49,225 FRONT STREET, ,217840.0,40.716457-12.51
1939-R1,-74.005352,783013,1087907.0,434 WEST 19 STREET,2503016.0,42.2,CHELSEA,401 WEST 22 STREET,814000,4023000,1,208.53,460 WEST 20 STREET,"12,961,000",718653.0,40.74422-12.78
1265-R1,-73.973392,2792495,1086107.0,210 WEST 89 STREET,2183366.0,28.34,UPPER WEST SIDE (79-96),168 WEST 86 STREET,3820158,18560000,1,127.68,2333 BROADWAY,"13,951,000",1407605.0,40.790356-6.07
1342-R1,-74.008226,588470,1010370.0,60 LEROY STREET,792450.0,25.76,SOHO,75 BARROW STREET,703764,3474000,1,138.18,112 SULLIVAN STREET,"1,797,000",356644.0,40.727406-11.12
0416-R1,-73.982322,13203000,1070014.0,315 WEST 57 STREET,14261659.0,44.26,UPPER WEST SIDE (59-79),145 WEST 67 STREET,17891043,102609000,1,173.56,45 WEST 60 STREET,"142,445,000",4777413.0,40.765611-15.05
0386-R1,-73.97751,10927995,1084303.0,424 WEST END AVENUE,5347827.0, ,UPPER WEST SIDE (79-96), ,13190917,74506000,1,223.72,620 COLUMBUS AVENUE, ,2882364.0,40.786199-10.43
0999-R1,-73.993094,281923,1080068.0,82 WEST 12 STREET,304613.0, ,GREENWICH VILLAGE-CENTRAL, ,618831,2200000,1,110.06,643 BROADWAY, ,88746.0,40.727016-10.7
0070-R1,-73.994386,2228325,1008529.0,640 BROADWAY,3538485.0,36.79,GREENWICH VILLAGE-CENTRAL,77 2 AVENUE,1007446,4419000,1,177.41,11 WAVERLY PLACE,"2,902,000",1382958.0,40.728237-12.7
1553-R1,-73.993701,1774005,1087253.0,298 MULBERRY STREET,722798.0, ,EAST VILLAGE, ,4796231,27675000,1,236.92,81 EAST 3 STREET, ,369010.0,40.72115-11.38
1312-R1,-73.990066,739925,1086162.0,294 BROOME STREET,763612.0,22.89,LOWER EAST SIDE,191 MADISON STREET,324716,1641000,1,173.66,259 BROOME STREET,"845,000",339677.0,40.714955-12.82
0160-R1,-73.982171,17322746,1028950.0,145 WEST 67 STREET,16780778.0,46.42,UPPER WEST SIDE (79-96),139 COLUMBUS AVENUE,25139281,142445000,1,190.16,2360 BROADWAY,"70,374,000",6616510.0,40.775608-16.43
1392-R1,-74.007634,1355988,1086557.0,100 SULLIVAN STREET,792450.0, ,SOHO, ,1247289,6455000,1,120.73,112 SULLIVAN STREET, ,356644.0,40.721916-7.99
1519-R1,-73.984713,5376304,1087187.0,419 WEST 52 STREET,7292533.0,40.78,MIDTOWN WEST,335 WEST 50 STREET,7697270,40722000,1,244.51,230 WEST 55 STREET,"19,800,000",2851454.0,40.76035-13.7
1492-R1,-73.992199,151887,1016083.0,97 5 AVENUE,823877.0,44.59,FLATIRON,27 WEST 16 STREET,1188993,6795000,1,173.65,220 PARK AVENUE SOUTH,"9,742,000",586952.0,40.737149-17.45
1459-R1,-74.005037,472388,1087099.0,236 WEST 4 STREET,554324.0, ,GREENWICH VILLAGE-WEST, ,643190,2673000,1,158.6,56 PERRY STREET, ,282914.0,40.733944-11.34
0065-R1,-74.004202,646323,1001143.0,229 MULBERRY STREET,402090.0, ,LOWER EAST SIDE, ,2786809,17393000,1,196.58,164 STANTON STREET, ,138031.0,40.706076-7.75
0124-R1,-73.999812,1626740,1013385.0,125 EAST 54 STREET,1076547.0, ,KIPS BAY, ,2703803,15061000,1,227.93,312 EAST 30 STREET, ,580343.0,40.745842-9.97
2145-R1,-73.983048,1175372,1088333.0,90 CLINTON STREET,2103913.0,30.69,ALPHABET CITY,291 EAST 3 STREET,1366791,7475000,1,399.38,274 EAST 2 STREET,"1,661,000",660879.0,40.719807-9.23
0460-R1,-73.962685,5050410,1072068.0,945 5 AVENUE,3880362.0, ,UPPER EAST SIDE (79-96), ,8358330,44249000,1,215.6,920 PARK AVENUE, ,2014709.0,40.77554-12.59
2036-R1,-73.998733,707400,1087678.0,508 WEST 55 STREET,2201122.0, ,CLINTON, ,1922853,8180000,1,60.42,520 WEST 48 STREET, ,774234.0,40.76026-6.24
0498-R1,-74.016116,17264297,1065475.0,325 NORTH END AVENUE,10110341.0,35.68,TRIBECA,343 BROADWAY,14824344,79263000,1,222.02,211 NORTH END AVENUE,"77,529,000",3677770.0,40.708809-12.13
1538-R1,-73.967011,3374099,1087269.0,1218 2 AVENUE,2828384.0, ,MIDTOWN EAST, ,9184500,54514000,1,241.5,410 EAST 58 STREET, ,1457015.0,40.760042-15.76
0920-R1,-74.000198,1057949,1007013.0,160 MOTT STREET,247922.0, ,LITTLE ITALY, ,420894,2212000,1,156.49,212 GRAND STREET, ,131484.0,40.721367-9.9
0163-R1,-73.989669,329004,1003628.0,217 MADISON STREET,180965.0, ,LOWER EAST SIDE, ,216350,1012000,1,109.96,219 EAST BROADWAY, ,122936.0,40.713429-11.15
1165-R1,-73.967538,37500000,1038909.0,1044 2 AVENUE,21928929.0, ,UPPER EAST SIDE (59-79), ,33377600,173997000,1,334.23,800 5 AVENUE, ,5574447.0,40.751983-16.96
1084-R1,-74.009141,349520,1001434.0,7 HARRISON STREET,639862.0,35.98,FINANCIAL,9 MAIDEN LANE,634619,2414000,1,118.41,12 JOHN STREET,"10,730,000",250756.0,40.713948-8.06
1126-R1,-73.994027,800860,1015032.0,220 EAST 22 STREET,1784389.0,37.02,EAST VILLAGE,320 EAST 22 STREET,4258943,24143000,1,200.15,223 2 AVENUE,"15,162,000",730891.0,40.746309-11.57
0241-R1,-73.980197,1046872,1028173.0,125 EAST 54 STREET,550126.0, ,UPPER WEST SIDE (79-96), ,2703803,15061000,1,153.83,265 WEST 87 STREET, ,186865.0,40.772212-9.77
0550-R1,-73.969928,1370062,1070916.0,2476 BROADWAY,1629008.0, ,UPPER WEST SIDE (79-96), ,1862613,8697000,1,163.15,2512 BROADWAY, ,814704.0,40.791341-11.37
1721-R1,-73.993127,2371500,1008495.0,298 MULBERRY STREET,1351621.0,40.72,EAST VILLAGE,313 EAST 5 STREET,4796231,27675000,1,210.75,1 COOPER SQUARE,"4,503,000",1106655.0,40.726165-12.82
1911-R1,-73.991603,897265,1080748.0,97 5 AVENUE,823877.0,44.59,FLATIRON,27 WEST 16 STREET,1188993,6795000,1,184.84,220 PARK AVENUE SOUTH,"9,742,000",586952.0,40.737671-17.45
0136-R1,-74.008348,768779,1002859.0,36 LAIGHT STREET,792450.0, ,SOHO, ,853854,4345000,1,157.71,112 SULLIVAN STREET, ,356644.0,40.72266-9.66
0491-R1,-74.009567,231720,1066457.0,112 SULLIVAN STREET,582828.0, ,TRIBECA, ,1149094,5941000,1,118.59,36 LAIGHT STREET, ,271026.0,40.72006-9.39
1396-R1,-73.965889,6856823,1089507.0,333 EAST 56 STREET,7917119.0,41.65,MIDTOWN EAST,240 EAST 59 STREET,11015534,62212000,1,235.13,314 EAST 46 STREET,"69,083,000",3754492.0,40.757851-14.82
0534-R1,-73.979893,1867992,1076178.0,841 7 AVENUE,1529284.0, ,MIDTOWN WEST, ,3069766,15593000,1,185.4,105 WEST 55 STREET, ,347772.0,40.764571-10.71
1413-R1,-74.002532,471937,1086562.0,23 PECK SLIP,1244619.0,34.26,FINANCIAL,82 FULTON STREET,959447,2948000,1,174.36,156 FRONT STREET,"26,237,000",543771.0,40.707333-10.27
0954-R1,-74.006782,548089,1001640.0,7 HARRISON STREET,639862.0,31.97,FINANCIAL,36 LAIGHT STREET,634619,2414000,1,138.83,12 JOHN STREET,"4,345,000",250756.0,40.715095-8.06
0011-R1,-73.978473,6139296,1023760.0,230 WEST 55 STREET,8939381.0,44.07,MIDTOWN WEST,1361 AVENUE OF THE AMERIC,10143987,54708000,1,246.2,39 WEST 58 STREET,"59,298,000",3794155.0,40.766613-14.51
0290-R1,-73.993944,1246573,1014307.0,308 WEST 30 STREET,1689756.0,35.57,CHELSEA,245 WEST 25 STREET,1260746,6485000,1,175.16,342 9 AVENUE,"6,393,000",476755.0,40.749089-11.87
0027-R1,-73.993592,735786,1009403.0,107 UNIVERSITY PLACE,359476.0, ,GREENWICH VILLAGE-CENTRAL, ,1170567,6127000,1,122.5,82 WEST 12 STREET, ,259355.0,40.735102-11.12
1864-R1,-73.988009,2868212,1087725.0,51 IRVING PLACE,3376568.0,45.13,FLATIRON,12 EAST 22 STREET,1964306,10073000,1,254.53,268 PARK AVENUE SOUTH,"19,463,000",1223201.0,40.737975-12.26
1393-R1,-74.008272,1312933,1086556.0,36 LAIGHT STREET,792450.0, ,SOHO, ,853854,4345000,1,147.69,112 SULLIVAN STREET, ,356644.0,40.721798-11.0
1693-R1,-73.992989,2171639,1087450.0,43 WEST 16 STREET,1294248.0,38.79,FLATIRON,91 7 AVENUE,2928925,15807000,1,235.84,27 WEST 16 STREET,"13,333,000",547499.0,40.738999-13.26
0359-R1,-73.992992,1841746,1015318.0,75 5 AVENUE,2814130.0,38.06,FLATIRON,31 WEST 17 STREET,2641970,13200000,1,215.68,30 WEST 18 STREET,"6,064,000",1010469.0,40.737306-10.24
0756-R1,-73.970551,6519260,1036903.0,141 EAST 56 STREET,4804962.0,37.18,MIDTOWN CBD,162 EAST 55 STREET,4105761,22571000,1,216.23,136 EAST 55 STREET,"5,405,000",2621503.0,40.761868-7.79
1432-R1,-74.003745,619091,1087574.0,294 BROOME STREET,1282259.0, ,SOHO, ,324716,1641000,1,180.24,30 CHARLTON STREET, ,361155.0,40.72109-12.29
1379-R1,-74.009225,1887465,1010290.0,450 WASHINGTON STREET,747503.0, ,SOHO, ,12050000,65664000,1,218.51,423 WEST BROADWAY, ,221865.0,40.725182-14.17
