activitydetailid,activityid,lotbllingtotal,house1,structure,act_date,crmno,supp_ind,total_loads,channel,vehicleno,scanno,billingdate,usedoverride,lotstatusdate,refid,boroid,copyexistingaddress,enddate,old_main_lot_id,uniform_hrs,activitybllingtotal,used_crossstreettwo,inspectiondate
246211,28432,,,0,2002-03-08T00:00:00.000,,,3.0,867,CF-004,,,0,2002-03-11T00:00:01.000,,7,,2002-03-11T00:00:00.000,LOT69185,62,,,2002-03-06T00:00:00.000
112023,9784,,,0,2007-10-24T00:00:00.000,,,0.0,867,AS-005,,,0,2007-10-24T00:00:01.000,,7,,2007-10-24T00:00:00.000,LOT161975,5,,,2007-06-06T00:00:00.000
14423300.00%,14546,410.87,,0,2009-05-04T00:00:00.000,,,0.49,677,CT-010,2009MLD900965,2009-06-15T13:49:27.000,0,2009-05-04T00:00:01.000,,8,,2009-05-04T00:00:00.000,LOT187142,12,447.33,,2009-04-06T00:00:00.000
167832,17351,,,0,2010-08-05T00:00:00.000,,,0.93,677,AR-007,2010MLBV06307,,0,2010-08-09T00:00:01.000,,7,,2010-08-09T00:00:00.000,LOT203443,144,,,2010-07-19T00:00:00.000
94662,8919,,,0,2007-01-03T00:00:00.000,,,0.39,867,,,,0,2007-01-03T00:00:01.000,,8,,2007-01-03T00:00:00.000,LOT155283,39,,,2006-12-04T00:00:00.000
208014,34812,,,0,2000-06-22T00:00:00.000,,,10.0,867,,,,0,2000-06-22T00:00:01.000,,7,,2000-06-22T00:00:00.000,LOT27388,72,,,1999-09-30T00:00:00.000
29421,15469,,,0,2004-01-23T00:00:00.000,,,5.0,867,AL-007,,,0,2004-02-09T00:00:01.000,,8,,2004-02-09T00:00:00.000,LOT106212,82,,,2003-12-11T00:00:00.000
208805,22011,,,0,2000-07-06T00:00:00.000,,,5.0,867,AL-302,,,0,2000-07-06T00:00:01.000,,9,,2000-07-06T00:00:00.000,LOT37742,108,,,2000-03-20T00:00:00.000
215147,22624,,,0,2000-10-12T00:00:00.000,,,8.0,929,AL-008,,,0,2000-10-12T00:00:01.000,,7,,2000-10-12T00:00:00.000,LOT42044,66,,,2000-07-31T00:00:00.000
278330,42805,0.0,,0,2012-07-31T00:00:00.000,,,0.0,677,,2012MLER05839,2012-07-18T13:37:22.000,0,2012-07-31T00:00:00.000,461.0,7,0.0,2012-07-31T00:00:00.000,,26,,SARATOGA AVENUE,2012-07-16T00:00:00.000
130799,32742,,,0,2008-08-05T00:00:00.000,,,0.0,867,AS-004,,,0,2008-08-06T00:00:01.000,,7,,2008-08-06T00:00:00.000,LOT176808,32,,,2008-06-04T00:00:00.000
247345,18306,,,0,1998-05-18T00:00:00.000,,N,31.0,867,,,,0,1998-05-21T00:00:01.000,,7,,1998-05-21T00:00:00.000,LOT2192,160,,,1997-12-03T00:00:00.000
25209,104,349.25,,0,2003-11-10T00:00:00.000,,,1.0,867,AT-131,,2003-12-29T15:38:36.000,0,2003-11-10T00:00:01.000,,7,,2003-11-10T00:00:00.000,LOT102549,6,777.64,,2003-10-17T00:00:00.000
43862,17702,,,0,2004-10-01T00:00:00.000,,,1.0,867,,,,0,2004-10-01T00:00:01.000,,8,,2004-10-01T00:00:00.000,LOT121856,25,,,2004-08-19T00:00:00.000
202947,34931,,,0,2000-04-18T00:00:00.000,,,1.0,867,,,,0,2000-04-18T00:00:01.000,,7,,2000-04-18T00:00:00.000,LOT30442,3,,,1999-08-10T00:00:00.000
278722,42891,0.0,189,0,2012-06-29T00:00:00.000,,,0.15,867,cw-754,,2012-06-26T06:19:12.000,0,2012-06-29T00:00:00.000,0.0,7,1.0,2012-06-29T00:00:00.000,,10,,BLAKE AVENUE,2012-06-19T00:00:00.000
243275,23493,,,0,1998-05-19T00:00:00.000,,N,10.0,867,Q-006,,,0,1998-05-19T00:00:01.000,,9,,1998-05-19T00:00:00.000,LOT4795,31,,,1998-03-09T00:00:00.000
256143,38834,0.0,1996A,0,2011-04-01T00:00:00.000,,,0.0,867,dg-004,,2011-03-24T14:14:53.000,0,2011-04-01T00:00:00.000,0.0,7,1.0,2011-04-01T00:00:00.000,,28,,HOWARD AVENUE,2011-03-22T00:00:00.000
284152,43887,0.0,600,0,2013-01-07T00:00:00.000,,N,1.0,867,,,2013-02-19T00:00:00.000,0,2013-01-07T00:00:00.000,0.0,9,1.0,2013-01-07T00:00:00.000,,28,1210.29,EAST 150 STREET,2012-12-06T00:00:00.000
78913,25016,,,0,2006-05-18T00:00:00.000,,,1.0,867,DG-013,,,0,2006-05-19T00:00:01.000,,7,,2006-05-19T00:00:00.000,LOT145488,66,,,2006-04-10T00:00:00.000
110449,11138,,,0,2007-10-03T00:00:00.000,,,0.0,867,,,,0,2007-10-03T00:00:01.000,,9,,2007-10-03T00:00:00.000,LOT166099,25,,,2007-08-22T00:00:00.000
229533,36125,,,0,2001-06-11T00:00:00.000,,,17.0,867,AR-003,,,0,2001-06-12T00:00:01.000,,9,,2001-06-12T00:00:00.000,LOT56321,113,,,2001-05-04T00:00:00.000
156946,16439,328.44,,0,2009-12-18T00:00:00.000,,,0.21,867,DK-003,,2010-01-19T15:36:54.000,0,2009-12-18T00:00:01.000,,7,,2009-12-18T00:00:00.000,LOT195912,6,357.59,,2009-10-29T00:00:00.000
137442,33086,,,0,2008-12-02T00:00:00.000,,,1.87,867,CT-008,,,0,2008-12-04T00:00:01.000,,9,,2008-12-04T00:00:00.000,LOT183249,92,,,2008-11-26T00:00:00.000
100965,9957,,,0,2007-05-04T00:00:00.000,,,0.56,677,CS-002,,,0,2007-05-08T00:00:01.000,,6,,2007-05-08T00:00:00.000,LOT159605,104,,,2007-04-20T00:00:00.000
137603,33058,,,0,2008-12-02T00:00:00.000,,,0.3,867,,,,0,2008-12-02T00:00:01.000,,8,,2008-12-02T00:00:00.000,LOT182809,25,,,2008-11-13T00:00:00.000
327800,50996,0.0,107-58,1,2016-01-12T00:00:00.000,,,1.0,867,,,2015-12-16T11:13:58.000,0,2016-01-13T00:00:00.000,0.0,8,1.0,2016-01-13T00:00:00.000,,42,1967.23,107 AVENUE,2015-12-09T00:00:00.000
165328,19001,,,0,2010-06-29T00:00:00.000,,,0.0,867,DG-013,,,0,2010-06-29T00:00:01.000,,7,,2010-06-29T00:00:00.000,LOT201438,66,,,2010-05-20T00:00:00.000
106981,10008,,,0,2007-07-27T00:00:00.000,,,0.0,867,DG-003,,,0,2007-07-27T00:00:01.000,,9,,2007-07-27T00:00:00.000,LOT162999,46,,,2007-06-22T00:00:00.000
102402,27051,,,0,2007-05-29T00:00:00.000,,,0.0,677,DG-005,,,0,2007-06-01T00:00:01.000,,7,,2007-06-01T00:00:00.000,LOT159950,280,,,2007-04-13T00:00:00.000
232228,24430,,,0,2001-07-17T00:00:00.000,,,1.0,867,,,,0,2001-07-19T00:00:01.000,,7,,2001-07-19T00:00:00.000,LOT52263,50,,,1999-02-25T00:00:00.000
228657,25325,,,0,2001-05-25T00:00:00.000,,,4.0,867,AS-002,,,0,2001-05-29T00:00:01.000,,9,,2001-05-29T00:00:00.000,LOT55482,82,,,2001-04-16T00:00:00.000
177109,32988,,,0,1999-03-11T00:00:00.000,,,58.0,929,,,,0,1999-04-02T00:00:01.000,,7,,1999-04-02T00:00:00.000,LOT18172,168,,,1999-02-08T00:00:00.000
6023,29660,,,0,2002-10-04T00:00:00.000,,,2.0,929,,,,0,2002-10-04T00:00:01.000,,9,,2002-10-04T00:00:00.000,LOT77847,82,,,2002-06-28T00:00:00.000
220077,26209,,,0,1998-04-08T00:00:00.000,,N,4.0,867,K-008,,,0,1998-04-08T00:00:01.000,,7,,1998-04-08T00:00:00.000,LOT6060,18,,,1997-09-15T00:00:00.000
100359,9487,,,0,2007-05-01T00:00:00.000,,,1.0,677,CR-010,,,0,2007-05-01T00:00:01.000,,10,,2007-05-01T00:00:00.000,LOT158144,254,,,2007-03-06T00:00:00.000
2594,29669,,,0,2002-07-30T00:00:00.000,,,4.0,867,,,,0,2002-07-30T00:00:01.000,,7,,2002-07-30T00:00:00.000,LOT78174,32,,,2002-07-22T00:00:00.000
149938,15276,,,0,2009-08-06T00:00:00.000,,,0.15,867,,,,0,2009-08-06T00:00:01.000,,8,,2009-08-06T00:00:00.000,LOT191254,32,,,2009-07-20T00:00:00.000
283142,43713,0.0,110,0,2012-12-12T00:00:00.000,,,0.0,867,dk-002,,2012-10-19T10:00:36.000,0,2012-12-12T00:00:00.000,0.0,7,1.0,2012-12-12T00:00:00.000,,26,,GRAHAM AVENUE,2012-10-17T00:00:00.000
279171,42985,0.0,104-26,0,2012-08-09T00:00:00.000,,,0.18,867,,,2012-07-02T08:12:26.000,0,2012-08-09T00:00:00.000,0.0,8,1.0,2012-08-09T00:00:00.000,,16,,104 ROAD,2012-06-28T00:00:00.000
146183,14802,,,0,2009-06-02T00:00:00.000,,,0.29,867,DK-003,,,0,2009-06-03T00:00:01.000,,7,,2009-06-03T00:00:00.000,LOT188327,55,,,2009-05-06T00:00:00.000
38263,1823,,,0,2004-07-13T00:00:00.000,,,3.0,867,,,,0,2004-07-14T00:00:01.000,,7,,2004-07-14T00:00:00.000,LOT114963,32,,,2004-05-06T00:00:00.000
219579,23460,,,0,2000-12-13T00:00:00.000,,,2.0,867,,,,0,2002-01-16T00:00:00.000,,8,,2000-12-14T00:00:00.000,LOT46236,42,,,2000-07-24T00:00:00.000
171976,17958,0.0,,0,2010-10-28T00:00:00.000,,N,0.0,677,,2010MLM501803,2010-11-15T00:00:00.000,0,2010-10-28T00:00:01.000,,10,,2010-10-28T00:00:00.000,LOT205952,8,451.7,,2010-09-27T00:00:00.000
231882,36088,,,0,2001-07-16T00:00:00.000,,,6.0,867,,,,0,2001-07-17T00:00:01.000,,9,,2001-07-17T00:00:00.000,LOT55603,82,,,2001-04-16T00:00:00.000
195401,19746,,,0,1999-12-15T00:00:00.000,,,65.0,867,AF-105,,,0,1999-12-23T00:00:01.000,,9,,1999-12-23T00:00:00.000,LOT26926,170,,,1999-03-03T00:00:00.000
139606,33159,,,0,2009-01-26T00:00:00.000,,,1.0,677,,,,0,2009-01-27T00:00:01.000,,7,,2009-01-27T00:00:00.000,LOT184658,82,,,2009-01-08T00:00:00.000
292238,45306,0.0,423,0,2013-07-12T00:00:00.000,,,0.21,677,dk-003,2013MLJ505602,2013-06-27T08:08:28.000,0,2013-07-15T00:00:00.000,461.0,7,0.0,2013-07-15T00:00:00.000,,46,,KINGSTON AVENUE,2013-06-24T00:00:00.000
234089,25666,69.61,,0,2001-08-20T00:00:00.000,,,0.0,929,,,2001-10-01T10:27:02.000,0,2001-08-20T00:00:01.000,,7,,2001-08-20T00:00:00.000,LOT58168,0,75.79,,2001-06-28T00:00:00.000
201991,20562,731.56,,0,2000-04-06T00:00:00.000,,,2.0,867,,,2000-10-17T09:45:10.000,0,2000-04-06T00:00:01.000,,7,,2000-04-06T00:00:00.000,LOT30709,8,795.59,,1999-06-23T00:00:00.000
201870,34693,455.95,,0,2000-04-05T00:00:00.000,,,1.0,867,,,2000-05-30T09:46:42.000,0,2000-04-05T00:00:01.000,,9,,2000-04-05T00:00:00.000,LOT25014,10,447.14,,1999-04-20T00:00:00.000
34882,1579,,,0,2004-05-19T00:00:00.000,,,1.0,867,,,,0,2004-06-02T00:00:01.000,,9,,2004-06-02T00:00:00.000,LOT115195,92,,,2004-05-13T00:00:00.000
22780700.00%,35908,,,0,2001-05-10T00:00:00.000,,,49.0,867,AL-301,,,0,2001-05-17T00:00:01.000,,9,,2001-05-17T00:00:00.000,LOT51196,384,,,2000-12-07T00:00:00.000
71931,6410,,,0,2006-01-23T00:00:00.000,,,3.0,867,DG-013,,,0,2006-01-27T00:00:01.000,,7,,2006-01-27T00:00:00.000,LOT141830,281,,,2006-01-10T00:00:00.000
83044,37822,,,0,1998-08-03T00:00:00.000,,N,8.0,867,AB-004,,,0,1998-08-03T00:00:01.000,,7,,1998-08-03T00:00:00.000,LOT9439,22,,,1997-07-10T00:00:00.000
14444,37374,602.2,,0,2003-04-10T00:00:00.000,,,0.5,867,,,2003-05-23T13:56:27.000,0,2003-04-10T00:00:01.000,,10,,2003-04-10T00:00:00.000,LOT84425,18,655.65,,2002-11-04T00:00:00.000
146843,14373,,,0,2009-06-12T00:00:00.000,,,0.87,867,,,,0,2009-06-17T00:00:01.000,,7,,2009-06-17T00:00:00.000,LOT188852,103,,,2009-05-20T00:00:00.000
215383,22882,,,0,2000-10-13T00:00:00.000,,,11.0,929,,,,0,2000-10-13T00:00:01.000,,7,,2000-10-13T00:00:00.000,LOT43491,177,,,2000-09-12T00:00:00.000
325736,50688,0.0,2798,0,2015-11-23T00:00:00.000,,,0.0,927,,,2015-10-23T13:12:38.000,0,2015-11-25T00:00:00.000,0.0,7,0.0,2015-11-25T00:00:00.000,,82,,NASSAU COURT,2015-10-22T00:00:00.000
199155,34720,,,0,2000-02-26T00:00:00.000,,,9.0,929,,,,0,2000-02-26T00:00:01.000,,7,,2000-02-26T00:00:00.000,LOT25463,28,,,1999-06-03T00:00:00.000
260399,39533,0.0,764,0,2011-06-23T00:00:00.000,,,0.0,867,,,2011-06-06T09:29:34.000,0,2011-06-24T00:00:00.000,0.0,7,1.0,2011-06-24T00:00:00.000,,26,,HOPKINSON AVENUE,2011-06-01T00:00:00.000
20221,31267,,,0,2003-08-07T00:00:00.000,,,1.0,867,,,,0,2003-08-07T00:00:01.000,,6,,2003-08-07T00:00:00.000,LOT90540,26,,,2003-01-15T00:00:00.000
21996300.00%,23415,,,0,2000-12-19T00:00:00.000,,,2.0,867,,,,0,2000-12-19T00:00:01.000,,9,,2000-12-19T00:00:00.000,LOT47176,18,,,2000-12-06T00:00:00.000
89419,8268,,,0,2006-10-11T00:00:00.000,,,0.0,867,,,,0,2006-10-11T00:00:01.000,,7,,2006-10-11T00:00:00.000,LOT150763,46,,,2006-08-17T00:00:00.000
105375,10106,,,0,2007-07-16T00:00:00.000,,,1.0,867,,,,0,2007-07-20T00:00:01.000,,10,,2007-07-20T00:00:00.000,LOT161418,204,,,2007-05-21T00:00:00.000
24652,32593,767.69,,0,2003-10-27T00:00:00.000,,,0.5,867,,,2003-11-19T12:00:19.000,0,2003-10-27T00:00:01.000,,7,,2003-10-27T00:00:00.000,LOT99728,15,835.82,,2003-09-17T00:00:00.000
240872,35564,,,0,1998-01-08T00:00:00.000,,N,2.0,867,,,,0,1998-01-12T00:00:01.000,,6,,1998-01-12T00:00:00.000,LOT44,23,,,1997-02-19T00:00:00.000
7842,22016,,,0,1998-06-02T00:00:00.000,,N,156.0,929,AB-008,,,0,1998-06-18T00:00:01.000,,9,,1998-06-18T00:00:00.000,LOT3786,391,,,1997-10-15T00:00:00.000
157186,16470,489.45,,0,2009-12-30T00:00:00.000,,,0.0,867,,,2010-01-19T15:36:54.000,0,2009-12-30T00:00:01.000,,7,,2009-12-30T00:00:00.000,LOT196087,15,532.89,,2009-11-18T00:00:00.000
103142,27065,,,0,2007-05-23T00:00:00.000,,,0.0,867,,,,0,2007-06-12T00:00:01.000,,7,,2007-06-12T00:00:00.000,LOT160114,30,,,2007-04-30T00:00:00.000
128425,12308,,,0,2008-07-02T00:00:00.000,,,0.0,677,,2008MLDI06030,,0,2008-07-02T00:00:01.000,,7,,2008-07-02T00:00:00.000,LOT176200,12,,,2008-05-28T00:00:00.000
41719,15715,,,0,2004-08-02T00:00:00.000,,,1.0,867,,,,0,2004-08-11T00:00:01.000,,9,,2004-08-11T00:00:00.000,LOT112495,25,,,2004-03-22T00:00:00.000
47741,30302,,,0,1998-01-15T00:00:00.000,,N,140.0,867,,,,0,1998-01-30T00:00:01.000,,9,,1998-01-30T00:00:00.000,LOT831,442,,,1997-08-11T00:00:00.000
231917,36085,,,0,2001-07-12T00:00:00.000,,,17.0,867,,,,0,2001-07-17T00:00:01.000,,7,,2001-07-17T00:00:00.000,LOT55542,149,,,2001-03-21T00:00:00.000
217932,22640,,,0,1998-04-10T00:00:00.000,,N,26.0,867,U-002,,,0,1998-04-14T00:00:01.000,,7,,1998-04-14T00:00:00.000,LOT424,92,,,1997-07-29T00:00:00.000
18858,28207,,,0,1998-06-18T00:00:00.000,,N,22.0,929,AL-204,,,0,1998-06-22T00:00:01.000,,7,,1998-06-22T00:00:00.000,LOT6648,75,,,1997-08-21T00:00:00.000
146846,14373,,,0,2009-06-15T00:00:00.000,,,0.87,867,DK-002,,,0,2009-06-17T00:00:01.000,,7,,2009-06-17T00:00:00.000,LOT188852,103,,,2009-05-20T00:00:00.000
46929,2977,,,0,2004-11-17T00:00:00.000,,,1.72,867,CS-020,,,0,2004-12-01T00:00:01.000,,7,,2004-12-01T00:00:00.000,LOT122712,116,,,2004-09-10T00:00:00.000
305708,47527,0.0,979,0,2014-06-24T00:00:00.000,,,0.11,867,,,2014-06-09T10:50:04.000,0,2014-06-26T00:00:00.000,0.0,7,1.0,2014-06-26T00:00:00.000,,76,,JAMAICA LINE,2014-06-05T00:00:00.000
236142,26171,,,0,2001-09-21T00:00:00.000,,,2.0,867,,,,0,2001-09-21T00:00:01.000,,8,,2001-09-21T00:00:00.000,LOT61413,19,,,2001-09-10T00:00:00.000
156022,33831,,,0,2009-11-30T00:00:00.000,,,1.0,867,DK-002,,,0,2009-12-02T00:00:01.000,,7,,2009-12-02T00:00:00.000,LOT195883,84,,,2009-11-12T00:00:00.000
128349,32661,,,0,2008-07-02T00:00:00.000,,,0.0,867,,,,0,2008-07-03T00:00:01.000,,7,,2008-07-03T00:00:00.000,LOT175320,20,,,2008-04-17T00:00:00.000
209176,20779,,,0,1998-04-08T00:00:00.000,,N,85.0,867,,,,0,1998-04-30T00:00:01.000,,9,,1998-04-30T00:00:00.000,LOT3275,256,,,1998-01-15T00:00:00.000
28812,30991,,,0,2004-02-02T00:00:00.000,,,1.0,867,,,,0,2004-02-02T00:00:01.000,,9,,2004-02-02T00:00:00.000,LOT88267,13,,,2002-07-30T00:00:00.000
96278,9097,,,0,2007-01-26T00:00:00.000,,,1.0,867,CT-002,,,0,2007-01-26T00:00:01.000,,9,,2007-01-26T00:00:00.000,LOT155396,20,,,2006-12-13T00:00:00.000
63395,21335,,,0,2005-09-21T00:00:00.000,,,1.0,677,,2005MLFF03720,,0,2005-09-21T00:00:01.000,,7,,2005-09-21T00:00:00.000,LOT136321,43,,,2005-08-19T00:00:00.000
318948,49592,0.0,64,0,2015-06-24T00:00:00.000,,,0.55,867,ct-007,,2015-06-18T11:38:06.000,0,2015-06-24T00:00:00.000,0.0,6,1.0,2015-06-24T00:00:00.000,,64,,MADISON AVENUE,2015-06-17T00:00:00.000
8735,28716,,,0,2002-11-25T00:00:00.000,,,1.0,867,CF-002,,,0,2002-11-25T00:00:01.000,,7,,2002-11-25T00:00:00.000,LOT71026,25,,,2002-03-27T00:00:00.000
35501,15676,2147.99,,0,2004-05-21T00:00:00.000,,N,2.0,867,,,2004-06-25T12:50:53.000,0,2004-05-21T00:00:01.000,,7,,2004-05-21T00:00:00.000,LOT111042,32,2338.62,,2004-02-24T00:00:00.000
129596,32040,,,0,1998-01-16T00:00:00.000,,N,27.0,929,P-026,,,0,1998-01-29T00:00:01.000,,9,,1998-01-29T00:00:00.000,LOT960,75,,,1997-08-12T00:00:00.000
106529,27320,,,0,2007-07-31T00:00:00.000,,,0.0,867,CR-021,,,0,2007-07-31T00:00:01.000,,10,,2007-07-31T00:00:00.000,LOT164208,56,,,2007-07-23T00:00:00.000
75616,1735,,,0,1998-08-26T00:00:00.000,,N,61.0,929,,,,0,1998-09-18T00:00:01.000,,8,,1998-09-18T00:00:00.000,LOT11369,186,,,1998-04-16T00:00:00.000
173400,11983,,,0,1999-01-13T00:00:00.000,,,18.0,867,,,,0,1999-01-13T00:00:01.000,,7,,1999-01-13T00:00:00.000,LOT17115,56,,,1999-01-06T00:00:00.000
207933,35276,,,0,2000-06-20T00:00:00.000,,,9.0,867,AL-005,,,0,2000-06-20T00:00:01.000,,8,,2000-06-20T00:00:00.000,LOT38382,44,,,2000-05-09T00:00:00.000
93681,8982,,,0,2006-12-19T00:00:00.000,,,1.0,867,CR-021,,,0,2006-12-22T00:00:01.000,,10,,2006-12-22T00:00:00.000,LOT154712,122,,,2006-11-21T00:00:00.000
319864,49734,0.0,8515,0,2015-07-15T00:00:00.000,,,0.0,867,,,2015-07-10T09:43:15.000,0,2015-07-15T00:00:00.000,0.0,7,0.0,2015-07-15T00:00:00.000,,40,,EAST   85 STREET,2015-06-03T00:00:00.000
152969,15217,,,0,2009-10-02T00:00:00.000,,,0.0,867,,,,0,2009-10-02T00:00:01.000,,6,,2009-10-02T00:00:00.000,LOT193349,14,,,2009-09-14T00:00:00.000
797,29202,,,0,2002-06-17T00:00:00.000,,,0.75,867,,,,0,2002-06-18T00:00:01.000,,7,,2002-06-18T00:00:00.000,LOT75032,6,,,2002-04-30T00:00:00.000
146852,14373,,,0,2009-06-16T00:00:00.000,,,0.87,867,CT-010,,,0,2009-06-17T00:00:01.000,,7,,2009-06-17T00:00:00.000,LOT188852,103,,,2009-05-20T00:00:00.000
15163,20493,3482.93,,0,1998-06-16T00:00:00.000,,N,3.0,867,AY-134,,1998-09-28T12:57:19.000,0,1998-06-17T00:00:01.000,,9,,1998-06-17T00:00:00.000,LOT309,17,3792.04,,1997-09-23T00:00:00.000
326088,50733,0.0,77,1,2015-12-11T00:00:00.000,,,0.0,867,cb-505,,2015-11-13T10:20:53.000,0,2015-12-11T00:00:00.000,0.0,10,0.0,2015-12-11T00:00:00.000,,77,,RING ROAD,2015-11-12T00:00:00.000
197329,34722,,,0,2000-01-14T00:00:00.000,,,3.0,929,AL-304,,,0,2000-01-14T00:00:01.000,,7,,2000-01-14T00:00:00.000,LOT25509,12,,,1999-05-03T00:00:00.000
113466,10978,,,0,2007-11-16T00:00:00.000,,,1.0,867,,,,0,2007-11-16T00:00:01.000,,9,,2007-11-16T00:00:00.000,LOT168912,52,,,2007-10-31T00:00:00.000
263271,40077,0.0,16,0,2011-08-24T00:00:00.000,,,0.27,867,,,2011-07-27T11:50:37.000,0,2011-08-25T00:00:00.000,0.0,8,1.0,2011-08-25T00:00:00.000,,58,,,2011-07-22T00:00:00.000
126565,6494,,,0,1998-11-02T00:00:00.000,,N,12.0,929,AF-103,,,0,1998-11-02T00:00:01.000,,7,,1998-11-02T00:00:00.000,LOT14216,37,,,1998-09-14T00:00:00.000
251032,29078,,,0,2002-05-30T00:00:00.000,,,1.0,867,,,,0,2002-05-31T00:00:01.000,,8,,2002-05-31T00:00:00.000,LOT73673,50,,,2002-05-06T00:00:00.000
307541,47697,0.0,,0,2014-08-01T00:00:00.000,,,1.0,927,dc-874,,2014-07-22T10:55:47.000,0,2014-08-07T00:00:00.000,0.0,7,0.0,2014-08-07T00:00:00.000,,184,,DEBEVOISE AVENUE,2014-07-15T00:00:00.000
156557,33840,698.82,,0,2009-12-10T00:00:00.000,,,0.0,867,,,2010-01-19T15:36:54.000,0,2009-12-10T00:00:01.000,,10,,2009-12-10T00:00:00.000,LOT195967,18,760.84,,2009-11-17T00:00:00.000
68187,6121,,,0,2005-11-28T00:00:00.000,,,0.0,867,,,,0,2005-11-28T00:00:01.000,,7,,2005-11-28T00:00:00.000,LOT140174,24,,,2005-11-22T00:00:00.000
185479,12481,3621.41,,0,1999-07-02T00:00:00.000,,,4.0,867,AL-008,,1999-11-04T14:12:06.000,0,1999-07-09T00:00:01.000,,7,,1999-07-09T00:00:00.000,LOT17464,48,3942.81,,1998-09-15T00:00:00.000
101683,9610,,,0,2007-04-17T00:00:00.000,,,8.0,677,,,,0,2007-04-30T00:00:01.000,,9,,2007-04-30T00:00:00.000,LOT158621,114,,,2007-03-20T00:00:00.000
190434,19468,,,0,1999-09-28T00:00:00.000,,,24.0,867,AL-004,,,0,1999-09-28T00:00:01.000,,7,,1999-09-28T00:00:00.000,LOT23266,68,,,1999-04-06T00:00:00.000
