activitydetailid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires,lotid-used_house1
70959,39.0,0,,,,1727.61,,11.3,2010-11-02T14:55:54.000,,,0,,514150,,693,55,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,31429-nan
40222,39.0,0,,,,1805.51,,7.0,2010-11-02T14:55:54.000,,,0,,407969,,693,20,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,9152-nan
29421,39.0,0,,,,,,17.32,2010-11-02T14:55:56.000,,,0,,313570,,694,11,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,3501-nan
219958,39.0,0,,,,,,28.05,2010-11-02T14:55:57.000,,,0,,6688,,694,33,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,126192-nan
232228,39.0,60,,,,,,3.0,2010-11-02T14:55:57.000,,,0,,9902570,,694,62,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,131159-nan
86914,,0,,,,,,19.24,2010-11-02T14:55:57.000,,,0,,610889,,694,84,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,42080-nan
123590,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:56.000,,,0,,807148,,694,48,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,66271-nan
166340,39.0,0,0.0,,,,,1.35,2010-11-02T14:55:56.000,,,0,,1009450,,694,30,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,95227-2012
6870,39.0,0,,,,,,23.14,2010-11-02T14:55:59.000,,,0,,210781,,694,3,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,155739-nan
141782,39.0,0,1.0,,,,,0.37,2010-11-02T14:55:56.000,,,0,,906616,,694,53,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,78278-nan
141344,39.0,0,1.0,,,,,9.0,2010-11-02T14:55:59.000,,,0,,905994,,694,1,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,77631-nan
119025,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:57.000,,,0,,714394,,694,41,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,61840-nan
278167,0.0,0,,,CHESTER STREET,0.0,EAST NEW YORK AVENUE,0.6,2012-07-27T15:14:13.000,,,0,43878.0,1208477,1008681.0,693,23,4.0,,0.0,0,185398-45
7244,40.0,0,,,,,,6.26,2010-11-02T14:55:59.000,,,0,,210622,,694,44,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,156624-nan
239611,39.0,78,,,,,,1.35,2010-11-02T14:55:59.000,,,0,,104159,,694,30,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,136890-nan
148121,39.0,0,1.0,,,,,1.0,2010-11-02T14:55:56.000,,,0,,910118,,694,47,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,82135-nan
19135,39.0,0,,,,,,13.89,2010-11-02T14:55:59.000,,,0,,309735,,694,139,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,167410-nan
86909,,0,,,,,,19.24,2010-11-02T14:55:57.000,,,0,,610889,,694,87,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,42082-nan
31549,39.0,0,,,,,,0.5,2010-11-02T14:55:54.000,,,0,,312501,,694,14,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,2788-nan
72155,39.0,0,,,,,,2.49,2010-11-02T14:55:54.000,,,0,,605353,,694,63,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,33118-nan
284965,0.0,0,,,EAST 125 STREET,423.19,MADISON AVENUE,0.22,2013-02-11T14:12:30.000,,,0,173013.0,1211562,1000828.0,694,48,,,0.0,0,189070-62
218412,40.0,0,,,,724.76,,4.37,2010-11-02T14:55:59.000,,,0,,3474,,694,116,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,119650-nan
325774,0.0,0,,,MYRTLE AVENUE,0.0,NOSTRAND AVENUE,0.03,2015-12-11T09:37:38.000,INSP RICHARDS,,0,9008424.0,1509850,997601.0,694,22,2.0,,0.0,0,210567-774
160362,39.0,0,2.0,,,1410.12,,7.1,2010-11-02T14:55:56.000,,,0,,1005996,,695,28,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,90958-nan
74415,,0,,,,,,311.2,2010-11-02T14:55:59.000,,,0,,9803527,,337,35,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,163718-nan
276769,,0,,,105 STREET,0.0,NORTHERN BOULEVARD,0.15,2012-06-28T11:57:22.000,MARCOS,,0,83306.0,1207711,1021942.0,693,19,,,0.0,0,184613-32-32
234032,39.0,0,,,,,,5.56,2010-11-02T14:55:57.000,,,0,,100318,,337,52,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,135725-nan
22780700.00%,40.0,39,,,,,,299.93,2010-11-02T14:55:59.000,,,0,,7797,,694,901,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,130151-nan
233992,39.0,0,,,,,,23.7,2010-11-02T14:55:59.000,,,0,,104392,,337,51,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,137115-nan
20221,39.0,0,,,,,,5.0,2010-11-02T14:55:59.000,,,0,,305268,,694,55,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,163786-nan
163737,39.0,0,0.0,,,,,0.16,2010-11-02T14:55:56.000,,,0,,1007859,,695,9,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,93015-nan
67880,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,513694,,694,3,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,30611-nan
195737,39.0,0,,,,,,138.79,2010-11-02T14:55:57.000,,,0,,9903600,,694,21,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,108504-nan
120228,39.0,0,1.0,,,,,63.36,2010-11-02T14:55:56.000,,,0,,805689,,694,20,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,64042-nan
178486,40.0,0,,,,,,375.8,2010-11-02T14:55:56.000,,,0,,9805644,,619,1,11.0,PB STATUS = ASSIGNED TO INTAKE,,0,67830-nan
37749,40.0,0,,,,,,2.08,2010-11-02T14:55:56.000,,,0,,407927,,694,1,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,8883-nan
28588,39.0,0,,,,,,7.75,2010-11-02T14:55:54.000,,,0,,311909,,694,63,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,982-nan
24362,39.0,0,,,,392.41,,2.5,2010-11-02T14:55:59.000,,,0,,310356,,694,124,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,169929-nan
93183,39.0,0,,,,,,29.58,2010-11-02T14:55:54.000,,,0,,613445,,694,14,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,45866-nan
292610,,18,1.0,,FULTON STREET,1254.17,SARATOGA AVENUE,0.0,2013-08-05T10:40:06.000,JOHN,,0,167594.0,1307919,1007406.0,694,26,2.0,,0.0,0,192783-1961
174892,,0,,,,,,47.4,2010-11-02T14:55:56.000,,,0,,9701580,,623,17,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,56436-nan
28812,39.0,13,,,,,,2.0,2010-11-02T14:55:59.000,,,0,,210261,,694,42,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,161575-nan
100634,39.0,0,1.0,,,,,6.6,2010-11-02T14:55:54.000,,,0,,707227,,694,13,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,50425-nan
165328,39.0,0,0.0,,,,,0.0,2010-11-02T14:55:56.000,,,0,,1008530,,695,31,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,94024-nan
163277,39.0,21,1.0,,,922.1,,0.4,2010-11-02T14:55:59.000,,,0,,1007483,,694,29,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,92493-nan
173151,,0,,,,,,431.3,2010-11-02T14:55:59.000,,,0,,9804234,,694,33,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,170761-nan
33491,39.0,0,,,,670.06,,2.5,2010-11-02T14:55:54.000,,,0,,406215,,694,12,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,6927-nan
94994,39.0,0,,,,,,0.0,2010-11-02T14:55:54.000,,,0,,613396,,694,25,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,45939-nan
158468,39.0,0,1.0,,,,,0.07,2010-11-02T14:55:56.000,,,0,,1005156,,693,76,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,89781-nan
117642,40.0,0,1.0,,,,,5.55,2010-11-02T14:55:56.000,,,0,,712314,,694,2,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,58764-nan
13068900.00%,39.0,0,1.0,,,870.08,,0.5,2010-11-02T14:55:59.000,,,0,,808001,,693,30,9.0,PB STATUS = ASSIGNED TO INTAKE,,0,67726-nan
235591,39.0,0,,,,,,27.63,2010-11-02T14:55:57.000,,,0,,104381,,694,22,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,136469-nan
137293,39.0,0,1.0,,,,,1.5,2010-11-02T14:55:56.000,,,0,,813246,,331,11,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,74973-nan
21508900.00%,39.0,0,,,,,,77.83,2010-11-02T14:55:57.000,,,0,,6177,,694,26,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,122541-nan
42802,39.0,0,,,,,,7.78,2010-11-02T14:55:56.000,,,0,,410785,,554,78,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,13480-nan
218697,39.0,0,,,,,,15.0,2010-11-02T14:55:57.000,,,0,,7329,,694,2,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,125601-nan
138384,39.0,0,1.0,,,,,1.5,2010-11-02T14:55:56.000,,,0,,813701,,693,34,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,75626-nan
201991,39.0,14,,,,730.74,,2.1,2010-11-02T14:55:57.000,,,0,,9904357,,664,34,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,109674-nan
272147,0.0,0,,,ANDROVETTE AVENUE,0.0,AMBOY ROAD,0.65,2012-03-27T09:15:08.000,,,0,2680.0,1205477,930684.0,694,84,11.0,,0.0,0,181903-28
49143,,32,,,,,,1.0,2010-11-02T14:55:59.000,,,0,,9703094,,623,11,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,154383-nan
267108,0.0,0,,,DEKALB AVENUE,0.0,EVERGREEN AVENUE,0.49,2011-11-23T10:46:02.000,,,0,44695.0,1110496,1004715.0,694,51,12.0,,0.0,0,179408-1280
283410,0.0,20,,,CHRISTOPHER AVENUE,0.0,LIBERTY AVENUE,0.38,2012-12-24T11:47:19.000,,,0,47121.0,1211181,1010154.0,694,30,4.0,,0.0,0,188648-44
265724,0.0,0,,,184 PLACE,15057.25,90 AVENUE,95.7,2011-10-26T15:19:13.000,,,0,171198.0,1109453,1046509.0,694,101,,,0.0,0,178155-90-64
242238,39.0,0,,,,,,3.3,2010-11-02T14:55:57.000,,,0,,2827,,694,6,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,116321-nan
227436,39.0,6,,,,,,0.0,2010-11-02T14:55:57.000,,,0,,103326,,612,29,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,132241-nan
237881,39.0,0,,,,,,30.73,2010-11-02T14:55:57.000,,,0,,4884,,694,42,10.0,PB STATUS = ASSIGNED TO INTAKE,,0,139159-nan
98969,39.0,0,1.0,,,,,0.0,2010-11-02T14:55:54.000,,,0,,706628,,694,42,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,49757-nan
175972,,0,,,,,,492.96,2010-11-02T14:55:57.000,,,0,,9808343,,694,45,6.0,PB STATUS = ASSIGNED TO INTAKE,,0,57399-nan
87417,39.0,82,,,,,,1.99,2010-11-02T14:55:54.000,,,0,,610719,,694,77,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,41663-nan
87417,39.0,82,,,,,,1.99,2010-11-02T14:55:54.000,,,0,,610719,,694,3,4.0,PB STATUS = ASSIGNED TO INTAKE,,0,41651-nan
41386,39.0,0,,,,,,0.25,2010-11-02T14:55:56.000,,,0,,408687,,694,55,8.0,PB STATUS = ASSIGNED TO INTAKE,,0,10285-nan
112573,39.0,0,1.0,,,,,9.94,2010-11-02T14:55:56.000,,,0,,711198,,694,32,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,56617-nan
274072,0.0,0,,,BROOKHAVEN AVENUE,1138.79,CAFFREY AVENUE,0.75,2012-05-07T08:56:16.000,,,0,61795.0,1206219,1053410.0,694,1,,,0.0,0,182718-17-28
270888,0.0,44,,,CHRISTOPHER AVENUE,0.0,LIBERTY AVENUE,0.74,2012-02-24T15:16:44.000,,,0,47121.0,1205553,1010154.0,694,30,4.0,,0.0,0,181985-44
40701,,0,,,,,,61.94,2010-11-02T14:55:59.000,,,0,,9803650,,682,50,7.0,PB STATUS = ASSIGNED TO INTAKE,,0,148100-nan
157503,39.0,132,1.0,,,,,0.37,2010-11-02T14:55:59.000,,,0,,915212,,693,46,1.0,PB STATUS = ASSIGNED TO INTAKE,,0,89296-nan
84901,39.0,0,,,,,,2.42,2010-11-02T14:55:54.000,,,0,,609867,,579,2,12.0,PB STATUS = ASSIGNED TO INTAKE,,0,40251-nan
64721,40.0,0,,,,,,1.47,2010-11-02T14:55:57.000,,,0,,512607,,694,1,2.0,PB STATUS = ASSIGNED TO INTAKE,,0,28725-nan
