resp,sc1,ih5a_2,cc1,ih4_2,bf1amns,fdate,cp10mns,mp1,st2,el13a,cp8,bc1a,sd1wks,cp4,el13c,el12wks,el17c,ih4_3,selchild,mh3,fixd2,cp6a,st3
656,1,,2.0,,5.0,9-Mar-16,,1,2,2.0,40.0,9,,1.0,0.0,,1.0,,,,10452.0,6.0,2
1359,1,,6.0,,5.0,25-Mar-16,,1,4,,40.0,99,6.0,1.0,,6.0,1.0,,,,11218.0,1.0,4
571,1,,2.0,,5.0,8-Mar-16,,1,4,0.0,0.0,9,,1.0,6.0,6.0,2.0,,,,11219.0,4.0,4
165,1,,,,6.0,25-Feb-16,4.0,0,4,,10.0,5,,1.0,,,,,,,10031.0,1.0,1
1215,1,,2.0,,,23-Mar-16,3.0,0,4,,22.0,10,,2.0,,,1.0,,,,11234.0,1.0,4
1206,1,,6.0,,,22-Mar-16,,0,4,,60.0,1,,1.0,,7.0,1.0,,,,11249.0,1.0,4
147,1,,,,4.0,25-Feb-16,3.0,0,2,,20.0,8,,1.0,,,,,,,11213.0,1.0,1
554,1,,5.0,,6.0,8-Mar-16,,1,4,1.0,0.0,11,,1.0,1.0,6.0,2.0,,,,11204.0,5.0,4
1392,1,,6.0,,,25-Mar-16,,0,4,8.0,45.0,2,,1.0,0.0,8.0,1.0,,,,11216.0,1.0,4
804,1,,,,4.0,14-Mar-16,,3,4,,40.0,1,,1.0,,,,,,,11232.0,3.0,4
244,1,,,,5.0,28-Feb-16,,1,4,,40.0,11,,1.0,,,,,,,10027.0,1.0,4
959,1,,,,1.0,18-Mar-16,,1,4,,8.0,8,,1.0,,,,,,,11218.0,1.0,1
1415,1,,1.0,,4.0,25-Mar-16,,0,4,,30.0,12,,2.0,,,2.0,,,,11429.0,1.0,4
201,1,,2.0,,,17-Mar-16,,0,4,0.0,0.0,9,,1.0,12.0,3.0,2.0,,,,10458.0,1.0,4
919,1,,1.0,,3.0,17-Mar-16,,1,4,1.0,,7,,,5.0,8.0,2.0,,,,11203.0,,4
