other,owner_s__house_street,zoning_distr_1,landmarked,block,special_distr_1,proposed_occupancy,pre_filing_date,zoning_distr_2,fully_permitted,owner_type_description
X,MADISON AVE                     ,C6-4        ,,142,,J-2 ,2014-01-24T00:00:00.000,,2014-02-11T00:00:00.000,PARTNERSHIP                             
X,GRACE AVENUE                    ,R8B         ,,891,,RES ,2013-10-22T00:00:00.000,,2013-11-13T00:00:00.000,PARTNERSHIP                             
X,BROADWAY                        ,C6-6        ,,1025,MID   ,RES ,2015-04-27T00:00:00.000,,2015-06-04T00:00:00.000,CORPORATION                             
X,PARK AVENUE                     ,R10         ,Y,1405,PI    ,G   ,2015-04-13T00:00:00.000,,2015-09-17T00:00:00.000,PARTNERSHIP                             
X,NEW STREET                      ,R10         ,,892,,RES ,2014-09-12T00:00:00.000,,2014-10-16T00:00:00.000,CORPORATION                             
X,WEST 44TH STREET                ,R8          ,,1055,CL    ,J-2 ,2015-03-16T00:00:00.000,,2016-08-19T00:00:00.000,CORPORATION                             
X,WEST 72ND STREET                ,C2-8        ,,1242,,RES ,2014-12-09T00:00:00.000,,2015-09-28T00:00:00.000,CORPORATION                             
X,10TH AVENUE                     ,R8          ,,1054,CL    ,J-2 ,2014-03-06T00:00:00.000,,2014-04-11T00:00:00.000,PARTNERSHIP                             
X,YUKON DRIVE                     ,R10         ,,1550,,RES ,2013-08-08T00:00:00.000,,2014-02-28T00:00:00.000,CORPORATION                             
X,N CENTRAL AVENUE                ,C4-6A       ,Y,1229,,RES ,2014-11-14T00:00:00.000,,2015-01-08T00:00:00.000,CORPORATION                             
X,WEST 26TH STREET                ,M1-6        ,,806,,COM ,2014-01-31T00:00:00.000,,2014-03-07T00:00:00.000,PARTNERSHIP                             
X,EAST 38TH STREET                ,R10         ,Y,1386,PI    ,RES ,2013-04-30T00:00:00.000,,2013-06-27T00:00:00.000,CORPORATION                             
X,GRACE AVENUE                    ,R7A         ,Y,463,,RES ,2014-01-22T00:00:00.000,,2014-10-09T00:00:00.000,PARTNERSHIP                             
X,7TH AVENUE                      ,R8          ,,2137,,RES ,2015-02-26T00:00:00.000,,2016-07-27T00:00:00.000,PARTNERSHIP                             
X,7TH AVE                         ,C6-4        ,,731,HY    ,COM ,2013-07-29T00:00:00.000,,2014-01-21T00:00:00.000,PARTNERSHIP                             
X,SYLVAN WAY                      ,R7-2        ,,978,,RES ,2015-04-23T00:00:00.000,C1-7        ,2016-12-29T00:00:00.000,CORPORATION                             
X,80 AVENUE                       ,R8B         ,,1432,,RES ,2014-04-07T00:00:00.000,,2014-08-19T00:00:00.000,PARTNERSHIP                             
X,BRYANT PARK                     ,C4-7        ,,1105,CL    ,COM ,2013-08-08T00:00:00.000,M1-5        ,2013-09-23T00:00:00.000,PARTNERSHIP                             
X,WEST 57TH STREET                ,C6-2A       ,,766,,COM ,2014-08-13T00:00:00.000,,2014-09-16T00:00:00.000,PARTNERSHIP                             
X,PARK AVE                        ,C5-3        ,Y,1305,MID   ,PUB ,2013-06-26T00:00:00.000,C5-2.5      ,2013-09-18T00:00:00.000,PARTNERSHIP                             
X,SECOND AVENUE                   ,R8B         ,,1530,,RES ,2015-03-26T00:00:00.000,,2015-03-30T00:00:00.000,PARTNERSHIP                             
X,BROADWAY                        ,R7-2        ,,1630,,RES ,2013-06-12T00:00:00.000,,2013-09-30T00:00:00.000,PARTNERSHIP                             
X,WALSH DRIVE                     ,C1-9        ,,918,TA    ,RES ,2014-06-27T00:00:00.000,,2014-08-25T00:00:00.000,PARTNERSHIP                             
X, WEST 125TH STREET              ,R7A         ,,1982,125   ,RES ,2013-06-12T00:00:00.000,,2013-08-16T00:00:00.000,CORPORATION                             
X,E. 42 STREET                    ,C5-3        ,,1280,MID   ,B-1 ,2015-04-02T00:00:00.000,,2015-04-27T00:00:00.000,PARTNERSHIP                             
X,WEST 48TH STREET                ,C6-7        ,,1024,MID   ,COM ,2014-07-03T00:00:00.000,,2014-08-12T00:00:00.000,PARTNERSHIP                             
X,PARK AVENUE                     ,C5-3        ,,1286,MID   ,E   ,2013-06-11T00:00:00.000,C5-2.5      ,2013-07-15T00:00:00.000,CORPORATION                             
X,6TH AVE                         ,C6-2A       ,Y,794,,COM ,2014-02-10T00:00:00.000,C6-3A       ,2014-07-23T00:00:00.000,PARTNERSHIP                             
X,5TH AVENUE                      ,R8B         ,,925,,RES ,2015-04-10T00:00:00.000,C1-6A       ,2015-08-25T00:00:00.000,PARTNERSHIP                             
X,WEST 143RD STREET               ,R7-2        ,,2012,,RES ,2013-07-12T00:00:00.000,,2013-08-08T00:00:00.000,CORPORATION                             
X,FIFTH AVENUE                    ,C4-6A       ,,1235,,RES ,2014-03-18T00:00:00.000,,2014-04-04T00:00:00.000,CORPORATION                             
X,WEST 48TH STREET                ,C6-4.5      ,,1263,MID   ,COM ,2013-05-06T00:00:00.000,,2013-06-04T00:00:00.000,PARTNERSHIP                             
