job_description,job_status,owner_s__house__,applicant_professional_title,owner_s__phone__,pc_filed,zip_code,other_description,doc__,initial_cost,building_type,zoning_distr_3,approved
"INSTALLATION OF TELECOMMUNICATION ANTENNA COMPONENTS ON THE ROOF. ALL WORK IS IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,1           ,PE,9733974814, ,10573,ANTENNA        ,1,5000.0,OTHER,,2015-09-12T00:00:00.000
"ANTENNA MODIFICATION OF EXISTING SITE. REPLACE AND ADD ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS. OR OCCUPANCY. ",R,462         ,PE,2125192006, ,10018,ANTENNA        ,1,6300.0,OTHER,,2013-07-24T00:00:00.000
"LEGALIZATION OF EXISTING TELECOMMUNICATION ROOM IN SUB-CELLAR WITH RELATED       ANTENNAS. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR    OCCUPANCY.                                                                      ",R,567         ,RA,2126850709, ,10016,ANTENNA        ,1,35000.0,OTHER,,2013-12-06T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS SHELTER ON ROOF.  REMOVAL OF RELATED      ANTENNAS ON FACADE.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO        OCCUPANCY, USE, OR EGRESS.                                                      ",R,167-41      ,PE,4843587841, ,11434,ANTENNA        ,1,20000.0,OTHER,,2013-07-08T00:00:00.000
"INSTALLATION OF TELECOMMUNICATION ANTENNA COMPONENTS ON THE ROOF. ALL WORK IS IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,155         ,PE,9733974814, ,10024,ANTENNA        ,1,10000.0,OTHER,,2015-12-14T00:00:00.000
"REMOVAL OF TELECOMMUNICATIONS FROM ROOF AND BASEMENT. NO CHANGE IN USE, EGRESS   OR OCCUPANCY.                                                                   ",R,161         ,PE,2125451800, ,10016,ANTENNA        ,1,30000.0,OTHER,,2013-08-05T00:00:00.000
"INSTALLING TELECOMMUNICATIONS CABINET WITH RELATED ANTENNAS ON THE ROOF.ALL IN   CONFORMANCE WITH TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.               ",R,260         ,PE,2129860001, ,10016,ANTENNA        ,1,7600.0,OTHER,,2014-10-24T00:00:00.000
"REPLACEMENT OF EXISTING TELECOMMUNICATIONS ANTENNAS AND INSTALLATION OF RELATED  RRH UNITS ON ROOF.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO         OCCUPANCY, USE, OR EGRESS.                                                      ",R,300         ,PE,2019134115, ,7003,ANTENNA        ,1,10000.0,OTHER,,2015-05-15T00:00:00.000
"MODIFICATION OF EXISTING TELECOMMUNICATION SITE.  REPLACE (9) ANTENNAS WITH      RELATED RRH AND INSTALL (1) GPS ANTENNA ON ROOF.  ALL WORK IN CONFORMANCE WITH   TPPN #5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                            ",R,52          ,PE,2126975454, ,10017,ANTENNA        ,1,10900.0,OTHER,,2014-11-20T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE.  ADD/REPLACE ANTENNAS WITH     RELATED RRH UNITS ON ROOF.  ALL WORK IN CONFORMANCE WITH TPPN #5/98.  NO CHANGE  IN USE, EGRESS, OR OCCUPANCY.                                                   ",R,330         ,PE,2125641521, ,10017,ANTENNA        ,1,3100.0,OTHER,,2015-06-19T00:00:00.000
"INSTALLATION OF ADDITIONAL TELECOMMUNICATIONS CABINET ON EXISTING DUNNAGE ON     ROOF.  INSTALLATION OF RELATED ANTENNAS ON ROOF.  ALL WORK IN COMPLIANCE WITH    TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.                             ",R,43          ,RA,2015710700, ,10002,ANTENNA        ,1,25000.0,OTHER,,2013-10-17T00:00:00.000
"INSTALLATION OF NEW TELECOMMUNICATIONS ANTENNA SECTORS ON THE ROOF. INSTALLATION OF TELECOMMUNICATIONS EQUIPMENT CABINETS ON NEW STEEL PLATFORM ON THE ROOF.      ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.   ",R,207         ,PE,2123151717, ,10001,ANTENNA        ,1,90000.0,OTHER,,2015-03-16T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. REPLACE (4) EXISTING ANTENNAS ON ROOF.    ALL WORK IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.  ",R,55          ,PE,2122066093, ,10013,ANTENNA        ,1,4400.0,OTHER,,2014-11-14T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS WITH RAIN CANOPY, RELATED DUNNAGE, AND RELATED ANTENNAS ON THE ROOF AND LOWER ROOF.  ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,100         ,PE,9736437700, ,7102,ANTENNA        ,1,97000.0,OTHER,,2017-06-22T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. REPLACE (1) EXISTING CABINET ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,2017573053, ,7054,ANTENNA        ,1,4500.0,OTHER,,2016-06-16T00:00:00.000
"INSTALLING TELECOMMUNICATIONS CABINET ON PLATFORM WITH RELATED ANTENNAS ON THE   ROOF.ALL IN CONFORMANCE WITH TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.   ",R,18          ,PE,2126833003, ,10001,ANTENNA        ,1,10500.0,OTHER,,2014-12-30T00:00:00.000
"INSTALLATION OF RRU UNITS ON ROOF. INSTALLATION OF ANTENNAS ON THE ROOF. ALL     WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE TO OCCUPANCY, USE, OR EGRESS.     ",R,4           ,PE,9733974814, ,7054,ANTENNA        ,1,15000.0,OTHER,,2015-05-28T00:00:00.000
"CREATE NEW TELECOMMUNICATIONS ROOM ON THE 6TH FLOOR. RELATED GPS ANTENNAS ON ROOF. RELATED CONDUITS IN SUB BASEMENT, 20TH & 38TH FLOORS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.RELATED HVAC ON 6TH FLR",R,888         ,PE,2128947000, ,10019,ANTENNA        ,1,75000.0,OTHER,,2017-03-31T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS ANTENNAS ON THE ROOF.ALL IN CONFORMANCE WITH  TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.                                ",R,101         ,PE,2122556925, ,10014,ANTENNA        ,1,6300.0,OTHER,,2014-06-27T00:00:00.000
"RELOCATION TELECOMMUNICATIONS EQUIPMENT FROM ROOF TO BASEMENT AND                RECONFIGURATION OF ANTENNAS ON ROOF. RELATED HVAC IN BASEMENT, AND CONDENSING    UNIT UNIT ON ROOF. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE TO USE,      EGRESS OR OCCUPANCY.                                                            ",R,420         ,PE,2129242355, ,10014,ANTENNA        ,1,60000.0,OTHER,,2014-05-02T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. REPLACING (8) ANTENNAS WITH    RELATED RRH UNITS AND INSTALLING (1) GPS UNIT ON THE ROOF. ALL IN CONFORMANCE    WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                         ",R,734         ,PE,5168377000, ,11598,ANTENNA        ,1,9800.0,OTHER,,2015-01-22T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE.  INSTALL ANTENNAS AND RELATED RRH UNITS ON ROOF. ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,2017573053, ,7054,ANTENNA        ,1,3000.0,OTHER,,2015-05-06T00:00:00.000
"REMOVAL OF EXISTING TELECOMMUNICATIONS EQUIPMENT AND DUNNAGE ON ROOF.  REMOVAL   OF RELATED ANTENNAS ON ROF AND FACADE.  ALL WORK IN COMPLIANCE WITH TPPN 5/98.   NO CHANGE TO OCCUPANCY, USE, OR EGRESS.                                         ",R,643         ,PE,2127578888, ,10036,ANTENNA        ,1,20000.0,OTHER,,2013-07-08T00:00:00.000
"INSTALLATION OF RRU UNITS ON TO AN EXISTING TELECOMMUNICATION SITE ON THE ROOF. ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,734         ,PE,9733974814, ,11598,ANTENNA        ,1,10000.0,OTHER,,2016-12-14T00:00:00.000
"INSTALLATION OF NEW AND REPLACEMENT OF EXISTING TELECOMMUNICATIONS ANTENNAS ON   THE ROOF.    ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR  OCCUPANCY.                                                                      ",R,22          ,PE,2125878580, ,10007,ANTENNA        ,1,10000.0,OTHER,,2015-05-20T00:00:00.000
"INSTALLING NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY. ",R,244         ,PE,2125829080, ,10019,ANTENNA        ,1,87000.0,OTHER,,2013-09-11T00:00:00.000
"INSTALLTION OF EQUIPMENT CABINETS AND RELATED ANTENNAS ON THE ROOF.ALL IN        CONFORMANCE WITH TPPN# 5/98. NO CHANGE IN USE,EGRESS OR OCCUPANCY.              ",R,350         ,PE,2122442266, ,10031,ANTENNA        ,1,25550.0,OTHER,,2013-06-17T00:00:00.000
"INSTALLING A PREFABRICATED TELECOMMUNICATIONS SHELTER WITH HVAC ON STEEL         PLATFORM ON ROOF.INSTALLING PROPOSED ANTENNAS ON THE ROOF.ALL IN CONFORMANCE     WITH TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.                           ",R,500         ,PE,9736220073, ,7666,ANTENNA        ,1,59000.0,OTHER,,2014-12-18T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXISTING STEEL PLATFORM ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,360         ,PE,2123217500, ,10001,ANTENNA        ,1,9500.0,OTHER,,2014-07-11T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,160         ,PE,2123492154, ,10038,ANTENNA        ,1,97000.0,OTHER,,2014-01-24T00:00:00.000
INSTALLATION OF ANTENNA DISH ON ROOF. REPLACEMENT OF ANTENNA ON ROOF.            INSTALLATION OF CABINET ON 19TH FLOOR AS PER PLANS. ALL WORK IN COMPLIANCE WITH  TPPN 5/98 NO CHANGE INTO USE EGRESS OR OCCUPANCY.                               ,R,55          ,PE,2122065694, ,10003,ANTENNA        ,1,15000.0,OTHER,,2013-12-24T00:00:00.000
"MODIFICATION OF EXISTING SITE. INSTALLING ONE ADDITIONAL EQUIPMENT CABINET,      REPLACE AND ADD ADDITIONAL ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                             ",R,225         ,PE,2127366888, ,10122,ANTENNA        ,1,20100.0,OTHER,,2014-06-04T00:00:00.000
"ANTENNA MODIFICATION OF EXISTING SITE. REPLACING EXISTING AND ADDING AN          ADDITIONAL ANTENNA ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO   CHANGE IN USE, EGRESS, OR OCCUPANCY.                                            ",R,1855        ,PE,5166861199, ,10023,ANTENNA        ,1,6500.0,OTHER,,2013-09-09T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE.  REPLACE/INSTALL ANTENNAS WITH  RELATED RRH UNITS ON ROOF.  ALL WORK IN CONFORMANCE WITH TPPN #5/98.  NO CHANGE  IN USE, EGRESS, OR OCCUPANCY.                                                   ",R,57          ,PE,2126339985, ,10018,ANTENNA        ,1,11000.0,OTHER,,2015-03-16T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS EQUIPMENT ON THE 15TH FLOOR. RELATED GPS ON ROOF. NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                          ",R,888         ,PE,2128947000, ,10106,ANTENNA        ,1,50000.0,OTHER,,2014-12-29T00:00:00.000
"MODIFICATION OF EXISTING TELECOMMUNICATIONS FACILITY. INSTALLATION OF CABINETS, RRH UNITS, ACCESS STAIRS, CROSS OVER ONROOF.  RELOCATION OF ANTENNAS ON THE ROOF.  ALL WORK IS IN COMPLIANCE WITH TPPN 5/98 NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,9733974814, ,7054,ANTENNA        ,1,20000.0,OTHER,,2016-09-19T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. REPLACING (3) EXISTING ANTENNAS THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,2017573053, ,7054,ANTENNA        ,1,3300.0,OTHER,,2018-01-11T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,29-46       ,RA,9175842996, ,11360,ANTENNA        ,1,77000.0,OTHER,,2013-07-16T00:00:00.000
MODIFICATION TO EXISTING TELECOMMUNICATIONS INSTALLATION. REPLACE AND ADD        ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN 5/98. INSTALL ADDITIONAL               TELECOMMUNICATIONS CABINETS ON EXISTING ROOF DUNNAGE.                           ,R,295         ,PE,2129513800, ,10017,ANTENNA        ,1,50000.0,OTHER,,2013-06-22T00:00:00.000
"MODIFICATION OF EXISTING SITE. INSTALLING A NEW STEEL PLATFORM ON THE ROOF AND   RELOCATING EXISTING TELECOMMUNICATION CABINETS ON TO THE NEW PLATFORM. REMOVAL   OF EXISTING PLATFORM. RELOCATING (5) EXISTING ANTENNAS ON THE ROOF. ALL WORK IS  IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.         ",R,80          ,PE,2125665372, ,10038,ANTENNA        ,1,53800.0,OTHER,,2014-10-30T00:00:00.000
"RELOCATE TELECOMMUNICATIONS ANTENNAS ON THE ROOF.ALL IN CONFORMANCE WITH TPPN#   5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.                                      ",R,675         ,PE,2124736288, ,10003,ANTENNA        ,1,14000.0,OTHER,,2013-10-16T00:00:00.000
"INSTALL RRU UNITS ON TO A EXISTING TELECOMMUNICATION SITE ON THE ROOF. ALL WORK IN COMPLIANCE WITH TTPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,417         ,PE,9733974814, ,10016,ANTENNA        ,1,10000.0,OTHER,,2016-02-18T00:00:00.000
"INSTALLATION OF TELECOMMUNICATION ANTENNAS AND ANTENNA COMPONENTS ON THE ROOF.   REMOVAL OF ANTENNA ON THE ROOF. ALL WORK IS IN COMPLIANCE WITH TPPN 5/98. NO     CHANGE IN USE, EGRESS OR OCCUPANCY.                                             ",R,30          ,PE,2127069048, ,10005,ANTENNA        ,1,10000.0,OTHER,,2015-04-30T00:00:00.000
"REPLACE (6) TELECOMMUNICATIONS ANTENNAS ON ROOF. INSTALL (3) ADDITIONAL ANTENNAS ON THE ROOF.ALL IN CONFORMANCE WITH TPPN# 5/98.NO CHANGE IN USE,EGRESS OR        OCCUPANCY.                                                                      ",R,75          ,PE,6034363163, ,3801,ANTENNA        ,1,9600.0,OTHER,,2013-09-13T00:00:00.000
"MODIFICATION OF EXISTING SITE. REPLACE EXISTING TELECOMMUNICATIONS CABINETS ON   ROOF. REPLACE AND ADD ANTENNAS ON ROOF. ALL IN CONFORMANCE WITH TPPN #5/98. NO   CHANGE IN USE, EGRESS OR OCCUPANCY.                                             ",R,3530        ,PE,7044056539, ,28277,ANTENNA        ,1,32000.0,OTHER,,2013-08-14T00:00:00.000
"INSTALLATION OF RRU UNITS ON THE ROOF. ALL WORK IS IN COMPLIANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,2340        ,PE,9733974814, ,10027,ANTENNA        ,1,10000.0,OTHER,,2015-10-20T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS CABINETS ON THE ROOF.REPLACE ANTENNAS ON THE  ROOF.ALL IN CONFORMANCE WITH TPPN# 5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.   ",R,90          ,PE,2123066936, ,10007,ANTENNA        ,1,25400.0,OTHER,,2014-03-03T00:00:00.000
"REPLACE (3) ANTENNAS WITH RELATED RRH, INSTALL (1) NEW GPS ANTENNA, AND INSTALL  (1) NEW EQUIPMENT CABINET IN EXISTING SHELTER ON ROOF. ALL IN CONFORMANCE WITH   TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                              ",R,1176        ,PE,2124100307, ,10029,ANTENNA        ,1,10800.0,OTHER,,2014-04-10T00:00:00.000
INSTALLATION OF ADDIOIONAL TELECOM CABINET ON EXSTG DUNNAGE ON ROOF INSTALLATI   ON OF RELATED ANTENNAS ON ROOF ALL WORK IN COMPLIANCE WITH TPPN 5/98 NO CHANGE   IN USE EGRESS OR OCCUPANCY                                                      ,R,15910       ,RA,3015710700, ,11358,ANTENNA        ,1,25000.0,OTHER,,2013-03-27T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. INSTALLATION AND REPLACEMENT OF ANTENNAS WITH RELATED RRH UNITS ON THE ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,872         ,PE,2122887380, ,10021,ANTENNA        ,1,3200.0,OTHER,,2016-01-11T00:00:00.000
"INSTALLATION OF (4) TELECOMMUNICATIONS ANTENNAS, (2) GPS ANTENNAS, AND (4)       EQUIPMENT CABINETS ON ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                                           ",R,14          ,PE,5168897456, ,10122,ANTENNA        ,1,32000.0,OTHER,,2014-11-17T00:00:00.000
"REPLACE TELCOMMUNICATIONS ANTENNAS ON THE ROOF.ALL IN CONFORMANCE WITH TPPN#     5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.                                      ",R,217         ,PE,2127321024, ,10007,ANTENNA        ,1,6600.0,OTHER,,2013-07-24T00:00:00.000
"MODIFICATION OF EXISTING ANTENNA SITE. REPLACE EXISTING TELCOM CABINET ON THE ROOF IN CONFORMANCE WITH TPPN#5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,4           ,PE,9733974800, ,7054,ANTENNA        ,1,15100.0,OTHER,,2018-01-22T00:00:00.000
"INSTALLATION OF TELECOMMUNICATIONS ANTENNAS AND RELATED EQUIPMENT ON THE ROOF.   ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.      ",R,31-10       ,PE,7182670300, ,11101,ANTENNA        ,1,32000.0,OTHER,,2015-05-07T00:00:00.000
"INSTALLATION OF ADDITIONAL TELECOMMUNICATIONS CABINET ON EXISTING DUNNAGE ON R   OOF. INSTALLATION OF RELATED ANTENNAS ON ROOF. ALL WORK IN COMPLIANCE WITH TPP N #5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                   ",R,89          ,PE,2015710700, ,10003,ANTENNA        ,1,25000.0,OTHER,,2014-02-06T00:00:00.000
"MODIFICATION OF EXSTG ANTENNA SITE. INSTALLING (3) ADDITIONAL ANTENNAS ON THE    ROOF. INSTALLING (1) ADDITIONAL CABINET ON EXSTG STEEL PLATFORM ON THE ROOF. A   LL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS OR OCCUPAN   CY.                                                                             ",R,888         ,PE,2126601211, ,10019,ANTENNA        ,1,9500.0,OTHER,,2014-04-09T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE. REPLACE ANTENNAS WITH RELATED   RRH UNITS ON 3RD FLOOR ROOF.  ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                                   ",R,767         ,PE,2122070200, ,10153,ANTENNA        ,1,3300.0,OTHER,,2015-04-24T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,ONE         ,PE,2127777488, ,10111,ANTENNA        ,1,57000.0,OTHER,,2013-11-04T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS RELATED DUNNAGE AND RELATED ANTENNAS ON  ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,347         ,PE,2127591300, ,10016,ANTENNA        ,1,77000.0,OTHER,,2013-10-11T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATION SITE. REPLACE AND INSTALL RRH UNITS ON ROOF.  ALL WORK IN CONFORMANCE WITH TPPN#5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,1185        ,PE,2122652280, ,10036,ANTENNA        ,1,12600.0,OTHER,,2016-02-29T00:00:00.000
"ANTENNA MODIFICATION OF EXISTING SITE. REPLACE AND ADD ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR EGRESS.    ",R,33          ,PE,2128710933, ,10006,ANTENNA        ,1,18600.0,OTHER,,2013-11-12T00:00:00.000
"INSTALLATION OF RRU UNITS ON TO AN EXISTING TELECOMMUNICATION SITE ON THE ROOF. ALL WORK IN COMPLIANCE WITH TTPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",R,170         ,PE,9733974814, ,10011,ANTENNA        ,1,10000.0,OTHER,,2016-01-11T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE.  REPLACE (3) ANTENNAS WITH     RELATED RRH AND INSTALL (2) GPS ANTENNAS ON ROOF.  ALL WORK IN CONFORMANCE WITH  TPPN #5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                            ",R,PO BOX      ,PE,7182635211, ,11375,ANTENNA        ,1,5300.0,OTHER,,2014-10-06T00:00:00.000
"ANTENNA MODIFICATION OF EXISTING SITE. REPLACING EXISTING ANTENNAS ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,134         ,PE,2129290510, ,10001,ANTENNA        ,1,6600.0,OTHER,,2013-08-01T00:00:00.000
"MODIFICATION TO EXISTING TELECOMMUNICATIONS SITE. INSTALLATION OF ANTENNAS WITH RELATED RRH UNITS AND REPLACEMENT OF EQUIPMENT CABINET ON THE ROOF. ALL IN CONFORMANCE WITH TPPN 5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",R,4           ,PE,9733974800, ,7054,ANTENNA        ,1,7500.0,OTHER,,2015-05-28T00:00:00.000
"MODIFICATION OF EXISTING SITE. INSTALLING (12) ADDITIONAL ANTENNAS ON THE ROOF.  ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR         OCCUPANCY.                                                                      ",R,250         ,PE,2125573600, ,10017,ANTENNA        ,1,12000.0,OTHER,,2014-03-17T00:00:00.000
"INSTALLATION OF RRU UNITS ON TO AN EXISTING TELECOMMUNICATION SITE ON THE ROOF.  ALL WORK IN COMPLIANCE WITH TTPN 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.   ",R,799         ,PE,9733974814, ,10003,ANTENNA        ,1,10000.0,OTHER,,2015-04-25T00:00:00.000
"REPLACING (6) EXISTING ANTENNAS ON ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN    #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                  ",R,10818       ,PE,7182615235, ,11375,ANTENNA        ,1,6600.0,OTHER,,2013-11-20T00:00:00.000
"MODIFICATION OF EXISTING SITE. REPLACING (6) EXISTING ANTENNAS AND INSTALLING    (3) ADDITIONAL ANTENNAS ON THE ROOF. ALL WORK IS IN CONFORMANCE WITH TPPN #5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                         ",R,28          ,PE,2123022025, ,10036,ANTENNA        ,1,9600.0,OTHER,,2013-07-08T00:00:00.000
"INSTALL NEW TELECOMMUNCATIONS ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN #5/98.   NO CHANGE IN USE, EGRESS OR OCCUPANCY.                                          ",R,6           ,PE,5164394001, ,11021,ANTENNA        ,1,20000.0,OTHER,,2013-05-28T00:00:00.000
"INSTALLATION OF ADDITIONAL TELECOMMUNICATIONS EQUIPMENT CABINET ON THE EXISTING EQUIPMENT PLATFORM ON THE ROOF.    ALL WORK IN COMPLIANCE WITH TPPN 5/98. NO CHANGE TO USE, EGRESS, OR OCCUPANCY",R,219         ,PE,2122492610, ,10028,ANTENNA        ,1,10000.0,OTHER,,2016-06-08T00:00:00.000
"INSTALL TELECOMMUNICATIONS EQUIPMENT IN BASEMENT. RELATED ANTENNAS ON ROOF. ALL  IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.         ",R,305         ,PE,2127878302, ,10036,ANTENNA        ,1,58000.0,OTHER,,2013-11-01T00:00:00.000
"INSTALL NEW TELECOMMUNICATIONS CABINETS, RELATED DUNNAGE AND RELATED ANTENNAS ON ROOF IN CONFORMANCE WITH TPPN # 5/98. NO CHANGE IN USE, EGRESS OR OCCUPANCY.    ",R,140         ,PE,9143902072, ,10007,ANTENNA        ,1,154000.0,OTHER,,2014-10-23T00:00:00.000
"INSTALLATION OF ANTENNA SECTORS ON ROOF. ALL WORK IN COMPLIANCE WITH TPPN 5/98.  NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                         ",R,1568        ,PE,2064846764, ,10036,ANTENNA        ,1,30000.0,OTHER,,2013-12-05T00:00:00.000
"INSTALLATION OF (3) ADDITIONAL RRH UNITS ON ROOF. ALL IN CONFORMANCE WITH TPPN   5/98. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.                                   ",R,14          ,PE,9083980520, ,7054,ANTENNA        ,1,3000.0,OTHER,,2014-09-25T00:00:00.000
"MODIFICATION OF EXISTING SITE. REPLACING (9) EXISTING AND INSTALLING (2)         ADDITIONAL TELECOMMUNICATION ANTENNAS ON THE ROOF. INSTALLING (1) ADDITIONAL     CABINET IN EXISTING TELECOM ROOM ON 6TH FLOOR. ALL IN CONFORMANCE WITH TPPN#     5/98.NO CHANGE IN USE,EGRESS OR OCCUPANCY.                                      ",R,635         ,PE,2128880800, ,10022,ANTENNA        ,1,18400.0,OTHER,,2014-07-03T00:00:00.000
