bin__,paid,cluster,street_name,existing_occupancy,pc_filed,job_status_descrp,proposed_zoning_sqft,enlargement_sq_footage,job_type,owner_s_business_name,loft_board,gis_census_tract,fully_paid,zoning_dist2,fire_suppression,adult_estab,existing_dwelling_units,zoning_dist1,fully_permitted,proposed_occupancy,doc__,efiling_filed,vertical_enlrgmt,job_no_good_count,building_class,building_type
4116659,04/30/2021,N,BOOTH MEMORIAL AVE,,,PLAN EXAM - DISAPPROVED,0,0,A3,,N,799.0,04/30/2021,R4,,N,,R3X,,,1,Y,,0,A1,1-2-3 FAMILY
3189538,11/09/2006,,WEST   25 STREET,G,N,SIGNED OFF,0,0,A3,NY SCHOOL CONSTRUCTION AUTHORITY,N,342.0,11/09/2006,,,N,,R6,11/09/2006,,1,,,0,W1,OTHERS
3071328,01/13/2005,,BROADWAY,E,Y,SIGNED OFF,0,0,A2,LINCOLN PROP DEV. LLC C/O,,491.0,01/13/2005,,,N,,C4-4,02/09/2005,,1,,,0,E9,OTHERS
3011626,10/16/2018,N,6TH AVENUE,R-2,,PERMIT ISSUED - ENTIRE JOB/WORK,6261,4004,A2,4520 HE XING LLC,N,96.0,10/16/2018,,,N,8.0,R6A,10/02/2019,R-2,1,Y,Y,0,C7,OTHERS
3018578,02/08/2005,,5 AVENUE,F-4,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,59 5TH AVENUE LLC.,,12902.0,02/08/2005,,X,N,,C1-4,02/18/2005,,1,,,0,S3,OTHERS
3031537,11/17/2004,,PARK PLACE,RES,N,PLAN EXAM - DISAPPROVED,0,0,A1,,N,31701.0,12/22/2004,,,N,,R6,,RES,1,,,0,C3,OTHERS
3006423,12/01/2015,N,BALTIC STREET,,,SIGNED OFF,11936,0,NB,"PS-5 DEVELOPMENT, LLC",N,69.0,12/01/2015,,,N,,R6B,06/15/2020,R-2,1,Y,,0,R0,OTHERS
1090392,03/09/2017,N,WEST 37TH STREET,,,SIGNED OFF,0,0,A3,"44 W 37 LLC, SIONI GROUP",N,84.0,03/09/2017,,,N,,M1-6,03/20/2017,,1,Y,,0,O6,OTHERS
3389186,06/28/2004,,FOUNTAIN AVENUE,J-3,Y,SIGNED OFF,0,0,A3,NU SOURCE DEVELOPERS LLC.,,1192.0,06/28/2004,R5,,N,,C2-3,06/30/2004,,1,,,0,B1,1-2-3 FAMILY
3338071,10/14/2004,,GRAHAM AVENUE,,Y,COMPLETED,0,0,SI,,,497.0,10/14/2004,,,N,,,,,1,,,0,S2,OTHERS
4279001,05/03/2021,N,231 STREET,R-3,,SIGNED OFF,0,0,A2,,N,618.0,05/03/2021,,,N,1.0,R2A,05/10/2021,R-3,1,Y,,0,A2,1-2-3 FAMILY
3428846,06/15/2020,N,DELMONICO PLACE,,,SIGNED OFF,5288,0,NB,P36 LLC,N,257.0,06/15/2020,,,N,,R6A,11/30/2021,R-2,1,Y,,0,C1,OTHERS
3326906,01/27/2005,,EMMONS AVENUE,J-1,Y,SIGNED OFF,0,0,A2,,,622.0,01/27/2005,R5,,N,,C2-2,02/10/2005,,1,,,0,H3,OTHERS
4118235,11/02/2018,N,QUINCE AVENUE,J-3,,SIGNED OFF,0,0,DM,,N,1203.0,11/02/2018,,,N,1.0,R3X,01/24/2019,,1,Y,,0,B3,1-2-3 FAMILY
1081138,07/19/2001,,WEST   57 STREET,COM,Y,SIGNED OFF,0,0,A2,Delben Corp. N.V.,N,11201.0,07/19/2001,,,N,,C5-3,08/22/2001,,1,,,0,V1,OTHERS
3069987,10/03/2005,,RICHARDSON STREET,,N,COMPLETED,0,0,PA,,N,477.0,10/03/2005,,,,,,04/03/2007,,1,,,0,O1,OTHERS
4266448,02/02/2021,N,156 STREET,,,APPLICATION PROCESSED - ENTIRE,340,0,NB,134-30 156 STREET,N,294.0,02/02/2021,,,N,,R3-1,,U,1,Y,,0,B2,OTHERS
3019373,11/17/2004,,DE GRAW STREET,RES,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,,131.0,11/17/2004,,,N,,R6B,02/05/2007,,1,,,0,C0,1-2-3 FAMILY
3107313,04/22/2004,,NEW YORK AVENUE,RES,N,PLAN EXAM - APPROVED,0,0,A3,CORNELL LEASING LLC,N,810.0,04/23/2004,,,N,,R5,,,1,,,0,D3,OTHERS
4615694,08/15/2019,N,111 STREET,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,NB,NYC SCHOOL CONSTRUCTION AUTHORIT,N,38302.0,08/15/2019,,,,,,,,5,Y,,0,Q1,OTHERS
3244703,10/04/2004,,BRIGHTON BEACH AVENUE,COM,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,Gold Label International,,362.0,10/04/2004,R6,X,N,,C1-2,10/20/2004,,1,,,0,K4,OTHERS
1083717,10/30/2020,N,AVENUE OF THE AMERICAS,COM,,SIGNED OFF,0,0,A2,SL GREEN REALTY CORP.,N,125.0,10/30/2020,C6-5.5,,N,,C6-6,11/09/2020,COM,1,Y,,0,O4,OTHERS
3238574,12/10/2004,,AVENUE U,COM,Y,PERMIT ISSUED - PARTIAL JOB,0,0,A2,Kings Plaza Shopping Center,,698.0,12/10/2004,,,N,,M3-1,,,1,,,0,G1,OTHERS
5001450,07/27/2020,N,VAN BUREN ST,J-3,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,VANJAMIN ASSET CORP,N,81.0,08/06/2020,,,N,2.0,M1-1,11/12/2020,J-3,1,Y,,0,B2,1-2-3 FAMILY
5171079,10/04/2018,N,FINLAY AVE,,,SIGNED OFF,6634,0,NB,BETHEL BUILDING CORP,N,198.0,10/04/2018,,,N,,R3X,10/09/2020,R-3,1,Y,,0,B2,1-2-3 FAMILY
5008924,08/23/2021,N,POTTER AVENUE,R-3,,SIGNED OFF,0,0,A2,,N,147.0,08/23/2021,,,N,1.0,R2,08/24/2021,R-3,1,Y,,0,A1,1-2-3 FAMILY
3184662,03/31/2015,N,NOSTRAND AVENUE,RES,,SIGNED OFF,0,0,A3,SPRINT,N,564.0,03/31/2015,,,N,100.0,R4,05/12/2015,RES,1,,,0,D4,OTHERS
3144175,06/20/2014,N,64TH STREET,,,SIGNED OFF,0,0,A1,N.A.,N,120.0,06/20/2014,,,,,,,,2,Y,,0,G9,OTHERS
1003074,05/04/2021,N,GRAND STREET,R-2,,SIGNED OFF,0,0,A3,DORIA INC.,N,41.0,05/13/2021,,,N,20.0,C6-2G,05/28/2021,R-2,1,Y,,0,D6,OTHERS
4042813,11/19/2001,,NORTHERN BOULEVARD,C,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,381.0,11/19/2001,,,N,,C1-2,12/21/2001,,1,,,0,K1,OTHERS
3414113,09/21/2015,N,HUNTINGTON STREET,R-2,,PLAN EXAM - APPROVED,0,0,A2,18 HUNTINGTON REALTY LLC,N,59.0,10/11/2015,,,N,3.0,R5,,R-2,1,Y,,0,,1-2-3 FAMILY
3428665,05/11/2020,N,GLENMORE AVE,,,PLAN EXAM - DISAPPROVED,5993,0,NB,HOUSING PRESERVATION AND DEVELOP,N,1152.0,05/11/2020,,,N,,R5,,R-2,1,Y,,0,V0,OTHERS
3152303,12/09/2004,,83 STREET,,Y,SIGNED OFF,0,0,DM,,,166.0,12/09/2004,,,N,,R3-1,12/09/2004,,1,,,0,A3,OTHERS
3224662,11/12/2004,,EAST   89 STREET,J-3,Y,PLAN EXAM - APPROVED,0,2011,A1,,,964.0,11/12/2004,,,N,,R4,,J-3,1,,,0,B2,1-2-3 FAMILY
1091682,03/16/2017,N,CHARLES STREET,,,PERMIT ISSUED - ENTIRE JOB/WORK,38332,0,NB,540 HUDSON STREET PARTNERS LLC,N,73.0,03/16/2017,,,N,,C1-6,07/29/2021,R-2,1,Y,,0,O8,OTHERS
3134392,11/10/2004,,19 AVENUE,RES,Y,SIGNED OFF,0,0,A2,,,256.0,11/10/2004,,,N,,R5,01/27/2005,,1,,,0,B1,1-2-3 FAMILY
3181805,11/19/2004,,EAST   15 STREET,,Y,SIGNED OFF,0,0,DM,,,542.0,11/19/2004,,,N,,R6,11/19/2004,,1,,,0,R0,OTHERS
3234908,09/24/2004,,104 STREET,RES,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,,1020.0,09/24/2004,,,N,,R5,06/17/2005,,1,,,0,B2,1-2-3 FAMILY
3327711,12/09/2004,,CLARKSON AVENUE,E,Y,SIGNED OFF,0,0,A2,KINGS COUNTY HOSPITAL CENTER,,808.0,12/09/2004,,,N,,R5,01/27/2005,,1,,,0,I1,OTHERS
3060113,07/01/2004,,BEDFORD AVENUE,,N,SIGNED OFF,0,0,A2,UNITED TALMUDICAL_ACADEMY,N,539.0,07/01/2004,,,N,,R7-1,10/29/2004,,1,,,0,W2,OTHERS
3089653,04/07/2005,,MILLER AVENUE,RES,N,SIGNED OFF,0,0,A1,HPD,N,1160.0,04/26/2005,,,N,,R6,10/04/2006,RES,1,,,0,B1,1-2-3 FAMILY
3191600,03/09/2004,,EAST    1 STREET,RES,Y,PERMIT ISSUED - PARTIAL JOB,0,531,A2,,,396.0,03/09/2004,,,N,,R3-1,,,1,,,0,B2,1-2-3 FAMILY
3397079,04/13/2004,,ATLANTIC AVENUE,RES,N,PERMIT ISSUED - ENTIRE JOB/WORK,0,6501,A1,CYPRESS HILLS COMM.SCH.DC,N,1170.0,04/16/2004,,,N,,M1-1,02/08/2008,RES,1,,Y,0,W1,OTHERS
3388419,10/15/2004,,DECATUR STREET,J-3,Y,SIGNED OFF,0,0,A2,,,409.0,10/15/2004,,,N,,R6,11/12/2004,,1,,,0,C0,1-2-3 FAMILY
3056416,09/29/2004,,LEXINGTON AVENUE,RES,Y,PLAN EXAM - APPROVED,0,0,A1,HUD,,229.0,10/07/2004,,,N,,R6,,RES,1,,,0,C1,OTHERS
3118170,04/08/2004,,CONEY ISLAND AVENUE,E,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,ExxonMobil Fuels Marketing Co.,,1522.0,04/08/2004,,,N,,C2-3,04/12/2004,,1,,,0,G4,OTHERS
2130467,05/19/2017,N,LORILLARD PLACE,R-2,,SIGNED OFF,0,0,A2,,N,387.0,05/19/2017,,,N,7.0,R6,10/07/2020,R-2,1,Y,,0,C1,OTHERS
1034522,02/23/2010,N,6TH AVENUE,COM,,SIGNED OFF,0,0,A2,JONES LAND LASALLE,N,104.0,02/23/2010,,,N,,C6-6,06/11/2010,COM,1,Y,,0,O4,OTHERS
5043235,09/28/2006,,PARK HILL COURT,RES,Y,PLAN EXAM - DISAPPROVED,1533,0,A1,,,40.0,09/28/2006,,,N,1.0,R3X,,RES,1,,,0,B3,1-2-3 FAMILY
1015862,06/20/2014,N,FIFTH AVENUE,,,SIGNED OFF,0,0,A2,EMPIRE STATE REALTY TRUST,N,76.0,06/20/2014,,,,,,,,3,Y,,0,O4,OTHERS
3047191,01/05/2016,N,DECATUR STREET,J-0,,SIGNED OFF,3420,212,A1,PENRITH URF LLC,N,297.0,01/05/2016,,,N,3.0,R6B,01/10/2017,R-2,1,Y,Y,0,A4,1-2-3 FAMILY
3397086,04/16/2004,,8 AVENUE,J-2,Y,SIGNED OFF,0,0,A2,Prospect Terrace LLC,,149.0,04/16/2004,,,N,,R5,04/22/2004,J-2,1,,,0,R0,OTHERS
3223885,04/28/2004,,EAST   84 STREET,J-3,Y,SIGNED OFF,0,678,A2,,,958.0,04/28/2004,,,N,,R5,08/12/2004,,1,,,0,A1,1-2-3 FAMILY
3036147,10/25/2004,,PROSPECT PLACE,PUB,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,NYC Dept. of Health,,345.0,10/25/2004,,,N,,R6,12/02/2004,,1,,,0,I5,OTHERS
3003087,06/30/2004,,AMITY STREET,,N,SIGNED OFF,0,0,A2,175 AMITY ST OWNERS CORP,N,45.0,06/30/2004,,,N,,,07/20/2004,,1,,,0,C6,OTHERS
4297454,05/05/2021,N,CHURCH ROAD,K,,APPLICATION PROCESSED - NO PLAN EXAM,0,0,DM,ROBERT RISSMEYE,N,107201.0,05/05/2021,,,N,0.0,R3-2,,,1,Y,,0,A2,OTHERS
3167639,04/23/2004,,BATH AVENUE,J-0,Y,SIGNED OFF,0,0,A3,Bay 11th LLC,,178.0,04/23/2004,R5,,N,,C2-2,04/24/2004,,1,,,0,C0,1-2-3 FAMILY
5011306,02/11/2019,N,NEAL DOW AVE,,,SIGNED OFF,0,0,A3,HOMEOWNER,N,201.0,02/11/2019,,,N,,R3X,03/13/2019,,1,Y,,0,B2,1-2-3 FAMILY
3059877,11/14/2005,,LEE AVENUE,,Y,SIGNED OFF,0,0,A1,Cong. Visnitz,,535.0,11/14/2005,,,N,,,,,3,,,0,W9,OTHERS
5089081,11/13/2020,N,AMBOY ROAD,J-3,,SIGNED OFF,0,0,A2,7255 AMBOY RD LLC,N,248.0,11/23/2020,,,N,2.0,R3X,03/17/2021,J-3,1,Y,,0,B2,1-2-3 FAMILY
3855309,02/04/2022,N,CYPRESS AVENUE,,,APPLICATION PROCESSED - ENTIRE,0,0,A3,6302 REALTY CORP,N,336.0,02/04/2022,,,N,,R3-1,,,1,Y,,0,,1-2-3 FAMILY
1007177,08/28/2018,N,MULBERRY STREET,RES,,SIGNED OFF,0,0,A2,178 MULBERRY LLC,N,41.0,08/28/2018,C6-1,,N,24.0,C6-2G,01/25/2019,RES,1,Y,,0,C7,OTHERS
1009584,09/02/2020,N,W 11 ST,J-2,,SIGNED OFF,0,0,A2,NONE,N,63.0,09/04/2020,,,N,48.0,R6,10/06/2020,J-2,1,Y,,0,D4,OTHERS
3329423,08/18/2004,,MAIN STREET,COM,Y,SIGNED OFF,0,0,A2,Washington Group  LLC,,21.0,08/18/2004,,,N,,C6-4A,08/23/2004,,1,,,0,O6,OTHERS
2130349,10/27/2009,N,WHITE PLAINS ROAD,COM,,PLAN EXAM - APPROVED,15105,8160,A1,SHARON 7TH DAY ADVENTIST CHURCH,N,414.0,11/06/2009,,,N,1.0,R6,,A-3,1,,,0,V1,OTHERS
3393596,10/22/2004,,RUTLEDGE STREET,J-2,Y,SIGNED OFF,0,0,A2,MS Realty Construction,,537.0,10/22/2004,,,N,,R6,05/12/2005,,1,,,0,D1,OTHERS
3429731,02/20/2004,,COURT STREET,,N,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,CORAL REAL,N,53.0,03/08/2004,,,N,,,03/24/2004,,1,,,0,G7,OTHERS
3013693,12/15/2004,,7 AVENUE,RES,Y,PLAN EXAM - DISAPPROVED,0,0,A2,,,98.0,12/15/2004,,,N,,R6,,,1,,,0,S9,OTHERS
3031115,08/20/2004,,PROSPECT PLACE,RES,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A1,,,221.0,08/20/2004,,,N,,R6,08/27/2004,J-3,1,,,0,A4,1-2-3 FAMILY
3076699,07/13/2004,,RIDGEWOOD PLACE,,N,SIGNED OFF,0,0,A3,PROMAX REALTY,N,439.0,07/14/2004,,,N,,,07/15/2004,,1,,,0,C2,OTHERS
4016472,11/08/2018,N,DITMARS BLVD,,,SIGNED OFF,0,0,A1,3601 DITMARS BLVD LLC,N,113.0,11/08/2018,,,,,,,,3,Y,,0,S9,OTHERS
5043002,07/01/2019,N,HOPE AVE,,,SIGNED OFF,0,0,A3,HOMEOWNER,N,8.0,07/01/2019,,,N,,R3A,08/13/2019,,1,Y,,0,A1,1-2-3 FAMILY
3143935,10/14/2004,,63 STREET,,N,SIGNED OFF,0,0,A2,,N,72.0,10/14/2004,,,N,,,10/27/2004,,1,,,0,C2,OTHERS
3425085,09/21/2004,,EMERALD STREET,,Y,PLAN EXAM - APPROVED,0,0,NB,39 Emerald LLC,,1220.0,09/21/2004,,,N,,R4,,J-0,1,,,0,V0,1-2-3 FAMILY
3149072,04/08/2004,,76 STREET,RES,Y,SIGNED OFF,0,0,A2,,,44.0,04/08/2004,,,N,,R3-1,05/13/2004,,1,,,0,B2,1-2-3 FAMILY
1806423,05/04/2021,N,WEST 46TH STREET,R-1,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,DORIA INC.,N,125.0,05/13/2021,,,N,170.0,C6-5,06/15/2021,R-1,1,Y,,0,H2,OTHERS
3095894,01/19/2005,,LINCOLN AVENUE,,N,PLAN EXAM - APPROVED,0,0,A2,NYCDDC,N,1208.0,01/20/2005,,,N,,R6,,,1,,,0,Y1,OTHERS
4279688,04/14/2021,N,MATHEWSON COURT,RES,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,352.0,04/14/2021,,,N,1.0,R3-2,05/03/2021,RES,1,Y,,0,A2,1-2-3 FAMILY
4130913,12/07/2001,,209 STREET,J-3,Y,SIGNED OFF,0,0,A1,,N,99705.0,12/07/2001,,,N,,R3-2,08/12/2002,J-3,1,,,0,B3,1-2-3 FAMILY
3109346,12/02/2004,,SNYDER AVENUE,J-2,Y,SIGNED OFF,0,0,A2,3213 SNYDER REALTY CORP.,,824.0,12/02/2004,,,N,,R6,01/05/2005,,1,,,0,C1,OTHERS
3019393,08/02/2004,,DEGRAW STREET,,N,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,131.0,08/02/2004,,,N,,,01/05/2005,,1,,,0,B3,1-2-3 FAMILY
3022305,02/10/2005,,10 STREET,RES,N,SIGNED OFF,0,0,A1,,N,139.0,02/14/2005,,,N,,R6B,12/13/2005,RES,1,,,0,B2,1-2-3 FAMILY
5000924,08/01/2001,,WINTER AVENUE,,N,SIGNED OFF,0,0,A2,,N,11.0,08/06/2001,,,N,,,08/23/2001,,1,,,0,B3,1-2-3 FAMILY
1006549,11/05/2018,N,E. 3 STREET,,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,,N,3602.0,11/05/2018,,,,,,,,3,Y,,0,B9,1-2-3 FAMILY
3195282,05/05/2004,,EAST    2 STREET,,N,SIGNED OFF,0,0,A2,,N,37401.0,05/05/2004,,,N,,,06/16/2004,,1,,,0,B1,1-2-3 FAMILY
3393750,12/07/2004,,MARCY AVENUE,,N,SIGNED OFF,0,0,A3,HPD,N,261.0,12/10/2004,,,N,,,12/14/2004,,1,,,0,C0,1-2-3 FAMILY
2130349,01/11/2011,,WHITE PLAINS ROAD,,,PLAN EXAM - APPROVED,0,0,PA,SHARON 7TH DAY ADVENTIST,,414.0,01/11/2011,,,,,R6,,A-3,1,,,0,V1,OTHERS
3199492,10/28/2004,,EAST   14 STREET,,N,SIGNED OFF,0,0,DM,,N,582.0,10/28/2004,,,N,,,10/28/2004,,1,,,0,C0,OTHERS
1036466,12/14/2018,N,LEXINGTON AVENUE,,,SIGNED OFF,0,0,A2,PROPERTY GROUP PARTNERS,N,100.0,12/14/2018,,,,,,,,2,Y,,0,O4,OTHERS
3003487,11/24/2004,,KANE STREET,J-2,Y,SIGNED OFF,0,5000,A1,Cheever Development,,49.0,11/24/2004,,,N,4.0,R6,02/11/2005,R-2,1,,Y,0,C3,OTHERS
4114977,12/21/2016,N,HAIGHT STREET,,,SIGNED OFF,5015,0,NB,N.A.,N,849.0,12/21/2016,,,N,,R6,07/31/2018,R-2,1,Y,,0,S3,OTHERS
3389162,09/15/2004,,HERZL STREET,,Y,SIGNED OFF,0,0,NB,-,,898.0,09/15/2004,,,N,,R6,09/08/2005,J-3,1,,,0,B1,1-2-3 FAMILY
3388616,09/14/2004,,MADISON STREET,,Y,SIGNED OFF,0,0,NB,-,,375.0,09/14/2004,,,N,,R6,11/16/2005,J-0,1,,,0,C0,1-2-3 FAMILY
3043669,10/18/2006,,VAN BUREN STREET,,Y,SIGNED OFF,0,0,NB,,,387.0,10/18/2006,,,N,,R6,02/27/2007,J-0,1,,,0,C3,1-2-3 FAMILY
3190438,07/27/2004,,MC DONALD AVENUE,,N,COMPLETED,0,0,PA,MAGEN DAVID YESHIVAH,N,410.0,07/27/2004,,,,,M1-1,02/04/2016,A-3,1,,,0,W2,OTHERS
3124904,03/23/2004,,15 AVENUE,RES,N,SIGNED OFF,0,0,A3,HPD,N,230.0,03/24/2004,R6,,N,,C2-4,04/13/2004,,1,,,0,W2,OTHERS
3059160,05/24/2006,,ROCKWELL PLACE,COM,N,PERMIT ISSUED - ENTIRE JOB/WORK,39029,14093,A1,96 ROCKWELL LLC,N,33.0,05/24/2006,,,N,0.0,C6-4,01/05/2007,J-2,1,,Y,0,R0,OTHERS
4286222,01/30/2018,N,224 STREET,,,SIGNED OFF,2130,0,NB,DELIGHT HOLDING LLC,N,694.0,01/30/2018,,,N,,R3-1,08/19/2019,R-3,1,Y,,0,B2,1-2-3 FAMILY
1028743,11/07/2018,N,COLUMBUS AVENUE,,,SIGNED OFF,0,0,A2,FAIRSTEAD CAPITAL,N,161.0,11/07/2018,,,,,,,,3,Y,,0,D7,OTHERS
3042244,03/18/2005,,FULTON STREET,,N,SIGNED OFF,0,0,A2,HPD,N,369.0,03/18/2005,,,N,,R6,08/17/2006,,1,,,0,S3,OTHERS
4260104,05/04/2021,N,140TH STREET,,,APPLICATION PROCESSED - ENTIRE,0,0,A3,,N,186.0,05/04/2021,,,N,,R3A,,,1,Y,,0,A2,1-2-3 FAMILY
1022679,04/27/2021,N,WEST 48 STREET,PUB,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,"THE SHUBERT ORGANIZATION, INC.",N,125.0,04/29/2021,,,N,,C6-5.5,05/18/2021,PUB,1,Y,,0,J4,OTHERS
3099353,07/14/2004,,EAST   92 STREET,RES,Y,PLAN EXAM - APPROVED,0,0,A1,,,882.0,07/14/2004,,,N,,R6,,RES,1,,,0,A5,1-2-3 FAMILY
3139359,05/17/2007,,54 STREET,,Y,PLAN EXAM - DISAPPROVED,0,0,NB,Congregation Imrei Yehudah,,218.0,10/18/2007,,,N,,R5,,F-1B,1,,,0,M9,OTHERS
3023919,02/02/2005,,5 AVENUE,,N,SIGNED OFF,0,0,A2,THE FOURTH FLOOR INC,N,141.0,02/02/2005,,,N,,C1-3,10/20/2005,,1,,,0,K2,OTHERS
1027467,04/29/2021,N,WEST 63 STREET,J-2,,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A3,ALLIED PARTNERS,N,149.0,04/29/2021,,,N,51.0,C4-7,05/13/2021,J-2,1,Y,,0,R0,OTHERS
3002558,03/29/2004,,JORALEMON STREET,COM,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0,0,A2,"City of New York, DCAS",,9.0,03/29/2004,,,N,,C5-2,02/23/2009,,1,,,0,R0,OTHERS
1079584,11/21/2002,,MOTT STREET,,N,PERMIT ISSUED - PARTIAL JOB,0,0,A2,"ZHANG CHARN MEAT CO., INC.",N,41.0,11/21/2002,,X,N,,,,,1,,,0,,OTHERS
3061967,04/20/2004,,NORTH    8 STREET,COM,Y,SIGNED OFF,0,0,A2,Electronic Hardware Consulting,,519.0,04/20/2004,M1-2,,N,,R6,05/12/2004,,1,,,0,S2,OTHERS
3051210,05/17/2021,N,TOMPKINS AVENUE,J-0,,APPLICATION PROCESSED - NO PLAN EXAM,0,0,DM,THE 335 GROUP LLC,N,265.0,05/17/2021,,,N,2.0,R6A,,,1,Y,,0,B2,1-2-3 FAMILY
2126825,07/05/2018,N,CARPENTER AVENUE,K,,PERMIT ISSUED - PARTIAL JOB,0,0,A2,NYC DEPT OF PARKS AND RECREATION,N,414.0,07/05/2018,,,N,1.0,R5,,K,1,Y,,0,Q2,OTHERS
3397012,01/22/2008,,LAWRENCE STREET,,,SIGNED OFF,0,0,NB,EQUITY RESIDENTIAL,,11.0,01/22/2008,,,,,,,,2,,,0,D7,OTHERS
