manhattan_condominiums_comparable_properties_address,census_tract,comparable_rental_3_neighborhood,comparable_rental_2_building_classification,manhattan_condominiums_comparable_properties_neighborhood,comparable_rental_3_estimated_gross_income,comparable_rental_1_market_value_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_year_built,manhattan_condominiums_comparable_properties_estimated_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_2_estimated_gross_income,comparable_rental_3_building_classification,nta
164 WEST 83 STREET,169.0,UPPER WEST SIDE (79-96),C7-WALK-UP,UPPER WEST SIDE (79-96),"337,603",137.51,8.61,1900,296622,39.24,UPPER WEST SIDE (79-96),227162,2409000.0,0.0,408145.0,C7-WALK-UP,Upper West Side                                                            
595 WEST END AVENUE,175.0, ,D3-ELEVATOR,UPPER WEST SIDE (79-96), ,236.85,8.33, ,1896328,28.71,UPPER WEST SIDE (79-96),2033154,9764000.0,0.21,1831327.0, ,Upper West Side                                                            
715 9 AVENUE,127.0,UPPER WEST SIDE (59-79),D9-ELEVATOR,CLINTON,"336,549",161.62,10.16,1926,262561,34.19,CLINTON,453917,4006000.0,0.2,769304.0,D1-ELEVATOR,Clinton                                                                    
137 DUANE STREET,33.0, ,D7-ELEVATOR,CIVIC CENTER, ,183.88,10.15, ,1546430,31.97,FINANCIAL,1454260,4345000.0,0.39,853854.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
48 ORCHARD STREET,16.0, ,D6-ELEVATOR,LOWER EAST SIDE, ,211.75,12.81, ,1303502,29.86,LOWER EAST SIDE,1035573,1300000.0,0.16,1099415.0, ,Chinatown                                                                  
29 EAST 22 STREET,56.0,GRAMERCY,D9-ELEVATOR,FLATIRON,"2,043,866",193.63,13.84,1911,2261029,40.69,FLATIRON,337248,11494000.0,0.14,2305902.0,D9-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
129 WEST 20 STREET,87.0,EAST VILLAGE,D9-ELEVATOR,CHELSEA,"645,820",275.64,11.57,2005,1277946,39.83,LOWER EAST SIDE,1131418,13488000.0,0.8,2515280.0,D1-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
10 CHRISTOPHER STREET,71.0, ,D3-ELEVATOR,GREENWICH VILLAGE-WEST, ,162.99,9.74, ,587361,24.7,GREENWICH VILLAGE-WEST,384380,4125000.0,0.07,937085.0, ,West Village                                                               
36 GRAMERCY PARK EAST,50.0,GRAMERCY,D7-ELEVATOR,GRAMERCY,"2,284,880",241.89,13.65,1977,2606071,42.44,GRAMERCY,787270,2784000.0,0.05,543863.0,D9-ELEVATOR,Gramercy                                                                   
28 LAIGHT STREET,33.0,SOHO,D1-ELEVATOR,TRIBECA,"1,643,414",162.66,6.81,1920,3034720,23.45,TRIBECA,582828,6455000.0,0.34,1247289.0,D1-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
366 WEST 15 STREET,83.0,KIPS BAY,D9-ELEVATOR,CHELSEA,"2,481,933",275.64,11.57,1948,1489722,39.83,LOWER EAST SIDE,1131418,13488000.0,1.06,2515280.0,D9-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
27 WEST 72 STREET,157.0, ,D6-ELEVATOR,UPPER WEST SIDE (59-79), ,262.03,12.74, ,10793967,42.2,UPPER WEST SIDE (59-79),7606973,49977000.0,0.41,9487411.0, ,Lincoln Square                                                             
15 WEST 63 STREET,149.0,UPPER WEST SIDE (59-79),D1-ELEVATOR,UPPER WEST SIDE (59-79),"13,972,420",260.25,13.7,1974,6760230,46.22,MIDTOWN WEST,7292533,40722000.0,0.59,7697270.0,D8-ELEVATOR,Lincoln Square                                                             
107 AVENUE A,32.0,LOWER EAST SIDE,D1-ELEVATOR,EAST VILLAGE,"398,311",184.79,8.91,1920,370424,29.72,LOWER EAST SIDE,305593,6008000.0,0.33,1144863.0,D9-ELEVATOR,East Village                                                               
426 WEST 58 STREET,139.0, ,D7-ELEVATOR,CLINTON, ,151.27,8.26, ,1788133,35.74,MIDTOWN WEST,1540591,6404000.0,0.17,1127288.0, ,Clinton                                                                    
135 DIVISION STREET,6.0,CHINATOWN,D9-ELEVATOR,LOWER EAST SIDE,"745,551",93.94,13.05,1910,550899,39.36,LOWER EAST SIDE,115721,1641000.0,0.34,324716.0,C7-WALK-UP,Lower East Side                                                            
299 WEST 12 STREET,77.0,CHELSEA,D5-ELEVATOR,GREENWICH VILLAGE-WEST,"3,306,407",122.63,10.25,1931,4801930,35.43,GREENWICH VILLAGE-WEST,2417365,25608000.0,0.31,4874232.0,D6-ELEVATOR,West Village                                                               
254 EAST 2 STREET,2202.0, ,D1-ELEVATOR,ALPHABET CITY, ,223.86,12.96, ,1454868,54.58,ALPHABET CITY,954222,29818000.0,0.19,5239919.0, ,Lower East Side                                                            
835 BROADWAY,61.0,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,GREENWICH VILLAGE-CENTRAL,"466,285",141.19,11.36,1907,498756,33.69,GREENWICH VILLAGE-CENTRAL,848671,4602000.0,0.09,935230.0,D9-ELEVATOR,West Village                                                               
677 WASHINGTON STREET,75.0, ,D5-ELEVATOR,GREENWICH VILLAGE-WEST, ,258.26,11.35, ,3399025,43.88,GREENWICH VILLAGE-WEST,1763552,13106000.0,0.15,2347640.0, ,West Village                                                               
1 ELDRIDGE STREET,16.0, ,C7-WALK-UP,CHINATOWN, ,105.33,10.54, ,115186,29.11,CHINATOWN,137637,1320000.0,0.0,275791.0, ,Chinatown                                                                  
363 GREENWICH STREET,39.0, ,C7-WALK-UP,TRIBECA, ,217.97,9.39, ,472983,27.65,SOHO,260139,1105000.0,0.43,232137.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
525 WEST 22 STREET,99.0,KIPS BAY,D9-ELEVATOR,CHELSEA,"2,481,933",312.43,11.57,1948,2878673,39.83,GRAMERCY,3236383,13488000.0,1.47,2515280.0,D9-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
50 CENTRAL PARK SOUTH,11201.0, ,D3-ELEVATOR,MIDTOWN WEST, ,301.75,7.82, ,3773817,38.01,MIDTOWN WEST,3266211,19248000.0,0.54,3201119.0, ,Midtown-Midtown South                                                      
250 EAST 31 STREET,70.0, ,D9-ELEVATOR,MURRAY HILL, ,90.4,15.51, ,1049523,49.8,MURRAY HILL,1673673,9884000.0,0.14,1915691.0, ,Murray Hill-Kips Bay                                                       
16 DESBROSSES STREET,39.0,SOHO,C7-WALK-UP,TRIBECA,"542,698",37.6,9.39,1925,665231,27.65,TRIBECA,75180,1105000.0,0.1,232137.0,C7-WALK-UP,SoHo-TriBeCa-Civic Center-Little Italy                                     
33 WEST END AVENUE,151.0,UPPER WEST SIDE (59-79),D6-ELEVATOR,UPPER WEST SIDE (59-79),"13,972,420",248.91,13.67,1974,6595000,42.29,UPPER WEST SIDE (59-79),12159092,62194000.0,0.38,12179520.0,D8-ELEVATOR,Lincoln Square                                                             
266 EAST 10 STREET,34.0, ,D5-ELEVATOR,EAST VILLAGE, ,312.43,9.26, ,311445,45.91,GRAMERCY,3236383,8509000.0,0.56,1417275.0, ,East Village                                                               
132 WEST 22 STREET,87.0, ,D7-ELEVATOR,CHELSEA, ,149.58,11.57, ,654375,46.28,CHELSEA,514451,8434000.0,0.17,1495900.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
415 MAIN STREET,23801.0,UPPER EAST SIDE (59-79),D9-ELEVATOR,UPPER EAST SIDE (59-79),"7,254,016",223.18,12.8,1968,6841399,64.58,UPPER EAST SIDE (59-79),4479584,54514000.0,0.59,9184500.0,D6-ELEVATOR,Lenox Hill-Roosevelt Island                                                
137 READE STREET,21.0, ,D9-ELEVATOR,TRIBECA, ,418.63,11.51, ,1059520,42.84,CIVIC CENTER,903594,30849000.0,0.0,5593246.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
105 WOOSTER STREET,49.0,SOHO,D9-ELEVATOR,SOHO,"1,247,289",152.8,8.96,1920,944625,41.2,SOHO,792450,5293000.0,0.14,895746.0,D1-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
442 HUDSON STREET,67.0, ,C7-WALK-UP,GREENWICH VILLAGE-WEST, ,152.98,8.4, ,2727154,25.81,GREENWICH VILLAGE-WEST,251830,1500000.0,0.2,307087.0, ,West Village                                                               
464 WEST 44 STREET,121.0,CLINTON,D6-ELEVATOR,CLINTON,"1,199,247",248.68,12.56,1940,2405282,38.62,MIDTOWN WEST,1400477,24997000.0,0.2,4895774.0,D5-ELEVATOR,Clinton                                                                    
15 ST MARK'S PLACE,38.0,LOWER EAST SIDE,D6-ELEVATOR,EAST VILLAGE,"1,417,275",213.56,10.41,1910,477761,35.41,EAST VILLAGE,1784389,2259000.0,0.5,432830.0,D5-ELEVATOR,East Village                                                               
18 ORCHARD STREET,16.0,LOWER EAST SIDE,C7-WALK-UP,LOWER EAST SIDE,"166,033",136.92,7.45,1900,217234,28.83,LOWER EAST SIDE,149897,1725000.0,0.05,171055.0,C1-WALK-UP,Chinatown                                                                  
340 EAST 23 STREET,64.0, ,D6-ELEVATOR,KIPS BAY, ,251.33,15.4, ,11294510,50.09,KIPS BAY,394595,47986000.0,0.52,9248078.0, ,Gramercy                                                                   
23 5 AVENUE,59.0, ,D6-ELEVATOR,GREENWICH VILLAGE-CENTRAL, ,189.88,13.61, ,131772,41.61,GREENWICH VILLAGE-CENTRAL,416316,9620000.0,0.12,1893259.0, ,West Village                                                               
25 MERCER STREET,47.0, ,C7-WALK-UP,SOHO, ,217.97,8.15, ,497222,30.88,SOHO,260139,3227000.0,0.23,586820.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
165 WEST END AVENUE,155.0, ,D6-ELEVATOR,UPPER WEST SIDE (59-79), ,233.8,8.86, ,16587129,33.04,UPPER WEST SIDE (59-79),9361100,105995000.0,0.25,19481001.0, ,Lincoln Square                                                             
230 RIVERSIDE DRIVE,183.0, ,D7-ELEVATOR,UPPER WEST SIDE (79-96), ,150.75,11.81, ,6765750,33.47,UPPER WEST SIDE (79-96),5029358,46400000.0,0.51,9652067.0, ,Upper West Side                                                            
14 EAST 77 STREET,130.0, ,D6-ELEVATOR,UPPER EAST SIDE (59-79), ,197.8,6.67, ,337659,34.85,UPPER EAST SIDE (59-79),728569,2075000.0,0.64,346763.0, ,Upper East Side-Carnegie Hill                                              
275 GREENWICH STREET,21.0, ,D5-ELEVATOR,TRIBECA, ,272.44,11.06, ,5904324,35.98,TRIBECA,10110341,10730000.0,0.37,2099485.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
215 AVENUE B,28.0,KIPS BAY,D6-ELEVATOR,ALPHABET CITY,"531,585",163.53,13.3,2008,782020,40.45,ALPHABET CITY,539951,2502000.0,0.48,493331.0,D3-ELEVATOR,Lower East Side                                                            
306 COLUMBUS AVENUE,161.0,UPPER WEST SIDE (79-96),D7-ELEVATOR,UPPER WEST SIDE (59-79),"2,491,263",249.73,10.69,1926,2292270,28.42,UPPER WEST SIDE (59-79),2384354,10236000.0,0.2,2281698.0,D3-ELEVATOR,Upper West Side                                                            
845 2 AVENUE,90.0, ,D1-ELEVATOR,MIDTOWN EAST, ,268.6,13.35, ,508956,39.25,MIDTOWN CBD,2007516,3223000.0,1.87,645820.0, ,Turtle Bay-East Midtown                                                    
182 EAST 2 STREET,3002.0, ,D5-ELEVATOR,ALPHABET CITY, ,133.78,10.78, ,1068493,33.15,ALPHABET CITY,654786,1597000.0,0.05,318427.0, ,East Village                                                               
828 7 AVENUE,131.0,MIDTOWN WEST,D7-ELEVATOR,MIDTOWN WEST,"3,039,352",124.84,11.21,1913,4148400,35.98,MIDTOWN WEST,2743190,15593000.0,0.12,3069766.0,D6-ELEVATOR,Midtown-Midtown South                                                      
465 WEST 23 STREET,93.0,CHELSEA,D9-ELEVATOR,CHELSEA,"13,490,638",230.44,11.24,2001,27720237,32.37,FASHION,17840753,149460000.0,0.0,30758405.0,D6-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
54 WEST 74 STREET,157.0,UPPER WEST SIDE (59-79),D9-ELEVATOR,UPPER WEST SIDE (59-79),"761,565",160.14,7.1,1925,1925894,39.86,UPPER WEST SIDE (59-79),1346057,8161000.0,0.05,1313563.0,D9-ELEVATOR,Lincoln Square                                                             
5 EAST 22 STREET,56.0,FLATIRON,D6-ELEVATOR,FLATIRON,"12,367,980",262.42,8.64,2003,16724494,43.96,FLATIRON,14933029,92678000.0,0.4,15315736.0,D7-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
312 WEST 23 STREET,93.0,EAST VILLAGE,D9-ELEVATOR,CHELSEA,"2,515,280",284.39,6.29,1925,1433880,37.02,CHELSEA,1840534,15162000.0,1.2,2481933.0,D9-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
8 EAST 12 STREET,61.0,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,GREENWICH VILLAGE-CENTRAL,"466,285",165.78,7.42,1907,757776,26.97,GREENWICH VILLAGE-CENTRAL,619826,6127000.0,0.11,1170567.0,D9-ELEVATOR,West Village                                                               
40 WEST 76 STREET,161.0,UPPER WEST SIDE (59-79),C5-WALK-UP,UPPER WEST SIDE (59-79),"442,235",178.3,11.14,1900,327405,31.68,UPPER WEST SIDE (59-79),198271,1311000.0,0.0,271137.0,D9-ELEVATOR,Upper West Side                                                            
211 EAST 46 STREET,90.0,MIDTOWN EAST,D6-ELEVATOR,MIDTOWN EAST,"5,262,298",235.07,12.4,1961,8859767,42.75,MIDTOWN EAST,7917119,38697000.0,0.1,7225467.0,D9-ELEVATOR,Turtle Bay-East Midtown                                                    
47 EAST 19 STREET,52.0,GRAMERCY,D8-ELEVATOR,FLATIRON,"543,863",241.91,9.96,1912,65178,36.21,FLATIRON,337961,2487000.0,0.09,465136.0,D7-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
240 CENTRE STREET,41.0,LITTLE ITALY,D2-ELEVATOR,LITTLE ITALY,"6,442,633",126.08,,1982,2791715,33.49,LITTLE ITALY,247922,7284000.0,0.19,582726.0,D7-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
56 COOPER SQUARE,57.0, ,D9-ELEVATOR,GREENWICH VILLAGE-CENTRAL, ,295.03,9.02, ,3299985,20.04,GREENWICH VILLAGE-CENTRAL,5842565,7725000.0,0.14,2458276.0, ,West Village                                                               
102 MADISON STREET,8.0, ,C1-WALK-UP,LOWER EAST SIDE, ,296.74,11.43, ,216543,29.52,LOWER EAST SIDE,267875,1007000.0,0.84,219212.0, ,Chinatown                                                                  
65 WEST 13 STREET,63.0, ,D9-ELEVATOR,GREENWICH VILLAGE-CENTRAL, ,148.41,13.12, ,6784821,38.32,FLATIRON,3559494,12194000.0,0.1,2450267.0, ,West Village                                                               
145 WEST 27 STREET,95.0, ,D9-ELEVATOR,CHELSEA, ,284.39,11.57, ,714278,39.83,CHELSEA,1840534,13488000.0,0.99,2515280.0, ,Midtown-Midtown South                                                      
447 WEST 18 STREET,89.0,CHELSEA,D6-ELEVATOR,CHELSEA,"1,838,192",275.51,12.78,1959,3542690,42.2,CHELSEA,2503016,12961000.0,0.19,2463988.0,D6-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
201 WEST 17 STREET,81.0,CHELSEA,D7-ELEVATOR,CHELSEA,"2,463,988",231.44,10.53,1999,2689111,47.2,CHELSEA,1432711,18806000.0,0.35,3221669.0,D6-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
80 JOHN STREET,1502.0,TRIBECA,D6-ELEVATOR,FINANCIAL,"13,788,111",165.01,10.51,2004,7885727,42.28,FINANCIAL,3540930,69551000.0,0.09,12265285.0,D8-ELEVATOR,Battery Park City-Lower Manhattan                                          
311 EAST 11 STREET,40.0, ,D9-ELEVATOR,EAST VILLAGE, ,211.75,7.8, ,1928065,45.61,LOWER EAST SIDE,1035573,13844000.0,1.02,2220338.0, ,East Village                                                               
155 EAST 38 STREET,80.0,MURRAY HILL,D6-ELEVATOR,MURRAY HILL,"3,533,598",209.11,12.32,1940,4525699,35.2,MURRAY HILL,3083293,19497000.0,0.13,4055779.0,D9-ELEVATOR,Murray Hill-Kips Bay                                                       
77 ALLEN STREET,18.0, ,D6-ELEVATOR,LOWER EAST SIDE, ,213.56,10.41, ,212798,35.41,EAST VILLAGE,1784389,2259000.0,0.33,432830.0, ,Chinatown                                                                  
255 WEST 85 STREET,171.0, ,D7-ELEVATOR,UPPER WEST SIDE (79-96), ,184.42,9.03, ,2729221,59.26,UPPER WEST SIDE (79-96),1518500,21744000.0,0.2,3452070.0, ,Upper West Side                                                            
149 WOOSTER STREET,49.0,SOHO,D9-ELEVATOR,SOHO,"1,247,289",152.8,8.96,1920,1105259,41.2,SOHO,792450,5293000.0,0.16,895746.0,D1-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
82 BEAVER STREET,7.0,FINANCIAL,D5-ELEVATOR,FINANCIAL,"5,447,340",174.42,11.06,1900,3271412,35.98,FINANCIAL,1244619,10730000.0,0.32,2099485.0,D7-ELEVATOR,Battery Park City-Lower Manhattan                                          
217 WEST 19 STREET,87.0, ,D7-ELEVATOR,CHELSEA, ,231.44,10.68, ,1271368,36.9,CHELSEA,1432711,9370000.0,0.22,1791251.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
351 EAST 51 STREET,98.0,MIDTOWN EAST,D8-ELEVATOR,MIDTOWN EAST,"7,225,467",173.91,12.08,1986,7733518,48.92,MIDTOWN EAST,3415163,62212000.0,0.24,11015534.0,D6-ELEVATOR,Turtle Bay-East Midtown                                                    
513 HUDSON STREET,75.0, ,D1-ELEVATOR,GREENWICH VILLAGE-WEST, ,281.61,13.35, ,360602,39.25,LITTLE ITALY,525569,3223000.0,1.12,645820.0, ,West Village                                                               
27 EAST 22 STREET,56.0,FLATIRON,D9-ELEVATOR,FLATIRON,"3,548,932",193.63,13.15,1911,1135106,45.3,FLATIRON,337248,2543000.0,0.05,476194.0,D5-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
321 WEST 13 STREET,77.0,ALPHABET CITY,D5-ELEVATOR,GREENWICH VILLAGE-WEST,"1,144,863",213.56,9.26,1920,1207327,45.91,EAST VILLAGE,1784389,8509000.0,1.58,1417275.0,D1-ELEVATOR,West Village                                                               
347 WEST 57 STREET,139.0,MIDTOWN WEST,D6-ELEVATOR,MIDTOWN WEST,"17,891,043",175.93,10.62,1965,10638999,40.12,MIDTOWN WEST,5438902,69490000.0,0.21,12506118.0,D6-ELEVATOR,Clinton                                                                    
205 WEST END AVENUE,155.0, ,D8-ELEVATOR,UPPER WEST SIDE (59-79), ,179.75,15.32, ,21022837,46.42,UPPER WEST SIDE (59-79),14258498,70374000.0,0.48,13972420.0, ,Lincoln Square                                                             
1 COENTIES SLIP,9.0, ,D7-ELEVATOR,FINANCIAL, ,183.88,12.59, ,1332615,37.04,FINANCIAL,1454260,2948000.0,0.61,959447.0, ,Battery Park City-Lower Manhattan                                          
475 BROADWAY,47.0,LITTLE ITALY,D9-ELEVATOR,SOHO,"420,894",271.75,9.25,1910,971339,26.68,SOHO,747503,1793000.0,0.29,379406.0,D1-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
39 EAST 29 STREET,74.0,MURRAY HILL,D7-ELEVATOR,MURRAY HILL,"8,251,095",205.1,9.79,1975,7303103,46.84,MURRAY HILL,3731213,27124000.0,0.14,4562855.0,D6-ELEVATOR,Midtown-Midtown South                                                      
426 WEST BROADWAY,49.0, ,D1-ELEVATOR,SOHO, ,152.8,6.81, ,936685,23.45,SOHO,792450,6455000.0,0.09,1247289.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
69 BANK STREET,77.0,KIPS BAY,D1-ELEVATOR,GREENWICH VILLAGE-WEST,"1,656,890",284.39,13.35,1986,1031770,39.25,CHELSEA,1840534,3223000.0,1.13,645820.0,D9-ELEVATOR,West Village                                                               
155 FRANKLIN STREET,33.0, ,C7-WALK-UP,TRIBECA, ,104.99,11.86, ,1048677,36.83,SOHO,260982,2709000.0,0.42,542698.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
100 WEST 93 STREET,177.0, ,D6-ELEVATOR,UPPER WEST SIDE (79-96), ,111.57,12.16, ,4800000,32.01,UPPER WEST SIDE (79-96),3603851,34452000.0,0.15,7452920.0, ,Upper West Side                                                            
30 WEST 61 STREET,145.0,CLINTON,D7-ELEVATOR,UPPER WEST SIDE (59-79),"6,865,052",175.93,11.99,2003,8146026,42.0,MIDTOWN WEST,5438902,34000000.0,0.24,6933276.0,D7-ELEVATOR,Lincoln Square                                                             
245 EAST 50 STREET,98.0, ,D9-ELEVATOR,MIDTOWN EAST, ,268.6,12.14, ,765761,34.65,MIDTOWN CBD,2007516,7971000.0,1.05,1656890.0, ,Turtle Bay-East Midtown                                                    
21 UNIVERSITY PLACE,59.0,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,GREENWICH VILLAGE-CENTRAL,"1,170,567",140.78,8.33,1940,3670563,21.7,GREENWICH VILLAGE-CENTRAL,2345537,2105000.0,0.15,466285.0,D8-ELEVATOR,West Village                                                               
249 8 AVENUE,93.0, ,D7-ELEVATOR,CHELSEA, ,180.93,11.13, ,4480693,27.81,CHELSEA,2825155,9185000.0,0.18,2126075.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
768 5 AVENUE,11201.0, ,D7-ELEVATOR,MIDTOWN WEST, ,459.32,13.46, ,24838719,47.3,UPPER EAST SIDE (59-79),21928929,105055000.0,0.88,19545921.0, ,Midtown-Midtown South                                                      
141 5 AVENUE,52.0,FLATIRON,D6-ELEVATOR,FLATIRON,"2,928,925",247.48,12.26,1911,3608097,46.11,FLATIRON,2586568,25390000.0,0.1,4599769.0,D9-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
40 EAST 66 STREET,122.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,UPPER EAST SIDE (59-79),"3,048,279",206.27,13.71,1914,3963000,50.15,UPPER EAST SIDE (59-79),1139026,28741000.0,0.32,5279663.0,D7-ELEVATOR,Upper East Side-Carnegie Hill                                              
661 AMSTERDAM AVENUE,177.0, ,D3-ELEVATOR,UPPER WEST SIDE (79-96), ,155.4,8.95, ,3131903,28.34,UPPER WEST SIDE (79-96),1754907,13951000.0,0.36,2835051.0, ,Upper West Side                                                            
243 WEST 60 STREET,147.0, ,D1-ELEVATOR,UPPER WEST SIDE (59-79), ,222.82,9.07, ,2375240,37.16,CLINTON,5025835,4134000.0,0.56,743211.0, ,Lincoln Square                                                             
317 WEST 89 STREET,175.0, ,D3-ELEVATOR,UPPER WEST SIDE (79-96), ,236.85,8.33, ,2078093,28.71,UPPER WEST SIDE (79-96),2033154,9764000.0,0.15,1831327.0, ,Upper West Side                                                            
53 WEST 11 STREET,63.0, ,D3-ELEVATOR,GREENWICH VILLAGE-CENTRAL, ,106.62,7.21, ,246694,22.6,GREENWICH VILLAGE-CENTRAL,359476,3057000.0,0.05,614267.0, ,West Village                                                               
325 EAST 45 STREET,90.0, ,D9-ELEVATOR,MIDTOWN EAST, ,228.98,11.71, ,4984558,39.32,MIDTOWN EAST,5130056,27947000.0,0.0,5262298.0, ,Turtle Bay-East Midtown                                                    
112 WEST 72 STREET,157.0, ,D7-ELEVATOR,UPPER WEST SIDE (59-79), ,163.93,11.95, ,1524993,37.21,UPPER WEST SIDE (59-79),828796,9030000.0,0.1,1808507.0, ,Lincoln Square                                                             
165 HENRY STREET,6.0, ,C7-WALK-UP,LOWER EAST SIDE, ,169.47,7.85, ,547978,16.36,LOWER EAST SIDE,227481,800000.0,0.05,236402.0, ,Lower East Side                                                            
136 BAXTER STREET,41.0, ,D1-ELEVATOR,CHINATOWN, ,126.08,10.18, ,888265,35.17,LITTLE ITALY,247922,2212000.0,0.15,420894.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
210 LAFAYETTE STREET,45.0, ,D7-ELEVATOR,SOHO, ,184.84,10.73, ,2998259,46.9,LITTLE ITALY,299120,5617000.0,0.26,969368.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
31 NORTH MOORE STREET,33.0,CHINATOWN,D1-ELEVATOR,TRIBECA,"1,465,401",162.66,9.17,1920,2778193,29.55,TRIBECA,582828,5941000.0,0.46,1149094.0,C7-WALK-UP,SoHo-TriBeCa-Civic Center-Little Italy                                     
240 RIVERSIDE BOULEVARD,159.0,UPPER WEST SIDE (59-79),D8-ELEVATOR,UPPER WEST SIDE (59-79),"13,972,420",248.91,11.78,1974,14260749,39.68,UPPER WEST SIDE (59-79),12159092,82455000.0,0.56,15512917.0,D8-ELEVATOR,Lincoln Square                                                             
124 8 AVENUE,81.0,CHELSEA,D3-ELEVATOR,CHELSEA,"5,157,621",231.44,11.05,2000,5535164,39.07,CHELSEA,1432711,9276000.0,0.17,1710297.0,D6-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
160 WEST 86 STREET,169.0, ,D3-ELEVATOR,UPPER WEST SIDE (79-96), ,198.66,12.76, ,2568582,33.69,UPPER WEST SIDE (79-96),2753497,13028000.0,0.06,2824749.0, ,Upper West Side                                                            
80 ELIZABETH STREET,41.0, ,D9-ELEVATOR,CHINATOWN, ,125.09,9.25, ,2335425,26.68,CHINATOWN,468007,1793000.0,0.1,379406.0, ,SoHo-TriBeCa-Civic Center-Little Italy                                     
132 PERRY STREET,75.0, ,D9-ELEVATOR,GREENWICH VILLAGE-WEST, ,284.39,13.52, ,956426,51.13,CHELSEA,1840534,3935000.0,1.06,714487.0, ,West Village                                                               
317 EAST 48 STREET,90.0,MIDTOWN EAST,D6-ELEVATOR,MIDTOWN EAST,"2,417,575",156.91,9.36,1957,2579959,32.74,MIDTOWN EAST,1495610,20149000.0,0.1,3793214.0,D3-ELEVATOR,Turtle Bay-East Midtown                                                    
241 WEST 19 STREET,87.0,CHELSEA,D9-ELEVATOR,CHELSEA,"1,791,251",248.21,13.58,1987,1025230,34.31,CHELSEA,279879,7320000.0,0.19,2363190.0,D7-ELEVATOR,Hudson Yards-Chelsea-Flatiron-Union Square                                 
48 BEACH STREET,39.0,SOHO,D7-ELEVATOR,TRIBECA,"1,149,094",72.28,10.15,1920,2793421,31.97,TRIBECA,336348,4345000.0,0.17,853854.0,D1-ELEVATOR,SoHo-TriBeCa-Civic Center-Little Italy                                     
184 THOMPSON STREET,65.0, ,C7-WALK-UP,GREENWICH VILLAGE-CENTRAL, ,177.89,8.4, ,2635435,25.81,GREENWICH VILLAGE-WEST,2856546,1500000.0,0.2,307087.0, ,West Village                                                               
50 AVENUE A,32.0,ALPHABET CITY,D9-ELEVATOR,ALPHABET CITY,"318,427",133.78,6.66,1900,570576,21.29,ALPHABET CITY,654786,1143000.0,0.05,226845.0,D5-ELEVATOR,East Village                                                               
319 WEST 38 STREET,115.0,FASHION,C4-WALK-UP,FASHION,"278,180",163.28,11.89,1920,353939,37.76,FASHION,457839,1875000.0,0.05,361551.0,C4-WALK-UP,Clinton                                                                    
155 EAST 34 STREET,72.0, ,D6-ELEVATOR,MURRAY HILL, ,183.2,12.5, ,10758956,45.15,MURRAY HILL,7685845,44891000.0,0.06,8251095.0, ,Murray Hill-Kips Bay                                                       
252 WEST 17 STREET,81.0, ,D1-ELEVATOR,CHELSEA, ,231.44,8.17, ,758946,37.71,CHELSEA,1432711,5034000.0,0.09,848796.0, ,Hudson Yards-Chelsea-Flatiron-Union Square                                 
