dbn,location,p_q11b,p_q11f_1,p_q8f_1,p_q9,p_q10b,p_q2d_1,p_q7c_1,p_q7d_5,p_q8b_5,p_q10l,p_q2g_5,p_q11b_1,nr_p,p_q2i_4,p_q11a_3,p_q12aa_3,p_q5b,p_q8c_2,p_q1_4,p_q2h_3,aca_p_10,p_q8f_5,aca_tot_10,p_q4a_5,p_q8e_5,p_q12bb,p_q2i_3,p_q8e_4,p_q4e_5,p_q6_4,p_q4e_1,com_p_10,p_q5h,p_q3c_1,p_q11f_2,p_q2f_2,p_q3b,p_q2g_1,p_q2a_5,p_q4d_3,p_q8d_4,p_q1_12,p_q7b,p_q3d,p_q5g,sch_type,p_q2c_1,p_q3a_5,p_q2b_2,p_q11d_2,p_q7a_2,p_q7b_2,p_q8b_3,p_q9_3,p_q2a_2,p_q10k,p_q2a_4,p_q7a_5,p_q2c_5,p_q7b_4,p_q8e_3,borough,saf_tot_10,rr_t,p_q7d_1,p_q2g_4,p_q10i,p_q2g,p_q3a_1,p_q1_10,p_q3c_2,p_q8d_5,p_q2f_5,p_q8a_3,p_q4e_3,p_q3d_3,p_q5j,p_q2e_3,p_q10d,p_q11d_1,p_q4c_5,p_q2d_3,com_t_10,saf_p_10,p_q7d,p_q7d_2,p_q1_1,p_q8c_1,p_q7b_3,rr_p,p_q12aa,p_q2e_5,p_q9_9,p_q10,p_q4b_4,com_tot_10,p_q12ab,eng_p_10
04M101,P.S. 101 Andrew Draper,7.4,29.0,50.0,,50.0,50.0,7.0,0.0,29.0,14.0,8.0,36.0,68,8.0,0.0,18.0,0.0,0.0,0.0,14.0,7.1,36.0,7.0,0.0,46.0,,15.0,0.0,,7.0,,6.9,43.0,8.0,50.0,69.0,6.1,38.0,0.0,7.0,7.0,8.0,6.5,,7.0,Middle School,17.0,7.0,64.0,79.0,57.0,69.0,14.0,0.0,43.0,7.0,7.0,0.0,0.0,0.0,0.0,MANHATTAN,6.1,75,18.0,0.0,21.0,8.1,7.0,92.0,62.0,14.0,0.0,21.0,,43.0,57.0,8.0,29.0,14.0,7.0,0.0,5.8,6.9,5.8,55.0,0.0,64.0,23.0,21,,15.0,50.0,,7.0,6.3,,6.8
11X016,P.S. 016 Wakefield,7.8,46.0,63.0,,30.0,58.0,37.0,6.0,31.0,1.0,11.0,43.0,513,2.0,4.0,9.0,47.0,7.0,17.0,11.0,8.2,33.0,7.8,2.0,30.0,,8.0,1.0,,3.0,,7.9,39.0,44.0,48.0,46.0,7.1,41.0,0.0,6.0,2.0,0.0,8.1,,19.0,Elementary School,47.0,6.0,50.0,45.0,49.0,53.0,4.0,18.0,45.0,3.0,1.0,1.0,1.0,0.0,0.0,BRONX,7.5,87,43.0,1.0,5.0,7.9,38.0,0.0,38.0,37.0,0.0,11.0,,23.0,28.0,4.0,68.0,47.0,2.0,2.0,6.4,8.3,8.0,48.0,5.0,51.0,6.0,62,,28.0,15.0,,0.0,7.1,,8.0
04M497,Central Park East I,8.9,76.0,92.0,,77.0,90.0,65.0,14.0,7.0,0.0,20.0,70.0,173,2.0,2.0,10.0,91.0,3.0,15.0,6.0,9.0,8.0,9.0,2.0,9.0,,2.0,0.0,,0.0,,8.8,68.0,36.0,22.0,26.0,7.8,54.0,0.0,1.0,1.0,0.0,9.3,,16.0,Elementary School,84.0,0.0,18.0,26.0,20.0,28.0,1.0,17.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,MANHATTAN,9.2,71,52.0,2.0,11.0,8.6,76.0,0.0,38.0,14.0,0.0,0.0,,20.0,21.0,2.0,78.0,68.0,2.0,0.0,8.0,9.2,8.5,32.0,10.0,87.0,0.0,53,,17.0,8.0,,2.0,8.4,,9.0
05M317,Kappa II,7.3,22.0,52.0,,42.0,54.0,25.0,13.0,24.0,4.0,2.0,31.0,134,6.0,4.0,15.0,53.0,10.0,0.0,11.0,7.6,38.0,6.5,2.0,32.0,,2.0,0.0,,8.0,,7.6,53.0,32.0,68.0,40.0,6.1,60.0,2.0,0.0,8.0,0.0,8.0,,33.0,Middle School,44.0,15.0,41.0,64.0,53.0,58.0,4.0,28.0,43.0,0.0,2.0,2.0,2.0,2.0,2.0,MANHATTAN,6.2,71,26.0,2.0,4.0,8.5,28.0,57.0,30.0,29.0,0.0,17.0,,13.0,16.0,2.0,33.0,24.0,0.0,2.0,3.5,7.9,7.4,55.0,0.0,53.0,0.0,41,,22.0,13.0,,6.0,5.4,,7.6
18K642,Urban Action Academy,8.3,50.0,52.0,,40.0,57.0,36.0,4.0,30.0,3.0,10.0,55.0,157,0.0,0.0,0.0,20.0,0.0,0.0,3.0,8.6,41.0,7.8,3.0,57.0,,0.0,0.0,8.0,0.0,50.0,8.5,57.0,37.0,43.0,27.0,7.6,55.0,0.0,3.0,0.0,46.0,8.4,,20.0,High School,50.0,13.0,23.0,34.0,55.0,45.0,3.0,22.0,30.0,0.0,0.0,3.0,0.0,3.0,0.0,BROOKLYN,7.5,53,57.0,0.0,0.0,8.7,47.0,0.0,30.0,41.0,3.0,13.0,0.0,10.0,20.0,4.0,30.0,55.0,3.0,3.0,6.3,8.7,8.6,39.0,0.0,63.0,0.0,19,,19.0,28.0,,0.0,7.1,,8.2
07X473,Mott Haven Village Preparatory High School,8.3,54.0,47.0,,45.0,63.0,48.0,2.0,20.0,1.0,1.0,54.0,320,3.0,1.0,11.0,9.0,6.0,0.0,4.0,8.3,38.0,7.8,1.0,34.0,,1.0,1.0,8.0,1.0,35.0,8.3,48.0,37.0,42.0,34.0,7.2,60.0,0.0,1.0,1.0,32.0,8.3,,22.0,High School,54.0,4.0,40.0,43.0,48.0,47.0,1.0,13.0,39.0,1.0,1.0,1.0,1.0,1.0,3.0,BRONX,7.5,96,48.0,0.0,1.0,8.7,40.0,0.0,43.0,34.0,0.0,3.0,3.0,18.0,31.0,3.0,25.0,54.0,1.0,0.0,7.2,8.6,8.3,48.0,1.0,65.0,3.0,47,,26.0,26.0,,1.0,7.2,,8.2
06M552,Gregorio Luperon High School for Science and Mathematics,8.1,58.0,64.0,,19.0,82.0,68.0,1.0,9.0,3.0,2.0,50.0,431,1.0,1.0,10.0,21.0,4.0,0.0,5.0,8.4,30.0,8.2,3.0,17.0,,4.0,1.0,13.0,2.0,47.0,8.4,46.0,45.0,40.0,36.0,8.2,63.0,0.0,2.0,0.0,18.0,9.4,,9.0,High School,67.0,7.0,42.0,46.0,25.0,22.0,1.0,22.0,39.0,3.0,1.0,2.0,1.0,0.0,0.0,MANHATTAN,8.6,61,64.0,0.0,7.0,8.7,32.0,0.0,29.0,14.0,0.0,1.0,4.0,15.0,59.0,3.0,31.0,50.0,2.0,1.0,6.7,9.4,8.8,33.0,0.0,85.0,0.0,54,,23.0,28.0,,0.0,7.1,,8.2
06M278,Paula Hedbavny School,7.8,49.0,79.0,,44.0,61.0,49.0,3.0,15.0,4.0,7.0,42.0,390,1.0,2.0,12.0,62.0,5.0,11.0,11.0,8.3,19.0,8.2,2.0,18.0,,5.0,0.0,,1.0,,8.0,68.0,53.0,46.0,46.0,7.1,52.0,0.0,2.0,0.0,0.0,9.0,,19.0,Elementary / Middle School,49.0,5.0,49.0,49.0,42.0,32.0,1.0,25.0,42.0,5.0,1.0,1.0,1.0,0.0,1.0,MANHATTAN,8.3,78,53.0,0.0,9.0,8.4,40.0,12.0,31.0,21.0,0.0,5.0,,24.0,27.0,3.0,62.0,44.0,2.0,1.0,6.8,9.0,8.4,41.0,1.0,74.0,2.0,95,,21.0,15.0,,1.0,7.1,,8.3
21K090,P.S. 90 Edna Cohen School,8.1,56.0,77.0,,25.0,53.0,48.0,5.0,19.0,2.0,6.0,49.0,410,1.0,2.0,6.0,47.0,9.0,10.0,6.0,8.5,20.0,8.0,2.0,18.0,,6.0,0.0,,1.0,,8.2,49.0,46.0,42.0,41.0,7.7,47.0,0.0,1.0,1.0,0.0,8.8,,26.0,Elementary School,50.0,2.0,46.0,46.0,38.0,41.0,2.0,18.0,44.0,2.0,0.0,2.0,0.0,0.0,0.0,BROOKLYN,8.2,67,46.0,0.0,7.0,8.3,48.0,0.0,29.0,18.0,2.0,4.0,,18.0,37.0,2.0,69.0,51.0,2.0,2.0,6.9,8.9,8.1,46.0,15.0,68.0,1.0,65,,24.0,14.0,,1.0,7.6,,8.2
20K227,J.H.S. 227 Edward B. Shallow,6.7,20.0,51.0,,21.0,28.0,20.0,9.0,23.0,2.0,6.0,19.0,1247,2.0,9.0,9.0,16.0,14.0,0.0,17.0,6.9,39.0,6.9,15.0,30.0,,11.0,1.0,,7.0,,6.6,58.0,9.0,69.0,61.0,4.8,28.0,1.0,9.0,4.0,0.0,6.8,,13.0,Middle School,23.0,20.0,70.0,63.0,66.0,60.0,5.0,21.0,67.0,2.0,1.0,3.0,3.0,5.0,1.0,BROOKLYN,7.1,48,28.0,1.0,6.0,7.4,12.0,24.0,25.0,27.0,1.0,8.0,,33.0,24.0,8.0,60.0,18.0,7.0,10.0,5.6,7.9,7.4,57.0,0.0,53.0,13.0,30,,23.0,14.0,,2.0,5.7,,6.7
11X326,Bronx Green Middle School,7.1,35.0,45.0,,23.0,37.0,30.0,6.0,20.0,5.0,8.0,27.0,376,2.0,5.0,15.0,9.0,8.0,1.0,20.0,7.5,45.0,6.8,5.0,43.0,,6.0,1.0,,5.0,,7.4,42.0,38.0,54.0,51.0,6.6,40.0,0.0,9.0,6.0,0.0,7.7,,9.0,Middle School,37.0,8.0,59.0,61.0,53.0,63.0,0.0,15.0,46.0,2.0,2.0,5.0,1.0,1.0,0.0,BRONX,6.3,85,36.0,0.0,2.0,8.0,30.0,26.0,35.0,41.0,1.0,6.0,,28.0,26.0,3.0,41.0,30.0,2.0,4.0,4.5,7.9,7.3,48.0,0.0,53.0,7.0,23,,29.0,19.0,,4.0,5.9,,7.5
19K108,P.S. 108 Sal Abbracciamento,7.7,47.0,77.0,,21.0,49.0,35.0,3.0,15.0,1.0,4.0,41.0,780,1.0,3.0,10.0,49.0,6.0,18.0,9.0,8.1,20.0,8.5,3.0,17.0,,6.0,0.0,,1.0,,7.9,50.0,50.0,48.0,47.0,7.6,39.0,0.0,6.0,0.0,0.0,8.1,,11.0,Elementary School,41.0,2.0,52.0,50.0,53.0,51.0,2.0,16.0,50.0,8.0,1.0,2.0,1.0,2.0,0.0,BROOKLYN,8.5,97,43.0,1.0,8.0,7.7,46.0,0.0,30.0,22.0,1.0,4.0,,18.0,12.0,5.0,63.0,44.0,1.0,4.0,7.9,8.8,8.0,51.0,0.0,73.0,5.0,76,,20.0,13.0,,1.0,7.9,,7.9
18K576,Victory Collegiate High School,7.1,26.0,29.0,,44.0,58.0,30.0,12.0,21.0,2.0,8.0,27.0,235,4.0,11.0,25.0,5.0,4.0,0.0,25.0,7.1,41.0,7.0,6.0,43.0,,4.0,1.0,19.0,11.0,20.0,7.1,51.0,27.0,53.0,40.0,5.8,50.0,1.0,10.0,1.0,23.0,7.4,,14.0,High School,31.0,25.0,59.0,60.0,60.0,54.0,3.0,23.0,55.0,3.0,2.0,2.0,3.0,1.0,5.0,BROOKLYN,6.8,100,34.0,1.0,7.0,8.3,17.0,0.0,35.0,31.0,1.0,9.0,17.0,25.0,33.0,7.0,41.0,25.0,5.0,0.0,6.4,7.8,7.3,42.0,0.0,61.0,11.0,41,,45.0,20.0,,2.0,6.4,,7.0
17K547,Brooklyn Academy of Science and the Environment,8.0,49.0,53.0,,70.0,41.0,34.0,6.0,17.0,1.0,2.0,50.0,421,1.0,4.0,10.0,9.0,5.0,0.0,8.0,8.2,35.0,7.8,1.0,28.0,,6.0,2.0,6.0,3.0,39.0,8.0,29.0,31.0,46.0,46.0,7.3,53.0,0.0,2.0,2.0,30.0,8.0,,5.0,High School,49.0,9.0,46.0,44.0,53.0,55.0,2.0,21.0,41.0,7.0,1.0,3.0,0.0,2.0,3.0,BROOKLYN,7.2,100,34.0,1.0,13.0,8.3,42.0,1.0,47.0,25.0,1.0,4.0,3.0,20.0,46.0,4.0,29.0,49.0,2.0,1.0,7.2,8.4,7.3,49.0,0.0,68.0,5.0,40,,18.0,9.0,,1.0,7.1,,7.9
04M377,Renaissance School of the Arts,8.0,52.0,67.0,,57.0,67.0,43.0,5.0,15.0,4.0,4.0,46.0,112,4.0,4.0,24.0,79.0,4.0,0.0,7.0,8.4,33.0,7.7,0.0,21.0,,11.0,0.0,,4.0,,8.4,54.0,37.0,41.0,30.0,7.5,59.0,0.0,4.0,4.0,0.0,8.1,,4.0,Middle School,63.0,7.0,30.0,38.0,39.0,48.0,8.0,13.0,25.0,11.0,0.0,4.0,0.0,4.0,0.0,MANHATTAN,6.9,67,45.0,0.0,18.0,8.6,43.0,0.0,33.0,18.0,0.0,4.0,,30.0,68.0,0.0,54.0,58.0,0.0,0.0,6.5,8.2,7.5,40.0,0.0,64.0,4.0,25,,17.0,20.0,,4.0,7.0,,8.6
21K728,Liberation Diploma Plus,7.0,28.0,79.0,,17.0,50.0,34.0,0.0,12.0,0.0,1.0,12.0,170,1.0,1.0,1.0,7.0,1.0,0.0,0.0,8.1,19.0,8.1,0.0,20.0,,0.0,0.0,9.0,0.0,50.0,8.6,62.0,71.0,72.0,32.0,9.3,69.0,0.0,1.0,0.0,27.0,8.3,,6.0,High School,49.0,8.0,50.0,77.0,66.0,66.0,1.0,7.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,BROOKLYN,8.3,90,62.0,1.0,0.0,9.0,69.0,1.0,16.0,3.0,1.0,1.0,0.0,12.0,11.0,0.0,50.0,23.0,17.0,0.0,7.3,9.2,8.7,38.0,0.0,85.0,0.0,92,,19.0,1.0,,0.0,7.6,,7.8
13K270,P.S. 270 Johann DeKalb,8.0,48.0,78.0,,20.0,51.0,36.0,6.0,11.0,2.0,3.0,47.0,201,3.0,2.0,13.0,56.0,7.0,23.0,8.0,8.3,17.0,8.5,1.0,14.0,,2.0,1.0,,6.0,,8.0,77.0,57.0,44.0,52.0,7.4,40.0,0.0,2.0,2.0,0.0,8.3,,30.0,Elementary School,36.0,4.0,55.0,50.0,52.0,53.0,3.0,20.0,50.0,11.0,1.0,1.0,1.0,2.0,1.0,BROOKLYN,8.5,89,38.0,1.0,17.0,7.8,54.0,0.0,28.0,18.0,1.0,7.0,,7.0,30.0,1.0,53.0,45.0,2.0,1.0,8.2,8.4,6.8,36.0,3.0,74.0,0.0,51,,15.0,2.0,,2.0,8.1,,8.1
07X224,P.S. / I.S. 224,8.1,53.0,66.0,,21.0,63.0,52.0,4.0,12.0,1.0,2.0,51.0,320,1.0,3.0,6.0,21.0,8.0,0.0,7.0,8.5,25.0,7.9,3.0,21.0,,5.0,1.0,,2.0,,8.3,42.0,46.0,44.0,39.0,8.0,59.0,0.0,3.0,2.0,0.0,8.7,,7.0,Middle School,55.0,5.0,42.0,44.0,39.0,43.0,1.0,7.0,40.0,2.0,1.0,3.0,1.0,0.0,0.0,BRONX,7.3,81,51.0,0.0,2.0,8.6,46.0,29.0,30.0,19.0,0.0,7.0,,16.0,18.0,2.0,33.0,53.0,1.0,0.0,6.1,8.9,8.4,45.0,0.0,73.0,2.0,60,,15.0,26.0,,1.0,7.0,,8.2
17K340,I.S. 340,7.9,45.0,59.0,,60.0,62.0,48.0,9.0,31.0,0.0,9.0,41.0,271,0.0,1.0,12.0,64.0,3.0,0.0,13.0,8.4,39.0,7.9,2.0,36.0,,2.0,0.0,,2.0,,7.9,63.0,40.0,53.0,45.0,7.3,47.0,1.0,1.0,1.0,0.0,8.4,,11.0,Middle School,36.0,11.0,49.0,62.0,47.0,45.0,3.0,19.0,36.0,2.0,1.0,3.0,1.0,1.0,0.0,BROOKLYN,7.3,100,47.0,0.0,5.0,8.3,32.0,31.0,32.0,37.0,0.0,6.0,,26.0,46.0,2.0,51.0,36.0,2.0,1.0,7.0,8.7,8.4,44.0,0.0,64.0,3.0,38,,36.0,7.0,,0.0,6.9,,8.1
13K492,Urban Assembly Academy of Arts and Letters,7.5,48.0,66.0,,83.0,68.0,37.0,7.0,19.0,2.0,8.0,38.0,276,1.0,1.0,16.0,41.0,11.0,0.0,8.0,8.1,29.0,7.7,3.0,28.0,,3.0,0.0,,3.0,,8.3,67.0,35.0,45.0,30.0,7.2,53.0,0.0,7.0,1.0,0.0,8.4,,13.0,Middle School,43.0,3.0,41.0,49.0,44.0,50.0,3.0,27.0,35.0,3.0,0.0,1.0,0.0,1.0,0.0,BROOKLYN,7.5,100,36.0,1.0,4.0,8.4,55.0,37.0,37.0,24.0,1.0,4.0,,26.0,45.0,3.0,47.0,40.0,1.0,0.0,6.8,8.6,7.7,51.0,0.0,72.0,3.0,60,,36.0,18.0,,0.0,7.2,,8.1
06M004,P.S. 004 Duke Ellington,7.7,55.0,81.0,,21.0,70.0,45.0,6.0,16.0,3.0,4.0,40.0,513,2.0,2.0,7.0,14.0,3.0,15.0,5.0,8.3,19.0,8.2,3.0,9.0,,6.0,1.0,,3.0,,8.2,42.0,45.0,42.0,38.0,7.9,54.0,0.0,2.0,1.0,1.0,9.0,,12.0,Elementary School,57.0,3.0,43.0,48.0,34.0,34.0,2.0,19.0,35.0,4.0,1.0,1.0,1.0,1.0,0.0,MANHATTAN,8.5,36,54.0,1.0,17.0,8.4,50.0,0.0,33.0,18.0,1.0,2.0,,21.0,41.0,2.0,60.0,46.0,1.0,0.0,7.0,9.0,8.4,35.0,6.0,77.0,1.0,35,,28.0,16.0,,2.0,7.6,,8.1
06M349,Harbor Heights,8.6,69.0,80.0,,64.0,78.0,71.0,0.0,4.0,26.0,1.0,59.0,134,0.0,0.0,4.0,35.0,5.0,0.0,1.0,8.9,17.0,8.1,1.0,7.0,,0.0,0.0,,1.0,,9.0,66.0,67.0,30.0,27.0,8.6,71.0,0.0,2.0,0.0,0.0,9.3,,8.0,Middle School,71.0,1.0,33.0,36.0,30.0,25.0,1.0,27.0,25.0,55.0,0.0,0.0,0.0,1.0,0.0,MANHATTAN,8.3,85,66.0,0.0,53.0,9.1,56.0,44.0,26.0,11.0,0.0,1.0,,7.0,44.0,2.0,81.0,63.0,1.0,0.0,5.8,9.4,8.9,34.0,0.0,89.0,0.0,100,,11.0,12.0,,0.0,7.2,,8.9
03M577,Brandeis Yabc,1.7,50.0,50.0,,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,83,50.0,50.0,50.0,50.0,0.0,0.0,0.0,5.3,0.0,6.8,0.0,0.0,,0.0,50.0,50.0,50.0,50.0,4.6,100.0,0.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.5,,100.0,YABC,0.0,50.0,0.0,0.0,0.0,100.0,50.0,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,NEW YORK,6.7,30,50.0,50.0,50.0,3.3,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,7.6,4.8,8.3,50.0,0.0,50.0,0.0,2,,50.0,,,50.0,5.9,,6.0
08X152,P.S. 152 Evergreen,8.3,57.0,79.0,,17.0,52.0,46.0,3.0,22.0,1.0,3.0,55.0,721,1.0,2.0,13.0,45.0,5.0,10.0,5.0,8.5,21.0,8.3,3.0,16.0,,2.0,1.0,,2.0,,8.1,55.0,49.0,41.0,47.0,6.8,44.0,1.0,1.0,1.0,0.0,8.7,,8.0,Elementary School,45.0,1.0,50.0,47.0,42.0,42.0,0.0,22.0,49.0,1.0,0.0,1.0,1.0,0.0,0.0,BRONX,8.6,64,53.0,0.0,5.0,8.1,45.0,0.0,26.0,22.0,0.0,2.0,,23.0,25.0,2.0,71.0,46.0,3.0,1.0,7.3,9.0,8.4,43.0,14.0,72.0,3.0,21,,32.0,14.0,,1.0,7.7,,8.0
06M098,P.S. 098 Shorac Kappock,8.0,54.0,81.0,,18.0,61.0,44.0,6.0,17.0,2.0,6.0,49.0,578,2.0,2.0,7.0,45.0,5.0,13.0,7.0,8.3,14.0,6.9,3.0,15.0,,3.0,0.0,,4.0,,8.1,54.0,47.0,40.0,42.0,7.8,49.0,0.0,4.0,0.0,0.0,8.7,,12.0,Elementary School,45.0,4.0,48.0,47.0,48.0,46.0,2.0,22.0,47.0,4.0,1.0,0.0,0.0,0.0,0.0,MANHATTAN,7.7,33,53.0,1.0,10.0,8.3,42.0,0.0,31.0,20.0,1.0,4.0,,15.0,36.0,2.0,66.0,46.0,2.0,0.0,4.7,9.0,8.5,41.0,10.0,76.0,2.0,56,,20.0,7.0,,1.0,6.4,,8.0
15K463,Secondary School for Journalism,7.5,45.0,42.0,,39.0,42.0,43.0,4.0,26.0,3.0,6.0,38.0,392,2.0,5.0,12.0,4.0,13.0,0.0,14.0,8.1,42.0,7.2,1.0,39.0,,11.0,2.0,9.0,0.0,47.0,7.8,51.0,37.0,48.0,51.0,7.1,55.0,0.0,5.0,5.0,21.0,7.9,,37.0,Middle / High School,36.0,6.0,52.0,46.0,45.0,45.0,6.0,18.0,52.0,4.0,2.0,0.0,0.0,0.0,7.0,BROOKLYN,6.8,97,46.0,2.0,4.0,8.4,27.0,12.0,40.0,25.0,0.0,12.0,2.0,32.0,30.0,0.0,40.0,46.0,2.0,4.0,5.3,8.1,7.8,41.0,0.0,52.0,9.0,17,,37.0,11.0,,0.0,6.1,,7.8
15K230,P.S. 230 Doris L. Cohen,7.8,48.0,81.0,,40.0,56.0,44.0,8.0,21.0,1.0,11.0,43.0,970,2.0,4.0,8.0,50.0,8.0,16.0,7.0,8.1,17.0,8.2,4.0,15.0,,6.0,0.0,,2.0,,7.9,54.0,40.0,47.0,44.0,6.8,40.0,0.0,4.0,0.0,0.0,8.6,,12.0,Elementary School,55.0,2.0,48.0,52.0,42.0,46.0,2.0,20.0,40.0,2.0,1.0,1.0,1.0,0.0,0.0,BROOKLYN,8.7,79,46.0,1.0,7.0,8.0,37.0,0.0,33.0,22.0,1.0,4.0,,29.0,13.0,3.0,67.0,43.0,2.0,1.0,7.3,8.9,8.2,45.0,8.0,68.0,2.0,69,,23.0,17.0,,1.0,7.6,,8.1
05M194,P.S. 194 Countee Cullen,7.8,43.0,79.0,,30.0,46.0,32.0,4.0,19.0,3.0,3.0,43.0,223,1.0,3.0,10.0,23.0,5.0,14.0,13.0,7.9,17.0,7.6,1.0,20.0,,5.0,1.0,,6.0,,7.8,55.0,50.0,44.0,54.0,7.9,44.0,0.0,8.0,5.0,0.0,8.0,,8.0,Elementary School,34.0,3.0,55.0,51.0,50.0,54.0,1.0,17.0,50.0,18.0,1.0,2.0,1.0,1.0,0.0,MANHATTAN,7.7,97,51.0,1.0,21.0,8.0,45.0,0.0,30.0,18.0,0.0,10.0,,14.0,44.0,4.0,72.0,41.0,1.0,1.0,6.9,8.3,8.3,41.0,0.0,68.0,6.0,70,,29.0,12.0,,1.0,7.3,,7.8
06M314,Muscota,7.7,51.0,84.0,,73.0,53.0,33.0,1.0,21.0,7.0,19.0,47.0,226,0.0,8.0,24.0,39.0,7.0,19.0,13.0,7.9,15.0,6.5,5.0,16.0,,8.0,0.0,,6.0,,7.5,46.0,42.0,37.0,36.0,7.2,32.0,0.0,6.0,1.0,0.0,8.0,,10.0,Elementary School,43.0,4.0,38.0,48.0,47.0,53.0,2.0,19.0,33.0,7.0,0.0,1.0,0.0,1.0,0.0,MANHATTAN,7.9,64,46.0,6.0,10.0,7.3,43.0,0.0,31.0,16.0,2.0,9.0,,23.0,20.0,2.0,83.0,36.0,2.0,2.0,2.7,8.5,8.0,45.0,2.0,70.0,8.0,41,,22.0,10.0,,8.0,5.1,,7.8
13K282,P.S. 282 Park Slope,8.0,53.0,72.0,,74.0,60.0,36.0,6.0,27.0,2.0,17.0,49.0,765,2.0,3.0,20.0,68.0,8.0,12.0,10.0,8.4,27.0,7.7,2.0,26.0,,4.0,0.0,,1.0,,8.1,51.0,49.0,42.0,43.0,7.3,42.0,0.0,4.0,1.0,0.0,8.5,,10.0,Elementary / Middle School,44.0,2.0,46.0,47.0,45.0,47.0,2.0,14.0,43.0,9.0,1.0,1.0,1.0,1.0,0.0,BROOKLYN,7.4,50,52.0,0.0,12.0,8.2,48.0,0.0,33.0,33.0,1.0,10.0,,24.0,45.0,3.0,62.0,46.0,0.0,1.0,5.3,8.6,8.3,37.0,9.0,60.0,4.0,49,,41.0,7.0,,2.0,6.5,,8.2
17K189,P.S. 189 Lincoln Terrace,7.6,45.0,60.0,,24.0,54.0,50.0,4.0,26.0,2.0,4.0,40.0,955,2.0,4.0,9.0,40.0,6.0,8.0,10.0,8.1,34.0,8.0,2.0,29.0,,6.0,1.0,,3.0,,7.8,32.0,31.0,48.0,45.0,6.4,46.0,0.0,5.0,2.0,0.0,8.4,,6.0,Elementary / Middle School,44.0,8.0,54.0,53.0,43.0,50.0,2.0,14.0,44.0,2.0,2.0,3.0,1.0,1.0,1.0,BROOKLYN,7.5,61,48.0,1.0,5.0,8.1,38.0,13.0,30.0,31.0,1.0,10.0,,22.0,17.0,4.0,52.0,37.0,1.0,2.0,7.4,8.6,8.2,45.0,0.0,63.0,3.0,70,,22.0,15.0,,1.0,7.1,,7.7
11X370,School of Diplomacy,7.5,38.0,31.0,,53.0,53.0,27.0,6.0,30.0,2.0,10.0,35.0,397,5.0,5.0,17.0,15.0,9.0,0.0,12.0,7.9,43.0,6.0,4.0,42.0,,5.0,1.0,,4.0,,7.4,52.0,23.0,54.0,49.0,6.1,42.0,0.0,4.0,3.0,0.0,6.9,,10.0,Middle School,37.0,9.0,55.0,56.0,65.0,55.0,2.0,19.0,54.0,1.0,5.0,3.0,1.0,4.0,1.0,BRONX,6.6,3,38.0,4.0,2.0,7.7,34.0,25.0,30.0,34.0,0.0,7.0,,19.0,16.0,1.0,47.0,30.0,2.0,1.0,1.1,7.6,7.7,50.0,0.0,54.0,15.0,22,,30.0,23.0,,1.0,4.7,,7.4
08X560,High School X560 - Bronx Academy High School,7.2,38.0,43.0,,30.0,47.0,33.0,12.0,36.0,0.0,4.0,30.0,297,2.0,6.0,17.0,4.0,4.0,0.0,8.0,7.4,41.0,7.2,4.0,40.0,,14.0,4.0,11.0,6.0,40.0,7.3,49.0,27.0,44.0,53.0,5.9,36.0,2.0,11.0,6.0,10.0,8.3,,17.0,High School,29.0,6.0,61.0,47.0,57.0,50.0,2.0,24.0,53.0,0.0,2.0,6.0,0.0,0.0,4.0,BRONX,7.2,82,30.0,2.0,4.0,7.6,34.0,0.0,31.0,40.0,2.0,6.0,4.0,24.0,4.0,5.0,23.0,36.0,4.0,0.0,5.8,7.9,7.5,51.0,0.0,58.0,4.0,18,,36.0,24.0,,0.0,6.2,,7.1
12X271,East Bronx Academy for the Future,7.8,46.0,50.0,,35.0,54.0,34.0,6.0,28.0,1.0,4.0,45.0,559,1.0,4.0,7.0,23.0,7.0,0.0,14.0,8.1,37.0,7.6,3.0,36.0,,5.0,1.0,8.0,2.0,41.0,7.8,33.0,36.0,50.0,47.0,7.0,51.0,1.0,4.0,3.0,9.0,8.4,,24.0,Middle / High School,38.0,6.0,55.0,53.0,52.0,44.0,4.0,9.0,48.0,2.0,0.0,3.0,1.0,1.0,0.0,BRONX,7.2,76,40.0,1.0,8.0,8.3,26.0,10.0,42.0,33.0,0.0,9.0,10.0,26.0,33.0,8.0,51.0,40.0,6.0,3.0,7.1,8.3,7.6,43.0,0.0,63.0,3.0,26,,28.0,20.0,,1.0,7.0,,7.8
