address_1,electricity_use_kwh,k_12_school_presence_of,k_12_school_pc_density,parking_weekly_hours_of_access,nta,multifamily_home_market_rate,current_site_energy_intensity,target_rating_1_100,warehouse_unrefrigerated_4,bank_financial_institution_5,current_energy_period_ending,retail_cash_register_density,bank_financial_institution_3,facility_type,current_source_energy,current_rating_1_100,k_12_school_gross_floor_area,medical_office_gross_floor,hotel_percent_cooled,district_steam_use_kbtu,k_12_school_open_weekends,other_weekly_operating_hours,office_workers_density,fuel_oil_4_use_kbtu,multifamily_home_gross_floor,parking_open_floor_area_w,indoor_water_use_kgal,multifamily_home_laundry_1,eligibility_for_energy_star,warehouse_unrefrigerated,hotel_gross_floor_area_sq,natural_gas_use_kbtu,current_weather_normalized
441 convent ave,388475.2,,,,Hamilton Heights,Market Rate,82.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,118.8,0,,,,,,,,5954121.86,87872.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,118.8
45 West 139th Street,1429858.1,,,,Central Harlem North-Polo Grounds,Market Rate,112.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,178.4,0,,,,,,,,,185318.0,,,0.0,Not Eligible: Rating must be 75 or above,,,14892329.03,177.0
111-09 76RD,241494.0,,,,Forest Hills,Market Rate,99.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,132.3,0,,,,,,,,,60000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,132.3
103 EAST 86 STREET,308152.3,,,,Upper East Side-Carnegie Hill,Market Rate,75.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,100.5,0,,,,,,,2.3,,95000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,100.5
3885 Broadway,377456.1,,,,Washington Heights South,Market Rate,108.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,151.5,0,,,,,,,,6498620.76,60730.0,,,20.0,Not Eligible: Rating must be 75 or above,,,,151.5
4005 ithaca street,259126.1,,,,Elmhurst,Market Rate,90.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,128.2,0,,,,,,,,,60000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,4526312.9,133.2
905 west end ave,339938.1,,,,Upper West Side,Market Rate,69.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,91.4,0,,,,,,,,,126647.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,90.7
550 Barry Street,71444.2,,,,Hunts Point,,26.2,0.0,0.0,,2011-05-31T00:00:00.000,,,Warehouse (Unrefrigerated),37.9,83,,,,,,,,,,,,,Eligible,100.0,,1142507.73,39.8
40 fifth ave,402630.6,,,,West Village,Market Rate,102.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,126.2,0,,,,,,,,,141877.0,,,76.0,Not Eligible: Rating must be 75 or above,,,,125.7
12 West 109th Street / 20 West 109th Street,485835.5,,,,,Market Rate,100.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,139.0,0,,,,,,,2.3,,114065.0,,,0.0,Not Eligible: Rating must be 75 or above,,,9870000.0,144.6
306 East 96th Street,810632.3,,,112.0,Yorkville,Market Rate,92.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,135.4,0,,,,,,,,1829050.31,162384.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,10415600.0,139.8
100 west 58th street,1360064.5,,,,Midtown-Midtown South,Market Rate,71.7,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,161.1,0,,,,4897644.72,,,,,120899.0,,,206.0,Not Eligible: Rating must be 75 or above,,,,156.1
33-51 73rd Street,194040.6,,,,Jackson Heights,Market Rate,104.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,132.0,0,,,,,,,,5402965.81,58100.0,,,2.0,Not Eligible: Rating must be 75 or above,,,,132.0
530 East 86 Street,630761.3,,,,Yorkville,Market Rate,85.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,127.7,0,,,,,,,,,120835.0,,,44.0,Not Eligible: Rating must be 75 or above,,,,126.1
63-74 austin street,469063.0,,,112.0,Rego Park,Market Rate,131.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,181.8,0,,,,,,,,8254581.18,75246.0,0.0,,14.0,Not Eligible: Rating must be 75 or above,,,,181.8
820 park ave,102903.2,,,,Upper East Side-Carnegie Hill,Market Rate,79.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,108.5,0,,4500.0,,4678469.46,,,,,58500.0,,,11.0,Not Eligible: Rating must be 75 or above,,,,112.4
333 East 93rd Street,271930.3,,,,Yorkville,Market Rate,66.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,106.1,0,,,,,,,,2709596.3,55000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,101.3
39 East 29th Street,2467862.3,,,112.0,Midtown-Midtown South,Market Rate,76.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,199.7,0,,,,,,,2.3,,161394.0,0.0,,284.0,Not Eligible: Rating must be 75 or above,,,4005309.68,195.3
5009 broadway,261060.3,,,,Marble Hill-Inwood,Market Rate,96.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,122.3,0,,,,,,,,,80676.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,122.3
57-10 Junction Boulevard,318521.0,,,,Elmhurst,Market Rate,99.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,133.1,0,,3531.0,,,,,,,83964.0,,,0.0,Not Eligible: Rating must be 75 or above,,,7651858.06,141.1
59-10 queens boulevard,0.0,,,,Woodside,Market Rate,182.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,188.3,0,,2126.0,,,,,2.3,,708124.0,,,0.0,Not Eligible: Rating must be 75 or above,,,81700600.0,190.4
135 west 70th street,666350.8,,,,Lincoln Square,Market Rate,61.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,117.8,0,,2438.0,,,,,,,95672.0,,,46.0,Not Eligible: Rating must be 75 or above,,,3788912.9,116.8
457 schenectady ave,382967.6,,,,Prospect Lefferts Gardens-Wingate,Market Rate,96.4,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,134.7,0,,,,,,,,,84537.0,,,0.0,Not Eligible: Rating must be 75 or above,,,7240219.35,139.3
9 west 57th street,29819069.1,,,,Midtown-Midtown South,,122.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Office,298.4,43,,,,74224936.82,,,2.3,,,,,,Not Eligible: Rating must be 75 or above,,,,295.6
56 BENNETT AVE,268706.3,,,,Washington Heights North,Market Rate,87.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,115.2,0,,,,,,,,,80000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,115.2
222 lenox road,821165.7,,,112.0,Prospect Lefferts Gardens-Wingate,Market Rate,98.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,146.8,0,,,,,,,2.3,,144230.0,0.0,,21.0,Not Eligible: Rating must be 75 or above,,,11629619.35,150.6
345 East 80th Street,2362708.0,,,112.0,Yorkville,Market Rate,112.9,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,189.4,0,,,,,,,,,242875.0,0.0,,40.0,Not Eligible: Rating must be 75 or above,,,17708616.13,189.8
2403 Southern Blvd,1635200.0,,,112.0,Belmont,Affordable Housing,53.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,178.9,0,,,,,,,,,104175.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,165.7
40-50 E 10th,239280.0,,,,,,78.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,91.2,0,,,,,,,,,160896.0,,,,Not Eligible: Rating must be 75 or above,,,293700.0,91.2
300 west end ave,310813.2,,,112.0,Upper West Side,Market Rate,44.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,66.8,0,,,,,,,,,113500.0,0.0,,66.0,Not Eligible: Rating must be 75 or above,,,,66.8
40-94 Denman Street,295639.2,,,,Elmhurst,Market Rate,118.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,163.4,0,,,,,,,,,53250.0,,,5.0,Not Eligible: Rating must be 75 or above,,,,163.4
72-64 150th street,239040.0,,,,Kew Gardens Hills,Market Rate,105.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,143.6,0,,,,,,,,,56073.0,,,19.0,Not Eligible: Rating must be 75 or above,,,5086729.03,149.1
165 east 19th street,446065.9,,,,Flatbush,Market Rate,111.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,143.4,0,,,,,,,,,131040.0,,,9.0,Not Eligible: Rating must be 75 or above,,,13093074.19,150.0
210 WEST 262ND STREET,360077.6,,,,North Riverdale-Fieldston-Riverdale,Market Rate,99.9,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,139.1,0,,,,,,,,,72000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,139.1
50 Plaza Street East,240100.0,,,,Prospect Heights,Market Rate,406.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,447.6,0,,,,,,,,,85000.0,,,15.0,Not Eligible: Rating must be 75 or above,,,33726700.0,506.8
710 park ave,1028800.0,,,,Upper East Side-Carnegie Hill,Market Rate,46.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,79.0,0,,4716.0,,,,,,,246534.0,,,88.0,Not Eligible: Rating must be 75 or above,,,,76.5
27-28 Thompson Avenue,2481290.3,,,112.0,Hunters Point-Sunnyside-West Maspeth,Market Rate,69.5,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,126.4,0,,,,,,,,,319851.0,0.0,,246.0,Not Eligible: Rating must be 75 or above,,,16685112.9,125.8
317 west 89th street,199383.9,,,,Upper West Side,Market Rate,75.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,102.9,0,,,,,,,,3775848.86,59144.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,102.2
375 riverside drive,443481.0,,,,Morningside Heights,Market Rate,69.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,93.9,0,,,,,,,,,145480.0,,,90.0,Not Eligible: Rating must be 75 or above,,,,93.1
2 River Terrace,4632258.1,,,112.0,Battery Park City-Lower Manhattan,Market Rate,74.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,155.8,0,,,,,,,,,463284.0,0.0,,488.0,Not Eligible: Rating must be 75 or above,,,18729945.16,155.8
24-32 joralemon st,572822.1,,,,Brooklyn Heights-Cobble Hill,Market Rate,109.8,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,157.9,0,,540.0,,,,,,,98230.0,,,0.0,Not Eligible: Rating must be 75 or above,,,9507445.16,161.7
2180 bolton street,276327.9,,,,Pelham Parkway,Market Rate,93.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,123.7,0,,,,,,,,,74970.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,123.7
205/210 West 89/90th Street,1874722.6,,,112.0,,Market Rate,75.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,127.7,0,,1183.0,,,,,2.3,,275833.0,0.0,,172.0,Not Eligible: Rating must be 75 or above,,,,124.4
1060 park ave,698567.7,,,,Upper East Side-Carnegie Hill,Market Rate,46.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,92.9,0,,1400.0,,,,,2.3,,116993.0,,,49.0,Not Eligible: Rating must be 75 or above,,,,87.7
3165 Decatur Ave,227978.3,,,,Norwood,Market Rate,77.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,101.3,0,,,,,,,,,78300.0,,,2.0,Not Eligible: Rating must be 75 or above,,,,101.3
166-40 89 Ave,283595.5,,,,Jamaica,Affordable Housing,147.6,0.0,,,2011-01-31T00:00:00.000,,,Multifamily Housing,186.6,0,,,,,,,,,69184.0,,,0.0,Not Eligible: Rating must be 75 or above,,,9245113.85,188.7
1825 Park Avenue,1698647.0,,,,East Harlem North,,49.5,0.0,,8.0,2010-12-31T00:00:00.000,,55.0,Office,165.5,81,,,,,,,2.07,,,,,,Not Eligible: Current period ending over 120 days,,,,156.9
115 east 21st street,252985.7,,,,Flatbush,Market Rate,92.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,121.6,0,,,,,,,,,78984.0,,,5.0,Not Eligible: Rating must be 75 or above,,,6421374.19,126.2
955 underhill ave,1677883.2,,,,Soundview-Castle Hill-Clason Point-Harding Park,Market Rate,89.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,117.2,0,,,,,,,2.3,,488950.0,,,40.0,Not Eligible: Rating must be 75 or above,,,,117.2
320 Albany Street,1010264.9,,,112.0,Battery Park City-Lower Manhattan,Market Rate,39.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,93.9,0,,446.0,,,,,,,150221.0,0.0,,22.0,Not Eligible: Rating must be 75 or above,,,2520270.97,93.6
495 WEST 187TH STREET,187650.8,,,,Washington Heights North,Market Rate,97.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,131.9,0,,,,,,,,,45000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,131.9
395 River Side Dr.,795600.0,,,,,,73.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,116.1,0,,,,,,,,,151912.0,,,,Not Eligible: Rating must be 75 or above,,,124992.0,116.1
815 gravesend neck road,538884.4,,,112.0,Homecrest,Market Rate,107.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,165.2,0,,,,,,,,,80000.0,0.0,,9.0,Not Eligible: Rating must be 75 or above,,,6754706.45,170.2
22-11 BROOKHAVEN AVE,261394.2,,,112.0,Far Rockaway-Bayswater,Market Rate,95.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,128.4,0,,,,,,,,,64600.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,127.4
9601 Shore Road,376614.6,,,112.0,Bay Ridge,Market Rate,94.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,146.0,0,,,,,,,,,62418.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,4603345.16,152.4
3935 blackstone ave,590312.3,,,,North Riverdale-Fieldston-Riverdale,Market Rate,87.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,119.2,0,,,,,,,,,153600.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,119.2
7636 -56 Crosby Street,375008.4,,,,,Market Rate,37.9,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,92.6,0,,,,,,,,,36850.0,,,18.0,Not Eligible: Rating must be 75 or above,,,823487.1,94.1
101 west 24th street,3886064.5,,,,Hudson Yards-Chelsea-Flatiron-Union Square,Market Rate,54.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,143.2,0,,,,,,,,,335836.0,,,408.0,Not Eligible: Rating must be 75 or above,,,5794654.84,143.2
224-10 224th street,524671.5,,,112.0,,Market Rate,128.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,186.5,0,,,,,,,,,72950.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,186.5
35 East 85th Street,1800812.9,,,,Upper East Side-Carnegie Hill,Market Rate,78.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,137.9,0,,3000.0,,,,,,,234261.0,,,56.0,Not Eligible: Rating must be 75 or above,,,,132.4
12-34 crown street,357924.0,,,,Crown Heights South,Market Rate,107.9,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,142.6,0,,,,,,,,,92619.0,,,0.0,Not Eligible: Rating must be 75 or above,,,8988729.03,146.6
2095 Cruger Avenue,178413.3,,,,Pelham Parkway,Market Rate,70.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,97.5,0,,,,,,,,,53400.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,97.5
2475 Southern Blvd,4759600.0,,,112.0,Belmont,Affordable Housing,80.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,267.9,0,,,,,,,2.3,,201000.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,271.7
70 west 93 street,1096451.0,,,,Upper West Side,Market Rate,90.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,127.1,0,,,,,,,2.3,,243406.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,125.8
,179633.0,,,,,,40.9,0.0,,,2010-12-31T00:00:00.000,,,Office,136.5,57,,,,,,,2.33,,,,,,Not Eligible: Rating must be 75 or above,,,,136.3
101 Park Ave.,27011799.0,,,112.0,Murray Hill-Kips Bay,,85.4,0.0,,,2010-12-31T00:00:00.000,0.3,,Office,232.0,65,,,,38197779.36,,,2.3,,,0.0,,,Not Eligible: Rating must be 75 or above,,,,224.5
2840 atlantic ave,,,,,East New York,,,,,,2010-12-31T00:00:00.000,,,Other,,0,,,,,,8.0,,,,,,,Not Eligible: Rating must be 75 or above,,,,
142-02 84th drive,472166.3,,,112.0,Briarwood-Jamaica Hills,Market Rate,120.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,190.2,0,,,,,,,,,57124.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,5103780.65,195.6
33-43 Crescent Street,390585.7,,,112.0,Astoria,Market Rate,103.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,149.7,0,,1285.0,,,,,,3010554.68,69000.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,2895500.0,147.9
2 Rector Street,5646841.3,,,,Battery Park City-Lower Manhattan,,68.3,0.0,,,2010-12-31T00:00:00.000,,,Office,173.8,84,,,,11470543.08,,,2.3,,,,,,Not Eligible: Default space values used,,,,166.9
170 east 83rd street,742955.0,,,112.0,Upper East Side-Carnegie Hill,Market Rate,133.5,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,203.8,0,,,,,,,,,71226.0,0.0,,20.0,Not Eligible: Rating must be 75 or above,,,,203.8
,179793.1,,,,,,40.9,0.0,,,2011-01-31T00:00:00.000,,,Office,136.6,57,,,,,,,2.33,,,,,,Not Eligible: Rating must be 75 or above,,,,136.1
310-18 Convent Ave,141666.0,,,,Hamilton Heights,Market Rate,71.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,95.2,0,,,,,,,,,55176.0,,,0.0,Not Eligible: Rating must be 75 or above,,,3473829.03,100.0
4915 BROADWAY,486502.8,,,,Marble Hill-Inwood,Market Rate,99.9,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,137.7,0,,,,,,,,8826263.42,94500.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,137.7
3204 Holland Ave,281908.5,,,,Williamsbridge-Olinville,Market Rate,75.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,112.4,0,,,,,,,,,61428.0,,,1.0,Not Eligible: Rating must be 75 or above,,,3945600.0,115.4
53 Boerum Place,801287.5,,,112.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Market Rate,103.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,194.4,0,,,,,,,,,73223.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,4871554.84,195.3
1030 fifth ave,174480.0,,,,Upper East Side-Carnegie Hill,Market Rate,61.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,76.0,0,,,,,,,,,100250.0,,,18.0,Not Eligible: Rating must be 75 or above,,,,76.0
22 W 38 Street,,,,,Midtown-Midtown South,,,,,,2011-05-31T00:00:00.000,0.5,,Office,,0,,,,,,,3.49,,,,,,Not Eligible: Rating must be 75 or above,,,,
25 monroe place,276528.8,,,,Brooklyn Heights-Cobble Hill,Market Rate,76.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,113.0,0,,,,,,,,,65913.0,,,0.0,Not Eligible: Rating must be 75 or above,,,4105564.52,116.6
1484-1494 watson,195056.7,,,,,Market Rate,89.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,119.7,0,,,,,,,,,52800.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,119.7
4 W 21st Street,1095765.9,,,112.0,Hudson Yards-Chelsea-Flatiron-Union Square,Market Rate,71.6,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,147.8,0,,,,,,,,,115127.0,0.0,,108.0,Not Eligible: Rating must be 75 or above,,,4694483.87,147.4
250 East 31st Street,275616.8,,,,Murray Hill-Kips Bay,Market Rate,44.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,78.6,0,,,,,,,,,56501.0,,,28.0,Not Eligible: Rating must be 75 or above,,,1990703.23,81.0
3555 BRUCKNER BLVD,645568.4,,,112.0,Pelham Bay-Country Club-City Island,Market Rate,111.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,155.6,0,,,,,,,,,118750.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,154.0
142-05 Roosevelt Avenue,2007459.7,,,112.0,Flushing,Market Rate,88.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,154.3,0,,4631.0,,,,,2.3,,240054.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,154.3
250 East 65th Street,683929.0,,,,Lenox Hill-Roosevelt Island,Market Rate,67.7,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,99.5,0,,,,,,,,,125656.0,,,0.0,Not Eligible: Rating must be 75 or above,,,10324177.42,93.8
1259 Grant Avenue,,,,,East Concourse-Concourse Village,Both Affordable and Market Rate,,,,,2010-12-31T00:00:00.000,,,Multifamily Housing,,0,,,,,,,,,93570.0,,3871.6,0.0,Not Eligible: Rating must be 75 or above,,,,
980-990 Avenue of Americas,4969918.2,,,168.0,Midtown-Midtown South,Both Affordable and Market Rate,104.1,0.0,,,2010-12-31T00:00:00.000,0.91,,Multifamily Housing,219.5,0,,,,,,,3.77,,282000.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,1499478.91,209.5
69 bennett ave,336938.1,,,112.0,Washington Heights North,Market Rate,95.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,145.7,0,,,,,,,,,54408.0,0.0,,7.0,Not Eligible: Rating must be 75 or above,,,,145.7
831 GERARD AVE,372705.3,,,,West Concourse,Market Rate,80.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,111.3,0,,,,,,,,,100000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,111.3
1623-25 Third Ave,12826232.3,,,112.0,Yorkville,Market Rate,47.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,158.1,0,,10545.0,,,,,,,890517.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,155.4
681 ocean ave,249176.5,,,,Flatbush,Market Rate,117.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,154.9,0,,,,,,,2.3,,60251.0,,,0.0,Not Eligible: Rating must be 75 or above,,,6353641.94,165.1
37-37 88th Street,218004.2,,,,Jackson Heights,Market Rate,89.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,124.4,0,,,,,,,,,50968.0,,,3.0,Not Eligible: Rating must be 75 or above,,,,124.4
40-50 Brighton 1st road,2331141.9,,,112.0,Brighton Beach,Market Rate,110.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,160.2,0,,,,,,,,,408342.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,37095096.77,159.8
177 9th Avenue,1264587.0,,,112.0,Hudson Yards-Chelsea-Flatiron-Union Square,Market Rate,56.0,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,130.6,0,,20242.0,,,,,,,112569.0,0.0,,108.0,Not Eligible: Rating must be 75 or above,,,3378835.48,131.2
504 Broadway,2685828.6,,,,SoHo-TriBeCa-Civic Center-Little Italy,,77.7,0.0,,,2010-12-31T00:00:00.000,0.53,,Retail,253.6,64,,,,,,63.0,,,,,,,Not Eligible: Rating must be 75 or above,,,310524.76,247.3
263 WEST 38TH STREET,,,,,Midtown-Midtown South,,,,,,2010-11-30T00:00:00.000,,,Office,,90,,,,,,,,,,,,,Eligible,,,,
220 east 57th,996965.8,,,,,Market Rate,145.0,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,235.8,0,,,,13997942.58,,,2.3,,108500.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,211.1
220 west 93rd street,382924.0,,,,Upper West Side,Market Rate,71.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,96.5,0,,1030.0,,,,,,,118991.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,95.5
325 East 64th Street,,,,,Lenox Hill-Roosevelt Island,,,,,,2010-01-31T00:00:00.000,,,Multifamily Housing,,0,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,,,
1945 THIRD AVENUE,,,,,East Harlem South,,,,,,2010-11-30T00:00:00.000,,,Multifamily Housing,,0,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,,,
2085 Valentine Avenue,,,,,Mount Hope,,,,,,2010-11-30T00:00:00.000,,,Multifamily Housing,,0,,,,,,,,,,,,,Not Eligible: Rating must be 75 or above,,,,
241-251 sherman ave,331876.5,,,,Marble Hill-Inwood,Market Rate,110.3,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,153.0,0,,,,,,,2.3,5868133.75,59445.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,153.0
150-24 75th street,458848.6,,,,,Market Rate,31.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,63.5,0,,,,,,,,,116784.0,,,0.0,Not Eligible: Rating must be 75 or above,,,2093687.1,65.8
1154 Ward Ave,,,,,Soundview-Bruckner,Affordable Housing,,,,,2010-12-31T00:00:00.000,,,Multifamily Housing,,0,,,,,,,,,99715.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,
1065 park ave,363619.4,,,112.0,Upper East Side-Carnegie Hill,Market Rate,89.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,114.5,0,,2697.0,,,,,,,119599.0,0.0,,20.0,Not Eligible: Rating must be 75 or above,,,,114.5
3045 West 29th Street,705755.5,,,112.0,Seagate-Coney Island,Market Rate,87.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,153.0,0,,,,,,,2.3,,89311.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,5388900.0,157.0
38-48 Sickles Street,252639.0,,,,Washington Heights North,Market Rate,109.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,142.7,0,,,,,,,,,63396.0,,,10.0,Not Eligible: Rating must be 75 or above,,,,142.7
8-10 27th Avenue,974715.5,,,112.0,Old Astoria,Market Rate,81.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,120.8,0,,,,,,,2.3,,212639.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,13957654.84,124.5
390/394/416/420/424 Chester Ave,2217847.3,,,,,Affordable Housing,58.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,195.9,0,,,,,,,,,129000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,201.2
1-29 Bogardus Place,395840.0,,,,Washington Heights North,Market Rate,90.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,119.9,0,,,,,,,,,111055.0,,,6.0,Not Eligible: Rating must be 75 or above,,,,119.9
