nys_wms_rejection_code,cd_08,has_limited_english,cd_47,_45_64,has_reasonable_accommodation,unknown_race,cd_49,cd_36,has_limited_english_1,cd_50,_65,cd_26,cd_43
"M66-PA, FS - Receiving PA/FS in Another Case",301,2080,156,2458,398,37,198,179,7209,89,1368,130,92
N10-Failure to Keep/Complete Appointment,0,*,0,*,*,0,0,0,*,0,0,0,0
Total,981,8560,614,8126,539,70,640,779,28006,358,3139,429,488
Y12-Client Active On A PA Case,98,432,35,656,161,*,50,62,2407,17,132,40,18
E61-Not a Resident of District,*,10,0,*,*,0,*,0,40,*,*,0,0
"F49-Excess Resources, SNAP Disaster Area",0,*,0,0,0,0,0,0,0,0,*,0,0
M26-Failure to Provide Verification of Wage Match at Recertification(Adequate),*,*,0,*,0,0,0,0,13,0,0,0,0
E10-Failure to Keep/Complete Interview: No Schedule Appointment,0,16,0,*,0,0,*,0,47,0,*,0,*
Y29-Failure to Provide Verification -Expedited SNAP,0,0,0,0,0,0,0,0,*,0,0,0,0
M26-Failure to Provide Verification of Wage Match at Recertification(Adequate),0,*,*,*,0,0,0,*,*,0,*,0,0
E35-Excess Unearned Income Ineligible Budget Required,108,759,75,1317,181,84,81,104,3289,48,958,48,30
E63-Not a Resident of State,*,*,0,10,0,0,*,0,47,0,*,0,0
F10-Failure to Keep Initial Appointment/Interview,0,*,0,*,*,0,0,0,*,0,*,0,0
F52-Failure to Provide on Income or Resources for Federal Reporting,0,*,*,0,0,0,0,0,0,0,0,0,0
EZ1-Failure to Apply for SSI,0,*,0,0,0,0,0,0,*,0,*,0,0
E35-Excess Unearned Income Ineligible Budget Required,23,77,10,246,12,*,13,31,757,13,106,10,*
Y99-Other,*,57,*,197,*,0,*,*,318,*,46,*,*
E78-Living with Child's Other Parent,*,24,*,15,*,*,*,*,38,0,0,0,*
N16-Failure to Contact Agency,0,0,0,*,0,0,0,0,*,0,0,0,0
E60-Unable to Locate.,14,13,0,19,*,0,0,*,71,*,0,0,*
"M91-Client Request, Phone",0,*,*,12,0,0,*,*,55,*,*,*,*
"M67-PA, FS - Part of Another PA, FS Application",12,104,*,107,13,*,*,*,318,*,48,*,*
E35-Excess Unearned Income Ineligible Budget Required,137,900,77,1579,281,122,86,97,3943,38,1130,63,35
M13-Duplicate Assistance Active Cash Assistance Case in Other State,*,*,0,*,*,*,0,*,29,0,0,0,0
Y50-Your application for public assistance is rejected MA Determination,*,*,*,11,*,*,*,0,28,*,*,0,0
