boro_block_lot,expense_per_sqft_3,total_units_3,estimated_expense,estimated_expense_1,boro_block_lot_3,building_classification_1,year_built_3,gross_income_per_sqft_1,address_1,market_value_per_sqft,boro_block_lot_2,expense_per_sqft_1,gross_sqft,full_market_value_2,full_market_value_1,gross_income_per_sqft_3,year_built_1,total_units,neighborhood,gross_sqft_2
1-00841-0021,11.03,14.0,148324,160991,1-00910-0003,C7  -WALK-UP,1925.0,50.55,484 9 AVENUE,266.43,1-00761-0004,14.08,10329,5531000,5126000,44.09,1920,13,FASHION,20988
1-00793-0014,13.49,18.0,480442,242025,1-00802-0001,D9  -ELEVATOR,1920.0,37.58,215 WEST 20 STREET,267.09,1-00794-0062,9.22,32862,5769000,6045000,47.51,1910,13,CHELSEA,18714
1-00586-0081,15.55,16.0,146403,171969,1-00590-0060,C5  -WALK-UP,1875.0,52.37,26 LEROY STREET,304.3,1-00590-0038,14.41,9415,2557000,2678000,53.02,1907,20,GREENWICH VILLAGE-WEST,6740
1-01209-0146,11.96,23.0,64046,106911,1-01243-0038,C7  -WALK-UP,1900.0,35.71,201 WEST 88 STREET,202.61,1-01243-0037,7.75,5355,2757000,5625000,36.9,1920,11,UPPER WEST SIDE (79-96),11175
1-00803-0065,,,439570,368022,,D5  -ELEVATOR,,44.67,110 WEST 26 STREET,234.87,1-00792-0038,14.14,28250,6689000,4538000,,1907,20,CHELSEA,34500
1-00620-0056,14.16,20.0,228215,158072,1-00620-0037,C1  -WALK-UP,1920.0,46.7,207 WEST 10 STREET,274.65,1-00621-0058,11.83,19210,6157000,7194000,45.44,1905,30,GREENWICH VILLAGE-WEST,23296
1-00745-0056,8.97,24.0,156899,412644,1-00738-0057,C1  -WALK-UP,1904.0,40.13,247 WEST 21 STREET,257.47,1-00768-0072,10.04,18612,6537000,9748000,42.3,1920,27,CHELSEA,22554
1-01197-0061,20.08,36.0,282662,403921,1-01199-0061,D7  -ELEVATOR,1910.0,55.16,101 WEST 86 STREET,361.52,1-01216-0001,13.89,20350,7964000,14550000,56.42,1910,31,UPPER WEST SIDE (79-96),20370
1-00531-0001,15.49,21.0,917752,8682541,1-00558-0013,D6  -ELEVATOR,1900.0,48.12,300 MERCER STREET,269.48,1-00548-0001,17.73,59248,62558000,181224000,48.67,1976,24,GREENWICH VILLAGE-CENTRAL,218985
1-00772-0012,15.41,16.0,390169,149398,1-00753-0067,C1  -WALK-UP,1900.0,46.92,244 WEST 21 STREET,251.49,1-00768-0072,17.57,24462,6537000,2629000,47.46,1944,36,CHELSEA,22554
1-00537-0033,14.47,43.0,323983,320207,1-00532-0030,D1  -ELEVATOR,1900.0,48.29,136 WEST 4 STREET,284.32,1-00552-0010,15.34,22390,7318000,4611000,49.48,1929,14,GREENWICH VILLAGE-CENTRAL,27108
1-00905-0026,14.81,37.0,1779728,543834,1-00883-0047,D6  -ELEVATOR,1984.0,47.48,152 EAST 22 STREET,262.65,1-00879-0033,22.21,112641,12142000,9677000,48.63,1930,167,GRAMERCY,41883
1-00827-0042,15.59,25.0,314256,362272,1-00821-0040,D6  -ELEVATOR,1935.0,49.48,4 WEST 22 STREET,312.33,1-00819-0020,12.3,23261,8330000,8357000,52.33,1904,14,FLATIRON,27758
1-00386-0058,10.3,40.0,203964,1508040,1-00421-0044,D3  -ELEVATOR,1993.0,37.31,15 BIALYSTOKER PLACE,157.34,1-00346-0001,15.38,18114,9941000,22403000,30.18,1982,24,ALPHABET CITY,137909
1-00562-0040,,,857582,682920,,D6  -ELEVATOR,,58.46,70 EAST 12 STREET,293.94,1-00577-0010,16.26,38981,14225000,18414000,,1987,64,GREENWICH VILLAGE-CENTRAL,37810
1-01033-0046,12.54,20.0,262153,103626,1-01467-0036,C4  -WALK-UP,1910.0,34.3,356 WEST 45 STREET,171.74,1-01034-0027,10.26,19390,1666000,1801000,34.67,1930,40,MIDTOWN WEST,9940
1-01046-0042,16.45,121.0,292395,608964,1-01010-0046,D1  -ELEVATOR,1930.0,43.88,330 WEST 55 STREET,228.03,1-01011-0025,15.8,18506,19498000,7843000,46.63,1954,33,MIDTOWN WEST,66173
1-00348-0007,9.18,11.0,115937,85670,1-00348-0012,C4  -WALK-UP,1900.0,38.46,231 HENRY STREET,231.55,1-00343-0060,9.95,11652,2739000,1563000,37.18,1900,12,LOWER EAST SIDE,9570
1-00502-0038,18.69,28.0,788348,398699,1-00501-0006,D5  -ELEVATOR,1910.0,54.44,508 BROOME STREET,255.34,1-00477-0001,18.46,34276,17950000,6124000,57.41,1900,16,SOHO,125235
1-00929-0001,16.42,374.0,15231044,1770275,1-00701-0062,D6  -ELEVATOR,2008.0,41.74,143 EAST 23 STREET,181.6,1-00944-0045,17.38,927591,72784000,22567000,38.78,1928,522,KIPS BAY,268874
1-00907-0056,15.34,51.0,3579129,12087170,1-00883-0025,D6  -ELEVATOR,1988.0,44.02,500 2 AVENUE,239.5,1-00875-0003,14.58,233320,23954000,240513000,44.83,1975,285,GRAMERCY,51122
1-00905-0006,17.2,213.0,2490104,1057162,1-00928-0040,D3  -ELEVATOR,1965.0,45.0,214 EAST 24 STREET,221.39,1-00883-0025,18.29,144942,9969000,16430000,44.06,1980,180,GRAMERCY,41053
1-00799-0035,11.96,32.0,1089654,1750410,1-00776-0004,D6  -ELEVATOR,1900.0,38.45,208 WEST 23 STREET,218.96,1-00791-0036,11.49,94835,56179000,46866000,37.74,1927,84,CHELSEA,195442
1-01118-0022,20.91,467.0,8460000,6366150,1-01151-0017,D8  -ELEVATOR,1973.0,54.67,60 WEST 66 STREET,272.23,1-01120-0051,21.15,400000,13212000,96723000,54.46,1974,277,UPPER WEST SIDE (59-79),65000
1-01067-0008,14.15,40.0,1730630,378282,1-01086-0034,D7  -ELEVATOR,1945.0,43.13,814 10 AVENUE,239.09,1-01067-0032,15.01,114992,6391000,6320000,44.65,1920,237,CLINTON,20265
1-00431-0025,16.64,26.0,1930355,587773,1-00445-0004,D9  -ELEVATOR,1900.0,39.2,156 2 AVENUE,192.31,1-00457-0028,14.92,121406,35005000,18453000,41.12,1920,105,EAST VILLAGE,115187
1-00928-0001,16.69,18.0,3081260,13471640,1-00927-0029,D6  -ELEVATOR,1910.0,54.97,500 2 AVENUE,314.46,1-00907-0025,16.25,189616,126886000,240513000,55.85,1975,266,KIPS BAY,348386
1-00609-0047,19.77,498.0,1470529,770384,1-00604-0033,D6  -ELEVATOR,1892.0,47.7,221 WEST 12 STREET,255.34,1-00618-0033,17.8,94144,43407000,15384000,46.83,1930,102,GREENWICH VILLAGE-WEST,142204
1-00871-0021,16.67,45.0,239598,184757,1-00873-0028,D1  -ELEVATOR,1963.0,48.87,76 IRVING PLACE,276.79,1-00903-0013,14.79,16200,6529000,2659000,48.27,1910,29,GRAMERCY,17526
1-00897-0001,15.23,236.0,888560,659985,1-00872-0035,D6  -ELEVATOR,1963.0,47.69,239 PARK AVENUE SOUTH,258.97,1-00896-0048,12.91,58000,40179000,23954000,46.31,1911,55,GRAMERCY,158505
1-00440-0052,7.99,21.0,62094,21225,1-00441-0018,C7  -WALK-UP,1960.0,20.64,249 EAST 10 STREET,114.25,1-00452-0025,2.27,9794,3180000,4906000,21.12,1900,16,EAST VILLAGE,9422
1-00400-0045,14.27,35.0,184768,361932,1-00392-0048,C4  -WALK-UP,1900.0,33.09,181 EAST 2 STREET,155.85,1-00392-0022,13.81,12948,4696000,1973000,33.46,1910,21,ALPHABET CITY,20599
1-00576-0056,14.03,35.0,625542,306548,1-00552-0010,D1  -ELEVATOR,1900.0,46.63,60 WEST 10 STREET,264.28,1-00563-0043,14.74,44586,6936000,5205000,46.57,1910,23,GREENWICH VILLAGE-CENTRAL,23353
1-00443-0030,16.46,26.0,372408,500685,1-00445-0004,D6  -ELEVATOR,1900.0,51.68,31 2 AVENUE,244.6,1-00459-0029,18.66,22625,3953000,9994000,45.61,1900,23,EAST VILLAGE,45426
1-00188-0001,14.01,13.0,316632,22505805,1-00092-0017,D6  -ELEVATOR,1900.0,44.86,310 GREENWICH STREET,269.7,1-00016-0100,11.42,23700,426598000,375422000,47.53,1975,14,TRIBECA,1881621
1-01120-0029,18.49,72.0,2166104,4519445,1-01492-0036,D6  -ELEVATOR,1962.0,57.69,135 CENTRAL PARK WEST,314.47,1-01491-0004,20.8,117150,54799000,82036000,57.21,1906,61,UPPER WEST SIDE (59-79),102053
1-00504-0039,16.05,24.0,203225,174349,1-00503-0026,C7  -WALK-UP,1900.0,58.71,18 KING STREET,321.43,1-00502-0006,14.88,12662,9363000,6401000,55.63,1920,20,SOHO,21190
1-01030-0029,17.86,47.0,10076541,5628320,1-01491-0004,D6  -ELEVATOR,1969.0,51.61,240 EAST 59 STREET,273.79,1-01422-0021,17.36,564196,76383000,76684000,51.57,1983,314,MIDTOWN WEST,348130
1-01210-0017,10.27,36.0,534234,372883,1-01229-0006,D3  -ELEVATOR,1900.0,30.7,158 WEST 81 STREET,168.03,1-01227-0061,10.01,53370,6433000,6351000,30.51,1930,53,UPPER WEST SIDE (79-96),49840
1-00391-0048,13.04,24.0,180007,158645,1-00392-0045,C4  -WALK-UP,1900.0,40.76,608 EAST 9 STREET,218.95,1-00391-0059,13.8,13044,4418000,2517000,45.34,1910,25,ALPHABET CITY,18732
1-00179-0006,,,671458,399577,,D6  -ELEVATOR,,46.98,33 WARREN STREET,240.99,1-01422-0021,12.89,47520,76383000,8581000,,1930,13,TRIBECA,348130
1-00502-0012,12.25,24.0,194438,280604,1-00519-0030,C7  -WALK-UP,1920.0,53.23,195 SPRING STREET,314.04,1-00502-0006,16.04,12750,9363000,4527000,57.51,1900,32,SOHO,21190
1-00766-0023,15.98,21.0,432593,166491,1-00765-0014,C1  -WALK-UP,1901.0,46.86,226 WEST 15 STREET,260.63,1-00740-0053,15.01,31715,3821000,5373000,45.01,1900,51,CHELSEA,9000
1-01196-0029,18.36,61.0,4510611,2179298,1-01199-0055,D7  -ELEVATOR,1931.0,44.92,251 CENTRAL PARK WEST,209.05,1-01197-0113,17.0,245676,5411000,30672000,44.1,1925,345,UPPER WEST SIDE (79-96),46845
1-00791-0032,14.36,22.0,117263,132728,1-00765-0013,C4  -WALK-UP,1901.0,57.77,240 WEST 16 STREET,304.94,1-00790-0056,18.8,6175,2834000,2234000,55.15,1901,19,CHELSEA,9925
1-00633-0030,19.8,16.0,142560,172131,1-00622-0012,C4  -WALK-UP,1910.0,60.6,81 PERRY STREET,371.56,1-00588-0040,19.02,9600,5085000,4914000,60.99,1901,16,GREENWICH VILLAGE-WEST,9320
1-00841-0070,13.7,12.0,159824,4137796,1-00779-0052,D7  -ELEVATOR,1927.0,50.9,354 WEST 34 STREET,296.67,1-00835-0015,14.81,11666,37894000,75572000,50.23,1930,11,FASHION,160126
1-00898-0001,,,3490569,3564566,,D6  -ELEVATOR,,43.66,166 3 AVENUE,246.89,1-00875-0003,15.1,250220,23954000,54106000,,1963,277,GRAMERCY,51122
1-01141-0039,10.96,16.0,894680,469459,1-01184-0025,D3  -ELEVATOR,1920.0,39.86,115 WEST 71 STREET,214.49,1-01126-0038,12.91,66917,26865000,8121000,38.04,1913,38,UPPER WEST SIDE (59-79),71890
1-01039-0042,,,96118,94185,,C4  -WALK-UP,,40.3,310 WEST 49 STREET,248.4,1-01038-0005,8.97,9545,2021000,2920000,,1920,20,MIDTOWN WEST,10615
1-00827-0060,13.94,181.0,709340,1849721,1-01422-0021,D5  -ELEVATOR,1973.0,49.02,80 VARICK STREET,278.32,1-01332-0029,14.77,48685,76684000,17950000,47.73,1920,21,FLATIRON,324212
1-00454-0066,,,198198,192764,,C1  -WALK-UP,,48.43,417 EAST 12 STREET,237.65,1-00455-0047,17.47,11054,3561000,4475000,,1920,13,EAST VILLAGE,10730
1-00576-0066,,,1270212,738149,,D8  -ELEVATOR,,47.17,107 UNIVERSITY PLACE,229.25,1-00575-0077,17.01,67421,18288000,9230000,,1940,80,GREENWICH VILLAGE-CENTRAL,63943
1-00762-0014,11.63,108.0,649842,952012,1-00786-0042,D5  -ELEVATOR,1902.0,38.2,313 WEST 37 STREET,179.25,1-00757-0066,11.56,50968,75572000,25886000,33.51,1922,13,FASHION,279392
1-00588-0048,12.99,17.0,299277,118093,1-00619-0069,C7  -WALK-UP,1905.0,54.38,43 GROVE STREET,371.89,1-00592-0029,10.09,23039,8574000,4738000,58.78,1900,36,GREENWICH VILLAGE-WEST,20670
1-01054-0024,18.45,19.0,335593,119577,1-01055-0063,C7  -WALK-UP,1960.0,42.71,433 WEST 45 STREET,220.33,1-01054-0055,15.58,21540,1847000,3077000,42.24,1901,35,CLINTON,8600
1-00354-0027,12.43,19.0,101319,162960,1-00353-0024,C7  -WALK-UP,1930.0,42.96,112 ELDRIDGE STREET,268.65,1-00298-0015,13.58,10255,3747000,2249000,42.2,1909,20,LOWER EAST SIDE,22722
1-01064-0001,15.32,22.0,235373,139725,1-01060-0036,C7  -WALK-UP,1910.0,38.54,410 WEST 56 STREET,172.17,1-01065-0039,18.63,13574,1617000,1628000,37.11,1900,23,CLINTON,9295
1-00391-0057,14.47,50.0,271965,312281,1-00397-0022,C4  -WALK-UP,1910.0,40.41,374 EAST 10 STREET,203.34,1-00392-0048,15.16,18216,8925000,4696000,39.6,1900,12,ALPHABET CITY,43871
1-00622-0065,14.52,17.0,193636,143488,1-00634-0067,C7  -WALK-UP,1900.0,67.52,19 GREENWICH AVENUE,420.18,1-00619-0069,15.78,12271,4205000,4045000,66.65,1920,26,GREENWICH VILLAGE-WEST,10437
1-00871-0039,20.49,11.0,2525783,3396961,1-00896-0015,D6  -ELEVATOR,1915.0,42.61,166 3 AVENUE,259.08,1-00874-0073,14.39,193695,7145000,54106000,68.15,1963,249,GRAMERCY,27585
1-00898-0039,14.24,70.0,299040,1137001,1-00925-0060,D3  -ELEVATOR,1948.0,43.39,237 EAST 20 STREET,237.57,1-00872-0069,15.34,21000,3868000,14256000,43.49,1929,16,GRAMERCY,21335
1-00503-0027,13.7,30.0,160515,290515,1-00503-0015,C7  -WALK-UP,1900.0,47.57,98 THOMPSON STREET,262.96,1-00503-0045,13.71,11070,4527000,9363000,46.87,1900,26,SOHO,17494
1-00459-0046,7.3,19.0,84500,227070,1-00353-0024,C7  -WALK-UP,1930.0,23.2,195 AVENUE B,102.1,1-00413-0004,8.41,10000,2249000,5490000,20.85,1910,15,EAST VILLAGE,12000
1-00744-0063,20.17,20.0,371498,95474,1-00744-0044,C1  -WALK-UP,1900.0,50.35,306 WEST 22 STREET,253.7,1-00770-0029,19.11,19440,2172000,2334000,51.29,1920,31,CHELSEA,7805
1-00562-0036,16.63,88.0,665013,747180,1-00575-0077,D6  -ELEVATOR,1924.0,71.03,70 EAST 12 STREET,286.29,1-00576-0076,17.79,40061,9369000,18414000,51.85,1987,51,GREENWICH VILLAGE-CENTRAL,37824
1-00563-0037,15.13,49.0,1961900,411573,1-00558-0010,D9  -ELEVATOR,1930.0,54.63,18 EAST 14 STREET,305.12,1-00557-0022,17.06,115000,18414000,9061000,53.94,1900,152,GREENWICH VILLAGE-CENTRAL,42000
1-00564-0026,,,1476320,789540,,D5  -ELEVATOR,,50.51,6 EAST 13 STREET,264.07,1-00592-0082,15.98,79974,11546000,14467000,,1900,95,GREENWICH VILLAGE-CENTRAL,38214
1-00517-0007,15.58,24.0,123866,246993,1-00519-0026,C1  -WALK-UP,1920.0,56.6,104 SULLIVAN STREET,352.63,1-00519-0028,13.18,9398,3805000,6246000,54.95,1910,20,SOHO,11826
1-00545-0008,14.47,137.0,930797,2676169,1-00557-0017,D5  -ELEVATOR,1962.0,69.88,752 BROADWAY,267.68,1-00564-0011,18.11,64326,9534000,62127000,47.43,1909,20,GREENWICH VILLAGE-CENTRAL,34708
1-00916-0061,,,2058956,1720757,,D6  -ELEVATOR,,51.4,141 EAST 33 STREET,273.38,1-00893-0082,16.79,118467,27408000,26177000,,1960,153,MURRAY HILL,110949
1-00744-0019,11.28,15.0,66880,60751,1-00741-0060,C1  -WALK-UP,1910.0,51.9,306 WEST 22 STREET,322.73,1-00745-0029,12.16,5500,2025000,2334000,54.83,1920,12,CHELSEA,9250
1-00404-0013,13.2,16.0,140897,125686,1-00407-0006,C1  -WALK-UP,1900.0,50.18,509 EAST 12 STREET,298.67,1-00407-0046,14.86,10674,2587000,3431000,49.97,1900,13,ALPHABET CITY,10081
1-01063-0054,,,127319,160069,,C4  -WALK-UP,,28.04,404 WEST 56 STREET,117.39,1-01065-0044,12.59,9660,4931000,2481000,,1901,19,CLINTON,26500
1-01030-0048,13.79,111.0,1246667,4053657,1-01011-0013,D6  -ELEVATOR,1928.0,48.9,41 WEST 58 STREET,283.33,1-01030-0058,15.05,82835,110398000,86876000,48.47,1948,78,MIDTOWN WEST,387428
1-01196-0052,,,771089,252963,,D1  -ELEVATOR,,39.16,20 WEST 87 STREET,209.94,1-01196-0024,14.84,56949,1602000,4210000,,1910,66,UPPER WEST SIDE (79-96),6840
1-01026-0026,12.88,20.0,880695,219368,1-01026-0009,D7  -ELEVATOR,1910.0,51.69,325 WEST 51 STREET,309.34,1-01007-0051,13.6,64757,7194000,5596000,52.49,1987,77,MIDTOWN WEST,26496
1-00891-0083,16.52,119.0,660800,1268559,1-00892-0001,D7  -ELEVATOR,1950.0,46.39,150 EAST 39 STREET,258.75,1-00886-0058,13.96,40000,2601000,22824000,48.38,1928,63,MURRAY HILL,21236
1-00791-0031,18.74,28.0,93196,156676,1-00791-0029,C4  -WALK-UP,1914.0,47.5,224 WEST 16 STREET,257.97,1-00791-0022,16.02,5803,2382000,3135000,52.4,1901,11,CHELSEA,8320
1-00482-0022,16.85,28.0,283152,358959,1-00501-0006,D5  -ELEVATOR,1910.0,58.24,508 BROOME STREET,368.94,1-00477-0001,16.62,22104,17950000,6124000,61.21,1900,13,SOHO,125235
1-00564-0020,16.63,88.0,563122,440523,1-00575-0077,D9  -ELEVATOR,1924.0,64.51,18 EAST 14 STREET,286.3,1-00558-0013,18.26,33923,7738000,9061000,51.85,1900,43,GREENWICH VILLAGE-CENTRAL,25850
1-00379-0011,,,170377,148241,,C4  -WALK-UP,,47.34,173 AVENUE C,223.05,1-00395-0006,19.34,8675,1773000,2099000,,1900,12,ALPHABET CITY,6432
1-01143-0037,13.96,36.0,688530,493471,1-01125-0061,D7  -ELEVATOR,1925.0,39.98,322 COLUMBUS AVENUE,214.17,1-01124-0056,13.61,50590,8109000,13817000,42.23,1926,92,UPPER WEST SIDE (59-79),24607
1-01076-0019,11.61,20.0,271992,194873,1-01078-0111,C1  -WALK-UP,1901.0,42.22,536 WEST 50 STREET,230.32,1-01058-0011,10.27,21101,1122000,5048000,39.91,1946,16,CLINTON,8165
1-00452-0042,13.59,35.0,127270,344111,1-00392-0048,C4  -WALK-UP,1900.0,32.41,181 EAST 2 STREET,155.9,1-00392-0022,13.13,9365,4696000,1973000,32.78,1910,20,EAST VILLAGE,20599
1-00765-0062,18.22,24.0,194730,169096,1-00764-0053,C4  -WALK-UP,1900.0,46.84,224 WEST 16 STREET,255.3,1-00766-0050,17.29,12080,2866000,3135000,49.55,1901,20,CHELSEA,10872
1-00482-0003,17.78,28.0,629850,378829,1-00501-0006,D5  -ELEVATOR,1910.0,56.37,508 BROOME STREET,303.5,1-00477-0001,17.54,33150,17950000,6124000,59.34,1900,13,SOHO,125235
1-00566-0001,13.41,115.0,6010448,2676169,1-00572-0038,D5  -ELEVATOR,1940.0,69.88,752 BROADWAY,317.39,1-00557-0017,18.11,392071,33368000,62127000,54.41,1909,273,GREENWICH VILLAGE-CENTRAL,124630
1-00632-0056,17.91,13.0,170414,154343,1-00614-0025,C4  -WALK-UP,1900.0,53.56,72 CHARLES STREET,311.51,1-00588-0040,16.17,9515,5085000,2312000,56.26,1901,15,GREENWICH VILLAGE-WEST,9320
1-01166-0154,8.57,19.0,454154,1706808,1-01184-0067,D3  -ELEVATOR,1920.0,42.28,393 WEST END AVENUE,243.4,1-01185-0030,12.72,44351,2520000,28792000,40.07,1927,38,UPPER WEST SIDE (59-79),11700
1-00742-0022,12.51,35.0,450870,103900,1-00745-0026,D1  -ELEVATOR,1938.0,44.18,329 WEST 14 STREET,250.8,1-00716-0055,13.3,33900,7287000,3283000,43.96,1900,60,CHELSEA,21000
1-00468-0024,11.69,24.0,153256,171792,1-00469-0044,C4  -WALK-UP,1920.0,46.29,235 EAST 13 STREET,281.01,1-00469-0043,11.38,13110,4154000,5799000,46.29,1920,28,EAST VILLAGE,10626
1-00847-0024,12.55,12.0,896780,1414451,1-00823-0047,D6  -ELEVATOR,1904.0,58.07,268 PARK AVENUE SOUTH,310.64,1-00850-0064,12.93,43073,31451000,33462000,59.07,1927,24,FLATIRON,78646
1-00771-0028,16.56,35.0,165848,257816,1-00722-0048,D3  -ELEVATOR,1910.0,55.35,270 WEST 25 STREET,317.12,1-00745-0026,19.24,10015,4691000,3249000,55.61,1930,20,CHELSEA,20496
1-00144-0001,,,1159712,2025398,,D6  -ELEVATOR,,53.87,121 READE STREET,375.54,1-00174-0023,14.01,78306,11001000,46802000,,1997,36,TRIBECA,25738
