dbn,q11_i_trust_the_principal,q28_how_satisfied_are_you,q10_my_child_feels_like_they,q39_if_you_are_a_parent,q36_if_you_are_a_parent_1,q23_i_am_satisfied_with_my_1,q14_the_principal_school_1,q18_the_principal_school_1,q6_my_child_s_school,q1_school_staff_regularly_1,q15_the_principal_school_1,q30_during_the_school_year_1,q10_my_child_feels_like_they_1,q23_i_am_satisfied_with_my,q15_the_principal_school,q41_if_you_are_a_parent_1,q27_how_satisfied_are_you_1,q34_if_you_are_a_parent,q36_if_you_are_a_parent,q27_how_satisfied_are_you,q41_if_you_are_a_parent,q4_i_feel_respected_by_my,q25_how_satisfied_are_you
04M112,90%,,95%,80%,14%,,5%,0%,100%,5%,5%,0%,5%,,95%,0%,,0%,86%,,100%,100%,100%
06M173,95%,,98%,100%,4%,17%,9%,7%,98%,8%,7%,3%,2%,83%,93%,0%,,0%,96%,,100%,97%,94%
07X548,97%,,94%,0%,0%,18%,3%,3%,100%,16%,7%,47%,6%,82%,93%,0%,,97%,100%,,0%,94%,90%
04M108,100%,,100%,,,,0%,0%,100%,11%,11%,0%,0%,,89%,,,0%,,,,100%,100%
11X513,100%,,100%,0%,,,0%,0%,100%,6%,0%,0%,0%,,100%,0%,,100%,,,0%,94%,94%
17K352,98%,,96%,0%,0%,0%,1%,0%,99%,1%,0%,20%,4%,100%,100%,0%,,0%,100%,,0%,100%,98%
04M102,77%,,85%,,,,27%,33%,100%,23%,33%,0%,15%,,67%,,,0%,,,,85%,77%
20K682,98%,,96%,0%,5%,9%,3%,10%,98%,8%,4%,2%,4%,91%,96%,0%,,0%,95%,,0%,98%,88%
10X159,100%,,100%,0%,12%,0%,0%,0%,100%,1%,0%,4%,0%,0%,100%,0%,,0%,88%,,0%,100%,100%
08X100,94%,,96%,100%,4%,5%,7%,5%,98%,8%,5%,12%,4%,95%,95%,0%,,0%,96%,,100%,97%,92%
18K272,93%,,98%,,18%,,10%,2%,96%,4%,5%,15%,2%,,95%,,,0%,82%,,,96%,86%
18K563,88%,,80%,0%,,,9%,8%,96%,7%,12%,23%,20%,,88%,0%,,92%,,,0%,93%,77%
04M007,91%,,94%,,20%,38%,7%,7%,92%,25%,12%,25%,6%,62%,88%,,,0%,80%,,,97%,89%
05M092,100%,,96%,0%,0%,,0%,0%,96%,0%,0%,15%,4%,,100%,0%,,0%,100%,,0%,100%,91%
02M605,100%,,100%,0%,,0%,20%,0%,100%,17%,20%,17%,0%,0%,80%,0%,,83%,,,0%,100%,83%
04M057,94%,,94%,,14%,33%,7%,6%,93%,10%,6%,7%,6%,67%,94%,,,0%,86%,,,97%,88%
15K863,95%,,98%,98%,8%,62%,5%,6%,97%,11%,12%,2%,2%,38%,88%,10%,,0%,92%,,90%,98%,98%
12X006,98%,,97%,100%,0%,9%,3%,1%,99%,4%,4%,9%,3%,91%,96%,9%,,0%,100%,,91%,98%,95%
02M316,89%,,83%,0%,20%,38%,11%,10%,94%,17%,12%,26%,17%,62%,88%,0%,,86%,80%,,0%,94%,83%
02M438,100%,,100%,0%,0%,0%,8%,0%,100%,13%,17%,40%,0%,100%,83%,0%,,93%,0%,,0%,100%,87%
19K214,97%,,98%,100%,5%,10%,4%,4%,98%,6%,5%,13%,2%,90%,95%,9%,,0%,95%,,91%,98%,95%
16K309,94%,,98%,96%,8%,44%,8%,6%,95%,7%,9%,6%,2%,56%,91%,4%,,0%,92%,,96%,96%,95%
04M182,95%,,97%,,0%,14%,5%,4%,97%,6%,6%,5%,3%,86%,94%,,,0%,100%,,,96%,97%
14K084,98%,,96%,,6%,50%,11%,9%,99%,4%,13%,8%,4%,50%,87%,,,0%,94%,,,95%,93%
19K557,95%,,95%,100%,4%,0%,3%,2%,97%,6%,3%,4%,5%,100%,97%,17%,,0%,96%,,83%,98%,95%
13K113,100%,,100%,0%,0%,,6%,6%,100%,21%,5%,26%,0%,,95%,0%,,0%,100%,,0%,100%,89%
11X508,92%,,88%,0%,21%,11%,5%,4%,98%,4%,7%,23%,12%,89%,93%,0%,,88%,79%,,0%,96%,78%
17K340,100%,,91%,0%,0%,,0%,0%,96%,0%,0%,30%,9%,,100%,0%,,0%,100%,,0%,100%,89%
06M098,100%,,97%,100%,12%,,3%,3%,100%,13%,3%,5%,3%,,97%,0%,,0%,88%,,100%,100%,95%
07X298,98%,,98%,0%,5%,5%,2%,2%,98%,3%,2%,3%,2%,95%,98%,0%,,0%,95%,,0%,98%,98%
11X275,96%,,85%,0%,25%,,4%,5%,96%,23%,8%,19%,15%,,92%,0%,,72%,75%,,0%,88%,87%
19K409,99%,,97%,0%,9%,0%,1%,3%,99%,5%,5%,13%,3%,100%,95%,0%,,96%,91%,,0%,97%,96%
09X250,90%,,95%,0%,,,5%,5%,100%,0%,0%,25%,5%,,100%,0%,,90%,,,0%,100%,95%
20K176,98%,,97%,0%,8%,9%,3%,3%,96%,6%,4%,8%,3%,91%,96%,0%,,0%,92%,,0%,98%,92%
17K600,98%,,87%,0%,4%,15%,6%,6%,96%,27%,7%,24%,13%,85%,93%,0%,,88%,96%,,0%,93%,86%
06M209,97%,,97%,0%,0%,7%,4%,3%,97%,8%,6%,8%,3%,93%,94%,0%,,0%,100%,,0%,96%,93%
02M437,85%,,92%,0%,0%,,17%,15%,92%,23%,15%,50%,8%,,85%,0%,,100%,100%,,0%,92%,85%
12X251,97%,,91%,0%,10%,0%,3%,4%,94%,9%,7%,16%,9%,100%,93%,0%,,91%,90%,,0%,91%,91%
10X344,98%,,97%,,0%,14%,2%,2%,97%,7%,3%,3%,3%,86%,97%,,,0%,100%,,,97%,91%
16K035,99%,,100%,0%,4%,0%,3%,4%,99%,4%,3%,21%,0%,100%,97%,0%,,0%,96%,,0%,99%,96%
15K131,96%,,97%,100%,2%,7%,4%,5%,96%,5%,4%,11%,3%,93%,96%,0%,,0%,98%,,100%,98%,92%
04M206,97%,,98%,0%,8%,6%,2%,2%,99%,5%,3%,10%,2%,94%,97%,0%,,0%,92%,,0%,99%,98%
10X307,97%,,97%,0%,0%,5%,5%,4%,97%,3%,6%,10%,3%,95%,94%,0%,,0%,100%,,0%,98%,98%
11X542,92%,,95%,0%,6%,23%,11%,5%,96%,6%,5%,33%,5%,77%,95%,0%,,92%,94%,,0%,96%,89%
11X288,95%,,95%,0%,22%,11%,2%,3%,92%,9%,4%,22%,5%,89%,96%,0%,,95%,78%,,0%,95%,92%
08X348,95%,,92%,0%,0%,11%,9%,7%,92%,8%,15%,51%,8%,89%,85%,0%,,92%,100%,,0%,95%,97%
07X522,96%,,89%,0%,0%,0%,13%,13%,96%,14%,15%,36%,11%,100%,85%,0%,,93%,100%,,0%,96%,89%
18K208,91%,,89%,,18%,12%,11%,9%,93%,11%,11%,18%,11%,88%,89%,,,0%,82%,,,93%,91%
11X180,93%,,92%,0%,14%,7%,13%,6%,98%,22%,16%,22%,8%,93%,84%,0%,,0%,86%,,0%,97%,85%
06M322,96%,,95%,0%,5%,5%,6%,5%,98%,7%,4%,8%,5%,95%,96%,0%,,0%,95%,,0%,96%,95%
02M288,92%,,91%,0%,,0%,5%,17%,100%,12%,5%,21%,9%,100%,95%,0%,,96%,,,0%,100%,86%
02M520,100%,,91%,0%,,,5%,0%,100%,13%,5%,52%,9%,,95%,0%,,95%,,,0%,100%,91%
12X388,100%,,99%,0%,0%,5%,0%,3%,100%,1%,1%,12%,1%,95%,99%,0%,,98%,100%,,0%,100%,98%
09X517,95%,,96%,0%,1%,11%,2%,1%,93%,5%,4%,48%,4%,89%,96%,0%,,94%,99%,,0%,97%,97%
21K239,95%,,94%,0%,25%,18%,9%,12%,96%,20%,17%,20%,6%,82%,83%,0%,,0%,75%,,0%,94%,82%
06M152,100%,,100%,100%,1%,0%,0%,0%,100%,0%,0%,23%,0%,100%,100%,0%,,0%,99%,,100%,100%,97%
09X327,100%,,97%,0%,8%,9%,5%,3%,100%,9%,3%,20%,3%,91%,97%,0%,,96%,92%,,0%,99%,95%
03M250,100%,,97%,0%,20%,11%,6%,3%,97%,3%,6%,14%,3%,89%,94%,0%,,0%,80%,,0%,100%,97%
10X442,93%,,93%,0%,21%,4%,5%,6%,98%,10%,7%,36%,7%,96%,93%,0%,,96%,79%,,0%,96%,94%
13K553,,,,0%,,0%,,,,,,,,0%,,0%,,,,,0%,,
15K130,87%,,97%,100%,20%,14%,17%,20%,99%,17%,16%,3%,3%,86%,84%,0%,,0%,80%,,100%,97%,85%
12X550,99%,,95%,0%,,23%,4%,2%,94%,7%,3%,32%,5%,77%,97%,0%,,94%,,,0%,95%,98%
06M462,94%,,96%,0%,3%,2%,5%,3%,94%,4%,4%,31%,4%,98%,96%,0%,,98%,97%,,0%,95%,99%
08X182,99%,,97%,100%,0%,15%,7%,4%,99%,5%,4%,29%,3%,85%,96%,0%,,0%,100%,,100%,99%,93%
02M042,99%,,99%,100%,0%,5%,2%,1%,99%,2%,2%,2%,1%,95%,98%,0%,,0%,100%,,100%,99%,98%
09X042,98%,,98%,95%,0%,4%,3%,4%,98%,3%,2%,13%,2%,96%,98%,5%,,0%,100%,,95%,99%,97%
16K262,92%,,96%,,0%,,11%,0%,100%,4%,13%,50%,4%,,87%,,,0%,100%,,,100%,88%
02M416,93%,,90%,0%,8%,0%,10%,10%,99%,20%,11%,11%,10%,100%,89%,0%,,92%,92%,,0%,96%,79%
01M332,100%,,87%,0%,4%,8%,3%,4%,98%,6%,2%,8%,13%,92%,98%,0%,,0%,96%,,0%,100%,88%
15K058,83%,,97%,100%,24%,0%,28%,20%,98%,16%,28%,1%,3%,100%,72%,11%,,0%,76%,,89%,99%,79%
15K464,92%,,95%,0%,0%,14%,12%,8%,98%,22%,12%,5%,5%,86%,88%,0%,,89%,100%,,0%,98%,89%
03M145,95%,,96%,93%,13%,15%,6%,6%,97%,13%,8%,5%,4%,85%,92%,17%,,0%,87%,,83%,95%,90%
11X545,93%,,93%,0%,0%,,9%,0%,86%,21%,18%,43%,7%,,82%,0%,,93%,0%,,0%,93%,92%
12X044,92%,,92%,,0%,,13%,8%,96%,12%,4%,21%,8%,,96%,,,0%,100%,,,96%,91%
08X530,100%,,100%,0%,0%,0%,0%,0%,100%,3%,0%,16%,0%,100%,100%,0%,,97%,100%,,0%,100%,97%
18K366,85%,,88%,0%,33%,,17%,23%,97%,26%,20%,26%,12%,,80%,0%,,0%,67%,,0%,91%,85%
02M308,54%,,84%,0%,7%,,47%,51%,85%,20%,45%,66%,16%,,55%,0%,,48%,93%,,0%,85%,43%
12X318,96%,,94%,0%,2%,14%,4%,8%,96%,7%,7%,21%,6%,86%,93%,0%,,0%,98%,,0%,97%,98%
12X511,100%,,94%,0%,,,0%,0%,100%,6%,0%,12%,6%,,100%,0%,,94%,,,0%,100%,88%
06M223,95%,,95%,0%,7%,0%,2%,4%,98%,7%,3%,5%,5%,100%,97%,0%,,0%,93%,,0%,96%,92%
10X244,99%,,99%,0%,0%,0%,0%,2%,99%,0%,1%,9%,1%,100%,99%,0%,,0%,100%,,0%,99%,97%
18K635,100%,,97%,0%,0%,0%,3%,0%,97%,9%,3%,23%,3%,100%,97%,0%,,94%,100%,,0%,94%,94%
17K012,94%,,100%,,0%,,6%,7%,94%,0%,0%,6%,0%,,100%,,,0%,100%,,,100%,100%
06M528,97%,,97%,0%,7%,9%,2%,3%,98%,5%,3%,18%,3%,91%,97%,0%,,0%,93%,,0%,97%,97%
10X696,99%,,92%,0%,17%,50%,2%,4%,99%,13%,4%,17%,8%,50%,96%,0%,,97%,83%,,0%,99%,97%
02M340,94%,,98%,86%,10%,,11%,19%,99%,14%,16%,0%,2%,,84%,21%,,0%,90%,,79%,94%,81%
10X226,92%,,95%,,20%,,8%,8%,95%,8%,11%,10%,5%,,89%,,,0%,80%,,,95%,92%
14K319,99%,,99%,100%,6%,8%,6%,3%,98%,4%,4%,7%,1%,92%,96%,0%,,0%,94%,,100%,94%,95%
12X595,96%,,98%,,3%,7%,3%,2%,98%,4%,2%,37%,2%,93%,98%,,,0%,97%,,,96%,99%
17K241,99%,,98%,97%,12%,24%,1%,3%,97%,5%,2%,14%,2%,76%,98%,0%,,0%,88%,,100%,100%,94%
07X473,91%,,85%,0%,8%,18%,10%,11%,91%,12%,10%,24%,15%,82%,90%,0%,,88%,92%,,0%,94%,94%
09X297,98%,,98%,0%,0%,0%,2%,3%,100%,12%,5%,30%,2%,100%,95%,0%,,95%,100%,,0%,98%,94%
17K537,97%,,100%,0%,0%,,0%,0%,100%,0%,0%,9%,0%,,100%,0%,,100%,100%,,0%,100%,100%
03M163,71%,,94%,100%,16%,21%,35%,41%,97%,22%,34%,5%,6%,79%,66%,0%,,0%,84%,,100%,94%,73%
08X375,99%,,96%,0%,7%,21%,2%,2%,98%,4%,2%,20%,4%,79%,98%,0%,,0%,93%,,0%,97%,94%
13K287,98%,,100%,100%,8%,,2%,2%,100%,4%,2%,15%,0%,,98%,0%,,0%,92%,,100%,98%,93%
15K463,92%,,92%,0%,,,9%,9%,96%,25%,5%,62%,8%,,95%,0%,,91%,,,0%,74%,83%
03M009,98%,,99%,,10%,8%,3%,6%,99%,9%,4%,1%,1%,92%,96%,,,0%,90%,,,99%,92%
02M419,97%,,93%,0%,0%,0%,4%,0%,100%,10%,4%,10%,7%,100%,96%,0%,,90%,100%,,0%,97%,100%
06M467,100%,,99%,0%,2%,0%,0%,0%,100%,0%,0%,5%,1%,100%,100%,0%,,100%,98%,,0%,100%,99%
21K215,95%,,99%,100%,5%,10%,9%,8%,97%,7%,10%,6%,1%,90%,90%,11%,,0%,95%,,89%,100%,88%
18K588,94%,,97%,0%,0%,50%,3%,3%,97%,3%,3%,19%,3%,50%,97%,0%,,0%,100%,,0%,97%,100%
05M197,100%,,100%,,0%,0%,0%,0%,100%,0%,0%,8%,0%,0%,100%,,,0%,100%,,,100%,100%
02M059,90%,,97%,,12%,40%,14%,11%,99%,10%,14%,5%,3%,60%,86%,,,0%,88%,,,96%,88%
09X126,96%,,96%,97%,4%,10%,6%,5%,96%,7%,6%,15%,4%,90%,94%,3%,,0%,96%,,97%,96%,96%
07X018,89%,,85%,0%,9%,33%,16%,16%,86%,17%,7%,23%,15%,67%,93%,0%,,0%,91%,,0%,94%,94%
13K044,83%,,89%,100%,22%,0%,21%,5%,96%,13%,14%,18%,11%,100%,86%,0%,,0%,78%,,100%,91%,93%
21K090,92%,,94%,,20%,25%,6%,7%,98%,8%,9%,4%,6%,75%,91%,,,0%,80%,,,94%,91%
19K328,94%,,94%,100%,3%,3%,9%,7%,96%,6%,8%,11%,6%,97%,92%,0%,,0%,97%,,100%,96%,96%
17K382,94%,,94%,0%,0%,6%,9%,8%,95%,11%,6%,29%,6%,94%,94%,0%,,91%,100%,,0%,94%,89%
05M175,85%,,96%,100%,4%,19%,10%,13%,99%,10%,13%,21%,4%,81%,87%,0%,,0%,96%,,100%,98%,98%
09X215,93%,,97%,0%,0%,12%,4%,7%,97%,16%,0%,19%,3%,88%,100%,0%,,0%,100%,,0%,97%,66%
11X019,98%,,98%,100%,16%,17%,3%,4%,100%,6%,2%,6%,2%,83%,98%,0%,,0%,84%,,100%,99%,93%
03M291,90%,,92%,0%,29%,20%,13%,11%,98%,14%,13%,4%,8%,80%,87%,0%,,94%,71%,,0%,96%,83%
05M200,100%,,97%,,,33%,0%,4%,100%,6%,0%,22%,3%,67%,100%,,,0%,,,,100%,94%
11X544,100%,,100%,0%,,,8%,8%,100%,14%,7%,21%,0%,,93%,0%,,92%,,,0%,93%,100%
14K477,93%,,87%,0%,,,8%,17%,100%,20%,7%,40%,13%,,93%,0%,,87%,,,0%,93%,93%
20K164,60%,,65%,88%,30%,25%,34%,29%,66%,34%,36%,5%,35%,75%,64%,25%,,0%,70%,,75%,69%,69%
02M298,98%,,89%,0%,14%,0%,6%,2%,100%,23%,12%,11%,11%,100%,88%,0%,,91%,86%,,0%,98%,85%
17K191,100%,,100%,,0%,,0%,0%,100%,0%,0%,0%,0%,,100%,,,0%,100%,,,100%,100%
03M859,89%,,95%,0%,0%,50%,20%,15%,99%,10%,19%,5%,5%,50%,81%,0%,,94%,100%,,0%,98%,88%
05M286,,,,0%,,,,,,,,,,,,0%,,0%,,,0%,,
08X452,97%,,97%,0%,,0%,3%,3%,97%,8%,3%,31%,3%,100%,97%,0%,,97%,,,0%,97%,100%
20K490,94%,,91%,0%,6%,14%,9%,9%,94%,20%,9%,60%,9%,86%,91%,0%,,89%,94%,,0%,96%,84%
09X128,99%,,99%,0%,12%,0%,0%,2%,99%,3%,2%,14%,1%,100%,98%,0%,,0%,88%,,0%,98%,98%
03M485,67%,,86%,0%,21%,24%,39%,45%,93%,43%,30%,22%,14%,76%,70%,0%,,71%,79%,,0%,92%,49%
