dbn,_13_expulsions,_11_expulsions,_13_principal,_14_expulsions,_16_superintendent,_19_principal,_8_superintendent,_12_expulsions,_16_removals,_17_principal,_15_removals,_5_removals,administrative_district,_20_superintendent,_14_removals,_18_expulsions,_9_superintendent,_7_principal,sy1718_total_removals,_17_superintendent,_21_removals,_13_superintendent,_12_removals
06M192,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,8,R,R,R,R
12X341,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,6,R,R,R,R
08X123,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,39,R,R,13,R
09X042,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,6,R,R,R,R
14K319,R,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,0,R,R,R,R
02M033,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,13,R,R,R,R
04M096,R,R,6,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,65,R,R,R,R
09X204,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,0,R,R,R,R
12X478,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,10,R,R,R,R
11X160,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R
15K029,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,20,R,R,R,R
17K316,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,0,R,R,R,R
15K443,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,0,R,R,R,R
02M126,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,17,R,R,R,R
02M001,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,0,R,R,R,R
01M364,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R,R,R
05M285,R,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,19,R,R,R,R
02M011,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,12,R,R,R,R
13K670,R,R,R,R,11,R,R,R,R,16,R,R,13,R,R,R,R,R,91,R,R,R,R
01M509,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,23,R,R,R,R
10X307,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,11,R,R,R,R
08X467,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,57,R,R,7,12
15K519,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,15,R,R,R,R
02M006,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,6,R,R,R,R
19K065,R,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,0,R,R,R,R
19K764,R,R,R,R,6,R,R,R,R,8,R,R,19,R,R,R,R,R,57,R,R,R,R
02M374,R,R,R,R,R,R,R,R,R,R,9,R,2,R,R,R,R,R,61,R,R,R,R
02M459,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,8,R,R,R,R
07X359,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,0,R,R,R,R
01M650,R,R,R,R,R,R,R,R,R,7,R,R,1,R,R,R,R,R,33,R,R,R,R
09X132,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R
04M610,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,R,R,R,R,R
18K922,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,0,R,R,R,R
15K130,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,15,R,R,R,R
16K005,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R
11X275,R,R,R,R,7,R,R,R,R,7,R,R,11,R,7,R,R,R,121,R,R,R,R
08X320,R,R,R,R,6,R,R,R,R,8,R,R,8,R,R,R,R,R,57,R,R,R,R
02M545,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,0,R,R,R,R
11X901,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,0,R,R,R,R
01M696,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,0,R,R,R,R
08X014,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R
08X432,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,7,R,R,R,R
10X903,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,0,R,R,R,R
12X248,R,R,R,R,14,R,R,R,R,36,R,R,12,R,R,R,R,R,161,17,R,R,R
11X106,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R
16K025,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,0,R,R,R,R
08X349,R,R,R,R,R,R,R,R,R,16,6,R,8,R,R,R,R,R,81,R,R,R,R
04M012,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,7,R,R,R,R
19K364,R,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,19,R,R,R,R
08X107,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,0,R,R,R,R
06M005,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
19K502,R,R,R,R,8,R,R,R,R,7,R,R,19,R,R,R,R,R,66,7,R,R,R
10X243,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,33,R,R,R,R
20K192,R,R,6,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,20,R,R,R,R
09X117,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,37,R,R,R,R
13K350,R,R,R,R,13,R,R,R,R,R,R,R,13,R,R,R,R,R,56,R,R,R,R
07X018,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,7,R,R,R,R
06M008,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
06M552,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,15,R,R,R,R
03M404,R,R,R,R,R,R,R,R,R,6,R,R,3,R,R,R,R,R,36,R,R,R,R
