location_1,class_classroom_organization_score,ecers_program_structure_rating,program_type,ecers_personal_care_routines_rating,quality_review_date_of_review,playspace,ecers_interaction_score
639 4th Avenue,6.9,4.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,6.8
976 President Street,5.6,4.0,District School,3.0,"November 13, 2015",Outdoor (onsite) playspace,6.6
460 Atlantic Avenue,5.9,3.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,4.8
166-01 116th Avenue,5.9,1.0,District School,2.0,"February 01, 2017",Indoor/Outdoor (onsite) playspace,4.2
33-09 35th Avenue,,3.0,District School,3.0,"January 23, 2015",Outdoor (onsite) playspace,5.0
273 Newport Street,5.1,2.0,District School,3.0,"February 01, 2017",Indoor/Outdoor (onsite) playspace,6.8
1112 Winthrop Street,6.1,3.0,NYCEEC,3.0,,Outdoor (offsite) playspace,5.8
33-52 62nd Street,6.8,2.0,District School,3.0,"April 13, 2015",Indoor/Outdoor (onsite) playspace,5.2
825 Hicksville Road,6.3,4.0,District School,3.0,"April 01, 2017",Indoor/Outdoor (onsite) playspace,4.6
250 West 127th Street,5.4,1.0,District School,1.0,"January 01, 2017",Indoor/Outdoor (onsite) playspace,1.6
125-20 Sutphin Boulevard,6.5,3.0,District School,2.0,"January 21, 2015",Indoor/Outdoor (onsite) playspace,4.2
1050 Targee Street,5.8,2.0,District School,3.0,"December 02, 2014",Indoor/Outdoor (onsite) playspace,6.4
564 Jackson Avenue,6.5,3.0,District School,3.0,"May 13, 2016",Indoor/Outdoor (onsite) playspace,5.6
244 West 144th Street,6.2,3.0,District School,3.0,"April 01, 2017",Indoor/Outdoor (onsite) playspace,2.8
