program_code,location_2,enrollment,meals,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available,nan with location_1,No with location_1,Yes with location_1
05M036,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10027""}'}",65.0,Breakfast/Lunch/Snack(s),0.91,3.0,No,,123 Morningside Drive,
03M145,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10025""}'}",51.0,Breakfast/Lunch,0.95,2.0,No,,150 West 105th Street,
20K200,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",40.0,Breakfast/Lunch,0.98,3.0,Yes,,,1940 Benson Avenue
02M111,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",43.0,Breakfast/Lunch,1.0,1.0,Yes,,440 West 53rd Street,
14KABG,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",30.0,Contact program directly for details,1.0,3.0,No,,563 Bedford Avenue,
05M517,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10027""}'}",18.0,Breakfast/Lunch,0.82,3.0,Yes,,,168 Morningside Avenue
22KBRL,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",15.0,Lunch/Snack(s),1.0,4.0,Yes,,,3321 Avenue N
14K018,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",16.0,Breakfast/Lunch,0.92,3.0,No,,,101 Maujer Street
09X028,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",46.0,Breakfast/Lunch,1.0,4.0,No,,1861 Anthony Avenue,
14K017,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",24.0,Breakfast/Lunch,,1.0,No,,,208 North 5 Street
19KBJQ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",50.0,Breakfast/Lunch/Snack(s),0.98,4.0,Yes,,,921 Hegeman Avenue
25Q242,"{'human_address': '{""address"": """", ""city"": ""FLUSHING"", ""state"": ""NY"", ""zip"": ""11354""}'}",36.0,Breakfast/Lunch,0.98,3.0,No,,29-66 137th Street,
23K446,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",36.0,Breakfast/Lunch,0.86,4.0,No,,76 Riverdale Avenue,
28Q303,"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",36.0,Breakfast/Lunch,0.99,3.0,No,,108-55 69th Avenue,
19KBKX,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",9.0,Breakfast/Lunch/Snack(s),1.0,3.0,Yes,,,546 JAMAICA AVENUE
08X304,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10465""}'}",35.0,Breakfast/Lunch,1.0,3.0,No,,2750 Lafayette Avenue,
22K251,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",51.0,Breakfast/Lunch,0.93,3.0,No,,1037 East 54th Street,
22K193,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11210""}'}",18.0,Breakfast/Lunch/Snack(s),1.0,3.0,No,,2515 Avenue L,
14KBMA,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",23.0,,1.0,4.0,,80 Skillman Street,,
22KAOQ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",7.0,Breakfast,,4.0,Yes,,,2611 Avenue Z
