ell_bengali_1,ell_french_1,ell_korean_1,ela_l3_l4_2,ell_french_2,asian_2,school_name,total_enrollment,ell_haitian_creole,ell_bengali_2,math_l3_l4_1,ela_level_3_1,math_level_1_2,dbn,ell_arabic_1,math_l3_l4_2,other_1
No Data,No Data,No Data,No Data,No Data,s,Innovation Diploma Plus,194,No Data,No Data,No Data,No Data,No Data,03M404,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Young Women's Leadership School,56,No Data,No Data,s,s,0.6666666666666666,04M610,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Liberty High School Academy for Newcomers,427,No Data,No Data,s,s,1,02M550,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Mott Haven Village Preparatory High School,36,No Data,No Data,No Data,No Data,No Data,07X473,No Data,No Data,s
No Data,No Data,No Data,s,No Data,0.07755102040816327,High School for Health Professions and Human Servi,245,No Data,No Data,s,s,0.7361111111111112,02M420,No Data,s,s
No Data,No Data,No Data,s,No Data,s,South Bronx Preparatory: A College Board School,26,No Data,No Data,s,s,0.6666666666666666,07X221,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Frederick Douglass Academy,58,No Data,No Data,s,s,0.2,05M499,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Humanities Preparatory Academy,28,No Data,No Data,s,s,0,02M605,No Data,s,s
s,s,s,s,s,s,Westchester Square Academy,29,s,s,s,s,s,08X558,s,s,s
No Data,No Data,No Data,No Data,No Data,s,Bread & Roses Integrated Arts High School,6,No Data,No Data,No Data,No Data,No Data,05M685,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Bronx Design and Construction Academy,58,No Data,No Data,s,s,0.8333333333333334,07X522,No Data,s,s
