dc_id,legalname,bin,permitnumber,avgcriticalviolationrate,maximumcapacity,childcaretype,violationstatus,criticalviolationrate,permitexp
DC22420,MAGIC KINGDOM LLC.,3102219,14118.0,18.9541,30,Child Care - Pre School,CORRECTED,100.0,2022-09-08T00:00:00.000
DC32531,NEW YORK CITY MONTESSORI CHARTER SCHOOL,2101568,,35.2291,110,School Based Child Care,CORRECTED,66.6667,2115-01-23T00:00:00.000
DC36590,LEARNING WHEEL CHILDCARE CORP,3008556,104364.0,15.3835,23,Child Care - Infants/Toddlers,CORRECTED,16.6667,2024-03-28T00:00:00.000
DC36107,"CITITOTS EARLY CHILDHOOD CENTER, INC.",3051405,104601.0,15.3835,18,Child Care - Infants/Toddlers,CORRECTED,40.0,2022-09-17T00:00:00.000
DC33510,Creative Minds Daycare of NYC Corporation,2128554,103835.0,18.9541,77,Child Care - Pre School,CORRECTED,50.0,2024-10-18T00:00:00.000
DC33324,"CHILDREN OF AMERICA QUEENS, LLC",4035342,103774.0,,133,Child Care - Pre School,CORRECTED,,2024-08-23T00:00:00.000
DC32465,SHEMTOV KINDER INC.,3131363,75077.0,18.9541,34,Child Care - Pre School,,0.0,2024-11-10T00:00:00.000
DC2267,THE CORNER SCHOOL,4109019,1889.0,18.9541,35,Child Care - Pre School,CORRECTED,75.0,2024-05-03T00:00:00.000
DC39077,Bright Horizons Children's Centers LLC,1082816,105474.0,15.3835,15,Child Care - Infants/Toddlers,,0.0,2023-08-20T00:00:00.000
DC11818,"HAPPY DRAGON OF USA, INC",4047330,7734.0,18.9541,150,Child Care - Pre School,CORRECTED,66.6667,2023-08-03T00:00:00.000
DC33811,FLATBUSH DAYCARE LLC,3241899,104345.0,18.9541,68,Child Care - Pre School,CORRECTED,50.0,2024-03-07T00:00:00.000
DC1998,M.S. SUNSHINE INC.,3245100,6364.0,18.9541,49,Child Care - Pre School,,25.0,2024-12-06T00:00:00.000
DC32060,JEWISH INSTITUTE OF QUEENS PRESCHOOL,4152874,,35.2291,0,School Based Child Care,CORRECTED,100.0,1900-01-01T00:00:00.000
DC2030,"WILLIAMSBRIDGE N A A C P EARLY CHILDHOOD EDUCATION CENTER,INC.",2057523,3067.0,,165,Child Care - Pre School,,,2023-06-28T00:00:00.000
DC20894,ESCUELA HISPANA MONTESSORI,1004240,8173.0,18.9541,187,Child Care - Pre School,CORRECTED,33.3333,2024-05-25T00:00:00.000
DC23256,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",1082934,30039.0,18.9541,85,Child Care - Pre School,,12.5,2023-01-03T00:00:00.000
DC39853,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,3141674,105309.0,18.9541,165,Child Care - Pre School,,0.0,2023-03-31T00:00:00.000
DC282,ST. HELENA SCHOOL,2028943,,35.2291,0,School Based Child Care,CORRECTED,50.0,2117-06-04T00:00:00.000
DC40374,BABY BEAVERS PRE K BRONX ASCS,2097750,,35.2291,0,School Based Child Care,CORRECTED,50.0,1900-01-01T00:00:00.000
DC23087,"MID BRONX CCRP EARLY CHILDHOOD CENTER, INC.",2008017,26277.0,,220,Child Care - Pre School,CORRECTED,,2024-10-25T00:00:00.000
DC2034,HIGHBRIDGE ADVISORY COUNCIL FAMILY SERVICES INC.,2001910,7381.0,,185,Child Care - Pre School,CORRECTED,,2023-06-29T00:00:00.000
DC32654,UNITED LUBAVITCHER YESIVOTH,3170485,,35.2291,0,School Based Child Care,CORRECTED,0.0,2115-01-23T00:00:00.000
DC344,"COLONY SOUTH BROOKLYN HOUSES, INC.",3326995,1699.0,18.9541,55,Child Care - Pre School,,20.0,2024-04-08T00:00:00.000
DC39919,"PNW ENTERPRISES, LLC",3006636,105269.0,18.9541,27,Child Care - Pre School,CORRECTED,20.0,2024-12-16T00:00:00.000
DC32531,NEW YORK CITY MONTESSORI CHARTER SCHOOL,2101568,,35.2291,110,School Based Child Care,CORRECTED,66.6667,2115-01-23T00:00:00.000
