brooklyn_cooperatives_comparable_properties_address,bin,postcode,brooklyn_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_year_built,longitude,community_council,comparable_rental_1_gross_sqft,comparable_rental_1_estimated_expense,comparable_rental_1_full_market_value,comparable_rental_3_building_classification,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_3_estimated_gross_income,comparable_rental_3_net_operating_income,comparable_rental_1_address,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,nta,brooklyn_cooperatives_comparable_properties_net_operating_income,brooklyn_cooperatives_comparable_properties_estimated_expense,comparable_rental_2_boro_block_lot,comparable_rental_3_neighborhood,latitude
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3105 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.65,1949.0,,,75000,603687.0,3879000,D1-ELEVATOR,"{'latitude': '40.59216247823', 'longitude': '-73.949955874325', 'human_address': '{""address"": ""2835 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,303,000","461,948","195,507","{'latitude': '40.599708489632', 'longitude': '-73.946634695263', 'human_address': '{""address"": ""4190 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07357-0001,SHEEPSHEAD BAY,,1200166,871586,3-07422-0146,SHEEPSHEAD BAY,
"{'latitude': '40.634840073204', 'longitude': '-73.952242396084', 'human_address': '{""address"": ""645 26 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,4.18,1931.0,,,77047,502321.0,1896000,D1-ELEVATOR,"{'latitude': '40.633223749525', 'longitude': '-73.951043320238', 'human_address': '{""address"": ""712 27 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,254,000","543,263","211,526","{'latitude': '40.633185662933', 'longitude': '-73.951036024759', 'human_address': '{""address"": ""714 27 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07554-0056,MIDWOOD,,302853,329162,3-07554-0048,FLATBUSH-CENTRAL,
"{'latitude': '40.700749929027', 'longitude': '-73.989468841473', 'human_address': '{""address"": ""35 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3000000.0,11215.0,7.4,1927.0,-73.96968,39.0,39261,364847.0,2091000, ,"{'latitude': '40.673068223434', 'longitude': '-73.964311707031', 'human_address': '{""address"": ""364 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.670711051002', 'longitude': '-73.977282710454', 'human_address': '{""address"": ""530 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01078-0016,PARK SLOPE,park-cemetery-etc-Brooklyn                                                 ,1573479,1418240,3-01179-0037, ,40.661354
"{'latitude': '40.694432094864', 'longitude': '-73.995829274516', 'human_address': '{""address"": ""68 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3002201.0,11201.0,13.11,1936.0,-73.995716,33.0,46410,391551.0,4677000,D7-ELEVATOR,"{'latitude': '40.693671581243', 'longitude': '-73.993093970266', 'human_address': '{""address"": ""142 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","8,592,000","1,704,846","1,177,623","{'latitude': '40.692998561162', 'longitude': '-73.993976949826', 'human_address': '{""address"": ""141 JORALEMON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00254-0006,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,663670,871815,3-00254-0081,BROOKLYN HEIGHTS,40.694419
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7520 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3148663.0,11209.0,5.78,1936.0,-74.030667,43.0,76686,566874.0,4596000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7502 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.634725237986', 'longitude': '-74.026006691834', 'human_address': '{""address"": ""315 OVINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05872-0007,BAY RIDGE,Bay Ridge                                                                  ,496944,309519,3-05938-0040, ,40.631653
"{'latitude': '40.692950040845', 'longitude': '-73.994025499159', 'human_address': '{""address"": ""132 JORALEMON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3002533.0,11201.0,2.68,1900.0,-73.993953,33.0,9102,54265.0,515000, ,"{'latitude': '40.692178261626', 'longitude': '-73.995504815284', 'human_address': '{""address"": ""277 HENRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.70016556285', 'longitude': '-73.99231291955', 'human_address': '{""address"": ""70 MIDDAGH STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-00216-0020,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,109986,23328,3-00263-0019, ,40.692964
"{'latitude': '40.700692137803', 'longitude': '-73.989315399401', 'human_address': '{""address"": ""40 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3000000.0,11215.0,8.33,1929.0,-73.96968,39.0,39261,364847.0,2091000, ,"{'latitude': '40.672069314355', 'longitude': '-73.963591445858', 'human_address': '{""address"": ""171 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.670711051002', 'longitude': '-73.977282710454', 'human_address': '{""address"": ""530 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01078-0016,PARK SLOPE,park-cemetery-etc-Brooklyn                                                 ,610920,559226,3-01179-0116, ,40.661354
"{'latitude': '40.616440544319', 'longitude': '-74.03386850711', 'human_address': '{""address"": ""302 96 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,3.62,1930.0,,,50741,207068.0,2354000,D1-ELEVATOR,"{'latitude': '40.615238404065', 'longitude': '-74.030326958095', 'human_address': '{""address"": ""450 95 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,431,000","805,421","390,498","{'latitude': '40.614281272611', 'longitude': '-74.034840258341', 'human_address': '{""address"": ""303 99 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06130-0001,BAY RIDGE,,973029,437912,3-06123-0038,BAY RIDGE,
"{'latitude': '40.613493917352', 'longitude': '-73.958194223071', 'human_address': '{""address"": ""1485 16 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,6.51,1964.0,,,58800,376677.0,2034000, ,"{'latitude': '40.611645664263', 'longitude': '-73.959751752597', 'human_address': '{""address"": ""1547 14 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.614419605934', 'longitude': '-73.960340565409', 'human_address': '{""address"": ""1440 14 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06751-0023,MIDWOOD,,343628,370367,3-06761-0075, ,
"{'latitude': '40.677705373077', 'longitude': '-73.897317221175', 'human_address': '{""address"": ""17 PENNSYLVANIA AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3083108.0,11207.0,4.54,1930.0,-73.897344,37.0,16400,69094.0,351000, ,"{'latitude': '40.668440348101', 'longitude': '-73.890985813895', 'human_address': '{""address"": ""747 BLAKE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.680252243659', 'longitude': '-73.893055244808', 'human_address': '{""address"": ""213 JAMAICA AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-03896-0044,CYPRESS HILLS,East New York                                                              ,77376,84444,3-03776-0001, ,40.677707
"{'latitude': '40.614633137336', 'longitude': '-74.033808588594', 'human_address': '{""address"": ""351 MARINE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3155853.0,11209.0,3.7,1926.0,-74.033331,43.0,61818,481562.0,3344000,D7-ELEVATOR,"{'latitude': '40.61704983986', 'longitude': '-74.035929682714', 'human_address': '{""address"": ""128 MARINE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,381,000","708,278","361,348","{'latitude': '40.615238404065', 'longitude': '-74.030326958095', 'human_address': '{""address"": ""450 95 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06123-0038,BAY RIDGE,Bay Ridge                                                                  ,813078,417677,3-06120-0029,BAY RIDGE,40.61436
"{'latitude': '40.646857855454', 'longitude': '-74.004956950439', 'human_address': '{""address"": ""4404 6 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3011271.0,11220.0,7.43,1912.0,-74.004735,38.0,16844,115159.0,1036000,C1-WALK-UP,"{'latitude': '40.639526027576', 'longitude': '-74.0178757674', 'human_address': '{""address"": ""450 61 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","921,000","245,339","139,853","{'latitude': '40.639847865014', 'longitude': '-74.01829188517', 'human_address': '{""address"": ""429 61 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-05782-0059,SUNSET PARK,Sunset Park East                                                           ,140400,133740,3-05791-0034,SUNSET PARK,40.647039
"{'latitude': '40.600624279918', 'longitude': '-73.93375166887', 'human_address': '{""address"": ""2265 GERRITSEN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3248245.0,11229.0,6.01,1963.0,-73.933754,46.0,75000,603687.0,3879000,D1-ELEVATOR,"{'latitude': '40.601700444466', 'longitude': '-73.942172048238', 'human_address': '{""address"": ""3380 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","6,270,000","2,148,300","946,318","{'latitude': '40.599708489632', 'longitude': '-73.946634695263', 'human_address': '{""address"": ""4190 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07357-0001,SHEEPSHEAD BAY,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,923761,648575,3-07334-0018,SHEEPSHEAD BAY,40.600603
"{'latitude': '40.625090603905', 'longitude': '-74.021447688897', 'human_address': '{""address"": ""601 79 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.56,1928.0,,,73000,570130.0,3359000,D7-ELEVATOR,"{'latitude': '40.628448548106', 'longitude': '-74.028658227303', 'human_address': '{""address"": ""314 79 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,070,000","674,544","310,488","{'latitude': '40.621967738256', 'longitude': '-74.017792216232', 'human_address': '{""address"": ""901 80 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05983-0001,DYKER HEIGHTS,,1005840,733920,3-05979-0014,BAY RIDGE,
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1901 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.5,1931.0,,,53052,351493.0,2194000,D1-ELEVATOR,"{'latitude': '40.616833690843', 'longitude': '-73.954813447292', 'human_address': '{""address"": ""1850 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,782,000","648,022","365,654","{'latitude': '40.616739644242', 'longitude': '-73.954795483334', 'human_address': '{""address"": ""1854 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06748-0040,MIDWOOD,,360531,293332,3-06748-0037,MIDWOOD,
"{'latitude': '40.664323475913', 'longitude': '-73.977929398408', 'human_address': '{""address"": ""759 10 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,4.89,1951.0,,,64200,369828.0,1694000,D1-ELEVATOR,"{'latitude': '40.629369690859', 'longitude': '-73.971137458115', 'human_address': '{""address"": ""785 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,782,000","646,997","300,328","{'latitude': '40.628814400995', 'longitude': '-73.966922719231', 'human_address': '{""address"": ""829 10 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06513-0073,OCEAN PARKWAY-NORTH,,454552,328324,3-06494-0037,OCEAN PARKWAY-NORTH,
"{'latitude': '40.585332105704', 'longitude': '-73.934247244832', 'human_address': '{""address"": ""2800 COYLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3247881.0,11235.0,6.36,1961.0,-73.934159,48.0,73000,568057.0,3794000, ,"{'latitude': '40.584219441289', 'longitude': '-73.932871067566', 'human_address': '{""address"": ""3191 EMMONS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.58544918255', 'longitude': '-73.934269961234', 'human_address': '{""address"": ""2790 COYLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-08805-0036,SHEEPSHEAD BAY,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,1254250,922200,3-08807-0135, ,40.585065
"{'latitude': '40.579727844847', 'longitude': '-73.970688954958', 'human_address': '{""address"": ""460 NEPTUNE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3196580.0,11224.0,5.57,1964.0,-73.970923,48.0,470000,3651900.0,22359000,D1-ELEVATOR,"{'latitude': '40.577697724689', 'longitude': '-73.968536005094', 'human_address': '{""address"": ""3000 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","10,373,000","3,136,890","1,944,915","{'latitude': '40.578817089398', 'longitude': '-73.968277386377', 'human_address': '{""address"": ""2940 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07274-0020,CONEY ISLAND,West Brighton                                                              ,6200572,3474566,3-07274-0035,OCEAN PARKWAY-SOUTH,40.579777
"{'latitude': '40.597641372479', 'longitude': '-73.949031273421', 'human_address': '{""address"": ""2195 22 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,4.98,1941.0,,,79200,333925.0,1496000, ,"{'latitude': '40.602242302137', 'longitude': '-73.951850744408', 'human_address': '{""address"": ""2435 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.596601833789', 'longitude': '-73.950981896179', 'human_address': '{""address"": ""2662 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07380-0013,SHEEPSHEAD BAY,,398160,418320,3-07299-0057, ,
"{'latitude': '40.700621342206', 'longitude': '-73.985295443808', 'human_address': '{""address"": ""147 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3000000.0,11215.0,6.74,1931.0,-73.96968,39.0,23840,154669.0,752000,C1-WALK-UP,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3341 WESTMINSTER ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","406,000","127,908","60,863","{'latitude': '40.65656382008', 'longitude': '-73.976897370521', 'human_address': '{""address"": ""1661 11 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-05256-0006,WINDSOR TERRACE,park-cemetery-etc-Brooklyn                                                 ,112180,123746,3-05073-0052,PARK SLOPE SOUTH,40.661354
"{'latitude': '40.633466252961', 'longitude': '-73.952950283412', 'human_address': '{""address"": ""2835 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3121545.0,11210.0,4.19,1929.0,-73.95304,45.0,36000,225630.0,1076000,D1-ELEVATOR,"{'latitude': '40.633193386065', 'longitude': '-73.950964505267', 'human_address': '{""address"": ""723 27 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,254,000","543,263","211,526","{'latitude': '40.635793059383', 'longitude': '-73.952502005585', 'human_address': '{""address"": ""600 26 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05246-0047,FLATBUSH-CENTRAL,Flatbush                                                                   ,142948,198286,3-07555-0031,FLATBUSH-CENTRAL,40.633821
"{'latitude': '40.67187483134', 'longitude': '-73.974040790145', 'human_address': '{""address"": ""133 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3325197.0,11215.0,7.85,1910.0,-73.974257,39.0,19540,140923.0,917000, ,"{'latitude': '40.673321196507', 'longitude': '-73.97261787241', 'human_address': '{""address"": ""882 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.670669314299', 'longitude': '-73.975080038053', 'human_address': '{""address"": ""189 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01075-0001,PARK SLOPE,Park Slope-Gowanus                                                         ,362388,278078,3-01066-0011, ,40.671687
"{'latitude': '40.666042786314', 'longitude': '-73.93039213941', 'human_address': '{""address"": ""1702 CARROLL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,11213.0,4.87,1931.0,-73.930395,41.0,99822,655610.0,2535000,D1-ELEVATOR,"{'latitude': '40.663600035279', 'longitude': '-73.931411411762', 'human_address': '{""address"": ""853 EMPIRE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,757,000","651,884","284,709","{'latitude': '40.664472916464', 'longitude': '-73.933375946021', 'human_address': '{""address"": ""947 MONTGOMERY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01419-0062,CROWN HEIGHTS,Crown Heights North                                                        ,213458,514975,3-01424-0063,CROWN HEIGHTS,40.666064
"{'latitude': '40.698201367782', 'longitude': '-73.996420254488', 'human_address': '{""address"": ""160 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001510.0,11201.0,7.87,1903.0,-73.996495,33.0,14120,126336.0,857000,D1-ELEVATOR,"{'latitude': '40.697354197561', 'longitude': '-73.996752641988', 'human_address': '{""address"": ""169 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,199,000","734,725","232,298","{'latitude': '40.696947503956', 'longitude': '-73.997026188682', 'human_address': '{""address"": ""204 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00208-0310,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,1454988,664582,3-00234-0024,BROOKLYN HEIGHTS,40.697982
"{'latitude': '40.70289315999', 'longitude': '-73.994787361089', 'human_address': '{""address"": ""8 OLD FULTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001468.0,11201.0,13.11,1910.0,-73.994666,33.0,21000,276428.0,3415000, ,"{'latitude': '40.69791574707', 'longitude': '-73.994820625649', 'human_address': '{""address"": ""36 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.698852309567', 'longitude': '-73.99410251315', 'human_address': '{""address"": ""89 HICKS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00226-0004,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,241860,228114,3-00235-0042, ,40.702969
"{'latitude': '40.673532367688', 'longitude': '-73.971459797548', 'human_address': '{""address"": ""45 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3024626.0,11217.0,10.19,1940.0,-73.971333,39.0,13021,132706.0,862000,D1-ELEVATOR,"{'latitude': '40.674972994425', 'longitude': '-73.966681591531', 'human_address': '{""address"": ""195 UNDERHILL AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","4,287,000","903,286","585,336","{'latitude': '40.672841371071', 'longitude': '-73.966267087644', 'human_address': '{""address"": ""73 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01179-0083,PROSPECT HEIGHTS,Park Slope-Gowanus                                                         ,426426,470778,3-01173-0007,PARK SLOPE,40.673366
"{'latitude': '40.604542277404', 'longitude': '-73.966436191217', 'human_address': '{""address"": ""1811 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3178686.0,11223.0,4.21,1959.0,-73.966692,47.0,91350,410736.0,2409000,D7-ELEVATOR,"{'latitude': '40.605624582795', 'longitude': '-73.967265319844', 'human_address': '{""address"": ""1750 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,453,000","830,738","499,236","{'latitude': '40.603601477319', 'longitude': '-73.966882440011', 'human_address': '{""address"": ""1850 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06681-0440,OCEAN PARKWAY-SOUTH,Homecrest                                                                  ,754460,500990,3-06662-0033,OCEAN PARKWAY-SOUTH,40.604287
"{'latitude': '40.636800689335', 'longitude': '-73.96060118764', 'human_address': '{""address"": ""1802 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3120562.0,11226.0,4.46,1931.0,-73.960529,40.0,113188,730063.0,2638000, ,"{'latitude': '40.638292341934', 'longitude': '-73.957563623504', 'human_address': '{""address"": ""2110 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.635026225077', 'longitude': '-73.958241591811', 'human_address': '{""address"": ""1122 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05240-0043,FLATBUSH-CENTRAL,Flatbush                                                                   ,667801,679998,3-05221-0043, ,40.636866
"{'latitude': '40.673860366645', 'longitude': '-73.964081704264', 'human_address': '{""address"": ""415 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3029409.0,11238.0,7.14,1909.0,-73.964343,35.0,13385,95521.0,1023000,C7-WALK-UP,"{'latitude': '40.674225498446', 'longitude': '-73.965828527995', 'human_address': '{""address"": ""357 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,624,000","170,916","113,375","{'latitude': '40.674149953929', 'longitude': '-73.965467116157', 'human_address': '{""address"": ""369 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01173-0078,PROSPECT HEIGHTS,Prospect Heights                                                           ,165487,111470,3-01173-0082,PROSPECT HEIGHTS,40.673891
"{'latitude': '40.607230774156', 'longitude': '-73.952991230645', 'human_address': '{""address"": ""2234 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3183172.0,11229.0,5.59,1938.0,-73.952922,48.0,63000,322768.0,1496000, ,"{'latitude': '40.606864887961', 'longitude': '-73.952731451042', 'human_address': '{""address"": ""2249 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.607464889623', 'longitude': '-73.955081511147', 'human_address': '{""address"": ""1745 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06801-0069,MADISON,Madison                                                                    ,331160,380120,3-06803-0058, ,40.607326
"{'latitude': '40.635227613417', 'longitude': '-74.031124072862', 'human_address': '{""address"": ""138 71 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,6.89,1936.0,,,27048,189596.0,1516000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""7502 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.631149722868', 'longitude': '-74.026342366728', 'human_address': '{""address"": ""353 BAY RIDGE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05929-0054,BAY RIDGE,,845640,744120,3-05938-0040, ,
"{'latitude': '40.672873581641', 'longitude': '-73.971449621075', 'human_address': '{""address"": ""920 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3024703.0,11215.0,7.35,1920.0,-73.970969,39.0,11250,102867.0,967000, ,"{'latitude': '40.700610222719', 'longitude': '-73.987290136408', 'human_address': '{""address"": ""78 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.67711210594', 'longitude': '-73.970929922747', 'human_address': '{""address"": ""210 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01164-0035,PROSPECT HEIGHTS,Park Slope-Gowanus                                                         ,248580,132300,3-01081-0043, ,40.672729
"{'latitude': '40.639486053552', 'longitude': '-73.973671487797', 'human_address': '{""address"": ""386 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3126160.0,11218.0,5.75,1924.0,-73.973398,39.0,16000,92066.0,478000,C1-WALK-UP,"{'latitude': '40.639786195813', 'longitude': '-73.973116086931', 'human_address': '{""address"": ""377 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,124,000","387,110","181,367","{'latitude': '40.668090370405', 'longitude': '-73.976966762589', 'human_address': '{""address"": ""555 5 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-05374-0057,OCEAN PARKWAY-NORTH,Kensington-Ocean Parkway                                                   ,151788,178848,3-05375-0072,OCEAN PARKWAY-NORTH,40.639567
