program,end02,req7,date10,start02,method,end03,stm,req8,date07,end14,start06,_9app,audgrp05,start07,start03,aud,date06,_9seats,date05,end08,req3,prgdesc,audgrp06
Culinary Institute,,,,,Screened,,4-Mar,,,,,341.0,,,,,,150.0,,,,"Preparation for high level, professional experiences in gourmet cooking, food preparation, and restaurant management.",
Visual Art and Design,,,,,Audition,,,,,,,79.0,,,,"Bring a portfolio of 8-10 pieces of work, pen, pencil, etc.",,28.0,,,,"Fine Arts including painting, drawing, graphics and computer graphics.",
School for Tourism and Hospitality,,,,,Limited Unscreened,,,,,,,372.0,,,,,,135.0,,,,,
Bronx Academy of Letters,,,,,Limited Unscreened,,,,,,,908.0,,,,,,81.0,,,,,
Community Service and Learning,,,,,Ed. Opt.,,,,,,,250.0,,,,,,175.0,,,,"All students complete 200 hours of Community Service, both in school and at off-site community-based organizations. 9th graders participate in school-sponsored activities only.",
Bronx International High School,,,,,Screened: Language,,,,,,,515.0,,,,,,108.0,,,,,
Leadership and Public Service,,,,,Ed. Opt.,,,,,,,868.0,,,,,,198.0,,,,"Students complete a sequence of courses and activities in Law, Leadership and Public Policy; Syracuse University Summer College and Syracuse University Project Advance.",
Zoned,7:00 PM,,,4:00 PM,Zoned,7:00 PM,,,,,4:00 PM,,Last name U-Z,,4:00 PM,,"Tuesday, 11/19/2013",,"Monday, 11/18/2013",,,,Make-up auditions
Frances Perkins Academy,,,,,Limited Unscreened,,,,,,,164.0,,,,,,81.0,,,,,
"Pre-Med, Pre-Teaching, Pre-Engineering",,,,,Limited Unscreened,,,,,,,1001.0,,,,,,35.0,,,,"Participation in Advanced Placement classes will prepare students to enter programs of medicine, teaching, engineering & technology in college and universities.",
Culinary Arts,,,,,Ed. Opt.,,,,,,,483.0,,,,,,130.0,,,,"Using professional equipment and trained by experts chefs, students receive intense instruction; students have opportunities to intern at high-profile restaurants throughout the New York area. Affiliated with C-CAP (Careers through Culinary Arts Program), inner HS competition at Monroe College.",
Choices Academy,,,,,Ed. Opt.,,,,,,,479.0,,,,,,350.0,,,,"Students will participate in an Advisory course that will explore six college/career pathways. Students will choose a pathway at the end of ninth grade, in which they will continue for grades 10, 11 and 12.",
Architecture and Design,,,,,Limited Unscreened,,,,,,,403.0,,,,,,27.0,,,,,
Carl Sagan Science/Math Honors Academy,8:00 PM,,,4:00 PM,Screened,6:00 PM,4-Mar,,,,,3956.0,,,4:00 PM,,,136.0,,,,"This program, for Queens students or residents, offers honors-level courses in authentic science and math research and seminars in advanced mathematics and statistics.",
Brooklyn Collegiate: A College Board School,,,,,Limited Unscreened,,,,,,,354.0,,,,,,81.0,,,,,
Chorus,9:00 PM,,,5:00 PM,Audition,1:00 PM,,,,,,254.0,,,9:00 AM,"Come prepared to sing a song of your choice, without accompaniment. Rhythm, pitch-matching and ability to sing in harmony with others will be evaluated.",,50.0,,,,"Students perform in Chorale, Show Choir, Select Choir, and Womenâs Choir; Music Theory, Music History, Sight Singing, and Piano; Preparation for state competitions; Evaluations in solo and ensemble work",
Academy of Communication and Media Arts,,,,,Ed. Opt.,,,,,,,370.0,,,,,,68.0,,,,"Students explore and utilize various forms of media such as television, film, internet, radio and print. With a major focus on hands-on instruction, this program prepares students for relevant college majors with exposure to careers in all areas of Media.",
Science???? Technology???? Engineering and Math (S.T.E.M.) Research Program,,,,,Screened,,4-Mar,,,,,746.0,,,,,,120.0,,,,"4-year honors STEM Academy, hands-on scientific research program in collaboration with Dr. Leena Doshi, Founder of Doshi Diagnostic Laboratories; college and career preparation in math, science, medicine, technology; internships in medical facilities, colleges/universities, scholarships",
"High School for Arts, Imagination and Inquiry",,,,,Limited Unscreened,,,,,,,665.0,,,,,,120.0,,,,,
Computer Science Institute,,,,,Screened,,4-Mar,,,,,92.0,,,,,,68.0,,,,Four-year Regents-level course of study in Computer Science and Information Technology.,
Design Technology,,,,,Ed. Opt.,,,,,,,149.0,,,,,,66.0,,,,"Fashion Design Engineering and Graphic/Media Arts - come design your future at Maxwell! Choose fashion, graphic or broadcasting to explore your creativity and build your design concepts through the tools of the trade and technology. Build your very own portfolio of digital and video design projects.",
Art as Visual Language,,,,,Ed. Opt.,,,,,,,126.0,,,,,,40.0,,,,"Using traditional exercises, proven educational strategies, museum visits and (when applicable) technology, art major students will develop and strengthen their ability as they grow to recognize their artistic voice.",
Bronx Engineering & Technology Academy (BETA),,,,,Limited Unscreened,,,,,,,756.0,,,,,,108.0,,,,,
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,,
Performing Arts,,,,,Limited Unscreened,,,,,,,350.0,,,,,,68.0,,,,"Theatre and music preparation program with courses in acting, movement, music theory, technical theatre and theatre history.",
Institute of the Performing & Media Arts,,,,,Limited Unscreened,,,,,,,513.0,,,,,,120.0,,,,"Students explore and have the opportunity to focus on Performing Arts â instrumental and vocal music, theater, dance, acting; Television Media â set design, lighting, copy editing, music videos.",
Harvest Collegiate High School,,,,,Limited Unscreened,,,,,,,1398.0,,,,,,108.0,,,,,
Math and Science Institute,,,,,Screened,,4-Mar,,,,,241.0,,,,,,100.0,,,,"Focusing on studentsâ development of math and science research techniques, and critical & analytical thinking skills. Students will engage in individual projects, competitions, and trips to colleges and university research seminars.",
Air Conditioning and Refrigeration,,,,,Ed. Opt.,,,,,,,56.0,,,,,,28.0,,,,State certified three-year sequence including air conditioning and refrigeration. Internships and union opportunities available for eligible students. All students must take industry exams for certification.,
Music,,,,,Limited Unscreened,,,,,,,281.0,,,,,,50.0,,,,"A four-year intensive program which will develop students' technique, creativity, and expression while learning music theory, notation and performance. Students will select a major in either vocal or instrumental music. Audition Information (Instrumental Music): You may audition on more than one instrument. Bring your own instrument(s) (except piano, percussion, guitar amplifiers which are provided by the school). Perform a prepared solo selection, sing back melodic patterns, tap back rhythmic patterns and complete a sight reading of a given selection.",
Queens School of Inquiry,,,,,Screened,,4-Feb,,,,,524.0,,,,,,81.0,,,,"Interdisciplinary program with a strong, comprehensive focus on math and science",
Early College,,,,,Screened,,4-Mar,,,,,3060.0,,,,,,150.0,,,,,
Thurgood Marshall Law Academy,,,,,Ed. Opt.,,,,,,,224.0,,,,,,200.0,,,,"Introduction to Law, Criminology, Practical Law, Trial Techniques, Constitutional Law, Minorities and the Law, Sociology, Psychology and the Law and Literature.",
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,Academic Comprehensive Program.,
Park East High School,,,,,Screened,,4-Feb,,,,,1308.0,,,,,,110.0,,,,,
Instrumental Music,7:00 PM,,,4:00 PM,Audition,7:00 PM,,,,,4:00 PM,42.0,Last name (S-Z),,4:00 PM,"Students must perform a prepared selection and two major scales. Sight reading, rhythm and tonal memory will be tested.","Friday, 12/6/2013",15.0,"Wednesday, 12/4/2013",,,"Music theory and history, techniques and performance; music composition, music analysis; conducting, Marching Band, Jazz Band, Concert Band, Small Ensembles.",Last name (S-Z)
"Law, History & Human Rights Institute",,,,,Screened,,4-Mar,,,,,280.0,,,,,,68.0,,,,"This program is sponsored by the Gilder Lehrman Institute of American History and partnered with the Justice Resource Center. It prepares students for majors that lead to careers in the legal field. Students take courses in Criminal Justice, Family and Civil Law, Constitutional Law, Legal Research, Mock Trial & Debate and participate in Internships. Through these courses students attend field trips and compete in Mock Trial and Moot Court competitions. Students also have the opportunity to take Advanced Placement and College Extension courses in History and Government.",
Social Action,,,,,Limited Unscreened,,,,,,,574.0,,,,,,81.0,,,,"Components of the program include: social action club, work with activists who are involved with social justice issues, social action and community service internships, whole school examination of social justice issues",
Theatre Arts,12:00 PM,,,9:00 AM,Audition,12:00 PM,,,,,,182.0,,,9:00 AM,"Select, study, memorize and perform a 1-3 minute monologue of drama or comedy. You will also be interviewed and asked for a writing sample.",,68.0,,,,"Interpretation of dramatic literature, acting, directing, playwriting, improvisation, scenic design, filmmaking and career counseling in the arts. Selection Criteria: Interview, Writing Sample",
Telecommunication Arts and Technology,,,,,Ed. Opt.,,,,,,,2867.0,,,,,,304.0,,,,A college preparatory institution offering a wide range of very challenging academic courses; computers used as a tool to enhance the academic lives of our students.,
World View High School,,,,,Limited Unscreened,,,,,,,153.0,,,,,,108.0,,,,,
Junior Reserve Officers' Training Corps,,,,,Ed. Opt.,,,,,,,85.0,,,,,,34.0,,,,"Provides students with the tools, training and experiences required for todayâs leadership roles; Drill classes provide the opportunity for students to participate in the National Drill Competition",
Science Engineering,,,,,Test,,,,,,,21719.0,,,,,,1300.0,,,,,
Science Institute,,,,,Screened,,4-Mar,,,,,995.0,,,,,,68.0,,,,"This program is designed to challenge those students who are not only strong in math and science, but also interested in pursuing careers in these or related areas. The program is rigorous and requires a serious commitment. In addition to fulfilling all high school requirements, students in this program take a minimum of two college-level science classes and one year of college-level math. Hands-on and computer research in science is required, leading to opportunities for both supervised and independent research.",
York Early College Academy,,,,,Screened,,4-Feb,,,,,922.0,,,,,,81.0,,,,,
Bronx Guild,,,,,Limited Unscreened,,,,,,,543.0,,,,,,81.0,,,,,
"Visual Arts, Drama, Dance and Music",,,,,Limited Unscreened,,,,,,,594.0,,,,,,100.0,,,,,
Life Sciences for New Students,,,,,Ed. Opt.,,,,,,,1354.0,,,,,,130.0,,,,"Curriculum focus on the Health Sciences with internships, mentoring, research and tutoring opportunities with Mount Sinai School of Medicine.",
Business Institute,,,,,Ed. Opt.,,,,,,,153.0,,,,,,102.0,,,,"Prepares students for careers in business and computer science; students will participate in Virtual Enterprise, Co-Op Tech and internships.",
West Bronx Academy for the Future,,,,,Limited Unscreened,,,,,,,451.0,,,,,,81.0,,,,,
Humanities,,,,,Ed. Opt.,,,,,,,99.0,,,,,,95.0,,,,Develop knowledge and skills to be able to compete in a global economy.,
Marta Valle High School,,,,,Ed. Opt.,,,,,,,454.0,,,,,,150.0,,,,"MVHS college/career readiness program includes course offerings in: Advanced Placement Calculus, English, and Spanish; Digital Photography, Web Design; Visual, Performing and Culinary Arts, Video, Music Engineering.",
Anne Hutchinson Academy,,,,,Screened,,4-Mar,,,,,190.0,,,,,,60.0,,,,"Courses of study comprised of Honors and Advanced Placement courses with an emphasis on intensive research, technology application, and ethical considerations. Students will be offered the opportunity to select areas of concentration.",
The Cinema School,,,,,Screened,,4-Mar,,,,,717.0,,,,,,81.0,,,,The Cinema School is a select admissions school offering a rigorous liberal arts college preparatory curriculum and a four-year curriculum in filmmaking. All students will take the required courses for an Advanced Regents Diploma and take at least two Advanced Placement courses to prepare them for admissions to competitive four-year universities in any field of study they choose.,
Naval Junior Reserve Officers' Training Corps,,,,,Ed. Opt.,,,,,,,139.0,,,,,,60.0,,,,"Navy Junior ROTC is a leadership and citizenship training program co-sponsored by the Department of Education and the United States Navy. The curriculum is divided into three areas: academic, military skills and physical fitness.",
Institute for Computer and Technology,,,,,Screened,,4-Mar,,,,,267.0,,,,,,300.0,,,,"Provides students with computer literacy, maintenance skills, knowledge of programming languages and the cognitive skills to solve problems through programming; four-year program includes courses in literacy, programming, maintenance, and repair.",
University Neighborhood High School,,,,,Ed. Opt.,,,,,,,280.0,,,,,,125.0,,,,"An interdisciplinary, project-based program, with advisories, art and music electives, community service requirements and learning centers.",
Scholars' Academy,,,,,Screened,,4-Mar,,,,,952.0,,,,,,108.0,,,,,
Zoned,12:00 PM,,,9:00 AM,Zoned,12:00 PM,,,,,,,,,9:00 AM,,,,,,,,
Future Teachers Academy,,Review of Attendance & Punctuality,,,Ed. Opt.,,,,,,,312.0,,,,,,68.0,,,,"A teacher preparatory program which includes courses in Child Development, Psychology, Children's Literature, Teaching Methodology, as well as a college credited education course. A student teaching component is required.",
Gateway: Mathematics and Science Institute for Pre-College Education,,,,,Screened,,4-Mar,,,,,217.0,,,,,,60.0,,,,"Challenging Academic Program that prepares students for majors in scientific studies at competitive universities; offers Honors, Advanced Placement and College Now courses.",
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,Comprehensive Academic Program.,
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,Academic Comprehensive Program.,
Information Technologies,,,,,Screened,,4-Mar,,,,,164.0,,,,,,28.0,,,,"Designed for students who focus on one of the following: computer repair (A+), networking (Cisco) or Microsoft Office Specialist (MOS). This academic and technical oriented program leads to a New York State Regents diploma and technical certification in either A+, Cisco or MOS.",
Math and Technology,,,,,Screened,,4-Mar,,,,,1841.0,,,,,,108.0,,,,Three years of computer science or information technology leading to A+/and or Networking Certification; internship required. Excel Program leads to Dual Enrollment at Medgar Evers College.,
Beauty Science & Technology,,,,,Ed. Opt.,,,,,,,193.0,,,,,,63.0,,,,A comprehensive program that prepares students for college and the New York State licensing examination in cosmetology and nail technology.,
Multimedia Internet Technology,,,,,Screened,,4-Feb,,,,,198.0,,,,,,75.0,,,,"Students study HTML webpage programming, Javascript, image editing, motion graphics, visual design principles, advanced motion editing, mobile application development and website hosting. Industry certifications include Adobe website, Photoshop, Flash and NOCTI.",
Kingsbridge International High School,,,,,Screened: Language,,,,,,,480.0,,,,,,108.0,,,,,
"Bronx School for Law, Government and Justice for New Students",,,,,Ed. Opt.,,,,,,,1484.0,,,,,,30.0,,,,,
Math & Science Institute,,,,,Screened,,4-Mar,,,,,453.0,,,,,,68.0,,,,"As a STEM (Science, Technology, Engineering, and Mathematics) program, students are prepared for majors that lead to careers in medicine or engineering. Students participate in internships, regional and national competitions, professional conferences, and field trips. Advanced Placement, College Now, College Extension and SAT preparation courses, as well as medical and engineering electives, are offered.",
Sunset Park High School,,,,,Limited Unscreened,,,,,,,799.0,,,,,,324.0,,,,,
Teaching Institute,,,,,Ed. Opt.,,,,,,,899.0,,,,,,246.0,,,,Students engage in teaching methods in all classes. Students can apply to a voluntary 1-year internship in teaching in 11th or 12th grade. Students are part of grade level cohorts and participate in interdisciplinary units and projects.,
Classics Institute,,,,,Screened,,4-Mar,,,,,825.0,,,,,,68.0,,,Review of Attendance & Punctuality,"This program is designed to challenge those students who are not only strong in the humanities and language areas, but also interested in pursuing careers in these or related areas.",
South Bronx Preparatory: A College Board School,,,,,Limited Unscreened,,,,,,,1518.0,,,,,,86.0,,,,,
Studio Theatre,,,"Saturday, 11/23/2013",1:30 PM,Audition,,,,"Saturday, 11/23/2013",,8:30 AM,411.0,Instrumental & Vocal Music and Studio Theatre; Last Name M - S,9:30 AM,8:30 AM,Students will be asked to perform a one-minute monologue from a play chosen by the applicant. The monologue must be memorized and should be age appropriate. Students will be asked to perform an improvisational pantomime from a list of scenarios supplied at the audition.,"Saturday, 11/23/2013",32.0,"Saturday, 11/23/2013",,,"A sequential course of study focusing on acting, scene study, dramatic literature, playwriting, and performance.",Instrumental & Vocal Music and Studio Theatre; Last Name T - U
Food and Finance High School,,,,,Limited Unscreened,,,,,,,3600.0,,,,,,108.0,,,,Focuses on Culinary Arts in cooking and baking and the financial aspects related to the industry.,
The Urban Assembly School of Business for Young Women,,,,,Limited Unscreened,,,,,,,566.0,,,,,,108.0,,,,,
Medical/Technology Academy,,,,,Ed. Opt.,,,,,,,66.0,,,,,,100.0,,,,The Med/Tech Academy is designed to nurture and develop individual skills in students interested in the healthcare and technology fields.,
Frederick Douglass Academy II for Continuing Students,,,,,For Continuing 8th Graders,,,,,,,21.0,,,,,,26.0,,,,See above description.,
Bronx High School of Business,,,,,Limited Unscreened,,,,,,,96.0,,,,,,108.0,,,,"Through a focus on business administration and entrepreneurship, students prepare for success at competitive colleges and universities.",
Community Health Academy of the Heights,,,,,Limited Unscreened,,,,,,,695.0,,,,,,81.0,,,,,
Drama Academy,8:00 PM,,,4:00 PM,Audition,6:00 PM,,,,,,325.0,,,4:00 PM,A presentation of a one-minute monologue and a cold read to demonstrate creative ability. Further details will be available on the Forest Hills website (www.foresthillshs.org).,,30.0,,,,One-year multimedia class to be conditionally followed with a three-year advanced sequence of all aspects of theater.,
Bronx Leadership Academy II High School,,,,,Limited Unscreened,,,,,,,921.0,,,,,,108.0,,,,,
Health Professions,,,,,Screened,,4-Feb,,,,,1500.0,,,,,,40.0,,,,"Introduction to health professions; in addition to required and advanced courses, students have opportunities to work and learn in state-of-the-art labs and facilities.",
The Urban Assembly School for Media Studies,,,,,Limited Unscreened,,,,,,,694.0,,,,,,108.0,,,,,
Music,,,,,Audition,,,,,,,308.0,,,,Music students must present a current portfolio and perform a brief instrumental or vocal piece. Auditions will be held during the month of January. Please contact the school for additional information.,,40.0,,,,"Instrumental courses for beginning and experienced students including: symphonic, jazz, concert, intermediate, beginning and marching bands; beginning and advanced guitar, and beginning piano. Students of all levels have the opportunity to perform in the chorus, SING, and the spring musical.",
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,Academic Comprehensive Program,
Channel View School for Research,,,,,Limited Unscreened,,,,,,,588.0,,,,,,108.0,,,,,
Law and International Studies Institute,,,,,Ed. Opt.,,,,,,,146.0,,,,,,102.0,,,,"Prepares students for careers in social sciences, law, and international relations; students will participate in Model UN, Moot Court and Mock Trial.",
Brooklyn Studio Secondary School for Current Students,,,,,For Continuing 8th Graders,,,,,,,66.0,,,,,,70.0,,,,Students will select either the Instrumental Music Program or the Digital Communications Program by the spring term of 9th grade.,
National Academy Foundation Media Communications,,,,,Screened: Language,,,,,,,593.0,,,,,,32.0,,,"â¢ Open only to New York City residents who have lived in the United States four years or fewer, whose home language is Spanish and are of limited English proficiency.","A hands-on approach to understanding mass media opportunities to develop career skills in video production, journalism, media arts, technology, with internships in various media outlets.",
Secondary School for Law,,,,,Screened,,4-Feb,,,,,509.0,,,,,,125.0,,,,"Program emphasizes the study of law; opportunities for mentoring, internships and mock trial/moot court.",
Science Skills Center,,,,,Ed. Opt.,,,,,,,629.0,,,,,,88.0,,,Review of Attendance & Punctuality,Focuses on using hands-on and research techniques.,
Major Art,12:00 PM,,,9:00 AM,Audition,,,,,,,75.0,,,,Prepare a portfolio of 8-10 pieces of original work (no cartoons). There will be a test that includes drawing from still life and six drawings from imagination.,,30.0,,,,"Art, Commercial Art, Fashion Design and Illustration, Drawing, Painting, 3-D Design, Computer Art, Printmaking.",
Academy of Arts and Humanities,,,,,Ed. Opt.,,,,,,,213.0,,,,,,50.0,,,,"Students will take all required Regents preparatory courses plus additional major courses in art, music, theater, language, history and English.",
Digital Communications and Media for New Students,,,,,Ed. Opt.,,,,,,,840.0,,,,,,73.0,,,,"A career-based, interactive technology program with an emphasis on fine arts, computer graphics, digital photography/filmmaking, web-design and internships.",
NATEF Automotive Technology,,,,,Limited Unscreened,,4-Mar,,,,,404.0,,,,,,130.0,,,,Follows National Automotive Technicians Education Foundation instruction and leads to national certification in the automotive industry.,
Practical Nursing/Nursing Assistant/Medical Technology,,,,,Screened,,4-Mar,,,,,342.0,,,,,,68.0,,,,"1,514 hours of clinical and classroom studies prepare students for NYS Certification as Licensed Practical Nurse (LPN). Nursing Assistant (NA) program prepares students to take national performance/written exams for NYS Public Health Department Certification",
Secondary School for Journalism,,,,,Screened,,4-Mar,,,,,198.0,,,,,,125.0,,,,"Real-World applications of publishing, audio and visual formats, multimedia productions, speaker series, field trips, as well as the history and moral and ethical responsibilities of those in the field of journalism.",
Carver Research Institute,,,,,Limited Unscreened,,,,,,,346.0,,,,,,54.0,,,,,
Dual Language Spanish Information Technology and Computer Science,,,,,Screened: Language & Academics,,4-Feb,,,,,94.0,,,,,,25.0,,,,"This NAF academy uses a technology-based program involving the design, development, support and management of hardware, software and web design. Successful completion of program could lead to IC3 and Adobe Photoshop certifications. Students participate in internships, Advanced Placement courses and credit-bearing college courses.",
Manhattan Business Academy,,,,,Limited Unscreened,,,,,,,1109.0,,,,,,108.0,,,,,
Syracuse University Project Advance Academy,,,,,Screened,,4-Feb,,,,,,,,,,,30.0,,,,"Students will focus on math and science, and will work with university faculty to develop research skills. Students will be considered for summer college programs at several universities, including Syracuse University. Academy students will be mentored by consultants from Deloitte Consulting, one of our corporate partners, in their four-year technology/college readiness initiative. Please note that all students will be in uniform.",
Automotive Technology,,,,,Ed. Opt.,,,,,,,193.0,,,,,,56.0,,,,"Three-year NATEF & state certified sequence, work on live vehicles. Courses: Steering & Suspension, Brakes, Electricity/Electronics & Engine Performance. Must take industry exams for certification. Internships available for eligible students.",
Theatre Arts Production Company School,1:00 PM,,,10:00 AM,Audition,1:00 PM,,,,,,406.0,,,10:00 AM,"Students must bring and read a one-minute monologue of their choosing. Dancers must bring their own music. For additional information, please visit our website at www.tapconyc.org",,81.0,,,,,
Instrumental Music,,,,,Audition,,,,,,,27.0,,,,Be prepared to demonstrate competence and ability by playing a prepared selection of your choice. Bring your instrument to the audition.,,12.0,,,,"Instrumental music, including participation in the Super Band.",
Pre-Med and Health Careers,,,,,Screened,,4-Feb,,,,,159.0,,,,,,30.0,,,,"Four-year math-science foundation in preparation for college pre-med and health profession programs. Emphasis on clinical and laboratory-based experiences, hospital-based internships and portfolios. Students participate in state and national conferences with HOSA, a national organization promoting careers in health care.",
East-West School of International Studies,,,,,Limited Unscreened,,,,,,,426.0,,,,,,81.0,,,,,
Bard High School Early College Queens,,,,,Screened,,4-Mar,,,,,2209.0,,,,,,150.0,,,,Inquiry and critical thinking promoted across all subject areas.,
Information Technologies,,,,,Screened,,4-Mar,,,,,1159.0,,,,,,90.0,,,,Focuses on offering students a choice in one of the following IT Careers : Information Technology Specialist (A+ Computer Repair) or Internetworking (Cisco Networking),
Antonia Pantoja Preparatory Academy: A College Board School,,,,,Limited Unscreened,,,,,,,252.0,,,,,,81.0,,,,,
Exploratory: Introduction to Occupations,,,,,Ed. Opt.,,,,,,,1648.0,,,,,,210.0,,,,"The 9th Grade School of Exploration & Discovery (SED), through six 6-week rotations , provides students with experience in: Introduction to Business, Electrical Installation, Plumbing, Graphic Arts, Cosmetology and Electronics.",
Fine & Visual Arts,,,,9:00 AM,Audition,,,,,,,518.0,,,3:30 PM,Presentation of a portfolio containing 10 pieces of original art work; an art exam and writing sample will be required at the audition. A VCR for viewing a student-made video will be available.,,64.0,,,Writing Sample,"Graphic arts, photography studio, fashion design, drawing, painting, sculpture, art history, internships at NYC galleries",
Mott Hall High School,,,,,Limited Unscreened,,,,,,,838.0,,,,,,108.0,,,,Experiential hands-on learning is an important part of the schoolâs curriculum.,
Mathematics & Humanities,,,,,Limited Unscreened,,,,,,,349.0,,,,,,108.0,,,,,
Academy of Hospitality & Tourism,,,,,Limited Unscreened,,,,,,,568.0,,,,,,40.0,,,,"Helps students chart career paths in one of the world's largest industries, from hotel management to sports entertainment and event management; includes the study of geography, economics and world cultures.",
SoHo Communication Arts Academy,,,,,Ed. Opt.,,,,,,,429.0,,,,,,80.0,,,,"Commercial and Fine Arts, including Creative Design and Photoshop.",
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,,
Liberal Arts Academy,,,,,Ed. Opt.,,,,,,,235.0,,,,,,80.0,,,,"Participation in a general elective program that provides a series of elective classes, career exploration, internships and externships for students.",
Flushing International High School,,,,,Screened: Language,,,,,,,410.0,,,,,,108.0,,,,,
