globalid,parkzone,:@computed_region_92fq_4b7q,crossstreet2,bbl,locationdetails,closeddate,boroughcode,:@computed_region_efsh_h5xi,latitude,census_tract
EF062385-5323-4026-B575-FA3C7041633B,,37.0,HARMAN STREET,3032910033.0,,2018-10-26T17:31:00,Brooklyn,13828.0,40.703179,443.0
1616B038-D80C-43AE-A288-07EBEDE1730B,,,,,Remove 1 large dead limb over sw on Vermont 3 tr off curbline from Linden blvd,2022-04-28T20:16:00,Brooklyn,26949.0,,
586C5895-6496-49D2-A15E-6436D93BDF4A,,36.0,ACP Blvd,,Dead limb  Tree ID: 5106673,2019-08-27T14:30:21,Manhattan,12427.0,,
BC578EEE-3A21-4FDB-98B8-255D1546F583,,9.0,ARTHUR KILL ROAD,5074640100.0,,2015-07-28T11:46:00,Staten Island,10696.0,40.533734,226.02
2D3BE7A8-AA82-4744-A2AA-FB239A2827BD,,,,,Dead limb behind bbq ares,,,16858.0,,
A9EEAB1A-C948-4DD2-A6E5-2404CBBE583F,,8.0,AVENUE V,3073690020.0,,,Brooklyn,13512.0,40.600532,570.0
92BA46D1-105E-4828-B79A-343D0BB108E8,X039-ZN03,12.0,,,Remove*Dead Tree*hazard dead limbs over wall path.,2022-11-28T13:22:00,Bronx,12344.0,,
5CCCC1F3-0B9D-4A7D-A845-E4CA850E7C06,,25.0,NEWPORT STREET,3036050116.0,,,Brooklyn,17614.0,40.660686,918.0
CA87D25B-2901-4A5C-9B9F-4E0C32C81534,,23.0,WEST  146 STREET,1020600014.0,,,Manhattan,12428.0,40.824958,231.0
8EC41754-E4F1-4716-9577-6DD72EB96678,Q467,41.0,,,"stump in active lawn >4"" adj concession bldg",2017-01-25T12:04:03,Queens,20531.0,,
3444465F-B37C-431F-A5E5-FBA93F72E810,,30.0,,,"JB ""test"" 2/4/2020  Fchhgfghj Tree ID: 5099233",2020-04-17T11:40:00,Brooklyn,17613.0,,
A8C23829-D1E2-4CB1-9C94-3BF786476F7E,,30.0,SENECA AVENUE,4034300023.0,,2016-07-15T09:10:14,Queens,15310.0,40.706666,545.0
91F5748E-7201-496C-8C1B-33F84B041390,,44.0,,,"Prune DW in 38"" Oak Tree ID: 4886683",2022-03-23T16:17:17,Brooklyn,17616.0,,
3DEADF8D-D151-4F2F-9194-4B6A087E5D97,,40.0,,,test Tree ID: 5113733,2019-06-24T11:17:39,Bronx,11272.0,,
