dbn,fax_number,nta,zip,:@computed_region_efsh_h5xi,program_highlights,advancedplacement_courses,priority08,priority02,overview_paragraph,:@computed_region_yeji_bk3q
17K546,718-363-3206,Prospect Lefferts Gardens-Wingate                                          ,11203,16866.0,"Regents Prep, SAT Prep, College Now, Tutoring; Medical Science Courses: Public Health, Immunology & Disease, Parenting, Human Rights, Quality of Life; Journalism, Drama, Speech & Debate, Documentary Filmmaking, (DC-TV), buildOn, Community Action Now, Global Kids, New Yorkers Against Gun Violence (NYAGV), Explorer's, Law Mentorships, Summer Health Internships, Latin-Hispanic Pre-Nursing, Red Hook Community Youth Court, Summer Law Internships, Telluride Association, Opportunity Network (Op-Net), Sadie Nash Leadership, Posse Foundation, Coro Youth Leadership Institute, Talent Search","Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Statistics, United States History, World History",,Then to New York City residents,"Our school enables students to develop academic and social skills necessary to be productive contributors to society. We offer a small and dynamic learning environment with many service learning opportunities, a major component of our school and student life. Our mission to perform community service is visible in our school and throughout the local neighborhoods. Students graduate with a resume of impressive credentials and experiences. They are encouraged to strive for excellence through challenging course work, medical and legal job internships and hands-on community service experiences. We create the perfect recipe for success so that students are prepared for college and careers.",2
16K688,718-574-3681,Stuyvesant Heights                                                         ,11221,18181.0,"National Academy of Finance (NAF) provides an industry-approved curriculum and includes job-shadowing, guest speakers, internships, and career planning; Deloitte Consulting provides a Career-Readiness Program for our Freshman Class; Label X Educational Initiative led by music industry professionals introduces students to various aspects of and roles within the music industry and helps them create a viral marketing plan, a professionally mixed song and a professionally edited music video.","English Literature and Composition, Environmental Science",,Then to New York City residents,"The mission of The Brooklyn Academy of Global Finance (BAFG) is to prepare students for post-secondary education and to compete in the global economy through academic rigor, financial literacy, awareness of global economic and cultural diversity and exposure to and experience in the corporate world. Students gain knowledge of the financial industry through field trips, job shadowing and internships. BAGF provides an academically challenging environment in which students experience real-world applications of their learning through internships and interactions with partners in business and financial services industries.",2
02M305,212-674-8021,Chinatown                                                                  ,10002,11723.0,"Students take courses such as Law & Ethics, Forensics and Public Speaking in addition to courses that prepare them for a Regents or Advanced Regents Diploma. All 9th graders attend a Mandatory Extended Day Program 3 days a week that includes academic support and extracurricular clubs. 11th grade students have access to free SAT Prep courses during the school day. Advanced students can take Advanced Placement (AP) courses and College Now courses to earn college credit.","English Literature and Composition, Microeconomics, Spanish Language and Culture, United States History",,Then to Manhattan students or residents who attend an information session,"The Urban Assembly Academy of Government and Law (AGL) prepares students from diverse backgrounds and academic abilities to be lifelong learners. AGL meets students’ academic, social and emotional needs with a challenging curriculum and enriching extracurricular opportunities. As a government-and-law-themed school, AGL provides students with the skills to be ready for college and beyond, encourages civic engagement and develops leaders in the community.",4
21K559,718-333-7775,Gravesend                                                                  ,11214,17616.0,"College Now, iLEARN courses, Art and Film Production courses including film, set design, audio production, cinematography, animation, storyboarding art",,,Then to New York City residents,"At Life Academy High School for Film and Music, we infuse the study of film, the art of filmmaking, audio production and new media into engaging, student-centered and project-based courses. We focus on building communication skills in writing, presentation and creativity. Our Advisory program helps each student develop personal relationships and positive citizenship. We seek students who want to learn in an exciting atmosphere of excellence and creative collaboration.",2
27Q314,,South Ozone Park                                                           ,11420,24016.0,"Culturally relevant practices, blended instruction with both  teacher-led classes and use of digital resources, real-world problem-based  learning, student choice on elective courses, CORE advisory program focused on  personal and social development, mentoring, rites of passage experiences,  college and career counseling starting in 9th grade, internships, college level  courses in upper grades, community service opportunities. ",Based on student interest.  ,,Then to New York City residents who attend an information session  ,"Epic High School – South, an outgrowth of the NYC Expanded Success Initiative,  provides a rigorous, culturally relevant, academic program that prepares students  for the demands of college and careers. Epic's personalized approach to  instruction challenges students to dream big and design their futures. It engages  students in solving real-world problems and supports their individual progress  and growth. Epic students graduate confident in their ability to transform the  world around them.  ",3
13K419,718-243-1016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,11201,16865.0,"Digital Media, Networking, Web Design, Introduction to Computers, Journalism, Year Book Class, Introduction to Video Production, Science Research, Forensic Science, Robotics, Anatomy & Physiology, College Now, Law, Organic Chemistry, Psychology, Drama, Science Technology Entry Program (STEP)- Introduction to College Mathematics, Science & Society and Multimedia Journalism, Digital Electronics, Introduction to Engineering, Principles of Engineering, Civil Engineering & Architecture, Pre-Calculus, Statistics","Biology, Calculus AB, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, Music Theory, Psychology, United States History",,,"Science Skills Center High School is a small learning community designed to empower students with the knowledge of science, engineering, mathematics and humanities through the use of technology. There is a strong emphasis on academic excellence, college experiences, community service and career planning before graduation. Our dedicated and dynamic staff are eager to prepare students for college and career.",2
09X543,718-589-9849,Morrisania-Melrose                                                         ,10456,10934.0,"Freshmen take both violin and dance; College Now, National Academy for Excellent Teaching (NAFET), Leadership Program, buildOn",,,Then to New York City residents who attend an information session,"The High School for Violin and Dance (HSVD) is one of four schools on the Morris Educational Campus. HSVD offers every student classes in violin and modern dance. No prior experience is necessary, but students are expected to have a serious interest in the two performing arts and be ready to participate in intensive training in daily classes. With consistent practice, our students achieve competence, confidence, good citizenship and maturity - qualities that are the foundation for success in high school. There are culminating violin and dance performances at the end of the school year.",5
05M157,212-831-5206,Central Harlem North-Polo Grounds                                          ,10035,13093.0,"The Urban Assembly School for Global Commerce (UASGC) provides students with a career-focused, college preparatory education in the business of global commerce. Our small size ensures that all students are known well and strongly supported by their teachers both in and out of the classroom. Through frequent field trips and authentic career courses, students learn how to buy, sell and manage the shipment of goods around the world via planes, trains, ships and trucks, completing a full-time apprenticeship in their senior year. At UASGC, all students gain the knowledge, skills and industry certification to graduate with a Regents diploma, enter a two or fouryear college degree program or begin a lucrative career in the rapidly growing field of global commerce.",,,Then to New York City residents who attend an information session,"The Urban Assembly School for Global Commerce (UASGC) provides students with a career-focused, college preparatory education in the business of global commerce. Our small size ensures that all students are known well and strongly supported by their teachers both in and out of the classroom. Through frequent field trips and authentic career courses, students learn how to buy, sell and manage the shipment of goods around the world via planes, trains, ships and trucks, completing a full-time apprenticeship in their senior year. At UASGC, all students gain the knowledge, skills and industry certification to graduate with a Regents diploma, enter a two or fouryear college degree program or begin a lucrative career in the rapidly growing field of global commerce.",4
12X692,718-860-8110,West Farms-Bronx River                                                     ,10472,11610.0," Program of Theater Development Fund (TDF), Play Rugby, PerScholas Computer Technician Training, iLuminate Dance/ Technology, SAT Prep Classes, Urban Health Medical Clinic",English Literature and Composition,,Then to New York City residents,The Monroe Academy for Visual Arts & Design (MAVAD) is a comprehensive high school that enriches its curricula with an emphasis in the visual arts. Our goals are to provide students with the best educational opportunities in all major content areas and to help students develop their leadership potential. We offer a wide range of school and community activities.,5
02M413,212-475-9273,Gramercy                                                                   ,10010,12073.0,"Honors classes; Four years of math and science; Technology and Laptop Project; Exchange Programs to Costa Rica and Spain; School trips to Paris, Costa Rica, Tokyo, and China; Free college classes in and out of school; Internship Requirement, Honors Classes; Electives in documentary filmmaking, theater and theater set design; SAT Prep, Computer Science, Studio Art","English Language and Composition, Environmental Science, United States History",,Then to District 2 students or residents,The School of the Future is a student-centered and challenging academic school with the goal of preparing all graduates to enter the college or profession of their choice. Our students learn to think critically and solve problems in a supportive environment. We challenge our students to exceed the expectations set by the New York State Board of Regents by preparing them for research-based exhibition presentations in order to graduate.,4
12X511,718-589-1595,Crotona Park East                                                          ,10460,11269.0,"Small Group Advisory, Off-site and Project-based Learning, Portfolio Development, Career and College Counseling, Partnerships with Arts Institutions, Internships with organizations and businesses, and iLearn technology program. Arts electives include: Studio Art, Graphic Design, Modern Dance and Ballet, Theater, Film, and Creative Writing. Other electives include the History of Sports and Spanish. Bronx Envision juniors and seniors take College Now courses at Lehman College. As Bronx Envision expands, we will offer Advanced Placement and college courses, a music program, and additional sports and extracurricular programs based on our students' interests.",,,Then to New York City residents who attend an information session,"At Bronx Envision Academy (BEA), imagination is the key to success. BEA empowers students by emphasizing artistic and academic achievement. Our arts electives include visual art, dance, creative writing, theater and graphic design. Student success is promoted by teaching artists working alongside classroom teachers, collaborations with arts organizations and local businesses and by defining a learning process in all academic disciplines that mirrors the artistic process. Bronx Envision is a college preparatory school. In addition to completing challenging course work, our students research colleges and tour colleges beginning in ninth grade. Dedicated to providing students with the resources necessary for their success, BEA enables students to graduate as creative and analytical thinkers ready for college and beyond.",5
06M211,,Marble Hill-Inwood                                                         ,10002,13098.0,"Advisory, Student Led Town Hall Meetings, Mentoring,  Internships, Paid Apprenticeships, Individualized Academic Planning and Career  Counseling, Microsoft Office Suite (MOS) and Microsoft Technology Associate  (MTA) Certifications, AM and PM Faculty Office Hours for individual and small  group tutoring and enrichment.",,,Then to New York City residents who attend an information session,"Inwood Early College for Health and Information Technologies is an early college  and career technical education school developed in partnership with Microsoft,  NY Presbyterian Hospital, and Guttman Community College. Through the school's  project-based instructional program, students earn a CTE high school diploma  with technical certifications, an applied associate of science (AAS) degree – at no  cost – and paid work-based experience that prepares them for careers in  information technology including software and hardware installation, networking,  and support as well as health information technology, administration, and  management. Students have up to six years to earn their AAS degrees before  deciding if they will move directly into the world of work or continue their college  education through the bachelor's degree level and beyond.",4
31R064,718-370-6960,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,10314,10700.0,"Expeditionary Learning: In-depth investigations of academic curricula that incorporate real-world connections, project-based learning and character development, utilizing outside experts; Crew: Advisory group of 12-15 students who work with one staff member to receive guidance, develop leadership, support academics and build character","Biology, Calculus AB, English Literature and Composition, United States History, World History",,Then to New York City residents who attend an information session,"Our school provides a small, academically challenging learning community that prepares students for college success and beyond. We offer a learning community supported by problem-solving to develop our students’ respect for excellence in scholarship, character and to energize their creativity. It’s all about attitude – wanting to excel, striving to meet potential, overcoming challenges and looking to make a difference.",1
05M670,212-283-8109,Central Harlem North-Polo Grounds                                          ,10030,12427.0,"Mentoring, StreetSquash (Youth Enrichment Progam), Future Giants, Robotics, Dance, Vocal, Instrumental, Technology, Brotherhood/Sister Sol, Community Service, Kaplan SAT",Biology,,Then to District 5 students or residents,"We offer our students and their families comprehensive educational and support programs that provide them with the experience and knowledge needed to meet the challenges of colleges, universities and the workforce in the 21st century.",4
02M545,212-674-1392,Chinatown                                                                  ,10002,11723.0,"Four-year Chinese Language Program, History, Music, Arts, Extended Day Program (Tutoring, Arts, Chinese), College Now","Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, English Language and Composition, Human Geography, Statistics, United States History",,,"At the High School for Dual Language and Asian Studies, Chinese (Mandarin) speaking English Language Learners and English proficient students can learn both languages while preparing for college and careers. The school has a challenging curriculum that includes enriched math and science courses and opportunities to participate in a variety of Advanced Placement (AP) classes by junior year. Asia-related topics are woven into the academic curriculum in all the subject areas. Dual Language students are expected to exceed city and state standards and demonstrate positive cross-cultural behavior while achieving skills that are needed for today’s global market. English proficient and English Language Learners are integrated during instructional times and there is instruction in both languages. All students are expected to comprehend, speak, read and write in English and Chinese by the time they graduate.",4
18K589,718-773-7274,Prospect Lefferts Gardens-Wingate                                          ,11203,16866.0,"Wall-to-Wall Project-based Learning Using Laptop Computers, Online Access to Curriculum and Progress Reports, Film & Literature, Advanced Art, Video/Media course, Precalculus, College Now, Monthly Debate Series",,,Then to New York City residents,"We are an innovative small high school that prepares students to be active citizens, lifelong independent learners, and confident, cooperative, creative thinkers. Our school is not just a place for visual artists, but for students who want to showcase their ideas to the world. Our focus on literacy, the arts, media, debate, and research will help students to think critically about their world and prepare them for future life challenges. Students will present portfolios using media technologies and will choose an area of academic interest to research in their junior and senior years.",2
12X278,718-991-2998,Longwood                                                                   ,10459,10937.0,"Thematic Curriculum includes: Peace, Diversity, Cultural Identity, Cultural Awareness, Language and Communication, Bias, Anti-Bias, Discrimination, War, Human Rights, Prejudice, Anger Management, Conflict Resolution, Peer Leadership, Model UN, Community Assessment, Community Building, Social Action, Internships, SAT Prep, Debate Team, The Challenge",English Language and Composition,,Then to New York City residents who attend an information session,"Peace and Diversity Academy is a unique school, which in conjunction with the Anti-Defamation League, seeks to create leaders who have the requisite knowledge, skills and attitudes to build an increasingly just and democratic global society. We do so by promoting excellence, developing critical thinkers and modeling an inclusive and democratic community which engages all families, educators and partners. Our school is committed to fostering anti-bias attitudes, inspiring social justice and peace activism, and building student and teacher skills in active communication, conflict resolution, mediation, diplomacy and human rights leadership. Graduates of Peace and Diversity Academy will be leaders who build bridges of intercultural understanding across all levels of human diversity.",5
02M303,212-757-2156,Clinton                                                                    ,10019,12081.0,"Performance Based Assessment School, Internship Opportunities, Kaplan SAT Prep, After-School Tutoring, Bea Kovich College Scholarships (for selected graduating seniors); All students are members of an Advisory class that meets four times per week with an Advisor; This class supports students emotionally and academically throughout their time at FHS","English Literature and Composition, United States History",,Then to Manhattan students or residents who attend an information session,"At FHS, we graduate lifelong learners who are leaders in their communities. We are a small school with teachers who care deeply for our students and work their hardest to nurture them for the opportunities that await them after graduation. Since a college degree is an essential ingredient for success, we prepare our students academically, socially and emotionally to meet the demands of the world through project based learning, art integration with studio classes, a College 101 course and a four year Advisory program. We foster a college-going culture and provide a great deal of support to our students for college and career readiness. In choosing FHS, you are choosing to join a dynamic learning community, to think deeply about yesterday, today and tomorrow, and to envision how to make a positive difference in the world.",4
11X275,718-696-3950,Williamsbridge-Olinville                                                   ,10467,11605.0,"Students may receive CTE endorsement in Computer Technology; Internet and Computing Core Certification (IC3), A+ Computer Repair, Network +, Senior Internship","English Language and Composition, English Literature and Composition, United States History",,Then to New York City residents,"The High School of Computers and Technology provides an environment where students prepare for a career in the computer industry as they are building a foundation to further their education in college or a post-secondary technical school. Mutual respect, understanding, value for community and a quest for knowledge serve as guiding principles for our students and staff. All instruction is interdisciplinary and hands-on, with project-based learning. Students will be able to obtain certification(s) in specific fields while earning a Regents diploma.",5
32K403,718-381-0223,Bushwick North                                                             ,11237,18181.0,"Advisories, Portfolios, Group and Independent Projects, Community Service Projects, Summer Bridge for incoming Freshmen","Calculus AB, English Literature and Composition, Environmental Science, Microeconomics, Studio Art: Drawing",,Then to New York City residents,"We are a small, innovative learning community with a highly collaborative approach to teaching and learning. We strive to make students part of a global response to preserving and sustaining our environment. Our curriculum is grounded in the sciences, math, and the humanities. Students are provided with opportunities to see the relevance of their education within their own lives as members of a global society. Every student is held to the highest standards and has consistent opportunities for intellectual engagement. All students are expected to be college- and career-ready prior to graduation. We welcome active parental involvement, which is essential to the success of our school.",2
30Q502,718-937-5236,Hunters Point-Sunnyside-West Maspeth                                       ,11101,16858.0,"Technology Academies include: Web Design, Video Production, Cisco, Apple Service and Support. Certifications presently offered: Cisco Certified Network Associate (CCNA), Adobe Certified Expert (ACE), Apple Certified Macintosh Technician (ACMT). We also offer Junior and Senior Band. ITHS Band students compete in NYSSMA Band Competition as well as NYSSMA Solo and Ensemble Competition.","Calculus AB, English Language and Composition",,,Information Technology High School (ITHS) is a state-of-the-art high school dedicated to preparing students to meet the demands of the 21st century. Technology is our chief focus and is offered as a specialty area of learning. Our goal is to ensure that all our graduates will be college-ready with the skills necessary to succeed in tomorrow’s world of work.,3
10X433,718-329-7381,Van Cortlandt Village                                                      ,10468,11606.0,"Advisory, Honors Classes, Advanced Placement, Regents Preparation, Tutorial and Extended Day, College Now, Pre-Teaching Academy, Conflict Resolution, Internships, 9th Grade College Prep, Saturday Academies, Summer School and Summer Bridge Program for incoming 9th Graders, Credit Recovery Programs, Career Visions Institute, Good Shepherd Services, Committee of Hispanic Children and Families, Virtual Enterprise, Community Service, Explorers Professions Program, SMART Boards and laptop computers in every classroom","English Literature and Composition, Spanish Language and Culture, United States History",,Then to New York City residents who attend an information session,"Our school is a college preparatory institution geared toward preparing students for success at the college level. In addition, our Pre-Teaching Academy Program and our Virtual Enterprise / CTE Programs are offered for students interested in careers as teachers or in business administration. We encourage all students to become independent thinkers and life-long learners.",5
26Q415,718-631-7880,Oakland Gardens                                                            ,11364,14506.0,"DaVinci Science and Math Institute, Mentor Law and Humanities Institute, Journalism and Media Studies, Performing Dance, Science Olympiad and Envirothon Competition, Physical Science Research, Math Team for New York State Math League, Math Research, Debate Team, Mock Trial, Senior Thesis, Creative Writing, Play Production, Media Studies, Band, Orchestra, Chorus, Guitar, College Now at Queens College and Queensborough Community College, St. John's College Advantage","Biology, Calculus AB, Calculus BC, Chemistry, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, Macroeconomics, Microeconomics, Physics B, Psychology, Spanish Language and Culture, Statistics, United States Government and Politics, United States History, World History",,For Q16B only: a. Priority to students who live in the zoned area who attend an information session b. Then to Queens students or residents who attend an information session c. Then to students who live in the zoned area d. Then to Queens students or residents,"We are a school of excellence and a school with a heart. College and career preparation for all students is our goal. We offer intensive writing instruction, many advanced and specialty courses and extensive athletic, arts and extracurricular programs.",3
18K576,718-968-1526,Canarsie                                                                   ,11236,13827.0,"Advisory, Advancement via Individual Determination (AVID), SAT Preparatory Courses, Regents Test Prep, Urban Arts, College Now Program with: Brooklyn College, John Jay College, Medgar Evers; Monroe College-JumpStart Program.","English Language and Composition, World History",,Then to New York City residents,"It is our goal to provide a challenging academic program in an environment that fosters self-awareness and strong work habits, producing graduates who are fully prepared for higher education and careers. We provide a rich canvas of opportunities for students to share ideas with each other, the staff, and the outside community. Our students participate in project-based learning in their classes and demonstrate mastery of the materials through academic portfolio assessment. The Advisory program is the heart and soul of our school, offering students an opportunity for personal development and academic growth while building close relationships within the school community. Our staff makes every effort to know each student and family well through small class size and a personalized approach to education which provides a structure for success.",2
26Q435,718-217-6287,Bellerose                                                                  ,11427,24336.0,"Pre-Med Program, Robotics-Engineering Program, Law and Forensics Program, Computer Technology Program, Scholar's Institute, Honors Program, College Now, Targeted PM School, Saturday School, Physics First, SAT Princeton Review Partnership","Art History, Biology, Calculus AB, English Literature and Composition, United States History, World History",,Then to New York City residents,"Welcome to Martin Van Buren High School, where we meet the demands of cutting-edge technology featuring our new programs in Pre-Med, Engineering/Robotics, Law & Forensics and Computer Technology. Parents, students and faculty are the key components of our school's future. Together we will create the path to your child's success.",3
02M427,212-576-0518,Murray Hill-Kips Bay                                                       ,10016,12078.0,"Freestanding ESL, Transitional Bilingual Education (TBE); As we expand, we plan to offer Advanced Placement courses",,,,"Our mission is to provide a high-quality education for all levels of English Language Learners (ELLs) by integrating the arts and academics. We strive to expand our students’ cultural horizons while maintaining an intensive academic curriculum. By studying the arts, students become active participants in their own education and therefore have a better understanding of academic lessons and how to apply them outside the classroom. Our students graduate with strong academic skills that lead to success in their post-secondary education and career path.",4
10X439,718-295-3631,Belmont                                                                    ,10458,10936.0,"CUNY College Now Program, Advanced Placement classes, SAT preparation, and honors courses are included alongside forensic science, computer forensics, mock trial, moot court, criminology, swimming","Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language and Culture, United States History, World History",,Then to New York City residents,"Bronx High School for Law and Community Service is a small high school with a four-year college and career plan focused on law enforcement and service to those in need. It is our belief that all people, regardless of their socioeconomic status or ethnic background, can make meaningful contributions to humanity by serving others. With the help of our partners, students are offered meaningful experiences in their chosen area of interest.",5
03M485,212-724-5748,Lincoln Square                                                             ,10023,12420.0,"Students have a daily program that includes both a multi-period conservatory studio block and a full college preparatory academic course load. The studio majors are: Dance, Drama, Fine Arts, Instrumental Music, Technical Theater and Vocal Music. Each studio has a four-year sequence of courses and opportunities for students to participate in performances and exhibitions. Students completing the applicable NYC Studio Comprehensive exam receive a special endorsement on their diploma. Honors courses are offered in all academic areas starting in the freshman year, leading to a full complement of Advanced Placement courses.","Art History, Biology, Calculus AB, Calculus BC, Chemistry, Comparative Government and Politics, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Italian Language and Culture, Japanese Language and Culture, Music Theory, Physics B, Psychology, Spanish Language and Culture, Statistics, Studio Art: 2-D Design, Studio Art: 3-D Design, Studio Art: Drawing, United States Government and Politics, United States History, World History",,Admission is based on the outcome of a competitive audition and review of the student’s record,"We enjoy an international reputation as the first and foremost high school dedicated to nurturing students gifted in the arts. Our mission is to provide an opportunity for students to pursue both a rigorous conservatory-style training and a challenging academic program. Our building features world-class facilities including a concert hall; art, dance, music, recording and theater studios, science and computer labs, and an art gallery. Almost all of our graduates continue their studies, gaining admission to highly selective schools. Our graduates have distinguished themselves in virtually every field, including the arts and sciences, medicine, law, business, education and public service.",4
29Q243,718-723-7306,Cambria Heights                                                            ,11411,15311.0,"Leadership Development Program in Advisory, Focus on literacy in all subjects, Career and Technical Education programs in Emergency Medical Services and Nurse Assisting, College Counseling",,,Then to New York City residents who attend an information session,"The Institute for Health Professions at Cambria Heights prepares students for college and careers in medicine. The school strives to meet individual learning needs by creating goals for all members of our community. Students will take their learning beyond the classroom by collaboratively solving problems, completing labs based on the realities of emergency medicine and hospital care and attending Health Occupation Students of America conferences. Students will participate in training exercises at North Shore LIJ’s Center for Learning and Innovation, complete rotations on an ambulance or in a hospital and earn certification in either Emergency Medical Services or Nurse Assisting.",3
08X519,718-860-5081,Soundview-Castle Hill-Clason Point-Harding Park                            ,10473,11611.0,"Introduction to Law and Public Policy, Civil Law, Constitutional Law, Criminal Law, Urban Politics, The Sonia Sotomayor Honors Instructional Program (HIP), Computer Forensics, Forensic Science, Crime Scene Investigation, Journalism, College Now (SUNY Hudson, CUNY Lehman College, Hostos Community College), Partnerships with The Justice Resource Center and Quinn Emanuel Urquhart & Sullivan, LLP; College and Career Fairs; Small Group Instruction","Comparative Government and Politics, English Language and Composition, English Literature and Composition, United States History",,Then to New York City residents who attend an information session,"The Felisa Rincón de Gautier Institute for Law and Public Policy helps students explore careers in the legal and political fields while strengthening their reading, writing and public speaking skills. Our academic program encourages depth of study and creates a learning environment committed to community and character development. We have a real-world and culturally relevant curriculum that sponsors collaborative partnerships for learning. Students have the opportunity to become involved in Extracurricular Activities and Clubscurricular college level classes, mentoring, community service projects and internships.",5
10X549,718-733-3621,Van Cortlandt Village                                                      ,10468,11606.0,"Advanced Regents Courses, Advanced Placement Courses, Honors Classes, SAT Prep, College Now, Internships, Liberty Partnership Program, Town Hall Meetings, Museum, Gallery visits and other trips, Guest Artists, Tutoring","Biology, English Language and Composition, Environmental Science, United States History",,Then to New York City residents who attend an information session,"At Discovery, students are prepared for college and life after high school. Students learn how to reflect upon their own thinking and acquire the skills they need to be successful in the world of tomorrow. At our school, every student discovers and explores his or her potential. In addition to the strong emphasis on academics and preparation for college, Discovery emphasizes the importance of developing family-like bonds, both between the teachers and their students, and between the students themselves. Discovery strives to create a nurturing culture in which students enjoy learning and can be creative while maintaining healthy social bonds and relationships.",5
23K514,718-922-2761,Brownsville                                                                ,11212,17614.0,"College-prep curriculum and college advisement program: local college tours, two-day upstate or out-of-state overnight tours, full-time college advisor, assistance with the college application process and on-site visits from admissions offices; College Now courses through Brooklyn College (introductory classes offered at FDA VII; upper level classes at Brooklyn College campus after school and on Saturdays); 4th year of Honors Spanish; Technology: School-wide gmail account with constant use of Google Drive and other apps, iLearn online courses, 7 laptop carts with use of laptops on almost daily basis, in-class computer stations, SMART Boards in every classroom, graphing calculator loan program; Saturday Academy for Regents prep, as well as morning tutoring, credit intervention and afternoon credit recovery; Elective courses include drawing, computer applications, public speaking, SAT prep, Council for Unity (in partnership with Brooklyn DA's office), Freshman and Sophomore advisory","Art History, English Literature and Composition, Physics C: Mechanics",,Then to New York City residents who attend an information session,"Frederick Douglass Academy VII High School (FDA VII) is built on Dr. Lorraine Monroe’s vision of academic and personal excellence for all students. The emphasis on college preparation is supported by a challenging academic program and cultural enrichment. A set of core rules visible at every Frederick Douglass Academy signals the seriousness of purpose for the school, its students and teachers. All students must adhere to a code of student conduct, the Scholar’s Creed, and a strict uniform code.",2
27Q309,718-471-0314,Far Rockaway-Bayswater                                                     ,11691,20529.0,"Medical Lab Assisting, CollegeEd (College Board Program), Advisory, Visual Arts; As we expand, we plan to offer AP classes such as Biology, English Literature & Composition, Spanish",,,Then to New York City residents who attend an information session,We are dedicated to creating exciting opportunities for students to gain the knowledge and skills they need to become members of the health care community. Our school provides students with clinical experiences and understanding of the health care profession. They will have opportunities to explore health care careers and interact with qualified health care professionals. Our school community of staff and parents will support all students and provide a solid foundation for their success in college and beyond.,3
14K071,718-302-7979,Williamsburg                                                               ,11206,17213.0,"Daily talent (visual arts, band, chorus, dance, or theater) courses culminating in an Arts Endorsed Regents diploma opportunity, College readiness counseling provided by College Bound Initiative counselor, CUNY At Home In College English and math courses, Blended/online learning for credit through APEX/AVENTA, Mentoring with working professionals through iMentor, Art installations in local galleries through partnerships with BRIC Rotunda and NURTUREart, Technology courses","Chemistry, English Language and Composition, English Literature and Composition, Physics B, Spanish Language and Culture, Studio Art: 3-D Design, Studio Art: Drawing, United States Government and Politics",,Then to New York City residents,"Juan Morel Campos Secondary School works to balance experiences in the arts with college readiness activities for all students. Every student at Campos takes daily talent classes of their choice; students become musicians, singers, dancers, actors, and visual artists. Partnerships with major community arts organizations and the College Bound Initiative (CBI) ensure that students also connect their learning to the real world. For example, students conduct gallery openings at professional galleries throughout the city and begin visiting colleges as freshmen. In addition, an in-house CBI counselor ensures that students are prepared for college acceptance and enrollment upon graduation. We are small enough to give every student the attention they deserve while being large enough to offer a wide variety of courses and activities during and after the school day. Beginning early in high school, students at Campos visit colleges, earn college credits through AP and CUNY courses, play sports, take on leadership roles, participate in a wide variety of after-school activities, learn about careers in the arts, and are surrounded by teams of adults who offer all of the academic and social support they need to succeed in school. We are prepared to serve any student and value a diverse and richly talented school community.",2
19K659,718-647-6719,park-cemetery-etc-Brooklyn                                                 ,11208,17215.0,"Community Activism, Service Activities, Advisory, College-level curriculum beginning in the ninth grade, College credit available from LaGuardia Community College, City University of New York (CUNY)","English Literature and Composition, Psychology, Spanish Language and Culture, Statistics, United States Government and Politics, World History",,Then to New York City residents,"Our school offers students an intellectually challenging curriculum focused on Latin American and Caribbean studies, college and career preparation and community activism. Our classes emphasize college-level writing and analytical skills, as well as cultural awareness and celebration, which are integrated into the entire curriculum. We partner with Sarah Lawrence College to provide writing workshops. Our school was co-founded by Cypress Hills Local Development Corporation (CHLDC), a community-based organization. CHLDC provides opportunities for all students to be involved in the community and complete community service projects focused on critically analyzing impacting community issues.",2
02M422,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,10011,12074.0,"Advisory, Game Design & Media Arts, Internships, Community Service, Real-World Problem-Based Learning, Computer Programming, Electives, Integrated technology, Social Action projects, Senior Digital Portfolio, Wellness program, PSAT/SAT Prep, Advanced Regents courses, Launchpad Early College Program at The New School; newly renovated Chemistry labs","Biology, Calculus AB, English Literature and Composition",,Then to District 2 students or residents who attend an information session,"At Quest to Learn, teaching, learning, and student life connect academic content and skills with 21st century literacies: systems thinking, teamwork, collaborative problem solving, digital citizenship, empathy and design for innovation. Our goal is to create opportunities for students to develop habits of mind in the contexts of different subject matter/content areas and become lifelong learners who are caring, reflective, creative, independent thinkers and successful in college and careers.",4
03M479,212-245-2179,Lincoln Square                                                             ,10023,12420.0,"Free college classes at New York University (NYU), John Jay College, Hunter College, The City College of New York, Fordham University; Opportunity for travel includes India, Mozambique, Spain, France, Costa Rica, Russia and England; Advanced classes: Engineering, Robotics, Statistics; Special Arts Programs: Architecture, Digital Animation, Music Theory, Drama, Digital Film, Choreography, Guitar, Percussion and Recording Studio","Biology, Calculus AB, Chemistry, Physics B, Spanish Language and Culture",,,"Beacon High School offers an inquiry-based program with technology and arts infused throughout the curriculum. We emphasize a challenging, well-rounded liberal arts education based on the principle of shared exploration and problem-solving. In assessments for graduation, students present performance-based projects to panels of teachers. Beacon offers extensive opportunities to participate in clubs, sports, community service and international travel.",4
