manhattan_cooperatives_comparable_properties_boro_block_lot,longitude,comparable_rental_1_gross_sqft,bin,comparable_rental_1_building_classification,comparable_rental_2_estimated_gross_income,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_1_full_market_value,comparable_rental_2_address,comparable_rental_3_address,comparable_rental_2_full_market_value,borough,nta,comparable_rental_2_building_classification,comparable_rental_1_total_units,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_year_built,comparable_rental_2_total_units,comparable_rental_2_boro_block_lot,manhattan_cooperatives_comparable_properties_market_value_per_sqft
1-01119-0029,-73.965126,143791,1000000.0,D7-ELEVATOR,6325208.0,0.24,24948000,"{'latitude': '40.777026010679', 'longitude': '-73.982796155087', 'human_address': '{""address"": ""212 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2054 BROADWAY,32218000.0,1,park-cemetery-etc-Manhattan                                                ,D6-ELEVATOR,213,30.57,1923,233.0,1-01158-0033,173.56
1-01207-0016,,67954,,D7-ELEVATOR,447028.0,0.31,8697000,"{'latitude': '40.61860507695', 'longitude': '-74.035906575443', 'human_address': '{""address"": ""203 94 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1788000.0,1,,D1-ELEVATOR,64, , ,24.0,1-01242-0128,104.65
1-02177-0170,,60090,,D7-ELEVATOR,1201730.0,0.05,2996000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""815 181 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",854 WEST 180 STREET,6007000.0,1,,D7-ELEVATOR,51,11.47,1910,73.0,1-02179-0093,49.89
1-01245-0039,,24192,,D2-ELEVATOR,678633.0,0.15,2681000,"{'latitude': '40.624084783686', 'longitude': '-74.029527849967', 'human_address': '{""address"": ""343 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3586000.0,1,,D2-ELEVATOR,36, , ,47.0,1-01247-0015,129.12
1-01444-0015,,156200,,D3-ELEVATOR,12220522.0,0.17,17490000,"{'latitude': '40.628427184303', 'longitude': '-74.022461769384', 'human_address': '{""address"": ""519 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",219 EAST 69 STREET,61854000.0,1,,D3-ELEVATOR,147,29.99,1957,210.0,1-01488-0013,157.48
1-02119-0052,,15175,,C1-WALK-UP,384119.0,0.0,397000,"{'latitude': '40.834043569868', 'longitude': '-73.941214963739', 'human_address': '{""address"": ""1996 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,821000.0,1,,C7-WALK-UP,20, , ,31.0,1-02117-0034,44.76
1-02180-0633,-73.931567,179130,1085399.0,D7-ELEVATOR,1887934.0,0.2,7832000,"{'latitude': '40.858441081978', 'longitude': '-73.92888502925', 'human_address': '{""address"": ""64 HILLSIDE AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,4587000.0,1,Washington Heights North                                                   ,D1-ELEVATOR,153, , ,185.0,1-02171-0052,44.56
1-00243-0056,-73.98265,291894,1077586.0,D6-ELEVATOR,6647247.0,1.71,37080000,"{'latitude': '40.71006725939', 'longitude': '-73.98995471254', 'human_address': '{""address"": ""257 SOUTH STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,31565889.0,1,Lower East Side                                                            ,D6-ELEVATOR,302, , ,254.0,1-00246-0001,75.15
1-01364-0005,,111792,,D6-ELEVATOR,2270591.0,0.1,16165000,"{'latitude': '40.643417258724', 'longitude': '-74.01511592084', 'human_address': '{""address"": ""412 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,11190000.0,1,,D3-ELEVATOR,132, , ,87.0,1-01366-0039,144.17
1-01064-0001,-73.989885,9875,1026779.0,C4-WALK-UP,1298537.0,0.29,1165000,"{'latitude': '40.647239450387', 'longitude': '-74.010758563808', 'human_address': '{""address"": ""425 48 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",727 8 AVENUE,4020000.0,1,Clinton                                                                    ,C4-WALK-UP,15,26.43,1890,39.0,1-01058-0016,74.63
1-01565-0009,,77768,,D6-ELEVATOR,2695740.0,0.15,12625000,"{'latitude': '40.770326061561', 'longitude': '-73.951211965418', 'human_address': '{""address"": ""1453 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,14049000.0,1,,D7-ELEVATOR,97, , ,96.0,1-01472-0022,171.81
1-01407-0020,-73.962081,71189,1042845.0,D6-ELEVATOR,1408542.0,0.1,10916000,"{'latitude': '40.632130015803', 'longitude': '-74.030723663133', 'human_address': '{""address"": ""192 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,8088000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,35, , ,43.0,1-01409-0042,177.28
1-02072-0010,,13680,,C1-WALK-UP,185307.0,0.35,454000,"{'latitude': '40.822243922312', 'longitude': '-73.94452100952', 'human_address': '{""address"": ""169 EDGECOMBE AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,454000.0,1,,C1-WALK-UP,20, , ,20.0,1-02051-0081,50.84
1-02180-0315,-73.933509,52038,1064444.0,D1-ELEVATOR,933071.0,0.09,2482000,"{'latitude': '40.85624728824', 'longitude': '-73.933971962117', 'human_address': '{""address"": ""182 BENNETT AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",660 FT WASHINGTON AVENUE,2651000.0,1,Washington Heights North                                                   ,D1-ELEVATOR,54,14.33,1920,60.0,1-02180-0473,55.03
1-00520-0056,-74.00473,11867,1077778.0,C7-WALK-UP,645820.0,0.96,2501000,"{'latitude': '40.728147858386', 'longitude': '-73.986618273712', 'human_address': '{""address"": ""56 ST MARK\'S PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3223000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,D1-ELEVATOR,11, , ,24.0,1-00449-0017,155.08
1-00489-0008,-74.003889,12141,1007347.0,C7-WALK-UP,426250.0,0.0,2120000,"{'latitude': '40.725072177046', 'longitude': '-74.003039893967', 'human_address': '{""address"": ""192 SPRING STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2089000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,C7-WALK-UP,22, , ,22.0,1-00489-0020,173.12
1-02238-0001,-73.925297,61302,1064950.0,D1-ELEVATOR,683884.0,0.05,3375000,"{'latitude': '40.868406122076', 'longitude': '-73.922010979127', 'human_address': '{""address"": ""77 COOPER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2401000.0,1,Marble Hill-Inwood                                                         ,D7-ELEVATOR,72, , ,52.0,1-02241-0014,48.04
1-00742-0060,,9864,,C1-WALK-UP,306079.0,0.05,2150000,"{'latitude': '40.660756232434', 'longitude': '-73.987950903891', 'human_address': '{""address"": ""352 18 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",333 WEST 19 STREET,1553000.0,1,,C1-WALK-UP,18,40.74,1910,16.0,1-00741-0061,202.39
1-01880-0007,,51080,,D7-ELEVATOR,804611.0,0.0,4181000,"{'latitude': '40.803926357455', 'longitude': '-73.964167468672', 'human_address': '{""address"": ""526 111 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",529 WEST 111 STREET,4002000.0,1,,D1-ELEVATOR,50,17.54,1920,44.0,1-01882-0047,92.73
1-02070-0029,-73.950672,58569,1079852.0,D7-ELEVATOR,203179.0,0.49,1397000,"{'latitude': '40.792816873379', 'longitude': '-73.838832328342', 'human_address': '{""address"": ""115 129 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,509000.0,1,Hamilton Heights                                                           ,D1-ELEVATOR,57, , ,23.0,1-01914-0024,29.32
1-00445-0051,,14000,,C7-WALK-UP,327709.0,0.0,2544000,"{'latitude': '40.676760347374', 'longitude': '-73.993312805904', 'human_address': '{""address"": ""126 4 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1628000.0,1,,C7-WALK-UP,19, , ,21.0,1-00445-0029,179.34
1-00624-0052,,9000,,C7-WALK-UP,456416.0,0.0,2340000,"{'latitude': '40.736763363427', 'longitude': '-74.004289951588', 'human_address': '{""address"": ""63 BANK STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",51 BANK STREET,2399000.0,1,,C4-WALK-UP,16,45.52,1905,15.0,1-00624-0059,259.99
1-01890-0024,,143604,,D3-ELEVATOR,2691646.0,0.0,10062000,"{'latitude': '40.800129593612', 'longitude': '-73.971608589043', 'human_address': '{""address"": ""305 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,10669000.0,1,,D3-ELEVATOR,78, , ,63.0,1-01890-0036,92.5
1-00608-0074,,37824,,D1-ELEVATOR,1807570.0,0.18,6455000,"{'latitude': '40.665411971626', 'longitude': '-73.989052666495', 'human_address': '{""address"": ""222 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",208 WEST 16 STREET,10648000.0,1,,D9-ELEVATOR,46,28.73,1925,64.0,1-00764-0051,170.71
1-01487-0039,,60775,,D1-ELEVATOR,2209497.0,0.15,6442000,"{'latitude': '40.770748742914', 'longitude': '-73.953846978964', 'human_address': '{""address"": ""1470 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",555 EAST 78 STREET,11147000.0,1,,D6-ELEVATOR,90,34.63,1940,84.0,1-01471-0003,166.33
1-01342-0023,,105734,,D3-ELEVATOR,3436384.0,0.42,21369000,"{'latitude': '40.646561162999', 'longitude': '-74.014277820328', 'human_address': '{""address"": ""340 51 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",330 EAST 46 STREET,17156000.0,1,,D9-ELEVATOR,125,39.32,1961,116.0,1-01343-0036,166.88
1-00331-0065,-73.983284,43520,1004065.0,D7-ELEVATOR,208398.0,0.52,3113000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""228 3 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,841000.0,1,Lower East Side                                                            ,D7-ELEVATOR,50, , ,23.0,1-00385-0019,91.29
1-01245-0059,,24544,,D2-ELEVATOR,423781.0,0.05,5029000,"{'latitude': '40.789085919092', 'longitude': '-73.980943551707', 'human_address': '{""address"": ""127 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",350 WEST 85 STREET,1904000.0,1,,D1-ELEVATOR,48,29.09,1908,23.0,1-01246-0057,134.65
1-00229-0022,-74.002731,65000,1077408.0,D9-ELEVATOR,1149094.0,0.22,16400000,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",100 SULLIVAN STREET,5941000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,D1-ELEVATOR,40,23.45,1920,60.0,1-00504-0031,152.8
1-01963-0025,,37248,,D1-ELEVATOR,1246356.0,0.05,2962000,"{'latitude': '40.808229046887', 'longitude': '-73.958305036706', 'human_address': '{""address"": ""421 119 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,5505000.0,1,,D9-ELEVATOR,25, , ,80.0,1-01962-0044,89.65
1-01451-0031,,75854,,D3-ELEVATOR,2287554.0,0.31,12641000,"{'latitude': '40.639012777796', 'longitude': '-74.023091666562', 'human_address': '{""address"": ""320 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,14061000.0,1,,D3-ELEVATOR,87, , ,71.0,1-01439-0042,166.87
1-01499-0060,,10235,,C7-WALK-UP,359690.0,0.25,2107000,"{'latitude': '40.789981897482', 'longitude': '-73.972481096681', 'human_address': '{""address"": ""123 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2026000.0,1,,C4-WALK-UP,16, , ,15.0,1-01519-0012,194.0
1-01522-0001,-73.9538,15596,1048384.0,D7-ELEVATOR,977770.0,0.0,2657000,"{'latitude': '40.619575837681', 'longitude': '-74.037129557838', 'human_address': '{""address"": ""118 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1225 PARK AVENUE,5642000.0,1,Upper East Side-Carnegie Hill                                              ,D3-ELEVATOR,17,26.28,1925,38.0,1-01521-0064,124.1
1-01204-0016,,145476,,D3-ELEVATOR,2916742.0,0.05,20704000,"{'latitude': '40.625516193163', 'longitude': '-74.039826375335', 'human_address': '{""address"": ""20 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",168 WEST 86 STREET,12911000.0,1,,D3-ELEVATOR,136,28.34,1923,64.0,1-01199-0045,139.47
1-00909-0001,-73.980574,54252,1019888.0,D9-ELEVATOR,1082500.0,0.1,7470000,"{'latitude': '40.741673661707', 'longitude': '-73.981078450011', 'human_address': '{""address"": ""382 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,5294000.0,1,Murray Hill-Kips Bay                                                       ,D6-ELEVATOR,90, , ,37.0,1-00883-0047,158.04
1-00523-0038,-73.996461,118467,1008236.0,D9-ELEVATOR,3782521.0,0.39,21074000,"{'latitude': '40.670977122115', 'longitude': '-73.995349426541', 'human_address': '{""address"": ""60 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,17545000.0,1,West Village                                                               ,C5-WALK-UP,137, , ,137.0,1-00557-0017,164.75
1-00232-0009,-74.000931,65000,1003031.0,D9-ELEVATOR,1149094.0,0.33,16400000,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,5941000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,D1-ELEVATOR,40, , ,60.0,1-00504-0031,148.44
1-01578-0001,-73.949252,239598,1051129.0,D7-ELEVATOR,7452920.0,1.71,39619000,"{'latitude': '40.792494349583', 'longitude': '-73.967795463639', 'human_address': '{""address"": ""720 COLUMBUS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",149 WEST 106 STREET,34452000.0,1,Yorkville                                                                  ,D6-ELEVATOR,238,33.43,1981,171.0,1-01226-0029,122.73
1-01413-0071,-73.960707,215600,1043261.0,D6-ELEVATOR,7345583.0,0.36,48934000,"{'latitude': '40.777331780169', 'longitude': '-73.955061063704', 'human_address': '{""address"": ""1482 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",920 PARK AVENUE,41329000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,120,37.9,1962,185.0,1-01512-0040,196.64
1-01882-0058,,43145,,D1-ELEVATOR,1053270.0,0.0,4002000,"{'latitude': '40.80192823767', 'longitude': '-73.964620856875', 'human_address': '{""address"": ""976 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,4181000.0,1,,D7-ELEVATOR,44, , ,50.0,1-01880-0029,95.3
1-01186-0084,,41931,,D3-ELEVATOR,873120.0,0.05,5043000,"{'latitude': '40.627729794133', 'longitude': '-74.028941953195', 'human_address': '{""address"": ""310 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",265 WEST 81 STREET,5497000.0,1,,D1-ELEVATOR,48,30.07,1900,36.0,1-01244-0022,157.34
1-01387-0027,,83220,,D6-ELEVATOR,626878.0,0.32,15108000,"{'latitude': '40.635506778827', 'longitude': '-74.032057546762', 'human_address': '{""address"": ""115 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1033 LEXINGTON AVENUE,3142000.0,1,,D1-ELEVATOR,91,32.82,1923,30.0,1-01406-0007,160.6
1-01576-0027,,277073,,D6-ELEVATOR,8168036.0,0.14,55418000,"{'latitude': '40.624709467036', 'longitude': '-74.029033943208', 'human_address': '{""address"": ""351 84 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,41643000.0,1,,D6-ELEVATOR,250, , ,187.0,1-01547-0023,165.43
1-01569-0016,-73.945367,261150,1050634.0,D6-ELEVATOR,13766750.0,0.3,41643000,"{'latitude': '40.7678619192', 'longitude': '-73.953010609477', 'human_address': '{""address"": ""1385 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,74135000.0,1,Yorkville                                                                  ,D6-ELEVATOR,187, , ,293.0,1-01468-0021,168.55
1-01827-0012,,27141,,D7-ELEVATOR,202260.0,0.15,1687000,"{'latitude': '40.803933370478', 'longitude': '-73.950236977266', 'human_address': '{""address"": ""152 118 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,450000.0,1,,D1-ELEVATOR,27, , ,30.0,1-01902-0056,35.03
1-00909-0045,,24600,,D9-ELEVATOR,246576.0,0.0,4081000,"{'latitude': '40.741367892217', 'longitude': '-73.978353504263', 'human_address': '{""address"": ""513 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1192000.0,1,,C5-WALK-UP,54, , ,13.0,1-00909-0031,157.94
1-01350-0014,,73000,,D6-ELEVATOR,2898425.0,0.06,7821000,"{'latitude': '40.761566664995', 'longitude': '-73.963640595863', 'human_address': '{""address"": ""1143 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1058 1 AVENUE,13530000.0,1,,D7-ELEVATOR,61,32.01,1929,108.0,1-01415-0021,158.08
1-01143-0037,,40982,,D6-ELEVATOR,1533375.0,0.0,5196000,"{'latitude': '40.634426173279', 'longitude': '-74.030909562283', 'human_address': '{""address"": ""166 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7985000.0,1,,D6-ELEVATOR,53, , ,51.0,1-01143-0060,113.94
1-00517-0005,-74.002002,9451,1008041.0,C7-WALK-UP,410993.0,0.0,1976000,"{'latitude': '40.726556058394', 'longitude': '-74.001232256688', 'human_address': '{""address"": ""137 THOMPSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2110000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,C7-WALK-UP,17, , ,18.0,1-00517-0031,214.65
1-01407-0008,,71189,,D6-ELEVATOR,1408542.0,0.14,10916000,"{'latitude': '40.632130015803', 'longitude': '-74.030723663133', 'human_address': '{""address"": ""192 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,8088000.0,1,,D6-ELEVATOR,35, , ,43.0,1-01409-0042,177.28
1-01250-0094,,87129,,D3-ELEVATOR,540457.0,0.1,10347000,"{'latitude': '40.620279568901', 'longitude': '-74.033748112902', 'human_address': '{""address"": ""252 91 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",292 WEST 92 STREET,1914000.0,1,,D1-ELEVATOR,64,28.31,1920,35.0,1-01238-0054,100.5
1-01361-0012,-73.966332,98808,1040076.0,D3-ELEVATOR,3793214.0,0.05,11977000,"{'latitude': '40.75528040401', 'longitude': '-73.968227138213', 'human_address': '{""address"": ""956 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",340 EAST 51 STREET,20149000.0,1,Turtle Bay-East Midtown                                                    ,D6-ELEVATOR,78,38.76,1965,121.0,1-01343-0049,128.1
1-01200-0031,-73.965126,141498,1000000.0,D7-ELEVATOR,5652942.0,0.0,23029000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""441 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,22686000.0,1,park-cemetery-etc-Manhattan                                                ,D5-ELEVATOR,157, , ,103.0,1-01244-0072,127.68
1-00776-0065,,13000,,D9-ELEVATOR,5157621.0,0.0,1285000,"{'latitude': '40.59958962956', 'longitude': '-74.001145007378', 'human_address': '{""address"": ""220 26 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",225 WEST 23 STREET,31206000.0,1,,D6-ELEVATOR,26,27.75,1930,129.0,1-00775-0046,125.28
1-01586-0043,,67425,,D7-ELEVATOR,2333760.0,0.05,8109000,"{'latitude': '40.621975948996', 'longitude': '-74.025431241042', 'human_address': '{""address"": ""510 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,12625000.0,1,,D6-ELEVATOR,67, , ,97.0,1-01581-0045,137.76
1-00766-0009,,25362,,D1-ELEVATOR,963766.0,0.0,4260000,"{'latitude': '40.664123456042', 'longitude': '-73.988140848715', 'human_address': '{""address"": ""208 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",222 WEST 15 STREET,4916000.0,1,,D3-ELEVATOR,48,47.16,1928,52.0,1-00765-0047,167.99
1-01589-0019,,75854,,D3-ELEVATOR,4261263.0,0.13,12641000,"{'latitude': '40.626892037352', 'longitude': '-74.026013480751', 'human_address': '{""address"": ""420 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,20032000.0,1,,D6-ELEVATOR,87, , ,157.0,1-01559-0033,168.51
1-02134-0206,-73.979455,145691,1033994.0,D3-ELEVATOR,278387.0,0.5,6465000,"{'latitude': '40.827020625175', 'longitude': '-73.938087399834', 'human_address': '{""address"": ""263 152 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",646 LENOX AVENUE,689000.0,1,Upper West Side                                                            ,C1-WALK-UP,132,11.89,1970,35.0,1-02038-0005,44.96
1-01183-0035,,21960,,D7-ELEVATOR,1087725.0,0.0,2944000,"{'latitude': '40.634544504763', 'longitude': '-74.027971626852', 'human_address': '{""address"": ""251 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,6225000.0,1,,D7-ELEVATOR,29, , ,25.0,1-01163-0011,162.87
1-00801-0030,,39628,,D9-ELEVATOR,1791251.0,0.55,7686000,"{'latitude': '40.602777616053', 'longitude': '-74.001405126871', 'human_address': '{""address"": ""118 23 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,9370000.0,1,,D7-ELEVATOR,47, , ,44.0,1-00798-0054,185.91
1-00504-0039,-74.003492,13380,1007815.0,C7-WALK-UP,485620.0,0.04,2489000,"{'latitude': '40.72610639738', 'longitude': '-74.002644192274', 'human_address': '{""address"": ""117 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2665000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,C4-WALK-UP,32, , ,22.0,1-00503-0011,226.43
1-00311-0013,-73.989041,14221,1077604.0,D9-ELEVATOR,321912.0,0.47,1793000,"{'latitude': '40.718237329623', 'longitude': '-73.994100632996', 'human_address': '{""address"": ""249 GRAND STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,864000.0,1,Lower East Side                                                            ,D7-ELEVATOR,16, , ,26.0,1-00304-0021,80.8
1-01451-0037,,8615,,C1-WALK-UP,442757.0,0.26,2185000,"{'latitude': '40.629063628652', 'longitude': '-74.024987902675', 'human_address': '{""address"": ""425 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2475000.0,1,,C4-WALK-UP,22, , ,20.0,1-01472-0011,208.35
1-01431-0039,,21120,,D9-ELEVATOR,910659.0,0.0,3078000,"{'latitude': '40.77183692257', 'longitude': '-73.956131256919', 'human_address': '{""address"": ""1473 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,5014000.0,1,,C7-WALK-UP,31, , ,44.0,1-01431-0026,174.85
1-00576-0066,,63943,,D9-ELEVATOR,1088095.0,0.05,12194000,"{'latitude': '40.671131483763', 'longitude': '-73.995539469751', 'human_address': '{""address"": ""71 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",120 UNIVERSITY PLACE,6455000.0,1,,D1-ELEVATOR,88,38.05,1959,46.0,1-00576-0076,195.49
1-01388-0068,-73.966242,73396,1041523.0,D7-ELEVATOR,2336130.0,0.3,15183000,"{'latitude': '40.771908868332', 'longitude': '-73.961122494181', 'human_address': '{""address"": ""1033 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7 EAST 75 STREET,10916000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,39,34.57,1910,35.0,1-01409-0021,181.42
1-02180-0326,-73.934481,83402,1084214.0,D1-ELEVATOR,1074093.0,0.12,4678000,"{'latitude': '40.85347090881', 'longitude': '-73.935190330945', 'human_address': '{""address"": ""729 186 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,4281000.0,1,Washington Heights North                                                   ,D1-ELEVATOR,74, , ,73.0,1-02180-0200,55.05
1-01222-9029,,152765,,D3-ELEVATOR,2427874.0,0.22,9660000,"{'latitude': '40.800758769749', 'longitude': '-73.95649993882', 'human_address': '{""address"": ""257 111 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7125000.0,1,,D1-ELEVATOR,169, , ,113.0,1-01827-0001,79.23
1-01746-0021,-73.943494,46774,1086498.0,D1-ELEVATOR,693290.0,0.28,4400000,"{'latitude': '40.799984192877', 'longitude': '-73.952829148374', 'human_address': '{""address"": ""132 112 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",455 EAST 102 STREET,3405000.0,1,East Harlem North                                                          ,D1-ELEVATOR,38,19.21,1973,29.0,1-01821-0055,79.04
1-01562-0038,,8345,,C1-WALK-UP,352994.0,0.0,1259000,"{'latitude': '40.624568948885', 'longitude': '-74.026697952828', 'human_address': '{""address"": ""430 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1757000.0,1,,C1-WALK-UP,12, , ,22.0,1-01562-0031,197.48
1-01453-0001,-73.955469,182345,1045234.0,D9-ELEVATOR,7254016.0,0.52,32876000,"{'latitude': '40.76448046837', 'longitude': '-73.964440992469', 'human_address': '{""address"": ""1081 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,37783000.0,1,Lenox Hill-Roosevelt Island                                                ,D6-ELEVATOR,213, , ,116.0,1-01418-0045,157.26
1-02155-0019,-73.930855,20772,1063700.0,C1-WALK-UP,672372.0,1.53,689000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2400 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1397000.0,1,Washington Heights North                                                   ,D7-ELEVATOR,35, , ,57.0,1-02026-0029,38.5
1-01507-0069,-73.955499,14952,1047439.0,D1-ELEVATOR,1628817.0,0.06,2025000,"{'latitude': '40.786837614018', 'longitude': '-73.952515982361', 'human_address': '{""address"": ""1240 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1225 PARK AVENUE,7849000.0,1,Upper East Side-Carnegie Hill                                              ,D7-ELEVATOR,24,26.28,1925,39.0,1-01602-0033,135.43
