dbn,phone_number,method9,interest7,seats109,grade9swdfilledflag3,offer_rate2,common_audition2,seats1010,seats104,offer_rate7,method10,zip,method2,requirement4_3,seats9ge5,grade9swdfilledflag10,admissionspriority24,grade9swdapplicants9,interest10,admissionspriority11,method3,requirement5_6,admissionspriority32,grade9swdapplicants5,grade9geapplicants2,academicopportunities2,seats9swd1,grade9swdapplicants3,interest1,grade9gefilledflag4,school_accessibility_description,appperseat6specialized,grade9gefilledflag6,requirement5_3,admissionspriority53,seats106,admissionspriority29,extracurricular_activities,directions3,directions7,code2,seats4specialized,grade9geapplicantsperseat3,requirement6_2,requirement3_5,location,grade9geapplicants8,grade9swdapplicantsperseat8,applicants6specialized,auditioninformation2,eligibility4,requirement2_1,code3
06M346,212-342-6600,,,,,,,,,,,10032,,,,,,,,Priority to continuing 8th graders,,,,,,"Problem-Based Learning (PBL), College Awareness, Career Awareness, SAT Prep (11th grade), Intro to Community Health, Concepts in Wellness",13.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"After-school Music and Art Groups, After-school Tutoring Program, Community Service Program, EATwise, Freshman Leadership Initiative, Student Government, Swimming Club",,,,,,,,"504 West 158th Street, Manhattan NY 10032 (40.833695, -73.942074)",,,,,,,
02M544,212-262-8067,,,,,,,,,,,10019,,,,,,,,,,,,,,"YWCA After-School program, Odysseyware (online credit recovery program)",,,Humanities & Interdisciplinary,,1.0,,,,,,,"Senior Internships, Student Activities organized by the Coordinator of Student Affairs (COSA)",,,,,,,,"850 10th Avenue, Manhattan NY 10019 (40.767848, -73.98861)",,,,,,,
11x299,718-944-3418,,,,,,,,,,,10469,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,"Robotics, Teaching Assistant Program, Zoology, SAT Preparation (TRiO)",24.0,,Science & Math,,1.0,,,,,,,"Tutoring Program, Ninth Grade Home Club, College Field Trips, Leadership, Jazz Band, Concert Band, Pep Band, National Honor Society, School Leadership Team, Yearbook",,,,,,,,"925 Astor Avenue, Bronx NY 10469 (40.860443, -73.860729)",,,,,,,
28Q505,718-658-5407,,Business,,Y,,,,Yes-30,,,11432,Ed. Opt.,,58.0,,,,,Open to New York City residents,Screened,,,23.0,306.0,"Honors Humanities allows students to explore their media & writing, artistic, and musical talents in a variety of performance and publishing mediums",15.0,62.0,Health Professions,Y,1.0,,Y,,,Yes-10,,"Virtual Enterprise, HOSA, Model United Nations, Engineering, CADD, Moot Court, Microbiology, Medical Lab, Newspaper, Film Making, Forensics & Law, Stage Production, Musical Theatre, CISCO, Computer Programming, Criminal Justice, Legal Research, Concerts, Advanced Band, Strings, Choir and Keyboard Ensembles, Studio Art, Health Care, CNA, Sports Medicine, Junior Achievement, Read Alliance, Muslim Association, Girl Up, Ping Pong, Spark, Gay-Straight Alliance, ARISTA, Yearbook, Council for Unity",,Please Contact the School About the On-Site Requirement.,Q24B,,7.0,,Audition,"160-05 Highland Avenue, Jamaica NY 11432 (40.709461, -73.803001)",,,,,,,Q24H
11X455,718-904-5400,,Zoned,,Y,Â—98% of offers went to this group,,,Yes-10,,,10475,Ed. Opt.,,48.0,,Then to New York City residents who attend an information session,,,Priority to Bronx students or residents who attend an information session,Ed. Opt.,,,65.0,421.0,"Pre-Engineering, Law and Legal Studies/Law Enforcement Academy, Computer Technology, Culinary Arts, Multimedia Communication",30.0,124.0,Law & Government,N,1.0,,N,,,Yes-10,,"After-School and Saturday Tutoring, Architecture, AFJROTC, Best Buddies, Chorus, Concert, Construction and Engineers Mentor Program for Future Engineers, Culinary Arts, Debate Team, Drill Team, Hip-Hop Dance, Law Team, Media Arts, National Honor Society, SAT Preparation, Robotics-FRC, Student Council, Swimming Club, Visual Art, Website Design and Maintenance, Weight Training, Yearbook, buildOn, Men of Strength, Gaming Club, Journalism, Creative Writing",,,X25C,,4.0,,Attendance,"750 Baychester Avenue, Bronx NY 10475 (40.874035, -73.831669)",,,,,,,X25D
02M605,212-929-4433,,,,,,,,,,,10011,,,,,,,,Priority to Manhattan students or residents,,,,,,"Community Action Internships, Outward Bound activities, Special initiatives of the New York Performance Standards Consortium",6.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Consensus-based decision-making, Critical Friends groups, Faculty and Staff Hiring Committee, Fairness Committee, HealthWise, HumaniTube, Mediation, Musical Groups, NYC Outward Bound Adventure, Choir, Musicals, PrepCorps, Restorative Justice, Robotics, Sailing, Shakespeare Society, Staff Inquiry Groups, Student Activities Committee, Student Government, The Great Saunter, The Great Sweep, Visual and Performing Arts, Yoga, Nia Dance",,,,,,,,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",,,,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",
17K600,718-636-4900,,,,N,,,,,,,11225,Screened: Language,Demonstrated Interest: School Visit,,,,,,Open to New York City residents,Screened,,,,25.0,"Majors: Practical Nurse (LPN), Medical Assistant/ Billing & Coding, Nurse Assistant, Dental Assistant, Dental Lab Technology, Vision Technology",45.0,14.0,Health Professions,,1.0,,,,,,,"Anime Club, Art Club, Book Club, Christian Seekers, Coding Club, Cricket Club, Debate & Mock Trial, Opening Act Drama Club, Gospel Choir, Health Occupations Students of America (HOSA), Liberty Partnerships, TRIO Talent Search",,,K50B,,3.0,,,"901 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",,,,,,,K50J
27Q334,718-570-8230,,,,,,,,,,,11419,,,,,,,,Priority to Queens students or residents who attend an information session,,,,,,"Experiences; College and career counseling starting in ninth grade; Internships, College-level courses in upper grades",12.0,,Humanities & Interdisciplinary,,,,,,,,,Based on student interest,,,,,,,,"94-25 117th Street, South Richmond Hill NY 11419 (40.693013, -73.829409)",,,,,,,
25Q460,718-888-7500,,,,N,,,,Yes,,,11354,Ed. Opt.,,,,,,,Open to New York City residents,Ed. Opt.,,,,534.0,"Students may receive CTE endorsement in Virtual Enterprise, Marketing/Business, and Microsoft Suite certification",23.0,73.0,Law & Government,,,,,,,,,"Arts, Math Team, Glamour Gals, Arista, ASPIRA, Attendance Intervention Program, Beginning Vocal, Chinese Club, Concert Band, Debate Team, Honors Chorus, Journalism, Law Team, Leadership, Leo's Club, Multicultural, Peer Mediation, Play Production, Set Design, Sports and Arts High School Today Program, Student Government",,,Q18B,,4.0,,,"35-01 Union Street, Flushing NY 11354 (40.764892, -73.826811)",,,,,,,Q18C
13k527,718-260-2300,,,,,,,,,,,11201,,,,,,,,Priority to continuing 8th graders,,,,,,"Carrera Treasure Academy: Academic Support, Business & Entrepreneurship, Power Group Counseling, Family Life, College Day/Alumni Mentoring Program",13.0,,Science & Math,,1.0,,,,,,,"Girls Inc, Digital Design, Gardening Internship, LEGO League, Green Team, Future Cities, Music Ensemble, College/Career Development, TASC ExpandED, Lifeguard/CPR/First Aid Certification, Student Government, Robotics, Web Wiz, Art Explorers, Theater, Self-Defense, Media Mavens, Tech Gals, Recycling and Art, Step, Music, Yearbook, Girls Gazette, Dance Company, Young Women Filmmakers, DJÂ’ing, Debate, Girls Night Out, Research Squad, Grade Committees, Peer Leadership, Science & Engineering Fair",,,,,,,,"283 Adams Street, Brooklyn NY 11201 (40.694629, -73.988323)",,,,,,,
12X682,718-861-0521,,,,,,,,,,,10460,,,,,,,,Priority to Fannie Lou Hamer Middle School students who attend an information session,,,,,,"Students create a portfolio of rich, personal work in seven areas: Literature, Math, Social Studies, Science, Social Issues, Art, and electives",22.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"ChildrenÂ’s Aid Society programs include: Pre-college Program, College Excel, Corporate Workplace (Job Training and Paid Internship), College Set (Scholarship Program), JPMorgan Live, MSG Classroom, NYU Preview2, CAS, Afterschool Clubs include: Digital Media and Game Design, Archery, Music, Art, Sports, Camp Interactive, STEM Club",,,,,,,,"1021 Jennings Street, Bronx NY 10460 (40.831212, -73.885804)",,,,,,,
29Q265,718-525-6507,,,,,,,,,,,11413,,,,,,,,Priority to Queens students or residents who attend an information session,,,,,,"Brain Bee, STEM research internships, University at Albany research course",16.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"After-School Enrichment Classes, Ambassador's Clubs, Brain Bee, Men of Distinction, Concert Band, Dance, Cheerleading, College Fairs and Trips, Conflict Resolution, Digital Photography, Exemplary Women, Gateway Institute, Math, Mayor's Youth Leadership Council, National Honor Society, Peer Tutoring, Student Advisory Council, International Club, Studio Art, Portfolio Planning",,,,,,,,"143-10 Springfield Boulevard, Springfield Gardens NY 11413 (40.66903, -73.757744)",,,,,,,
19K683,718-277-1069,,,,,Â—11% of offers went to this group,,,,,,11208,Limited Unscreened,,,,,,,Priority to New York City residents who attend an information session,,,,,104.0,Production major: Technical theater design and management,9.0,,Performing Arts,,,,,,,,,"CUNY College Now, Drama, Choir/Music, Girls Leadership, Green Team, Dance Step Team, Math, Music, Open Gym, Peer Tutoring, School Leadership Team (SLT), Fitness Club, Student Government, Literary Magazine, Track, Culinary Arts, Common Grounds",,,L53B,,,,,"370 Fountain Avenue, Brooklyn NY 11208 (40.67002, -73.874537)",,,,,,,
01M448,212-962-4341,,,,N,,,,,,,10002,Screened: Language,Interview,,,,,,Open to New York City residents,Screened,,,,25.0,"Earn up to 24 tuition-free college credits taking CUNY College Now classes at the Baruch College, UNHS, LaGuardia College, BMCC or St. JohnÂ’s Univ.",13.0,13.0,Science & Math,,,,,Problem-Solving Exercise,,,,"Basketball, Badminton, Handball, Glee, Dance, Weight Training, Ping Pong, Tennis, Step Team, Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Saturday Regents Prep, ESL Saturday Academy, Regents Prep, National Honor Society, Council for Unity, Young WomenÂ’s Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio, Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals, Video, and Cooking.",,,M35B,,5.0,,,"200 Monroe Street, Manhattan NY 10002 (40.712269, -73.984128)",,,,,,,M35C
21K620,718-332-5000,,,,N,,,,Yes-20,,,11235,Ed. Opt.,,70.0,,,,,Open to New York City residents,Ed. Opt.,,,56.0,185.0,"CTE program(s) in: Transportation, Distribution & Logistics",9.0,14.0,Culinary Arts,N,,,,,,,,"Art, C-CAP, Construction Skills, Creative Writing, For Inspiration and Recognition of Science and Technology (FIRST) Robotics, MOUSE Squad, National Honor Society, Peer Mediation and Conflict Resolution, SkillsUSA, Student Government, Web Design, WomenÂ’s Empowerment, Work-Based Learning, Yearbook",,,K67E,,2.0,,,"25 Brighton 4th Road, Brooklyn NY 11235 (40.583263, -73.963764)",,,,,,,K67H
02M260,212-524-4360,,,,,,,,,,,10003,,,,,,,,Priority to continuing 8th graders,,,,,,"International Travel, Special Arts Programs, Music, Internships, College Mentoring English Language Learner Programs: English as a New Language",16.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"CUNY College Now, Technology, Model UN, Student Government, School Leadership Team, Music, School Musical, National Honor Society, The Clinton Post (School Newspaper), Clinton Soup (Literary Magazine), GLSEN, Glee",,,,,,,,"10 East 15th Street, Manhattan NY 10003 (40.736526, -73.992727)",,,,,,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (2.8-4.5)",
24Q296,718-271-3602,,,,,,,,,,,11373,,,,,,,,,,,,,,"Before and After-School Activities, Saturday Academy, CUNY LINCT, University of Albany College Now, and College Prep classes.",16.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Leadership Project/Student Congress, Peer Tutoring, Advanced English, Art Design and Exhibition, Baile Folklorico/Dance Club, Art Club, Family Festivals, Guitar/Music Club, ELA/Math Regents Prep, Latino Youth for Higher Education Program (LYHEP), Newspaper, Photography, Social Action Projects and Campaigns, Sports, Talent Show, Theater, Zumba Classes, Spanish Literacy, Student Life, Asian Appreciation Club, English as a New Language Beginners Class, Story Studio, Fresh Prep, Movie Club",,,,,,,,"45-10 94th Street, Elmhurst NY 11373 (40.743228, -73.871505)",,,,,,,
05M304,212-694-6020,,,,,,,,,,,10030,,,,,,,,"Priority to Mott Hall, Mott Hall II and Mott Hall III Middle School students who attend an information session",,,,,,"Online Grading System for parents and students; Before- and after-school tutoring; Saturday Academy, Tutoring with City College",18.0,,Science & Math,,,,,,,,,"Knitting & Crochet, Community Service (Helping-Hands), Song/Writing Guitar, Yoga, Drama, College and Scholarship, Ballroom Dancing, Music Band",,,,,,,,"6 Edgecombe Avenue, Manhattan NY 10030 (40.817228, -73.947151)",,,,,,,
14K685,718-387-1125,,,,,,,,,,,11211,,,,,,,,Priority to Brooklyn students or residents,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,9.0,,Humanities & Interdisciplinary,,,,,,,,,"Academic Support, B-Boy/B-Girl, Chorus, College and Vocational Counseling and Placement, College Prep, Community Development Project, Computers, Dance Level 1 and 2, Individual Drama; Education for Public Inquiry and International Citizenship (EPIIC), Film, Fine Arts, Liberation, Media, MenÂ’s and WomenÂ’s Groups, Movement Theater Level 1, Movement Theater Level 2, Music, Music Production, Pre-Professional Training in Dance, PSAT/SAT Prep, Spoken Word, Student Council, Teatro El Puente, Visual Art",,,,,,,,"250 Hooper Street, Brooklyn NY 11211 (40.70554, -73.955741)",,,,,,Demonstrated Interest: School Visit,
27Q260,718-471-2154,,,,,,,,,,,11691,,,,,,,,Priority to Queens students or residents who attend an information session,,,,,,"Pre-AP Biology, AP Biology, AP English Literature",16.0,,Humanities & Interdisciplinary,,,,,,,,,"Book, Writing, Poetry, Video, Tech, Robotics, Computer Graphics; FAME (Females Acquiring Meaningful Experiences), Homework Help, Honor Society, Journalism, Lunch & Learn, PSAT and SAT Prep, Student Government, Cheerleading, Yoga, Yearbook",,,,,,,,"8-21 Bay 25th Street, Far Rockaway NY 11691 (40.601537, -73.763995)",,,,,,,
10X546,718-329-2902,,,,,Â—25% of offers went to this group,,,,,,10463,Limited Unscreened,,,,,,,Priority to Bronx students or residents who attend an information session,,,Then to Bronx students or residents,,363.0,"CUNY College Now, Arts-Related field trips; Math, Science and Humanities",9.0,,Performing Arts,,1.0,,,,,,,"Academic Intervention Services, AIDS Awareness Day, Art, Blood Drive, Breast Cancer Walk, Canned Food Drive, Chorus, Dance Company, Enchanted Garden, English Language Arts (ELA) Enrichment Program, Fashion Show, Freshman Honors Theatre Ensemble, Guitar, Math, National Honor Society, Peer Mediation, Penny Harvest, PM School, Poetry Slam, Science, Senior Council, Stage Crew, Step Team, Student Government, Student Producers, Video Production Workshop, Yearbook",,,X38B,,,,,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",,,,,,,
30Q445,718-721-5404,,,,N,Â—98% of offers went to this group,,,Yes-20,,,11103,Ed. Opt.,,,,Then to New York City residents,,,Priority to Queens students or residents,Ed. Opt.,,,,253.0,iLearnNYC: Program for expanded online coursework and self-paced learning,15.0,32.0,Law & Government,N,,,,,,,,"Arista Â– National Honor Society, Afro-Cuban Hand Drumming, Art, Badminton, Brilliant Cheer Pack, Alumni Crew, Clipper, Theatre Company, Debate Club, Generation Citizen, Greek, Group Piano Lessons, Key Club, Mediterranean, Model United Nations, Muslim Students Association, Nepali, Tibetan, Writing/Progressions, Filipino, Multicultural, Dance Company, Indoor Soccer, Science Trekkies, Fashion/Modeling, Media, Photography, Cooking and Marital Arts Clubs, Mock Trail, Student Government",,,Q15B,,4.0,,,"48-10 31st Avenue, Astoria NY 11103 (40.757072, -73.911165)",,,,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",Q15C
02M282,212-225-0890,,,,,,,,,,,10038,,,,,,,,Priority to Manhattan students or residents who attend an information session,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,18.0,,Computer Science & Technology,,1.0,,,,,,,"Gaming and Anime Club, MOUSE computer club, Fencing, Student Government, After-school tutoring, Graphic Design, SHOREline project, Gay/Straight Alliance, volunteering at Two Bridges, If you are interested in starting a club that we do not have yet, you need 10 interested students, a teacher who will agree to moderate, and approval of the principal.",,,,,,,,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",,,,,,,
05M369,212-543-4460,,,,,,,,,,,10027,,,,,,,,Priority to New York City residents who attend an information session,,,,,,"After introducing ninth grade students to dance, vocal music, and theater programs, students audition for a major of their choosing",18.0,,Performing Arts,,,,,,,,,"After-school Tutoring, Band, Gospel Choir, Dance Company, Jam Sessions, Performing Arts Major Showcase, Poetry Out Loud, Gay Straight Alliance, Spring Showcase, Student Government Association, Theatre Arts, Winter Showcase, Yearbook Committee, Young Men's Club, Hip Hop Club, EPIC Theatre Shakespeare Remix",,,,,,,,"509 West 129th Street, Manhattan NY 10027 (40.815747, -73.95552)",,,,,,,
29Q259,718-454-495 7,,,,,Â—46% of offers went to this group,,,,,,11412,Ed. Opt.,,,,,,,,,,Then to Queens students or residents,,202.0,"Courses at Adelphi University: Black Studies, College Writing, Greek Mythology, Algebra, Statistics, Psychology, Sociology, Art, and Science Courses",,,Humanities & Interdisciplinary,,,,,,,,,"Christian Club, Student Government, Advisory Council, Yearbook, Mock Trial, College Summit Peer Leaders, College Tours and Trips, MOUSE Squad, Global Kidz, PGC Leaders, Drumline, College Tours, Fitness Club, Yoga",,,Q09R,,,,,"109-89 204th Street, Saint Albans NY 11412 (40.705989, -73.752885)",,,,,,,
15K667,718-840-1900,,,,,,,,,,,11232,,,,,,,,Priority to Districts 15 and 20 students or residents who attend an information session,,,,,,"Advisory, Drop Everything and Read, Service Learning, Environmental Science, Forensic Science, Physiology and Pathology, Applied Physics and Chemistry",54.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Art, Clay Workshop, Dance, Film, Homework Help, Internship Program, Knitting, National Honor Society, Photography, SAT Prep, Student Government, Theater, Tutoring, Vocal Troupe, Music production,Yearbook, Woodworking, Urban Barcode Club (Science Focused--DNA). Opportunity for more student-led clubs.",,,,,,,,"153 35th Street, Brooklyn NY 11232 (40.655583, -74.004342)",,,,,,,
32K549,718-381-7100,,,,,,,,,,,11237,,,,,,,,Priority to District 32 students or residents who attend an information session,,,,,,Project and inquiry-based learning courses; CUNY College Now; Student Success Center offers electives through Brooklyn College,19.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"National Honor Society, journalism, Black Latino Alliance Tackling Issues Nurturing Ourselves (B.L.A.T.I.N.O.), Cheerleading, Chess, Drama, System of Freedom Human Rights, Knitting, Crochet, Dance, Leap for Girls, Queer-Straight Alliance, Social Justice and Community Organizing, Student Government, Yearbook, Summer Search, Swimming club (certification in swim safety), WomenÂ’s Empowerment, African Drumming & Percussion, Farm (working on a real farm), Film After-School Class, No Kidding Program",,,,,,,,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",,,,,,,
07X221,718-292-2211,,,,,,,,,,,10454,,,,,,,,Priority to continuing 8th graders,,,,,,"Knowledge for College, SAT Readiness - Pathways, Academic Support Services, Advisory, CUNY College Now, College Visits, Workshops at Lehman College",19.0,,Humanities & Interdisciplinary,,,,,,,,,"Artist-in-Residence Program, Career Fair, Dance Club, Debate Club, Hip-Hop Workshop, Sci-fi/Horror Club, Mathletes, MOUSE Squad, Movies in History, National Honor Society, Newspaper, SBP Prep Players (Drama), Step Team, Student Advisory Board, Cougar Council (Student Government), Webcasting",,,,,,,,"360 East 145th Street, Bronx NY 10454 (40.813612, -73.920851)",,,,,,,
31R440,718-667-8686,Zoned Guarantee,Science & Math,Yes,Y,Â—99% of offers went to this group,,,Yes-10,Â—100% of offers went to this group,,10306,Ed. Opt.,,55.0,,Then to New York City residents,,,Priority to Staten Island students or residents,Ed. Opt.,,,83.0,363.0,CTE program(s) in: Scientific Research and Engineering,13.0,94.0,Teaching,Y,1.0,,Y,,,No,,"IPO/Stock Market, C-CAP, Community Service, Conflict Resolution, Writing, Dance, Chorus, Fed. Challenge, First Aid/CPR, Fitness, Forensics, GSA, Graphic Design, Hockey, INTERACT, LEARN, Band, Color Guard, Math, Moot Court, NHS, Tutoring, Ping-Pong, Saturday School, Journalism, S!NG, Social Obstacles, Stage Design, Student Gov., Yearbook, Virtual Enterprise, Anti-Bullying, Eatwise, Glee, Green, Culture Clubs, Photography, Robotics, City Outreach, Hip-Hop, Dream, Debate, Self Defense, Film, Drama",,,R20C,,8.0,,,"465 New Dorp Lane, Staten Island NY 10306 (40.570909, -74.105878)",473.0,6.0,,,,,R20E
16K455,718-467-1700,,,,N,,,,Yes,,,11213,Screened,"Demonstrated Special Talent: Athletics, Music, Fine Arts, or Dance",,,,,,,Screened,,,,136.0,iLearnNYC: Program for expanded online coursework and self-paced learning,5.0,43.0,Engineering,,1.0,,,,,,,"Cheerleading, Chess, Committee for Girls, Dance Team, Debate Team, Drama, Drumline, Fashion Design, Graphic Design, Jazz Band, Jewelry-making, Library Squad, Math Team, National Honor Society, Poetry Slam, Red Berets, Robotics, Sophisticated Gents, Sound and Video Production, Speech and Debate, Student Government, Talent Show, Team-Pro, The Crown Jewel Steppers, Travel, Video Filmmaking, Voices of the High Choir, Yearbook, Young PeopleÂ’s Project",,,K10E,,1.0,,,"1700 Fulton Street, Brooklyn NY 11213 (40.678478, -73.931604)",,,,,,"Standardized Test Scores: English Language Arts (1.7-4.5), Math (1.5-4.5)",K10S
05M362,212-666-1278,,,,,,,,,,,10027,,,,,,,,Priority to continuing 8th graders,,,,,,"Students take Philosophy, Engineering, Spanish, Creative Arts and an Elective; Math, Science and Engineering program",16.0,,Science & Math,,1.0,,,,,,,"Model UN, Architecture, Architectural Design, Book Circles, Chess, Cooking, Robotics, Film, Gardening, Journalism, Musical Theater, Latin Dance, Math Bowl, Math Problem Solving, Moot Court, Multimedia Design, Neuroscience, Photography, Green Team, Urban Ecology, Contrariwise Philosophy Journal, Gay-Straight Student Alliance Student Government, Studio Art, Science Bowl, Webpage; Students serve on the Borough Advisory Council",,,,,,,,"425 West 123rd Street, Manhattan NY 10027 (40.810793, -73.955722)",,,,,,"Standardized Test Scores: English Language Arts (3.1-4.5), Math (3.8-4.5)",
16K594,718-455-0746,,,,,,,,,,,11233,,,,,,,,Priority to New York City residents who attend an information session,,,,,,Emphasis on arts and arts-related careers throughout the curriculum; Classes designed around student discussion; Advisory program,13.0,,Visual Art & Design,,,,,,,,,"Anime Club, BaileyÂ’s Cafe, Student Government, Open Art Studio, Dance, Portfolio Workshop; Tutoring services provided as needed, before, after school and on Saturdays",,,,,,,,"265 Ralph Avenue, Brooklyn NY 11233 (40.680239, -73.921099)",,,,,,,
19K639,718-235-3592,,,,,,,,,,,11208,,,,,,,,Priority to New York City residents who attend an information session,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,25.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Math Club, Culinary Club, Mural Painting Club, Step Team, National Honor Society, Gay-Straight-Bisexual Alliance, Women's Fitness Group, Women's Empowerment Group, Music Club, Opening Act (Theater), Piano Club",,,,,,,,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002, -73.869305)",,,,,,,
03M541,212-501-1235,,,,,,,,,,,10023,,,,,,,,Open to New York City residents,,,,,,Students will have access to Hunter College library and classes,18.0,,Science & Math,,1.0,,,,,,,"Robotics, Anatomy, Theater, Orchestra, National Honor Society, Newspaper, Hunter College Nursing Program, Peer Tutoring, Physics, Hydroponic Lab, School Chorus, Hunter College Scientific Research Program,Student Government, Yearbook, Yoga, Culinary, Dance, Debate, Mural, Multi-cultural, Rock Band, French, Chess, Environmental and various Science Clubs",,,,,,,,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891, -73.985608)",,,,,,"Standardized Test Scores: English Language Arts (3.2-4.5), Math (3.3-4.5)",
10X565,718-733-3080,,,,,,,,,,,10458,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,"CTE Programs in Building Operations and Technology; Advisory, Cooperative Learning Groups, Project-Based Learning",22.0,,Engineering,,,,,,,,,"Rich after-school program to provide increased academic, artistic, and social support; Tutoring, Art, Music, Peer Mediation/Conflict Resolution, Regents Prep, Environmental, Acting, Photography, Student Senate, Guitar, Fitness, Skills USA",,,,,,,,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",,,,,,,
07X473,718-402-0571,,,,,,,,,,,10455,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,"Peer Education, Educational Counseling, CUNY College Now, Internship Seminars, Small Group Advisories",16.0,,Humanities & Interdisciplinary,,,,,,,,,"Respect for All Program, Annual World's Fair Exhibition, Book, Dance, Discussion Groups, DJ Mixing, Literature Appreciation Program, Museum, Newsletter, Readers in Residence, Special Events Committee, Spoken Word, Student Government, Student Leadership Retreats, Visual and Performing Arts Appreciation Program, Writers, Spectrum",,,,,,,,"701 St. Anns Avenue, Bronx NY 10455 (40.818041, -73.911633)",,,,,,,
26Q415,718-279-6500,,,,N,Â—8% of offers went to this group,,,Yes-10,,,11364,Limited Unscreened,Honors/Accelerated coursework in Math/Science,,,,,,,Screened,,Then to students who live in the zoned area,,1184.0,"Science Olympiad and Envirothon Competition, Physical Science Research, Math Team for New York State Math League, Math Research, Debate Team",35.0,76.0,Law & Government,N,1.0,,,,,,,"Arista, Leaders, Yearbook, Verdict, American Red Cross, Key Club, FBLA, Bumblebee, Health Occupations, Orchestra, Band, Science Olympiad, Science Newsletter, Games, Black Student Union, Chinese, Seekers, Community Service, Debate, Drama, Fitness, French, Gateway, GSA, Jewish Student Union, Korean, Mock Trial, Muslim Students Association, South Asian Culture, Stage Crew, Balloons, Model UN, Anime, A Cappella, Ukulele, Autism Speaks, Anti-Bullying, Praise Dance, Rock",,,Q16B,,27.0,,,"57-00 223rd Street, Oakland Gardens NY 11364 (40.752343, -73.757271)",,,,,Open only to Queens students or residents,,Q16J
06M463,212-927-1841,,,,,,,,,,,10040,,,,,,,,Priority to District 6 students or residents,,,,,,"Introduction to Media Literacy Classes, Leadership Classes, The Reserve OfficersÂ’ Training Corps (ROTC), and After School Academic Programs",25.0,,Communications,,1.0,,,,,,,"National Honor Society, Double Discovery Center at Columbia University, Journalism/School Newspaper (The Legacy), Leadership Program, Dance, Cooking Club with Health Corps, Creative Writing, G.W. Campus Youth Theater Company with MCC, NY Peer Mediation, After School Academic Programs, SAT Preparation Program, Tribeca Film Program, Simon & Schuster Book Club, Media Green Team, Swimming Club, Anime/Manga Club, Student Government",,,,,,,,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",,,,,,,
30Q450,718-545-7095,,Humanities & Interdisciplinary,,N,,,,Yes-20,,,11106,Screened,,64.0,,,,,Open to New York City residents,Ed. Opt.,,,60.0,115.0,iLearnNYC: Program for expanded online coursework and self-paced learning,23.0,105.0,Culinary Arts,N,1.0,,N,,,Yes-20,,"Junior Reserve Officers' Training Corps (JROTC), ASPIRA, Dance, Fall and Spring Drama and Musical Productions, Mu Alpha Theta, Multicultural Festival, National Honor Society, SING, Spirit Squad, Digital Media Program, Winter and Spring Concerts; More than 20 multicultural and interdisciplinary Clubs",,,Q29M,,4.0,,,"14-30 Broadway, Astoria NY 11106 (40.765881, -73.933907)",,,,,,Attendance and Punctuality,Q29N
02M308,212-505-0143,,,,,,,,,,,10002,,,,,,,,Priority to Districts 1 and 2 students or residents who attend an information session,,,,,,College classes at NYU and John Jay College; extensive daily after-school tutoring; 40 school trips per year to museums and performances,15.0,,Performing Arts/Visual Art & Design,,,,,,,,,"LoMA students are required to participate in two days of extracurricular activities or tutoring a week: Chorus, Swimming, LoMA CoLab Dance, LoMA Theatre Ensemble, LoMA Cares Volunteer Group, Student Council, After School of Rock/Pop/Rap, Cheerleading, Theater Tech and Stage Crew, Yoga, Weight Room.",,,,,,,,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",,,,,,,
