school_name,requirement6_1,interest4,auditioninformation7,eligibility7,borough,psal_sports_girls,seats9ge8,code4,seats103,seats9ge9,advancedplacement_courses,requirement1_1,offer_rate5,total_students,grade9swdapplicantsperseat7,appperseat4specialized,applicants2specialized,offer_rate8,requirement2_7,grade9swdapplicants6,auditioninformation3,requirement4_1,common_audition6,code5,grade9gefilledflag5,admissionspriority31,grade9swdfilledflag8,admissionspriority41,pct_stu_enough_variety,requirement6_7,requirement1_2,requirement1_7,grade9swdfilledflag9,requirement4_5,grade9geapplicants7,requirement1_3,grade9swdapplicantsperseat10,grade9swdapplicants10,seats101,academicopportunities4,requirement5_2,seats9swd5,prgdesc1,grade9gefilledflag2,admissionspriority27,boys,auditioninformation6,admissionspriority71,transfer
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,Performing Arts,,,MANHATTAN,"Basketball, Bowling, Cross Country, Fencing, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,NO CODE4,Yes-5,,"AP Art History, AP Biology, AP Calculus, AP Chemistry, AP Comparative Government and Politics, AP English, AP Environmental Science, AP French, AP Human Geography, AP Italian, AP Japanese, AP Music Theory, AP Physics, AP Psychology, AP Spanish, AP Statistics, AP Studio Art, AP US History, AP World History","Course Grades: English (85-100), Math (80-100), Social Studies (83-100), Science (85-100)",,2713,,19.0,1541.0,,,,"Applicants should prepare a song to sing without accompaniment for the audition. The musical selection can be classical or popular in style. In the audition, applicants will be asked to sing back melodic patterns and tap back rhythmic patterns. LaGuardia High School has a suggested online song list (www.laguardiahs.org). Applicants are not required to select from the song list.",Written Response (On-Site),1.0,NO CODE5,,,,,0.860000014,,"Course Grades: English (85-100), Math (85-100), Social Studies (86-100), Science (86-100)",,,Written Response (On-Site),,"Course Grades: English (85-100), Math (84-100), Social Studies (85-100), Science (84-100)",,,YesÂ–5,Each studio has a four-year sequence of courses and opportunities for students to participate in performances and exhibitions,Audition,,"A challenging conservatory approach in ballet and modern dance. Supplementary courses include: dance history, choreography, theatre dance (tap and jazz), career management and survival skills.",,,,"Applicants must bring a portfolio of 8-15 pieces of original artwork done in a variety of media. The artwork should be from observation, imagination, and memory, and labeled appropriately. PhotographsÂ—not originalsÂ—of three-dimensional (3D) works may be included. For the audition, applicants will be given three drawing assignments, including drawing the human figure from observation, drawing a still life from memory, and creating a drawing in color, based on imagination. All drawing materials for auditions will be supplied by the school at the audition.",,
Wadleigh Secondary School for the Performing & Visual Arts,,Performing Arts,,,MANHATTAN,Basketball,,M26M,Yes-5,,"AP English, AP World History","Course Grades: English, Math, Social Studies, Science",Â—no offers went to this group,377,,,,,,10.0,"Present a portfolio of 5-8 pieces of original artwork, including at least two sketches.",Audition,,M26R,N,Then to New York City residents,,,0.810000002,,"Course Grades: English, Math, Social Studies, Science",,,Audition,,"Course Grades: English (55-100), Math (55-100), Social Studies (60-100), Science (55-100)",,,YesÂ–5,The last period class for our ninth grade students is an arts class of their choice,,5.0,"Acting, Voice and Diction, Dramatic Literature.",N,,,,,
Holcombe L. Rucker School of Community Research,,,,,BRONX    ,"Basketball, Softball",,,,,AP English,,,193,,,,,,,,,,,,,,,0.709999979,,,,,,,,,,Yes-10,"Psychology, Castle Learning, College Seminar, Math Support, English Language Arts Support, Coop Tech onsite",,,,,,,,,
South Bronx Preparatory: A College Board School,,,,,BRONX    ,"Basketball, Handball, Outdoor Track, Softball, Table Tennis, Volleyball",,,,,"AP English, AP Psychology, AP US Government and Politics",,,654,,,,,,,,,,,,Then to New York City residents who attend an information session,,Then to Bronx students or residents,0.879999995,,,,,,,,,,No,"STEM initiatives: Robotics, Hour of Code, Computers for Youth",,,,,,,,,
Crotona International High School,,,,,BRONX    ,"Softball, Volleyball",,,,,,,,338,,,,,,,,,,,,,,,0.829999983,,,,,,,,,,No,Small classes that integrate academic content and English language development,,,,,,,,,
Performing Arts and Technology High School,,Performing Arts/Visual Art & Design,,,BROOKLYN ,"Basketball, Flag Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,K61T,Yes-5,,"AP Biology, AP Calculus, AP English",,,441,,,,,,,,,,,,Then to Brooklyn students or residents,,Then to New York City residents,0.790000021,,,,,,,Demonstrated Interest: School Visit,,,Yes-5,,,,"Four years of technique classes in ballet, modern, jazz, and tap. Two years of advanced studio classes in choreography and composition.",Y,,,,,
Dr. Susan S. McKinney Secondary School of the Arts,,Performing Arts,,,BROOKLYN ,Basketball,,K42D,Yes-5,,AP English,"Course Grades: English (55-100), Math (58-100), Social Studies (55-100), Science (55-100)",Â—14% of offers went to this group,427,,,,,,,"Students will take part in an abbreviated dance class, in which they will do barre work, exercises center floor, practice movement across the floor and learn a short combination. Students must also have a 2 minute dance solo prepared, reflective of modern, jazz, ballet, or ethnic dance techniques. Appropriate dance attire is required (leotard and tights for girls; black dance pants and white t-shirt for boys). Students must have their music on a CD or iPod.",Audition,,K42E,N,Then to New York City residents,,,0.74000001,,"Course Grades: English (65-100), Math (55-100), Social Studies (60-100), Science (55-100)",,,Audition,,"Course Grades: English (62-100), Math (55-100), Social Studies (65-100), Science (55-100)",,,Yes-5,,Writing Exercise,2.0,"Painting, drawing, art of advertisement and design, dimensional design, art history, textile, photography, product promotion, cartoon design illustration, and sculpture.",N,,,,,
W. H. Maxwell Career and Technical Education High School,,,,,BROOKLYN ,"Basketball, Indoor Track, Outdoor Track, Softball, Volleyball",,,Yes-20,,"AP Biology, AP English",,,498,,,,,,,,,,,,,,,0.75,,,,,,,,,,Yes-20,"Post-secondary and career placement opportunities, internships, CUNY College Now",,,"Fashion Design Engineering and Graphic/Media Arts: Come design your future at Maxwell. Choose fashion, graphic, or broadcasting to explore your creativity and build your design concepts through the tools of the trade and technology. Build your very own portfolio of digital and video design projects.",N,,,,,
Middle College High School at LaGuardia Community College,,,,,QUEENS   ,"Basketball, Golf, Soccer, Softball, Tennis, Volleyball",,,,,,"Course Grades: English (65-100), Math (65-100), Social Studies (65-100), Science (65-100)",,513,,,,,,,,,,,,Then to New York City residents,,,0.810000002,,,,,,,,,,Yes-10,During 12th grade students can apply to remain a fifth year to receive their Associate Degree or earn college credits from LaGuardia Community College,,,Portfolio-based assessment and out-of-school internships.,,,,,,
Frederick Douglass Academy,,,,,MANHATTAN,"Basketball, Fencing, Lacrosse, Soccer, Softball, Tennis, Volleyball, Wrestling",,,,,"AP Biology, AP Calculus, AP Chemistry, AP Computer Science, AP Economics, AP English, AP European History, AP Physics, AP Spanish, AP Statistics","Course Grades: English (65-100), Math (61-100), Social Studies (65-100), Science (60-100)",,1409,,,,,,,,Interview,,,,Then to New York City residents,,,0.860000014,,"Course Grades: English (61-100), Math (64-100), Social Studies (62-100), Science (65-100)",,,,,,,,YesÂ–5,,,,"This Academy will prepare students for their choice of college studies and careers. Students are expected to take a minimum of two AP or CUNY College Now courses for which they are eligible which may include AP United States History, AP Microeconomics, AP European History, AP English, AP Spanish, AP French and AP Latin.",N,,,,,
Bronx Theatre High School,,,,,BRONX    ,"Basketball, Cross Country, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP English, AP French, AP Spanish",,,383,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.800000012,,,,,,,,,,Yes-10,,,,"Set design, costume design and construction, sound and light design and technology",N,,,,,
Urban Assembly School for tne Performing Arts,,,,,MANHATTAN,"Outdoor Track, Softball",,,,,AP English,,,350,,,,,,,,,,,,,,,0.689999998,,,,,,,,,,YesÂ–10,,,,,,,,,,
Humanities & Arts Magnet High School,,,,,QUEENS   ,"Badminton, Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP English, AP Studio Art, AP US History",,,477,,,,,,,,,,,,Then to Queens students or residents,,Then to New York City residents,0.75,,"Course Grades: English (55-100), Math (60-100), Social Studies (60-100), Science (58-100)",,,,,,,,Yes-20,"Dance, Jazz Band, and Orchestra, Visiting Artists, Young Audiences,  Julliard Repertory Dance, Summer Leadership Program",,,"Students explore and have the opportunity to focus on Performing Arts (instrumental and vocal music, theater, dance, and acting) or Television Media (set design, lighting, and graphic arts).",N,,,,,
Hudson High School of Learning Technologies,,,,,MANHATTAN,"Basketball, Bowling, Softball, Tennis, Volleyball",,,,,,,,501,,,,,,,,,,,,Then to Manhattan students or residents,,Then to New York City residents,0.790000021,,,,,,,,,,YesÂ–10,College Now Program affiliation through CUNY allows qualified students to earn up to 12 college credits while in high school.,,,,,,,,,
"Metropolitan High School, The",,,,,BRONX    ,"Basketball, Soccer, Softball",,,,,"AP English, AP US History",,,341,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.810000002,,,,,,,,,,No,Advisories,,,,,,,,,
Brooklyn Technical High School,,,,,BROOKLYN ,"Badminton, Basketball, Bowling, Cross Country, Fencing, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,,,"AP Biology, AP Calculus, AP Chemistry, AP Chinese, AP Computer Science, AP Economics, AP English, AP Environmental Science, AP European History, AP Human Geography, AP Physics, AP Psychology, AP Spanish, AP Statistics, AP Studio Art, AP US Government and Politics, AP US History, AP World History",,,5534,,,,,,,,,,,,,,,0.889999986,,,,,,,,,,Yes-34,"College Prep, Environmental Science, Gateway to Medicine, Industrial Design, Law & Society, Mathematics, Mechanical Engineering, Media",,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admissions Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT.,,,,,,
Pan American International High School,,,,,QUEENS   ,"Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP Environmental Science, AP Spanish",,,380,,,,,,,,,,,,,,,0.930000007,,,,,,,,,,Yes-50,,,,,,,,,,
Metropolitan Expeditionary Learning School,,,,,QUEENS   ,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,,,"AP Biology, AP Calculus, AP Spanish, AP US Government and Politics",,,829,,,,,,,,,,,,Then to New York City residents who attend an information session,,Then to Queens students or residents,0.779999971,,,,,,,,,,No,,,,,,,,,,
Bronx School of Law and Finance,,,,,BRONX    ,"Basketball, Cross Country, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP Calculus, AP Environmental Science, AP Statistics",,,399,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.680000007,,,,,,,,,,Yes-10,"Academy of Finance, CUNY College Now, Block Programming",,,Students will be exposed to law and finance for their first two years. Students will select a major course of study for junior and senior years.,,,,,,
The School for Human Rights,,,,,BROOKLYN ,"Basketball, Bowling, Cross Country, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",,,,,AP Biology,,,407,,,,,,,,,,,,Then to New York City residents,,Then to New York City residents,0.860000014,,,,,,,,,,Yes-20,,,,,,,,,,
Bronx Latin,,,,,BRONX    ,,,,,,"AP Statistics, AP US History",,,564,,,,,,,,,,,,Then to New York City residents,,,0.879999995,,,,,,,,,,No,"a2i Accessing Algebra Through Inquiry program (Algebra, Geometry, and Algebra II/Trigonometry)",,,,,,,,,
CSI High School for International Studies,,,,,STATEN IS,"Basketball, Cross Country, Fencing, Flag Football, Outdoor Track, Soccer, Softball, Tennis, Volleyball, Wrestling",,,,,"AP Biology, AP Calculus, AP Comparative Government and Politics, AP English, AP Studio Art, AP US History",,,495,,,,,,,,,,,,"Then to Districts 20, 21 and 31 students or residents",,Then to New York City residents,0.779999971,,,,,,,,,,Yes-22,"Strong academic/college preparedness with stringent expectations on timely homework, strong school tone: zero tolerance of student misconduct.",,,,,,,,,
"Clinton School Writers & Artists, M.S. 260",,,,,MANHATTAN,,,,,,,"Course Grades: English (87-100), Math (83-100), Social Studies (90-100), Science (88-100)",,376,,,,,,,,Writing Exercise,,,,Then to New York City residents,,,0.899999976,,,,,,,,,,YesÂ–9,,,,,,,,,,
Lower Manhattan Arts Academy,,,,,MANHATTAN,"Badminton, Basketball, Bowling, Softball, Table Tennis, Tennis, Volleyball",,,,,,,,353,,,,,,,,,,,,Then to New York City residents who attend an information session,,Then to Districts 1 and 2 students or residents,0.839999974,,,,,,,,,,YesÂ–5,,,,,,,,,,
Humanities Preparatory Academy,,,,,MANHATTAN,"Basketball, Bowling, Softball, Tennis, Volleyball",,,,,,"Course Grades: English (64-100), Math (65-100), Social Studies (64-100), Science (74-100)",,209,,,,,,,,Demonstrated Interest: School Visit,,,,,,,0.920000017,,,,,,,,,,No,"Interest-based community action trips to cities including Montreal, New Orleans, and Washington, D.C.",,,"Develop intellectual and civic leadership through self-discovery and challenge, with an emphasis on writing, public speaking, the arts, technology and community action.",,,,,,1.0
Repertory Company High School for Theatre Arts,,,,,MANHATTAN,Indoor Track,,,,,"AP Biology, AP Calculus, AP English, AP Environmental Science, AP Music Theory, AP US History","Course Grades: English (71-100), Math (70-100), Social Studies (72-100), Science (66-100)",,247,,,,,,,,Audition,,,,,,,0.850000024,,,,,,,,,,YesÂ–10,"Learning Through Expanded Arts Playwriting program (LeAp), August Wilson Monologue Competition, Young PeopleÂ’s Chorus of New York City",,,"Comprehensive study of theatre arts (acting, music and dance, as well as production and stagecraft)",,,,,,
East-West School of International Studies,,,,,QUEENS   ,,,,,,"AP Calculus, AP Computer Science, AP English, AP Environmental Science, AP Psychology",Demonstrated Interest: School Visit or Written Contact,,681,,,,,,,,,,,,,,,0.779999971,,,,,,,,,,Yes-8,Opportunities for semester and summer abroad,,,,,,,,,
Energy Tech High School,,,,,QUEENS   ,,,,,,,,,331,,,,,,,,,,,,Then to Queens students or residents,,Then to New York City residents,0.779999971,,,,,,,,,,YesÂ–5,"Mentoring Program, College and career trips, Small-group supports; Daily advisory groups and team-building activities; FRC FIRST robotics",,,,,,,,,
High School for Law and Public Service,,,,,MANHATTAN,"Basketball, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,,,"AP Calculus, AP Comparative Government and Politics, AP English, AP Psychology, AP Spanish, AP US History, AP World History",,,615,,,,,,,,,,,,Then to New York City residents,,,0.810000002,,,,,,,,,,No,,,,,,,,,,
"The School for Classics: An Academy of Thinkers, Writers and Performers",,,,,BROOKLYN ,Basketball,,,,,,,,305,,,,,,,,,,,,,,,0.790000021,,,,,,,,,,Yes-5,"Science Research, Music, Common Core English, Storytelling, Honors English, Honors History, Health, Survey of African-American Literature, Advisory",,,"Acting: Students engage in portraying complex characters, scene work, monologues, and improvisation. Dance: Gain introduction to the language of dance, develop improvisational skills and basic choreographic devices, and learn the history and technique of major dance forms. Both of these studies culminate in performances that prepare students for college auditions and contribute to their portfolios.",N,,,,,
August Martin High School,,,,,QUEENS   ,"Basketball, Softball",,,,,"AP Environmental Science, AP Statistics",,,459,,,,,,,,,,,,,,,0.680000007,,,,,,,,,,Yes-10,"Law Scholars Academy offers partnerships with various law firms across the city, Lincoln-Douglas Debates, Mock Trials, and Moot Court",,,"This program helps prepare students for careers in aviation. Students will have the opportunity to train in FAA flight and ground certification. Technical Certification is also offered for A+, C-Tech, and Microsoft MOUS Certification.",N,,,,,
Hillside Arts & Letters Academy,,,,,QUEENS   ,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,,,"AP Biology, AP English, AP Statistics",,,474,,,,,,,,,,,,Then to Queens students or residents,,Then to New York City residents,0.839999974,,,,,,,,,,No,,,,,,,,,,
Brooklyn College Academy,,,,,BROOKLYN ,Basketball,,,,,,"Course Grades: English (77-100), Math (75-100), Social Studies (75-100), Science (77-100)",,596,,,,,,,,Test (on-site),,,,,,,0.389999986,,,,,,,,,,Yes-18,"Middle College National Consortium member, National Network for Educational Renewal member",,,,,,,,,
