bk_greenpoint,bk_canarsie,bk_homecrest,qn_old_astoria,qn_south_jamaica,si_new_springville_bloomfield,qn_queens_village,qn_kew_gardens,bk_windsor_terrace,qn_east_elmhurst,qn_bellerose,bx_east_concourse_concourse,si_new_dorp_midland_beach,mn_upper_east_side_carnegie,bk_flatlands,mn_east_harlem_south,youth_volunteers,bx_west_concourse,bk_bedford,bx_melrose_south_mott_haven,mn_hudson_yards_chelsea_flat,mn_lower_east_side,bx_park_cemetery_etc_bronx,bk_dumbo_vinegar_hill_downtown,si_park_cemetery_etc_staten,si_west_new_brighton_new,bk_bath_beach,adult_volunteers,qn_whitestone,census_tract,total_vounteers,qn_flushing,qn_auburndale,qn_ridgewood,si_great_kills,bx_norwood,mn_soho_tribeca_civic_center,special_populations_served,bk_erasmus,bx_bedford_park_fordham_north,bk_bushwick_north,bk_midwood,qn_springfield_gardens_south,qn_college_point,zip_code,si_arden_heights
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0.39,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0.57,Whitestone,,106,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10034,Arden Heights
,,,,,New Springville-Bloomfield-Travis,,,,,,,New Dorp-Midland Beach,,,,0,,,Melrose South-Mott Haven North,,,,,,West New Brighton-New Brighton-St. George,,2,,277.0,25,,,,Great Kills,,,Older adults (60 or older),,,,,,,11372,Arden Heights
,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,5,,,,,,,Youth (17 or under),,,,,,,11205,
,,,,,,,,Windsor Terrace,,,,,,,,10,,Bedford,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,,7,,207.0,25,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,10302,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,40,,,,,,,Military/ veteran families,,,,,,,11214,
,,,,,,,,,,,,,,,,15,,,,,,,,,,,80,,96.0,100,,,Ridgewood,,,,"Immigrants and/or refugees, Youth (17 or under)",,,Bushwick North,,,,10036,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,127.0,7,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,Low-income populations,Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11217,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,,,,,,,15,,,200,,,,,,,Older adults (60 or older),,,,,,,10025,
,,,,,,,,,,,,,,,,11,,,,,,,,,,,9,,29302.0,122,,,,,,,Older adults (60 or older),,,,,,,10463,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,69.0,44,,,,,,,"Homeless, Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)",,,,,Springfield Gardens South-Brookville,,11102,
,,,,,,,,,,,,,,,,100,,,,,,,,,,,200,,869.0,850,,,,,,,"Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,11354,
Greenpoint,Canarsie,Homecrest,,,,,,Windsor Terrace,,,,,,Flatlands,,0,,Bedford,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,Bath Beach,29,,125.0,29,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)",Erasmus,,Bushwick North,Midwood,,,10036,
,,,,,,,,,,,,,,,,0,,,,,Lower East Side,,,,,,0,,7.0,1038,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,"Justice-involved individuals, Low-income populations, Women, Youth (17 or under)",,,,,,,11101,
,,,,,,,,Windsor Terrace,,,East Concourse-Concourse Village,,,,,0,,,,,Lower East Side,,,,,,0,,309.0,83,,,,,,,Youth (17 or under),,,,,,,10471,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,,,,Flatlands,,0,,Bedford,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,Bath Beach,0,Whitestone,242.0,1000,Flushing,Auburndale,Ridgewood,,,,"Homeless, Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Women, Youth (17 or under)",Erasmus,,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10035,
,,,,,,,,,,,,,,,,0,,Bedford,,,,,,,,,85,,,100,,,,,,,People who surrender a cat; people who rescue a cat; people who want to adopt a cat,,,,,,,10156,
,,,,,,,,,,,,,,,,0,,Bedford,,,,,,,,,0,,241.0,5,,,,,,,Older adults (60 or older),,,,,,,10032,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,92,Whitestone,101.0,92,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,Immigrants and/or refugees,Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10001,Arden Heights
,,,,,,,,,,,,,,,East Harlem South,10,,,Melrose South-Mott Haven North,,,,,,,,839,,115.0,856,,,,,,,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,10018,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,500,,21.0,500,,,,,,,Youth (17 or under),,,,,,,10032,
,,,,,,,,,,,,,,,,0,,Bedford,,,,,,,,,0,,319.0,839,,,,,,,"Homeless, Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities",,,,,,,10471,
,,,,South Jamaica,,,Kew Gardens,,East Elmhurst,Bellerose,,,,,,0,,,,,,,,,,,55,Whitestone,95.0,70,Flushing,,Ridgewood,,,,"Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)",,,,,Springfield Gardens South-Brookville,College Point,10001,
,,,,South Jamaica,,Queens Village,Kew Gardens,,East Elmhurst,Bellerose,,,,,,5,,,,,,,,,,,73,Whitestone,485.0,82,Flushing,,,,,,"Justice-involved individuals, Low-income populations, Women, Youth (17 or under)",,,,,,College Point,11206,
,Canarsie,,,,,,,,,,,,,Flatlands,,0,,,,,,,,,,,0,,21.0,98,Flushing,,,,,,,,,Bushwick North,Midwood,Springfield Gardens South-Brookville,,10007,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,391.0,22,,,,,,,Older adults (60 or older),,,,,,,11206,
,,Homecrest,,,,,,,,,,,,Flatlands,,0,,,,,,,,,,Bath Beach,100,,18.0,100,,,,,,,"LGBTQIA+, Women",,,,Midwood,,,10002,
,,,,,,,,,,,,,,,,100,,,,,,,,,,,972,,6.0,1191,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)",,,,,,,10002,
,,,,South Jamaica,,,,,East Elmhurst,,,,,,East Harlem South,0,,,,,Lower East Side,,,,,,25,,,25,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Men of color 18+",,,,,,,11510,
Greenpoint,,,Old Astoria,,,,,,,,,,Upper East Side-Carnegie Hill,,East Harlem South,0,,,,,Lower East Side,,,,West New Brighton-New Brighton-St. George,,0,,95.0,1270,,,Ridgewood,,,,"LGBTQIA+, Older adults (60 or older)",,,Bushwick North,,,,10001,
,,,,,,,,,,,,,,,,45,,,,,,,,,,,75,,188.0,120,,,Ridgewood,,,,Immigrants and/or refugees,,,,,,,10029,
,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,,23301.0,3,,,,,,,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Youth (17 or under)",,,,,,,10463,
,,,,,,,,,,,,,,,,0,,,,,Lower East Side,,,,,,0,,340.0,30,,,,,,,Older adults (60 or older),,,,,,,11224,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,6,,243.0,10,,,,,,,People in Need with unmet needs,,,,,,,10453,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,Bath Beach,0,Whitestone,143.0,72553,Flushing,Auburndale,Ridgewood,,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10065,
,,,,,,,,,,,,,,,,47,,,,,,,,,,,38,,97.0,90,,,,,,,Youth (17 or under),,,,,,,10301,
,,,Old Astoria,South Jamaica,,Queens Village,Kew Gardens,,East Elmhurst,Bellerose,,,,,,40,,,,,,,,,,,350,Whitestone,229.0,445,Flushing,Auburndale,Ridgewood,,,,"Low-income populations, Youth (17 or under)",,,,,Springfield Gardens South-Brookville,College Point,10031,
,,,,,New Springville-Bloomfield-Travis,,,,,,,New Dorp-Midland Beach,,,,0,,,,,,,,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,,105,,163.0,1056,,,,Great Kills,,,"Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,10023,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,94402.0,32,,,,,,,"Low-income populations, Older adults (60 or older)",,,,,,,11234,
,Canarsie,,,,,,,,,,,,,,,0,,,,,,,,,,,75,,364.0,98,,,,,,,"Older adults (60 or older), People with disabilities",,,,,,,10467,
,,,,,,,,,,,,,,,,1300,,,,,,,,,,Bath Beach,2600,,206.0,5200,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,10035,
,Canarsie,,,South Jamaica,,,,,East Elmhurst,,,,Upper East Side-Carnegie Hill,,East Harlem South,0,,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,West New Brighton-New Brighton-St. George,,0,,97.0,15400,Flushing,,,,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,Bushwick North,Midwood,Springfield Gardens South-Brookville,,10001,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,,Bedford,,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,20,Whitestone,1502.0,25,Flushing,Auburndale,Ridgewood,Great Kills,,SoHo-TriBeCa-Civic Center-Little Italy,"Homeless, Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",Erasmus,,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10038,Arden Heights
,,,,,,,,,,,,,,,,200,,,,,,,,,,,2521,,5501.0,2721,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,10012,
,,,,,,,,Windsor Terrace,,,,,,,,0,,,,,,,,,,,0,,102.0,18,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities",,,,,,,11220,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,200,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,300,Whitestone,97202.0,500,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Low-income populations, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11692,Arden Heights
Greenpoint,,,,South Jamaica,,,,,,,,,,,East Harlem South,0,,,,,,,,,,,0,,88.0,20858,,,Ridgewood,,,,Youth (17 or under),,,Bushwick North,,,,10017,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,181.0,593,,,,,,,All of the above,,,,,,,11217,
,,,,South Jamaica,,,,,,,,,,,,0,,,,,,,,,,,0,,73.0,10,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women",,,,,,,10455,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,578,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,16230,Whitestone,31.0,17253,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10013,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,Lower East Side,,,,,,0,,21.0,354,,,,,,,Low-income populations,,,,,,,11201,
,,,,,,,,,,,,,,,,5,,,,,,,,,,,10,,71.0,15,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)",,,,,,,10455,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,Bath Beach,3000,Whitestone,140.0,3600,Flushing,Auburndale,Ridgewood,,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10075,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,545.0,12,,,,,,,Older adults (60 or older),,,,Midwood,,,11249,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,10,Whitestone,130.0,32,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Women, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11209,Arden Heights
,,,,,New Springville-Bloomfield-Travis,,,,,,,New Dorp-Midland Beach,,,,450,,,,,,,,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,,125,,,600,,,,Great Kills,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Youth (17 or under)",,,,,,,11232,Arden Heights
,,,,,,,,,East Elmhurst,,,,,,,68,,,,,,,,,,,77,,109.0,459,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women",,,,,,,10018,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,41.0,5,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,"Low-income populations, Older adults (60 or older)",,,,,,,11217,
,,,,,,,,,,,,,,,,50,,,,,,,,,,,300,,528.0,400,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)",,,,,,,11230,
,,,,,,,,,,,,,,,,25,,Bedford,Melrose South-Mott Haven North,,,,,,,,25,,235.0,80,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women",,,,,,,11377,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,745.0,200,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11375,Arden Heights
,,,,,,,,,,,,,,,,16,,,,,,,,,,,3626,,216.0,4200,,,,,,,NYC Police Department,,,,,,,11424,
