brooklyn_condominiums_comparable_properties_address,comparable_rental_3_neighborhood,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,comparable_rental_3_gross_sqft,comparable_rental_1_address,comparable_rental_1_boro_block_lot,comparable_rental_3_year_built,comparable_rental_2_expense_per_sqft,comparable_rental_1_estimated_gross_income,brooklyn_condominiums_comparable_properties_neighborhood,brooklyn_condominiums_comparable_properties_expense_per_sqft,comparable_rental_3_estimated_expense,brooklyn_condominiums_comparable_properties_estimated_gross_income,brooklyn_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_2_gross_income_per_sqft,brooklyn_condominiums_comparable_properties_full_market_value,comparable_rental_3_market_value_per_sqft,brooklyn_condominiums_comparable_properties_gross_sqft,comparable_rental_1_total_units
1151 BRIGHTON BEACH AVENU,FLATBUSH-EAST,120 OCEAN PARKWAY,11.81,"16,800",2211 DITMAS AVENUE,3-05186-0038,1931,4.64,671422,BRIGHTON BEACH,6.13,"108,696",731984,11.81,10.59,1650000,23.69,61980,48
420 42 STREET,BENSONHURST,25 LAFAYETTE AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,8.35,429829,SUNSET PARK,8.35,"555,180",449854,19.53,19.35,1846002,62.58,23034,16
124 BEDFORD AVENUE, ,904 BEDFORD AVENUE,28.24, ,519 MARCY AVENUE,3-01739-0006, ,7.93,1302744,BEDFORD STUYVESANT,6.5, ,675597,20.79,18.22,3083004, ,32500,58
1252 42 STREET, ,1358 64 STREET,18.57, ,58 CHURCH AVENUE,3-05351-0008, ,9.69,250747,BOROUGH PARK,8.66, ,122196,18.13,18.78,460000, ,6740,20
128 SKILLMAN STREET,FORT GREENE,362 SOUTH 2 STREET,24.64,"44,046",350 KEAP STREET,3-02437-0003,1927,13.38,503375,BEDFORD STUYVESANT,8.49,"409,988",371731,20.7,24.6,1610996,68.13,17958,29
1460 WEST 5 STREET, ,1601 WEST 2 STREET,16.03, ,1905 WEST 10 STREET,3-07079-0001, ,5.54,201923,GRAVESEND,7.51, ,242868,18.32,22.59,1030999, ,13257,20
2827 OCEAN PARKWAY,CONEY ISLAND,2160 78 STREET,18.32,"37,797",3161 BRIGHTON 6 STREET,3-08693-0012,2005,10.8,2198400,BRIGHTON BEACH,9.06,"337,149",332540,18.41,19.53,1214999,64.24,18063,154
358 COURT STREET, ,356 UNION STREET,21.01, ,154 CARROLL STREET,3-00355-0009, ,9.13,245857,CARROLL GARDENS,8.87, ,381000,19.05,20.78,1461004, ,20000,16
104 SPENCER STREET,WILLIAMSBURG-SOUTH,359 SOUTH 2 STREET,18.75,"23,000",370 SOUTH 2 STREET,3-02424-0016,1915,10.41,431272,BEDFORD STUYVESANT,8.61,"305,900",132841,17.8,18.75,495000,37.48,7463,24
101 PROSPECT PARK SOUTHWE, ,142 ST PAUL'S PLACE,28.46, ,80 GREENE AVENUE,3-01959-0027, ,12.7,2033930,WINDSOR TERRACE,12.87, ,315330,27.6,26.73,1213001, ,11425,97
53 FRANKLIN AVENUE,FORT GREENE,385 SOUTH 2 STREET,20.7,"44,046",354 SOUTH 2 STREET,3-02424-0006,1927,9.76,499299,BEDFORD STUYVESANT,7.78,"409,988",248792,18.97,19.48,1079000,68.13,13115,29
10002 4 AVENUE,PARK SLOPE SOUTH,2160 78 STREET,22.01,"21,056",337 STATE STREET,3-00171-0049,2002,10.8,875152,BAY RIDGE,6.84,"178,463",406029,19.53,19.53,1890997,43.46,20790,60
120 BOERUM PLACE, ,311 BALTIC STREET,23.84, ,15 WYCKOFF STREET,3-00384-0072, ,10.72,621950,BOERUM HILL,9.77, ,1628987,23.84,24.93,6999002, ,68330,40
1408 AVENUE O,MIDWOOD,142 ST PAUL'S PLACE,17.06,"92,768",120 KENILWORTH PLACE,3-07556-0053,1985,12.7,1215816,MIDWOOD,8.13,"891,361",283126,19.53,26.73,1209002,60.80,14497,84
115 LORIMER STREET,WILLIAMSBURG-SOUTH,354 SOUTH 2 STREET,15.84,"23,467",189 ROSS STREET,3-02183-0058,1915,13.3,408672,WILLIAMSBURG-CENTRAL,7.72,"275,528",479261,18.83,20.7,2032000,45.13,25452,35
664 MYRTLE AVENUE,FORT GREENE,350 KEAP STREET,28.46,"44,046",80 GREENE AVENUE,3-01959-0027,1927,11.07,2033930,BEDFORD STUYVESANT,10.1,"409,988",393180,24.64,24.64,1686001,68.13,15957,97
309 2 STREET,FORT GREENE,337 STATE STREET,15.94,"71,470",266 22 STREET,3-00899-0022,1982,6.57,337498,PARK SLOPE,7.7,"931,596",511116,22.01,22.01,2432999,110.90,23222,22
610 UNION AVENUE,WILLIAMSBURG-SOUTH,276 SOUTH 1 STREET,21.45,"13,412",262 SOUTH 1 STREET,3-02409-0009,1907,15.3,339614,GREENPOINT,9.65,"132,139",389232,21.45,22.41,1569999,67.40,18146,24
1494 OCEAN AVENUE,MIDWOOD,2620 GLENWOOD ROAD,14.82,"64,782",1123 AVENUE K,3-06713-0041,1962,8.61,633018,MIDWOOD,5.47,"354,052",645132,14.53,14.26,2883004,48.39,44400,54
3368 SHORE PARKWAY SR SOU,BENSONHURST,243 KINGSTON AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,16.34,429829,SHEEPSHEAD BAY,9.63,"555,180",270791,23.5,23.5,1164997,62.58,11523,16
103 SKILLMAN STREET,FORT GREENE,347 SOUTH 3 STREET,24.6,"44,046",362 SOUTH 2 STREET,3-02424-0012,1927,11.74,521344,BEDFORD STUYVESANT,8.49,"409,988",362995,20.7,21.45,1572999,68.13,17536,30
1204 44 STREET, ,1367 63 STREET,18.78, ,1358 64 STREET,3-05747-0031, ,6.92,152148,BOROUGH PARK,8.75, ,77538,17.44,13.8,278999, ,4446,13
1833 EAST 13 STREET, ,2211 DITMAS AVENUE,18.32, ,3161 BRIGHTON 6 STREET,3-08693-0012, ,6.09,2198400,MADISON,8.4, ,295372,15.07,11.81,893002, ,19600,154
5008 7 AVENUE,FLATBUSH-CENTRAL,148 ST PAUL'S PLACE,14.78,"16,080",257 15 STREET,3-01042-0059,1912,8.62,311116,SUNSET PARK,8.48,"204,184",484858,14.78,15.94,1426002,101.43,32805,24
626 SUTTER AVENUE,CROWN HEIGHTS,41 KOSCIUSZKO STREET,17.07,"96,048",213 TAAFFE PLACE,3-01925-0007,1930,4.24,1843745,EAST NEW YORK,6.82,"804,857",1760019,17.07,16.08,6744000,16.84,103106,90
405 FLUSHING AVENUE,WILLIAMSBURG-SOUTH,354 SOUTH 2 STREET,15.84,"23,000",189 ROSS STREET,3-02183-0058,1915,13.3,408672,WILLIAMSBURG-CENTRAL,8.06,"229,306",731963,18.75,20.7,2998001,40.61,39038,35
23 HEYWARD STREET,WILLIAMSBURG-SOUTH,367 SOUTH 2 STREET,18.75,"19,900",370 SOUTH 2 STREET,3-02424-0016,1920,13.49,431272,WILLIAMSBURG-CENTRAL,10.24,"177,309",1020434,18.97,21.08,3369001,39.95,53792,24
675 SACKETT STREET, ,337 STATE STREET,19.35, ,25 LAFAYETTE AVENUE,3-02108-0021, ,6.57,525261,PARK SLOPE,8.48, ,1029202,20.68,22.01,4461003, ,49768,35
72 BERRY STREET, ,193 NORTH 9 STREET,19.82, ,144 NORTH 10 STREET,3-02304-0015, ,12.32,728416,WILLIAMSBURG-NORTH,9.94, ,711366,19.87,33.29,2544997, ,35801,23
49 THROOP AVENUE,WILLIAMSBURG-SOUTH,373 SOUTH 2 STREET,18.75,"22,050",370 SOUTH 2 STREET,3-02424-0016,1916,8.91,431272,WILLIAMSBURG-EAST,8.44,"229,443",754350,18.75,18.97,2982003,39.50,40232,24
105 OCEANA DRIVE EAST,BENSONHURST,243 KINGSTON AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,16.34,429829,BRIGHTON BEACH,10.57,"555,180",3560438,23.5,23.5,14281997,62.58,151508,16
246 SUMPTER STREET,OCEAN HILL,334 CHAUNCEY STREET,15.1,"20,000",138 HOPKINSON AVENUE,3-01532-0030,1910,7.6,442008,OCEAN HILL,6.97,"93,149",208403,13.59,13.59,672000,47.15,15335,52
70 OCEANA DRIVE WEST, ,156 WEST END AVENUE,19.45, ,161 CORBIN PLACE,3-08719-0073, ,8.61,964944,BRIGHTON BEACH,8.79, ,1194134,18.32,16.37,4468003, ,65182,63
110 LIVINGSTON STREET,BROOKLYN HEIGHTS,110 REMSEN STREET,23.34,"31,692",200 CLINTON STREET,3-00275-0001,1921,8.43,1704846,DOWNTOWN-FULTON MALL,10.81,"376,744",8552897,26.36,25.12,36510998,134.83,324465,94
99 KINGSLAND AVENUE, ,661 MEEKER AVENUE,23.41, ,33 KINGSLAND AVENUE,3-02875-0056, ,,131478,GREENPOINT,8.55, ,270712,19.0,15.8,1068000, ,14248,12
238 56 STREET,SUNSET PARK,602 44 STREET,25.74,"4,500",224 54 STREET,3-00821-0012,1930,12.22,277951,BUSH TERMINAL,16.66,"49,733",254672,25.74,30.93,603000,159.78,9894,18
60 BROADWAY,WILLIAMSBURG-NORTH,240 WYTHE AVENUE,24.2,"105,718",145 SOUTH 3 STREET,3-02418-0040,1930,11.32,1451589,WILLIAMSBURG-SOUTH,10.57,"1,302,446",3476261,23.5,26.2,12711003,155.81,147926,66
306 GOLD STREET, ,25 MONROE PLACE,30.09, ,99 GOLD STREET,3-00056-0003, ,10.58,3305618,DOWNTOWN-METROTECH,8.84, ,8025628,29.51,28.92,42149030, ,271963,88
82 SPENCER STREET,WILLIAMSBURG-SOUTH,347 SOUTH 3 STREET,24.6,"24,126",362 SOUTH 2 STREET,3-02424-0012,1920,11.74,521344,BEDFORD STUYVESANT,9.46,"320,801",223144,21.45,21.45,914999,43.52,10403,30
2475 OCEAN AVENUE,SHEEPSHEAD BAY,2350 OCEAN AVENUE,15.72,"97,157",2035 EAST 16 STREET,3-07321-0066,1963,8.88,726300,MADISON,7.09,"784,572",190633,17.73,17.73,820000,54.00,10752,65
367 CLASSON AVENUE,BEDFORD STUYVESANT,908 BEDFORD AVENUE,16.2,"26,000",902 BEDFORD AVENUE,3-01914-0035,2005,8.03,210543,BEDFORD STUYVESANT,7.28,"206,197",216800,18.22,18.22,937000,74.04,11899,18
266 KEAP STREET,WILLIAMSBURG-SOUTH,347 SOUTH 3 STREET,15.84,"23,000",189 ROSS STREET,3-02183-0058,1915,11.74,408672,WILLIAMSBURG-CENTRAL,11.59,"229,306",487125,18.75,21.45,1337001,40.61,25980,35
6911 SHORE ROAD, ,150 MARINE AVENUE,16.14, ,125 96 STREET,3-06120-0046, ,9.14,696957,BAY RIDGE,7.29, ,556197,18.23,20.32,2286001, ,30510,58
2475 EAST 11 STREET, ,2685 HOMECREST AVENUE,15.55, ,2611 EAST 13 STREET,3-07458-0001, ,9.66,950461,SHEEPSHEAD BAY,8.16, ,905285,15.07,18.13,2855000, ,60072,64
523 BROOKLYN AVENUE,FLATBUSH-NORTH,555 RUTLAND ROAD,13.34,"27,700",546 MIDWOOD STREET,3-04804-0006,1924,7.2,405645,FLATBUSH-NORTH,6.05,"193,623",277878,11.19,15.34,848000,41.23,24834,42
117 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,226 SOUTH 1 STREET,19.39,"15,836",233 SOUTH 2 STREET,3-02408-0038,1915,10.17,260030,WILLIAMSBURG-SOUTH,8.87,"231,687",181580,20.0,20.0,720999,48.37,9079,11
400 BEDFORD AVENUE, ,313 SOUTH 4 STREET,25.29, ,350 BEDFORD AVENUE,3-02430-0021, ,10.58,212466,WILLIAMSBURG-SOUTH,5.37, ,59326,8.48,24.61,182000, ,6996,16
156 SACKETT STREET,FORT GREENE,337 STATE STREET,31.36,"27,144",18 SIDNEY PLACE,3-00263-0044,1900,6.57,309659,COBBLE HILL-WEST,9.9,"226,573",530925,22.01,22.01,2138000,78.91,24122,18
618 DEAN STREET,PROSPECT HEIGHTS,214 PROSPECT PLACE,17.32,"17,116",93 UNDERHILL AVENUE,3-01153-0010,1931,7.33,568859,PROSPECT HEIGHTS,7.78,"147,144",573638,17.32,15.46,2281001,106.04,33120,35
96 SOUTH PORTLAND AVENUE, ,140 LAFAYETTE AVENUE,23.14, ,416 ADELPHI STREET,3-01957-0047, ,9.77,166844,FORT GREENE,10.32, ,118592,18.53,24.53,378000, ,6400,10
393 DEAN STREET, , ,23.42, ,325 1 STREET,3-00965-0071, ,,557449,PARK SLOPE,8.04, ,501194,22.96,,1937998, ,21829,32
2569 OCEAN AVENUE, ,2654 EAST 23 STREET,18.13, ,2685 HOMECREST AVENUE,3-07457-0046, ,9.11,991071,SHEEPSHEAD BAY,9.54, ,1223210,18.6,19.07,4287002, ,65764,76
556 STATE STREET,FORT GREENE,337 STATE STREET,19.35,"19,350",25 LAFAYETTE AVENUE,3-02108-0021,1928,6.57,525261,BOERUM HILL,6.57,"260,769",1541514,22.01,22.01,7919009,120.93,70037,35
343 4 AVENUE, ,78 PROSPECT PARK WEST,21.08, ,1601 8 AVENUE,3-01109-0001, ,7.73,3101731,PARK SLOPE,7.51, ,2474700,21.46,21.97,12073993, ,115310,201
653 HICKS STREET,FORT GREENE,18 SIDNEY PLACE,22.01,"27,144",337 STATE STREET,3-00171-0049,1900,11.42,875152,CARROLL GARDENS,8.36,"226,573",1244489,22.01,31.36,5524001,78.91,56542,60
2 WEST END AVENUE, ,120 OCEAN PARKWAY,11.81, ,2211 DITMAS AVENUE,3-05186-0038, ,4.64,671422,BRIGHTON BEACH,6.27, ,1194222,11.2,10.59,2860000, ,106627,48
616 BEDFORD AVENUE,WILLIAMSBURG-SOUTH,370 SOUTH 2 STREET,15.84,"19,900",189 ROSS STREET,3-02183-0058,1920,9.97,408672,WILLIAMSBURG-CENTRAL,7.69,"177,309",375000,18.75,18.75,1589999,39.95,20000,35
859 60 STREET,SUNSET PARK,5314 6 AVENUE,16.5,"27,648",5301 6 AVENUE,3-00817-0005,1910,7.66,586784,BOROUGH PARK,7.66,"192,311",359003,14.7,14.7,3567533,40.83,24422,32
285 DRIGGS AVENUE,WILLIAMSBURG-SOUTH,260 SOUTH 1 STREET,21.45,"14,470",262 SOUTH 1 STREET,3-02409-0009,1911,14.63,339614,GREENPOINT,8.79,"221,366",274689,21.45,21.45,1188001,49.14,12806,24
72 CLOVE ROAD,CROWN HEIGHTS,1159 CARROLL STREET,20.12,"16,600",421 ROGERS AVENUE,3-01320-0003,1915,7.87,108650,CROWN HEIGHTS,8.7,"133,262",1182991,18.18,18.18,4440000,52.41,65071,12
357 9 STREET,PARK SLOPE,136 PROSPECT PARK WEST,21.97,"35,310",78 PROSPECT PARK WEST,3-01081-0043,1920,11.25,903286,PARK SLOPE,8.8,"327,122",812905,21.46,22.03,3517000,76.52,37880,41
17 JUDGE STREET, ,144 NORTH 10 STREET,20.12, ,122 BOERUM STREET,3-03079-0012, ,4.87,138335,WILLIAMSBURG-EAST,6.77, ,276863,19.18,19.82,1285002, ,14435,8
364 ST MARK'S AVENUE,CROWN HEIGHTS,1159 EASTERN PARKWAY,17.9,"18,124",494 STERLING PLACE,3-01174-0021,1917,9.24,358000,CROWN HEIGHTS,8.03,"345,141",345385,20.07,20.07,1487999,31.45,17209,13
148 COZINE AVENUE,CROWN HEIGHTS,243 KINGSTON AVENUE,11.89,"124,472",280 LIVONIA AVENUE,3-03590-0011,1982,16.34,3554466,EAST NEW YORK,4.85,"1,557,637",414500,7.83,23.5,1046990,47.18,52920,264
69 CARROLL STREET,DOWNTOWN-FULTON MALL,54 LIVINGSTON STREET,31.36,"39,770",18 SIDNEY PLACE,3-00263-0044,1930,9.27,309659,COBBLE HILL-WEST,9.02,"261,107",338822,22.01,19.44,1463999,113.08,15394,18
230 NORTH 8 STREET,WILLIAMSBURG-SOUTH,548 DRIGGS AVENUE,26.77,"10,586",83 ROEBLING STREET,3-02322-0001,2001,6.45,903488,WILLIAMSBURG-NORTH,8.22,"37,636",1052164,20.05,21.46,4438997,148.40,52477,15
5423 7 AVENUE,FORT GREENE,337 STATE STREET,18.06,"27,144",1106 PRESIDENT STREET,3-01281-0027,1900,6.57,263643,SUNSET PARK,8.35,"226,573",173840,19.35,22.01,708998,78.91,8984,16
1764 EAST 19 STREET,MADISON,1641 EAST 18 STREET,17.5,"13,900",2151 OCEAN AVENUE,3-06783-0055,1926,4.52,336000,MADISON,7.69,"132,685",432180,17.5,17.5,1735998,48.63,24696,12
1633 WEST 6 STREET,GRAVESEND,1905 WEST 10 STREET,16.08,"13,824",2302 WEST 12 STREET,3-07161-0007,1978,7.26,217710,GRAVESEND,7.26,"120,030",248770,16.03,16.03,977000,31.76,15519,12
7620 BAY PARKWAY, ,161 CORBIN PLACE,19.53, ,2160 78 STREET,3-06264-0029, ,10.23,1004184,BENSONHURST,6.47, ,531588,18.49,19.45,2485000, ,28750,52
551 FLUSHING AVENUE,WILLIAMSBURG-SOUTH,385 SOUTH 2 STREET,20.7,"23,467",354 SOUTH 2 STREET,3-02424-0006,1915,9.76,499299,WILLIAMSBURG-CENTRAL,8.49,"275,528",344386,20.7,19.48,1493004,45.13,16637,29
298 WALLABOUT STREET,WILLIAMSBURG-SOUTH,370 SOUTH 2 STREET,20.7,"28,800",354 SOUTH 2 STREET,3-02424-0006,1920,9.97,499299,WILLIAMSBURG-CENTRAL,8.49,"388,575",668424,20.7,18.75,2897001,44.31,32291,29
40 OCEANA DRIVE, ,156 WEST END AVENUE,18.32, ,3161 BRIGHTON 6 STREET,3-08693-0012, ,8.61,2198400,BRIGHTON BEACH,8.79, ,2682762,18.32,16.37,10037004, ,146439,154
382 WILLOUGHBY AVENUE,CROWN HEIGHTS,299 ADELPHI STREET,28.46,"10,848",80 GREENE AVENUE,3-01959-0027,1931,9.31,2033930,BEDFORD STUYVESANT,9.02,"106,853",1217648,18.79,18.79,4550000,96.61,64803,97
145 PROSPECT PARK WEST, ,325 1 STREET,29.56, ,96 STERLING PLACE,3-00945-0019, ,8.63,532617,PARK SLOPE,8.04, ,534509,22.96,23.42,2386970, ,23280,25
515 5 AVENUE, ,204 14 STREET,19.89, ,307 12 STREET,3-01023-0069, ,7.87,345457,PARK SLOPE SOUTH,9.73, ,356722,20.73,21.57,1357001, ,17208,25
1077 54 STREET, ,2219 64 STREET,12.43, ,6301 23 AVENUE,3-06558-0008, ,6.87,369041,BOROUGH PARK,6.78, ,225610,13.24,14.04,806996, ,17040,35
708 6 AVENUE, ,266 22 STREET,20.13, ,252 18 STREET,3-00879-0013, ,8.62,418988,SUNSET PARK,6.43, ,433736,18.04,15.94,2044001, ,24043,18
2408 OCEAN AVENUE, ,2151 OCEAN AVENUE,17.5, ,1641 EAST 18 STREET,3-06781-0061, ,3.91,273875,MADISON,4.52, ,437658,17.5,17.5,2342999, ,25009,12
34 BROADWAY,WILLIAMSBURG-SOUTH,226 SOUTH 1 STREET,25.27,"21,150",204 SOUTH 1 STREET,3-02407-0015,1905,10.17,357936,WILLIAMSBURG-SOUTH,11.8,"264,301",495734,24.59,20.0,1873999,87.90,20160,13
106 BATTERY AVENUE,BRIGHTON BEACH,2160 78 STREET,26.73,"120,000",142 ST PAUL'S PLACE,3-05079-0019,1983,10.8,429829,BAY RIDGE,8.13,"1,054,800",157959,19.53,19.53,661002,58.75,8088,16
381 CARLTON AVENUE,CLINTON HILL,537 CLINTON AVENUE,25.46,"35,820",313 CUMBERLAND STREET,3-02119-0001,1931,10.1,2087709,FORT GREENE,9.64,"295,413",912141,23.51,20.38,3925001,111.31,38798,86
5 UNKNOWN,WILLIAMSBURG-SOUTH,367 SOUTH 2 STREET,20.7,"20,295",354 SOUTH 2 STREET,3-02424-0006,1915,13.49,499299,WILLIAMSBURG-CENTRAL,8.96,"198,149",559602,19.48,21.08,2165999,42.18,28727,29
3392 GUIDER AVENUE,BENSONHURST,243 KINGSTON AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,16.34,429829,SHEEPSHEAD BAY,9.64,"555,180",572719,23.5,23.5,2471998,62.58,24371,16
192 DE GRAW STREET, ,182 AMITY STREET,18.36, ,445 HICKS STREET,3-00310-0003, ,7.67,926754,COBBLE HILL,7.8, ,969160,18.45,18.54,4011002, ,52529,72
49 ENGERT AVENUE,GREENPOINT,178 DRIGGS AVENUE,17.62,"8,814",195 DRIGGS AVENUE,3-02700-0018,1930,3.87,206159,GREENPOINT,8.6,"98,608",618029,20.01,20.02,2519001,119.36,30886,20
730 BEDFORD AVENUE,WILLIAMSBURG-SOUTH,370 SOUTH 2 STREET,15.84,"19,900",189 ROSS STREET,3-02183-0058,1920,9.97,408672,WILLIAMSBURG-CENTRAL,7.69,"177,309",281213,18.75,18.75,1192003,39.95,14998,35
770 LEFFERTS AVENUE,BEDFORD STUYVESANT,597 GRAND AVENUE,15.94,"175,628",148 ST PAUL'S PLACE,3-05079-0021,1972,4.55,256395,FLATBUSH-NORTH,7.7,"1,245,143",754447,14.89,14.89,1996500,41.59,50668,16
92 CONSELYEA STREET,WILLIAMSBURG-EAST,590 METROPOLITAN AVENUE,19.74,"14,117",334 LEONARD STREET,3-02748-0003,1930,12.44,123369,WILLIAMSBURG-EAST,8.87,"122,629",149767,19.74,22.13,588999,107.18,7587,11
320 WASHINGTON AVENUE,FORT GREENE,54 LIVINGSTON STREET,28.46,"27,144",80 GREENE AVENUE,3-01959-0027,1900,9.27,2033930,CLINTON HILL,9.27,"226,573",564810,19.44,19.44,1726990,78.91,29054,97
147 BAY 20 STREET, ,142 ST PAUL'S PLACE,12.67, ,350 OCEAN AVENUE,3-05053-0033, ,12.7,206528,BATH BEACH,9.72, ,284901,19.7,26.73,1054000, ,14462,22
4111 18 AVENUE,OCEAN PARKWAY-NORTH,463 AVENUE P,14.79,"22,600",624 OCEAN PARKWAY,3-05412-0024,1927,7.07,205559,OCEAN PARKWAY-NORTH,8.18,"194,812",226765,15.5,15.5,731000,55.00,14630,16
110 LIVINGSTON STREET, ,82 SCHERMERHORN STREET,26.36, ,323 SCHERMERHORN STREET,3-00167-0051, ,13.48,163419,DOWNTOWN-FULTON MALL,0.97, ,19706,3.57,34.62,88999, ,5520,16
970 41 STREET, ,1106 PRESIDENT STREET,19.35, ,25 LAFAYETTE AVENUE,3-02108-0021, ,9.25,525261,BOROUGH PARK,8.66, ,988225,18.71,18.06,3814998, ,52818,35
166 MONTAGUE STREET, ,141 JORALEMON STREET,23.09, ,74 MONTAGUE STREET,3-00247-0028, ,8.44,1261698,BROOKLYN HEIGHTS,2.12, ,410220,9.5,22.21,3151456, ,43181,59
129 METROPOLITAN AVENUE,WILLIAMSBURG-SOUTH,226 SOUTH 1 STREET,19.39,"15,836",233 SOUTH 2 STREET,3-02408-0038,1915,10.17,260030,WILLIAMSBURG-NORTH,8.2,"231,687",233580,20.0,20.0,985998,48.37,11679,11
525 KENT AVENUE,WILLIAMSBURG-SOUTH,226 SOUTH 1 STREET,23.15,"15,836",247 SOUTH 3 STREET,3-02421-0035,1915,10.17,503375,WILLIAMSBURG-CENTRAL,9.01,"231,687",1824237,21.45,20.0,7759011,48.37,85046,29
730 LEFFERTS AVENUE, ,700 EAST NEW YORK AVENUE,18.94, ,702 EAST NEW YORK AVENUE,3-04795-0013, ,7.2,351543,FLATBUSH-NORTH,8.05, ,264714,16.77,16.77,996000, ,15785,20
13 LORIMER STREET,WILLIAMSBURG-SOUTH,347 SOUTH 3 STREET,20.7,"20,295",354 SOUTH 2 STREET,3-02424-0006,1915,11.74,499299,WILLIAMSBURG-CENTRAL,8.96,"198,149",419015,19.48,21.45,1622004,42.18,21510,29
802 AVENUE U,OCEAN PARKWAY-SOUTH,1965 EAST 7 STREET,21.77,"32,930",1879 EAST 3 STREET,3-06681-0225,1929,10.5,800393,OCEAN PARKWAY-SOUTH,7.97,"326,992",483520,18.41,24.53,1972004,36.56,26264,50
1155 42 STREET, ,1016 44 STREET,17.6, ,1005 45 STREET,3-05608-0051, ,11.35,263934,BOROUGH PARK,8.7, ,119885,16.89,16.18,421000, ,7098,23
274 WALLABOUT STREET,WILLIAMSBURG-SOUTH,370 SOUTH 2 STREET,20.7,"28,800",354 SOUTH 2 STREET,3-02424-0006,1920,9.97,499299,WILLIAMSBURG-CENTRAL,8.49,"388,575",680078,20.7,18.75,2948000,44.31,32854,29
282 WALLABOUT STREET,WILLIAMSBURG-SOUTH,370 SOUTH 2 STREET,20.7,"28,800",354 SOUTH 2 STREET,3-02424-0006,1920,9.97,499299,WILLIAMSBURG-CENTRAL,8.49,"388,575",931500,20.7,18.75,4036998,44.31,45000,29
970 KENT AVENUE,FORT GREENE,350 KEAP STREET,28.46,"44,046",80 GREENE AVENUE,3-01959-0027,1927,11.07,2033930,BEDFORD STUYVESANT,10.0,"409,988",2660479,24.64,24.64,11490001,68.13,107974,97
560 7 AVENUE,SUNSET PARK,550 40 STREET,19.35,"10,280",308 21 STREET,3-00898-0012,1906,9.31,212366,SUNSET PARK,8.18,"98,269",247241,20.45,20.45,1086001,84.92,12090,18
222 SKILLMAN STREET,FORT GREENE,25 LAFAYETTE AVENUE,28.46,"44,046",80 GREENE AVENUE,3-01959-0027,1927,8.35,2033930,BEDFORD STUYVESANT,8.35,"409,988",1481068,19.35,19.35,6037009,68.13,76541,97
65 OCEANA DRIVE EAST,BENSONHURST,243 KINGSTON AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,16.34,429829,BRIGHTON BEACH,10.57,"555,180",2492481,23.5,23.5,9997999,62.58,106063,16
258 RICHARDSON STREET,WILLIAMSBURG-SOUTH,373 SOUTH 2 STREET,19.48,"28,800",385 SOUTH 2 STREET,3-02413-0031,1920,8.91,395336,WILLIAMSBURG-EAST,7.99,"388,575",346744,19.48,18.97,1466000,44.31,17800,22
306 2 STREET,PARK SLOPE,118 GARFIELD PLACE,21.52,"16,752",265 4 AVENUE,3-00964-0008,1920,9.22,279901,PARK SLOPE,7.49,"100,526",1688780,17.78,20.51,7047000,77.78,94982,14
873 42 STREET, ,58 CHURCH AVENUE,18.78, ,1358 64 STREET,3-05747-0031, ,9.76,152148,BOROUGH PARK,8.41, ,246202,18.68,18.57,903000, ,13180,13
1159 42 STREET, ,1016 44 STREET,17.6, ,1005 45 STREET,3-05608-0051, ,11.35,263934,BOROUGH PARK,8.7, ,92895,16.89,16.18,326001, ,5500,23
149 8 AVENUE, ,110 EMPIRE BOULEVARD,12.12, ,104 EMPIRE BOULEVARD,3-01313-0031, ,6.59,215736,FLATBUSH-LEFFERTS GARDEN,4.84, ,214282,12.12,12.12,817999, ,17680,20
15 LYNCH STREET,WILLIAMSBURG-SOUTH,347 SOUTH 3 STREET,20.7,"28,800",354 SOUTH 2 STREET,3-02424-0006,1920,11.74,499299,WILLIAMSBURG-CENTRAL,10.35,"388,575",553973,20.7,21.45,2034999,44.31,26762,29
226 ST JAMES PLACE,CLINTON HILL,262 ST JAMES PLACE,29.27,"38,194",487 CLINTON AVENUE,3-01977-0004,1930,10.76,274376,CLINTON HILL,10.76,"266,258",193463,26.25,26.25,754002,44.48,7370,20
2615 EAST 17 STREET, ,2685 HOMECREST AVENUE,26.84, ,2801 EMMONS AVENUE,3-08792-0063, ,9.66,1209249,SHEEPSHEAD BAY,9.18, ,610227,18.93,18.13,2350002, ,32236,55
8405 13 AVENUE, ,1312 68 STREET,17.52, ,911 83 STREET,3-06011-0052, ,9.93,301344,DYKER HEIGHTS,7.67, ,164027,17.04,16.56,657998, ,9626,23
149 TAYLOR STREET,WILLIAMSBURG-SOUTH,189 ROSS STREET,12.48,"23,400",200 ROSS STREET,3-02188-0016,1912,7.92,311875,WILLIAMSBURG-CENTRAL,7.13,"237,872",407151,15.84,15.84,1529998,70.34,25704,30
