db_entity_name,candfirst,intzip,refunddate,schedule,date,empstrname,filing,occupation,matchamnt,intempstnm,candmi,canclass,empstate,pay_method
"FEDERATION OF PROTESTANT WELFARE AGENCIES, INC.",Bill,,,ABC,2017-01-09T00:00:00.000,Broad St.,6,Management and Attorney,0.0,,,P,NY,4.0
FASHION INSTITUTE OF TECHNOLOGY,Bill,,,ABC,2016-06-20T00:00:00.000,W 27th St,5,Director Gov and Community Re,0.0,,,P,NY,4.0
QUEENS LESBIAN AND GAY PRIDE COMMITTEE,Bill,,,ABC,2016-06-22T00:00:00.000,Box 720424,5,Director,0.0,,,P,NY,2.0
,Bill,,2017-12-05T00:00:00.000,M,,,16,,0.0,,,P,,
,Bill,,2017-12-05T00:00:00.000,M,,,16,,0.0,,,P,,
INNER FORCE TOTS INC,Bill,,,ABC,2016-06-08T00:00:00.000,E New York Ave.,5,Inner Force,0.0,,,P,NY,4.0
"THE ICKES AND ENRIGHT GROUP, INC.",Bill,20007.0,,ABC,2016-01-11T00:00:00.000,Connecticut Ave NW,4,Principle,0.0,Connecticut Ave NW,,P,DC,2.0
CATHOLIC SCHOOL REGION OF STATEN ISLAND,Nicole,,,ABC,2017-06-09T00:00:00.000,,9,,0.0,,,P,,2.0
,Bill,,2017-12-05T00:00:00.000,M,,,16,,0.0,,,P,,
"VIOLENCE INTERVENTION PROGRAM, INC.",Bill,,,ABC,2017-07-17T00:00:00.000,PO Box 1161,10,Administrator,0.0,,,P,NY,4.0
SOUTH BROOKLYN LEGAL SERVICES INC.,Bill,,,ABC,2017-06-17T00:00:00.000,Fulton Street Suite 301,9,lawyer,0.0,,,P,NY,4.0
TURNER & TOWNSEND INC.,Paul,10567.0,,ABC,2017-02-26T00:00:00.000,East 26th Street,7,Consultant,0.0,Broadway,J,NP,NY,4.0
SACKMAN PROPERTY LLC,Bill,,,ABC,2017-02-09T00:00:00.000,East 12th Street,7,Real Estate Manager,0.0,,,P,NY,4.0
"SANCTUARY FOR FAMILIES, INC.",Bill,,,ABC,2017-10-16T00:00:00.000,Wall Street 8th Floor,14,Lawyer,0.0,,,P,NY,4.0
TURNING POINT RED HOOK HDFC-HENRY STREET HOUSE,Nicole,,,ABC,2017-07-06T00:00:00.000,Cortlandt Street,9,Manager,0.0,,,P,NY,4.0
VISUAL ARTS RESEARCH & RESOURCE CENTER RELATING TO THE CARIBBEAN,Bill,,,ABC,2017-08-22T00:00:00.000,east 125 st,11,Arts,0.0,,,P,NY,4.0
LIFE OF HOPE INC,Bill,,,ABC,2017-08-26T00:00:00.000,7th Ave,11,teacher,0.0,,,P,NY,4.0
CONSTANTINOPLE & VALLONE CONSULTING LLC,Josh,,,ABC,2016-06-23T00:00:00.000,Broadway,5,Consultant,0.0,,,UN,NY,4.0
,Paul,,2017-03-29T00:00:00.000,M,,,8,,0.0,,J,NP,,
ARMSTONG ROOFING CORP.,Bill,,,ABC,2016-07-11T00:00:00.000,Hillcrest St.,5,Owner,0.0,,,P,NY,4.0
IANNELLI CONSTRUCTION CO. INC.,Nicole,,,ABC,2017-07-10T00:00:00.000,3rd Avenue,9,General Contractor,0.0,,,P,NY,2.0
"COMMUNITY HEALTH PROJECT, INC.",Bill,,,ABC,2017-06-27T00:00:00.000,W 18th street,9,CEO,0.0,,,P,NY,2.0
CHILDREN OF BELLEVUE INC,Bill,,,ABC,2017-01-07T00:00:00.000,,6,Sr. Directore of Org. Effectiv,0.0,,,P,,4.0
616 FIRST AVENUE LLC,Bill,10029.0,,ABC,2015-12-24T00:00:00.000,Fifth Avenue,4,Real Estate Developer,0.0,Broadway,,P,NY,5.0
KEYS TO ABUNDANT LIFE INC,Bill,,,ABC,2016-10-19T00:00:00.000,Park Terrace East,6,CEO,0.0,,,P,NY,4.0
ROCKAWAY BEACH BLVD. CONST. CO. LLC,Bill,,,ABC,2016-11-21T00:00:00.000,Brentwood Court,6,Self-employed,0.0,,,P,NY,4.0
"LANMARK GROUP, INC.",Nicole,,,ABC,2017-10-20T00:00:00.000,MILL AVE,14,CONTRUCTION,0.0,,,P,NY,2.0
JACKSON LEWIS P.C.,Bill,,,ABC,2017-10-28T00:00:00.000,E 42nd St.,15,Attorney,0.0,,,P,NY,4.0
927 COLUMBUS AVENUE DEVELOPMENT FUND CORPORATION,Bill,,,ABC,2017-09-22T00:00:00.000,Beaver Street,13,Manager,0.0,,,P,NY,4.0
PARK STRATEGIES LLC,Bill,,,ABC,2017-05-05T00:00:00.000,Park Ave,8,Vice President,0.0,,,P,NY,4.0
THE KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,Bill,,,ABC,2017-09-21T00:00:00.000,32nd Avenue,13,Nonprofit Executive Director,150.0,,,P,NY,4.0
,Paul,,2017-03-29T00:00:00.000,M,,,8,,0.0,,J,NP,,
THE GUILD FOR EXCEPTIONAL CHILDREN INC,Nicole,,,ABC,2017-05-05T00:00:00.000,68th Street,8,Exec Director,0.0,,,P,NY,4.0
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,Bill,,,ABC,2017-01-07T00:00:00.000,West 116th Street,6,Gov and Community Affairs,0.0,,,P,NY,4.0
NEW YORK LAW SCHOOL,Nicole,,,ABC,2017-10-23T00:00:00.000,S FRANKLIN STREET,14,EXEC,0.0,,,P,FL,4.0
HABNET-HAITIAN AMERICAN BUSINESS NETWORK CHAMBER OF COMMERCE,Bill,,,ABC,2016-05-12T00:00:00.000,Centre St.,5,Financial Analyst,0.0,,,P,NY,4.0
ASPCA,Bill,,,ABC,2017-08-31T00:00:00.000,8th Ave,12,Legislative Director,0.0,,,P,NY,4.0
NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,Bill,,,ABC,2017-09-13T00:00:00.000,201 Street,12,Not Employed,0.0,,,P,NY,4.0
"SKY LIGHT CENTER, INC",Nicole,,,ABC,2017-06-01T00:00:00.000,Victory Boulevard,9,Banker,0.0,,,P,NY,4.0
"GREENBERG TRAURIG, LLP",Bill,10025.0,,ABC,2015-10-26T00:00:00.000,Park Avenue,4,"Chair, New York Government Law",0.0,Park Avenue,,P,NY,2.0
ARMSTONG ROOFING CORP.,Bill,,,ABC,2017-01-09T00:00:00.000,Hillcrest St.,6,Owner,0.0,,,P,NY,4.0
GLOBAL STRATEGY GROUP LLC,Bill,,,ABC,2015-10-27T00:00:00.000,Broadway,4,Market Research,0.0,,,P,NY,4.0
CONNELLY AND MCLAUGHLIN,Bill,11105.0,,ABC,2015-10-29T00:00:00.000,Fulton St,4,Consultant,0.0,Broadway,,P,NY,2.0
"BETHANY DAY NURSERY, INC.",Bill,,,ABC,2017-11-10T00:00:00.000,West 152nd Street,15,Director,0.0,,,P,NY,4.0
METROTECH AREA DMA INC,Sal,,,ABC,2017-07-10T00:00:00.000,Waldorf Court,9,Consultant,0.0,,F,P,NY,4.0
,Nicole,,2017-08-02T00:00:00.000,M,,,10,,0.0,,,P,,
LITTLE RICHIE BUS SERVICE INC.,Bill,10017.0,,ABC,2015-10-28T00:00:00.000,Atlantic Ave,4,President,0.0,Third Ave,,P,NY,2.0
IMMACULATE CONCEPTION SCHOOL,Nicole,,,ABC,2017-10-10T00:00:00.000,E. 14TH,14,PRIEST,0.0,,,P,NY,2.0
