dbn,school_name,fax_number,phone_number,advancedplacement_courses,grade_span_min,priority05,addtl_info2,partner_corporate,boro,priority06,grade_span_max,state_code,subway,nta,psal_sports_boys,primary_address_line_1,community_board,city,zip
25Q241,Queens High School for Language Studies,718-888-7526,718-888-7530,,9.0,,"Uniform Required: School shirt with logo and appropriately fitted jeans, khakis, pants or skirt of the student's choice; Summer Orientation: For ninth graders at the end of August; Community Service Opportunities; Internship Opportunities",,Queens,,12,NY,7 to Flushing - Main St,Flushing                                                                   ,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",35-01 UNION STREET,7.0, QUEENS,11354
03M402,The Urban Assembly School for Green Careers,212-787-1455,212-787-1189,English,9.0,,"Academic Portfolio for assessment; All students participate in summer learning experiences; Participation in an internship or college coursework is required; Internships with external partners (Friends of Roosevelt Park, NYC Parks Department, AMNH, Grow NYC)","Jonathan Rose Companies, Thornton Tomasetti, Inc., Con Edison",Manhattan,,12,NY,"2, 3 to 96th St ; 1, B, C to 86th St",Upper West Side                                                            ,"Baseball, Basketball, Bowling, Soccer, Volleyball",145 WEST 84 STREET,7.0, MANHATTAN,10024
07X427,Community School for Social Justice,718-402-8650,718-402-8481,,9.0,,Summer Orientation: Bridge Program for incoming 9th graders and an Orientation program for parents/guardians.; After-school Homework Help; Saturday Program offered (including preparation for Performance-based Assessment Tasks (PBATs)),Deloitte LLP - Deloitte Academy,Bronx,,12,NY,"2 to 149th St-Grand Concourse ; 6 to 138th St-3rd Ave ; 3 to 145th St ; 4, 5 to 138th St - Grand Concourse",West Concourse                                                             ,"Baseball, Basketball, Soccer",350 GERARD AVENUE,1.0, BRONX,10451
05M369,Urban Assembly School for the Performing Arts,212-234-4975,212-543-4460,,9.0,,"Uniform Required: Official three-button polo shirt with school logo (must be purchased from our school), khaki pants, black shoes",,Manhattan,,12,NY,"1, A, B, C, D to 125th St",Manhattanville                                                             ,Basketball,509 WEST 129 STREET,9.0, MANHATTAN,10027
09X231,Eagle Academy for Young Men,718-466-8090,718-466-8000,,6.0,Then to Bronx students or residents,"This is an all-boys school; Required uniform: Light blue shirt, Eagle Academy tie, gray slacks, black shoes, black belt; Summer Orientation: Summer Bridge program for incoming students in July (3 weeks)","Microsoft, News Corporation",Bronx,Then to New York City residents,12,NY,,Claremont-Bathgate                                                         ,"Basketball, Wrestling",4143 THIRD AVENUE,6.0, BRONX,10457
20K505,Franklin Delano Roosevelt High School,718-232-9513,718-621-8800,"Biology, Calculus, Chemistry, Chinese Language and Culture, English, European History, Statistics, United States History",9.0,,Our school utilizes Pupilpath to keep parents informed about attendance and grades,,Brooklyn,,12,NY,N to 20th Ave ; F to Bay Parkway-22nd Av,Borough Park                                                               ,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",5800 20 AVENUE,12.0, BROOKLYN,11204
14K478,"The High School for Enterprise, Business and Technology",718-387-2748,718-387-2800,"Biology, Calculus, Chemistry, English, Music Theory, Physics, Statistics, United States History, World History",9.0,,"Uniform Required: Burgundy knit polo shirt with logo, gray slacks/skirt, black belt with regular buckle, black shoes, black socks/tights.; Community Service Opportunities; Internship Opportunities","Cisco Systems Corp., Viacom/Showtime Networks",Brooklyn,,12,NY,L to Grand St,Bushwick South                                                             ,"Baseball, Basketball, Football, Handball, Soccer, Volleyball, Wrestling",850 GRAND STREET,1.0, BROOKLYN,11211
08X348,Schuylerville Preparatory High School,718-935-5089,718-904-5080,,9.0,,"Uniform Required: Black, navy blue or khaki pants, white long or short sleeved button down shirt with collar or school polo, red or blue tie (boys), black or brown dress shoes.; Summer Orientation for incoming ninth graders in September (2-3 days); Our grading is aligned to the university 4.0 model; Internship Opportunities",,Bronx,,12,NY,6 to Westchester Sq - East Tremont Ave,Schuylerville-Throgs Neck-Edgewater Park                                   ,"Baseball, Basketball, Cross Country, Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Tennis, Wrestling",3000 EAST TREMONT AVENUE,10.0, BRONX,10461
07X520,Foreign Language Academy of Global Studies,718-585-4239,718-585-4024,"English, Environmental Science",9.0,,"Dress Code Required: White button-down shirt/blouse, dress slacks/skirt, dress shoes. Boys wear a tie; Summer Orientation Program: In July for incoming ninth graders",,Bronx,,12,NY,"2, 5 to Jackson Ave ; 6 to East 143rd St-St Mary's St",Mott Haven-Port Morris                                                     ,,470 JACKSON AVENUE,1.0, BRONX,10455
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",718-796-7051,718-432-6491,"Biology, English, Statistics, United States History",9.0,,"Uniform Required: Scrub tops, a different color for each grade; Satuday Program offered: Saturday Math and Science Academy, Saturday Regents Prep Program; Internship Opportunities",,Bronx,,12,NY,1 to 231st St,Van Cortlandt Village                                                      ,Soccer,120 WEST 231 STREET,8.0, BRONX,10463
15K519,Cobble Hill School of American Studies,718-403-9553,718-403-9544,"English, United States Government and Politics, United States History, World History",9.0,,Ninth grade Bridge Program,,Brooklyn,,12,NY,"F, G to Bergen St ; 2, 3 to Hoyt St ; A, C to Hoyt & Schermerhorn",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"Baseball, Basketball",347 BALTIC STREET,6.0, BROOKLYN,11201
22K425,James Madison High School,718-758-7341,718-758-7200,"Biology, Calculus, Chemistry, Computer Science A, Economics, English, Spanish, Statistics, United States Government and Politics, United States History, World History",9.0,,,"Citigroup, Federal Reserve Challenge (FED) Mentoring Program, Cadwalader, Wickersham & Taft LLP",Brooklyn,,12,NY,,Madison                                                                    ,"Badminton, Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",3787 BEDFORD AVENUE,15.0, BROOKLYN,11229
17K122,Pathways in Technology Early College High School (P-Tech),718-221-1781,718-221-1593,,9.0,,Saturday Academy; Extended Year Program; Summer Orientation: For Incoming ninth graders; Internship Opportunities,,Brooklyn,,14,NY,C to Kingston-Throop ; 3 to Kingston Ave ; A to Utica Ave,Crown Heights North                                                        ,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Tennis",150 ALBANY AVENUE,8.0, BROOKLYN,11213
21K525,Edward R. Murrow High School,718-252-2611,718-258-9283,"Biology, Calculus, Chemistry, Chinese Language and Culture, Economics, English, Environmental Science, French Language and Culture, Italian Language and Culture, Music Theory, Physics, Spanish, Statistics, United States Government and Politics, United States History",9.0,,Extended Day Program,"All-Ways Advertising Company, Inc.",Brooklyn,,12,NY,"B, Q to Ave M",Midwood                                                                    ,"Bowling, Volleyball, Wrestling",1600 AVENUE L,14.0, BROOKLYN,11230
02M288,Food and Finance High School,212-586-4205,212-586-2943,"English, Environmental Science, United States History",9.0,,"Uniform Required: Solid white or blue school polo shirt with logo, black or khaki pants, and a chef's uniform in all culinary classes. In cold weather: Black cardigan/sweater vest; Additional Requirements: Year 1 and year 2 of the ProStart Exams, National Occupancy Competency Testing Institute (NOCTI) hands-on practical, complete at least 400 hours of paid work experience, pass the NYC Food Handlers Certificate and the national Serve Safe Exam; In order to qualify for scholarships, students should participate in numerous highly competitive culinary competitions",Food Network and Sysco Foods,Manhattan,,12,NY,"C, E to 50th St",Clinton                                                                    ,"Baseball, Basketball, Bowling, Cross Country, Soccer, Tennis, Volleyball",525 WEST 50TH STREET,4.0, MANHATTAN,10019
14K454,Green School: An Academy for Environmental Careers,718-387-7945,718-599-1207,"English, Environmental Science, United States History",9.0,,Dress Code Required; Internship Opportunities,Waste Management Corporation,Brooklyn,,12,NY,"L to Grand St ; G to Metropolitan Ave-Lorimer St ; J, M to Lorimer St",East Williamsburg                                                          ,Wrestling,223 GRAHAM AVENUE,1.0, BROOKLYN,11206
28Q328,High School for Community Leadership,718-558-9807,718-558-9801,"Biology, Chemistry, English",9.0,,"Dress Code Required: White collared button-down shirt/blouse, navy blue pants/skirt, black shoes. Boys wear a tie; Internship Opportunities",,Queens,,12,NY,F to 169th St,Briarwood-Jamaica Hills                                                    ,"Baseball, Basketball, Bowling, Fencing, Football, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",167-01 GOTHIC DRIVE,8.0, JAMAICA,11432
06M467,High School for Law and Public Service,212-781-9516,212-342-6130,"Calculus, English, Psychology, Spanish, United States History, World History",9.0,,Community Service Opportunities; Saturday Regents Review Classes,Health Corp.,Manhattan,,12,NY,1 to 191st St ; A to 190th St,Washington Heights North                                                   ,"Baseball, Basketball, Football, Soccer, Swimming, Wrestling",549 AUDUBON AVENUE,12.0, MANHATTAN,10040
02M416,Eleanor Roosevelt High School,212-772-1440,212-772-1220,"Art History, Biology, Calculus, Chemistry, Comparative Government and Politics, Economics, English, Music Theory, Spanish, Statistics, Studio Art, United States History, World History",9.0,,,,Manhattan,,12,NY,6 to 77th St,Lenox Hill-Roosevelt Island                                                ,"Baseball, Basketball, Outdoor Track, Soccer, Tennis",411 EAST 76 STREET,8.0, MANHATTAN,10021
27Q480,John Adams High School,718-738-9077,718-322-0500,"Biology, English, Environmental Science, Spanish, United States Government and Politics, United States History",9.0,,,,Queens,,12,NY,A to 104th St-Oxford Ave,South Ozone Park                                                           ,"Baseball, Basketball, Bowling, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball",101-01 ROCKAWAY BOULEVARD,10.0, QUEENS,11417
12X479,Bronx Career and College Preparatory High School,718-542-4377,718-542-4011,,9.0,,Internship Opportunities,"Quests & Summits, Inc., New Teacher Center",Bronx,,12,NY,"2, 5 to Intervale Ave",Longwood                                                                   ,,800 HOME STREET,3.0, BRONX,10456
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,212-724-5748,212-496-0700,"Art History, Biology, Calculus, Chemistry, English, Environmental Science, French Language and Culture, Italian Language and Culture, Japanese Language and Culture, Music Theory, Physics, Psychology, Spanish, Statistics, Studio Art, United States History, World History",9.0,,,"Sony Music, Warner Music Group, Capital Cities ABC, The Walt Disney Company",Manhattan,,12,NY,"A, B, C, D to 59th St-Columbus Circle ; 2, 3 to 72nd St ; 1 to 66th St - Lincoln Center",Lincoln Square                                                             ,"Baseball, Basketball, Cross Country, Fencing, Gymnastics, Indoor Track, Outdoor Track, Soccer, Volleyball",100 AMSTERDAM AVENUE,7.0, MANHATTAN,10023
13K605,George Westinghouse Career and Technical Education High School,718-596-9434,718-625-6130,"English, United States History, World History",9.0,,Appropriate dress is always required. Every Wednesday is Dress for Success Day and every Friday is School Spirit Day.; Internship Opportunities,"HSBC Bank, Bezos Family Foundation, Bloomberg LLP, Edward. J. Malloy Initiative for Construction Skills, Forest City Ratner Company, Ikon Business Group, Jeffrey Smalls Electrical Construction Co., MTA, Metrotech BID, National Grid, NBC Universal, New York State Division of Housing, School Construction Authority, Solar One, Time Warner Cable, United Electric, Inc., Verizon",Brooklyn,,12,NY,"A, C, F, M, R to Jay St-MetroTech ; B, Q to DeKalb Ave ; 2, 3, 4, 5 to Borough Hall ; G to Hoyt & Schermerhorn",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer, Tennis",105 TECH PLACE,2.0, BROOKLYN,11201
18K637,Academy for Conservation and the Environment,718-968-4296,718-968-4101,"Calculus, English, Environmental Science, United States History",9.0,,"Dress Code: Students are expected to dress in an appropriate manner, as described in our student handbook; Saturday Tutoring offered; Internship Opportunities",,Brooklyn,,12,NY,,Canarsie                                                                   ,"Baseball, Basketball, Bowling, Football, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",6565 FLATLANDS AVENUE,18.0, BROOKLYN,11236
32K552,Academy of Urban Planning,718-418-0314,718-381-7100,"Biology, Calculus, English, United States History",9.0,,"Dress Code Required: Short or long-sleeved shirt/blouse, jeans/slacks/pants/skirt (no shorter than 4 inches above the knee), sneakers/shoes; Summer Orientation: Bridge program (6 weeks) for ninth graders; Internship Opportunities; Community Service Opportunities","Environmental Systems Research Institute (ESRI), Pencil",Brooklyn,,12,NY,"L, M to Myrtle Ave-Wyckoff Ave",Bushwick North                                                             ,"Baseball, Basketball, Soccer, Volleyball",400 IRVING AVENUE,4.0, BROOKLYN,11237
15K656,Brooklyn High School of the Arts,718-596-5027,718-855-2412,"English, Human Geography, United States History, World History",9.0,,,,Brooklyn,,12,NY,"G to Fulton St ; C to Lafayette Ave ; 2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave - Barclays Center ; A to Hoyt & Schermerhorn",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,345 DEAN STREET,2.0, BROOKLYN,11217
10X351,Bronx Collaborative High School,718-543-1029,718-543-1023,,9.0,,"Dress Code Required; Holistic Discipline: Youth Peer Mediators and Restorative Justice Practices allow teachers, parents, students, and administration to support students developing positive, ethical values; Community Involvement: Students are encouraged to take action on neighborhood and world events through class projects and clubs; Internship Opportunities; Orientation: 2 spring events (all students), Summer Bridge program; Performance Based Assessment Tasks (PBATs): All students complete extensive research papers in each subject and ‘defend’ their work before a committee in order to graduate; Afterschool: Clubs, Tutoring, and Sports are available on campus from 3:15 PM – 6:15 PM daily",,Bronx,,12,NY,"4 to Mosholu Parkway ; B, D to Bedford Park Blvd",Van Cortlandt Village                                                      ,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",100 WEST MOSHOLU PARKWAY SOUTH,7.0, BRONX,10468
09X350,New Directions Secondary School,718-410-4101,718-410-4343,,6.0,Then to Bronx students or residents,Summer Session Offered; 1:1 Laptop blended learning school,,Bronx,Then to New York city residents,11,NY,"4, B, D to 170th St",East Concourse-Concourse Village                                           ,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",240 EAST 172 STREET,4.0, BRONX,10457
23K493,Brooklyn Collegiate: A College Board School,718-922-2347,718-922-1145,"Biology, Calculus, English",9.0,,"Uniform Required: black or khaki slacks, no jeans/skirt, black shoes, no sneakers or athletic shoes, white school shirt; Community Service Requirement: at least 200 hours; Extended Day Program: to 5pm Monday through Thursday.; Internship Opportunities",Merrill Lynch,Brooklyn,,12,NY,C to Rockaway Ave ; A to Broadway Junction,Ocean Hill                                                                 ,Basketball,2021 BERGEN STREET,16.0, BROOKLYN,11233
08X559,School for Tourism and Hospitality,718-401-4219,718-401-4214,,9.0,,"Dress Code Required: Dress shirt and tie, dress slacks, blazer, dark-colored shoes; Extended Day: For targeted students who need extra help; Parent Orientation in August; Summer Orientation: Retreat in mid-August; Internship Opportunities",,Bronx,,12,NY,"6 to Longwood Ave ; 2, 5 to Prospect Ave",Morrisania-Melrose                                                         ,"Baseball, Basketball, Soccer, Wrestling",900 TINTON AVENUE,3.0, BRONX,10456
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,212-245-4669,212-399-3520,,9.0,,"Uniform Required: Mather-branded shirt, lanyard, and ID tag visible at all times; Safety equipment at school and on worksites is needed; Tutoring available; Internship Opportunities; Community Service Opportunities",CTE Advisory Council,Manhattan,,12,NY,,Clinton                                                                    ,"Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball",439 WEST 49TH STREET,4.0, MANHATTAN,10019
19K615,Transit Tech Career and Technical Education High School,718-647-4458,718-647-5204,"English, Physics, United States Government and Politics, United States History",9.0,,Internship Opportunities,"New York City Transit Authority, Building Trades Local, Long Island Railroad, Amtrak, Scholars At Work, Division of Instructional and Information Technology, Department of School Facility.",Brooklyn,,12,NY,"A, C to Euclid Ave ; J, Z to Norwood Ave",East New York                                                              ,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball",1 WELLS STREET,5.0, BROOKLYN,11208
15K463,Secondary School for Journalism,718-832-0273,718-832-4201,,9.0,,,"HBO (Documentary Division), ESPN Magazine",Brooklyn,,12,NY,"D, R to 4th Ave - 9th St ; F, G to 7th Ave",Park Slope-Gowanus                                                         ,Basketball,237 7 AVENUE,6.0, BROOKLYN,11215
24Q299,Bard High School Early College Queens,718-361-6742,718-361-3133,,9.0,,,Credit Suisse,Queens,,12,NY,"G to Court Square ; E, M, R to Queens Plaza ; N, Q to Queensboro Plaza ; 7 to Rawson St-33rd St",Hunters Point-Sunnyside-West Maspeth                                       ,"Basketball, Outdoor Track, Soccer, Wrestling",30-20 THOMSON AVENUE,2.0, QUEENS,11101
18K566,Brooklyn Generation School,718-444-5419,718-968-4200,,9.0,,Extended School Year: Begins in late-August,"Brooklyn Generation School partners with corporations that are part of our Community Engagement Teams. The Financial Services team, for example, is anchored by Franklin Templeton Investment. The Community Engagement Team members visit the school, serve as mentors, and host students at their offices for work-based educational experiences.",Brooklyn,,12,NY,,Canarsie                                                                   ,"Baseball, Basketball, Bowling, Football, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",6565 FLATLANDS AVENUE,18.0, BROOKLYN,11236
09X413,Bronx High School for Medical Science,718-992-4129,718-410-4040,,6.0,,Uniform Required: The approved hunter green medical scrub uniform (without alterations); We follow a self-contained model for all grades: Students stay in the same classroom and teachers rotate to classes,,Bronx,,12,NY,"4, B, D to 170th St",East Concourse-Concourse Village                                           ,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",240 EAST 172 STREET,4.0, BRONX,10457
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,212-253-2539,212-253-2480,"Calculus, English, French Language and Culture",9.0,,,,Manhattan,,12,NY,"L to 3rd Ave ; 1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square",Gramercy                                                                   ,"Baseball, Basketball, Handball, Soccer, Volleyball",40 IRVING PLACE,6.0, MANHATTAN,10003
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),718-796-8657,718-796-8516,"Biology, Calculus, English, Psychology, Spanish, Statistics, Studio Art",6.0,,"Dress Code Required: Long or short-sleeved shirt/blouse, pants or shorts/skirt (no shorter than 4 inches above the knee); After-school Tutoring: Tuesday - Thursday; Internship Opportunities",,Bronx,,12,NY,,North Riverdale-Fieldston-Riverdale                                        ,"Baseball, Basketball, Cross Country, Outdoor Track, Soccer, Wrestling",660 WEST 237 STREET,8.0, BRONX,10463
30Q555,Newcomers High School,718-937-6316,718-937-6005,"Calculus, Chinese Language and Culture, Spanish, United States Government and Politics",9.0,,After-school availability of library and computer rooms; Community Service Requirement; After-school Tutoring daily; Weekend Program offered,MetLife,Queens,,12,NY,"E, M, R to Queens Plaza ; F to 21st St - Queensbridge ; 7, N, Q to Queensboro Plaza ; G to Court Square",Queensbridge-Ravenswood-Long Island City                                   ,"Basketball, Handball, Soccer, Swimming, Tennis, Volleyball",28-01 41 AVENUE,1.0, QUEENS,11101
12X478,THE CINEMA SCHOOL,718-620-2561,718-620-2560,"Biology, English, United States Government and Politics, United States History",9.0,,,"NewsCorp, Wieden + Kennedy, CNN, JP Morgan Chase & Co., The Rockefeller Foundation, TimeWarner, Bloomberg Philanthropies, NYC Department of Culture",Bronx,,12,NY,6 to Elder Ave,West Farms-Bronx River                                                     ,,1551 EAST 172ND STREET,9.0, BRONX,10472
29Q243,Institute for Health Professions at Cambria Heights,718-723-7306,718-723-7301,,9.0,,"Dress Code Required: Navy pants, grey polo shirt and black shoes",,Queens,,12,NY,,Cambria Heights                                                            ,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",207- 01 116TH AVENUE,13.0, QUEENS,11411
31R605,Staten Island Technical High School,718-987-5872,718-667-3222,"Biology, Calculus, Chemistry, Economics, English, Physics, Psychology, Statistics, Studio Art, United States History, World History",9.0,,Internship Opportunities,Port Authority of New York and New Jersey Con Edison,Staten Island,,12,NY,SIR to New Dorp,New Dorp-Midland Beach                                                     ,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",485 CLAWSON STREET,2.0, STATEN ISLAND,10306
28Q350,Jamaica Gateway to the Sciences,718-480-2697,718-480-2689,"Biology, Calculus, English, United States History",9.0,,Summer enrichment opportunities; Community Service Requirement; Internship Opportunities,,Queens,,12,NY,F to 169th St,Briarwood-Jamaica Hills                                                    ,"Baseball, Basketball, Bowling, Fencing, Football, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",167-01 GOTHIC DRIVE,8.0, JAMAICA,11432
10X243,West Bronx Academy for the Future,718-563-7362,718-563-7139,"English, Studio Art, United States Government and Politics, World History",6.0,Then to New York City residents,"Dress Code Required: Solid white collared polo/button-down shirt, belted black pants or skirt (length must reach student's finger tips when arms are down)",,Bronx,,12,NY,"B, D to Fordham Rd",Belmont                                                                    ,"Baseball, Basketball, Swimming, Volleyball",500 EAST FORDHAM ROAD,6.0, BRONX,10458
M43,Manhattan Village Academy,212-242-7630,212-242-8752,"Biology, Calculus, Economics, English, European History, Psychology, United States History, World History",9.0,,"Uniform Required: Solid oxford white shirt/blouse or polo shirt with school logo, solid gray dress pants/slacks/skirt, navy blue long-sleeved sweater/school hoodie, solid black leather shoes. Boys wear plain black leather belt, girls wear solid white, navy blue or black stockings. Uniform must be purchased from Flynn & O'Hara; Summer Bridge Program for all incoming students: Four weeks in July",,Manhattan,,12,NY,"1, 6, C, E, F, M, N, R to 23rd St ; A to 14th St-8th Ave ; B, D to 34th St-Herald Square ; 2, 3, L to 14th St - 6th Ave ; 4, 5, Q to 14th St-Union Square",Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Basketball,43 WEST 22 STREET,5.0, MANHATTAN,10010
31R455,Tottenville High School,718-317-0962,718-668-8800,"Biology, Calculus, Chemistry, English, Physics, Psychology, United States Government and Politics, United States History",9.0,,,"National Academy Foundation, Deloitte & Touche, Bristol Myers Squibb, Royal Canadian Bank",Staten Island,,12,NY,SIR to Huguenot,Annadale-Huguenot-Prince's Bay-Eltingville                                 ,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",100 LUTEN AVENUE,3.0, STATEN ISLAND,10312
02M531,Repertory Company High School for Theatre Arts,212-382-2306,212-382-1875,"Biology, Calculus, English, Music Theory, United States History, World History",9.0,,Uniform Required,International Trademark Association,Manhattan,,12,NY,"1, 2, 3, N, Q, R, S to Times Square-42nd St ; A, C, E to 42nd St-Port Authority Bus Terminal ; 4, 5, 6 to Grand Central - 42nd St ; 7, B, D, F, M to 42nd St-Bryant Park",Midtown-Midtown South                                                      ,,123 WEST 43 STREET,5.0, MANHATTAN,10036
08X405,Herbert H. Lehman High School,718-904-4235,718-904-4200,"Calculus, English, Environmental Science, Spanish, Statistics, United States Government and Politics, United States History, World History",9.0,,Summer Bridge Program,,Bronx,,12,NY,6 to Westchester Sq - East Tremont Ave,Schuylerville-Throgs Neck-Edgewater Park                                   ,"Baseball, Basketball, Cross Country, Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Tennis, Wrestling",3000 EAST TREMONT AVENUE,10.0, BRONX,10461
04M555,Central Park East High School,212-860-6043,212-860-5929,"Calculus, English, Environmental Science, Statistics, United States History",9.0,,After-school and Weekend Enrichment Programs; Parents can access students' grades online anytime; Internship Opportunities; Community Service Opportunities,"National Aeronautics and Space Administration (NASA), For Inspiration and Recognition of Science and Technology (FIRST) Robotics, Bloomberg LLC, Trust for Public Land, Credit Suisse, Robin Hood Foundation",Manhattan,,12,NY,"6 to 110th St ; 2, 3 to Central Park North-110th St ; 6 to 103rd St",East Harlem South                                                          ,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",1573 MADISON AVENUE,11.0, MANHATTAN,10029
