dbn,language_classes,psal_sports_girls,program_highlights,building_code,start_time,school_accessibility_description,partner_nonprofit
02M425,Spanish,"Basketball, Cross Country, Indoor Track, Softball","Four-year core courses in Math, Science, English, and History; Syracuse University Project Advance: Opportunity to earn Syracuse University credits in grades eleven and twelve; CUNY College Now courses; Touro College courses in grades eleven and twelve; Leadership (Advisory) Program; Art, Chorus, Theater; NASDAQ: Business Plan Competition; Sponsor for Educational Opportunity (SEO)",M894,8:30 AM,Functionally Accessible,"Sponsor for Educational Opportunity(SEO), Junior Achievement of New York"
10X225,Spanish,,"Drama, Dance, and Visual Studies are our primary art tracks.",X137,8:30 AM,Functionally Accessible,
02M519,"Italian, Spanish","Basketball, Soccer, Volleyball","Students may receive CTE endorsement in Drama; Through our partnership with Hunter ‘CUNY College Now’, many students receive college credit by taking free college courses; College-ready certified courses include: Robotics, SAT Math, Precalculus, Physics, Chemistry, Engineering, Algebra II/Trig; Other programs include: Work-based Career Performing Arts, specialized courses in Dance, Drama, Vocal & Instrumental Music, Musical Theatre, Honors classes in Arts & Academics, Professional Training at Martha Graham Dance Center, Exploring the Arts partnerships, TDF Open Doors & Stage Doors, American Folk Art & Metropolitan Museum of Art programs, HD Met Opera program, ISO, All-City Jazz Band program site, Western Wind Vocal Ensemble, Union Settlement-college program; TU student mentors from our ARISTA National Honor Society and TU’s own Rising Star Honor Society provide peer tutoring to students in need; Students in Musical Theatre engage in Tap Classes and individual Vocal Training through our partnership with Circle in the Square at TU",M480,8:10 AM,Functionally Accessible,
02M600,Spanish,"Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Softball, Stunt, Volleyball, Wrestling","Rigorous, college-level sixteen credit course sequence in Fashion Design, Business, and Art combined with an industry partnership program that provides students opportunities with prominent New York City companies; Full-service school-based Health Center providing physical exams, immunizations, sick visits, hearing/vision screenings, dental services, health and nutrition education, and insurance enrollment; four-year Math sequence ending in Calculus; CUNY College Now with The City College of New York and Hunter College; Partnership with International Center of Photography; Daily Homework Help-Writing Center; Additional Ninth Grade Common Core Math class; Fashion Dollar Incentive Program; Work-Based Learning; Regents Prep; Computers or SMART Boards in every classroom; Computer Labs; Charles Nolan Reading Room",M600,8:00 AM,Functionally Accessible,"Council of Fashion Designers of America, Black Retail Action Group, Underfashion Club, Young Menswear Association, National Association of Mens Sportswear Buyers"
24Q560,Spanish,"Basketball, Golf, Soccer, Softball, Tennis, Volleyball, Wrestling","Year-long introductory courses in Arts and Technology for ninth graders; Student Government Association, National Honors Society, Piano, music composition, visual arts, advanced drawing and painting, theater, advanced theater; CUNY College Now; other Early College opportunities; Middle College National Consortium student leadership conference, monthly town hall meetings featuring student talent shows, APEX Learning (online curriculum)",Q891,8:30 AM,Functionally Accessible,"Long Island City Roots Community Garden, PENCIL"
17K590,"Chinese (Mandarin), French, Spanish","Basketball, Cross Country, Indoor Track, Outdoor Track, Swimming","Technology, EXCEL/Honors, Science Research, Leadership Academy, Pre-Med Mentoring, CUNY College Now, Robotics, Early College Smart Scholars Program: Students have an opportunity to pursue an Associate Degree in Biological Science or Computer Science upon graduation from high school.",K590,7:15 AM,Functionally Accessible,
02M399,"American Sign Language, Arabic, Chinese (Mandarin), French, German, Spanish","Basketball, Softball, Volleyball","Intensive Chinese Language Program for all students, Honors and Advanced Placement (AP) Classes, Advisory, Interdisciplinary Support",M460,8:00 AM,Functionally Accessible,YMCA
08X320,"French, Russian, Spanish","Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Advisory, Career and College Counseling, Service Learning, College Preparatory Environment",X405,8:00 AM,Functionally Accessible,Rocking the Boat
15K656,"Chinese (Mandarin), French, Spanish",,"Fine Arts: Drawing, Painting, Sculpture, Ceramics, College Portfolio Preparation, Art as elective; Dance: Ballet, Jazz and Modern Technique, Pointe, Dance History, Choreography; Drama: Play Production, Voice, Diction and Movement, Set and Costume Design, Creative Writing; Music: Wind Ensemble (audition), Jazz Band (audition), String Orchestra, Concert Band, Beginning Band, Concert Choir, Women’s Choir, Beginning Choir, Performing Choir (audition), Music as elective, Solo Repertoire Workshop; Academic Programs: Comprehensive Math and Science Program, Advancement via Individual Determination (AVID) Program, Honors Courses, CUNY College Now",K655,8:15 AM,Functionally Accessible,"The Rudin Foundation, Independence Community Foundation, Peter Jay Sharp Foundation"
02M529,Spanish,,"Business and Computer Models, Accounting, Virtual Enterprise, Hospitality and Tourism, Journalism, CUNY College Now, Peer Mentoring, Big Brothers Big Sisters, Writing Classes, Read 180, Mathematics Lab support classes, PLATO Learning, Kaplan, Junior Achievement, Math Peer Tutoring, Exploration, Upward Bound; TOPs: This program, run by the Department of Education, gives special education students job shadowing practice to develop job skills and provide career and study options; Cents Ability: Each spring, this organization provides workshops on financial literacy, including managing checking and savings accounts, financing for college, creating a budget, and investing in the stock market.",M486,8:00 AM,Functionally Accessible,"National Academy Foundation (NAF), Junior Achievement, The Posse Foundation, New York Opportunity Network (NYON), Virtual Enterprise Center, The National Center on Addiction and Substance Abuse at Columbia University's Learning Effective Approaches to Prevention (CASALEAP), Inwood House, The Door, Futures and Options, Sponsors for Educational Opportunity (SEO), Upward Bound, Urban Dove, Fertile Grounds, THAAKAT Foundation, CARE Financial Awareness Program at Columbia University"
04M680,Spanish,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball","Four-year sequence in Math/Science, College Summit, Outward Bound Retreats, CUNY College Now at Hunter College, Peer Health Exchange, NYC Public Library Literacy Leaders, Princeton Review SAT Preparation, Urban Arts Partnerships (salsa, drumming, film)",M107,8:30 AM,Functionally Accessible,"College Summit, Student Press Initiative, National Academy for Excellence in Teaching, Peer Health Exchange, New York Leadership Academy"
12X692,Spanish,"Basketball, Softball","Stage Doors Program of Theater Development Fund (TDF), Play Rugby, PerScholas Computer Technician Training, iLuminate Dance/ Technology, SAT Prep Classes, Urban Health Medical Clinic",X420,8:30 AM,Not Functionally Accessible,
02M308,Spanish,"Badminton, Basketball, Bowling, Softball, Tennis, Volleyball","Internships for all seniors; artists-in-residence; project-based learning in academic classes; daily advisory; daily reading period; college classes at New York University (NYU) and John Jay College; extensive daily after-school tutoring; and about 40 school trips a year to museums and performances. After completing a ninth grade rotation of all of the arts, students select a major in art, music, dance or drama; priority in selection is given based on attendance and punctuality.",M445,8:30 AM,Not Functionally Accessible,
29Q248,Spanish,"Basketball, Flag Football, Indoor Track, Soccer, Softball, Tennis, Volleyball","College Advisory, College Tours, CUNY College Now, Humanities, Financial Literacy, Pre-engineering, Robotics, Instructional Technology, MOUSE Squad, Digital Photography, Leadership & Mentorship Programs, Peer Mediation, Conflict Resolution, Extended Day, Science, Technology, Engineering, and Mathematics (STEM) Enrichment Courses, Summer Enrichment Placements, Three-year Talent Block: Visual Arts, School Band, Improv, Senior Internship, Ninth Grade Leadership Development, Career and College Planning",Q420,8:15 AM,Not Functionally Accessible,Institute for Student Achievement
19K409,"French, Spanish","Basketball, Tennis, Volleyball","Saturday Academy and PM School (provide students with test prep); Tutorial, Credit Recovery, Art, Instrumental Music, Chorus, Drama, CUNY College Now; Students have the opportunity to complete a foreign language sequence that will lead to an Advanced Regents diploma.",K819,8:00 AM,Not Functionally Accessible,CFY
27Q324%,Spanish,"Basketball, Lacrosse, Soccer, Softball, Tennis, Volleyball",Learning Voyages: in-depth investigations of themes or topics crossing multiple academic subjects through authentic projects and/or field work; Collaboration with community partners to develop leadership; Extra tutoring for students before and after school; Specialized carpentry program that includes building boats and other exciting projects; Kaplan SAT prep classes and a four-year sequence of college trips provided.,Q410,8:45 AM,Functionally Accessible,
24Q530,"Arabic, Bengali, Chinese (Mandarin), French, Hindi, Japanese, Korean, Polish, Portuguese, Punjabi, Spanish, Tibetan, Urdu",,"English instruction in all content classes with native language support; students grouped in small interdisciplinary learning communities; personalized small group instruction; Early College Program option to remain a 5th year and complete a free Associate degree from LaGuardia Community College; Tuition-free college courses including Math, Science, English, History, Psychology, Sociology, Art, Music, native language classes and more; Internship program in the eleventh and twelfth grades",Q520,8:00 AM,Functionally Accessible,"Internationals Network for Public Schools (INPS), Bill & Melinda Gates Foundation, Middle College National Consortium"
18K576,"French, Spanish",Indoor Track,"Advisory, Advancement via Individual Determination (AVID), SAT Prep, Regents Test Prep, Urban Arts, CUNY College Now with: Brooklyn College, John Jay College, Medgar Evers; Monroe College-JumpStart Program",K515,8:30 AM,Functionally Accessible,"Hebrew Educational Society, Sponsors for Educational Opportunity (SEO), Minds Matters, Sadie Nash"
05M148,,Basketball,Eagle Honors Program; Opportunities for semester and summer abroad programs; Rites of passage experiences; Latin language course; College and career counseling starting in 9th grade; Internships; College-level and Advanced Placement courses offered in upper grades,M136,,Not Functionally Accessible,
27Q262,Spanish,"Basketball, Lacrosse, Soccer, Softball, Tennis, Volleyball","College Preparation that includes: Advanced Placement (AP) Classes, CUNY College Now, Kaplan SAT Prep, ACT Prep, Pre-law, Forensics, Environmental Science; Fine Arts Program: Visual Arts Three-Year Sequence, Vocal and Instrumental Music, Jazz and Steel Band; Web Design & Development, Film and Mass Media, Spanish Cultural Dance, Community Service, Crew (Advisory), Student Led-Conferences, Gallery, Monthly presentations of learning and crew award assemblies",Q410,8:15 AM,Functionally Accessible,"Habitat for Humanity, Pencil, International Youth Leadership Institute, Gateway National Recreational Area, Special Olympics- Rockaway Chapter"
32K,Spanish,"Basketball, Softball, Tennis, Volleyball","El Puente, CUNY College Now courses, Public Service Learning, Honors Classes, Drama, Arts",K913,8:20 AM,Functionally Accessible,
28Q690,Spanish,"Basketball, Outdoor Track","Introduction to Law Enforcement, Introduction to Science and Public Safety, Introduction to Forensic Science, Forensics and Anatomy; Syracuse University Project Advance: Advanced Forensic Science (four college credits), Psychology (three college credits), Criminology, Constitutional Law, Annualization, Police Athletic League (PAL) Center, Mentoring, Courtroom, Forensic Laboratory, Fitness Center, Rooftop Track, Television Production Studio",Q690,8:00 AM,Functionally Accessible,
21K559,Spanish,"Basketball, Bowling, Flag Football, Soccer, Softball, Tennis, Volleyball","CUNY College Now; Art and Film Production Courses including Film, Set Design, Audio Production, Cinematography, Animation, Storyboarding Art",K400,8:15 AM,Functionally Accessible,Institute for Student Achievement
21K620,Spanish,"Basketball, Bowling, Softball, Volleyball","Students may receive CTE endorsement in the following areas: Automotive Technician, A+ Computer Repair, Culinary Arts, Automotive Technology, Construction Technology (which includes the areas of electrical installation, plumbing, heating, air conditioning, and refrigeration), Health Professions; To receive an endorsed CTE Diploma, students at William E. Grady CTE High School are required to successfully complete a sequence of CTE classes, an internship, and pass an industry-based exam in the CTE field of their choice.",K620,8:00 AM,Not Functionally Accessible,Friends of Kaiser Park
12X242,"French, Spanish",,"Advisory, Regents Prep, CUNY College Now, College Bound Initiative, SAT Prep",X423,8:00 AM,Functionally Accessible,Charles Hayden Foundation
02M615,Spanish,"Basketball, Bowling, Softball","Students may receive CTE endorsement in the following areas: Computer Installation and Repair, Computer Systems Networking, Graphic Design; Cisco Certification, Adobe Creative Suite, C-Tech Certification, A+ Certification, SMART Boards",M615,8:30 AM,Not Functionally Accessible,"Peter Jay Sharp Foundation, Center for Independence of the Disabled, New York (CIDNY); Vocational and Educational Services for Individuals with Disabilities (VESID)"
06M540,"French, Spanish","Basketball, Lacrosse, Soccer, Softball, Swimming, Volleyball, Wrestling",,M540,8:00 AM,Functionally Accessible,
05M362,"Japanese, Latin, Spanish","Basketball, Cross Country, Rugby, Soccer, Volleyball","Students take Philosophy, Engineering, Spanish, Creative Arts and an Elective; Math, Science and Engineering program; Humanities sequence includes Philosophy coursework; Electives in the Sciences and Creative arts including Environmental Science, Genetics, Science Fiction Film, Current Events, Web Design; Focus on sustainability and community service; Students have access to Columbia University facilities and may participate in early college study on campus",M125,8:00 AM,Functionally Accessible,
10X437,"French, Spanish","Cross Country, Indoor Track, Softball, Volleyball","Project Student Opportunities for Academic Reinforcement (Project SOAR), Tutoring, Counseling, SAT Prep, CUNY College Now, STRIVE for College with the Dorothy Day Center for Service, and Justice at Fordham University",X435,8:00 AM,Functionally Accessible,
06M552,Spanish,Volleyball,"CUNY College Now; Pre-Calculus, Calculus; Robotics, Computer Science and Advanced Placement (AP) courses for students interested in Engineering and the medical field; Students with Interrupted Formal Education (SIFE) are encouraged to follow a six-day program inclusive of tutoring and mentoring. Saturday Academy/After-school Tutoring Program for Regents prep",M876,8:00 AM,Functionally Accessible,
25Q281,"Chinese (Mandarin), Japanese, Korean",,"College Bound Initiative with a dedicated full-time college counselor; CUNY College Now courses are offered for free college credits after school and on-campus and Queens College and LaGuardia Community College; Pre-Calculus; TEALS Computer Science classes; Regents in: Chemistry, Physics; Queens College Literacy Lab; Opportunities for semester and summer abroad; Mighty Milers; Dance, Drama",Q237,7:50 AM,Functionally Accessible,New Visions for Public Schools
27Q650,Spanish,"Basketball, Cross Country, Outdoor Track, Soccer, Softball, Volleyball","Students may receive CTE endorsement in the following areas: Construction Technology, Architecture, Academy of Engineering; Themed/integrated curriculum and courses geared for college preparation, career opportunities, internships, mentoring, industry certification, postsecondary apprenticeship opportunities; Advisory Board; ACE Mentor Program; Skills USA; Honors courses that offer opportunities for Advanced Placement (AP) classes in the eleventh or twelfth grade and/or CUNY College Now (Psychology, Biology, Calculus, English, Statistics); Studio Art; Non-fiction writing",Q650,8:00 AM,Functionally Accessible,"National Academy Foundation (NAF), National Action Council for Minorities in Engineering (NACME), Project Lead The Way (PLTW), Legal Momentum, Non-traditional Employment for Women (NEW)"
08X 282,Spanish,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Stunt, Volleyball",Health and Wellness Program,X174,8:30 AM,Functionally Accessible,"Zeta Phi Beta Sorority, Inc."
10X264,,"Softball, Volleyball","Internships with industry partners; Advisory Class; Classes in software design, computer programming, and app development; Individual academic and career planning; Project-based learning; Project-based activities in Science and Math",X660,8:30 AM,Not Functionally Accessible,"Girls Who Code, iMentor, Startup Box South Bronx, Museum of the Moving image, Games for Change"
17K548,Spanish,"Basketball, Soccer","We offer highly competitive positions in our Drama, Chorus, and Dance Company classes, wherein students receive small group instruction focused on sharpening and furthering their skills while developing their professional portfolio for auditions in their chosen field.",K440,8:10 AM,Functionally Accessible,"One To World‘s Global Classroom connects New York City youth with trained, international university scholars through interactive workshops that engage students in learning about world cultures and global issues. Through face-to-face interactions and meaningful cross-cultural exchange with international leaders of tomorrow, today’s New York City K-12 students develop the skills, awareness and understanding to become global citizens in their communities, both locally and worldwide."
02M432,"American Sign Language, Spanish","Basketball, Softball, Volleyball","Personalized Learning; Internships (i.e. Parsons the New School of Design), and Job Shadowing; Blended Learning Environment; Online courses with in-school mentors; iZone360 school with a Computer Science Track, CUNY College Now at Baruch College, Medgar Evers College, and Borough of Manhattan Community College, Co-Op Tech for professional certifications; Regents and SAT Preparation; Individual College and Career Counseling; Youth Development Program with One on One Advisory support; Arts program with Theater and Mixed Media; Youth Leadership collaboration with Chris Canty Foundation; Partnerships: Good Shepherd Services, NYC Mentoring Program, High Schools That Work, Big Brothers and Big Sisters, Eskolta, reDesign, Cents’ Ability, Gilder Lehrman Institute, PENCIL; International collaboration with a high school in Finland and Free State University in South Africa",M620,8:00 AM,Functionally Accessible,"MOUSE Squad, Cent’s Ability, Achievement Mentoring Program, NYC Mentoring Program, Chris Canty Foundation, Big Brothers Big Sisters, Good Shepherd Services, PENCIL"
02M489,"French, Spanish","Basketball, Bowling, Flag Football, Outdoor Track, Softball, Tennis",Exchange programs with Martha’s Vineyard High School; Four-year research culminating in a Senior Research Thesis and Oral Presentation; Moodys Summer Experience: Four-week summer program for all incoming ninth graders; W!SE Institute Wednesday enrichment program with elective seminars,M833,8:30 AM,Functionally Accessible,"W!SE, Networking for Teaching Entrpreneurship, Big Brothers Big Sisters, NYC Mentoring Program"
02M580,"French, Spanish","Basketball, Softball, Volleyball","The Teaching Academy offers Teaching Internships & Seminar; The Liberal Arts Program offers mentoring, internships, after-school workshops & a career fair; Advisory/ DEAR program (all grades); Advancement Via Individual Determination (AVID): Four-year college readiness program; College for Every Student (CFES): Four-year program for underserved youth preparing them to gain access to and succeed in college; CUNY College Now at Hunter College; The Future Project: Students and coaches design and build individual future projects around their personal aspirations; Paraprofessional Training Program: Certifies students with disabilities as substitute paraprofessionals; Partnership with Kenyon and Kenyon provides support for Mock Court and Moot Trial; Vibrant joint theater program with Leman, a private school",M282,8:30 AM,Functionally Accessible,"Advancement Via Individual Determinations (AVID), College for Every Student (CFES), PENCIL: Bank of America, The Opportunity Network, Opportunity Network Prep (OppNet Prep), New York Cares (Youth Service Club)"
02M296,"Italian, Spanish","Basketball, Volleyball","College Preparatory workshops, Academic Support and Enrichment Programs, Health/Advisory Program, Honors Course Offerings, Technology integrated throughout School Curriculum, Project and Inquiry-based Learning, SAT Prep Courses, Digital Learning, Industry Certification Opportunities, CUNY College Now, Specialization in Culinary Arts and Business Management, Hunter College Teaching Assistant Program",M535,9:00 AM,Functionally Accessible,Peer Health Exchange
19K422,,Basketball,"Small Advisories; Enrichment Courses offered include: Documentary Filmmaking, Performing Arts, Creative Writing, Visual Arts, Lego Robotics, Technology & Coding, Hip Hop Culture, Beat Production & Studio Recording, Step Dancing, Weightlifting, Peer Mediation",K422,,Functionally Accessible,
19K510,"American Sign Language, Spanish","Basketball, Flag Football, Indoor Track, Outdoor Track, Soccer, Volleyball","Honors Psychology, Syracuse University Project Advanced English, Exercise Science, Forensic Science, United States History, Etymology, Chemistry, Community Health Advisor, Anatomy & Physiology, and Journalism; Three distinct programs of study: Medical Science: Honors program geared to support and prepare students for entry into the medical profession; Health Science: Health professions major including CNA (Certified Nursing Assistant) with Phlebotomy and EKG Technician; Community Health: Exposure to careers in public and community health through classroom instruction and internships; Students are expected to complete four years of Math and Science coursework.",K435,8:05 AM,Not Functionally Accessible,"New Visions for Public Schools, New Century High School, Brooklyn-Queens-Long Island Area Health Education Center"
