manhattan_condominium_property_condo_section,latitude,longitude,bin,comparable_rental_1_building_classification,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,manhattan_condominium_property_gross_sqft,comparable_rental_2_building_classification,manhattan_condominium_property_year_built,manhattan_condominium_property_gross_income_per_sqft,manhattan_condominium_property_neighborhood,comparable_rental_2_full_market_value
409-R1,40.776775,-73.984565,1070721.0,D6-ELEVATOR,202.0,UPPER WEST SIDE (59-79),474360,D6-ELEVATOR,1965,28.0,UPPER WEST SIDE (59-79),45500000.0
1626-R1,40.763803,-73.985828,1087538.0,D6-ELEVATOR,255.0,MIDTOWN WEST,249339,D8-ELEVATOR,2005,45.0,MIDTOWN WEST,68800000.0
2075-R1,40.789201,-73.97454,1033293.0,C1-WALK-UP,108.0,UPPER WEST SIDE (79-96),10789,C5-WALK-UP,1910,30.0,UPPER WEST SIDE (79-96),1090000.0
524-R1,40.781982,-73.94874,1073539.0,D8-ELEVATOR,176.0,UPPER EAST SIDE (79-96),220209,D6-ELEVATOR,1987,39.0,UPPER EAST SIDE (79-96),58100000.0
1180-R1,40.736145,-73.99607,1009706.0,D5-ELEVATOR,196.0,GREENWICH VILLAGE-CENTRAL,201330,D1-ELEVATOR,1906,35.7,GREENWICH VILLAGE-CENTRAL,36700000.0
487-R1,40.736853,-73.999726,1067315.0,D6-ELEVATOR,172.0,MURRAY HILL,165160,D6-ELEVATOR,1961,36.0,GREENWICH VILLAGE-WEST,60500000.0
2007-R1,40.758615,-73.967658,1038578.0,D9-ELEVATOR,212.0,MIDTOWN EAST,54638,D6-ELEVATOR,2000,55.0,MIDTOWN EAST,35800000.0
137-R1,40.747041,-73.973416,1021933.0,D9-ELEVATOR,227.0,KIPS BAY,119395,D9-ELEVATOR,1984,44.0,KIPS BAY,48500000.0
1031-R1,40.78731,-73.974144,1085582.0,D6-ELEVATOR,154.0,UPPER WEST SIDE (79-96),70430,D9-ELEVATOR,1998,37.0,UPPER WEST SIDE (79-96),10600000.0
1028-R1,40.733763,-73.994382,1077856.0,D8-ELEVATOR,198.0,GREENWICH VILLAGE-CENTRAL,60860,D6-ELEVATOR,1903,29.0,GREENWICH VILLAGE-CENTRAL,9020000.0
721-R1,40.772663,-73.96056,1043143.0,D7-ELEVATOR,177.0,UPPER EAST SIDE (59-79),45621,D6-ELEVATOR,1925,34.9,UPPER EAST SIDE (59-79),7130000.0
1479-R1,40.794125,-73.938835,1087121.0,D3-ELEVATOR,,,22295,,2004,37.0,HARLEM-EAST,
1757-R1,40.74878,-73.980092,1087674.0,D6-ELEVATOR,252.0,MURRAY HILL,136474,D6-ELEVATOR,2006,45.0,MURRAY HILL,41400000.0
1269-R1,40.741967,-73.998181,1013977.0,D7-ELEVATOR,199.0,CHELSEA,33378,D6-ELEVATOR,2002,43.0,CHELSEA,11600000.0
1989-R1,40.778432,-73.983261,1030413.0,D1-ELEVATOR,107.0,UPPER WEST SIDE (59-79),47000,D9-ELEVATOR,1912,25.5,UPPER WEST SIDE (59-79),4500000.0
921-R1,40.773832,-73.981417,1028840.0,D8-ELEVATOR,,,271808,,1995,44.0,UPPER WEST SIDE (59-79),
567-R1,40.728891,-74.00061,1076067.0,D1-ELEVATOR,164.0,GREENWICH VILLAGE-CENTRAL,15744,D9-ELEVATOR,1900,26.8,GREENWICH VILLAGE-CENTRAL,2670000.0
780-R1,40.708037,-74.017656,1082813.0,D8-ELEVATOR,323.0,TRIBECA,156260,D8-ELEVATOR,1990,40.0,TRIBECA,77200000.0
527-R1,40.723645,-73.993787,1075966.0,D1-ELEVATOR,299.0,LITTLE ITALY,17117,D9-ELEVATOR,1987,31.0,LITTLE ITALY,12300000.0
101-R1,40.750067,-73.979179,1017361.0,D6-ELEVATOR,172.0,MURRAY HILL,212756,D6-ELEVATOR,1956,37.0,MURRAY HILL,60500000.0
649-R1,40.768985,-73.954696,1045891.0,D9-ELEVATOR,233.0,UPPER EAST SIDE (59-79),273109,D3-ELEVATOR,1962,34.5,UPPER EAST SIDE (59-79),59900000.0
308-R1,40.709506,-74.018002,1000061.0,D8-ELEVATOR,323.0,TRIBECA,219495,D8-ELEVATOR,1985,40.0,TRIBECA,77200000.0
375-R1,40.77152,-73.964832,1041430.0,D6-ELEVATOR,220.0,UPPER EAST SIDE (59-79),42830,D9-ELEVATOR,1986,41.2,UPPER EAST SIDE (59-79),7830000.0
776-R1,40.735903,-74.005604,1011331.0,D5-ELEVATOR,167.0,GREENWICH VILLAGE-WEST,32638,D1-ELEVATOR,1920,34.9,GREENWICH VILLAGE-WEST,9470000.0
1393-R1,40.721798,-74.008272,1086556.0,D7-ELEVATOR,200.0,LOWER EAST SIDE,66444,D7-ELEVATOR,1930,29.0,TRIBECA,15200000.0
1942-R1,40.792731,-73.939501,1088006.0,C4-WALK-UP,,,38481,,2007,19.23,HARLEM-EAST,
193-R1,40.771531,-73.964861,1041379.0,D7-ELEVATOR,118.0,MIDTOWN EAST,92781,D6-ELEVATOR,1928,32.3,UPPER EAST SIDE (59-79),8610000.0
37-R1,40.758313,-73.959991,1040645.0,D8-ELEVATOR,146.0,MIDTOWN EAST,61175,D9-ELEVATOR,1981,38.4,MIDTOWN EAST,45700000.0
550-R1,40.791341,-73.969928,1070916.0,D9-ELEVATOR,137.0,UPPER WEST SIDE (79-96),62389,D3-ELEVATOR,1925,28.0,UPPER WEST SIDE (79-96),8760000.0
142-R1,40.742475,-74.001205,1013132.0,D9-ELEVATOR,168.0,KIPS BAY,52698,D9-ELEVATOR,1950,31.3,CHELSEA,9480000.0
36-R1,40.783432,-73.974958,1032052.0,D6-ELEVATOR,157.0,UPPER WEST SIDE (79-96),148751,D7-ELEVATOR,1900,31.0,UPPER WEST SIDE (79-96),22200000.0
1242-R1,40.774739,-73.95623,1085215.0,D6-ELEVATOR,145.0,UPPER EAST SIDE (59-79),175375,D9-ELEVATOR,1963,32.5,UPPER EAST SIDE (79-96),26500000.0
33-R1,40.772408,-73.94879,1050880.0,D3-ELEVATOR,237.0,UPPER EAST SIDE (79-96),103108,D6-ELEVATOR,1964,33.1,UPPER EAST SIDE (79-96),27800000.0
1181-R1,40.719847,-74.007403,1002160.0,D6-ELEVATOR,193.0,TRIBECA,119996,D9-ELEVATOR,1924,37.0,TRIBECA,25200000.0
502-R1,40.741961,-73.997214,1068149.0,D9-ELEVATOR,210.0,CHELSEA,117094,D9-ELEVATOR,1980,33.0,CHELSEA,10200000.0
1308-R1,40.778639,-73.955689,1047689.0,D7-ELEVATOR,209.0,UPPER EAST SIDE (59-79),82637,D7-ELEVATOR,1986,40.5,UPPER EAST SIDE (79-96),10500000.0
1653-R1,40.769481,-73.98088,1087839.0,D7-ELEVATOR,255.0,MIDTOWN WEST,730068,D8-ELEVATOR,2005,57.0,UPPER WEST SIDE (59-79),68800000.0
1257-R1,40.789792,-73.966491,1031638.0,D6-ELEVATOR,157.0,UPPER WEST SIDE (79-96),130259,D7-ELEVATOR,1929,29.0,UPPER WEST SIDE (79-96),22200000.0
332-R1,40.768609,-73.961992,1042610.0,D3-ELEVATOR,,,165624,,1986,44.1,UPPER EAST SIDE (59-79),
1363-R1,40.721576,-73.997348,1007197.0,D9-ELEVATOR,299.0,LITTLE ITALY,83916,D9-ELEVATOR,1926,37.0,LITTLE ITALY,12300000.0
1641-R2,40.74829,-73.990071,1087535.0,D6-ELEVATOR,204.0,CHELSEA,75799,D7-ELEVATOR,2005,53.0,FASHION,26100000.0
977-R1,40.711988,-73.994308,1003275.0,C7-WALK-UP,103.0,LOWER EAST SIDE,27046,C7-WALK-UP,1990,25.0,LOWER EAST SIDE,1190000.0
296-R1,40.788655,-73.978011,1033149.0,D3-ELEVATOR,111.0,UPPER WEST SIDE (79-96),79554,D3-ELEVATOR,1912,26.0,UPPER WEST SIDE (79-96),9640000.0
290-R1,40.749089,-73.993944,1014307.0,D6-ELEVATOR,329.0,FASHION,52598,D5-ELEVATOR,1927,37.0,FASHION,20300000.0
1151-R1,40.765555,-73.964402,1042429.0,D8-ELEVATOR,,,180846,,2000,49.5,UPPER EAST SIDE (59-79),
336-R1,40.753164,-73.968325,1039205.0,D8-ELEVATOR,261.0,UPPER EAST SIDE (59-79),438326,D6-ELEVATOR,1984,43.6,MIDTOWN EAST,128000000.0
1011-R1,40.733282,-74.009248,1011979.0,D1-ELEVATOR,252.0,GREENWICH VILLAGE-CENTRAL,38871,D6-ELEVATOR,1997,47.6,GREENWICH VILLAGE-WEST,10600000.0
598-R1,40.768391,-73.967296,1076286.0,D6-ELEVATOR,118.0,MIDTOWN EAST,62196,D6-ELEVATOR,1941,35.0,UPPER EAST SIDE (59-79),8610000.0
1385-R1,40.718897,-74.000094,1002673.0,C7-WALK-UP,61.0,LOWER EAST SIDE,70649,D3-ELEVATOR,1900,30.7,CHINATOWN,10400000.0
743-R1,40.731139,-74.006697,1077817.0,D6-ELEVATOR,140.0,GREENWICH VILLAGE-CENTRAL,100633,C5-WALK-UP,1925,25.0,GREENWICH VILLAGE-WEST,17500000.0
1510-R1,40.770362,-73.966096,1041328.0,D9-ELEVATOR,217.0,UPPER EAST SIDE (59-79),273875,D6-ELEVATOR,1928,36.0,UPPER EAST SIDE (59-79),52900000.0
26-R1,40.776022,-73.960768,1046471.0,D7-ELEVATOR,145.0,UPPER EAST SIDE (59-79),199534,D9-ELEVATOR,1973,37.6,UPPER EAST SIDE (79-96),26500000.0
1108-R1,40.718137,-74.005004,1001924.0,D5-ELEVATOR,152.0,CIVIC CENTER,98891,D5-ELEVATOR,1915,36.5,CIVIC CENTER,21000000.0
