applicationtrackingid,boroughname,permitlocationcomments,oftcode,permithousenumber,permitlinearfeet,permittypedesc,permitstatusid,equipmenttypedesc,tostreetname,permitseriesid
2021010600105870,BROOKLYN,,3.0913030618034266e+17,,300.0,"TEST PITS, CORES OR BORING - PROTECTED",030,,FT HAMILTON PARKWAY,1
2025071400249980,BROOKLYN,,,2072,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE U,16
202507160005790016.00%,MANHATTAN,svso,,15,,UTILITY MANHOLE EMBARGO PERMIT,030,,MADISON AVENUE,3
2025061000599956,BROOKLYN,NE Corner AKA Receiving Corner for 463 Dekalb Avenue,,,50.0,PED RAMP REPLACE/MODIFY/INSTALL GENERAL CONTRACTOR,DQN,,,4
2025071100040943,BROOKLYN,BOX ON WEST 5TH ST,,,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE U,16
2020081300768600,MANHATTAN,1' SNC of West 125th St &amp; 4' EEC of St. Nicholas Avenue,1.3627011081013118e+17,,15.0,REPAIR GAS - PROTECTED,030,,ST NICHOLAS AVENUE,1
2025071100579826,BROOKLYN,,,1102,,COMMERCIAL REFUSE CONTAINER,030,,MONTAUK AVENUE,16
2025071400002503,BROOKLYN,Container place at 566 Halsey Street Brooklyn,,566,,COMMERCIAL REFUSE CONTAINER,030,,STUYVESANT AVENUE,16
2025070801306400,BROOKLYN,North parking lane,,109,,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,030,Jersey Barrier,BERRY STREET,2
2025070900507320,BROOKLYN,,,484,,COMMERCIAL REFUSE CONTAINER,030,,DORCHESTER ROAD,16
2025071500940390,BROOKLYN,,,1354,,COMMERCIAL REFUSE CONTAINER,030,,NEW YORK AVENUE,16
2025071000259940,BROOKLYN,THE EXPERIENTIAL GROUP -- 101075137 -- 65 PLYMOUTH ST -- 2ND BOX,,4,,COMMERCIAL REFUSE CONTAINER,030,,FULTON STREET,16
2025070300338100,BROOKLYN,,,124,22.0,"RESET, REPAIR OR REPLACE CURB-PROTECTED",010,,TOMPKINS AVENUE,1
2025071500312410,BROOKLYN,,,2021,,COMMERCIAL REFUSE CONTAINER,030,,21 AVENUE,16
2025071100083806,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025071100309886,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071501137170,BROOKLYN,,,3816,,COMMERCIAL REFUSE CONTAINER,030,,DAHILL ROAD,16
2025070700635500,BROOKLYN,,,,90.0,INSTALL TRAFFIC SIGNALS - PROTECTED,020,,FLATLANDS AVENUE,1
