qkey,cp9,ih3,ih5a_1,sc4d,sc4b,d1yob,bf1mns,st4,sc6,bc2,st5,es2,d2,ph1,d6,cp10_1,stratum,mh1,cp7,cp3,ih5,el13e,qcell,cp2,bf1_1,es3,lang,el3,el12mns,d7,el17f,pph1
202972,1.0,1,,1,1,1993.0,2.0,4,1,1,4,1,1,1,3.0,1.0,2,3,1.0,1.0,2,,1,1.0,4,3,1,2.0,,4,,1
201497,1.0,1,,1,1,1983.0,12.0,4,1,1,4,2,1,2,3.0,2.0,1,5,1.0,1.0,2,,1,1.0,4,12,1,2.0,,6,,1
202254,,1,,1,1,1975.0,15.0,1,1,1,4,2,1,1,,,1,5,,,2,0.0,1,,4,12,1,2.0,,6,2.0,1
202238,4.0,1,,1,1,1985.0,2.0,4,1,1,4,2,1,1,3.0,,2,5,1.0,1.0,2,,1,1.0,4,77,2,,,4,,1
202282,1.0,1,,2,1,1980.0,,4,1,2,4,2,1,5,,2.0,2,1,1.0,1.0,2,,1,1.0,1,8,1,,,3,,1
202017,1.0,1,,1,1,1988.0,3.0,4,1,2,4,2,1,1,,1.0,1,5,2.0,1.0,2,,0,1.0,4,4,1,1.0,,5,1.0,1
202215,,1,,1,1,1984.0,,4,1,1,4,1,1,3,3.0,,1,5,77.0,1.0,2,0.0,1,1.0,5,1,2,2.0,2.0,4,2.0,77
203057,,2,,1,1,,,4,1,1,3,2,99,2,,,1,5,77.0,1.0,2,77.0,0,1.0,5,99,1,2.0,,4,2.0,1
200809,,1,,1,1,1979.0,5.0,4,1,1,4,2,1,3,3.0,,1,3,1.0,2.0,2,0.0,1,1.0,4,12,1,3.0,,6,2.0,1
201045,,1,,1,1,1986.0,,4,1,1,4,2,1,3,2.0,,1,5,,,2,,1,,5,1,2,4.0,3.0,2,1.0,1
200420,,2,,1,1,1989.0,12.0,4,1,1,2,1,1,2,,,1,5,1.0,1.0,2,,0,1.0,4,77,1,4.0,,4,2.0,1
201055,4.0,1,,1,1,1991.0,6.0,2,1,1,2,2,1,3,3.0,,1,4,1.0,1.0,2,0.0,1,1.0,4,1,1,2.0,,5,2.0,1
202402,2.0,1,,1,1,1979.0,9.0,4,1,1,4,2,1,2,3.0,2.0,1,5,1.0,1.0,2,,1,1.0,4,12,1,1.0,,6,1.0,1
202754,4.0,1,,1,1,1990.0,,4,1,2,4,2,1,1,,,1,5,1.0,1.0,2,0.0,1,1.0,3,4,1,1.0,,4,2.0,1
204595,4.0,1,,1,1,1979.0,4.0,4,1,1,4,2,1,3,3.0,,1,5,1.0,2.0,2,,1,1.0,4,1,2,,,2,,1
204670,2.0,1,,2,1,1977.0,7.0,2,1,2,4,2,1,1,,1.0,1,5,2.0,1.0,2,0.0,1,1.0,4,12,1,4.0,,6,2.0,1
202109,1.0,1,,1,1,1978.0,3.0,4,1,2,2,2,1,3,,2.0,1,5,1.0,1.0,2,,0,1.0,4,12,1,2.0,,6,2.0,1
204277,,1,,2,1,1990.0,,4,1,1,4,2,1,2,,,1,5,1.0,1.0,2,,0,1.0,3,1,1,3.0,3.0,5,2.0,1
200128,,1,,1,1,1993.0,3.0,3,1,2,4,1,1,1,1.0,,2,3,1.0,2.0,2,,0,1.0,4,2,1,,,4,,1
200219,2.0,1,,1,1,1981.0,,2,1,2,4,2,1,2,,3.0,1,5,1.0,1.0,2,,1,1.0,3,77,1,2.0,4.0,6,1.0,1
203529,4.0,1,,2,1,1983.0,5.0,4,1,2,4,2,1,1,3.0,,1,5,1.0,1.0,2,0.0,1,1.0,4,10,1,2.0,5.0,6,2.0,1
204885,2.0,1,,2,1,1975.0,3.0,3,1,2,3,1,1,3,,1.0,1,5,1.0,1.0,2,0.0,1,1.0,4,7,1,1.0,3.0,6,2.0,1
200580,4.0,2,,1,1,1992.0,,4,1,1,4,2,1,2,,,2,5,1.0,1.0,2,,1,1.0,5,10,1,2.0,,4,,1
204667,,1,,1,1,1988.0,1.0,4,1,2,4,2,1,1,,,1,3,,,2,0.0,1,,4,10,1,3.0,,6,1.0,1
203418,,1,,1,1,1992.0,6.0,4,1,1,4,2,1,1,,,2,5,1.0,1.0,2,,1,1.0,4,77,2,4.0,,4,2.0,1
200436,1.0,1,,1,1,1974.0,3.0,4,1,2,4,2,1,2,,2.0,1,5,2.0,1.0,2,0.0,1,1.0,4,12,1,2.0,3.0,6,1.0,1
200790,,1,,2,1,1990.0,5.0,4,1,1,4,2,1,1,3.0,,1,5,2.0,1.0,2,,0,1.0,4,6,1,2.0,,4,2.0,1
202570,4.0,1,,1,1,1983.0,2.0,4,1,1,4,1,1,2,3.0,,1,5,1.0,1.0,2,,1,1.0,4,77,1,,,6,,1
200781,1.0,1,,2,1,1991.0,,4,1,1,4,2,1,3,2.0,2.0,2,5,1.0,1.0,2,,1,1.0,2,1,2,4.0,,3,,1
202875,1.0,1,,1,1,1974.0,23.0,4,1,1,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,3.0,5.0,6,1.0,1
200956,4.0,1,,1,1,1986.0,14.0,4,1,1,4,2,1,3,2.0,,1,5,1.0,1.0,2,,1,1.0,4,6,1,2.0,,5,2.0,1
200967,,1,,1,1,1980.0,6.0,2,1,1,2,2,1,1,3.0,,1,4,2.0,2.0,2,0.0,1,1.0,4,7,1,2.0,3.0,6,1.0,1
203794,1.0,1,,1,1,1978.0,,4,1,1,4,2,1,1,,2.0,1,4,1.0,1.0,2,0.0,1,1.0,3,11,1,2.0,,6,,1
201018,1.0,1,,1,1,1979.0,9.0,2,1,1,4,2,1,1,3.0,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,,6,2.0,1
200604,1.0,1,,1,1,1989.0,9.0,4,1,1,4,2,1,3,1.0,1.0,2,5,1.0,1.0,2,,1,1.0,4,2,1,,,6,,2
204662,,1,,2,1,1984.0,3.0,4,1,2,2,2,1,3,,,1,5,,,2,,1,,4,9,1,1.0,3.0,6,1.0,1
201932,2.0,3,,1,1,1986.0,,3,1,2,2,2,1,5,,2.0,1,3,1.0,1.0,2,0.0,1,1.0,1,9,1,2.0,6.0,6,1.0,1
203372,,1,,1,1,1985.0,9.0,4,1,1,4,2,1,1,1.0,,1,5,,,2,,1,,4,1,2,2.0,12.0,6,2.0,1
201264,,1,,1,1,1983.0,6.0,4,1,1,4,2,1,1,,,1,5,1.0,2.0,2,,1,1.0,4,2,1,,,4,,1
202816,77.0,1,,1,1,,18.0,4,1,1,4,1,1,1,,,2,5,1.0,1.0,2,,1,1.0,4,77,1,,,4,,1
200148,4.0,1,,1,1,1979.0,12.0,4,1,2,4,2,1,1,,,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,1.0,,6,77.0,1
201434,,2,,1,1,1991.0,15.0,4,1,1,4,2,1,2,,,1,5,77.0,1.0,2,,0,1.0,4,77,1,2.0,,4,,1
201550,1.0,1,,1,1,1983.0,7.0,4,1,2,4,2,1,1,3.0,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,,6,2.0,1
200386,2.0,1,,1,1,1983.0,,3,1,1,3,2,1,2,,2.0,2,3,2.0,1.0,2,,1,1.0,5,1,1,4.0,,5,2.0,1
201455,1.0,1,,1,1,1981.0,,4,1,1,2,2,1,1,3.0,2.0,1,4,1.0,1.0,2,0.0,1,1.0,5,8,1,2.0,3.0,6,,1
203088,,1,,1,1,1988.0,9.0,4,1,1,4,1,1,2,2.0,,1,3,,,2,,1,,4,2,1,2.0,,5,2.0,1
203780,,1,,1,1,1988.0,,1,1,2,4,2,1,2,,,1,4,,,2,0.0,1,,3,77,1,1.0,,3,2.0,1
204842,2.0,1,,1,1,1977.0,5.0,4,1,1,4,2,1,3,3.0,2.0,2,4,1.0,1.0,2,,1,1.0,4,1,2,,,2,,1
200837,1.0,1,1.0,1,1,1985.0,6.0,4,1,1,4,2,1,1,3.0,1.0,1,3,1.0,1.0,1,0.0,1,1.0,4,8,1,2.0,3.0,6,2.0,1
204844,,2,,1,1,1988.0,3.0,4,1,1,4,2,1,3,3.0,,2,5,2.0,2.0,2,,1,1.0,4,1,1,,,5,,1
203798,,1,,1,1,1985.0,,4,1,1,4,2,1,1,,,2,5,77.0,1.0,2,,0,1.0,5,77,1,,,4,,1
202153,2.0,1,,1,1,,6.0,4,1,2,4,1,1,1,,2.0,2,5,1.0,1.0,2,,0,1.0,4,7,1,2.0,3.0,5,,1
202591,1.0,1,,2,1,,6.0,4,1,1,4,2,1,2,,2.0,1,5,2.0,1.0,2,0.0,1,1.0,4,11,1,2.0,,6,2.0,1
200981,2.0,1,,1,1,1982.0,,4,1,1,4,2,1,1,3.0,2.0,1,5,1.0,1.0,2,,1,1.0,5,12,1,2.0,8.0,6,,1
201481,2.0,1,,1,1,1994.0,,4,1,1,2,2,1,1,3.0,2.0,2,5,2.0,1.0,2,,1,1.0,5,3,2,,,3,,2
201543,,1,,1,1,1973.0,5.0,4,1,2,4,2,1,4,2.0,,1,4,77.0,2.0,2,,1,1.0,4,1,2,4.0,4.0,2,2.0,1
203568,4.0,1,,1,1,1988.0,15.0,3,1,1,2,2,1,3,2.0,,1,5,1.0,1.0,2,,1,1.0,4,1,2,4.0,,4,2.0,1
204916,,1,,1,1,1986.0,6.0,4,1,2,3,2,1,3,,,2,4,1.0,2.0,2,,1,1.0,4,1,1,2.0,,6,,1
203421,1.0,1,,1,1,1976.0,15.0,4,1,2,4,2,1,2,,2.0,1,5,1.0,1.0,2,26.0,1,1.0,4,12,1,3.0,12.0,6,,1
202102,4.0,2,,1,1,1983.0,,4,1,1,2,2,1,3,,,1,5,1.0,1.0,2,0.0,1,1.0,5,10,1,2.0,3.0,5,2.0,1
201331,,1,,2,1,1974.0,3.0,4,1,2,4,2,1,1,3.0,,1,5,,,2,,1,,4,12,1,1.0,3.0,6,2.0,1
202828,4.0,1,,1,1,1991.0,,1,1,1,2,2,1,1,1.0,,1,5,1.0,1.0,2,0.0,1,1.0,3,7,2,2.0,,4,,1
202296,4.0,1,,1,1,1987.0,3.0,4,1,2,4,1,1,1,,,1,5,1.0,1.0,2,0.0,1,1.0,4,2,1,1.0,,5,2.0,1
203062,4.0,1,,1,1,1992.0,12.0,4,1,1,4,2,1,3,3.0,,1,4,1.0,1.0,2,,1,1.0,4,1,1,2.0,,5,,1
203825,4.0,1,,1,1,1984.0,16.0,4,1,2,3,1,1,3,1.0,,2,5,1.0,1.0,2,,1,1.0,4,77,1,1.0,,6,,1
201063,1.0,1,,1,1,1976.0,,4,1,1,4,2,1,1,3.0,2.0,2,5,1.0,1.0,2,,0,1.0,5,12,1,,,6,,1
202406,1.0,1,,1,1,1992.0,,3,1,1,1,2,1,1,3.0,2.0,1,5,1.0,1.0,2,0.0,1,1.0,5,3,1,2.0,3.0,5,2.0,1
204754,4.0,1,,1,1,1983.0,6.0,4,1,2,4,2,1,3,3.0,,1,5,2.0,1.0,2,,0,1.0,4,12,1,2.0,2.0,6,1.0,1
204693,2.0,1,,1,1,1984.0,11.0,2,1,1,4,2,1,1,,2.0,1,5,1.0,1.0,2,,1,1.0,4,11,1,2.0,,5,1.0,1
201744,3.0,1,,1,1,1984.0,9.0,2,1,2,4,2,1,1,,2.0,1,3,1.0,1.0,2,0.0,1,1.0,4,9,1,2.0,,5,1.0,1
200159,2.0,1,,1,1,,,4,1,2,4,2,1,3,,3.0,1,4,2.0,1.0,2,0.0,1,1.0,2,99,1,2.0,3.0,6,1.0,1
203987,1.0,1,,1,1,1977.0,,4,1,2,4,2,1,2,1.0,3.0,1,5,1.0,2.0,2,0.0,1,1.0,1,2,2,2.0,3.0,6,1.0,1
204688,,1,,1,1,1978.0,3.0,4,1,1,4,1,1,4,2.0,,1,5,2.0,2.0,2,0.0,0,1.0,4,1,2,2.0,3.0,4,2.0,1
200699,4.0,3,,2,1,1985.0,12.0,2,1,2,4,2,1,4,2.0,,2,4,1.0,1.0,2,,1,1.0,4,1,2,,,5,,1
205040,1.0,1,,1,1,1977.0,3.0,4,1,1,4,2,1,2,,2.0,1,4,1.0,1.0,2,0.0,1,1.0,4,12,1,3.0,,6,1.0,1
