clientid,resp,qkey,el12_1,samp_weight,sc3,st1,ih2,cp10wks,sc7,sc2,cp6b,el17a,ih4_1,sd1_1,es1a,bc1,sc4d1,el8,odate,el10,de3,de2_1,sc4b1,d4_1,sd1mns,es1b,fulladra,d5,bf1a_1,d4_2,ih1,el17e,el9,cp1
3930,1038,203930,,1.1410221922871129,2.0,4,1,,1,1.0,,2.0,,,3,1,1,77.0,19-Mar-16,24.0,,,,3,,77,1.0,81,1.0,,3,1.0,1.0,2
2252,272,202252,2.0,1.2891432338343036,2.0,4,1,,1,1.0,2.0,1.0,,,4,1,1,77.0,27-Feb-16,20.0,1.0,3.0,,3,,4,1.0,1,2.0,,1,2.0,2.0,1
835,1110,200835,,1.5237940394704428,2.0,4,1,,1,1.0,1.0,,,,4,1,2,,21-Mar-16,,30.0,8.0,,8,,4,1.0,30,3.0,,3,,,1
1672,368,201672,2.0,0.6117771198179439,,4,1,,1,,6.0,1.0,,,3,1,2,77.0,29-Feb-16,20.0,1.0,1.0,,1,,4,1.0,1,3.0,,2,2.0,1.0,1
4919,1465,204919,3.0,0.6784867889500306,2.0,4,1,,1,1.0,1.0,1.0,,,1,1,1,9.0,29-Mar-16,40.0,1.0,99.0,,99,,4,1.0,1,3.0,,1,2.0,1.0,1
1265,678,201265,3.0,0.7934138949575522,2.0,4,1,2.0,1,1.0,3.0,,,,4,1,1,6.0,9-Mar-16,45.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,,2.0,1
2207,243,202207,3.0,0.3643779061197972,2.0,4,1,1.0,1,1.0,1.0,1.0,,,4,1,2,9.0,26-Feb-16,46.0,1.0,2.0,,2,,4,1.0,1,3.0,,2,2.0,1.0,1
1692,299,201692,77.0,0.7096953779126423,,4,1,,1,,2.0,,6.0,,2,1,2,9.0,28-Feb-16,30.0,26.0,8.0,,8,,4,1.0,26,3.0,,4,,1.0,1
4261,385,204261,2.0,0.7934138949575522,2.0,4,1,,1,1.0,6.0,1.0,,,4,1,1,4.0,1-Mar-16,50.0,16.0,8.0,,1,,4,,1,3.0,,3,2.0,1.0,1
818,1182,200818,3.0,0.3133337977911882,,4,1,,1,,,,,,1,1,1,77.0,22-Mar-16,40.0,,,,8,,4,1.0,26,3.0,,3,,1.0,2
4559,529,204559,,2.662227028579789,2.0,4,1,,1,1.0,6.0,1.0,,,3,1,2,1.0,7-Mar-16,35.0,2.0,2.0,,2,,4,,2,77.0,,1,2.0,1.0,1
3493,540,203493,,2.0131135983238564,2.0,2,1,,1,1.0,,,,,2,1,1,,7-Mar-16,,,,,77,,2,1.0,1,,,2,,,2
4367,901,204367,3.0,1.1580118652854337,2.0,4,1,,1,1.0,1.0,2.0,,,4,1,2,77.0,17-Mar-16,15.0,5.0,2.0,,2,,4,1.0,1,3.0,,2,1.0,2.0,1
2750,285,202750,3.0,0.7209580353731216,2.0,4,1,3.0,1,1.0,1.0,1.0,,,4,1,2,9.0,27-Feb-16,40.0,33.0,1.0,,1,,4,,1,3.0,,1,1.0,1.0,1
3379,293,203379,,1.9019419762168035,2.0,4,1,,1,1.0,1.0,,,,4,1,2,,28-Feb-16,,26.0,1.0,,1,,4,1.0,26,3.0,,2,,,1
3,953,200003,3.0,0.710955213454301,2.0,4,1,,1,1.0,,2.0,,,4,1,1,1.0,18-Mar-16,25.0,,,,1,,4,1.0,67,1.0,,2,2.0,1.0,2
1919,649,201919,,0.6646091676129222,2.0,4,1,,1,1.0,5.0,2.0,,,3,1,2,2.0,9-Mar-16,40.0,56.0,1.0,,1,,3,1.0,56,1.0,,3,1.0,2.0,1
144,824,200144,2.0,0.8537546427693276,2.0,4,1,2.0,1,1.0,6.0,2.0,,2.0,4,1,2,9.0,15-Mar-16,50.0,2.0,1.0,,1,3.0,4,1.0,67,3.0,,1,2.0,1.0,1
61,140,200061,3.0,0.9396575253447524,,4,1,,1,,5.0,2.0,,2.0,4,1,2,8.0,25-Feb-16,40.0,1.0,1.0,,1,7.0,4,1.0,67,3.0,,3,1.0,1.0,1
1196,1384,201196,77.0,0.8346034797408582,,4,1,1.0,1,,6.0,,,,3,1,2,77.0,25-Mar-16,35.0,1.0,2.0,,2,,4,1.0,1,3.0,,1,,2.0,1
4771,651,204771,3.0,0.6205417032173489,,4,1,,1,,3.0,1.0,,,3,1,1,2.0,9-Mar-16,30.0,42.0,2.0,,2,,4,1.0,42,3.0,,3,1.0,1.0,1
3294,1530,203294,,1.111854764304545,2.0,4,1,,1,1.0,1.0,,,,4,1,1,,31-Mar-16,,82.0,8.0,,8,,4,1.0,82,3.0,,1,,,1
2074,146,202074,,1.231226004602249,2.0,4,1,,1,1.0,,,,,4,1,2,,25-Feb-16,,,,,2,,4,1.0,58,3.0,,1,,,2
34,582,200034,2.0,1.167245406416207,2.0,4,1,4.0,1,1.0,1.0,2.0,,,4,1,2,77.0,8-Mar-16,40.0,21.0,3.0,,3,,4,1.0,21,3.0,,1,1.0,1.0,1
4394,1147,204394,,2.067424311917889,2.0,4,1,,1,1.0,3.0,,,,3,1,2,,22-Mar-16,,1.0,2.0,,1,,4,1.0,2,1.0,,1,,,1
3966,778,203966,2.0,2.590429523509026,,4,1,,1,,3.0,2.0,,2.0,4,1,2,3.0,13-Mar-16,40.0,1.0,2.0,,2,7.0,4,1.0,1,,,1,1.0,1.0,1
2443,1030,202443,,3.2992486565852053,,4,1,6.0,1,,6.0,,,,4,1,2,,19-Mar-16,,11.0,3.0,,3,,2,1.0,11,3.0,,2,,,1
2894,556,202894,3.0,0.5066566295295585,,4,1,,1,,1.0,1.0,,,4,1,1,6.0,8-Mar-16,40.0,1.0,1.0,,8,,2,,30,3.0,,3,1.0,1.0,1
2294,418,202294,,1.4517792672654657,2.0,4,1,,1,1.0,1.0,,,,1,1,2,,2-Mar-16,,56.0,8.0,,8,,4,1.0,56,3.0,,1,,,1
1625,894,201625,3.0,0.9473386428773504,2.0,4,1,,1,1.0,1.0,1.0,,,4,1,1,9.0,16-Mar-16,35.0,43.0,3.0,,3,,4,1.0,43,1.0,,3,1.0,1.0,1
2299,866,202299,,2.5239632132832868,2.0,4,1,3.0,1,1.0,1.0,,,,3,1,1,,16-Mar-16,,1.0,8.0,,8,,4,1.0,1,3.0,,1,,,1
1139,523,201139,2.0,0.5313322294183933,,4,1,1.0,1,,3.0,2.0,,,3,1,1,9.0,6-Mar-16,31.0,1.0,1.0,,1,,4,1.0,1,3.0,,3,1.0,1.0,1
2050,1054,202050,2.0,0.5906219125218088,2.0,4,1,2.0,1,1.0,1.0,1.0,,2.0,4,1,2,9.0,20-Mar-16,24.0,13.0,1.0,,1,7.0,4,1.0,2,3.0,,1,2.0,1.0,1
2722,1074,202722,,1.376669903099634,2.0,2,1,,1,1.0,5.0,2.0,,,4,1,2,9.0,20-Mar-16,20.0,42.0,8.0,,8,,4,1.0,42,3.0,2.0,1,1.0,2.0,1
32,391,200032,3.0,0.7934138949575522,2.0,4,1,,1,1.0,2.0,1.0,,,4,1,1,77.0,1-Mar-16,50.0,67.0,1.0,,1,,4,1.0,1,3.0,,2,2.0,2.0,1
4267,195,204267,2.0,0.6553293469857732,2.0,4,1,1.0,1,1.0,1.0,1.0,,2.0,4,1,1,6.0,26-Feb-16,40.0,1.0,1.0,,1,3.0,4,1.0,1,3.0,,2,2.0,1.0,1
4633,1230,204633,,0.5814438289564205,2.0,4,1,,1,1.0,2.0,,,,77,1,2,5.0,23-Mar-16,777.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,,2.0,1
2699,767,202699,,1.5095016096604437,2.0,4,1,,1,1.0,3.0,,,,2,2,1,,13-Mar-16,,29.0,1.0,2.0,1,,4,1.0,29,1.0,,1,,,1
3606,691,203606,2.0,0.5504341865515839,2.0,4,1,,1,1.0,6.0,1.0,,,4,1,1,9.0,10-Mar-16,40.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
3566,241,203566,3.0,0.9325659757274568,2.0,4,1,,1,1.0,1.0,1.0,,,4,1,1,9.0,26-Feb-16,40.0,1.0,1.0,,3,,4,,1,3.0,,2,2.0,1.0,1
2741,780,202741,3.0,0.5814438289564205,2.0,4,1,2.0,1,1.0,1.0,1.0,,2.0,4,1,1,6.0,13-Mar-16,45.0,1.0,1.0,,1,5.0,4,,1,1.0,,1,1.0,1.0,1
3472,1028,203472,,0.8537546427693276,2.0,4,1,1.0,1,1.0,3.0,,,,4,1,1,2.0,19-Mar-16,40.0,2.0,1.0,,1,,4,1.0,2,3.0,,1,,1.0,1
2632,1250,202632,,0.4106383247174564,2.0,4,77,,1,1.0,3.0,,2.0,,2,1,1,,23-Mar-16,,28.0,8.0,,8,,4,1.0,28,3.0,,2,,,1
890,607,200890,2.0,0.5814438289564205,,4,1,,1,,2.0,,,,4,1,2,7.0,8-Mar-16,65.0,1.0,1.0,,1,,4,,1,3.0,,1,,1.0,1
5006,1286,205006,3.0,0.3818156647503525,2.0,4,1,,1,1.0,3.0,1.0,,,4,1,2,9.0,23-Mar-16,32.0,1.0,8.0,,8,,4,,1,3.0,,1,2.0,1.0,1
4412,431,204412,,2.165801871202156,2.0,4,1,,1,1.0,1.0,,,,2,1,2,,2-Mar-16,,1.0,77.0,,77,,2,1.0,1,3.0,,1,,,1
3455,1287,203455,,1.34564087744594,2.0,4,1,,1,1.0,1.0,,,,2,1,1,,23-Mar-16,,28.0,8.0,,8,,4,1.0,28,3.0,,1,,,1
1930,404,201930,,1.4188585997540666,2.0,4,1,,1,1.0,2.0,,,,3,1,2,,1-Mar-16,,22.0,1.0,,1,,4,1.0,22,3.0,,1,,,1
738,1141,200738,3.0,0.8025653601935056,2.0,4,1,,1,1.0,1.0,1.0,,,4,1,1,6.0,22-Mar-16,40.0,26.0,2.0,,2,,4,1.0,1,3.0,,3,2.0,1.0,1
1859,636,201859,,0.3231015567041596,2.0,4,1,,1,1.0,1.0,2.0,,,4,1,1,1.0,9-Mar-16,40.0,76.0,8.0,,8,,3,1.0,76,3.0,,1,1.0,2.0,1
3169,749,203169,2.0,1.167245406416207,2.0,4,1,1.0,1,1.0,3.0,1.0,,,4,1,1,9.0,12-Mar-16,80.0,45.0,3.0,,3,,4,1.0,45,3.0,,2,2.0,1.0,1
10,246,200010,,1.7581890552032065,2.0,4,1,,1,1.0,2.0,,,,4,1,1,,26-Feb-16,,56.0,8.0,,8,,4,,56,3.0,,1,,,1
903,413,200903,3.0,0.6403593119990468,,4,1,,1,,,1.0,,,2,1,1,6.0,2-Mar-16,30.0,,,,2,,4,1.0,40,3.0,,1,2.0,1.0,2
1323,420,201323,,0.6784867889500306,2.0,2,1,,1,1.0,3.0,,6.0,,3,1,2,,2-Mar-16,,1.0,2.0,,2,,1,1.0,1,3.0,,1,,,1
3727,1131,203727,2.0,0.5814438289564205,2.0,4,1,1.0,1,1.0,6.0,1.0,,1.0,4,1,1,9.0,21-Mar-16,45.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
1193,1300,201193,,0.5109806507612417,2.0,4,1,,1,1.0,1.0,,,,2,2,2,,23-Mar-16,,1.0,2.0,,2,,4,1.0,1,,,2,,,1
806,447,200806,,1.87337091957397,,4,2,,1,,6.0,,5.0,,2,1,1,,3-Mar-16,,1.0,99.0,,99,,4,1.0,1,3.0,,1,,,1
1500,1548,201500,2.0,0.4917835120018629,,4,1,,1,,6.0,1.0,,,3,1,1,7.0,3-Apr-16,20.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
3286,1116,203286,,0.4661076961632024,2.0,4,1,,1,1.0,1.0,,,,3,1,1,77.0,21-Mar-16,0.0,56.0,8.0,,8,,4,1.0,56,3.0,,4,,2.0,1
171,679,200171,2.0,0.4500919379728818,2.0,4,1,2.0,1,1.0,1.0,1.0,,,4,1,1,9.0,9-Mar-16,20.0,50.0,4.0,,4,,4,1.0,50,3.0,,2,2.0,1.0,1
575,840,200575,2.0,0.7934138949575522,2.0,4,1,,1,1.0,,1.0,,,4,1,1,9.0,16-Mar-16,50.0,,,,1,,4,1.0,1,2.0,,5,2.0,1.0,2
2794,1430,202794,,1.9031338456507607,2.0,4,1,1.0,1,1.0,3.0,,,,4,1,1,3.0,28-Mar-16,20.0,64.0,1.0,,1,,4,1.0,64,3.0,,3,,2.0,1
3984,1490,203984,,1.87337091957397,,4,1,,1,,6.0,,,,3,1,1,,29-Mar-16,,2.0,1.0,,1,,4,1.0,1,3.0,,1,,,1
2985,340,202985,,1.6675362197714827,2.0,4,1,,1,1.0,3.0,,,,3,1,1,,29-Feb-16,,1.0,8.0,,8,,4,1.0,1,3.0,,1,,,1
3991,132,203991,,1.0173897126688836,,4,1,,1,,1.0,1.0,,,4,1,1,7.0,25-Feb-16,40.0,1.0,2.0,,2,,4,1.0,1,3.0,,1,1.0,1.0,1
3722,308,203722,,0.595846413469131,2.0,4,1,,1,1.0,1.0,,,,2,1,2,77.0,28-Feb-16,20.0,5.0,2.0,,2,,4,1.0,39,3.0,,1,,2.0,1
5217,1483,205217,2.0,0.7209580353731216,2.0,4,1,,1,1.0,,1.0,,1.0,4,1,1,9.0,29-Mar-16,40.0,,,,1,,4,,1,3.0,,1,2.0,1.0,2
1408,663,201408,,1.4338887482318046,2.0,4,1,,1,1.0,1.0,,,,3,1,1,77.0,9-Mar-16,14.0,56.0,8.0,,99,,4,1.0,56,3.0,,3,,2.0,1
1417,1422,201417,,1.718526924477776,2.0,4,1,,1,1.0,1.0,,,,4,1,1,1.0,26-Mar-16,0.0,56.0,8.0,,99,,4,,56,3.0,,1,,2.0,1
302,896,200302,2.0,0.5313322294183933,,4,2,,1,,4.0,1.0,5.0,,3,1,1,77.0,16-Mar-16,20.0,1.0,1.0,,1,,4,1.0,1,3.0,,2,1.0,1.0,1
1335,1020,201335,,0.9396575253447524,2.0,4,1,2.0,1,1.0,6.0,99.0,,2.0,4,1,1,1.0,18-Mar-16,25.0,1.0,1.0,,8,4.0,4,1.0,26,3.0,,1,99.0,1.0,1
477,73,200477,,0.5457304734666845,,4,1,,1,,1.0,,,,4,1,2,,24-Feb-16,,41.0,2.0,,2,,4,,41,1.0,,1,,,1
4971,388,204971,,0.7110864606386401,2.0,4,1,,1,1.0,1.0,1.0,,,4,1,2,77.0,1-Mar-16,25.0,22.0,1.0,,1,,4,1.0,22,,,1,1.0,1.0,1
4547,993,204547,,3.131690766352748,2.0,4,1,,1,1.0,1.0,,,,4,1,2,,18-Mar-16,,11.0,3.0,,3,,4,,11,3.0,,1,,,1
4131,723,204131,3.0,0.6656846810040344,2.0,4,1,,1,1.0,5.0,,1.0,,4,1,2,9.0,10-Mar-16,40.0,79.0,1.0,,1,,4,1.0,79,3.0,,3,,1.0,1
298,618,200298,3.0,0.6403593119990468,,4,1,,1,,,2.0,,,3,1,1,9.0,8-Mar-16,30.0,,,,2,,4,1.0,2,3.0,,2,2.0,1.0,2
4143,1192,204143,3.0,0.6656846810040344,2.0,4,1,2.0,1,1.0,3.0,2.0,,,4,1,1,3.0,22-Mar-16,45.0,2.0,1.0,,1,,4,1.0,81,3.0,,1,1.0,1.0,1
4768,963,204768,2.0,0.7758749342864713,2.0,4,1,,1,1.0,1.0,1.0,,,3,2,1,8.0,18-Mar-16,50.0,1.0,2.0,,2,,4,1.0,1,,,4,1.0,1.0,1
1596,1510,201596,,2.115825327666173,2.0,4,1,1.0,1,1.0,6.0,,,,3,1,2,,30-Mar-16,,56.0,8.0,,8,,4,1.0,56,3.0,,3,,,1
831,208,200831,2.0,0.376343004551349,2.0,4,1,1.0,1,1.0,1.0,1.0,,2.0,4,1,1,9.0,26-Feb-16,40.0,1.0,8.0,,8,3.0,4,1.0,1,3.0,,2,2.0,1.0,1
3811,784,203811,,1.5089281313459757,2.0,4,1,,1,1.0,3.0,,,,4,1,2,,14-Mar-16,,56.0,1.0,,1,,4,1.0,56,3.0,,1,,,1
147,1043,200147,2.0,0.7575463891754727,2.0,4,1,,1,1.0,,1.0,,2.0,3,1,1,9.0,19-Mar-16,40.0,,,,2,11.0,3,1.0,1,,,2,1.0,1.0,2
2970,1146,202970,3.0,0.356931499224959,2.0,4,1,3.0,1,1.0,1.0,1.0,,,3,1,1,9.0,22-Mar-16,20.0,1.0,2.0,,2,,4,1.0,1,77.0,,1,2.0,1.0,1
931,39,200931,,1.93546141231906,2.0,4,1,,1,1.0,1.0,,,,4,1,2,,24-Feb-16,,1.0,1.0,,1,,4,1.0,2,3.0,,1,,,1
4527,384,204527,2.0,0.5814438289564205,2.0,4,1,2.0,1,1.0,2.0,1.0,,,4,1,2,7.0,1-Mar-16,45.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,1.0,1.0,1
4008,1246,204008,3.0,1.1410221922871129,2.0,4,1,,1,1.0,,1.0,,,4,1,2,77.0,23-Mar-16,30.0,,,,3,,4,1.0,21,3.0,,1,1.0,1.0,2
960,737,200960,,2.5466217901063137,2.0,4,1,,1,1.0,5.0,,,,4,1,2,,11-Mar-16,,1.0,8.0,,1,,4,2.0,1,3.0,,1,,,1
788,1059,200788,2.0,1.87337091957397,,4,1,,1,,5.0,2.0,6.0,2.0,3,1,2,9.0,20-Mar-16,8.0,1.0,1.0,,1,8.0,4,1.0,1,3.0,,1,1.0,2.0,1
3287,1004,203287,,1.225093156783934,2.0,4,1,,1,1.0,3.0,,,,4,1,1,,18-Mar-16,,1.0,2.0,,3,,4,,2,3.0,,1,,,1
911,1328,200911,,2.5772303621371506,2.0,1,1,,1,1.0,,,,,3,1,2,,24-Mar-16,,,,,1,,3,1.0,1,3.0,,1,,,2
1387,1254,201387,3.0,0.9473386428773504,2.0,4,1,,1,1.0,,2.0,,,4,1,1,5.0,23-Mar-16,30.0,,,,3,,4,1.0,43,3.0,,2,1.0,1.0,2
667,1027,200667,,1.0598919874253978,2.0,4,1,,1,1.0,,,,,2,1,2,,19-Mar-16,,,,,3,,4,1.0,21,3.0,,3,,,2
4305,693,204305,2.0,0.7218738168891442,2.0,4,1,,1,1.0,3.0,1.0,,2.0,4,1,2,9.0,10-Mar-16,30.0,1.0,2.0,,2,3.0,4,1.0,1,,,1,2.0,1.0,1
3178,1341,203178,,1.722943115061314,2.0,3,1,,1,1.0,6.0,1.0,,2.0,4,1,2,9.0,24-Mar-16,40.0,1.0,2.0,,1,3.0,4,1.0,1,3.0,,1,2.0,1.0,1
4495,788,204495,2.0,0.5308169100036985,2.0,4,1,,1,1.0,1.0,1.0,,2.0,4,1,1,8.0,14-Mar-16,40.0,26.0,8.0,,77,2.0,4,1.0,26,3.0,,2,1.0,1.0,1
1416,100,201416,,0.9526056408600638,2.0,4,1,,1,1.0,,2.0,,,2,1,1,8.0,25-Feb-16,30.0,,,,77,,4,1.0,1,3.0,,2,2.0,1.0,2
3001,507,203001,3.0,0.7209580353731216,2.0,4,1,2.0,1,1.0,5.0,1.0,,,4,1,2,8.0,6-Mar-16,10.0,1.0,1.0,,1,,4,1.0,1,3.0,,2,1.0,1.0,1
410,1220,200410,2.0,0.5717955855528118,,4,1,,1,,3.0,1.0,6.0,,3,1,1,1.0,23-Mar-16,31.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
3368,126,203368,3.0,1.0276789098189507,2.0,4,1,2.0,1,1.0,3.0,1.0,,,4,1,1,9.0,25-Feb-16,60.0,1.0,1.0,,1,,4,1.0,1,3.0,3.0,1,1.0,1.0,1
3253,1082,203253,77.0,0.9526056408600638,2.0,4,1,,1,1.0,1.0,2.0,,2.0,3,1,2,9.0,20-Mar-16,35.0,65.0,8.0,,8,5.0,3,1.0,1,3.0,,2,1.0,1.0,1
4900,600,204900,,3.653037328316086,2.0,4,1,3.0,1,1.0,2.0,,,,4,1,2,,8-Mar-16,,11.0,3.0,,3,,4,,11,3.0,,3,,,1
4690,1185,204690,2.0,0.5788605352400658,2.0,4,1,,1,1.0,5.0,1.0,,,4,1,2,9.0,22-Mar-16,37.0,1.0,8.0,,1,,4,,64,3.0,,2,2.0,1.0,1
3863,380,203863,2.0,3.0044903685443187,2.0,4,1,,1,1.0,5.0,1.0,6.0,,4,1,1,6.0,1-Mar-16,60.0,1.0,1.0,,1,,4,,1,,,1,2.0,1.0,1
2003,846,202003,,0.5028569253725641,2.0,4,1,,1,1.0,1.0,,,,3,1,1,,16-Mar-16,,1.0,8.0,,8,,4,1.0,1,3.0,,1,,,1
4882,1297,204882,,1.4517792672654657,2.0,4,1,,1,1.0,1.0,2.0,,,4,1,2,77.0,23-Mar-16,40.0,28.0,8.0,,8,,4,1.0,28,3.0,,2,1.0,1.0,1
1485,1432,201485,3.0,0.2681273283160866,2.0,4,1,2.0,1,1.0,1.0,1.0,,,4,1,2,77.0,28-Mar-16,43.0,26.0,99.0,,99,,4,1.0,26,1.0,,1,1.0,1.0,1
28,861,200028,,1.0839257210141282,2.0,4,1,,1,1.0,,,,,2,1,1,,16-Mar-16,,,,,1,,4,1.0,28,3.0,,3,,,2
4315,232,204315,2.0,0.4680251806217099,,4,2,,1,,,1.0,3.0,,3,1,1,9.0,26-Feb-16,40.0,,,,2,,4,1.0,1,1.0,,5,2.0,1.0,2
1059,1550,201059,2.0,0.5313322294183933,,4,1,,1,,5.0,1.0,,,3,1,1,9.0,3-Apr-16,20.0,1.0,1.0,,1,,2,1.0,1,3.0,,1,2.0,1.0,1
3363,1041,203363,3.0,1.167245406416207,2.0,4,1,,1,1.0,1.0,1.0,,,4,1,2,2.0,19-Mar-16,50.0,1.0,2.0,,3,,4,,21,3.0,,1,2.0,1.0,1
1569,729,201569,3.0,0.972070869890134,2.0,4,1,,1,1.0,,1.0,,,4,1,1,77.0,11-Mar-16,40.0,,,,2,,4,1.0,1,,,1,1.0,1.0,2
