clientid,d3,el16,pph2b,el14,de1,pph2c,cp5,el7,bf1awks,sc6a,bf2,sc4,qrep,d1,qc1,pop_weight,el13b,el11,el13d,de2_3,el15,mh3a,el17d,de2_2,el17b,mh2,sc4b2,pph2a,el4,es4,sd2,bf1wks,bc3,mh4,cp6c,el1
2103,2,,,2.0,2.0,,2.0,1.0,,2,,1,13,1,2,71.19899465918667,12.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,2,3,3.0,1
2606,2,,,,2.0,,1.0,,,2,1.0,1,15,1,2,221.1071562540036,,,,,,,,,,2,,,,3,,,2,3,2.0,2
3996,1,,,1.0,,,,1.0,,2,3.0,1,23,1,2,70.73729638959058,3.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,8,1.0,,2,3,,1
1928,1,,,,1.0,,2.0,,,2,3.0,1,22,1,2,34.77190774887914,,,,,,,,,,2,,,,4,,,4,3,1.0,2
3816,2,,,,,,,2.0,,2,,1,12,99,2,70.28904032548176,,77.0,,,1.0,,2.0,,2.0,2,,,1.0,7,1.0,,2,1,,1
3220,2,,,1.0,2.0,,1.0,2.0,,1,7.0,1,11,1,1,66.6488050886899,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,3,1,1.0,1
3591,2,,,,2.0,,1.0,,,2,3.0,1,23,1,2,207.6497124011716,,,,,,,,,,2,,,,5,,,4,3,2.0,2
4549,2,,,1.0,1.0,,2.0,2.0,,2,5.0,1,21,1,2,71.34267874228107,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,10.0,3,1,5.0,1
2560,2,,,1.0,1.0,,2.0,1.0,2.0,2,5.0,1,2,1,2,65.13853220455164,6.0,3.0,8.0,,1.0,,1.0,,2.0,2,,,1.0,3,1.0,,2,3,3.0,1
545,2,,,1.0,,,,1.0,,2,7.0,1,14,1,2,77.96125225726753,,2.0,,,1.0,,1.0,,2.0,1,,,1.0,7,1.0,,1,4,,1
1259,1,,,,1.0,,1.0,,,2,1.0,1,23,1,1,184.82909614937645,,,,,,,,,,2,,,,4,,,3,3,2.0,2
1621,1,4.0,,2.0,1.0,,1.0,1.0,,2,1.0,1,21,1,2,90.2646649109175,,2.0,,,2.0,,,,,2,,,1.0,3,,,5,2,1.0,1
4392,1,,2.0,2.0,1.0,2.0,3.0,1.0,,2,4.0,1,12,1,1,64.57756336587175,,2.0,,,4.0,,2.0,,2.0,2,,2.0,1.0,2,1.0,,2,4,5.0,1
4935,2,9.0,,,2.0,,3.0,1.0,,2,2.0,1,12,1,2,69.16097319235138,,4.0,,,2.0,,,,,2,,,1.0,3,,,2,1,5.0,1
3031,2,,,2.0,2.0,,1.0,2.0,4.0,2,3.0,1,9,1,2,54.16089844859776,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,2,1,4.0,1
3074,2,,,1.0,2.0,,2.0,1.0,,2,3.0,1,22,1,2,46.587616444351085,0.0,3.0,5.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,1,2.0,1
1160,1,1.0,2.0,,2.0,2.0,1.0,2.0,,1,1.0,1,5,1,2,119.25869698111956,,77.0,,,2.0,,,,,2,,1.0,1.0,3,,,4,3,2.0,1
3303,1,,,2.0,,,,2.0,,2,,1,1,1,1,105.61341539125706,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,2.0,3,1.0,,5,3,,1
4427,2,,,1.0,2.0,,1.0,1.0,,2,,1,7,1,2,64.09098382191787,6.0,3.0,1.0,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,3,1,4.0,1
2457,1,,,,1.0,,1.0,,,1,5.0,1,5,1,2,251.46878888186583,,,,,,,,,,2,,,,3,,2.0,3,3,1.0,2
1963,1,,,,1.0,,1.0,,,1,3.0,1,7,1,2,115.9628318210842,,,,,,,,,,2,,,,6,,,2,3,3.0,2
91,2,,,1.0,2.0,,3.0,2.0,,2,3.0,1,25,1,2,124.09459079271028,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,3,1,2.0,1
2811,2,,,1.0,2.0,,1.0,2.0,,1,4.0,1,5,1,2,50.65101409077374,1.0,3.0,0.0,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,2,2,1.0,1
1050,2,,,1.0,2.0,,3.0,1.0,,2,7.0,1,8,1,2,73.4902435379962,0.0,1.0,0.0,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,3,2,2.0,1
1145,2,,,,2.0,,1.0,,,1,,1,19,1,1,95.87364200622122,,,,,,,,,,2,,,,3,,,3,1,3.0,2
2814,2,,,1.0,2.0,,1.0,77.0,,2,3.0,1,23,1,1,57.8841050403939,,2.0,,,1.0,,1.0,,1.0,2,,,77.0,3,1.0,,3,3,2.0,1
2276,1,,2.0,,,2.0,,,,2,1.0,1,20,1,1,215.6748534380017,,,,,,,,,,2,,1.0,,4,,,2,4,,2
950,1,,,,2.0,,2.0,1.0,,2,,1,21,1,2,49.20209559247249,,4.0,,,4.0,,1.0,,1.0,2,,,1.0,5,1.0,,2,1,1.0,1
9,2,,,1.0,2.0,,2.0,2.0,,2,7.0,1,1,99,1,137.92305092520698,0.0,3.0,1.0,,1.0,,1.0,,2.0,2,,,1.0,4,1.0,,3,3,2.0,1
4264,2,,,1.0,1.0,,1.0,1.0,,2,3.0,1,12,1,2,73.4902435379962,0.0,3.0,0.0,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,2,2,1.0,1
156,2,,,1.0,2.0,,1.0,1.0,,2,7.0,1,11,1,2,73.4902435379962,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,3,1,1.0,1
1287,2,,,1.0,2.0,,2.0,1.0,,2,3.0,1,15,1,2,59.20538603482472,0.0,3.0,77.0,,1.0,,1.0,,2.0,2,,,1.0,8,1.0,,2,1,3.0,1
4102,2,,,2.0,2.0,,2.0,1.0,,2,5.0,1,18,1,2,104.75557474350164,6.0,3.0,6.0,,1.0,,2.0,,2.0,2,,,2.0,3,2.0,,2,4,1.0,1
1295,2,,,1.0,2.0,,2.0,2.0,,1,1.0,1,13,1,2,74.73987371865125,,2.0,,,4.0,,2.0,,1.0,2,,,1.0,2,1.0,,2,3,4.0,1
4137,2,,,2.0,2.0,,2.0,2.0,,2,2.0,1,6,1,2,59.26898168429154,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,1.0,,1.0,4,1.0,,3,1,2.0,1
3630,2,,,2.0,2.0,,3.0,1.0,,2,5.0,1,23,1,2,54.16089844859776,0.0,3.0,5.0,,1.0,,1.0,,1.0,2,,,1.0,5,1.0,,2,2,4.0,1
1072,2,,,1.0,2.0,,2.0,2.0,12.0,2,3.0,1,8,1,2,66.8004390611387,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,4,2.0,,2,2,1.0,1
3348,1,,,2.0,1.0,,1.0,2.0,,2,1.0,1,13,1,1,27.33133093792839,,2.0,,,1.0,,2.0,,2.0,2,,,2.0,3,1.0,,2,1,1.0,1
3213,2,,2.0,1.0,2.0,2.0,1.0,1.0,,2,7.0,1,8,1,2,69.12724576569912,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,2.0,1.0,3,1.0,,3,3,1.0,1
4045,2,,2.0,1.0,2.0,2.0,4.0,2.0,,2,,1,3,1,1,58.28549620711241,,2.0,,,1.0,,2.0,,2.0,2,,2.0,1.0,5,2.0,,2,1,3.0,1
3900,2,,,2.0,2.0,,1.0,1.0,,2,3.0,1,10,1,1,57.39774212923652,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,5,1.0,,3,2,2.0,1
3685,2,,,2.0,2.0,,1.0,1.0,,2,4.0,1,18,1,2,67.91958813968297,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,2,1.0,,2,2,3.0,1
3134,2,,,1.0,2.0,,1.0,1.0,,2,3.0,1,16,1,2,87.02675265466911,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,4,3.0,,2,2,2.0,1
4987,2,,,1.0,1.0,,2.0,1.0,,2,1.0,1,1,1,2,55.90732989052593,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,4.0,3,2,3.0,1
4712,2,,,2.0,2.0,,1.0,1.0,,2,7.0,1,13,1,2,65.13853220455164,0.0,1.0,0.0,,1.0,3.0,2.0,,2.0,1,,,1.0,4,1.0,,2,2,1.0,1
1077,2,,,2.0,2.0,,1.0,1.0,1.0,2,1.0,1,19,1,2,63.50867690299047,0.0,3.0,24.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,1.0,3,1,3.0,1
4743,77,,,3.0,,,,2.0,2.0,2,7.0,1,16,1,1,219.1880383240197,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,5,1.0,,2,1,,1
4634,1,,,1.0,1.0,,4.0,1.0,,2,4.0,1,22,1,2,47.32111880919302,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,4,99.0,,1,3,5.0,1
2426,2,,,2.0,,,,2.0,,2,2.0,1,18,1,2,137.07748005079193,,2.0,,,1.0,,2.0,,2.0,1,,,1.0,4,1.0,,2,3,,1
1037,2,,,1.0,2.0,,1.0,2.0,6.0,2,7.0,1,17,99,2,124.09459079271028,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,3,2.0,,1,3,2.0,1
1849,2,,,1.0,2.0,,1.0,1.0,,2,2.0,1,14,1,2,87.02675265466911,0.0,1.0,0.0,,4.0,,1.0,,1.0,2,,,1.0,4,1.0,,2,1,1.0,1
3712,1,,,,,,,,,2,,1,1,1,2,244.229299014798,,,,,,,,,,2,,,,2,,,5,3,,2
988,2,,,1.0,,,,1.0,,2,,1,22,1,1,69.12724576569912,4.0,3.0,77.0,,1.0,,2.0,,1.0,2,,,1.0,5,1.0,,3,2,,1
2112,2,,,2.0,2.0,,1.0,2.0,,2,4.0,1,16,1,2,47.32111880919302,0.0,3.0,4.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,1,1,3.0,1
1908,2,,,1.0,2.0,,2.0,1.0,,2,1.0,1,24,1,2,62.07528104102016,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,2,2,1.0,1
1247,1,,,2.0,1.0,,77.0,2.0,,2,7.0,1,10,1,2,169.88653950262807,0.0,1.0,2.0,,1.0,,1.0,,1.0,2,,,1.0,4,1.0,,3,3,5.0,1
3517,2,2.0,,2.0,2.0,,1.0,1.0,,2,3.0,1,19,99,2,57.945220245476285,,2.0,,,2.0,,,,,2,,,1.0,4,,,2,2,3.0,1
886,2,,,2.0,2.0,,2.0,1.0,,2,3.0,1,12,1,2,115.3072376122815,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,3,1.0,,2,3,1.0,1
2029,1,,1.0,,1.0,2.0,1.0,,,2,7.0,1,1,1,2,110.73124897826726,,,,,,,,,,2,,2.0,,3,,,3,4,5.0,2
4568,2,10.0,,1.0,2.0,,1.0,2.0,,2,1.0,1,2,1,2,59.26898168429154,0.0,1.0,0.0,,2.0,,,,,2,,,1.0,2,,,3,3,1.0,1
3865,1,2.0,,,1.0,,2.0,2.0,,2,4.0,1,11,1,1,48.72836898644304,,2.0,,,2.0,,,,,2,,,1.0,2,,,1,1,2.0,1
3989,2,,,1.0,2.0,,2.0,2.0,,2,7.0,1,4,1,2,96.56615803162576,,2.0,,,1.0,,2.0,,1.0,1,,,1.0,3,2.0,,3,3,1.0,1
2746,1,,,,,,,,,2,,1,23,1,2,133.6254232296164,,,,,,,,,,2,,,,4,,,3,1,,2
3242,2,,,1.0,2.0,,1.0,1.0,,2,,1,15,1,2,120.48630485227734,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,4,1.0,,3,1,1.0,1
3065,2,,,1.0,,,,1.0,6.0,2,7.0,1,25,1,2,59.26898168429154,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,3,2.0,,2,2,,1
3531,2,,,1.0,2.0,,3.0,1.0,,2,1.0,1,13,1,2,59.26898168429154,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,3,2,3.0,1
4457,2,10.0,,1.0,2.0,,2.0,2.0,,2,7.0,1,22,1,2,75.73456933649528,,2.0,,,2.0,,,,,2,,,1.0,4,,,3,4,2.0,1
188,1,,,2.0,1.0,,1.0,2.0,,2,7.0,1,22,1,2,62.475467166308206,0.0,3.0,8.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,2,2.0,1
999,2,,,1.0,2.0,,4.0,1.0,,2,3.0,1,14,1,1,65.7817522781231,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,1,3.0,1
676,2,,,1.0,,,,1.0,,2,1.0,1,12,1,2,28.093790159716526,,2.0,,,4.0,,1.0,,1.0,2,,,1.0,3,2.0,,3,4,,1
3871,2,,,,2.0,,1.0,,,2,6.0,1,15,1,2,166.11484529247076,,,,,,,,,,2,,,,4,,3.0,3,1,2.0,2
2323,1,,,,1.0,,1.0,,,2,,1,10,1,2,102.47385879170406,,,,,,,,,,2,,,,4,,,3,3,2.0,2
1797,1,,,,1.0,,1.0,,,2,7.0,1,21,1,2,147.9858836160082,,,,,,,,,,1,,,,2,,,3,5,6.0,2
1341,2,,,,2.0,,2.0,1.0,,2,1.0,1,22,1,2,59.26898168429154,,4.0,,,1.0,,77.0,,1.0,2,,,1.0,4,1.0,,2,1,1.0,1
4059,1,,,,1.0,,3.0,,,2,3.0,1,17,1,2,184.82909614937645,,,,,,,,,,2,,,,5,,,3,3,4.0,2
3034,2,10.0,,3.0,,,,1.0,,2,,1,2,1,2,92.23140390332387,,2.0,,,2.0,,,,,2,,,1.0,3,,,2,1,,1
4391,1,,,,1.0,,1.0,,,2,,1,9,1,1,172.67843459309626,,,,,,,,,,2,,,,3,,,3,4,1.0,2
1129,2,,,1.0,2.0,,3.0,1.0,,2,2.0,1,24,1,2,28.093790159716526,8.0,3.0,2.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,4,3,4.0,1
4417,2,10.0,,2.0,2.0,,1.0,2.0,,2,,1,2,1,1,54.20077883711052,,2.0,,,2.0,,,,,2,,,1.0,6,,,3,2,3.0,1
4656,1,2.0,,,1.0,,4.0,2.0,,2,1.0,1,3,1,2,48.903049325255566,,4.0,,,2.0,,,,,2,,,1.0,2,,,2,1,1.0,1
2669,2,,,,2.0,,3.0,,,2,2.0,1,23,1,1,133.6254232296164,,,,,,,,,,2,,,,5,,,3,1,2.0,2
31,2,,,2.0,,,,1.0,,2,2.0,1,9,1,2,54.16089844859776,77.0,1.0,0.0,,1.0,,1.0,,1.0,2,,,1.0,2,1.0,,4,3,,1
4474,2,,,1.0,2.0,,1.0,1.0,,2,3.0,1,11,1,2,65.13853220455164,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,4,1.0,,3,1,2.0,1
1111,1,,,,1.0,,4.0,,3.0,2,2.0,1,7,1,1,110.48904555616828,,,,,,,,,,1,,,,4,,,3,3,6.0,2
4012,2,,,2.0,,,,2.0,,2,7.0,1,16,1,2,48.274888400858075,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,5,5.0,,2,2,,1
2856,1,,,,1.0,,1.0,,,2,6.0,1,25,1,2,29.2399461390062,,,,,,,,,,2,,,,2,,,3,2,3.0,2
3854,1,2.0,,2.0,1.0,,1.0,2.0,,1,4.0,1,12,1,1,226.38587098633303,,2.0,,,2.0,1.0,,,,1,,,1.0,4,,,2,4,2.0,1
3479,1,,,,2.0,,1.0,,,2,,1,3,1,2,48.601600209306,,,,,,,,,,2,,,,3,,,2,1,1.0,2
2394,1,,,,1.0,,3.0,,,2,1.0,1,11,1,2,172.67843459309626,,,,,,,,,,2,,,,3,,,3,3,6.0,2
4705,1,,,,1.0,,1.0,2.0,,2,3.0,1,5,1,2,49.013664189163606,,4.0,,,77.0,,,,,2,,,1.0,3,,,3,2,3.0,1
189,2,,,,2.0,,3.0,2.0,,2,7.0,1,20,1,2,55.07412147730257,,4.0,,,4.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,1,6.0,1
2058,2,,,2.0,2.0,,2.0,1.0,,2,,1,22,99,2,62.07528104102016,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,4,1.0,,2,2,1.0,1
810,2,,,,2.0,,2.0,,,2,,1,21,1,2,190.9604697660932,,,,,,,,,,2,,,,8,,,2,1,3.0,2
2281,1,,,,1.0,,1.0,,,2,,1,4,1,1,215.6748534380017,,,,,,,,,,2,,,,4,,,3,3,4.0,2
