bin,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_1_year_built,postcode,council_district,manhattan_condominium_property_market_value_per_sqft,nta,comparable_rental_1_address,census_tract,manhattan_condominium_property_building_classification
1013828.0,0.05,1905,10011.0,3.0,192.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,259 WEST 15 STREET,81.0,R4-ELEVATOR
1002127.0,0.75,1998,10013.0,1.0,160.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,70 BATTERY PLACE,39.0,R4-ELEVATOR
1001050.0,0.25,1920,10006.0,1.0,169.0,Battery Park City-Lower Manhattan                                          ,17 JOHN STREET,13.0,R4-ELEVATOR
1087504.0,0.25,1911,10011.0,3.0,220.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12 EAST 22 STREET,54.0,R4-ELEVATOR
1033386.0,0.15,2005,10024.0,6.0,206.0,Upper West Side                                                            ,2495 BROADWAY,175.0,R4-ELEVATOR
1080300.0,0.25,1929,10011.0,3.0,177.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,241 9 AVENUE,99.0,R4-ELEVATOR
1047949.0,0.15,1929,10028.0,4.0,165.0,Upper East Side-Carnegie Hill                                              ,16S EAST 83 STREET,14801.0,R9-CONDOPS
1073762.0,0.6,1981,10128.0,5.0,173.0,Yorkville                                                                  ,221 EAST 82 STREET,15601.0,R4-ELEVATOR
1009092.0,0.25,1940,10003.0,2.0,111.0,West Village                                                               ,20 5 AVENUE,59.0,R9-CONDOPS
1002844.0,0.1,1900,10013.0,1.0,135.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,36 LAIGHT STREET,39.0,R4-ELEVATOR
1044134.0,0.8,1900,10075.0,4.0,168.0,Lenox Hill-Roosevelt Island                                                ,5 EAST 63 STREET,134.0,R4-ELEVATOR
1008052.0,0.2,1900,10012.0,3.0,104.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,26 CARMINE STREET,49.0,R9-CONDOPS
1041317.0,0.5,1930,10021.0,4.0,202.0,Upper East Side-Carnegie Hill                                              ,320 EAST 65 STREET,122.0,R4-ELEVATOR
1077841.0,0.15,1989,10019.0,3.0,207.0,Clinton                                                                    ,227 WEST 48 STREET,127.0,R4-ELEVATOR
