des_addres,date_combo,bbl,build_oth,mat_third,mat_sec,style_prim,borough,shape_area,own_devel,build_type,use_orig
65 Montague Street,1934,3002410008,0,0,0,Not determined,BK,4786.85254975,Not determined,Apartment House,"Residential, multi-family"
150 Montague Street,1861 - 1879,3002490036,Row House with Commercial,0,0,Anglo-Italianate,BK,1809.98865751,Not determined,Row House,Residential
69A 7th Avenue,1880,3010610003,Row House with Commercial,0,0,neo-Grec,BK,1169.81446784,William Flanagan,Row House,Residential
272 Macon Street,1924 - 1927,3018530001,0,0,Stone,Not determined,BK,13263.0389132,Our Lady of Victory Roman Catholic Church,School,"Religious, school, Roman Catholic"
68 Middagh Street,1897,3002160019,0,0,0,Not determined,BK,1474.87468968,Not determined,Apartment House,"Residential, multi-family"
161 Columbia Heights,1844,3002340029,0,0,0,Greek Revival,BK,1387.66315773,Daniel Ayres,Row House,Residential
69 Cranberry Street,1829,3002160036,0,0,Stucco,Federal,BK,963.763009997,Richard Lawrence,Row House,Residential
348 Putnam Avenue,c. 1878,3018280043,0,0,Wood Cornice,neo-Grec,BK,709.426390944,Theodore W. Swimm,Row House,Residential
99 Chauncey Street,1910,3016850049,0,0,Rusticated Stone,neo-Georgian,BK,1342.43528159,George L. Beer,Row House,Residential
268 Decatur Street,1894 - 1897,3016800028,0,0,Rough-faced Stone,Romanesque Revival,BK,1150.94782463,Not determined,Row House,Residential
20 Irvington Place,c. 1912,3052370129,0,Asphalt Shingles,Wood,Not determined,BK,366.799960404,Percy D. Wright,Garage,"Outbuilding, garage"
109 South Elliott Place,1864,3021140010,0,0,Rusticated Brownstone,Italianate,BK,1269.49948174,Not determined,Row House,Residential
814 Marcy Avenue (aka 292 Monroe Street),c. 1899,3018180042,0,0,0,Romanesque Revival,BK,2121.52933927,Charles C. Keppell,Flats Building,"Residential, multi-family"
491 12th Street,1892,3010970068,0,0,Stone,Not determined,BK,1441.74970569,E. J. Norris,Apartment House,"Residential, multi-family"
123 Milton Street,1876,3025630074,0,0,0,neo-Grec,BK,891.824349329,Not determined,Row House,Residential
531 Halsey Street,c. 1885,3016610080,0,Wood Cornice,Brownstone,neo-Grec,BK,1109.26099086,Frederick & John Dhuy,Row House,Residential
364 Clinton Street,1843,3003240056,0,0,0,Italianate,BK,1128.88831048,Not determined,Row House,Residential
50 Macon Street,c. 1891,3018490009,0,0,0,Romanesque Revival,BK,1119.90384135,Sylvester C. Whitehead,Row House,Residential
1102 Park Place,c. 1906,3012440015,0,0,Stone,Colonial Revival,BK,1251.44211155,Peter Aronson,Row House,Residential
37 Garden Place,1846,3002620013,0,0,0,Greek Revival,BK,1098.3739357,B. F. Seaver,Row House,Residential
307 Jefferson Avenue,c. 1883,3018290061,0,Metal Cornice,Brownstone,Queen Anne,BK,909.537195691,George H. Stone,Row House,Residential
[No Number] Hancock Street (aka 561 Hancock Street),c. 1925,3016550052,0,0,0,Utilitarian,BK,384.004361133,Dr. Lee Somenthal,Garage,"Outbuilding, garage"
277 Jefferson Avenue,c. 1887,3018290076,0,0,Metal Cornice,Renaissance Revival,BK,1013.85108926,Susanna E. C. Russell,Row House,Residential
439 15th Street,c. 1904,3011030063,0,0,Pressed Metal,Renaissance Revival,BK,957.623725468,Charles A. Peterson & James J. Halpin,Two-family House,"Residential, multi-family"
470 East 17th Street,Not determined,3051800020,0,0,0,Not determined,BK,374.354040266,Not determined,Garage,"Outbuilding, garage"
1123 Bergen Street,c. 1886,3012130065,0,Wood Cornice,Brick,Romanesque Revival,BK,907.13078398,H. Tourge,Row House,Residential
122 Lincoln Road,1908,3050280032,0,Shingles,Clapboard,Colonial Revival,BK,1670.55228524,Frederick B. Norris,Free-standing House,"Residential, single-family"
142 Midwood Street,1899,3050350017,0,Synthetic Brick,Stone,Not determined,BK,1011.79659409,William A. A. Brown,Row House,Residential
571 10th Street,c. 1882,3010920059,0,0,0,Altered neo-Grec,BK,1249.81705042,James Doody,Row House,Residential
254 Lefferts Avenue,1905,3013290013,0,0,Terra Cotta,Not determined,BK,1083.23349412,Kingston Realty Company,Row House,Residential
939 Sterling Place (aka 230 New York Avenue),c. 1904,3012410045,0,0,Stone,Renaissance Revival,BK,2915.14692603,Harry Hansen,Flats Building,"Residential, multi-family"
161 Henry street,1905,3002370008,0,0,0,Not determined,BK,4773.15376586,Not determined,Apartment House,"Residential, multi-family"
114 Remsen Street,1860,3002540068,0,0,0,Anglo-Italianate,BK,1960.89443821,Not determined,Row House,Residential
83 State Street,1846,3002620004,0,0,0,Greek Revival,BK,1157.08642423,James Myers,Row House,Residential
24 Cambridge Place,1878,3019640047,0,0,0,Italianate,BK,889.369858362,Not determined,Row House,Residential
273 Degraw Street,1847 - 1848,3003260067,0,0,0,Romanesque Revival,BK,1061.1355383,William Johnson & Horatio White,Row House,Residential
239 Garfield Place,1892,3010700035,0,0,Terra Cotta,Romanesque Revival,BK,1011.145257,Martin & Lee,Row House,Residential
647 Vanderbilt Avenue,c. 1898,3011597501,0,Cast Stone,Brownstone,Renaissance Revival,BK,2324.51718711,Charles Hagedorn,Store and Flats,"Mixed-use, commercial & residential"
75 Buckingham Road,1908,3050970001,0,Synthetic Stone,Stucco,Not determined,BK,1697.40658715,Roy R. Macfarlin,Free-standing House,"Residential, single-family"
507-509 12th Street,1915 - 1916,3010970056,0,0,Limestone,Not determined,BK,3444.97977196,Alivon Realty Company,Apartment House,"Residential, multi-family"
805-821 St. Mark’s Avenue (aka 1206-1216 Bergen Street),c. 1924,3012210053,0,Mock Half Timber,Stucco,Tudor Revival,BK,14266.1610744,Not determined,Apartment Building,"Residential, multi-family"
23 St. Marks Avenue,1889,3009330067,0,0,Stone,Romanesque Revival,BK,860.698801531,F. E. Lewis,Row House,Residential
609 2nd Street,1908,3010770056,0,0,0,Italian Renaissance,BK,1280.17525715,Louis Bonert,Row House,Residential
249 Garfield Place,1888,3010700030,0,0,0,neo-Grec,BK,1509.13659494,H. Lansdell,Row House,Residential
127 Congress Street,c. 1848,3002957501,0,0,0,Italianate,BK,1271.49533478,Not determined,Row House,Residential
142 Park Place,1868,3009420037,0,0,0,Italianate (late),BK,984.117112182,Daniel M. Wells,Row House,Residential
558 10th Street,c. 1887,3010940015,0,Terra Cotta,Brownstone,neo-Grec,BK,837.266222208,James Jacks,Row House,Residential
189 Halsey Street,c. 1886,3018390067,0,0,Wood Cornice,neo-Grec,BK,838.831952639,Mary E. Fowler,Row House,Residential
186 Lefferts Avenue,1905,3013280032,0,0,Galvanized Iron Cornice,Vernacular,BK,1027.53349281,Kingston Realty Company,Row House,Residential
559 10th Street,c. 1882,3010920065,0,0,0,neo-Grec,BK,1255.19306126,Daniel Doody,Row House,Residential
1100 Albemarle Road,1909 - 1910,3051150001,0,0,Shingles,neo-Georgian,BK,2961.85402835,Julius De Long,Free-standing House,"Residential, single-family"
541 9th Street,1908 - 1909,3010910057,0,0,0,neo-Italian Renaissance,BK,998.45315822,Louis Levy,Row House,Residential
479 Macon Street,c. 1874,3016650056,0,0,Brownstone,Italianate,BK,806.190601953,B. F. Opie,Row House,Residential
554 1st Street,1909,3010770022,0,0,0,neo-Renaissance,BK,1335.83916311,Not determined,Row House,Residential
8 Strong Place,1897,3003230040,0,0,Brick,Romanesque Revival,BK,1399.00318701,James Dunne,Apartment House,"Residential, multi-family"
260 Monroe Street,c. 1882,3018180026,0,0,0,neo-Grec,BK,1062.22992982,Frederick C. Vrooman,Row House,Residential
