objectid,address,:@computed_region_sbqj_enih,sidw_raise,sidw_crack,nta,horz_blck,trunk_dmg,cen_year,vert_other,inf_wires,spc_common,inf_other,inf_guard,zip_city
592891,421 EAST  106 STREET,14.0,No,No,MN33,No,,2005,No,No,"ASH, GREEN",Yes,No,New York
593018,153 SUFFOLK STREET,4.0,No,Yes,MN27,Yes,Trunk Wound,2005,No,No,GOLDENRAIN TREE,No,No,New York
592422,800 RIVERSIDE DRIVE,21.0,No,No,MN36,Yes,,2005,No,No,GINKGO,No,No,New York
592938,420 EAST  111 STREET,14.0,No,No,MN33,No,,2005,No,No,LONDON PLANETREE,No,No,New York
593203,158 CHRISTOPHER STREET,3.0,No,No,MN23,Yes,,2006,No,No,BALDCYPRESS,No,No,New York
593173,55 WEST   92 STREET,15.0,No,No,MN12,No,,2005,No,No,LONDON PLANETREE,No,No,New York
592421,800 RIVERSIDE DRIVE,21.0,No,No,MN36,Yes,,2005,No,No,"PEAR, CALLERY",No,No,New York
593072,318 PLEASANT AVENUE,16.0,No,No,MN34,Yes,Cavity,2005,No,No,HONEYLOCUST,No,No,New York
592520,2299 BROADWAY,12.0,No,No,MN12,No,,2005,No,No,"HAWTHORN, OTHER",No,No,New York
592942,347 PLEASANT AVENUE,16.0,No,No,MN34,No,Trunk Wound,2005,No,No,"PEAR, CALLERY",No,No,New York
593035,401 EAST   96 STREET,14.0,No,Yes,MN33,Yes,,2005,No,No,LONDON PLANETREE,No,No,New York
592992,19 WEST   90 STREET,15.0,No,No,MN12,No,Cavity,2005,No,No,BLACK LOCUST,No,No,New York
592989,35 WEST   90 STREET,15.0,No,No,MN12,No,,2005,No,No,BLACK LOCUST,No,No,New York
592740,101 MURRAY STREET,1.0,No,No,MN24,Yes,,2006,No,No,GINKGO,No,No,New York
592382,1163 57 STREET,39.0,No,No,BK88,No,,2005,No,No,"HAWTHORN, OTHER",No,No,Brooklyn
592880,2065 1 AVENUE,14.0,No,No,MN33,No,,2005,No,No,GINKGO,No,No,New York
592398,29 BROADWAY,1.0,No,No,MN25,Yes,Trunk Wound,2005,No,No,LONDON PLANETREE,No,No,New York
593233,409 EAST  116 STREET,16.0,No,No,MN34,Yes,Trunk Wound,2005,No,No,GINKGO,No,No,New York
593077,280 PLEASANT AVENUE,16.0,No,No,MN34,Yes,Trunk Wound,2005,No,No,"ELM, AMERICAN",No,No,New York
