dbn,q157_how_many_adults_at_this,q78_in_planning_my_last,q173_adults_at_this_school_1,q103_in_planning_my_last,q58_overall_my_professional,q27_i_feel_respected_by_other,q64_the_principal_school_1,q64_the_principal_school,q22_i_would_recommend_this,q128_in_planning_my_last_1,q36_the_principal_school_1,q118_in_planning_my_last,q84_in_planning_my_last,q107_in_planning_my_last_1,q99_in_planning_my_last,q95_in_planning_my_last,q85_in_planning_my_last,q119_in_planning_my_last,q29_i_would_recommend_this,q155_how_many_adults_at_this,q140_discipline_is_applied_1,q108_in_planning_my_last_1,q18_central_doe_employees_1,q144_how_many_students_in_1,q62_the_principal_school_1,q51_at_this_school_curriculum_1,q12_i_am_able_to_apply_my_1,q151_how_many_adults_at_this_1,q91_in_planning_my_last_1,q112_in_planning_my_last,q26_teachers_respect_other_1,q72_how_much_influence_do,q50_at_this_school_teachers_1,q172_adults_at_this_school_1,q19_the_chancellor_is_an_1,q28_teachers_at_this_school_1,q68_the_principal_assistant,q59_overall_my_professional_1,q53_at_this_school_teachers,q5_i_am_able_to_receive_1,q139_how_many_students_in_1,q59_overall_my_professional,q95_in_planning_my_last_1,q87_in_planning_my_last,q54_at_this_school_school,q141_behavioral_supports,q146_how_many_students_in_1,q115_in_planning_my_last_1,q147_how_many_students_in,q96_in_planning_my_last,q92_in_planning_my_last,q66_the_principal_assistant,q113_in_planning_my_last,q32_the_principal_school,q174_adults_at_this_school_1,q111_in_planning_my_last_1,q137_how_many_students_in,q75_the_performance_of_the,q2_how_many_teachers_at_this,q116_in_planning_my_last_1,q156_how_many_adults_at_this_1,q89_in_planning_my_last_1,q153_how_many_adults_at_this,q148_how_many_students_in,q76_the_performance_of_the,q68_the_principal_assistant_1,q120_in_planning_my_last,q167_my_students_are_safe,q137_how_many_students_in_1,q63_the_principal_school,q24_it_s_ok_in_this_school,q122_in_planning_my_last_1,q161_it_s_a_priority_at_this,q5_i_am_able_to_receive,q67_the_principal_assistant,q133_in_planning_my_last_1,q44_this_school_has_well,q82_in_planning_my_last,q30_i_feel_respected_by_the,q94_in_planning_my_last_1,q141_behavioral_supports_1,q19_the_chancellor_is_an,q37_the_principal_school,q41_at_this_school_students,q20_i_trust_the_chancellor_1,q151_how_many_adults_at_this,q133_in_planning_my_last,q174_adults_at_this_school,q144_how_many_students_in,q157_how_many_adults_at_this_1,q113_in_planning_my_last_1,q90_in_planning_my_last_1,q31_the_principal_school,q166_my_students_are_safe_1,q39_in_this_school_the_staff_1,q155_how_many_adults_at_this_1,q37_the_principal_school_1,q35_the_principal_school_1,q55_at_this_school_the,q58_overall_my_professional_1,q163_at_this_program_teachers_1,q168_my_students_are_safe_1,q66_the_principal_assistant_1,q13_i_am_able_to_develop_1,q15_i_am_able_to_distinguish_1,q41_at_this_school_students_1,q16_i_feel_respected_by_the,q176_adults_at_this_school,q156_how_many_adults_at_this,q124_in_planning_my_last_1,q93_in_planning_my_last,q149_how_many_students_in_1,q104_in_planning_my_last,q119_in_planning_my_last_1,q53_at_this_school_teachers_1,q102_in_planning_my_last_1,q145_how_many_students_in,q152_how_many_adults_at_this_1,q160_it_s_a_priority_at_this_1,q71_the_principal_assistant_1,q6_i_am_able_to_use_my_1,q138_how_many_students_in,q49_at_this_school_teachers_1,q83_in_planning_my_last_1,q20_i_trust_the_chancellor,q9_i_am_able_to_affirm_racial,q73_how_much_influence_do,q3_how_many_teachers_at_this_1,q73_how_much_influence_do_1,q35_the_principal_school,q127_in_planning_my_last,q97_in_planning_my_last_1
10X565,0.85,0.0,0.04,,0.94,0.94,0.0,1.0,0.94,0.0,0.09,1.0,0.88,,1.0,1.0,0.88,0.88,0.84,0.81,0.0,,,0.29,0.03,0.16,0.1,0.0,0.0,,0.06,0.97,0.04,0.04,,0.12,0.94,0.1,0.97,0.03,0.24,0.9,0.0,1.0,0.97,0.0,0.25,0.0,0.76,1.0,1.0,0.94,,0.94,0.04,,0.83,0.94,0.81,0.0,0.07,0.12,0.85,0.62,0.84,0.06,1.0,0.0,0.17,1.0,0.81,0.12,0.0,0.97,0.97,0.0,0.94,1.0,0.97,0.0,0.0,,0.97,0.94,,1.0,1.0,0.96,0.71,0.15,,0.12,0.91,0.0,0.0,0.19,0.03,0.03,0.97,0.06,0.0,0.0,0.06,0.0,0.06,0.06,,0.96,0.93,0.0,1.0,0.29,,0.12,0.03,0.0,0.86,0.0,0.0,0.06,0.0,0.59,0.1,0.12,,0.94,0.94,0.12,0.06,0.97,1.0,0.0
04M377,0.93,0.0,0.0,,0.81,0.94,0.06,0.94,0.81,0.29,0.06,,,,,,,,0.81,0.87,0.07,,,0.4,0.06,0.07,0.06,0.07,,,0.06,0.94,0.0,0.0,,0.12,0.94,0.25,0.94,0.06,0.27,0.75,,,0.94,0.0,0.47,,0.67,,,0.94,,1.0,0.0,,0.8,0.6,0.75,,0.13,,0.8,0.47,0.6,0.06,,0.0,0.2,0.94,0.88,,0.0,0.94,1.0,0.14,1.0,,0.88,,0.0,,0.94,1.0,,0.93,0.86,0.0,0.6,0.07,,,0.94,0.0,0.06,0.13,0.06,0.0,0.94,0.19,0.0,0.0,0.06,0.12,0.2,0.0,,0.0,0.87,0.0,,0.47,,,0.06,,0.8,0.13,0.0,0.12,0.06,0.67,0.06,,,0.94,1.0,0.19,0.0,1.0,0.86,
01M063,0.92,,0.0,,0.8,0.94,0.0,1.0,1.0,0.0,0.06,,,,,,,,0.88,0.93,0.07,,,0.14,0.0,0.38,0.07,0.0,,,0.19,0.93,0.31,0.0,,0.06,1.0,0.13,1.0,0.0,0.2,0.87,,,1.0,,0.29,,0.8,,,0.87,,0.94,0.0,,0.87,,0.88,,0.15,0.0,0.92,0.73,,0.0,,1.0,0.13,1.0,0.88,,,1.0,0.8,0.08,0.94,,0.93,,,,1.0,1.0,,1.0,0.92,0.0,0.86,0.08,,,1.0,0.0,0.0,0.07,0.0,0.0,1.0,0.2,,0.0,0.13,0.0,0.06,0.0,,0.0,0.85,0.0,,0.21,,,0.0,,0.93,0.07,,0.33,0.0,0.4,0.0,,,1.0,0.93,0.18,0.07,1.0,1.0,
09X042,0.89,,0.0,,0.78,0.87,0.05,0.95,0.84,0.26,0.11,,,,,,,,0.82,0.79,0.08,,,0.17,0.08,0.11,0.13,0.06,,,0.18,0.66,0.21,0.0,,0.21,0.89,0.23,0.97,0.26,0.16,0.77,,,0.97,,0.41,,0.65,,,0.89,,0.92,0.0,,0.92,0.7,0.72,,0.21,,0.74,0.59,0.7,0.11,,1.0,0.08,0.92,0.84,,,0.74,0.87,0.07,0.95,,0.9,,,,0.95,0.97,,0.94,0.93,0.0,0.83,0.11,,,0.95,0.68,0.03,0.21,0.05,0.05,0.92,0.22,,0.0,0.11,0.03,0.08,0.03,,0.0,0.79,0.15,,0.31,,,0.03,,0.83,0.2,,0.25,0.05,0.65,0.13,,,0.89,0.79,0.33,0.21,0.95,0.88,
19K663,0.5,0.0,0.0,,0.14,0.88,0.25,0.75,0.5,,0.38,,,,,,,,0.5,0.5,0.57,,,0.71,0.38,0.38,0.29,0.17,,,0.25,0.62,0.5,0.0,,0.25,0.62,0.57,0.62,0.25,0.57,0.43,,,0.62,0.0,0.86,,0.14,,,0.75,,0.38,0.0,,0.43,0.71,0.5,,0.33,,0.8,0.0,0.86,0.38,,0.0,0.57,0.5,0.62,,0.0,0.75,0.5,,0.62,,0.5,,0.0,,0.5,0.75,,0.83,,0.0,0.29,0.5,,,0.5,0.0,0.25,0.5,0.5,0.38,0.75,0.86,0.0,0.0,0.25,0.25,0.29,0.25,,0.0,0.67,,,0.86,,,0.38,,0.29,0.17,0.0,0.25,0.14,0.0,0.5,,,0.86,0.62,0.5,0.38,0.62,,
02M475,0.87,0.0,0.02,1.0,0.67,0.9,0.16,0.84,0.87,0.11,0.23,1.0,1.0,0.06,1.0,0.92,1.0,0.85,0.91,0.69,0.1,0.06,,0.16,0.33,0.18,0.12,0.09,0.0,0.94,0.16,0.9,0.14,0.0,,0.1,0.78,0.28,0.86,0.15,0.19,0.72,0.08,1.0,0.89,0.0,0.06,0.05,0.96,0.92,0.92,0.82,1.0,0.79,0.02,0.0,0.94,0.6,0.82,0.1,0.23,0.0,0.73,0.84,0.63,0.22,0.95,0.0,0.06,0.81,0.9,0.0,0.0,0.85,0.76,0.06,0.95,1.0,0.79,0.0,0.0,,0.85,0.95,,0.91,0.94,0.98,0.84,0.13,0.0,0.06,0.74,0.0,0.08,0.31,0.15,0.27,0.88,0.33,0.0,0.0,0.18,0.12,0.09,0.05,,0.96,0.77,0.03,0.96,0.03,0.94,0.15,0.14,0.04,0.98,0.1,0.0,0.26,0.04,0.79,0.12,0.0,,0.94,0.94,0.35,0.06,0.73,0.97,0.04
09X313,0.62,0.0,0.0,0.75,0.64,0.82,0.18,0.82,0.64,0.12,0.27,0.6,,0.5,1.0,1.0,,0.8,0.64,0.62,0.33,0.29,,0.38,0.32,0.23,0.08,0.1,,0.88,0.18,0.59,0.18,0.0,,0.14,0.86,0.32,0.86,0.22,0.41,0.68,0.0,,0.91,0.0,0.52,0.2,0.64,0.67,0.83,0.77,0.88,0.68,0.0,0.0,0.77,0.71,0.71,0.2,0.15,,0.71,0.45,0.69,0.14,1.0,0.0,0.23,0.82,0.64,0.0,0.0,0.78,0.68,0.12,0.77,,0.91,0.0,0.0,,0.86,0.86,,0.9,0.88,0.0,0.62,0.38,0.12,,0.64,0.0,0.05,0.38,0.14,0.18,0.73,0.36,0.0,0.0,0.23,0.05,0.09,0.14,,0.0,0.85,0.25,0.83,0.52,0.75,0.2,0.14,0.0,0.77,0.3,0.0,0.36,0.04,0.45,0.29,,,0.96,0.68,0.26,0.32,0.82,0.88,0.17
KCBJ,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0
03M247,0.82,0.0,0.0,1.0,0.47,0.82,0.11,0.89,0.84,,0.0,,1.0,0.0,,,1.0,,0.89,0.65,0.19,0.0,,0.12,0.47,0.56,0.11,0.12,0.2,1.0,0.28,1.0,0.5,0.0,,0.47,0.84,0.42,0.95,0.21,0.33,0.58,,1.0,1.0,0.0,0.38,,0.67,,,0.84,1.0,0.95,0.0,0.0,0.78,0.67,0.53,,0.24,0.0,0.71,0.56,0.92,0.16,,,0.22,0.95,0.63,,0.0,0.79,0.84,,0.89,1.0,0.95,,0.0,,0.95,1.0,,0.88,,0.0,0.88,0.18,0.0,0.0,0.89,,0.11,0.35,0.05,0.16,1.0,0.53,0.0,,0.16,0.0,0.06,0.0,,0.0,0.76,,,0.29,1.0,,0.05,,0.94,0.29,0.0,0.21,0.0,0.5,0.26,0.0,,0.94,1.0,0.42,0.0,0.84,,
10X524,0.64,0.0,0.13,,0.81,0.88,0.25,0.75,0.5,0.0,0.25,,,,,,,,0.75,0.64,0.27,,,0.27,0.25,0.33,0.06,0.27,,,0.19,0.81,0.33,0.13,,0.19,0.88,0.19,0.94,0.06,0.19,0.81,,,0.88,0.0,0.33,,0.56,,,0.81,,0.69,0.2,,0.81,0.42,0.76,,0.43,,0.6,0.56,0.33,0.12,,0.0,0.19,0.62,0.81,,0.0,0.94,0.75,0.2,0.69,,0.81,,0.0,,0.69,0.94,,0.73,0.8,0.8,0.73,0.36,,,0.75,0.0,0.12,0.36,0.31,0.12,0.81,0.19,0.0,0.0,0.19,0.0,0.0,0.06,,0.79,0.57,0.0,,0.36,,,0.06,,0.75,0.36,0.0,0.25,0.0,0.56,0.0,,,1.0,0.88,0.44,0.12,0.88,1.0,
14K016,1.0,,0.0,,0.76,1.0,0.0,1.0,0.82,0.07,0.12,,,,,,,,0.94,1.0,0.13,,,0.2,0.12,0.19,0.0,0.0,,,0.06,0.65,0.12,0.0,,0.0,0.88,0.12,0.94,0.0,0.12,0.88,,,0.94,,0.27,,0.75,,,1.0,,0.82,0.0,,0.88,0.58,0.76,,0.0,,1.0,0.75,0.54,0.12,,1.0,0.12,0.88,0.94,,,1.0,0.71,0.07,0.94,,0.94,,,,0.82,1.0,,1.0,0.93,0.0,0.8,0.0,,,0.82,0.25,0.06,0.0,0.18,0.12,0.94,0.24,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.07,,0.47,,,0.06,,0.75,0.0,,0.12,0.0,0.69,0.18,,,1.0,0.82,0.29,0.18,0.88,0.93,
03M452,0.92,,0.0,0.0,0.79,1.0,0.0,1.0,1.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.05,0.0,,0.2,0.08,0.09,0.0,0.0,0.0,0.0,0.04,0.88,0.13,0.0,,0.0,1.0,0.25,1.0,0.04,0.08,0.75,0.0,0.0,1.0,,0.25,0.0,0.96,0.0,0.0,0.96,0.0,0.96,0.0,0.0,0.83,0.62,0.83,0.0,0.0,0.0,1.0,0.71,0.62,0.0,0.0,1.0,0.17,0.96,1.0,0.0,,0.96,0.96,0.0,0.96,0.0,0.96,0.0,,,1.0,1.0,,1.0,1.0,0.0,0.8,0.08,0.0,0.0,0.92,0.0,0.0,0.04,0.0,0.04,0.96,0.21,,0.0,0.04,0.0,0.04,0.0,,0.0,1.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.96,0.0,,0.12,0.0,0.67,0.0,0.0,,1.0,0.96,0.21,0.04,0.96,1.0,0.0
16K765,0.85,0.0,0.0,1.0,0.93,0.87,0.2,0.8,0.8,0.0,0.13,,,0.2,0.0,0.0,,,0.8,0.77,0.14,,,0.43,0.0,0.2,0.07,0.08,,0.8,0.07,0.87,0.13,0.08,,0.13,1.0,0.2,1.0,0.06,0.29,0.8,0.0,,1.0,0.0,0.36,,0.71,0.0,0.0,0.93,0.8,1.0,0.0,0.2,0.86,0.58,0.81,,0.08,,0.92,0.64,0.67,0.0,,0.0,0.14,0.93,0.8,,0.0,0.94,0.93,0.0,0.87,,0.93,0.0,0.0,,0.87,1.0,,0.92,1.0,1.0,0.57,0.15,0.2,,0.87,0.0,0.07,0.23,0.13,0.13,1.0,0.07,0.0,0.0,0.07,0.07,0.0,0.0,,1.0,0.92,0.0,0.0,0.36,1.0,,0.0,0.0,0.86,0.08,0.0,0.13,0.0,0.64,0.2,,,1.0,1.0,0.07,0.0,0.87,1.0,0.0
14K380,0.81,0.8,0.0,,0.78,0.84,0.05,0.95,0.87,0.07,0.25,1.0,,,,,,1.0,0.78,0.83,0.12,,,0.21,0.13,0.06,0.0,0.12,,,0.18,0.74,0.06,0.0,,0.16,0.85,0.15,0.96,0.05,0.26,0.85,,,0.95,0.83,0.46,0.0,0.75,,,0.93,,0.85,0.0,,0.77,0.72,0.75,0.0,0.15,,0.81,0.51,0.67,0.15,1.0,0.97,0.23,0.8,0.78,0.0,1.0,0.95,0.83,0.02,0.93,,0.82,,0.17,,0.78,0.93,,0.88,0.98,0.0,0.79,0.19,,,0.78,0.08,0.09,0.17,0.22,0.18,0.87,0.22,0.2,0.02,0.07,0.02,0.04,0.07,,0.0,0.85,0.05,,0.23,,0.0,0.04,,0.89,0.19,0.0,0.19,0.02,0.58,0.04,,,0.98,0.85,0.22,0.15,0.82,0.95,
03M307,0.92,0.0,0.04,1.0,0.93,0.96,0.19,0.81,0.89,0.0,0.07,,,0.0,0.86,1.0,,,0.93,0.88,0.16,0.0,,0.24,0.15,0.12,0.04,0.16,,1.0,0.0,0.93,0.08,0.0,,0.04,0.93,0.07,1.0,0.04,0.24,0.93,0.0,,1.0,0.0,0.2,,0.72,0.86,0.86,0.96,1.0,0.96,0.04,0.0,0.76,0.69,0.81,,0.12,,0.92,0.76,0.65,0.07,,0.0,0.24,0.93,1.0,,0.0,0.96,0.89,0.0,0.89,,0.89,0.29,0.0,,0.93,1.0,,0.84,1.0,0.96,0.76,0.08,0.0,,0.93,0.0,0.07,0.12,0.07,0.04,0.93,0.07,0.0,0.0,0.04,0.15,0.04,0.0,,1.0,0.88,0.0,1.0,0.32,1.0,,0.0,0.0,0.88,0.12,0.0,0.07,0.0,0.76,0.0,,,0.96,0.89,0.11,0.11,0.96,1.0,0.14
03M185,0.94,,0.0,0.0,0.8,0.9,0.1,0.9,0.95,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.89,0.13,0.0,,0.19,0.5,0.11,0.0,0.0,0.0,0.0,0.05,0.7,0.11,0.0,,0.1,0.9,0.35,0.95,0.12,0.3,0.65,0.0,0.0,0.95,,0.44,0.0,0.75,0.0,0.0,0.9,0.0,0.81,0.0,0.0,0.75,0.85,0.83,0.0,0.11,0.0,1.0,0.6,0.67,0.1,0.0,1.0,0.25,0.8,0.9,0.0,,0.88,0.75,0.0,0.76,0.0,0.86,0.0,,,0.95,0.95,,1.0,1.0,0.0,0.81,0.06,0.0,0.0,0.9,0.25,0.05,0.11,0.05,0.1,0.86,0.2,,0.0,0.1,0.0,0.0,0.05,,0.0,0.89,0.07,0.0,0.38,0.0,0.0,0.05,0.0,0.9,0.0,,0.25,0.0,0.6,0.0,0.0,,1.0,0.85,0.17,0.15,0.9,1.0,0.0
17K122,0.84,0.0,0.05,,0.75,0.95,0.05,0.95,0.86,0.0,0.05,,,,,,,,0.9,0.72,0.11,,,0.33,0.05,0.25,0.16,0.0,,,0.05,0.95,0.21,0.0,,0.05,0.86,0.2,0.95,0.21,0.33,0.8,,,1.0,0.0,0.26,,0.81,,,0.8,,1.0,0.06,,0.81,0.43,0.6,,0.2,,1.0,0.76,0.62,0.14,,0.0,0.19,0.9,0.85,,0.0,0.79,0.76,0.0,0.9,,0.95,,0.0,,0.95,0.95,,1.0,1.0,0.94,0.67,0.16,,,0.81,0.0,0.0,0.28,0.05,0.14,0.9,0.25,0.0,0.0,0.2,0.25,0.15,0.05,,0.8,0.8,0.0,,0.47,,,0.05,,0.76,0.0,0.0,0.24,0.0,0.71,0.19,,,0.95,0.95,0.43,0.05,0.86,1.0,
09X117,0.95,0.0,0.0,1.0,0.9,0.98,0.0,1.0,0.9,0.0,0.05,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.93,0.92,0.08,0.0,,0.38,0.08,0.08,0.05,0.03,0.0,0.91,0.07,0.85,0.05,0.0,,0.02,0.95,0.1,0.95,0.09,0.18,0.9,0.0,1.0,0.98,0.0,0.28,0.0,0.8,1.0,1.0,1.0,1.0,0.86,0.0,0.0,0.92,0.83,0.88,0.0,0.11,0.0,0.89,0.7,0.86,0.05,1.0,0.0,0.08,0.95,0.9,0.0,0.0,0.91,0.93,0.0,0.95,1.0,0.88,0.0,0.0,,0.95,1.0,,0.97,1.0,0.0,0.62,0.05,0.0,0.0,0.9,0.0,0.02,0.08,0.05,0.05,0.98,0.1,0.0,0.0,0.0,0.05,0.0,0.0,,0.0,0.89,0.0,1.0,0.25,1.0,0.0,0.05,0.0,0.88,0.06,0.0,0.12,0.0,0.74,0.02,0.0,,0.98,0.85,0.19,0.15,0.95,0.91,0.0
03M241,0.5,0.0,0.0,,0.44,0.36,0.22,0.78,0.64,0.5,0.33,,,,,,,,0.4,0.7,0.36,,,0.2,0.33,0.33,0.18,0.27,,,0.55,0.64,0.3,0.0,,0.73,0.89,0.56,1.0,0.36,0.27,0.44,,,1.0,0.0,0.5,,0.6,,,0.78,,0.67,0.0,,0.82,0.5,0.45,,0.3,,0.7,0.5,0.43,0.11,,1.0,0.18,0.78,0.45,,0.0,0.64,0.78,0.25,0.82,,0.67,,0.0,,0.67,0.91,,0.73,0.75,0.0,0.8,0.5,,,0.67,0.12,0.09,0.3,0.33,0.33,0.6,0.56,0.0,0.0,0.22,0.18,0.2,0.09,,0.0,0.7,0.38,,0.5,,,0.0,,0.8,0.3,0.0,0.44,0.27,0.55,0.44,,,0.91,0.64,0.55,0.36,0.67,0.62,
14K147,1.0,,0.0,,0.84,1.0,0.0,1.0,0.95,0.0,0.11,,,,,,,,0.95,1.0,0.0,,,0.21,0.05,0.17,0.0,0.0,,,0.0,1.0,0.11,0.0,,0.0,0.95,0.05,1.0,0.0,0.0,0.95,,,1.0,,0.14,,0.81,,,1.0,,0.95,0.0,,1.0,0.8,1.0,,0.0,,1.0,0.88,0.8,0.05,,1.0,0.0,1.0,1.0,,,1.0,0.95,0.0,1.0,,1.0,,,,0.89,1.0,,1.0,1.0,0.0,0.79,0.0,,,0.89,0.0,0.0,0.0,0.11,0.0,1.0,0.16,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.08,,0.23,,,0.0,,0.94,0.0,,0.05,0.0,0.75,0.05,,,1.0,1.0,0.05,0.0,1.0,1.0,
18K219,0.86,,0.0,,0.93,0.88,0.07,0.93,0.71,0.1,0.25,,,,,,,,0.59,0.86,0.36,,,0.21,0.07,0.07,0.0,0.08,,,0.18,0.87,0.0,0.0,,0.18,0.93,0.07,1.0,0.12,0.27,0.93,,,1.0,,0.21,,0.73,,,0.93,,0.62,0.0,,0.73,0.91,0.62,,0.14,,0.92,0.73,0.9,0.07,,1.0,0.27,0.87,0.71,,,0.88,0.87,0.1,0.93,,0.76,,,,0.81,0.88,,0.92,0.9,0.0,0.79,0.14,,,0.62,0.0,0.0,0.14,0.19,0.12,0.94,0.07,,0.0,0.07,0.0,0.0,0.12,,0.0,0.86,0.1,,0.21,,,0.0,,0.87,0.07,,0.07,0.0,0.67,0.06,,,1.0,0.87,0.38,0.13,0.88,0.9,
05M036,0.71,1.0,0.0,,0.83,0.88,0.0,1.0,0.83,0.09,0.33,,,,,,,,0.82,0.75,0.25,,,0.42,0.17,0.0,0.06,0.24,,,0.11,0.39,0.0,0.0,,0.11,0.88,0.18,0.94,0.0,0.41,0.82,,,0.94,0.67,0.58,,0.71,,,0.83,,0.67,0.0,,0.76,0.55,0.61,,0.25,,0.69,0.35,0.6,0.12,,,0.24,0.72,0.61,,,1.0,0.78,0.09,0.94,,0.78,,0.33,,0.78,1.0,,0.76,0.91,0.0,0.58,0.29,,,0.78,,0.0,0.25,0.22,0.28,0.83,0.17,,0.0,0.17,0.0,0.0,0.0,,0.0,0.75,0.0,,0.42,,,0.06,,0.71,0.18,,0.33,0.0,0.41,0.17,,,0.89,0.56,0.33,0.44,0.72,1.0,
24Q087,1.0,,0.0,,1.0,1.0,0.0,1.0,0.96,0.0,0.0,,,,,,,,0.96,1.0,0.05,,,0.27,0.04,0.05,0.04,0.0,,,0.0,0.88,0.05,0.0,,0.0,1.0,0.04,1.0,0.04,0.0,0.96,,,1.0,,0.18,,0.92,,,1.0,,0.96,0.0,,1.0,0.82,0.88,,0.0,,1.0,0.83,0.77,0.0,,1.0,0.0,1.0,0.96,,,0.96,0.96,0.0,1.0,,0.96,,,,0.96,1.0,,1.0,1.0,0.0,0.73,0.0,,,0.96,0.0,0.0,0.0,0.04,0.0,1.0,0.0,,0.0,0.0,0.04,0.04,0.0,,0.0,1.0,0.0,,0.05,,,0.0,,1.0,0.0,,0.0,0.04,0.96,0.0,,,0.92,0.96,0.12,0.04,1.0,1.0,
14K018,0.86,,0.0,,1.0,0.96,0.0,1.0,0.87,0.08,0.0,,,,,,,,0.96,0.86,0.0,,,0.44,0.04,0.05,0.04,0.05,,,0.04,0.91,0.05,0.0,,0.09,1.0,0.0,0.96,0.0,0.23,1.0,,,0.96,,0.33,,0.91,,,0.96,,1.0,0.0,,0.91,0.88,0.79,,0.18,,0.95,0.68,0.84,0.0,,1.0,0.09,1.0,0.91,,,1.0,0.96,0.08,0.87,,1.0,,,,1.0,1.0,,0.95,0.92,0.0,0.56,0.14,,,1.0,0.0,0.13,0.14,0.0,0.0,1.0,0.0,,0.0,0.04,0.05,0.04,0.0,,0.0,0.82,0.0,,0.28,,,0.04,,0.91,0.05,,0.0,0.0,0.55,0.0,,,1.0,0.91,0.21,0.09,1.0,1.0,
09X449,0.93,,0.0,1.0,0.93,0.93,0.0,1.0,0.97,0.1,0.1,1.0,,0.0,,,,1.0,0.97,0.81,0.04,0.0,,0.19,0.07,0.08,0.03,0.07,,1.0,0.0,0.82,0.04,0.0,,0.03,1.0,0.07,1.0,0.06,0.11,0.93,,,1.0,,0.31,0.0,0.79,,,0.97,1.0,1.0,0.0,0.0,0.82,0.71,0.91,0.0,0.15,,0.89,0.68,0.68,0.0,1.0,1.0,0.18,0.93,0.97,0.0,,0.94,0.97,0.0,0.97,,1.0,,,,0.97,0.97,,0.93,1.0,0.0,0.81,0.07,0.0,,0.93,0.35,0.07,0.19,0.03,0.0,1.0,0.07,,0.0,0.03,0.03,0.03,0.03,,0.0,0.85,0.05,,0.27,1.0,0.0,0.0,,0.86,0.11,,0.03,0.06,0.64,0.03,,,0.94,0.93,0.09,0.07,1.0,1.0,
19K213,0.69,,0.0,,0.87,0.86,0.2,0.8,0.8,0.22,0.13,,,,,,,,0.8,0.69,0.09,,,0.27,0.13,0.27,0.07,0.23,,,0.33,0.6,0.2,0.0,,0.33,0.73,0.13,0.93,0.21,0.23,0.87,,,0.93,,0.45,,0.64,,,0.8,,0.8,0.0,,0.69,0.67,0.67,,0.23,,0.77,0.57,0.67,0.27,,0.9,0.31,0.73,0.67,,,0.79,0.73,0.11,0.79,,0.87,,,,0.87,0.87,,0.77,0.89,0.0,0.73,0.31,,,0.67,0.1,0.07,0.31,0.13,0.27,0.93,0.13,,0.0,0.2,0.07,0.07,0.13,,0.0,0.77,0.11,,0.36,,,0.07,,0.64,0.23,,0.13,0.0,0.54,0.13,,,1.0,0.67,0.27,0.33,0.73,0.89,
03M859,1.0,0.0,0.2,,0.64,1.0,0.0,1.0,1.0,0.0,0.14,0.8,,,,,,1.0,1.0,1.0,0.0,,,0.29,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.2,,0.0,1.0,0.29,1.0,0.0,0.14,0.71,,,1.0,0.0,0.07,0.0,0.86,,,1.0,,0.93,0.2,,1.0,0.83,1.0,0.4,0.0,,1.0,0.86,0.67,0.0,1.0,,0.0,0.93,0.86,0.0,0.0,1.0,1.0,0.0,1.0,,0.93,,0.0,,1.0,1.0,,1.0,1.0,0.8,0.71,0.0,,,0.93,,0.0,0.0,0.0,0.07,1.0,0.36,0.0,,0.0,0.0,0.0,0.0,,0.8,1.0,0.0,,0.07,,0.0,0.0,,1.0,0.0,0.0,0.14,0.0,0.86,0.07,,,1.0,1.0,0.0,0.0,0.93,1.0,
19K171,0.81,0.0,0.0,0.71,0.85,1.0,0.04,0.96,0.93,0.0,0.04,,1.0,0.14,,,0.86,1.0,0.96,0.84,0.04,0.14,,0.19,0.0,0.04,0.04,0.08,0.29,0.86,0.04,0.69,0.04,0.0,,0.04,0.96,0.12,0.96,0.11,0.27,0.88,,1.0,1.0,0.0,0.35,0.0,0.81,,,0.96,0.86,0.96,0.0,0.14,0.92,0.8,0.89,0.0,0.17,0.14,0.91,0.5,0.83,0.04,1.0,0.0,0.08,1.0,0.96,0.0,0.0,0.89,0.96,0.0,0.96,0.86,0.96,,0.0,,0.96,1.0,,0.92,1.0,0.0,0.81,0.19,0.14,0.14,1.0,0.0,0.0,0.16,0.04,0.0,1.0,0.15,0.0,0.0,0.04,0.04,0.04,0.0,,0.0,0.83,0.0,,0.42,0.86,0.0,0.04,,0.96,0.12,0.0,0.04,0.04,0.62,0.04,0.14,,0.96,0.77,0.19,0.23,1.0,1.0,
