dbn,school_name,q80_in_planning_my_last,q79_in_planning_my_last_1,q164_at_this_program_teachers,q24_it_s_ok_in_this_school_1,q162_at_the_beginning_of,q17_central_doe_employees_1,q163_at_this_program_teachers,q132_in_planning_my_last,q109_in_planning_my_last_1,q82_in_planning_my_last_1,q162_at_the_beginning_of_1,q7_i_am_able_to_modify_1,q60_overall_my_professional_1,q159_positive_behavior_1,q123_in_planning_my_last,q13_i_am_able_to_develop,q33_i_trust_the_principal,q47_at_this_school_once_we_1,q98_in_planning_my_last,q134_in_planning_my_last,q96_in_planning_my_last_1,q98_in_planning_my_last_1,q161_it_s_a_priority_at_this_1,q42_this_school_educates,q71_the_principal_assistant,q50_at_this_school_teachers,q99_in_planning_my_last_1,q83_in_planning_my_last,q92_in_planning_my_last_1,q54_at_this_school_school_1,q28_teachers_at_this_school,q74_how_much_influence_do,q159_positive_behavior,q94_in_planning_my_last,q65_the_principal_assistant_1,q160_it_s_a_priority_at_this,q109_in_planning_my_last,q166_my_students_are_safe,q102_in_planning_my_last,q10_i_am_able_to_empower,q148_how_many_students_in_1,q93_in_planning_my_last_1,q67_the_principal_assistant_1,q168_my_students_are_safe,q76_the_performance_of_the_1,q126_in_planning_my_last_1,q152_how_many_adults_at_this,q170_it_s_a_priority_at_this,q25_i_have_conversations_1,q18_central_doe_employees,q39_in_this_school_the_staff,q69_the_principal_assistant,q26_teachers_respect_other,q70_the_principal_school,q52_at_this_school_teachers,q97_in_planning_my_last,q120_in_planning_my_last_1,q74_how_much_influence_do_1,q170_it_s_a_priority_at_this_1,q22_i_would_recommend_this_1,q171_adults_at_this_school,q107_in_planning_my_last,q136_how_many_students_in,q55_at_this_school_the_1,q1_how_many_teachers_at_this_1,q25_i_have_conversations,q142_how_many_students_in,q176_adults_at_this_school_1,q42_this_school_educates_1,q121_in_planning_my_last,q175_adults_at_this_school,q81_in_planning_my_last,q105_in_planning_my_last_1,q149_how_many_students_in,q164_at_this_program_teachers_1,q84_in_planning_my_last_1,q56_at_this_school_school,q51_at_this_school_curriculum,q89_in_planning_my_last,q9_i_am_able_to_affirm_racial_1,q139_how_many_students_in,q143_how_many_students_in_1,q21_i_usually_look_forward_1,q124_in_planning_my_last,q138_how_many_students_in_1,q16_i_feel_respected_by_the_1,q116_in_planning_my_last,q4_how_many_teachers_at_this_1,q150_how_many_adults_at_this_1,q118_in_planning_my_last_1,q153_how_many_adults_at_this_1,q6_i_am_able_to_use_my,q172_adults_at_this_school
17K646,Aspirations Diploma Plus High School,0.0,0.0,0.0,0.12,0.0,,0.0,,0.2,,0.0,0.12,0.19,0.0,,0.87,0.94,0.13,,,,,0.0,1.0,0.69,0.73,,,,0.06,0.94,0.88,0.0,,0.18,0.0,0.8,0.0,,0.81,0.69,,0.18,0.0,0.56,,0.75,0.0,0.5,,0.88,0.76,0.82,0.62,0.88,,,0.12,0.0,0.19,1.0,1.0,0.38,0.06,0.12,0.5,0.81,0.07,0.0,,1.0,,0.0,0.31,0.0,,0.94,0.69,,0.13,0.38,0.62,0.19,,0.62,,,0.12,0.19,,0.29,0.94,1.0
07X381,Bronx Haven High School,0.0,0.0,0.0,0.43,0.0,,0.0,1.0,,,0.0,0.0,0.21,0.0,,0.93,0.86,0.29,,1.0,,,0.0,1.0,0.79,0.77,,,,0.21,0.86,0.93,0.0,,0.21,0.0,,0.0,,1.0,0.29,,0.07,0.0,0.44,,0.86,0.0,0.21,,0.93,0.93,0.86,0.57,0.86,,,0.07,0.0,0.21,0.92,,0.64,0.14,0.38,0.79,0.86,0.18,0.0,,0.86,,,0.79,0.0,,0.93,0.77,,0.0,0.64,0.29,0.07,1.0,0.64,,,0.21,0.15,,0.29,0.93,1.0
09X199,P.S. 199X - The Shakespeare School,,,,0.12,,,,0.97,0.17,,,0.02,0.11,,0.83,0.97,0.93,0.1,,0.97,,,,1.0,0.87,0.94,,,,0.0,0.92,0.9,,,0.03,,0.83,0.89,,1.0,0.38,,0.05,0.97,0.13,0.04,0.92,1.0,0.02,,1.0,0.92,0.93,0.92,1.0,,0.0,0.1,0.0,0.08,0.0,0.8,0.74,0.0,0.11,0.98,0.84,0.0,0.0,1.0,0.0,,0.0,0.74,,,0.98,1.0,,0.0,0.84,0.21,0.08,0.96,0.21,,1.0,0.12,0.08,0.0,0.08,0.98,0.0
14K250,P.S. 250 George H. Lindsay,,,,0.0,,,,1.0,,,,0.0,0.0,,,1.0,1.0,0.0,,1.0,,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,,,0.0,,,1.0,,1.0,0.16,,0.0,1.0,0.11,0.0,1.0,1.0,0.15,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,,0.89,0.0,0.04,0.85,0.79,0.0,0.0,,0.0,,,0.82,,,1.0,1.0,,0.0,1.0,0.16,0.0,1.0,0.11,,,0.04,0.0,,0.0,1.0,0.0
05M046,P.S. 046 Arthur Tappan,1.0,0.0,,0.19,,,,1.0,0.12,,,0.05,0.09,,0.86,0.97,0.86,0.08,0.8,1.0,0.4,0.2,,0.94,0.86,0.94,0.0,,0.4,0.06,0.89,0.97,,0.8,0.14,,0.88,0.85,1.0,0.97,0.52,0.4,0.08,1.0,0.17,0.08,0.94,0.96,0.22,,0.94,0.83,0.86,0.86,0.92,0.8,0.14,0.03,0.04,0.14,0.0,1.0,0.66,0.08,0.14,0.78,0.81,0.0,0.06,0.86,0.0,,0.0,0.63,,,0.94,0.91,,0.03,0.7,0.39,0.14,1.0,0.33,,1.0,0.08,0.03,0.14,0.1,0.95,0.0
10X268,Kingsbridge International High School,0.0,0.0,0.0,0.26,0.0,,0.0,,0.0,0.0,0.0,0.0,0.23,0.0,1.0,0.92,0.48,0.26,,,,,0.0,0.93,0.85,0.92,,0.8,,0.07,0.96,0.85,0.0,,0.19,0.0,1.0,0.0,,0.96,0.58,,0.3,0.0,0.26,,0.76,0.0,0.26,,1.0,0.77,0.96,0.74,1.0,,0.0,0.15,0.0,0.33,0.96,1.0,0.36,0.22,0.15,0.74,0.67,0.16,0.07,1.0,0.76,1.0,0.0,0.57,0.0,0.0,1.0,0.85,1.0,0.0,0.67,0.56,0.11,,0.56,,1.0,0.07,0.24,0.0,0.31,1.0,0.96
07X277,P.S. 277,1.0,0.0,,0.37,,,,0.77,,,,0.22,0.33,,,0.84,0.57,0.5,0.0,0.82,0.0,0.0,,0.82,0.48,0.55,0.0,,0.0,0.15,0.77,0.67,,0.0,0.39,,,0.38,0.0,0.81,0.52,0.0,0.45,1.0,0.47,0.14,0.72,0.94,0.63,,0.91,0.58,0.86,0.56,0.88,0.0,,0.33,0.06,0.5,0.0,,0.45,0.12,0.26,0.37,0.73,0.0,0.18,,0.0,,,0.76,,,0.94,0.36,,0.22,0.55,0.33,0.31,0.77,0.45,,,0.19,0.26,,0.33,0.83,0.0
02M615,Chelsea Career And Technical Education High School,0.0,0.0,0.0,0.13,0.0,,0.0,1.0,0.17,0.0,0.0,0.03,0.14,0.0,1.0,0.93,0.87,0.23,0.6,1.0,0.4,0.4,0.0,0.97,0.83,0.8,0.2,1.0,0.2,0.0,0.97,0.76,0.0,1.0,0.1,0.0,0.83,0.0,1.0,0.93,0.46,0.2,0.07,0.0,0.44,0.0,0.85,0.0,0.13,,0.97,0.9,0.87,0.79,1.0,0.6,0.0,0.24,0.0,0.1,0.96,1.0,0.63,0.13,0.11,0.87,0.7,0.04,0.03,1.0,0.96,0.86,0.0,0.37,0.0,0.14,1.0,0.7,1.0,0.07,0.64,0.59,0.13,0.88,0.41,,1.0,0.19,0.11,0.0,0.12,0.97,1.0
11X544,High School For Contemporary Arts,0.0,0.0,0.0,0.04,0.0,,0.0,1.0,0.0,0.14,0.0,0.08,0.04,0.0,1.0,0.96,0.96,0.04,1.0,1.0,0.0,0.0,0.0,0.95,1.0,1.0,0.0,0.86,0.0,0.0,0.96,0.96,0.0,1.0,0.04,0.0,1.0,0.0,1.0,0.96,0.43,0.0,0.04,0.0,0.22,0.0,0.96,0.0,0.09,,1.0,0.96,0.91,0.96,1.0,1.0,0.0,0.04,0.0,0.0,1.0,1.0,0.78,0.04,0.04,0.91,0.83,0.06,0.05,1.0,1.0,0.86,0.0,0.64,0.0,0.14,0.96,1.0,0.86,0.08,0.83,0.17,0.0,1.0,0.17,,1.0,0.0,0.05,0.0,0.09,0.92,1.0
15K321,P.S. 321 William Penn,,,,0.0,,,,1.0,,,,0.0,0.04,,,1.0,0.98,0.02,,1.0,,,,1.0,0.89,0.98,,,,0.02,0.98,0.96,,,0.06,,,0.98,,0.98,0.09,,0.09,1.0,0.52,0.0,1.0,1.0,0.0,,1.0,0.96,0.94,0.91,0.98,,,0.04,0.0,0.02,0.0,,0.89,0.0,0.02,1.0,0.96,0.0,0.0,,0.0,,,0.93,,,0.98,0.98,,0.02,1.0,0.04,0.02,1.0,0.13,,,0.0,0.02,,0.06,0.98,0.0
08X014,P.S. X014 Senator John Calandra,,,,0.0,,,,1.0,,,,0.0,0.07,,,0.92,0.97,0.07,,1.0,,,,1.0,0.96,0.96,,,,0.0,0.97,0.86,,,0.04,,,1.0,,0.93,0.37,,0.04,1.0,0.35,0.06,1.0,1.0,0.24,,1.0,1.0,0.93,1.0,0.93,,,0.14,0.0,0.0,0.0,,0.52,0.0,0.07,0.76,0.78,0.0,0.0,,0.0,,,0.83,,,1.0,1.0,,0.03,0.85,0.33,0.0,0.89,0.41,,,0.07,0.04,,0.04,0.97,0.0
KAFO,Good Shepherd School,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0
06M128,P.S. 128 Audubon,1.0,0.0,,0.05,,,,1.0,,,,0.02,0.05,,,0.98,0.95,0.07,,1.0,,,,1.0,0.9,0.95,,,,0.0,0.95,0.98,,,0.07,,,0.91,,0.98,0.4,,0.07,1.0,0.18,0.03,0.9,0.97,0.14,,1.0,0.93,0.95,0.88,1.0,,,0.02,0.03,0.02,0.0,,0.67,0.05,0.07,0.86,0.76,0.0,0.0,,0.0,,,0.76,,,1.0,0.92,,0.02,0.83,0.24,0.05,0.97,0.21,,,0.04,0.07,,0.1,0.98,0.0
03M485,Fiorello H. Laguardia High School Of Music & Art And Performing Arts,0.0,0.0,0.0,0.18,0.0,,0.0,0.96,0.0,0.08,0.0,0.03,0.47,0.0,0.88,0.87,0.39,0.58,0.88,0.96,0.29,0.12,0.0,0.93,0.49,0.74,0.0,0.92,0.0,0.08,0.99,0.67,0.0,1.0,0.53,0.0,1.0,0.0,1.0,0.94,0.27,0.12,0.54,0.0,0.64,0.14,0.88,0.0,0.16,,0.95,0.38,0.85,0.3,0.93,0.86,0.12,0.33,0.0,0.25,1.0,1.0,0.67,0.39,0.12,0.84,0.85,0.2,0.07,0.88,0.92,1.0,0.0,0.81,0.0,0.08,0.94,0.58,1.0,0.05,0.68,0.21,0.12,0.92,0.31,,0.57,0.1,0.09,0.38,0.16,0.96,1.0
08X349,Bronx River High School,0.0,0.0,0.0,0.38,0.0,,0.0,1.0,0.0,0.0,0.0,0.03,0.1,0.0,1.0,0.97,0.81,0.09,,1.0,,,0.0,0.94,0.84,0.8,,0.86,,0.03,0.81,0.87,0.0,,0.13,0.0,1.0,0.0,,1.0,0.35,,0.1,0.0,0.3,0.0,0.87,0.0,0.09,,0.94,0.9,0.72,0.87,0.94,,0.0,0.13,0.0,0.03,1.0,1.0,0.58,0.03,0.16,0.91,0.81,0.03,0.06,1.0,0.94,1.0,0.0,0.63,0.0,0.0,0.97,0.86,0.86,0.0,0.73,0.42,0.09,1.0,0.35,,0.8,0.12,0.13,0.0,0.16,1.0,0.97
12X458,Samara Community School,,,,0.0,,,,1.0,,,,0.0,0.0,,,1.0,1.0,0.0,,1.0,,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,,,0.0,,,0.67,,1.0,0.18,,0.0,1.0,0.0,0.0,0.94,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,,0.65,0.0,0.0,1.0,0.88,0.0,0.0,,0.0,,,0.8,,,1.0,1.0,,0.0,1.0,0.18,0.0,1.0,0.12,,,0.0,0.06,,0.06,1.0,0.0
04M375,Mosaic Preparatory Academy,,,,0.64,,,,0.6,,,,0.12,0.38,,,0.86,0.29,0.64,,0.8,,,,0.77,0.29,0.5,,,,0.0,0.62,0.57,,,0.64,,,0.29,,0.88,0.54,,0.64,0.88,0.64,0.3,0.77,0.8,0.5,,1.0,0.36,0.57,0.36,0.93,,,0.43,0.2,0.71,0.0,,0.38,0.36,0.27,0.5,0.69,0.0,0.23,,0.0,,,0.36,,,0.93,0.36,,0.12,0.69,0.54,0.71,0.8,0.54,,,0.06,0.15,,0.23,0.88,0.0
03M145,"P.S. 145, The Bloomingdale School",,,,0.13,,,,1.0,,,,0.0,0.07,,,1.0,0.9,0.1,,0.96,,,,1.0,0.9,0.93,,,,0.03,0.94,0.94,,,0.13,,,0.87,,1.0,0.45,,0.1,1.0,0.26,0.04,0.93,0.95,0.16,,0.97,0.87,0.97,0.84,0.97,,,0.06,0.05,0.16,0.0,,0.59,0.03,0.13,0.84,0.86,0.0,0.0,,0.0,,,0.59,,,0.97,0.9,,0.0,0.83,0.31,0.06,0.96,0.31,,,0.16,0.12,,0.07,1.0,0.0
02M212,P.S. 212 Midtown West,,,,0.06,,,,1.0,,,,0.0,0.0,,,1.0,1.0,0.18,0.0,1.0,0.0,0.0,,0.88,0.88,1.0,0.0,,0.0,0.0,0.94,0.94,,0.0,0.06,,,0.88,0.0,1.0,0.06,0.0,0.06,1.0,0.12,0.0,1.0,1.0,0.0,,1.0,0.94,0.94,0.88,1.0,0.0,,0.06,0.0,0.06,0.0,,0.88,0.12,0.06,1.0,0.88,0.0,0.12,,0.0,,,0.86,,,1.0,0.93,,0.0,0.94,0.19,0.06,1.0,0.12,,,0.0,0.0,,0.0,1.0,0.0
KCOU,"My Sunshine Kids, Inc.",,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0
C379,Little Meadows Early Childhood Center,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0
14K017,P.S. 017 Henry D. Woodworth,,,,0.07,,,,0.95,0.0,0.0,,0.0,0.07,,0.0,1.0,1.0,0.04,0.0,0.95,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.97,1.0,,0.0,0.0,,0.0,1.0,0.0,1.0,0.32,0.0,0.0,1.0,0.21,0.09,0.93,0.95,0.18,,0.97,1.0,0.97,1.0,1.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.59,0.0,0.15,0.82,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,0.0,1.0,1.0,0.0,0.0,0.79,0.14,0.0,0.92,0.36,,0.0,0.07,0.08,0.0,0.15,1.0,0.0
01M019,P.S. 019 Asher Levy,0.0,0.0,,0.0,,,,1.0,,0.0,,0.0,0.05,,,1.0,0.95,0.14,0.0,1.0,0.0,0.0,,0.95,0.95,0.86,0.0,0.0,0.0,0.05,0.91,0.95,,0.0,0.1,,,0.87,0.0,1.0,0.2,0.0,0.1,1.0,0.5,0.06,0.95,1.0,0.18,,1.0,0.9,0.91,0.81,0.95,0.0,,0.05,0.0,0.0,0.0,,0.75,0.09,0.14,0.82,0.9,0.0,0.05,,0.0,0.0,,0.8,,0.0,1.0,0.9,0.0,0.0,0.9,0.15,0.0,1.0,0.2,,,0.18,0.05,,0.05,1.0,0.0
20K105,P.S. 105 The Blythebourne,1.0,,,0.19,,,,0.94,0.0,,,0.0,0.15,,1.0,1.0,0.8,0.17,,0.95,,,,0.96,0.82,0.93,,,,0.0,0.95,0.91,,,0.08,,1.0,0.98,,0.97,0.36,,0.16,1.0,0.26,0.02,0.89,1.0,0.2,,1.0,0.88,0.92,0.85,0.99,,0.0,0.09,0.0,0.09,0.0,1.0,0.67,0.01,0.07,0.8,0.72,0.0,0.04,1.0,0.0,,0.0,0.84,,,0.99,0.97,,0.01,0.77,0.26,0.16,0.98,0.35,,1.0,0.05,0.1,0.0,0.18,1.0,0.0
11X194,P.S./M.S. 194,,,,0.2,,,,0.88,0.33,,,0.03,0.1,,1.0,0.95,0.81,0.24,,0.95,,,,0.92,0.82,0.86,,,,0.03,0.9,0.77,,,0.16,,0.67,0.84,,0.97,0.35,,0.18,0.97,0.31,0.09,0.91,0.95,0.25,,0.95,0.85,0.89,0.84,0.95,,0.12,0.23,0.05,0.08,,0.67,0.58,0.11,0.08,0.75,0.78,,0.08,1.0,,0.8,0.17,0.77,,,0.97,0.85,,0.02,0.78,0.31,0.08,0.88,0.4,,0.71,0.1,0.07,0.29,0.09,0.97,
07X527,Bronx Leadership Academy Ii High School,0.0,0.0,0.0,0.14,0.0,,0.0,1.0,0.0,,0.0,0.0,0.14,0.0,,0.93,0.93,0.32,,1.0,,,0.0,1.0,0.79,0.88,,,,0.04,0.89,0.86,0.0,,0.18,0.0,1.0,0.0,,0.93,0.54,,0.32,0.0,0.33,0.0,0.81,0.0,0.11,,0.96,0.71,0.82,0.75,0.89,,,0.14,0.0,0.21,1.0,1.0,0.63,0.04,0.11,0.89,0.86,0.04,0.0,,0.96,,0.0,0.54,0.0,,0.93,0.85,,0.03,0.63,0.5,0.07,1.0,0.48,,,0.2,0.18,,0.21,1.0,1.0
07X049,P.S. 049 Willis Avenue,1.0,0.0,1.0,0.11,1.0,,1.0,0.96,0.05,0.0,0.0,0.02,0.05,0.0,1.0,0.98,0.92,0.1,1.0,0.96,0.08,0.0,0.0,1.0,0.92,0.96,0.0,1.0,0.0,0.0,0.93,0.93,1.0,0.92,0.05,1.0,0.95,0.62,1.0,0.98,0.21,0.0,0.07,0.98,0.17,0.04,0.95,1.0,0.11,,1.0,0.92,0.97,0.97,0.98,1.0,0.07,0.07,0.0,0.08,0.0,0.95,0.64,0.02,0.1,0.89,0.85,0.0,0.0,1.0,0.0,1.0,0.05,0.84,0.0,0.0,1.0,0.89,1.0,0.02,0.8,0.29,0.11,0.92,0.33,,0.93,0.08,0.04,0.0,0.09,0.98,0.0
14K023,P.S. 023 Carter G. Woodson,,,,0.07,,,,1.0,,,,0.03,0.0,,,0.97,0.97,0.1,,1.0,,,,1.0,0.97,1.0,,,,0.0,0.93,1.0,,,0.0,,,0.77,,0.96,0.21,,0.07,1.0,0.28,0.0,1.0,1.0,0.1,,0.93,1.0,1.0,0.93,1.0,,,0.0,0.0,0.03,0.0,,0.68,0.0,0.07,0.9,0.86,0.0,0.0,,0.0,,,0.96,,,0.97,1.0,,0.03,0.86,0.14,0.03,1.0,0.32,,,0.0,0.0,,0.04,0.96,0.0
15K058,P.S. 058 The Carroll,1.0,0.0,,0.08,,,,1.0,0.0,,,0.02,0.21,,1.0,0.92,0.82,0.21,,1.0,,,,1.0,0.9,0.92,,,,0.0,0.95,0.97,,,0.03,,1.0,1.0,,0.98,0.21,,0.21,1.0,0.5,0.04,0.89,0.96,0.02,,1.0,0.85,0.98,0.85,1.0,,0.0,0.03,0.04,0.0,0.0,1.0,0.68,0.05,0.05,0.98,0.84,0.0,0.0,1.0,0.0,,0.0,0.91,,,1.0,0.87,,0.02,0.92,0.21,0.05,0.96,0.26,,1.0,0.0,0.06,0.0,0.03,0.98,0.0
09X128,Mott Hall Iii,0.0,0.0,0.0,0.0,0.0,,0.0,,0.11,,0.0,0.0,0.08,0.0,,1.0,0.92,0.0,0.0,,0.0,0.0,0.0,1.0,0.92,0.92,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,1.0,0.25,0.0,0.17,0.0,,,1.0,1.0,0.0,,0.92,0.83,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.83,0.08,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,0.92,0.0,,1.0,1.0,,0.0,0.92,0.17,0.0,,0.42,,,0.0,0.0,,0.08,1.0,0.0
02M427,Manhattan Academy For Arts & Language,0.0,0.0,0.0,0.06,0.0,,0.0,1.0,,,0.0,0.06,0.0,0.0,,1.0,1.0,0.0,,1.0,,,0.0,1.0,1.0,1.0,,,,0.0,0.94,1.0,0.0,,0.0,0.0,,0.0,,1.0,0.28,,0.0,0.0,0.14,0.0,1.0,0.0,0.0,,1.0,1.0,0.94,1.0,1.0,,,0.0,0.0,0.0,1.0,,0.89,0.0,0.0,1.0,0.82,0.0,0.0,,1.0,,,0.76,0.0,,1.0,0.94,,0.0,0.72,0.06,0.0,1.0,0.22,,,0.0,0.0,,0.0,1.0,1.0
13K313,Dock Street School For Steam Studies,0.0,0.0,0.0,0.38,0.0,,0.0,1.0,,,0.0,0.08,0.25,0.0,0.0,0.73,0.77,0.25,,1.0,,,0.0,1.0,0.67,0.73,,,,0.0,0.62,0.73,0.0,,0.23,0.0,,0.0,,0.92,0.33,,0.25,0.0,0.29,0.0,0.82,0.91,0.31,,0.92,0.77,0.62,0.67,0.83,,0.0,0.27,0.09,0.23,0.0,,0.58,0.25,0.4,0.69,0.75,0.0,0.0,0.0,0.0,,,0.58,0.0,,1.0,0.67,,0.0,0.64,0.38,0.31,1.0,0.5,,0.0,0.23,0.25,0.0,0.36,1.0,0.0
11X370,Leaders Of Tomorrow,0.0,0.0,0.0,0.22,0.0,,0.0,1.0,0.08,0.0,0.0,0.05,0.16,0.0,1.0,0.92,0.9,0.26,1.0,1.0,0.2,0.0,0.0,0.97,0.84,0.81,0.0,1.0,0.2,0.05,0.85,0.82,0.0,0.8,0.08,0.0,0.92,0.0,1.0,0.92,0.32,0.2,0.24,0.0,0.12,0.0,0.81,0.94,0.18,,0.97,0.87,0.9,0.74,0.92,1.0,0.2,0.18,0.06,0.08,0.0,1.0,0.62,0.13,0.09,0.82,0.81,0.0,0.03,0.9,0.0,1.0,0.08,0.67,0.0,0.17,1.0,0.74,0.83,0.05,0.76,0.32,0.05,1.0,0.38,,0.7,0.1,0.17,0.1,0.14,0.95,0.0
08X377,Bronx Community High School,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,1.0,,,0.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,,1.0,0.25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,,0.85,0.0,0.0,1.0,0.92,0.0,0.0,,1.0,,,0.62,0.0,,1.0,1.0,,0.0,0.85,0.23,0.0,1.0,0.23,,,0.0,0.0,,0.0,1.0,1.0
02M560,High School M560 - City As School,0.0,0.0,0.0,0.07,0.0,,0.0,0.92,0.11,0.0,0.0,0.07,0.17,0.0,,0.89,0.87,0.2,1.0,0.92,0.0,0.0,0.0,1.0,0.8,0.87,0.0,0.91,0.0,0.14,1.0,0.83,0.0,1.0,0.1,0.0,0.89,0.0,1.0,0.97,0.3,0.0,0.17,0.0,0.75,0.08,0.9,0.0,0.0,,0.97,0.9,0.9,0.8,1.0,1.0,,0.17,0.0,0.07,1.0,1.0,0.59,0.13,0.13,1.0,0.9,0.0,0.0,,1.0,1.0,0.0,0.47,0.0,0.09,0.93,0.88,0.91,0.03,0.69,0.43,0.03,1.0,0.34,,,0.1,0.17,,0.11,0.94,1.0
19K346,P.S. 346 Abe Stark,,,,0.1,,,,0.96,0.0,,,0.0,0.06,,1.0,0.98,0.92,0.11,,0.96,,,,0.97,0.92,0.85,,,,0.03,0.95,0.94,,,0.0,,1.0,0.92,,0.97,0.49,,0.14,1.0,0.18,0.04,0.94,1.0,0.28,,1.0,0.97,0.92,0.92,0.95,,0.0,0.06,0.0,0.03,0.0,1.0,0.5,0.0,0.03,0.72,0.97,0.0,0.03,1.0,0.0,,0.0,0.82,,,1.0,0.91,,0.03,0.82,0.29,0.08,0.96,0.32,,1.0,0.08,0.06,0.0,0.12,1.0,0.0
13K670,Benjamin Banneker Academy,0.0,0.0,0.0,0.04,0.0,,0.0,,,,0.0,0.0,0.1,0.0,1.0,1.0,0.96,0.05,1.0,1.0,0.2,0.0,0.0,0.95,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.05,0.0,,0.0,1.0,0.96,0.41,0.2,0.0,0.0,0.15,,0.95,0.0,0.22,,1.0,0.95,1.0,0.91,1.0,0.8,0.0,0.0,0.0,0.0,1.0,,0.71,0.0,0.1,0.78,0.82,0.0,0.05,1.0,1.0,,,0.59,0.0,,1.0,0.9,,0.04,0.77,0.32,0.04,,0.32,,1.0,0.04,0.0,0.0,0.05,1.0,1.0
05M362,Columbia Secondary School,0.0,0.0,0.0,0.09,0.0,,0.0,1.0,,,0.0,0.0,0.09,0.0,0.83,0.82,0.96,0.3,,1.0,,,0.0,0.96,0.78,0.86,,,,0.04,0.91,0.96,0.0,,0.17,0.0,,0.0,,0.95,0.27,,0.13,0.0,0.29,0.0,0.95,1.0,0.09,,0.91,0.83,0.87,0.78,1.0,,0.0,0.04,0.0,0.04,1.0,,0.73,0.0,0.22,0.91,0.95,0.0,0.04,1.0,1.0,,,0.76,0.0,,1.0,0.82,,0.0,0.68,0.05,0.13,1.0,0.36,,0.83,0.35,0.05,0.33,0.23,1.0,1.0
08X558,Westchester Square Academy,0.0,0.0,0.0,0.21,0.0,,0.0,0.91,0.0,0.2,0.0,0.0,0.15,0.0,0.8,0.97,0.76,0.24,1.0,0.91,0.33,0.0,0.0,1.0,0.76,0.9,0.0,1.0,0.0,0.03,0.97,0.71,0.0,1.0,0.12,0.0,1.0,0.0,1.0,1.0,0.61,0.17,0.21,0.0,0.2,0.1,0.87,0.0,0.38,,0.97,0.76,0.91,0.79,1.0,0.83,0.2,0.29,0.0,0.21,1.0,1.0,0.55,0.06,0.03,0.62,0.7,0.03,0.0,0.8,0.97,1.0,0.0,0.48,0.0,0.0,1.0,0.77,1.0,0.0,0.64,0.36,0.12,0.9,0.48,,0.8,0.12,0.13,0.6,0.13,1.0,1.0
02M042,P.S. 042 Benjamin Altman,,,,0.04,,,,1.0,0.0,0.0,,0.0,0.06,,1.0,1.0,0.94,0.02,1.0,1.0,0.0,0.0,,1.0,0.96,0.96,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,0.04,,1.0,0.97,1.0,1.0,0.04,0.0,0.04,1.0,0.24,0.0,0.93,1.0,0.04,,1.0,0.96,1.0,0.96,1.0,1.0,0.0,0.0,0.0,0.04,0.0,1.0,0.89,0.04,0.04,0.96,0.91,0.0,0.0,1.0,0.0,1.0,0.0,0.98,,0.0,1.0,0.96,1.0,0.0,0.98,0.0,0.04,1.0,0.13,,1.0,0.0,0.0,0.0,0.04,1.0,0.0
