project_description_type,coordinates,mass_mailing_3_received_date,borough_approval_date,design_completion_date_op,design_consultant_op,contractor_for_construction_permit_firm_name,construction_manager_op,current_phase,mass_mailing_2_received_date,sponsoring_agency_entity,permit_issuance_date,final_inspection_date,substantial_completion_date_op,final_acceptance_of_park_by_borough,latest_permit_expiration_date
"The project will include demolition and replacement of six existing
structures and the construction of five new bridge structures. These structures are:
- BIN 1-06503-0 WB Union Turnpike over Grand Central Parkway
- BIN 1-07522-0 EB Grand Central Parkway over WB Connector
- BIN 1-07603-9 Jackie Robinson Parkway over Grand Central Parkway Connectors
- BIN 1-07523-9 Jackie Robinson Parkway over EB Grand Central Parkway
- BIN 1-07588-0 EB Union Turnpike over Grand Central Parkway
- BIN 1-05575-A Ramp from SB Van Wyck Expressway to WB Jackie Robinson
Parkway (south)
- BIN 1-05575-0 Ramp from SB Van Wyck Expressway to WB Jackie Robinson
Parkway (north)
 Note that BINs 1-05575-A and 1-05575-0 are two parts of a single structure.
In addition, five new structures will be constructed as part of the project. These new
bridges are:
- WB JRP over GCP Ramps & WB GCP Mainline
- EB JRP Ramp to WB GCP & EB GCP Ramp to WB JRP over WB UTP to WB GCP
and Mainline
- WB GCP Ramp to WB UTP over the EB UTP Ramp to WB GCP
- Ramp to QB over GCP
- EB GCP Ramp to WB JRP over the GCP Connectors from NB VWE DESIGN-BUILD. KGI4: Kew Gardens Interchange Phase 4.","40.717146, -73.819666",,2019-10-10T00:00:00.000,,HDR Inc.,Halmar International LLC,EIC,Construction,,SDOT,,,,,
DEP Regulator fram resetting & replacement,,,,,,"Sheela, Inc.",,Presumed Complete,,DEP,2016-08-01T00:00:00.000,,,,
"Preventative maintenance washing of bridges on selected state-owned bridges in all counties in New York City, in the years of 2019 and 2020.","40.861774, -73.871939",,,2018-08-23T00:00:00.000,,Nassau Rental & Supply Corp,EIC,Presumed Complete,2018-08-01T00:00:00.000,SDOT,,,,,
Temporary closure of a portion of Bushwick Playground to facilitate rehabilitation work of the adjacent school facility.,"40.696418, -73.912033",,,,,"Padilla Construction Services, Inc.",,Conditional-Accepted (Subst. Compl.),,SCA,,,,,2021-12-31T00:00:00.000
Installation of gas service to eight Army and FDNY buildings,"40.791458, -73.780877",,2016-11-09T00:00:00.000,,,Consolidated Edison of NY,,Presumed Complete,,ConEd,2016-11-10T00:00:00.000,,,,
Buckeye Pipeline at Bayside Site,,,,,,"Buckeye Partners , L.P.",,Permitting,,Parks - Planning,,,,,
When-and-where contract for water main and sewer rehab/replacement. Locations added by DEP as project progresses; operates like a Parks requirements contract.,"40.561872, -74.150061",,2018-06-19T00:00:00.000,,,DiFazio Industries,RE,Construction,,DDC,,,,,
Constructing an outdoor solar pavilion,,,2019-05-13T00:00:00.000,,,674 East 9th Street,,Construction,,Private Developer,,,,,
Red flag repairs at the Passerelle bridge,"40.753287, -73.844672",,,,,The Morganti Group. Inc.,,Permitting,,PANYNJ,,,,,
"Bridge rehab project in five stages. Despite this being ""rehab"" and leaving abutments in place, this is a five-stage, very complex job on a bridge that is partly supported by subway trusses and carries a gas line, con-ed ducts, water main, telephone and cable, FDNY alarm posts, and abuts heavy ped generating facilities (park and school).","40.820994, -73.926394",2020-03-26T00:00:00.000,,2019-03-01T00:00:00.000,"Michael Baker Engineering, Inc.",CAC Industries Inc.,EIC/Deputy Director,Permitting,,CDOT,,,,,
"Capital Project WM-6: new 48"" trunk water main in E 233rd Street between Bronxwood Avenue and Baychester Avenue.  Capital Project WM-1: replacement of distribution water mains in E 233rd Street between Bronxwood Avenue and De Reimer Avenue.","40.888560, -73.841124",,,,,,,Presumed Complete,,DDC,,,,,
Crane placement for one day of weekend work at McDonald Playground,"40.600397, -73.972648",,,,,LK Comstock,,Presumed Complete,,MTA NYCT,,,,,2020-07-01T00:00:00.000
Removal of an old turbidity curtain by a highway outfall into this pond. Park not open to the public. NOTE: XM15.25 D262872 is the 2016-2017 Landscape Work Orders contract and so incorporates citywide range. Seperate MOSYS entries made for each work order under it.,"40.605748, -74.079621",,,,,,EIC,Final-Accepted (Closed Out),,SDOT,,2018-10-11T00:00:00.000,,2018-10-25T00:00:00.000,
Renovate Maloof Skate Park,"40.743108, -73.843260",,2019-07-02T00:00:00.000,,,California Skate Parks,,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2019-07-11T00:00:00.000
Reconstruction to install a new heavy duty watertight manhole located in the center of a portion of the Jamaica Bay Greenway along Shore Parkway,"40.584004, -73.926755",,2018-02-22T00:00:00.000,,,WDF Inc.,,Presumed Complete,,DEP,,,2018-05-23T00:00:00.000,,
Replacement of Water Mains in Avenue S between Coney Island Avenue and East 18th Street,"40.603519, -73.957591",,,,,,,Presumed Complete,,DDC,,,,,
Storm and Sanitary Sewers construction and reconstruction,,,,,,,,Presumed Complete,,DDC,,,,,
Simple pedestrian ramp upgrades. No sidewalk geometry modifications.,,,,,,,,Presumed Complete,,DDC,,,,,
Bridge Reconstruction Project,,,2017-06-15T00:00:00.000,,,Restani Construction Corporation,,Construction,,MTA B&T,2017-06-16T00:00:00.000,,,,2020-10-31T00:00:00.000
"Trenching to facilitate repair of an obstructed electrical duct along the university Avenue frontage of the Park, between Boscobel Place and Ogden Avenue.","40.844259,-73.92415199999999",,,,,"Consolidated Edison Company of New York, Inc.",,Construction,,ConEd,,,,,
Beautification of the North Flatbush Avenue Streetscape,"40.679927, -73.974680",,2017-06-21T00:00:00.000,,,Triumph Construction Corp,,Presumed Complete,,DDC,2017-06-07T00:00:00.000,,,,
When and Where Water Main Contract,"40.721289, -73.992126",,,,,,,Presumed Complete,,DDC,,,,,
Construction of a vegetated bio-retention area in Edenwald Playground/Green Infrastructure,"40.884246, -73.844594",,,,,,,Final-Accepted (Closed Out),,DEP,2016-07-21T00:00:00.000,,,2018-06-20T00:00:00.000,2017-08-31T00:00:00.000
Façade Repair,,,2019-08-27T00:00:00.000,,,Xcelent Contractor Corp,,Construction,,Private Developer,,,,,
Construction of new bridge from Pelham Bay Park to City Island (City Island Road),"40.856697, -73.794492",,,,,Tutor Perini,,Final-Accepted (Closed Out),,CDOT,,2020-02-28T00:00:00.000,2018-12-28T00:00:00.000,2020-03-13T00:00:00.000,2018-12-31T00:00:00.000
"PSC-18-3017B, GFM-509/TNM-391, GFM-516/RKM-373, PSC-17-3005D GFM-523D, GFM-516/RKM-373, RK-21, PSC-19-3035D / GFM-535D, GFM-516,WO #024, RKM-369, PSC-19-3035A, GFM-516,WO #021, PSC-18-3017B",,,,,,Triborough Bridge and Tunnel Authority,,Construction,,MTA B&T,,,,,
When and Where Structural Repairs and other Miscellaneous Work,,,,,,Commodore Maintenance Corp,,Construction,,CDOT,,,,,
"Tying up a 1998 permit orphaned from when DEP owned the landfill, which is now parkland. A pure bureaucracy project.","40.828486, -73.841268",,,,,,,Presumed Complete,,SDOT,,,,,
Bridge Inspection / Priority Repairs of the Verrazano-Narrows Bridge Approach Ramps,"40.613714, -74.030242",,2018-05-31T00:00:00.000,,,"AI Engineers, Inc",,Permitting,,MTA B&T,,,,,2020-04-30T00:00:00.000
ROW bioswales adjacent to parks.,"40.744720, -73.887119",,,,,J. Pizzirusso Landscaping Corp.,,Final-Accepted (Closed Out),,DEP,,,,,
Water main construction,"40.744502, -73.973087",,2019-04-24T00:00:00.000,,,MFM Contracting Corp.,RE,Construction,,DDC,,,,,
Underpass and stair repairs within Inwood Hill Park,,,2018-07-09T00:00:00.000,,,FLORACON llc,,Construction,,MTA B&T,,,,,
permit for access for school reconstruction in addition to dog run construction as mitigation for Parks,"40.745906, -73.908504",,,,,Citnalta Construction Corp,,Final-Accepted (Closed Out),,SCA,,,,,2018-08-31T00:00:00.000
"Sidewalk corner quadrant modification for installation of new pedestrian ramps along with pavement restoration along the curb, relocation of street light poles, traffic signals, drainage structures and other incidental work.",,,,,,,,Presumed Complete,,DDC,,,,,
Fortification of one of two ventilation plant towers in the South Ferry / Battery Bus Loop,,,2017-07-12T00:00:00.000,,,Masterpiece Companies,,Presumed Complete,,MTA NYCT,2017-07-13T00:00:00.000,,,,
Installation of new main and vents with regualtor stations under sidewalk next to park.,"40.810713, -73.882072",,,,,,,Construction,,ConEd,,,,,
Construction of a new Pedestrian Bridge over the HHP and Amtrak. Bridge will be owned by DPR.,"40.831085, -73.950062",,,,,E.E. Cruz & Company,,Conditional-Accepted (Subst. Compl.),,SDOT,,,2018-05-31T00:00:00.000,,2017-06-19T00:00:00.000
Simple Removals and In-Kind Replacements of Overhead Power Poles in greenstreets and next to parks.,,,2017-01-26T00:00:00.000,,,Consolidated Edison,,Permitting,,ConEd,2017-06-01T00:00:00.000,,,,
"DESIGN-BUILD. Component rehabilitation of existing bridge, including deck slabs, full roadway, new bearoings, joints, abutment work, etc, drainage","40.665240, -73.822252",,2017-08-25T00:00:00.000,,,El Sol,EIC,Final-Accepted (Closed Out),,SDOT,2017-09-05T00:00:00.000,2019-10-25T00:00:00.000,2018-11-19T00:00:00.000,2019-10-28T00:00:00.000,
Staging/Storage for Met Cloisters Greenhouse Project,"40.865735, -73.931625",,2018-08-21T00:00:00.000,,,CNY Interiors LLC,,Final-Accepted (Closed Out),,DCulA,,,2019-01-04T00:00:00.000,,2018-12-31T00:00:00.000
Cleaning and Repair of CSO Outfall HP-10. Critical maintenance due to seepage.,"40.816019, -73.869623",,,,,Tom Lapadula,,Presumed Complete,,DEP,,,,,
"Onsite Green Infrastructure at Evergreen (OS1), South Pacific (OS5), Tiger (OS6), and Woods (OS7) Playgrounds","40.686114, -73.911034",,2020-03-25T00:00:00.000,,,J-Track LLC,,Permitting,,Parks - Green Infrastructure,,,,,
"To relieve dangerous recurring flooding on Bell Blvd, directly south of a large landscape fringe of the Cross Island Parkway, DEP is uncovering two existing buried outfalls, TI-928 & -929, to improve their drainage function. At minimum, coastal sediment needs to be removed from these two. It is also possible that corrugated pipe running under the parkway and parks has collapsed, in which case more invasive followup work will be required. Separate from, but related to this project, DEP's GI/bluebelt group was considering whether a new detention pond and tank at the CIP may also be an appropriate treatment for this condition.","40.790304, -73.785911",,2018-01-16T00:00:00.000,,,Delaney Associates LP,,Final-Accepted (Closed Out),,DEP,,2018-04-26T00:00:00.000,,2018-04-26T00:00:00.000,
Install 4’ Steel Fence; Refurbish Flagpole; Install Concrete Pad in Dog Run,"40.803241, -73.958518",,2020-06-25T00:00:00.000,,,TBO Sitescapes,,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2020-09-30T00:00:00.000
"Storm and Sanitary Sewers, Water Mains, etc.","40.546825, -74.152275",,,,,,,Presumed Complete,,DDC,,,,,
Post-construction exploratory work by DDC to investigate ongoing water infiltration and other issues associated with the building since it was constructed by DDC in 2015.,"40.583026, -74.075202",,,,,,,Construction,,DDC,,,,,
"Downtown Brooklyn Partnership is reconstructing BAM Park, which will reopen the 9,000 square foot park within the Brooklyn Cultural District","40.687120, -73.977238",,2018-10-12T00:00:00.000,,,McKissack & McKissack,Director of Operations,Final-Accepted (Closed Out),,Parks - Partner Group,,2019-08-06T00:00:00.000,,2019-08-06T00:00:00.000,2019-10-31T00:00:00.000
Rehabilitate the Macomb Dam's Bridge fender system,"40.829924, -73.939094",,2016-07-22T00:00:00.000,,,"China Construction, Inc",,Construction,,CDOT,2016-07-26T00:00:00.000,,,,2017-07-27T00:00:00.000
Accelerated Water Main Replacement,,,,,,,,Presumed Complete,,DDC,,,,,
Myrtle Cooper plaza realignment & enhancements,"40.701858, -73.880820",,2017-03-21T00:00:00.000,,,Triumph Construction Corp.,,Presumed Complete,,DDC,2017-03-24T00:00:00.000,,,,
Recreation Center 54 - 340 East 54th Street - Install scaffold,,,,,,"Total Structural Concepts, Inc.",,Construction,,Private Developer,,,,,2020-02-20T00:00:00.000
"Storm and sanitary sewers in 111th Avenue b/t Colfax Street and 204 Street, etc. This storm sewer are needed to alleviate ponding condition in the area and provide residents with adequate storm sewer.New sanitary sewers have been included to service adjoining houses.There is water main work associated with this sewer project.DOT’s scope incorporates Vision Zero safety improvements at the intersection of Hollis Avenue and Francis Lewis Boulevard. DOT’s scope incorporates Vision Zero safety improvements at the intersection of Hollis Avenue and Francis Lewis Boulevard.","40.726000, -73.737000",,,,HNTB Corporation,Paul J. Scariano,RE,Presumed Complete,,DDC,,,,,
Constructing a bioretention area - Schieffelin Avenue - Bronx,,,,,,"C.A.C. Industries, Inc.",,Presumed Complete,,DEP,2016-07-07T00:00:00.000,,,,
"protection of medians during work next to malls. ""There are islands in the middle of the road that fall under the Greenstreets program, and I think it would be wise to get the construction permit as a contingency plan.  We do not plan to touch these islands at all.  There will be no material stored on or around the islands on this street, I will direct the contractor to barricade each of the islands, and be wary of their outriggers, tires, and equipment.  We should be able to disconnect and re-connect the majority of these services, and those that need to be replaced will be gophered.""",,,,,,,,Presumed Complete,,National Grid,,,,,
TBO Sitescapes will be refurbishing two basketball courts at Marcy Playground for the Adopt-A-Park agreement between Mirrorball Group LLC and NYCDPR.,"40.69540, -73.95165",,2018-03-15T00:00:00.000,,,"TBO Sitescapes, Inc",,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,
Emergency Sewer Repairs Citywide,"40.627197, -74.121869",,2019-04-01T00:00:00.000,,,Delaney Associates LLP,,Final-Accepted (Closed Out),,DEP,,2019-04-18T00:00:00.000,,2019-04-18T00:00:00.000,2019-05-20T00:00:00.000
Reconstruction of the New Douglaston Pumping Station with associated landscaping,"40.757334, -73.741777",,,,,Posilico Civil,EIC,Final-Accepted (Closed Out),,DEP,,,2014-11-12T00:00:00.000,,2014-03-01T00:00:00.000
Excavation to facilitate feeder replacement along Jerome Avenue,"40.906221, -73.878378",,,,,"Consolidated Edison Company of New York, Inc.",,Presumed Complete,,ConEd,,,,,
"NYCDEP proposes to construct a blower building containing two blowers and a diffused aeration system for aerating portions of Newtown Creek including one of its tributaries, East Branch. The goal of the project is to improve the water quality of Newtown Creek and its tributaries as per the requirements of a 2004 Administrative Combined Sewer Overflow (CSO) Consent Order between NYCDEP and the New York State Department of Environmental Conservation (DEC). The blower building would be located at 58-26 47th Street in Maspeth, New York, and the installation of the air header piping with diffusers would be located along the bottom channel of the East Branch and portions of Newtown Creek. The piping would total 1,600 feet and would be held in place using concrete ballast collars.",,,,,,,,Presumed Complete,,DEP,,,,,
Staging for HB1070ST Protective Coating of Various Bridges in Staten Island,"40.571320, -74.170691",,,,,L&L Painting,,Permitting,,CDOT,,,,,
"New roadway pavement, new curbs and concrete sidewalks and new drainage facilities. Includes total replanting of a small greenstreet QZ660; on tree transplant in Brackley Pk. Replacement of aging water mains and some sanitary sewer work within the project area are also included. Original scope included mill & repave with longer limits but this was cut down just to reconstruction area.","40.581815, -73.839725",,2018-05-29T00:00:00.000,,,New York Asphalt,,Construction,,DDC,,,,,2020-12-31T00:00:00.000
"Tuner Construction is constructing new flood walls to protect the NYC Aquarium located at 602 Surf Ave. The proposed flood walls are located adjacent to an existing path and ramp that provide pedestrian access
to the Coney Island Boardwalk from Surf Ave. The proposed work involves the installation of construction fence, partial demolition of existing
sidewalk, excavation, construction a new flood wall, and sidewalk restoration.","40.574900, -73.974750",,2018-01-19T00:00:00.000,,,Turner Construction Company,,Construction,,DCulA,,,,,2020-10-31T00:00:00.000
"Bridge Repair of critical defects, deck and substructure",,,,,,,,Final-Accepted (Closed Out),,SDOT,,,,,
Temporary nighttime closure of a portion of the bike path at East River Walk to facilitate rehabilitation work on a Con Edison overhead bridge structure,"40.767483,-73.950111",,,,,"Consolidated Edison Company of New York, Inc.",,Presumed Complete,,ConEd,,,,,
New ramps and highway structures between Hoover Avenue and 72nd Avenue. Major project.,"40.719764,-73.826536",,,,,Ecco III,EIC,Final-Accepted (Closed Out),,SDOT,,,2019-11-13T00:00:00.000,,
New York Road Runners has received LPC and PDC approvals for the installation of 9 distance markers in Astoria Park that they are privately funding.,"40.777920, -73.922490",,2018-11-26T00:00:00.000,,,Nela Visual,,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2019-01-31T00:00:00.000
Construction of an emergency egress hatch in Central Park on the 79th Street Transverse.,"40.777075, -73.963880",,,,,Empire Control,Section Chief,Final-Accepted (Closed Out),2017-08-30T00:00:00.000,DEP,,,,2020-10-20T00:00:00.000,2020-05-15T00:00:00.000
Installation of temporary overhead protection in a portion of Marconi Park to facilitate exterior masonry and roof work on the existing PS 48Q school building.,"40.694306, -73.796293",,,,,"K.G. Construction Services, Inc.",,Presumed Complete,,SCA,,,,,
"Work on sidewalk for subsurface install, one of two property accesses temporarily blcoked","40.821655, -73.915337",,,,,Consolidated Edison,,Presumed Complete,,ConEd,2017-04-27T00:00:00.000,,,,
ESCR Sewer Borings in East River Park (Municipal),"40.721367, -73.973809",,2019-05-17T00:00:00.000,,AKRF,"Municipal Testing Laboratory, Inc.",,Final-Accepted (Closed Out),,DDC,,,,,2019-08-15T00:00:00.000
Install Parking Blocks,"40.776760, -73.743821",,2020-02-24T00:00:00.000,,,Erik Tielis,,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2020-04-30T00:00:00.000
Replacing defunct manual bollard system with new electric bollard system,"40.780220, -73.974890",,,,,"A. Bulfamante Landscaping, Inc.",,Final-Accepted (Closed Out),,DCulA,,,,,2018-04-30T00:00:00.000
EDC is installing two asphalt pathways and an informational kiosk at Rockaway Ferry Landing.,"40.583940, -73.831720",,,,,Demand Electric,,Final-Accepted (Closed Out),,EDC,,,,,2018-06-08T00:00:00.000
On-site winterization and de-winterization of green infrastructure monitoring equipment installed under the NYCDPR Community Parks Initiative at NYC Parks sites,,,,,,"OptiRTC, Inc.",,Construction,,Other,,,,,
Water Main replacement (this project followed HWK300-01 under separate entry in MOSYS),"40.675206, -73.971129",,2018-08-09T00:00:00.000,,,Triumph Construction Corp,,Construction,,DDC,,,,,2021-06-30T00:00:00.000
"Briasas Del Caribe - 237 East 3rd Street, Manhattan - Access to perform façade work",,,2018-06-05T00:00:00.000,,,G.M. Construction & Waterproofing Corp,,Construction,,Other,,,,,
"Rehab work on four retaining walls: RWK013, RWX022, RWQ008, and RWQ009. Combined under one DDC contract: RWK013.","40.775738, -73.767134",,,,,,,Presumed Complete,,DDC,,,,,2018-11-13T00:00:00.000
Q099.E.20190618: Access to facilitate nine (9) exploratory borings on paved and unpaved surfaces within a section of the park (exploratory) ;and Q099.20191008: Phase I Construction (parking lot),"40.747303, -73.850309",,2019-06-18T00:00:00.000,,,"TRC Engineers, Inc., TRC Environmental Corp., TRC Companies, Inc.",,Final-Accepted (Closed Out),,SCA,,,,,
"Major rehabilitation/bridge deck replacement project that addresses
structural and roadway deficiencies on the following BINs: 1066669, 106666A, 106666B, 106666, 1066660, 1066730","40.803337, -73.916715",,,,HNTB,Tully - Posillico JV,Project Engineer,Final-Accepted (Closed Out),,SDOT,,,,,
"Access through playground area for staging, storage, and sidewalk shed related to exterior work on the school.",,,,,,,,,,SCA,,,,,
Protective Coating of Various Bridges in Queens,,,,,,NUCO Painting Corp.,,Presumed Complete,,CDOT,2016-07-06T00:00:00.000,,,,
Safe Routes to Transit Phase III - Van Cortlandt Park- Intersection (Bainbridge Avenue / Jerome Avenue) Bronx,,,,,,Law Construction Corporation,,Presumed Complete,,CDOT,2016-07-28T00:00:00.000,,,,
In association with DDC job,,,2016-06-21T00:00:00.000,,,"Consolidated Edison Company of New York, Inc.",,Presumed Complete,,ConEd,2016-06-21T00:00:00.000,,,,
Basketball Backstops at 76th Street in Riverside Park,"40.783133, -73.985042",,2020-01-22T00:00:00.000,,,True Bounce Inc,,Final-Accepted (Closed Out),,Parks - Partner Group,,,,2020-08-11T00:00:00.000,2020-03-28T00:00:00.000
Re/Construction of new raised planted medians and two attendant greenstreets on East Houston. All planted areas are DPR jurisdiction.,"40.720161, -73.979430",,,,,,EIC,Final-Accepted (Closed Out),,DDC,,2017-01-27T00:00:00.000,2016-11-18T00:00:00.000,2017-06-13T00:00:00.000,
Bridge Inspections,"40.835790, -73.880967",,2016-07-22T00:00:00.000,,,HNTB,,Presumed Complete,,SDOT,,,,,
Window Cleaning at Rockefeller University,"40.762563, -73.954226",,2019-11-12T00:00:00.000,,,"Sunshine Building Services of NY, Inc.",,Construction,,Private Developer,,,,,2021-01-31T00:00:00.000
Continuation of Con Ed's Harlem River Drive Feeder Replacement Project (2018-2019),"40.850974,-73.926256",,,,,"Consolidated Edison Company of New York, Inc.",,Construction,,ConEd,,,,,2019-12-31T00:00:00.000
"sewer work order at planted median, but field review by contractor suggests that QED1025 got to and fixed the site before DEP could get to it","40.702684, -73.769090",,,,,,,Presumed Complete,,DEP,,,,,
"Full replacement of bridge. Major landscape work, tree clearing. Temporary incursion into Marine Park Golf Course. New golf net fence. Transfer of funds to Central Forestry for reforestation after work.","40.586543, -73.911822",,,,,"CCA Civil, Inc.",,Final-Accepted (Closed Out),,CDOT,,2019-07-09T00:00:00.000,2018-08-29T00:00:00.000,,2018-07-06T00:00:00.000
"Construction of Storm Sewers, Sanitary Sewers and Water Main work in Beach 21st Street",,,,,,,,Presumed Complete,,DDC,,,,,
Tie-in to Parks Water Main for Fire Supression Purposes.,,,,,,"Paul J. Scariano, Inc",,Permitting,,MTA B&T,,,,,
Citywide installation of radio equipment on existing street poles,,,,,,Crown Castle International,,Presumed Complete,,DoITT,2016-08-03T00:00:00.000,,,,2017-12-31T00:00:00.000
upgrade and extend storm sewers and sanitary sewer to alleviate flooding as well as water main work. DOT’s scope incorporates Vision Zero safety improvements at the intersection of Sutphin Avenue and 150th Street. Other improvements includes reconstruction to alleviate ponding associated complaints the adjacent segment of 147th Street between 116th Avenue and Foch Boulevard. (DOT CPI 2017),,,,,,,,Presumed Complete,,DDC,,,,,
Buildout of select bus service along Wesbter Avenue,,,2016-12-19T00:00:00.000,,,"Oliveira Contracting, Inc.",,Presumed Complete,,DDC,2016-12-19T00:00:00.000,,,,2019-10-15T00:00:00.000
"Bikeway Connector including sewer, roadway reconstruction, retaining wall repairs and replacement, stret lighting and traffic signal work.",,,2018-04-16T00:00:00.000,,,Tully Construction,,Presumed Complete,,DDC,,,,,
Reconstruction of Corona Plaza-Roosevelt Ave from National St / 103rd St. to 104th Street,"40.749746, -73.862241",,,,,HASA Construction LLC,,Presumed Complete,,DDC,2017-04-21T00:00:00.000,,,,
"Rehab work on four retaining walls: RWK013, RWX022, RWQ008, and RWQ009. Combined under one DDC contract: RWK013.","40.679633, -73.897618",,,,,,,Presumed Complete,,DDC,,,,,2018-11-13T00:00:00.000
Storm and Sanitary Sewer replacement and construction,,,,,,,,Presumed Complete,,DDC,,,,,
Debris Removal at Peter J. Sharp Boathouse,"40.856517, -73.921724",,2019-08-02T00:00:00.000,,,Row New York,,Construction,,Parks - Partner Group,,,,,2020-04-30T00:00:00.000
Where and when water mains.,,,,,,,RE,Presumed Complete,,DDC,,,,,
"Replacement of existing tide gate in underground chamber in roadway, requiring lane closure near entrance to park.","40.767799, -73.936192",,,,,Brennan Industrial,,Presumed Complete,,DEP,,,,,2016-12-30T00:00:00.000
Reconstruction of Montefiore Park and the adjacent section of Hamilton Place into a single pedestrian space.,"40.821680, -73.953566",,2016-11-30T00:00:00.000,,,"JLJ IV Enterprises, Inc.",,Construction,,DDC,2016-11-30T00:00:00.000,,,,2021-06-04T00:00:00.000
511 West 25th Street – Install a Sidewalk Shed (Concrete Restoration),,,,,,Soho Contracting Corp.,,Construction,,Private Developer,,,,,
Installation of one surface level elevator at Brooklyn Museum and widening of station stairs on Eastern Parkway,"40.671818,-73.964320",,2019-02-13T00:00:00.000,,,Gramercy Group Inc,,Permitting,,MTA NYCT,,,,,
Alley Pond Park Salt Marsh Pool Restoration,,,,,,Excav Services Inc,,Presumed Complete,,Parks - Planning,2017-03-28T00:00:00.000,,,,
Establishment of a temporary protection area to facilitate exterior masonry work on a NYCHA facility adjacent to the Coney Island Boardwalk,"40.571820, -73.990801",,,,,"AWL Industries, Inc.",,Presumed Complete,,NYCHA,,,,,
"City Line Park – B141, 	Jerome Playground – B246 and Woodruff Playground – B312",,,2019-03-08T00:00:00.000,,,Warren George Inc.,,Construction,,DEP,,,,,
Water Main Replacement,"40.879679, -73.896948",,,,,,,Presumed Complete,,DDC,,,,,
"aka Trunk Water Mains in West 30th Street, Phase II. Gas main replacement, Fire hydrant replacement, new water mains","40.750793, -74.001852",,,,,MFM Contracting Corp,,Presumed Complete,,DDC,2016-09-30T00:00:00.000,,,,
"The scope of work includes the trenching (approximately 850' long x 7' wide x 7' deep) on the eastern sidewalk of Sedgwick Ave between Fort Independence St and Giles pl, to expose Con Edison's existing electric feeder pipes in service below the sidewalk to perform the needed feeder pipe coating maintenance and pipe repairs necessary for system reliability. As each section of feeder pipe repairs are completed new concrete sidewalk will be installed (8' wide) within the affected sidewalk area replacing the old concrete sidewalk.","40.881265, -73.896589",,2017-04-13T00:00:00.000,,,Con Edison of New York,,Construction,,ConEd,2017-04-17T00:00:00.000,,,,
Request to place a crane inside of Bayside Playground to accomplish work on the adjacent wastewater treatment plant,"40.584805, -73.825567",,,,,"WDF, Inc.",,Permitting,,DEP,,,,,
Window Restoration,"40.766089, -73.829395",,2019-04-25T00:00:00.000,,,"Quality Restoration Works, LLC",,Final-Accepted (Closed Out),,Parks - Partner Group,,,,,2019-10-15T00:00:00.000
