address_1,weather_normalized_site_energy,multifamily_housing_number_4,financial_office_computer,college_university_number,manufacturing_industrial,multifamily_housing_total_1,hotel_worker_density_number,percent_of_electricity_that,alert_energy_no_meters,data_center_ups_output_meter,data_center_pdu_output_meter,property_gfa_calculated_1,multifamily_housing_percent,electricity_use_generated_2,indoor_water_use_all_water,default_values,food_service_gross_floor,office_gross_floor_area_ft,municipally_supplied_potable_1,energy_star_certification,medical_office_number_of_1,estimated_data_flag_fuel_2,supermarket_grocery_gross,_3rd_largest_property_use,distribution_center_gross,last_modified_date_non,latitude,medical_office_gross_floor,avoided_emissions_onsite,avoided_emissions_offsite,other_gross_floor_area_ft,_3rd_largest_property_use_1,last_modified_date_gas_meters,hospital_general_medical_4,medical_office_weekly,county,weather_normalized_site_1,third_party_certification,total_ghg_emissions_metric,weather_normalized_source,other_computer_density_number,office_percent_that_can_be_1,electricity_use_grid_purchase_1,water_current_date,multifamily_housing_number_2,last_modified_date_electric
1010 Underhill Avenue,,,,,,,,0.0,Ok,,,64600.0,,,8782.2,Yes,,,8782.2,,,,,,,,40.826578,,,0.0,,,02/09/2018 10:37 AM EST,44.6,,,,,787.5,,,,1926009.9,2017-12-31T00:00:00.000,,02/09/2018 10:36 AM EST
214 EAST 2nd   STREET,1903026.8,,,,,,,0.0,Ok,,,40237.0,,,162.3,No,,,162.3,,,,,,,03/13/2018 11:57 AM EDT,40.721794,,,0.0,,,03/23/2018 03:42 PM EDT,,,,0.0,,125.1,55.9,,,44207.6,2017-12-31T00:00:00.000,,03/23/2018 03:29 PM EDT
1421/1425 Grand Concourse,7191911.0,0.0,,,,1.2,,0.0,Ok,,,60000.0,100.0,,2520.5,Yes,,,2520.5,,,,,,,,,,,0.0,,,03/08/2018 11:03 AM EST,,,,1.0,,412.9,174.4,,,408694.2,2018-06-30T00:00:00.000,,03/08/2018 11:00 AM EST
2520 Amsterdam Ave,4139711.4,,,,,,,0.0,Ok,,,110677.0,,,1523.3,No,,,1523.3,,,,,,,,40.850675,,,0.0,,,,,,,,,367.0,117.4,,,1213279.9,2017-12-31T00:00:00.000,,03/05/2018 11:00 AM EST
256 West 36th Street,1830470.6,,,,,,,0.0,Ok,,,36000.0,,,,No,,36000.0,,,,,,,,,40.752932,,,0.0,,,03/13/2018 04:40 PM EDT,,,Manhattan,0.2,,130.5,114.4,,100.0,309646.3,,,03/13/2018 04:35 PM EDT
2501 amsterdam ave,18930283.5,,,,,,,0.0,Ok,,,102095.0,,,,No,,,,,,,,,,02/22/2018 11:40 AM EST,40.850002,,,0.0,,,,,,,,,1512.4,323.3,,,1911199.7,2016-12-31T00:00:00.000,,03/05/2018 03:06 PM EST
6 East 43rd Street,33363607.2,,2.0,,,,,0.0,Ok,,,335310.0,,,,Yes,,317786.0,,,,,,,,,40.753979,,,0.0,,,,,,,,,2546.7,203.7,,0.0,4287823.6,,,
125 West 55th Street,39413685.1,,,,,,,0.0,Ok,,,571246.0,,,20358.9,No,,571246.0,20358.9,201720162015201420132012,,,,,,02/12/2018 04:35 PM EST,40.763514,,,0.0,,,03/16/2018 09:15 AM EDT,,,New York,0.1,,3182.9,182.1,,100.0,8726705.0,2017-12-31T00:00:00.000,,03/16/2018 01:44 PM EDT
13-02 212 Street,10485672.9,0.0,,,,1.2,,,Ok,,,80740.0,,,,Yes,,,,,,,,,,,40.788323,,,,,,02/06/2018 12:55 PM EST,,,,1.3,,501.5,136.4,,,,2016-01-31T00:00:00.000,,
99-32 66 Road,571008.1,0.0,,,,1.2,,0.0,Ok,,,300000.0,60.0,,,No,,,,,,,,,,,40.727758,,,0.0,,,,,,,,,50.6,6.0,,,167352.9,,,02/23/2018 11:08 AM EST
80 West End Avenue,,,,,,,,0.0,Ok,,,190000.0,,,953.6,No,,,953.6,,,,,,,,40.774239,,,0.0,,,02/07/2018 08:26 AM EST,,,,0.3,,,,,,2209109.4,2017-12-31T00:00:00.000,,02/07/2018 08:24 AM EST
80 Eighth Avenue,10852536.8,,,,,,,0.0,Ok,,,164609.0,,,1187.2,No,,164609.0,1187.2,,,No,,,,,40.739851,,,0.0,,,04/03/2018 04:56 PM EDT,,,USA,0.0,,841.7,133.4,,100.0,1508462.5,2017-12-31T00:00:00.000,,04/03/2018 04:53 PM EDT
142 West 36th Street,8219471.7,,,,,,,0.0,Ok,,,101203.0,,,,No,,101203.0,,2017,,,,,,02/28/2018 09:43 AM EST,40.751732,,,0.0,,,03/16/2018 11:31 AM EDT,,,,0.0,,676.2,162.8,,100.0,1144676.4,2016-12-31T00:00:00.000,,03/16/2018 01:45 PM EDT
520 W. 43rd St.,27321835.8,375.0,,,,1.172,,0.0,Ok,,,319967.0,100.0,,12865.3,No,,,12865.3,20172016,,,,,,,40.760823,,,0.0,,,02/17/2018 12:28 AM EST,,,,0.7,,1518.6,114.7,,,1145832.2,2017-12-31T00:00:00.000,,01/23/2018 01:01 AM EST
225 Foster Ave,2577039.7,0.0,,,,1.32143,,0.0,Ok,,,28000.0,0.0,,2157.8,No,,,2157.8,,,,,,,01/17/2018 01:36 PM EST,40.628487,,,0.0,,,01/23/2018 02:57 PM EST,,,,0.8,,142.7,121.8,,,97778.7,2017-12-31T00:00:00.000,0.0,03/21/2018 04:23 PM EDT
245 5th Avenue,17176464.3,,,,,,,0.0,Ok,,,298152.0,,,8027.3,No,,271735.0,8027.3,20172014,93.0,No,10283.0,Supermarket/Grocery Store,,02/08/2018 10:45 AM EST,40.744478,14110.0,,0.0,2024.0,10283.0,03/22/2018 03:04 PM EDT,,70.0,Manhattan,0.0,,1417.5,146.6,2.96443,100.0,3669834.8,2017-12-31T00:00:00.000,,03/04/2018 02:59 PM EST
9205 Ridge Blvd.,4399404.8,0.0,,,,1.47128,,0.0,Ok,,,42820.0,0.0,,2594.1,Yes,,,2594.1,,,,,,,,40.619833,,,0.0,,,01/23/2018 03:11 PM EST,,,,0.8,,240.2,148.7,,,243535.6,2017-12-31T00:00:00.000,3.0,03/09/2018 05:44 PM EST
198-39 32nd Avenue,760179.7,0.0,,,,1.46209,,0.0,Ok,,,28726.0,,,,Yes,,,,,,,,,,,40.76917,,,0.0,,,02/08/2018 12:49 PM EST,,,,0.0,,67.0,82.5,,,220133.6,2017-12-31T00:00:00.000,,03/01/2018 01:15 PM EST
280 Longstreet Ave.,4928781.0,0.0,,,,1.0,,0.0,Ok,,,63000.0,0.0,,,Yes,,,,,,,,,,,40.821263,,,0.0,,,03/23/2018 11:46 AM EDT,,,,0.8,,247.7,87.2,,,44769.5,2017-06-30T00:00:00.000,7.0,03/23/2018 11:41 AM EDT
70-50 Austin St,8936403.5,,3.4,,,,,0.0,Ok,,,62001.0,,,2403.2,Yes,,13885.0,2403.2,,2.0,,,Office,,,40.720416,545.0,,0.0,22256.0,13885.0,02/14/2018 12:05 PM EST,,30.0,,0.8,,593.3,278.4,,65.22,1104996.2,2017-12-31T00:00:00.000,,01/22/2018 12:39 PM EST
2198 Cruger Avenue,10682800.3,0.0,,,,1.04089,,0.0,Ok,,,88386.0,0.0,,,No,,,,,,,,,,,40.856317,,,0.0,,,04/03/2018 12:10 PM EDT,,,,1.1,,576.7,157.0,,,377680.5,2016-12-31T00:00:00.000,5.0,04/03/2018 12:08 PM EDT
1275  York Ave,423264643.8,,,,,,,0.0,Ok,,,1382117.0,,,,No,,,,,,,,,,01/30/2018 09:29 AM EST,40.764199,,,0.0,,,,,,,,,31532.2,613.0,,,51139051.9,,,01/29/2018 03:27 PM EST
85 Adams Street,9793206.8,79.0,,,,0.74975,,0.0,Ok,,,109121.0,90.0,,3707.3,No,,,3707.3,,,,,,,,40.701816,,,0.0,3753.0,,03/23/2018 12:28 PM EDT,,,,0.5,,651.3,181.9,,,1287719.7,2017-12-31T00:00:00.000,3.0,03/23/2018 10:11 AM EDT
2626 Homecrest Avenue,9405078.9,0.0,,,,1.0902,,0.0,Ok,,,127500.0,0.0,,7807.4,No,,,7807.4,,,No,,,,,40.587065,,,0.0,,,,,,,0.6,,559.1,115.4,,,675690.2,2017-12-31T00:00:00.000,2.0,
56-45 Main Street,194976318.4,,,,,,,0.0,Ok,,,590371.0,,,94339.4,No,,,94339.4,,,,,,,02/07/2018 02:58 PM EST,40.746817,,,0.0,,,02/05/2018 12:39 PM EST,407.4,,Queens,2.2,,12668.9,565.1,,,18230601.0,2017-12-31T00:00:00.000,,02/05/2018 12:41 PM EST
301 East 73rd Street,4495337.4,20.0,,,,1.30797,,0.0,Ok,,,52560.0,100.0,,,No,,,,,,,,,,03/23/2018 03:04 PM EDT,40.769341,,,0.0,,,03/26/2018 10:47 AM EDT,,,,0.0,,280.8,112.6,,,78612.2,2018-01-31T00:00:00.000,4.0,03/26/2018 10:54 AM EDT
345 West 14th Street,3848659.6,1.0,,,,0.52828,,0.0,Ok,,,70038.0,,,1104.4,No,,,1104.4,,,,,,,,40.740372,,,0.0,,,03/15/2018 11:23 PM EDT,,,,0.2,,282.2,128.2,,,692768.5,2017-12-31T00:00:00.000,,03/15/2018 11:20 PM EDT
224 West 57th St,9515719.3,,,,,,,94.0448,Ok,,,169416.0,,,,No,,164754.0,,20172016,,,,,,01/25/2018 03:17 PM EST,40.765949,,,597.4,,,01/26/2018 02:13 PM EST,,,,0.1,2017-04-21T00:00:00.000,732.4,141.0,,100.0,1920103.6,2017-12-31T00:00:00.000,,01/26/2018 02:37 PM EST
5655 Arlington Avenue,,,,,,,,0.0,Ok,,,122641.0,,,,Yes,,,,,,,,,,,40.905671,,,0.0,,,03/14/2018 03:22 PM EDT,,,,,,660.5,,,,1497012.4,,,02/16/2018 09:06 AM EST
2600 East 21 Street,4081889.6,0.0,,,,1.09383,,0.0,Ok,,,57596.0,90.0,,2834.4,No,,,2834.4,,,,,,,,40.58909,,,0.0,,,03/23/2018 12:28 PM EDT,,,,0.6,,234.8,102.1,,,224181.6,2017-12-31T00:00:00.000,3.0,03/23/2018 10:21 AM EDT
31-62 29th Street,8082527.0,0.0,,,,0.96846,,0.0,Ok,,,93964.0,90.0,,2812.7,No,,,2812.7,,,No,,,,,40.763632,,,0.0,,,03/20/2018 02:37 PM EDT,,,,0.8,,432.4,112.7,,,296836.8,2017-12-31T00:00:00.000,5.0,03/20/2018 02:38 PM EDT
595 Columbus Avenue,13811118.6,169.0,,,,0.76209,,0.0,Ok,,,232272.0,0.0,,10987.0,Yes,,10512.0,10987.0,,,,,,,,40.788267,,,0.0,,,03/20/2018 10:41 AM EDT,,,,0.5,,807.7,90.5,,100.0,925714.3,2017-12-31T00:00:00.000,12.0,03/20/2018 10:41 AM EDT
250 West 57th Street,36576027.3,,,,,,,0.0,Ok,,,479349.0,,,5787.0,No,,427105.0,5787.0,2017,,,,Bank Branch,,02/13/2018 04:26 PM EST,40.766391,,,0.0,,7296.0,02/13/2018 04:30 PM EST,,,,0.0,,2929.9,177.3,,100.0,6674241.7,2017-12-31T00:00:00.000,,02/19/2018 01:52 PM EST
25 West 52nd Street,5799655.7,,,,,,,0.0,Ok,,,71644.0,,,,No,,71644.0,,,,,,,,,40.760445,,,0.0,,,,,,Manhattan,,,0.0,254.2,,100.0,1671430.0,2017-01-31T00:00:00.000,,04/03/2018 01:06 PM EDT
540 West 26th Street,467215.3,,,,,,,0.0,Ok,,,150286.0,,,,Yes,,70286.0,,,,,,Museum,,,40.750198,,,0.0,,20000.0,,,,,,,41.4,9.8,,100.0,136933.0,,,03/22/2018 02:19 PM EDT
420 E 76th St,,,,,,,,,Ok,,,82200.0,,,,No,,,,,,,,,,,40.770105,,,,,,,,,,,,,,,,,2017-02-28T00:00:00.000,,
49-20 5TH Street,2863030.4,,,,,,,0.0,Ok,,,80000.0,,,26.2,No,,,26.2,,,,,,,,40.743671,,,0.0,,,,,,,0.2,,187.1,71.6,,,382965.6,2017-12-31T00:00:00.000,,
1870 Pelham Pkwy South,2478740.1,,,,,,,0.0,Ok,,,60000.0,,,,No,,,,,,,,,,,40.855488,,,0.0,60000.0,,02/27/2018 10:23 AM EST,,,,0.2,,180.3,94.9,0.0,,436135.0,2016-11-30T00:00:00.000,,02/27/2018 10:27 AM EST
155 West 81st Street,,0.0,,,,0.88088,,0.0,Ok,,,78435.0,100.0,,6475.3,Yes,,3510.0,6475.3,,,,,,,,40.783904,,,0.0,,,03/04/2018 01:49 PM EST,,,,,,331.1,,,100.0,264447.3,2017-12-31T00:00:00.000,,03/04/2018 01:46 PM EST
137 5th   AVENUE,2871483.6,,,,,,,0.0,Ok,,,40003.0,,,1257.9,No,,40003.0,1257.9,,,,,,,,40.739828,,,0.0,,,03/30/2018 11:27 AM EDT,,,,0.1,,206.4,132.2,,100.0,329020.1,2017-12-31T00:00:00.000,,03/30/2018 11:25 AM EDT
151-20 Baisley Blvd.,9120620.8,,,,,,0.32596,0.0,Ok,,,85900.0,,,,Yes,,,,,,,,,,,40.667485,,,0.0,,,03/26/2018 10:53 AM EDT,,,,0.5,,628.1,222.8,,,1301093.8,2017-12-31T00:00:00.000,,03/26/2018 10:47 AM EDT
575 Park Avenue,,129.0,,,,0.63597,,,Ok,,,202841.0,100.0,,,No,,,,,,,,,,,40.765219,,,,,,,,,,,,,,,,,2017-02-28T00:00:00.000,8.0,
214 East 179th St.,,0.0,,,,1.2,,0.0,Ok,,,28800.0,,,,Yes,,,,,,,,,,03/28/2018 02:25 PM EDT,40.850936,,,0.0,,,03/28/2018 01:56 PM EDT,,,,0.1,,248.9,,,,137618.3,,,03/28/2018 01:55 PM EDT
200 Madison,50950816.0,,,,,,,0.0,Ok,,,659245.0,,,12062.1,No,,603877.0,12062.1,201720162015201320122009,,,,Other,,02/12/2018 03:15 PM EST,,,,0.0,25269.0,25269.0,,,,,,,4069.5,196.5,0.31659,100.0,10408847.8,2017-12-31T00:00:00.000,,03/16/2018 01:44 PM EDT
54 Evelyn Place,,0.0,,,,1.21654,,0.0,Ok,,,53430.0,60.0,,7544.9,No,,,7544.9,,,,,,,03/15/2018 11:54 AM EDT,40.859814,,,0.0,,,03/23/2018 11:47 AM EDT,,,,0.0,,455.7,,,,262943.9,2017-12-31T00:00:00.000,0.0,03/23/2018 11:46 AM EDT
177 E. 75th Street,10130132.2,99.0,,,,0.68276,,0.0,Ok,,,145000.0,100.0,,,No,,,,,,,,,,03/26/2018 10:12 AM EDT,40.771974,,,0.0,,,03/26/2018 09:08 AM EDT,,,,0.0,,682.1,105.2,,,439076.1,2017-12-31T00:00:00.000,11.0,03/26/2018 09:06 AM EDT
40 Bruckner Blvd,616460.4,,,,,,,0.0,Ok,,,55000.0,,,,No,,,,,,,,,,,40.806681,,,0.0,,,03/19/2018 11:57 AM EDT,,,USA,0.0,,51.1,31.9,,,155467.0,2017-12-31T00:00:00.000,,03/19/2018 11:49 AM EDT
105 East 177th Street,,0.0,,,,1.02086,,0.0,Ok,,,45060.0,,,,Yes,,,,,,,,,,,40.849617,,,0.0,,,,,,,,,234.1,,,,225103.0,,,
935 Ogden Ave.,2546915.1,0.0,,,,1.2,,0.0,Ok,,,22260.0,,,,Yes,,,,,,,,,,03/29/2018 03:05 PM EDT,40.831295,,,0.0,,,03/27/2018 02:06 PM EDT,,,,0.1,,184.9,140.9,,,78039.7,,,03/27/2018 02:06 PM EDT
31-22 College Point Blvd,,,,,65968.0,,,,Ok,,,65968.0,,,463.0,No,,,463.0,,,,,,,,40.768462,,,,,,03/05/2018 08:57 AM EST,,,,,,0.0,,,,,2017-12-31T00:00:00.000,,03/05/2018 08:57 AM EST
501 East 74th Street,7032320.6,37.0,,,,0.97619,,0.0,Ok,,,84000.0,100.0,,2553.9,Yes,,,2553.9,,,,,,,,40.768032,,,0.0,,,03/08/2018 02:40 PM EST,,,,0.6,,434.3,143.1,,,659217.0,2017-12-31T00:00:00.000,6.0,03/08/2018 02:40 PM EST
1201 Ave K,,0.0,,,,1.02956,,0.0,Ok,,,71875.0,0.0,,10318.6,No,,,10318.6,,,,,,,03/20/2018 02:15 PM EDT,40.622509,,,0.0,,,03/22/2018 05:22 PM EDT,,,,0.8,,299.1,,,,29163.6,2017-12-31T00:00:00.000,0.0,03/20/2018 02:37 PM EDT
144 E 48th Street,10001050.5,,,,,,0.31441,0.0,Ok,,,114500.0,,,5966.7,No,,,5966.7,,,,,,,,40.755062,,,0.0,,,03/13/2018 12:36 PM EDT,,,,0.3,,757.0,210.5,,,1907623.9,2018-02-28T00:00:00.000,,03/13/2018 12:32 PM EDT
177 9th Avenue,,0.0,,,,1.2,,,Ok,,,1471133.0,,,,Yes,,,,,,,,,,,40.744917,,,,,,,,,,,,,,,,,2016-12-31T00:00:00.000,,
1819 Flushing Avenue,2453292.8,,,,,,,0.0,Ok,,,53660.0,,,0.2,Yes,,,0.2,,,,,,53660.0,,40.710918,,,0.0,,,04/03/2018 11:56 AM EDT,,,Queens,0.4,,128.9,62.7,,,110395.3,2017-12-31T00:00:00.000,,03/01/2018 01:43 PM EST
47-61 Greenpoint Avenue,,,,,,,,0.0,Ok,,,123648.0,,,1887.2,No,,,1887.2,,,,,,,03/28/2018 11:26 AM EDT,40.729789,,,0.0,123648.0,,03/28/2018 11:55 AM EDT,,,,,,210.4,,1.94099,,77796.0,2017-12-31T00:00:00.000,,03/28/2018 12:42 PM EDT
430 E 67 St,128608909.6,,,,,,,0.0,Ok,,,327993.0,,,,No,,,,,,,,,,02/12/2018 04:30 PM EST,40.764263,,,0.0,,,,,,New York,,,9710.2,831.9,,,18186798.2,,,02/12/2018 04:29 PM EST
369 East 149th Street,,,,,,,,0.0,Ok,,,41850.0,,,887.9,No,,41850.0,887.9,,,,,,,,40.816384,,,0.0,,,03/29/2018 02:05 PM EDT,,,,,,286.6,,,100.0,523833.1,2017-12-31T00:00:00.000,,03/29/2018 02:07 PM EDT
225 East 72nd Street,6573668670.0,,,,,,,0.0,Ok,,,67655.0,,,3020.6,No,,,3020.6,,,,,,,03/24/2018 11:50 AM EDT,40.769451,,,0.0,,,02/06/2018 01:03 PM EST,,,USA,0.0,,439136.1,116941.1,,,498599.9,2017-12-31T00:00:00.000,,04/02/2018 01:22 PM EDT
85-11 34th Ave.,,0.0,,,,1.2,,0.0,Ok,,,73000.0,0.0,,5732.3,Yes,,,5732.3,,,No,,,,02/28/2018 12:00 PM EST,40.754055,,,0.0,,,,,,,,,24.1,,,,79640.3,2017-12-31T00:00:00.000,15.0,02/28/2018 12:04 PM EST
12 E. 41st Street,10470136.2,,,190.0,,,,0.0,Ok,,,83267.0,,,,No,,,,,,,,,,02/20/2018 10:39 AM EST,40.752524,,,0.0,,,,,,,,,770.1,271.6,,,1519331.4,,,02/16/2018 11:53 AM EST
32 Court Street,8382545.1,,,,,,,0.0,Ok,,,110000.0,,,2283.1,No,,110000.0,2283.1,,,,,,,,40.693014,,,0.0,,,04/03/2018 04:58 PM EDT,,,,0.5,,515.5,135.3,,100.0,868095.1,2017-12-31T00:00:00.000,,04/03/2018 04:53 PM EDT
28 W 27th Street,3750931.1,,,,,,,0.0,Ok,,,64000.0,,,1411.6,No,,64000.0,1411.6,,,,,,,04/03/2018 09:42 AM EDT,40.744785,,,0.0,,,03/23/2018 03:42 PM EDT,,,,0.0,,306.1,113.4,,100.0,483952.0,2017-12-31T00:00:00.000,,03/26/2018 11:02 AM EDT
2766 university avenue,,0.0,,,,0.98246,,0.0,Ok,,,57000.0,90.0,,,No,,,,,,,,,,02/02/2018 01:06 PM EST,40.870587,,,0.0,,,03/26/2018 09:11 AM EDT,,,,0.1,,187.0,,,,240352.8,,6.0,03/29/2018 01:10 PM EDT
2055 Cruger Avenue,8057380.6,0.0,,,,0.9166,,0.0,Ok,,,84006.0,90.0,,,No,,,,,,,,,,,40.851882,,,0.0,,,02/02/2018 09:36 AM EST,,,,0.8,,443.0,129.5,,,341558.5,2013-12-31T00:00:00.000,0.0,02/02/2018 09:55 AM EST
300 E 65 St,52521588.7,,,,,,,0.0,Ok,,,238341.0,,,14952.8,No,,19983.0,14952.8,,300.0,,,Office,,03/12/2018 08:35 AM EDT,40.764209,93725.0,,0.0,19115.0,19983.0,,,61.49,New York,,,4040.8,487.5,0.0,100.0,8018825.8,2017-12-31T00:00:00.000,,03/12/2018 08:29 AM EDT
2495 amsterdam ave,32721198.7,,,200.0,,,,0.0,Ok,,,253942.0,,,4428.5,No,,,4428.5,,,,,,,,40.849728,,,0.0,,,03/02/2018 02:41 PM EST,,,,0.9,,1911.0,208.4,,,2615985.6,2017-12-31T00:00:00.000,,03/05/2018 03:01 PM EST
2180 Anthony Ave.,,0.0,,,,1.2,,0.0,Ok,,,33600.0,,,,Yes,,,,,,,,,,03/28/2018 03:49 PM EDT,40.854807,,,0.0,,,03/23/2018 03:44 PM EDT,,,,0.1,,278.3,,,,161272.6,,,03/23/2018 03:36 PM EDT
421 Degraw,,0.0,,,,1.2,,0.0,Ok,,,76334.0,100.0,,3003.3,Yes,,,3003.3,,,,,,,,,,,0.0,,,03/16/2018 05:55 PM EDT,,,,,,279.0,,,,125488.4,2017-12-31T00:00:00.000,,03/16/2018 05:22 PM EDT
1165 Shakespeare Avenue,,0.0,,,,1.12469,,0.0,Ok,,,32898.0,0.0,,4523.0,No,,,4523.0,,,,,,,03/16/2018 09:16 AM EDT,40.835844,,,0.0,,,03/14/2018 12:17 PM EDT,,,,0.8,,175.5,,,,152330.7,2017-12-31T00:00:00.000,2.0,03/16/2018 09:13 AM EDT
1740 Eastchester Road,,,,,,,,,Ok,,,172268.0,,,,No,,,,,,No,,,,,40.847419,,,,,,,119.0,,,,,,,,,,2016-12-31T00:00:00.000,,
225th 25th Street,3397848.9,,,,,,,0.0,Ok,,,56400.0,,,,Yes,,,,,,,,,,,,,,0.0,,,,,,Kings,0.4,,195.8,96.9,,,265922.5,,,03/15/2018 09:50 AM EDT
2 Wall Street,20333429.7,,1.1566,,,,,0.0,Ok,,,192500.0,,,,No,,149204.2,,,,,,Financial Office,,02/12/2018 03:19 PM EST,40.707725,,,0.0,26003.8,17292.0,,,,,,,1517.7,244.9,0.0,100.0,3383324.6,2017-01-31T00:00:00.000,,03/16/2018 01:44 PM EDT
365 5th Avenue,62337036.8,,,1000.0,,,,0.0,Ok,,,885162.0,,,,No,,240108.0,,,,,,Library,,03/13/2018 05:49 PM EDT,40.748822,,,0.0,,102484.0,03/16/2018 11:31 AM EDT,,,,0.1,,4887.6,170.5,,100.0,11742774.1,,,03/16/2018 01:45 PM EDT
625 Broadway,7830797.5,,,,,,,0.0,Ok,,,93838.0,,,3918.8,No,,93838.0,3918.8,,,,,,,,40.726014,,,0.0,,,03/09/2018 11:47 PM EST,,,,0.4,,562.5,188.2,,100.0,1323695.1,2017-12-31T00:00:00.000,,03/13/2018 07:01 PM EDT
20 West 84th Street,5340621.9,0.0,,,,0.62552,,0.0,Ok,,,60749.0,90.0,,3821.4,No,,,3821.4,,,,,,,,40.784306,,,0.0,,,03/23/2018 10:18 AM EDT,,,,0.8,,290.9,116.7,,,209473.7,2017-12-31T00:00:00.000,2.0,03/23/2018 10:18 AM EDT
840 East 8th Street,14260573.4,0.0,,,,0.92766,,0.0,Ok,,,182000.0,0.0,,7134.2,Yes,,900.0,7134.2,,,,,,,,40.6289,,,0.0,,,,,,,0.6,,823.1,116.8,,100.0,885972.4,2017-12-31T00:00:00.000,16.0,02/19/2018 01:30 PM EST
1615-1617 Walton Ave.,7999317.7,0.0,,,,1.09135,,0.0,Ok,,,65057.0,60.0,,5503.4,No,,,5503.4,,,,,,,,40.844027,,,0.0,,,03/20/2018 11:25 AM EDT,,,,1.0,,441.8,170.2,,,374509.2,2017-12-31T00:00:00.000,6.0,03/20/2018 11:26 AM EDT
101 Park Avenue,89570213.1,,,,,,,0.0,Ok,,,1240084.0,,,,No,,1208216.0,,,,,,Social/Meeting Hall,,,40.750992,,,0.0,,31868.0,03/07/2018 10:16 AM EST,,,,0.0,,7208.9,186.8,,100.0,18769733.2,,,03/07/2018 10:12 AM EST
45 West 132nd Street,27648392.5,286.0,,,,1.02012,,0.0,Ok,,,280358.0,100.0,,14689.5,No,,,14689.5,,,No,,,,03/29/2018 11:34 AM EDT,40.811476,,,0.0,,,03/28/2018 02:03 PM EDT,,,,0.0,,1971.1,130.7,,,1209212.2,2017-12-31T00:00:00.000,10.0,03/29/2018 12:35 PM EDT
71 Thomas Street,5927412.9,,,,,,,0.0,Ok,,,102304.0,,,,No,,102304.0,,,,,,,,04/02/2018 04:05 PM EDT,40.716965,,,0.0,,,,,,,,,472.9,147.2,,100.0,1217839.3,2017-12-31T00:00:00.000,,03/30/2018 09:37 AM EDT
112 Industrial loop,,,,,,,,0.0,Ok,,,29566.0,,,,No,,,,,,,,,,,40.548994,,,0.0,29566.0,,02/26/2018 04:20 PM EST,,,,,,53.0,,0.27058,,83188.0,2018-01-31T00:00:00.000,,02/26/2018 11:34 AM EST
120 East 34th Street,46184555.0,0.0,,,,1.2,,0.0,Ok,,,312460.0,100.0,,19023.2,Yes,,,19023.2,,,,,Restaurant,,02/28/2018 03:54 PM EST,40.746661,,,0.0,,400.0,02/28/2018 03:43 PM EST,,,,0.0,,3631.5,199.2,,,2169246.7,2017-12-31T00:00:00.000,,02/28/2018 03:48 PM EST
150-10 71st Avenue,46238917.2,0.0,,,,1.11583,,0.0,Ok,,,480359.0,0.0,,32769.2,No,,,32769.2,,,,,,,,40.729238,,,0.0,,,,,,,0.8,,2501.4,128.6,,,1847306.7,2017-12-31T00:00:00.000,60.0,
59 KENT ST,304559.8,0.0,,,,1.0,,0.0,Ok,,,36000.0,,,1263.9,No,,,1263.9,,,,,,,,40.730497,,,0.0,,,,,,,,,26.0,26.6,,,85937.5,2017-12-31T00:00:00.000,4.0,03/05/2018 11:39 AM EST
57 west 75th st,11316412.7,0.0,,,,1.2,,0.0,Ok,,,111854.0,100.0,,3452.3,Yes,,,3452.3,,,,,,,,40.778832,,,0.0,,,03/26/2018 11:45 AM EDT,,,,0.7,,695.5,179.6,,,1150336.1,2017-12-31T00:00:00.000,,03/26/2018 11:42 AM EDT
12 West 37th Street,4334877.0,,,,,,,0.0,Ok,,,58909.0,,,640.0,No,,58909.0,640.0,,,,,,,03/14/2018 12:46 PM EDT,40.750639,,,0.0,,,03/20/2018 11:02 AM EDT,,,USA,0.0,,323.2,138.9,,100.0,530202.6,2017-12-31T00:00:00.000,,03/20/2018 11:01 AM EDT
417 Brightwater Court,3745219.9,0.0,,,,0.97809,,0.0,Ok,,,54187.0,90.0,,2788.7,No,,,2788.7,,,,,,,,40.575753,,,0.0,,,01/29/2018 02:36 PM EST,,,Kings,0.7,,191.3,75.9,,,25382.7,2017-12-31T00:00:00.000,4.0,03/09/2018 01:06 PM EST
750 E 179 ST,12651156.7,,,,,,,0.0,Ok,,,81824.0,,,1083729.8,No,,,1083729.8,,,,,,,,40.845924,,,0.0,81824.0,,02/02/2018 12:57 PM EST,,,,0.6,,901.4,350.6,,,2070683.6,2017-12-31T00:00:00.000,,02/02/2018 12:55 PM EST
1201 Flushing Avenue,2715203.8,,,,,,,0.0,Ok,,,51956.0,,,706.2,No,,,706.2,,,,,,,,40.707034,,,0.0,,,02/01/2018 02:36 PM EST,,,,0.0,,234.4,156.0,,,744575.9,2018-02-28T00:00:00.000,,02/01/2018 02:30 PM EST
108-110 West 107th St,2775492.9,,,,,,,0.0,Ok,,,113886.0,,,103.6,No,,,103.6,,,,,,,,40.800158,,,0.0,,,03/26/2018 11:00 AM EDT,,,,0.1,,206.4,58.9,,,536520.0,2017-12-31T00:00:00.000,,03/20/2018 10:52 AM EDT
